代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11676636.019999999552965
真實報酬,1676636.019999999552965

夏普值報酬,0.158963602000000
夏普值風險,0.058462159353579
夏普值,2.719085366631596

二次趨勢線,172.690335185980530 x^2 + -7306.835475100203439 x + 10000000.000000000000000
二次加權預期報酬,22280.775286764463090
風險,136685.197178463102318
二次加權趨勢值,0.163007960969421
一次趨勢線,9335.943598387590100 x + 10000000.000000000000000
一次預期報酬,9335.943598387590100
一次風險,347427.078480748459697
一次趨勢值,0.026871663657342
找到最佳解世代,2126
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
HD[9](9),NKE[19](5),PG[21](3),WBA[27](7),WMT[28](4),
FS( 14 ),1948425.270000000018626,1969743.619999999878928,2025227.000000000000000,1942804.229999999981374,2039584.829999999841675,9925784.949999999254942
FS( 15 ),1968712.960000000428408,1975384.640000000130385,2020686.139999999897555,1975061.560000000055879,2036131.120000000111759,9975976.420000001788139
FS( 16 ),1980445.600000000093132,1984102.579999999841675,2017911.169999999925494,1976145.840000000083819,2045429.569999999832362,10004034.759999999776483
FS( 17 ),1984845.340000000316650,2015384.599999999860302,2024722.459999999962747,1981025.100000000093132,2028426.689999999944121,10034404.189999999478459
FS( 18 ),1980690.030000000260770,1992820.520000000018626,2007063.560000000055879,1986717.570000000298023,2018331.229999999981374,9985622.910000000149012
FS( 19 ),1981667.750000000000000,2010256.400000000139698,1999495.459999999962747,1936840.690000000176951,2011423.809999999823049,9939684.110000001266599
FS( 20 ),1979467.880000000353903,2002564.099999999860302,1984106.989999999990687,1901872.659999999916181,2004250.719999999972060,9872262.350000001490116
FS( 21 ),1998533.420000000391155,2041538.420000000158325,1971745.759999999776483,1921660.770000000018626,1986716.500000000000000,9920194.870000001043081
FS( 22 ),1976290.290000000037253,1977948.739999999990687,1950555.079999999841675,1864193.929999999934807,1954836.099999999860302,9723824.140000000596046
FS( 23 ),1949402.990000000223517,1968717.979999999981374,2009333.989999999990687,1911902.250000000000000,1953773.420000000158325,9793130.630000000819564
FS( 24 ),1956247.030000000260770,1978461.559999999823049,1998486.379999999888241,1954731.310000000055879,1953773.420000000158325,9841699.699999999254942
FS( 25 ),1956247.030000000260770,1972307.719999999972060,2003279.509999999776483,1873681.380000000121072,1948460.020000000018626,9753975.660000000149012
FS( 26 ),1968224.100000000093132,1977948.739999999990687,2045660.870000000111759,1605051.010000000009313,1971307.640000000130385,9568192.359999999403954
FS( 27 ),1967001.950000000186265,1957435.940000000176951,2021695.219999999972060,1650048.629999999888241,1964665.890000000130385,9560847.630000000819564
FS( 28 ),2014910.230000000447035,1975897.459999999962747,2042129.090000000083819,1645440.440000000176951,1983794.130000000121072,9662171.350000001490116
FS( 29 ),2025909.580000000074506,1975897.459999999962747,2055499.400000000139698,1680408.470000000204891,1975558.359999999869615,9713273.269999999552965
FS( 30 ),2026887.300000000279397,1967692.339999999850988,2053985.780000000027940,1685016.659999999916181,1971838.979999999981374,9705421.060000000521541
FS( 31 ),2031775.900000000372529,1981025.660000000149012,2055499.400000000139698,1692877.690000000176951,1966791.250000000000000,9727969.900000002235174
FS( 32 ),2049863.720000000204891,1982051.299999999813735,2067356.090000000083819,1687456.290000000037253,1976355.370000000111759,9763082.769999999552965
FS( 33 ),2045708.410000000149012,1977948.739999999990687,2063067.500000000000000,1673902.790000000037253,1963337.540000000037253,9723964.980000000447035
FS( 34 ),2043264.110000000335276,2014358.959999999962747,2079717.319999999832362,1682577.030000000027940,1979012.069999999832362,9798929.490000000223517
FS( 35 ),2156679.630000000353903,2013333.319999999832362,2086024.069999999832362,1684745.590000000083819,1989373.199999999953434,9930155.809999998658895
FS( 36 ),2218275.990000000223517,2023589.719999999972060,2089051.310000000055879,1680679.540000000037253,1991498.559999999823049,10003095.119999999180436
FS( 37 ),2228053.190000000409782,2024102.540000000037253,2100908.000000000000000,1655470.030000000027940,2007173.089999999850988,10015706.850000001490116
FS( 38 ),2225120.030000000260770,2033333.299999999813735,2103682.969999999739230,1654927.889999999897555,2011955.150000000139698,10029019.339999999850988
FS( 39 ),2229275.340000000316650,2051794.819999999832362,2107467.020000000018626,1647880.070000000065193,2010892.469999999972060,10047309.720000000670552
FS( 40 ),2239785.830000000074506,2037948.680000000167638,2103430.699999999720603,1651675.050000000046566,2006376.079999999841675,10039216.339999997988343
FS( 41 ),2245652.150000000372529,2044102.520000000018626,2101664.810000000055879,1640832.250000000000000,2015143.189999999944121,10047394.919999999925494
FS( 42 ),2261295.670000000391155,2021025.619999999878928,2094601.250000000000000,1639205.830000000074506,2016471.540000000037253,10032599.910000000149012
FS( 43 ),2285494.240000000223517,2014358.959999999962747,2096619.409999999916181,1640561.180000000167638,2005844.739999999990687,10042878.530000001192093
FS( 44 ),2228053.190000000409782,2032820.479999999981374,2093339.900000000139698,1626736.609999999869615,2012486.489999999990687,9993436.669999999925494
FS( 45 ),2175500.740000000223517,2021025.619999999878928,2091321.739999999990687,1632429.080000000074506,2019393.910000000149012,9939671.089999999850988
FS( 46 ),2198232.730000000447035,2049230.719999999972060,2111503.339999999850988,1693148.760000000009313,2034005.760000000009313,10086121.310000000521541
FS( 47 ),2239296.970000000204891,2103589.640000000130385,2113269.229999999981374,1733538.190000000176951,2059244.410000000149012,10248938.440000001341105
FS( 48 ),2219987.000000000000000,2112820.400000000372529,2101917.079999999608845,1706702.260000000009313,2033208.750000000000000,10174635.490000000223517
FS( 49 ),2173789.730000000447035,2098461.439999999944121,2093592.169999999925494,1697214.810000000055879,2038787.819999999832362,10101845.970000000670552
FS( 50 ),2181611.490000000223517,2114871.680000000167638,2109989.719999999739230,1716460.780000000027940,2032677.410000000149012,10155611.080000000074506
FS( 51 ),2180878.200000000186265,2097948.619999999646097,2106205.669999999925494,1719713.619999999878928,2021784.939999999944121,10126531.050000000745058
FS( 52 ),2171589.860000000335276,2098461.439999999944121,2100403.459999999962747,1702907.280000000027940,2013017.829999999841675,10086379.870000001043081
FS( 53 ),2184789.080000000074506,2092820.420000000158325,2115791.930000000167638,1700196.580000000074506,2014080.510000000009313,10107678.519999999552965
FS( 54 ),2206543.350000000093132,2082051.200000000186265,2121089.600000000093132,1725135.020000000018626,2027629.679999999701977,10162448.849999999627471
FS( 55 ),2229764.200000000186265,2090256.319999999832362,2123107.759999999776483,1727574.649999999906868,2025504.319999999832362,10196207.250000000000000
FS( 56 ),2251029.610000000335276,2102051.180000000167638,2123864.569999999832362,1712665.800000000046566,2024972.979999999981374,10214584.140000000596046
FS( 57 ),2257140.360000000335276,2097948.619999999646097,2130928.129999999888241,1704533.700000000186265,2041444.520000000018626,10231995.330000000074506
FS( 58 ),2246141.010000000242144,2069230.700000000186265,2139505.310000000055879,1637850.479999999981374,2027364.010000000009313,10120091.510000001639128
FS( 59 ),2236363.810000000055879,2054358.920000000158325,2130171.319999999832362,1656283.239999999990687,2008501.439999999944121,10085678.730000000447035
FS( 60 ),2273761.600000000093132,2072820.440000000176951,2150352.919999999925494,1667668.180000000167638,2047820.599999999860302,10212423.740000000223517
FS( 61 ),2246385.440000000409782,2045128.160000000149012,2127396.350000000093132,1639747.970000000204891,2022316.280000000027940,10080974.200000001117587
FS( 62 ),2269361.860000000335276,2294871.500000000000000,2133703.100000000093132,1631344.800000000046566,2032146.069999999832362,10361427.330000000074506
FS( 63 ),2270339.580000000074506,2285127.919999999925494,2130171.319999999832362,1615622.739999999990687,2021253.599999999860302,10322515.160000000149012
FS( 64 ),2242474.560000000055879,2287179.200000000186265,2112512.419999999925494,1606677.430000000167638,2031614.729999999981374,10280458.339999999850988
FS( 65 ),2224875.600000000093132,2248717.700000000186265,2097376.219999999739230,1600442.820000000065193,2022316.280000000027940,10193728.620000001043081
FS( 66 ),2254696.060000000055879,2289743.299999999813735,2095105.789999999804422,1619959.859999999869615,2025238.650000000139698,10284743.660000000149012
FS( 67 ),2286471.960000000428408,2315384.299999999813735,2113773.770000000018626,1647337.930000000167638,2054196.679999999701977,10417164.639999998733401
FS( 68 ),2279627.920000000391155,2287692.020000000018626,2108223.829999999608845,1644085.090000000083819,2054993.689999999944121,10374622.549999998882413
FS( 69 ),2260317.950000000186265,2258461.279999999795109,2097880.759999999776483,1622128.420000000158325,2053665.339999999850988,10292453.750000000000000
FS( 70 ),2299915.610000000335276,2277948.439999999944121,2123612.300000000279397,1666041.760000000009313,2078638.319999999832362,10446156.430000001564622
FS( 71 ),2274983.750000000000000,2236922.839999999850988,2110494.259999999776483,1668481.389999999897555,2068542.859999999869615,10359425.099999999627471
FS( 72 ),2262273.390000000130385,2235897.200000000186265,2136478.069999999832362,1707515.470000000204891,2079966.670000000158325,10422130.800000000745058
FS( 73 ),2214609.540000000037253,2189743.400000000372529,2103178.430000000167638,1645169.369999999878928,2060572.760000000009313,10213273.500000001862645
FS( 74 ),2202388.040000000037253,2182051.099999999627471,2107719.290000000037253,1645169.369999999878928,2071730.900000000139698,10209058.699999999254942
FS( 75 ),2147391.290000000037253,2184102.380000000353903,2092583.090000000083819,1652217.190000000176951,1997874.640000000130385,10074168.589999999850988
FS( 76 ),2172567.580000000074506,2231794.640000000130385,2074671.919999999925494,1637037.270000000018626,1961212.179999999701977,10077283.589999999850988
FS( 77 ),2205810.060000000055879,2235384.380000000353903,2100655.729999999981374,1633784.430000000167638,1968650.939999999944121,10144285.539999999105930
FS( 78 ),2245163.290000000037253,2279486.900000000372529,2123612.300000000279397,1631886.940000000176951,1996280.620000000111759,10276430.050000000745058
FS( 79 ),2302604.340000000316650,2324102.240000000223517,2134459.910000000149012,1668481.389999999897555,2019659.579999999841675,10449307.460000000894070
FS( 80 ),2281583.360000000335276,2304102.259999999776483,2124873.649999999906868,1667126.040000000037253,2019925.250000000000000,10397610.559999998658895
FS( 81 ),2317270.140000000130385,2317435.580000000074506,2099646.649999999906868,1682577.030000000027940,2025769.989999999990687,10442699.390000000596046
FS( 82 ),2321914.310000000055879,2330768.900000000372529,2148334.759999999776483,1698299.090000000083819,2029223.699999999953434,10528540.759999999776483
FS( 83 ),2333646.950000000186265,2349743.240000000223517,2168264.089999999850988,1710768.310000000055879,2034802.770000000018626,10597225.359999999403954
FS( 84 ),2361023.110000000335276,2370768.859999999869615,2181382.129999999888241,1726761.440000000176951,2028426.689999999944121,10668362.230000000447035
FS( 85 ),2356867.800000000279397,2357948.359999999869615,2183148.020000000018626,1703178.350000000093132,2029489.370000000111759,10630631.899999998509884
FS( 86 ),2383755.100000000093132,2384615.000000000000000,2193238.819999999832362,1706702.260000000009313,2031083.390000000130385,10699394.570000000298023
FS( 87 ),2383755.100000000093132,2384102.180000000167638,2201563.729999999981374,1740857.080000000074506,2026301.329999999841675,10736579.419999999925494
FS( 88 ),2348801.610000000335276,2396409.859999999869615,2204338.699999999720603,1761458.400000000139698,2026567.000000000000000,10737575.570000000298023
FS( 89 ),2345624.020000000018626,2409230.359999999869615,2236124.719999999739230,1768506.219999999972060,2052602.660000000149012,10812087.980000000447035
FS( 90 ),2341224.280000000260770,2427691.880000000353903,2245206.439999999944121,1779891.159999999916181,2064292.140000000130385,10858305.900000000372529
FS( 91 ),2378133.210000000428408,2425640.599999999627471,2242683.740000000223517,1806727.090000000083819,2067214.510000000009313,10920399.150000000372529
FS( 92 ),2386932.690000000409782,2404614.979999999981374,2248485.949999999720603,1814045.979999999981374,2092718.829999999841675,10946798.429999999701977
FS( 93 ),2399398.620000000111759,2434871.359999999869615,2256558.589999999850988,1837358.000000000000000,2110518.719999999739230,11038705.289999999105930
FS( 94 ),2398909.760000000242144,2432820.080000000074506,2262108.529999999795109,1829768.040000000037253,2099094.910000000149012,11022701.320000000298023
FS( 95 ),2407464.810000000055879,2456922.619999999646097,2257315.399999999906868,1828141.619999999878928,2104142.639999999664724,11053987.089999999850988
FS( 96 ),2419930.740000000223517,2464614.919999999925494,2235115.639999999664724,1815130.259999999776483,2203503.219999999739230,11138294.779999997466803
FS( 97 ),2401354.060000000055879,2448717.500000000000000,2222754.410000000149012,1814317.050000000279397,2204034.559999999590218,11091177.580000001937151
FS( 98 ),2396221.030000000260770,2463076.459999999962747,2215943.120000000111759,1804016.389999999897555,2220240.429999999701977,11099497.429999999701977
FS( 99 ),2346112.880000000353903,2473845.680000000167638,2218718.089999999850988,1844947.960000000195578,2226085.169999999925494,11109709.780000001192093
FS( 100 ),2363711.840000000316650,2486153.359999999869615,2238395.149999999906868,1837629.070000000298023,2257965.570000000298023,11183854.990000000223517
FS( 101 ),2384977.250000000000000,2494871.299999999813735,2231836.129999999888241,1825430.920000000158325,2247073.099999999627471,11184188.699999999254942
FS( 102 ),2402331.780000000260770,2497948.220000000204891,2235115.639999999664724,1832207.670000000158325,2248932.790000000037253,11216536.100000001490116
FS( 103 ),2405264.940000000409782,2511794.359999999869615,2222754.410000000149012,1836002.650000000139698,2268858.040000000037253,11244674.400000002235174
FS( 104 ),2371289.170000000391155,2494871.299999999813735,2240161.040000000037253,1838171.210000000195578,2256902.889999999664724,11201395.609999999403954
FS( 105 ),2388154.840000000316650,2507691.799999999813735,2242179.199999999720603,1856061.830000000074506,2257699.900000000372529,11251787.570000000298023
FS( 106 ),2429707.940000000409782,2546153.299999999813735,2281281.050000000279397,1859856.810000000055879,2325711.419999999925494,11442710.520000001415610
FS( 107 ),2416997.580000000074506,2505127.700000000186265,2272451.600000000093132,1837086.929999999934807,2290642.979999999515712,11322306.789999999105930
FS( 108 ),2399398.620000000111759,2513845.640000000130385,2297426.329999999608845,1809437.790000000037253,2295425.040000000037253,11315533.419999998062849
FS( 109 ),2409909.110000000335276,2525640.500000000000000,2270433.439999999944121,1826515.199999999953434,2256637.219999999739230,11289135.469999998807907
FS( 110 ),2418708.590000000316650,2539999.459999999962747,2285065.100000000093132,1840610.840000000083819,2251855.160000000149012,11336239.150000000372529
FS( 111 ),2435574.260000000242144,2547178.939999999944121,2280019.699999999720603,1859585.739999999990687,2234852.280000000260770,11357210.920000001788139
FS( 112 ),2454884.230000000447035,2505640.520000000018626,2289605.959999999962747,1836002.650000000139698,2237774.650000000372529,11323908.009999999776483
FS( 113 ),2435574.260000000242144,2488204.640000000130385,2288344.609999999869615,1859314.670000000158325,2219974.759999999776483,11291412.939999999478459
FS( 114 ),2418464.160000000149012,2504102.060000000055879,2270433.439999999944121,1847387.590000000083819,2204565.900000000372529,11244953.150000000372529
FS( 115 ),2450973.350000000093132,2485640.540000000037253,2280776.509999999776483,1979127.610000000102445,2227147.849999999627471,11423665.859999999403954
FS( 116 ),2438996.280000000260770,2466153.380000000353903,2259081.290000000037253,2019517.040000000037253,2226616.509999999776483,11410364.500000000000000
FS( 117 ),2445595.890000000130385,2447179.040000000037253,2250251.839999999850988,1990783.619999999878928,2230070.219999999739230,11363880.609999999403954
FS( 118 ),2372511.320000000298023,2390256.020000000018626,2254288.160000000149012,1962321.270000000018626,2204034.559999999590218,11183411.329999998211861
FS( 119 ),2418464.160000000149012,2423076.500000000000000,2288092.339999999850988,1951478.469999999972060,2237774.650000000372529,11318886.120000001043081
FS( 120 ),2460750.550000000279397,2489230.279999999795109,2320887.439999999944121,2016264.199999999953434,2283204.219999999739230,11570336.689999997615814
FS( 121 ),2491548.730000000447035,2431794.439999999944121,2322148.790000000037253,1985091.150000000139698,2262481.959999999962747,11493065.070000000298023
FS( 122 ),2529924.240000000223517,2459999.540000000037253,2336023.639999999664724,2013282.429999999934807,2294893.700000000186265,11634123.550000000745058
FS( 123 ),2536279.420000000391155,2461025.180000000167638,2353430.270000000018626,2074002.110000000102445,2302332.459999999962747,11727069.440000001341105
FS( 124 ),2531390.820000000298023,2469230.299999999813735,2349646.219999999739230,2078339.229999999981374,2296222.049999999813735,11724828.620000001043081
FS( 125 ),2536034.990000000223517,2483076.439999999944121,2357718.859999999869615,2072646.759999999776483,2308974.209999999962747,11758451.259999997913837
FS( 126 ),2555100.530000000260770,2494871.299999999813735,2337032.719999999739230,2081592.070000000298023,2301801.120000000111759,11770397.740000002086163
FS( 127 ),2548745.350000000093132,2484102.080000000074506,2330978.240000000223517,2061532.889999999897555,2305786.169999999925494,11731144.730000000447035
FS( 128 ),2565855.450000000186265,2465640.560000000055879,2297930.870000000111759,2065598.940000000176951,2281610.200000000186265,11676636.019999999552965
