代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12057954.870000001043081
真實報酬,2057954.870000001043081

夏普值報酬,0.197095487000000
夏普值風險,0.056626822587068
夏普值,3.480602972150709

二次趨勢線,40.204858530582015 x^2 + 12351.829768638812311 x + 10000000.000000000000000
二次加權預期報酬,19025.836284715423972
風險,93059.623338903955300
二次加權趨勢值,0.204447811006362
一次趨勢線,16105.897884446168973 x + 10000000.000000000000000
一次預期報酬,16105.897884446168973
一次風險,116333.627394487863057
一次趨勢值,0.138445763664112
找到最佳解世代,1833
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
DIS[6](7),KO[14](9),MCD[15](4),MRK[17](13),TRV[22](1),V[25](2),
FS( 9 ),1719430.300000000046566,1674478.859999999869615,1715510.560000000055879,1617719.439999999944121,1712248.000000000000000,1719074.840000000083819,10158466.000000000000000
FS( 10 ),1709336.260000000242144,1689394.319999999832362,1713617.360000000102445,1642633.679999999934807,1729856.000000000000000,1722083.960000000428408,10206925.580000001937151
FS( 11 ),1696336.360000000102445,1666310.869999999878928,1697809.139999999897555,1645058.959999999962747,1736672.000000000000000,1722083.960000000428408,10164275.290000000968575
FS( 12 ),1697865.760000000242144,1671282.689999999944121,1714469.300000000279397,1666886.479999999748543,1745760.000000000000000,1721331.680000000400469,10217599.910000000149012
FS( 13 ),1698324.580000000074506,1690814.839999999850988,1728289.659999999916181,1672839.439999999944121,1760954.000000000000000,1736628.040000000270084,10287854.560000000521541
FS( 14 ),1691595.219999999972060,1694721.269999999785796,1747221.659999999916181,1671957.519999999785796,1737524.000000000000000,1730985.940000000409782,10274009.609999999403954
FS( 15 ),1699548.100000000093132,1714253.419999999925494,1761609.979999999981374,1663358.799999999813735,1746896.000000000000000,1717946.420000000158325,10303616.720000000670552
FS( 16 ),1690830.520000000018626,1693655.879999999888241,1773726.460000000195578,1613309.840000000083819,1766208.000000000000000,1726597.640000000130385,10264332.339999999850988
FS( 17 ),1699089.280000000027940,1682291.719999999739230,1741826.040000000037253,1608459.280000000027940,1774728.000000000000000,1738759.500000000000000,10245157.820000000298023
FS( 18 ),1694806.960000000195578,1675189.119999999878928,1738039.639999999897555,1607797.840000000083819,1775438.000000000000000,1705157.660000000381842,10196433.219999998807907
FS( 19 ),1696183.420000000158325,1683357.109999999869615,1724503.260000000009313,1614632.719999999972060,1772456.000000000000000,1692745.040000000270084,10183881.550000000745058
FS( 20 ),1684407.040000000037253,1699693.089999999850988,1720716.860000000102445,1617719.439999999944121,1787508.000000000000000,1725343.840000000083819,10235392.269999999552965
FS( 21 ),1705665.699999999953434,1709281.600000000093132,1692413.520000000018626,1641090.320000000065193,1782680.000000000000000,1692870.420000000158325,10224005.560000000521541
FS( 22 ),1702301.020000000018626,1729524.010000000009313,1672913.560000000055879,1685627.280000000027940,1796170.000000000000000,1757315.740000000456348,10343855.610000001266599
FS( 23 ),1709948.020000000018626,1749056.159999999916181,1680770.340000000083819,1694887.439999999944121,1789780.000000000000000,1774242.040000000270084,10398688.000000000000000
FS( 24 ),1723100.860000000102445,1749411.289999999804422,1680959.659999999916181,1701060.880000000121072,1791768.000000000000000,1787156.180000000400469,10433460.869999999180436
FS( 25 ),1703983.360000000102445,1749411.289999999804422,1667801.920000000158325,1706352.399999999906868,1782822.000000000000000,1774116.660000000381842,10384491.630000000819564
FS( 26 ),1696948.120000000111759,1755093.369999999878928,1659282.520000000018626,1693785.039999999804422,1800004.000000000000000,1757566.500000000000000,10362683.550000000745058
FS( 27 ),1705512.760000000242144,1757934.409999999916181,1654265.540000000037253,1709218.639999999897555,1786230.000000000000000,1760199.480000000214204,10373364.830000000074506
FS( 28 ),1673854.179999999934807,1761840.839999999850988,1649627.199999999953434,1691359.759999999776483,1780976.000000000000000,1765465.440000000409782,10323127.420000001788139
FS( 29 ),1670183.620000000111759,1763616.489999999757856,1646882.060000000055879,1731266.639999999897555,1807104.000000000000000,1780385.660000000381842,10399442.469999998807907
FS( 30 ),1685477.620000000111759,1768233.179999999934807,1648585.940000000176951,1742290.639999999897555,1818180.000000000000000,1799192.660000000381842,10461964.039999999105930
FS( 31 ),1692512.860000000102445,1619078.580000000074506,1664867.460000000195578,1740526.799999999813735,1802418.000000000000000,1795055.120000000111759,10314462.820000000298023
FS( 32 ),1722030.280000000027940,1606649.030000000027940,1703678.060000000055879,1759708.560000000055879,1828120.000000000232831,1816996.620000000111759,10437186.550000000745058
FS( 33 ),1736100.760000000242144,1592088.699999999953434,1696862.540000000037253,1747141.199999999720603,1833232.000000000000000,1811103.760000000242144,10416532.959999999031425
FS( 34 ),1738700.740000000223517,1601677.209999999962747,1708600.380000000121072,1751330.320000000065193,1842320.000000000232831,1814739.780000000027940,10457372.429999999701977
FS( 35 ),1748030.080000000074506,1628667.089999999850988,1730561.500000000000000,1760149.519999999785796,1843456.000000000000000,1805587.040000000270084,10516455.230000000447035
FS( 36 ),1762712.320000000065193,1608069.550000000046566,1733969.260000000009313,1780874.639999999897555,1860496.000000000232831,1829033.100000000325963,10575158.869999999180436
FS( 37 ),1737324.280000000027940,1595995.129999999888241,1728668.300000000279397,1772275.919999999925494,1881370.000000000232831,1831415.320000000298023,10547052.950000001117587
FS( 38 ),1735947.820000000065193,1587116.879999999888241,1734347.900000000139698,1780213.199999999720603,1892446.000000000232831,1843702.560000000055879,10573778.360000001266599
FS( 39 ),1724936.140000000130385,1595995.129999999888241,1735767.800000000279397,1777567.439999999944121,1883216.000000000000000,1845959.400000000139698,10563445.910000000149012
FS( 40 ),1725853.780000000027940,1610200.330000000074506,1740311.479999999981374,1792339.600000000093132,1887334.000000000000000,1857243.600000000325963,10613286.789999999105930
FS( 41 ),1743747.760000000242144,1611620.850000000093132,1751765.340000000083819,1800276.880000000121072,1889038.000000000000000,1874169.900000000139698,10670622.730000000447035
FS( 42 ),1748641.840000000083819,1621209.359999999869615,1709546.979999999981374,1794103.439999999944121,1876542.000000000000000,1855237.520000000484288,10605285.140000000596046
FS( 43 ),1743594.820000000065193,1619433.709999999962747,1716741.139999999897555,1801379.280000000027940,1884210.000000000000000,1855112.140000000130385,10620475.089999999850988
FS( 44 ),1756594.719999999972060,1614106.760000000009313,1723178.020000000018626,1780654.160000000149012,1871572.000000000232831,1853356.820000000298023,10599466.480000000447035
FS( 45 ),1743747.760000000242144,1608069.550000000046566,1708884.360000000102445,1773819.280000000027940,1867170.000000000232831,1841069.580000000540167,10542764.530000001192093
FS( 46 ),1740688.960000000195578,1592443.830000000074506,1699229.040000000037253,1759488.079999999841675,1860496.000000000232831,1847589.340000000083819,10499939.250000000000000
FS( 47 ),1755065.320000000065193,1640031.250000000000000,1714185.320000000065193,1783079.439999999944121,1872566.000000000000000,1889215.500000000000000,10654146.830000000074506
FS( 48 ),1754759.440000000176951,1635414.559999999823049,1721284.820000000065193,1791016.719999999972060,1884636.000000000000000,1902505.780000000027940,10689621.319999998435378
FS( 49 ),1744971.280000000027940,1641451.769999999785796,1723462.000000000000000,1799174.479999999748543,1888612.000000000000000,1911783.900000000139698,10709459.429999999701977
FS( 50 ),1750935.940000000176951,1622985.010000000009313,1729898.880000000121072,1796749.199999999720603,1889464.000000000000000,1933474.640000000130385,10723511.669999999925494
FS( 51 ),1758277.060000000055879,1608779.809999999823049,1754415.820000000065193,1798513.039999999804422,1905368.000000000000000,1949272.520000000484288,10774630.250000000000000
FS( 52 ),1730136.100000000093132,1612686.239999999757856,1741352.739999999990687,1793662.479999999748543,1916160.000000000000000,1943003.520000000484288,10737005.079999998211861
FS( 53 ),1682418.820000000065193,1618013.189999999944121,1733401.300000000279397,1806009.359999999869615,1887618.000000000000000,1938364.460000000428408,10665829.130000000819564
FS( 54 ),1682265.879999999888241,1616947.800000000046566,1751008.060000000055879,1809757.519999999785796,1864898.000000000232831,1927832.540000000270084,10652713.800000000745058
FS( 55 ),1661924.860000000102445,1616237.539999999804422,1764260.460000000195578,1828939.280000000027940,1908066.000000000000000,1953535.440000000409782,10732967.580000001937151
FS( 56 ),1655348.440000000176951,1631153.000000000000000,1768425.500000000000000,1814387.600000000093132,1915592.000000000000000,1919306.700000000186265,10704217.240000002086163
FS( 57 ),1648619.080000000074506,1634704.300000000046566,1758107.560000000055879,1815710.479999999748543,1916301.999999999767169,1918805.180000000400469,10692252.599999997764826
FS( 58 ),1684559.979999999981374,1656367.229999999981374,1774767.719999999972060,1828277.840000000083819,1916727.999999999767169,1947266.440000000409782,10807971.210000000894070
FS( 59 ),1686701.140000000130385,1655301.839999999850988,1775051.699999999953434,1814387.600000000093132,1936182.000000000000000,1933725.400000000139698,10801353.679999999701977
FS( 60 ),1693277.560000000055879,1654236.449999999953434,1792847.779999999795109,1821883.919999999925494,1943992.000000000000000,1939367.500000000000000,10845609.209999999031425
FS( 61 ),1698171.640000000130385,1664180.089999999850988,1797675.440000000176951,1833789.840000000083819,1947684.000000000000000,1958425.260000000242144,10899930.269999999552965
FS( 62 ),1720806.760000000242144,1659208.269999999785796,1783381.779999999795109,1836656.079999999841675,1959896.000000000232831,1971840.920000000158325,10931793.810000000521541
FS( 63 ),1712395.060000000055879,1653881.319999999832362,1783003.139999999897555,1834671.759999999776483,1942714.000000000000000,1978360.680000000400469,10905029.959999999031425
FS( 64 ),1720959.699999999953434,1640031.250000000000000,1783003.139999999897555,1834010.320000000065193,1939732.000000000000000,1986886.520000000484288,10904626.929999999701977
FS( 65 ),1755065.320000000065193,1650685.149999999906868,1797391.460000000195578,1804686.479999999748543,1938596.000000000232831,1976605.360000000102445,10923033.769999999552965
FS( 66 ),1758888.820000000065193,1650330.019999999785796,1805342.900000000139698,1789252.880000000121072,1936892.000000000000000,1976730.740000000456348,10917441.360000001266599
FS( 67 ),1758277.060000000055879,1653171.059999999823049,1797202.139999999897555,1784843.280000000027940,1929508.000000000000000,1977984.540000000270084,10900990.080000000074506
FS( 68 ),1787335.660000000149012,1657432.619999999878928,1799379.320000000065193,1781536.079999999841675,1919710.000000000000000,1974724.660000000381842,10920122.339999999850988
FS( 69 ),1791923.860000000102445,1656367.229999999981374,1791238.560000000055879,1781977.039999999804422,1923544.000000000000000,1988140.320000000298023,10933195.010000001639128
FS( 70 ),1783359.219999999972060,1658853.139999999897555,1788020.119999999878928,1760370.000000000000000,1935188.000000000000000,1979363.720000000437722,10905158.200000001117587
FS( 71 ),1989216.460000000195578,1659918.530000000027940,1813767.639999999897555,1751330.320000000065193,1955636.000000000000000,2001681.360000000102445,11171554.309999998658895
FS( 72 ),2019498.579999999841675,1669151.909999999916181,1816134.139999999897555,1731487.119999999878928,1942430.000000000000000,2011711.760000000242144,11190417.509999999776483
FS( 73 ),1986769.420000000158325,1667376.260000000009313,1814714.239999999990687,1710100.560000000055879,1964440.000000000000000,2009078.780000000027940,11152483.259999999776483
FS( 74 ),2015063.320000000065193,1679095.550000000046566,1813862.300000000279397,1629845.840000000083819,1929366.000000000000000,2011711.760000000242144,11078948.769999999552965
FS( 75 ),2025769.119999999878928,1686198.149999999906868,1845100.100000000093132,1613750.799999999813735,1972818.000000000000000,2008201.120000000111759,11151841.289999999105930
FS( 76 ),2013992.740000000223517,1683357.109999999869615,1835728.760000000009313,1619703.759999999776483,1939874.000000000232831,2011210.240000000456348,11103870.610000001266599
FS( 77 ),2039686.660000000381842,1712122.639999999897555,1848413.199999999953434,1644838.479999999748543,1959753.999999999767169,2027008.120000000111759,11231827.099999997764826
FS( 78 ),2066298.219999999972060,1703954.649999999906868,1870847.619999999878928,1647704.719999999972060,1976368.000000000000000,2024876.660000000381842,11290053.870000001043081
FS( 79 ),2099027.379999999888241,1698982.830000000074506,1873687.420000000158325,1683202.000000000000000,1976510.000000000000000,2018983.800000000512227,11350397.429999999701977
FS( 80 ),2140015.299999999813735,1713898.289999999804422,1868859.760000000009313,1689595.919999999925494,1991420.000000000232831,2042931.380000000353903,11446724.650000000372529
FS( 81 ),2130533.020000000484288,1719580.369999999878928,1866019.960000000195578,1692903.119999999878928,2008744.000000000000000,2058227.740000000456348,11476012.210000000894070
FS( 82 ),2094898.000000000000000,1742308.689999999944121,1870279.659999999916181,1735455.759999999776483,2041262.000000000000000,2061738.380000000353903,11545946.490000000223517
FS( 83 ),2085874.540000000037253,1725617.580000000074506,1838095.260000000009313,1735676.239999999990687,2031748.000000000232831,2041176.060000000055879,11458191.680000001564622
FS( 84 ),2051615.979999999748543,1718514.979999999981374,1842260.300000000279397,1753314.639999999897555,2026351.999999999767169,2020237.600000000325963,11412299.499999998137355
FS( 85 ),2054521.840000000316650,1730234.269999999785796,1869806.360000000102445,1763897.679999999934807,2035582.000000000000000,2031772.560000000055879,11485818.710000000894070
FS( 86 ),2064768.820000000065193,1721356.019999999785796,1882869.440000000176951,1752432.719999999972060,2036718.000000000000000,2034781.680000000400469,11492930.679999999701977
FS( 87 ),2040910.179999999934807,1704664.909999999916181,1874728.679999999934807,1717596.880000000121072,2012294.000000000000000,2008828.020000000484288,11359026.669999998062849
FS( 88 ),2064615.880000000121072,1699337.959999999962747,1874634.020000000018626,1723770.320000000065193,2009738.000000000000000,2015723.920000000158325,11387824.099999999627471
FS( 89 ),2043204.280000000027940,1683357.109999999869615,1871794.219999999972060,1727077.519999999785796,2013998.000000000232831,2003812.820000000298023,11343247.949999999254942
FS( 90 ),2050086.579999999841675,1711412.379999999888241,1893187.380000000121072,1723990.799999999813735,2044244.000000000000000,2015097.020000000484288,11438022.160000000149012
FS( 91 ),2008792.780000000027940,1706440.559999999823049,1884100.020000000018626,1701501.840000000083819,2036434.000000000000000,1972718.580000000540167,11309991.779999999329448
FS( 92 ),2037239.619999999878928,1729168.879999999888241,1874444.699999999953434,1707013.840000000083819,2069094.000000000000000,2008828.020000000484288,11425793.059999998658895
FS( 93 ),2059874.740000000223517,1746570.250000000000000,1884478.659999999916181,1709880.079999999841675,2080596.000000000232831,2041176.060000000055879,11522579.790000000968575
FS( 94 ),2072415.820000000065193,1760775.449999999953434,1893187.380000000121072,1744715.919999999925494,2093234.000000000000000,2067255.100000000325963,11631587.669999999925494
FS( 95 ),2065380.579999999841675,1747280.510000000009313,1885898.560000000055879,1735676.239999999990687,2094370.000000000232831,2057475.460000000428408,11586085.350000001490116
FS( 96 ),2048098.360000000102445,1734850.959999999962747,1883721.380000000121072,1739203.919999999925494,2104026.000000000000000,2049701.900000000139698,11559606.520000001415610
FS( 97 ),2050851.280000000027940,1725972.709999999962747,1891767.479999999981374,1752873.679999999934807,2094086.000000000000000,2054591.720000000437722,11570146.870000001043081
FS( 98 ),2047180.719999999972060,1763261.359999999869615,1892903.400000000139698,1785504.719999999972060,2101044.000000000000000,2059356.160000000381842,11649254.359999999403954
FS( 99 ),2030051.439999999944121,1770363.959999999962747,1883532.060000000055879,1786386.639999999897555,2086560.000000000000000,2025127.420000000158325,11582025.519999999552965
FS( 100 ),2030969.079999999841675,1761840.839999999850988,1872172.860000000102445,1789693.840000000083819,2100760.000000000000000,2039295.360000000102445,11594735.980000000447035
FS( 101 ),2028369.100000000093132,1743729.209999999962747,1861760.260000000009313,1769630.160000000149012,2077188.000000000000000,2052711.020000000484288,11533391.750000000000000
FS( 102 ),2012310.399999999906868,1726327.839999999850988,1855607.360000000102445,1749786.959999999962747,2060006.000000000000000,2040423.780000000027940,11444466.339999997988343
FS( 103 ),2021945.619999999878928,1749056.159999999916181,1886087.880000000121072,1756842.320000000065193,2069377.999999999767169,2040799.920000000158325,11524113.900000000372529
FS( 104 ),2019498.579999999841675,1744794.600000000093132,1876905.860000000102445,1746479.759999999776483,2067106.000000000000000,2022870.580000000540167,11477659.380000000819564
FS( 105 ),2026075.000000000000000,1774980.649999999906868,1881733.520000000018626,1769630.160000000149012,2084430.000000000000000,1988641.840000000083819,11525495.169999999925494
FS( 106 ),2062015.899999999906868,1775690.909999999916181,1889779.619999999878928,1787709.519999999785796,2095222.000000000232831,2035408.580000000540167,11645830.529999999329448
FS( 107 ),2079145.179999999934807,1803391.050000000046566,1894512.619999999878928,1801158.799999999813735,2127882.000000000000000,2073774.860000000102445,11779868.509999997913837
FS( 108 ),2098568.560000000521541,1825409.109999999869615,1922153.340000000083819,1795646.799999999813735,2115812.000000000000000,2092958.000000000000000,11850551.810000000521541
FS( 109 ),2111262.580000000074506,1828605.280000000027940,1945155.719999999972060,1818135.759999999776483,2123338.000000000000000,2132201.940000000409782,11958703.280000001192093
FS( 110 ),2096427.399999999906868,1824698.850000000093132,1905587.840000000083819,1818576.719999999972060,2120356.000000000000000,2141856.200000000186265,11907507.009999997913837
FS( 111 ),2065992.340000000316650,1822923.199999999953434,1924141.199999999953434,1829600.719999999972060,2118510.000000000000000,2135461.820000000298023,11896633.280000001192093
FS( 112 ),2075780.500000000000000,1833932.229999999981374,1939949.420000000158325,1845695.759999999776483,2126178.000000000000000,2151510.459999999962747,11973050.370000001043081
FS( 113 ),2167850.379999999888241,1815820.600000000093132,1935784.380000000121072,1827836.880000000121072,2121634.000000000000000,2123425.339999999850988,11992355.580000000074506
FS( 114 ),2166473.919999999925494,1822212.939999999944121,1943357.179999999934807,1825191.119999999878928,2131574.000000000000000,2127312.120000000111759,12016125.280000001192093
FS( 115 ),2156074.000000000000000,1806587.219999999739230,1929347.500000000000000,1836656.079999999841675,2128876.000000000000000,2126058.320000000298023,11983603.120000001043081
FS( 116 ),2129615.379999999888241,1798419.229999999981374,1935973.699999999953434,1862893.199999999720603,2134698.000000000000000,2122547.680000000633299,11984151.190000001341105
FS( 117 ),2155309.299999999813735,1815465.469999999739230,1936352.340000000083819,1882074.959999999962747,2152732.000000000000000,2140226.259999999776483,12082164.330000000074506
FS( 118 ),2172132.700000000186265,1834642.489999999757856,1941747.960000000195578,1865318.479999999748543,2161110.000000000000000,2178467.160000000149012,12153422.789999999105930
FS( 119 ),2144756.439999999478459,1830736.059999999823049,1933607.199999999953434,1864657.039999999804422,2151028.000000000000000,2174705.759999999776483,12099494.499999998137355
FS( 120 ),2129309.500000000000000,1843875.869999999878928,1930388.760000000009313,1885382.160000000149012,2158696.000000000000000,2179846.339999999850988,12127502.629999998956919
FS( 121 ),2140321.179999999701977,1838193.789999999804422,1947332.900000000139698,1879429.199999999720603,2174458.000000000000000,2147623.680000000633299,12127362.750000000000000
FS( 122 ),2147356.419999999925494,1815465.469999999739230,1936352.340000000083819,1841947.600000000093132,2111552.000000000000000,2144865.320000000298023,11997543.150000000372529
FS( 123 ),2130533.020000000484288,1814044.949999999953434,1952633.860000000102445,1848341.519999999785796,2118652.000000000000000,2146996.780000000260770,12011206.130000002682209
FS( 124 ),2135732.979999999515712,1808362.869999999878928,1965791.600000000093132,1848782.479999999748543,2123196.000000000000000,2176084.940000000409782,12057954.870000001043081
