代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11297010.589999999850988
真實報酬,1297010.589999999850988

夏普值報酬,0.121001059000000
夏普值風險,0.040791713079924
夏普值,2.966314720907199

二次趨勢線,158.999617799162479 x^2 + -10313.037693790471167 x + 10000000.000000000000000
二次加權預期報酬,16292.898351269383056
風險,99276.673465893312823
二次加權趨勢值,0.164116078656351
一次趨勢線,4652.563782325937609 x + 10000000.000000000000000
一次預期報酬,4652.563782325937609
一次風險,297576.849502615281381
一次趨勢值,0.015634831103637
找到最佳解世代,1935
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](4),VZ[26](1),WMT[28](3),
FS( 27 ),3230682.240000000223517,3181475.810000000521541,3423392.129999999888241,9835551.179999999701977
FS( 28 ),3228781.299999999813735,3162179.040000000037253,3420077.069999999832362,9811038.410000000149012
FS( 29 ),3252543.049999999813735,3199094.600000000558794,3413999.459999999962747,9865638.109999999403954
FS( 30 ),3274403.860000000335276,3191543.690000000409782,3437757.389999999664724,9903705.940000001341105
FS( 31 ),3250642.110000000335276,3173924.900000000372529,3412341.929999999701977,9836909.940000001341105
FS( 32 ),3272502.919999999925494,3192382.680000000167638,3427812.209999999962747,9892698.809999998658895
FS( 33 ),3282007.620000000111759,3226781.270000000484288,3452122.649999999906868,9960912.540000000968575
FS( 34 ),3270601.979999999515712,3229298.240000000689179,3318967.739999999757856,9818868.960000000894070
FS( 35 ),3291512.320000000298023,3205806.520000000484288,3237748.770000000018626,9735068.610000001266599
FS( 36 ),3287710.440000000409782,3199094.600000000558794,3234433.709999999962747,9721239.750000000000000
FS( 37 ),3279156.209999999962747,3199933.590000000316650,3248246.459999999962747,9727337.260000001639128
FS( 38 ),3271552.450000000186265,3199094.600000000558794,3230013.629999999888241,9700661.679999999701977
FS( 39 ),3271552.450000000186265,3200772.580000000540167,3255981.600000000093132,9728307.630000000819564
FS( 40 ),3320026.419999999925494,3197416.620000000577420,3264269.250000000000000,9781713.290000000968575
FS( 41 ),3307670.309999999590218,3224264.300000000279397,3249903.989999999757856,9781839.599999999627471
FS( 42 ),3287710.440000000409782,3244400.060000000521541,3260401.679999999701977,9792513.179999999701977
FS( 43 ),3290561.849999999627471,3272086.730000000447035,3281949.569999999832362,9844599.150000000372529
FS( 44 ),3267750.570000000298023,3246078.040000000037253,3258191.639999999664724,9772021.250000000000000
FS( 45 ),3269651.509999999776483,3261179.860000000335276,3307365.029999999795109,9838197.400000000372529
FS( 46 ),3292462.790000000037253,3290544.510000000242144,3302392.439999999944121,9885400.740000000223517
FS( 47 ),3303868.429999999701977,3280476.630000000353903,3319520.250000000000000,9903866.310000000521541
FS( 48 ),3334283.469999999739230,3298934.410000000614673,3352670.850000000093132,9985889.730000000447035
FS( 49 ),3339035.820000000298023,3312358.250000000000000,3370351.169999999925494,10021746.240000000223517
FS( 50 ),3337134.879999999888241,3311519.260000000242144,3374771.250000000000000,10023426.390000000596046
FS( 51 ),3342837.700000000186265,3317392.190000000409782,3383058.899999999906868,10043289.790000000968575
FS( 52 ),3334283.469999999739230,3319909.160000000614673,3361511.010000000242144,10015704.640000000596046
FS( 53 ),3345689.110000000335276,3326621.080000000540167,3355985.910000000149012,10028297.100000001490116
FS( 54 ),3355193.809999999590218,3324943.100000000558794,3348250.770000000018626,10028388.679999999701977
FS( 55 ),3379906.030000000260770,3337527.950000000651926,3346040.729999999981374,10063475.710000000894070
FS( 56 ),3394163.080000000074506,3327460.070000000298023,3351013.319999999832362,10072637.470000000670552
FS( 57 ),3397014.490000000223517,3307324.310000000521541,3356538.419999999925494,10060878.220000000670552
FS( 58 ),3416974.360000000335276,3299773.400000000372529,3381401.370000000111759,10098150.130000000819564
FS( 59 ),3416023.889999999664724,3243561.070000000298023,3375323.760000000242144,10034909.720000000670552
FS( 60 ),3453092.219999999739230,3210001.470000000204891,3380848.859999999869615,10043943.549999998882413
FS( 61 ),3508219.479999999515712,3194060.660000000614673,3360405.989999999757856,10062687.130000000819564
FS( 62 ),3517724.179999999701977,3207484.500000000000000,3381401.370000000111759,10106611.050000000745058
FS( 63 ),3523427.000000000000000,3231815.210000000894070,3390241.529999999795109,10145484.740000000223517
FS( 64 ),3505368.070000000298023,3226781.270000000484288,3351013.319999999832362,10083163.660000000149012
FS( 65 ),3491111.019999999552965,3220908.340000000316650,3329465.429999999701977,10041485.789999999105930
FS( 66 ),3492061.490000000223517,3159662.070000000298023,3352118.339999999850988,10003842.900000000372529
FS( 67 ),3463547.389999999664724,3142882.270000000484288,3322282.800000000279397,9928713.460000000894070
FS( 68 ),3422677.179999999701977,3087508.930000000167638,3311232.600000000093132,9821419.709999999031425
FS( 69 ),3427429.530000000260770,3136170.350000000558794,3304049.969999999739230,9867650.850000001490116
FS( 70 ),3432181.879999999888241,3150433.180000000167638,3322835.310000000055879,9905451.370000001043081
FS( 71 ),3418875.299999999813735,3126102.470000000204891,3302392.439999999944121,9847371.209999999031425
FS( 72 ),3442637.049999999813735,3140365.300000000279397,3347145.750000000000000,9930149.099999999627471
FS( 73 ),3514872.769999999552965,3166373.990000000689179,3418419.539999999571592,10099667.299999998882413
FS( 74 ),3525327.940000000409782,3159662.070000000298023,3428917.229999999981374,10113908.240000000223517
FS( 75 ),3508219.479999999515712,3200772.580000000540167,3411789.419999999925494,10120782.480000000447035
FS( 76 ),3523427.000000000000000,3249434.000000000000000,3450465.120000000111759,10223327.120000001043081
FS( 77 ),3502516.660000000149012,3236010.160000000614673,3289684.709999999962747,10028212.530000001192093
FS( 78 ),3522476.530000000260770,3314036.230000000447035,3191890.439999999944121,10028404.200000001117587
FS( 79 ),3561445.799999999813735,3312358.250000000000000,3169237.529999999795109,10043042.580000000074506
FS( 80 ),3597563.660000000149012,3367731.590000000316650,3257086.620000000111759,10222382.870000001043081
FS( 81 ),3642235.750000000000000,3375282.500000000000000,3261506.700000000186265,10279025.949999999254942
FS( 82 ),3627028.229999999515712,3387867.350000000558794,3254876.579999999608845,10269773.160000000149012
FS( 83 ),3656492.799999999813735,3402969.170000000856817,3263716.739999999757856,10323179.710000000894070
FS( 84 ),3666947.969999999739230,3406325.130000000353903,3260401.679999999701977,10333675.779999999329448
FS( 85 ),3680254.549999999813735,3409681.090000000316650,3259296.660000000149012,10349233.300000000745058
FS( 86 ),3659344.209999999962747,3377799.470000000204891,3243273.870000000111759,10280418.550000000745058
FS( 87 ),3672650.790000000037253,3400452.200000000651926,3270346.859999999869615,10343450.849999999627471
FS( 88 ),3665997.500000000000000,3402130.180000000167638,3262611.719999999739230,10330740.399999998509884
FS( 89 ),3648889.040000000037253,3376960.480000000447035,3261506.700000000186265,10287357.220000000670552
FS( 90 ),3679304.080000000074506,3402130.180000000167638,3270346.859999999869615,10351782.119999999180436
FS( 91 ),3682155.490000000223517,3453308.570000000298023,3283054.589999999850988,10418519.650000000372529
FS( 92 ),3653641.389999999664724,3430655.840000000316650,3263716.739999999757856,10348014.970000000670552
FS( 93 ),3638433.870000000111759,3444079.680000000167638,3279187.020000000018626,10361701.570000000298023
FS( 94 ),3627978.700000000186265,3429816.850000000558794,3270346.859999999869615,10328143.410000000149012
FS( 95 ),3570000.030000000260770,3470927.360000000335276,3407921.850000000093132,10448850.240000000223517
FS( 96 ),3519625.120000000111759,3484351.200000000651926,3449360.100000000093132,10453337.419999999925494
FS( 97 ),3541485.929999999701977,3468410.390000000596046,3483063.209999999962747,10492960.530000001192093
FS( 98 ),3526278.410000000149012,3472605.340000000316650,3521186.399999999906868,10520071.150000000372529
FS( 99 ),3526278.410000000149012,3472605.340000000316650,3521186.399999999906868,10520071.150000000372529
FS( 100 ),3590910.370000000111759,3472605.340000000316650,3595222.739999999757856,10658739.450000001117587
FS( 101 ),3575702.849999999627471,3477639.280000000726432,3608482.979999999981374,10661826.110000001266599
FS( 102 ),3586158.019999999552965,3502808.980000000447035,3628925.850000000093132,10717893.849999999627471
FS( 103 ),3567148.620000000111759,3475122.310000000521541,3615665.609999999869615,10657937.540000000968575
FS( 104 ),3551941.099999999627471,3493580.090000000316650,3636660.989999999757856,10682183.179999999701977
FS( 105 ),3474002.559999999590218,3442401.700000000651926,3621743.219999999739230,10538148.480000000447035
FS( 106 ),3499665.250000000000000,3468410.390000000596046,3646053.659999999683350,10614130.300000000745058
FS( 107 ),3480655.849999999627471,3456664.530000000726432,3618980.669999999925494,10556302.050000000745058
FS( 108 ),3546238.280000000260770,3504486.960000000894070,3642738.600000000093132,10693464.840000001713634
FS( 109 ),3530080.290000000037253,3493580.090000000316650,3639423.540000000037253,10663084.920000001788139
FS( 110 ),3575702.849999999627471,3560699.290000000037253,3769263.389999999664724,10905666.529999999329448
FS( 111 ),3548139.219999999739230,3570767.170000000856817,3731140.200000000186265,10850047.589999999850988
FS( 112 ),3573801.910000000149012,3602648.790000000037253,3741637.889999999664724,10918089.589999999850988
FS( 113 ),3550040.160000000149012,3606843.740000000689179,3705724.739999999757856,10862609.640000000596046
FS( 114 ),3599464.599999999627471,3670606.980000000447035,3736665.299999999813735,11006737.879999998956919
FS( 115 ),3616573.059999999590218,3653827.180000000167638,3743295.419999999925494,11013696.660000000149012
FS( 116 ),3610870.240000000223517,3676479.910000000614673,3763738.290000000037253,11051089.440000001341105
FS( 117 ),3599464.599999999627471,3668929.000000000000000,3746610.479999999981374,11015005.080000000074506
FS( 118 ),3590910.370000000111759,3632852.430000000167638,3785838.689999999478459,11009602.490000000223517
FS( 119 ),3549089.690000000409782,3635369.400000000372529,3740532.870000000111759,10924992.960000000894070
FS( 120 ),3561445.799999999813735,3687386.780000000726432,3718432.469999999739230,10967266.050000000745058
FS( 121 ),3553842.040000000037253,3662217.080000000540167,3767053.350000000093132,10983113.470000000670552
FS( 122 ),3568099.089999999850988,3678157.890000000596046,3789153.750000000000000,11035411.730000000447035
FS( 123 ),3627978.700000000186265,3673123.950000000651926,3789706.260000000242144,11090809.910000000149012
FS( 124 ),3638433.870000000111759,3689064.760000000242144,3773683.469999999739230,11101183.100000001490116
FS( 125 ),3716372.410000000149012,3728497.290000000037253,3852139.889999999664724,11297010.589999999850988
