代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12520049.589999999850988
真實報酬,2520049.589999999850988

夏普值報酬,0.243304959000000
夏普值風險,0.063817630148593
夏普值,3.812503824311378

預期報酬,20657.613705688392656
風險,135746.489477221854031
趨勢值,0.152177885301076
找到最佳解世代,1906
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
HD[9](18),KO[14](1),MCD[15](12),XOM[29](4),
20100727,2545422.129999999888241,2746407.200000000186265,2671927.089999999850988,2663830.700000000186265,10627587.120000001043081
20100728,2500890.629999999888241,2737428.799999999813735,2648016.699999999720603,2668211.199999999720603,10554547.329999998211861
20100729,2498218.739999999757856,2743414.399999999906868,2633215.029999999329448,2643242.350000000093132,10518090.519999999552965
20100730,2539187.720000000204891,2749400.000000000000000,2646498.579999999608845,2614331.049999999813735,10549417.350000001490116
20100802,2593516.149999999906868,2814244.000000000000000,2666234.139999999664724,2713330.349999999627471,10787324.640000000596046
20100803,2533843.939999999944121,2812248.799999999813735,2673824.739999999757856,2747498.250000000000000,10767415.730000000447035
20100804,2557890.949999999720603,2821227.200000000186265,2682933.459999999497086,2747498.250000000000000,10809549.859999999403954
20100805,2557000.319999999832362,2812248.799999999813735,2673824.739999999757856,2747060.199999999720603,10790134.059999998658895
20100806,2554328.429999999701977,2831203.199999999720603,2722784.109999999403954,2714644.500000000000000,10822960.239999998360872
20100809,2556109.689999999944121,2849160.000000000000000,2767568.649999999906868,2735670.899999999906868,10908509.240000000223517
20100810,2515140.709999999497086,2842176.799999999813735,2764532.409999999683350,2712892.299999999813735,10834742.219999998807907
20100811,2467937.319999999832362,2795289.600000000093132,2716332.099999999627471,2645432.600000000093132,10624991.619999999180436
20100812,2459031.020000000018626,2778330.399999999906868,2734929.069999999832362,2638423.799999999813735,10610714.289999999105930
20100813,2432312.119999999646097,2780325.600000000093132,2728477.059999999590218,2624406.199999999720603,10565520.979999998584390
20100816,2438546.529999999795109,2787308.799999999813735,2724681.759999999776483,2623092.049999999813735,10573629.140000000596046
20100817,2521375.119999999646097,2799280.000000000000000,2778954.549999999813735,2664268.750000000000000,10763878.419999998062849
20100818,2570359.770000000018626,2785313.600000000093132,2780093.139999999664724,2634919.399999999906868,10770685.910000000149012
20100819,2513359.449999999720603,2757380.799999999813735,2769466.299999999813735,2597247.100000000093132,10637453.650000000372529
20100820,2508906.299999999813735,2758378.399999999906868,2773641.129999999422580,2579725.100000000093132,10620650.929999997839332
20100823,2478624.879999999888241,2773342.399999999906868,2783508.909999999683350,2606446.149999999906868,10641922.339999999850988
20100824,2474171.729999999981374,2776335.199999999720603,2759978.049999999813735,2581915.349999999627471,10592400.329999998211861
20100825,2523156.379999999888241,2763366.399999999906868,2777815.959999999497086,2580601.199999999720603,10644939.939999997615814
20100826,2527609.529999999795109,2751395.199999999720603,2776677.369999999646097,2561765.049999999813735,10617447.149999998509884
20100827,2559672.209999999497086,2801275.199999999720603,2808178.359999999403954,2619587.649999999906868,10788713.419999998062849
20100830,2492874.959999999497086,2771347.200000000186265,2760737.109999999403954,2584543.649999999906868,10609502.919999999925494
20100831,2477734.250000000000000,2787308.799999999813735,2772882.069999999832362,2589362.199999999720603,10627287.319999998435378
20100901,2553437.799999999813735,2859136.000000000000000,2829052.509999999776483,2668211.199999999720603,10909837.509999999776483
20100902,2619344.419999999925494,2862128.799999999813735,2847269.949999999720603,2674781.950000000186265,11003525.120000001043081
20100903,2658532.140000000130385,2871107.200000000186265,2849926.659999999683350,2686171.250000000000000,11065737.250000000000000
20100907,2612219.379999999888241,2875097.600000000093132,2876873.289999999571592,2652441.399999999906868,11016631.669999999925494
20100908,2622906.939999999944121,2885073.600000000093132,2887500.129999999422580,2661202.399999999906868,11056683.070000000298023
20100909,2619344.419999999925494,2908018.399999999906868,2822600.500000000000000,2674343.899999999906868,11024307.220000000670552
20100910,2643391.429999999701977,2918992.000000000000000,2846890.419999999925494,2680914.649999999906868,11090188.500000000000000
20100913,2671000.959999999497086,2895049.600000000093132,2830191.099999999627471,2672153.649999999906868,11068395.310000000521541
20100914,2669219.699999999720603,2873102.399999999906868,2806280.709999999497086,2672591.699999999720603,11021194.509999997913837
20100915,2666547.810000000055879,2864124.000000000000000,2835504.519999999552965,2672153.649999999906868,11038329.980000000447035
20100916,2667438.439999999944121,2869112.000000000000000,2838920.289999999571592,2670839.500000000000000,11046310.229999998584390
20100917,2662094.659999999683350,2871107.200000000186265,2820702.849999999627471,2662516.549999999813735,11016421.259999997913837
20100920,2729782.539999999571592,2892056.799999999813735,2850685.719999999739230,2696246.399999999906868,11168771.459999999031425
20100921,2752938.919999999925494,2899040.000000000000000,2865866.919999999925494,2695808.350000000093132,11213654.189999999478459
20100922,2750267.029999999795109,2905025.600000000093132,2851444.779999999329448,2691865.899999999906868,11198603.310000000521541
20100923,2746704.509999999776483,2887068.799999999813735,2832847.809999999590218,2678724.399999999906868,11145345.519999999552965
20100924,2817954.909999999683350,2923980.000000000000000,2850306.189999999478459,2705007.399999999906868,11297248.500000000000000
20100927,2814392.390000000130385,2922982.399999999906868,2837402.169999999925494,2703255.199999999720603,11278032.160000000149012
20100928,2833095.619999999646097,2947922.399999999906868,2832468.279999999329448,2718586.950000000186265,11332073.250000000000000
20100929,2833095.619999999646097,2930963.199999999720603,2825636.739999999757856,2697998.600000000093132,11287694.159999998286366
20100930,2821517.429999999701977,2918992.000000000000000,2827913.919999999925494,2706759.600000000093132,11275182.949999999254942
20101001,2833986.250000000000000,2948920.000000000000000,2843474.649999999906868,2739613.350000000093132,11365994.250000000000000
20101004,2820626.799999999813735,2936948.799999999813735,2844613.239999999757856,2724281.599999999627471,11326470.439999999478459
20101005,2826861.209999999497086,2975855.199999999720603,2877632.349999999627471,2771152.949999999720603,11451501.709999997168779
20101006,2819736.169999999925494,2980843.199999999720603,2861692.089999999850988,2791303.250000000000000,11453574.709999999031425
20101007,2826861.209999999497086,2964881.599999999627471,2879150.469999999739230,2796997.899999999906868,11467891.179999997839332
20101008,2840220.659999999683350,2963884.000000000000000,2888259.189999999478459,2820214.549999999813735,11512578.399999998509884
20101011,2831314.359999999869615,2970867.200000000186265,2868903.159999999683350,2827661.399999999906868,11498746.120000001043081
20101012,2797470.419999999925494,2972862.399999999906868,2868523.629999999422580,2834232.149999999906868,11473088.599999999627471
20101013,2760954.589999999850988,2989821.599999999627471,2874975.639999999664724,2849125.850000000093132,11474877.679999997839332
20101014,2744032.619999999646097,2988824.000000000000000,2923935.009999999776483,2860515.149999999906868,11517306.779999999329448
20101015,2734235.689999999944121,2989821.599999999627471,2940634.329999999608845,2855696.599999999627471,11520388.219999998807907
20101018,2719094.979999999981374,2992814.399999999906868,2934561.849999999627471,2903444.049999999813735,11549915.280000001192093
20101019,2708407.419999999925494,3009773.600000000093132,2922037.359999999403954,2852630.250000000000000,11492848.629999998956919
20101020,2736907.580000000074506,3050675.199999999720603,2937977.619999999646097,2891616.700000000186265,11617177.099999997764826
20101021,2833095.619999999646097,3066636.799999999813735,2977069.209999999497086,2905196.249999999534339,11781997.879999998956919
20101022,2803704.830000000074506,3073620.000000000000000,2981244.039999999571592,2906072.350000000093132,11764641.219999998807907
20101025,2796579.789999999571592,3043692.000000000000000,2986936.989999999757856,2899939.649999999906868,11727148.429999999701977
20101026,2786782.859999999869615,3054665.600000000093132,2989214.169999999925494,2914395.299999999813735,11745057.929999999701977
20101027,2752048.289999999571592,3052670.399999999906868,2940634.329999999608845,2876723.000000000000000,11622076.019999999552965
20101028,2777876.560000000055879,3053668.000000000000000,2940634.329999999608845,2900815.750000000000000,11672994.640000000596046
20101029,2752048.289999999571592,3058656.000000000000000,2951640.699999999720603,2912643.099999999627471,11674988.089999997988343
20101101,2735126.319999999832362,3078608.000000000000000,2955815.529999999329448,2932793.399999999906868,11702343.250000000000000
20101102,2806376.720000000204891,3085591.199999999720603,2975551.089999999850988,2971779.850000000093132,11839298.859999999403954
20101103,2801923.569999999832362,3090579.199999999720603,2979346.389999999664724,2977474.500000000000000,11849323.660000000149012
20101104,2844673.810000000055879,3115519.199999999720603,3005154.429999999701977,3039239.549999999813735,12004586.989999998360872
20101105,2842892.549999999813735,3121504.799999999813735,3009708.789999999571592,3066398.649999999906868,12040504.789999999105930
20101108,2804595.459999999497086,3115519.199999999720603,3010088.319999999832362,3080416.249999999534339,12010619.229999998584390
20101109,2802814.199999999720603,3124497.600000000093132,3002118.189999999478459,3093995.799999999813735,12023425.789999999105930
20101110,2821517.429999999701977,3120507.200000000186265,3017299.389999999664724,3115898.299999999813735,12075222.320000000298023
20101111,2823298.689999999944121,3132478.399999999906868,3024889.989999999757856,3146561.799999999813735,12127228.879999998956919
20101112,2800142.310000000055879,3138464.000000000000000,2992629.939999999478459,3109765.599999999627471,12041001.849999999627471
20101115,2795689.159999999683350,3140459.199999999720603,3000979.599999999627471,3087425.050000000279397,12024553.009999999776483
20101116,2824189.319999999832362,3096564.799999999813735,2938357.149999999906868,3019965.349999999627471,11879076.619999999180436
20101117,2745813.879999999888241,3118512.000000000000000,2974412.500000000000000,3023031.700000000186265,11861770.079999998211861
20101118,2749376.399999999906868,3184353.600000000093132,2999081.949999999720603,3079978.200000000186265,12012790.149999998509884
20101119,2780548.449999999720603,3208295.999999999534339,3022612.809999999590218,3090053.350000000093132,12101510.609999997541308
20101122,2768970.259999999776483,3206300.799999999813735,3018058.449999999720603,3074721.599999999627471,12068051.109999999403954
20101123,2752938.919999999925494,3173380.000000000000000,2998702.419999999925494,3021717.550000000279397,11946738.890000000596046
20101124,2775204.669999999925494,3223260.000000000000000,3016540.329999999608845,3061142.049999999813735,12076147.050000000745058
20101126,2760954.589999999850988,3198320.000000000000000,2980864.509999999776483,3032668.800000000279397,11972807.900000000372529
20101129,2733345.060000000055879,3162406.399999999906868,2970237.669999999925494,3042305.899999999906868,11908295.029999999329448
20101130,2690594.819999999832362,3151432.799999999813735,2971755.789999999571592,3047124.450000000186265,11860907.859999999403954
20101201,2815283.020000000018626,3227250.399999999906868,3009329.259999999776483,3124659.299999999813735,12176521.980000000447035
20101202,2971143.270000000018626,3237226.400000000372529,3012745.029999999329448,3131230.050000000279397,12352344.750000000000000
20101203,2981830.829999999608845,3217274.399999999906868,3027167.169999999925494,3118526.599999999627471,12344798.999999998137355
20101206,2969362.010000000242144,3192334.399999999906868,3020335.629999999422580,3123783.200000000186265,12305815.239999998360872
20101207,2988065.239999999757856,3199317.600000000093132,3049179.909999999683350,3130353.949999999720603,12366916.699999999254942
20101208,3030815.479999999981374,3212286.400000000372529,2988455.109999999403954,3147437.899999999441206,12378994.890000000596046
20101209,3056643.750000000000000,3234233.600000000093132,2945568.219999999739230,3154008.649999999906868,12390454.220000000670552
20101210,3063768.789999999571592,3225255.199999999720603,2943670.569999999832362,3161893.550000000279397,12394588.109999999403954
20101213,3078018.870000000111759,3234233.600000000093132,2926591.719999999739230,3169778.449999999720603,12408622.640000000596046
20101214,3092268.949999999720603,3187346.399999999906868,2926591.719999999739230,3161893.550000000279397,12368100.620000001043081
20101215,3098503.359999999869615,3229245.599999999627471,2921657.829999999608845,3147437.899999999441206,12396844.689999997615814
20101216,3127894.149999999441206,3259173.600000000093132,2911410.519999999552965,3163645.750000000000000,12462124.019999999552965
20101217,3126112.890000000130385,3277130.399999999906868,2915205.819999999832362,3161455.500000000000000,12479904.609999999403954
20101220,3135019.189999999944121,3258175.999999999534339,2919380.649999999906868,3163645.750000000000000,12476221.589999999850988
20101221,3124331.629999999888241,3266156.800000000279397,2917103.469999999739230,3185548.250000000000000,12493140.149999998509884
20101222,3133237.929999999701977,3272142.399999999441206,2922796.419999999925494,3189052.649999999906868,12517229.400000000372529
20101223,3125222.260000000242144,3271144.799999999813735,2920898.769999999552965,3206574.649999999906868,12523840.480000000447035
20101227,3138581.709999999962747,3245207.200000000186265,2900783.679999999701977,3198251.700000000186265,12482824.289999999105930
20101228,3125222.260000000242144,3260171.199999999720603,2900783.679999999701977,3216211.750000000000000,12502388.890000000596046
20101229,3107409.659999999683350,3265159.199999999720603,2922037.359999999403954,3214021.500000000000000,12508627.719999998807907
20101230,3104737.770000000018626,3267154.399999999906868,2913308.169999999925494,3213583.449999999720603,12498783.789999999105930
20101231,3122550.370000000111759,3281120.799999999813735,2913308.169999999925494,3203070.250000000000000,12520049.589999999850988
