代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12054903.150000000372529
真實報酬,2054903.150000000372529

夏普值報酬,0.196790315000000
夏普值風險,0.058606799032372
夏普值,3.357806914028898

預期報酬,16397.530079022828431
風險,171654.406022530078189
趨勢值,0.095526415307223
找到最佳解世代,1714
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
GS[8](3),HD[9](2),INTC[11](8),NKE[19](5),PG[21](1),
20140926,2211169.920000000391155,2293471.640000000130385,2217472.639999999664724,2307884.839999999850988,2152433.519999999552965,11182432.559999998658895
20140929,2195762.160000000149012,2294459.759999999776483,2258896.000000000000000,2298086.160000000149012,2148870.799999999813735,11196074.879999998956919
20140930,2192656.720000000204891,2266298.339999999850988,2253718.080000000074506,2300149.040000000037253,2131057.200000000186265,11143879.379999998956919
20141001,2158377.439999999944121,2248512.180000000167638,2199997.160000000149012,2261470.040000000037253,2115788.400000000372529,10984145.220000000670552
20141002,2184415.359999999869615,2278649.839999999850988,2169576.879999999888241,2302727.639999999664724,2113498.080000000074506,11048867.799999998882413
20141003,2246404.720000000204891,2310763.740000000223517,2202586.120000000111759,2328513.639999999664724,2132329.600000000558794,11220597.820000000298023
20141006,2239357.759999999776483,2303846.900000000372529,2207764.040000000037253,2300664.759999999776483,2126731.040000000037253,11178364.500000000000000
20141007,2195403.840000000316650,2284331.530000000260770,2166340.679999999701977,2271268.719999999739230,2116297.359999999403954,11033642.129999998956919
20141008,2229324.799999999813735,2324350.390000000130385,2218119.879999999888241,2290866.080000000074506,2142254.320000000298023,11204915.469999998807907
20141009,2165185.520000000484288,2299153.330000000074506,2176049.280000000260770,2249608.479999999515712,2129021.359999999403954,11019017.969999998807907
20141010,2154555.359999999869615,2286307.770000000018626,2065371.240000000223517,2248577.040000000037253,2155232.799999999813735,10910044.210000000894070
20141013,2135325.520000000484288,2238136.919999999925494,2036892.680000000167638,2202162.240000000223517,2121641.440000000409782,10734158.800000000745058
20141014,2134489.439999999944121,2225785.419999999925494,2080257.760000000242144,2194426.439999999478459,2126222.080000000074506,10761181.139999998733401
20141015,2117051.200000000186265,2170203.669999999925494,2024595.120000000111759,2196489.319999999832362,2110953.280000000260770,10619292.589999999850988
20141016,2061392.160000000381842,2195647.759999999776483,1996763.800000000279397,2244451.279999999795109,2092885.199999999720603,10591140.199999999254942
20141017,2113109.680000000167638,2229243.839999999850988,2031067.520000000018626,2248061.319999999832362,2119096.639999999664724,10740579.000000000000000
20141020,2124217.600000000093132,2269015.669999999925494,2044012.320000000065193,2292413.240000000223517,2142254.320000000298023,10871913.150000000372529
20141021,2152166.560000000055879,2327067.720000000204891,2110678.040000000037253,2337280.879999999888241,2153196.959999999962747,11080390.160000000149012
20141022,2112154.160000000149012,2305823.140000000130385,2088671.880000000353903,2317167.799999999813735,2143526.719999999739230,10967343.699999999254942
20141023,2150733.280000000260770,2341889.520000000018626,2115855.959999999962747,2330576.519999999552965,2118078.719999999739230,11057134.000000000000000
20141024,2190029.040000000037253,2346583.089999999850988,2147570.719999999739230,2343985.240000000223517,2167193.359999999403954,11195361.449999999254942
20141027,2196717.680000000167638,2358440.530000000260770,2148865.200000000186265,2363066.879999999888241,2187297.280000000260770,11254387.570000000298023
20141028,2225502.720000000204891,2386107.890000000130385,2183816.160000000149012,2384211.399999999906868,2200530.240000000223517,11380168.410000000149012
20141029,2222636.160000000149012,2381908.380000000353903,2195466.480000000447035,2371318.399999999906868,2202311.600000000558794,11373641.020000003278255
20141030,2233266.320000000298023,2409081.680000000167638,2108736.320000000298023,2398135.839999999850988,2212490.799999999813735,11361710.960000000894070
20141031,2269337.200000000186265,2409081.680000000167638,2201291.639999999664724,2397620.120000000111759,2220888.639999999664724,11498219.280000001192093
20141103,2279370.160000000149012,2373756.390000000130385,2220708.839999999850988,2409997.399999999906868,2223687.919999999925494,11507520.710000000894070
20141104,2272681.520000000484288,2370545.000000000000000,2235595.360000000335276,2422890.399999999906868,2255752.400000000372529,11557464.680000001564622
20141105,2267545.600000000093132,2366098.459999999962747,2185110.639999999664724,2441456.319999999832362,2264913.679999999701977,11525124.699999999254942
20141106,2281400.640000000130385,2403399.990000000223517,2188994.080000000074506,2439393.439999999478459,2262368.879999999888241,11575557.030000001192093
20141107,2277936.880000000353903,2412293.070000000298023,2173460.320000000298023,2418248.919999999925494,2268221.919999999925494,11550161.110000001266599
20141110,2290955.840000000316650,2424891.600000000093132,2152748.639999999664724,2448676.399999999906868,2276365.280000000260770,11593637.760000001639128
20141111,2291911.359999999869615,2424397.540000000037253,2155984.839999999850988,2446613.519999999552965,2281963.839999999850988,11600871.099999999627471
20141112,2271606.560000000055879,2433043.589999999850988,2160515.520000000484288,2470852.359999999869615,2277128.719999999739230,11613146.750000000000000
20141113,2272323.200000000186265,2445642.120000000111759,2179932.719999999739230,2478588.160000000149012,2254734.479999999515712,11631220.679999999701977
20141114,2269217.759999999776483,2426867.839999999850988,2197408.200000000186265,2462600.839999999850988,2242264.959999999962747,11598359.600000001490116
20141117,2268620.560000000055879,2421680.209999999962747,2216178.160000000149012,2477041.000000000000000,2235394.000000000000000,11618913.929999999701977
20141118,2265156.799999999813735,2371039.060000000055879,2246598.440000000409782,2487871.120000000111759,2238193.280000000260770,11608858.699999999254942
20141119,2259782.000000000000000,2388825.220000000204891,2223297.799999999813735,2500248.399999999906868,2258042.719999999739230,11630196.140000000596046
20141120,2266470.640000000130385,2410316.830000000074506,2326856.200000000186265,2509015.639999999664724,2251426.240000000223517,11764085.550000000745058
20141121,2264559.600000000093132,2427855.959999999962747,2303555.560000000521541,2512109.959999999962747,2254734.479999999515712,11762815.560000002384186
20141124,2270292.720000000204891,2430820.320000000298023,2346273.400000000372529,2526034.399999999906868,2242264.959999999962747,11815685.800000000745058
20141125,2255840.480000000447035,2396483.150000000372529,2350804.080000000074506,2509015.639999999664724,2259824.080000000074506,11771967.430000001564622
20141126,2251779.520000000484288,2413528.220000000204891,2388344.000000000000000,2521908.639999999664724,2261859.919999999925494,11837420.299999998882413
20141128,2250465.680000000167638,2455523.320000000298023,2410997.400000000372529,2560587.639999999664724,2301304.320000000298023,11978878.359999999403954
20141201,2247957.439999999944121,2442677.759999999776483,2405819.480000000447035,2519330.040000000037253,2292397.519999999552965,11908182.239999998360872
20141202,2271726.000000000000000,2424891.600000000093132,2433650.799999999813735,2528097.279999999795109,2317591.040000000037253,11975956.719999998807907
20141203,2280803.439999999944121,2435513.890000000130385,2422647.719999999739230,2539958.839999999850988,2290361.679999999701977,11969285.570000000298023
20141204,2292747.439999999944121,2444406.970000000204891,2424589.440000000409782,2554399.000000000000000,2305121.519999999552965,12021264.370000001043081
20141205,2334551.439999999944121,2461452.040000000037253,2438181.480000000447035,2561619.080000000074506,2300031.919999999925494,12095835.960000000894070
20141208,2348525.920000000391155,2480967.410000000149012,2407761.200000000186265,2519845.759999999776483,2309702.160000000149012,12066802.449999999254942
20141209,2351750.799999999813735,2461452.040000000037253,2387696.759999999776483,2502311.279999999795109,2308429.759999999776483,12011640.639999998733401
20141210,2293344.640000000130385,2444159.939999999944121,2357276.480000000447035,2518298.599999999627471,2290361.679999999701977,11903441.339999999850988
20141211,2311738.399999999906868,2477014.930000000167638,2375399.200000000186265,2499732.679999999701977,2300795.359999999403954,11964680.570000000298023
20141212,2255362.720000000204891,2464910.459999999962747,2344978.919999999925494,2480135.319999999832362,2278910.080000000074506,11824297.500000000000000
20141215,2216186.399999999906868,2471580.270000000018626,2324914.480000000447035,2461053.679999999701977,2270003.280000000260770,11743738.109999999403954
20141216,2189551.280000000260770,2397718.300000000279397,2301613.839999999850988,2403808.759999999776483,2274074.959999999962747,11566767.140000000596046
20141217,2210094.959999999962747,2444159.939999999944121,2345626.160000000149012,2436814.839999999850988,2308175.280000000260770,11744871.179999999701977
20141218,2288686.480000000447035,2486896.130000000353903,2396110.879999999888241,2503342.719999999739230,2341257.679999999701977,12016293.890000000596046
20141219,2308632.959999999962747,2518021.910000000149012,2354040.280000000260770,2445582.080000000074506,2342530.080000000074506,11968807.310000000521541
20141222,2322488.000000000000000,2556805.620000000111759,2408408.440000000409782,2473946.679999999701977,2356526.479999999515712,12118175.219999998807907
20141223,2335148.640000000130385,2563228.400000000372529,2422647.719999999739230,2474978.120000000111759,2374085.600000000558794,12170088.480000000447035
20141224,2339806.799999999813735,2558287.800000000279397,2423294.959999999962747,2483229.639999999664724,2370268.400000000372529,12174887.599999999627471
20141226,2334551.439999999944121,2562981.370000000111759,2430414.599999999627471,2497154.080000000074506,2378411.759999999776483,12203513.250000000000000
20141229,2343390.000000000000000,2582249.709999999962747,2406466.719999999739230,2509015.639999999664724,2357544.400000000372529,12198666.470000000670552
20141230,2337656.880000000353903,2575826.930000000167638,2379282.639999999664724,2498185.519999999552965,2351436.879999999888241,12142388.849999997764826
20141231,2315202.160000000149012,2593119.030000000260770,2348862.360000000335276,2479619.599999999627471,2318100.000000000000000,12054903.150000000372529
