訓練日期,20140513 - 20140813
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11680568.570000000298023
真實報酬,1680568.570000000298023

夏普值報酬,0.159356857000000
夏普值風險,0.050652153795074
夏普值,3.146102289050107

預期報酬,28152.266586344958341
風險,156916.137394849618431
趨勢值,0.179409632774130
找到最佳解世代,2355
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](2),DIS[6](5),INTC[11](1),
20140604,3625770.370000000111759,3406939.259999999776483,3488812.379999999888241,10521523.009999999776483
20140605,3639939.610000000335276,3428778.479999999981374,3496396.739999999757856,10565115.830000000074506
20140606,3629706.270000000018626,3421903.169999999925494,3560863.799999999813735,10612474.239999998360872
20140609,3687957.590000000316650,3457088.580000000074506,3527998.239999999757856,10673045.410000000149012
20140610,3709605.040000000037253,3427565.189999999944121,3569712.219999999739230,10706883.449999999254942
20140611,3694255.029999999795109,3409770.270000000018626,3530526.359999999869615,10634552.660000000149012
20140612,3632461.400000000372529,3348701.339999999850988,3534318.540000000037253,10515482.280000001192093
20140613,3592708.810000000055879,3348701.339999999850988,3775754.000000000000000,10717165.150000000372529
20140616,3628919.090000000316650,3368922.839999999850988,3793450.839999999850988,10791293.769999999552965
20140617,3624196.009999999776483,3363260.819999999832362,3785866.479999999515712,10773324.309999998658895
20140618,3628131.910000000149012,3380246.879999999888241,3783338.359999999869615,10791718.150000000372529
20140619,3615537.029999999795109,3387931.049999999813735,3803563.319999999832362,10807032.400000000372529
20140620,3578145.979999999981374,3349510.199999999720603,3817467.979999999515712,10745125.160000000149012
20140623,3574997.259999999776483,3347083.620000000111759,3821260.159999999683350,10743342.039999999105930
20140624,3553349.810000000055879,3343848.180000000167638,3855389.779999999795109,10752588.769999999552965
20140625,3556498.529999999795109,3393188.640000000130385,3903424.059999999590218,10853112.230000000447035
20140626,3577752.390000000130385,3415432.290000000037253,3890783.459999999962747,10883969.140000000596046
20140627,3620260.110000000335276,3449808.839999999850988,3909744.359999999869615,10979814.310000000521541
20140630,3657651.160000000149012,3467603.759999999776483,3905952.179999999701977,11031208.099999999627471
20140701,3680872.969999999739230,3497127.149999999906868,3916064.659999999683350,11094065.779999999329448
20140702,3679298.610000000335276,3495913.859999999869615,3916064.659999999683350,11091278.130000000819564
20140703,3700946.060000000055879,3512091.060000000055879,3936289.619999999646097,11149327.740000000223517
20140707,3777302.520000000018626,3501980.310000000055879,3922384.959999999962747,11201668.789999999105930
20140708,3752899.939999999944121,3472456.919999999925494,3892047.519999999552965,11117405.379999998956919
20140709,3754474.300000000279397,3527459.399999999906868,3904688.119999999646097,11186622.820000000298023
20140710,3740698.650000000372529,3512899.919999999925494,3951458.339999999850988,11205057.910000000149012
20140711,3747783.270000000018626,3514113.209999999962747,3950194.279999999795109,11212091.759999999776483
20140714,3796194.840000000316650,3508855.620000000111759,3980531.719999999739230,11285583.179999999701977
20140715,3751719.169999999925494,3484185.390000000130385,4008341.040000000037253,11244246.600000001490116
20140716,3730465.310000000055879,3451830.989999999757856,4379974.679999999701977,11562271.980000000447035
20140717,3663948.600000000093132,3438889.229999999981374,4259888.980000000447035,11362727.810000000521541
20140718,3716689.660000000149012,3470434.770000000018626,4259888.980000000447035,11447014.410000000149012
20140721,3697403.750000000000000,3467603.759999999776483,4305395.140000000596046,11470403.650000000372529
20140722,3728103.770000000018626,3486611.969999999739230,4397671.519999999552965,11612388.259999999776483
20140723,3825320.500000000000000,3479736.660000000149012,4361013.779999999329448,11666071.939999999478459
20140724,3819023.060000000055879,3510473.339999999850988,4329412.279999999329448,11658909.679999999701977
20140725,3844212.820000000298023,3487420.830000000074506,4329412.279999999329448,11661046.929999999701977
20140728,3897347.469999999739230,3524628.390000000130385,4326884.160000000149012,11748861.019999999552965
20140729,3872157.709999999962747,3486207.540000000037253,4321827.919999999925494,11680194.169999999925494
20140730,3863105.140000000130385,3527054.969999999739230,4342052.880000000819564,11732213.990000000223517
20140731,3762739.689999999944121,3473265.779999999795109,4283906.119999999180436,11519912.589999999850988
20140801,3783599.959999999962747,3453044.279999999795109,4264945.220000000670552,11501590.460000000894070
20140804,3762346.100000000093132,3528268.259999999776483,4304131.080000000074506,11594746.439999999478459
20140805,3743847.370000000111759,3508451.189999999944121,4148651.699999999720603,11400951.259999999776483
20140806,3737549.929999999701977,3501980.310000000055879,4152443.879999999888241,11391975.120000001043081
20140807,3718657.610000000335276,3458301.870000000111759,4130954.859999999869615,11307915.339999999850988
20140808,3728890.949999999720603,3512495.489999999757856,4120842.379999999888241,11362229.820000000298023
20140811,3778089.699999999720603,3538783.439999999944121,4173932.900000000372529,11490807.039999999105930
20140812,3777302.520000000018626,3527054.969999999739230,4187837.560000000055879,11492196.050000000745058
20140813,3827288.449999999720603,3542827.739999999757856,4310451.380000000819564,11680568.570000000298023
