訓練日期,20160609 - 20160909
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,10557037.899999998509884
真實報酬,557037.899999998509884

夏普值報酬,0.047003790000000
夏普值風險,0.025436833552208
夏普值,1.847863253243608

預期報酬,12699.780415843688388
風險,104340.849699162630714
趨勢值,0.121714366448614
找到最佳解世代,2870
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,7
AAPL[0](13),CSCO[4](5),INTC[11](2),MRK[17](6),PG[21](1),VZ[26](18),WBA[27](17),
20160705,1371540.899999999906868,1388861.559999999823049,1463959.840000000083819,1437991.959999999962747,1476793.359999999869615,1567488.280000000027940,1501941.639999999897555,10208580.539999999105930
20160706,1379337.420000000158325,1407980.919999999925494,1476950.679999999934807,1466750.679999999934807,1469706.919999999925494,1560001.719999999972060,1466515.129999999888241,10227246.469999998807907
20160707,1385257.000000000000000,1408961.399999999906868,1487253.760000000242144,1457329.719999999972060,1466250.119999999878928,1535601.080000000074506,1447632.979999999981374,10188289.060000000521541
20160708,1395941.120000000111759,1434453.879999999888241,1523090.560000000055879,1471461.159999999916181,1482497.079999999841675,1550019.639999999897555,1471010.879999999888241,10328477.320000000298023
20160711,1400272.520000000018626,1442787.959999999962747,1540113.040000000270084,1471213.239999999990687,1482151.399999999906868,1550851.479999999981374,1474787.310000000055879,10362179.950000001117587
20160712,1406625.239999999990687,1451612.279999999795109,1565198.800000000046566,1477659.159999999916181,1482151.399999999906868,1538096.599999999860302,1460580.739999999990687,10381927.219999998807907
20160713,1398684.340000000083819,1458475.639999999897555,1568334.520000000018626,1476419.559999999823049,1484571.159999999916181,1552792.439999999944121,1470471.389999999897555,10409752.050000000745058
20160714,1426405.300000000046566,1458965.879999999888241,1576845.760000000242144,1478898.760000000009313,1484225.479999999981374,1548355.959999999962747,1506617.219999999972060,10480317.360000001266599
20160715,1426260.920000000158325,1461907.319999999832362,1571022.280000000027940,1478402.919999999925494,1486645.239999999990687,1548355.959999999962747,1483778.810000000055879,10456376.450000001117587
20160718,1441420.820000000065193,1466319.479999999981374,1570126.359999999869615,1463279.800000000046566,1485262.520000000018626,1550851.479999999981374,1488634.219999999972060,10465897.680000001564622
20160719,1441998.340000000083819,1466809.719999999972060,1574605.959999999962747,1454354.679999999934807,1489410.679999999934807,1544474.040000000037253,1478383.909999999916181,10450040.329999998211861
20160720,1443297.760000000009313,1501616.759999999776483,1598795.800000000046566,1457577.639999999897555,1474719.279999999795109,1542255.799999999813735,1483778.810000000055879,10502044.849999999627471
20160721,1435645.620000000111759,1499165.559999999823049,1535185.480000000214204,1457577.639999999897555,1473682.239999999990687,1535323.799999999813735,1469212.580000000074506,10405795.919999999925494
20160722,1424528.359999999869615,1505538.679999999934807,1552655.919999999925494,1458321.399999999906868,1481632.879999999888241,1555565.239999999990687,1462918.529999999795109,10441164.009999997913837
20160725,1405470.200000000186265,1509460.599999999860302,1553999.800000000046566,1451875.479999999981374,1483015.599999999860302,1549187.799999999813735,1466874.789999999804422,10419887.269999999552965
20160726,1395796.739999999990687,1513872.759999999776483,1571918.200000000186265,1446917.079999999841675,1473855.079999999841675,1519796.120000000111759,1462558.869999999878928,10384717.849999999627471
20160727,1486467.380000000121072,1507989.879999999888241,1560271.239999999990687,1452867.159999999916181,1459855.039999999804422,1533937.399999999906868,1437562.500000000000000,10438953.599999999627471
20160728,1506536.200000000186265,1496224.119999999878928,1557583.480000000214204,1448652.520000000018626,1465904.439999999944121,1521182.520000000018626,1428930.659999999916181,10425016.939999999478459
20160729,1504659.260000000009313,1496714.359999999869615,1561615.120000000111759,1454354.679999999934807,1479385.959999999962747,1536432.919999999925494,1425154.229999999981374,10458319.530000001192093
20160801,1531225.179999999934807,1506519.159999999916181,1561167.160000000149012,1454354.679999999934807,1493558.839999999850988,1511200.439999999944121,1425513.889999999897555,10483542.349999999627471
20160802,1508557.520000000018626,1501126.520000000018626,1548176.320000000065193,1446173.319999999832362,1499608.239999999990687,1497336.439999999944121,1419759.330000000074506,10420740.689999999478459
20160803,1527471.300000000046566,1506028.919999999925494,1534289.560000000055879,1429314.760000000009313,1485953.879999999888241,1494563.639999999897555,1431448.279999999795109,10409073.339999997988343
20160804,1528626.340000000083819,1509950.839999999850988,1549072.239999999990687,1434025.239999999990687,1487336.599999999860302,1495395.479999999981374,1435944.029999999795109,10440353.769999999552965
20160805,1551871.520000000018626,1521716.599999999860302,1566990.639999999897555,1583273.079999999841675,1482669.919999999925494,1487354.359999999869615,1448172.469999999972060,10642051.589999999850988
20160808,1564721.340000000083819,1520245.879999999888241,1569678.399999999906868,1558481.079999999841675,1482324.239999999990687,1485967.959999999962747,1449970.769999999785796,10631392.669999998062849
20160809,1571074.060000000055879,1516814.199999999953434,1564302.880000000121072,1549308.040000000037253,1486299.559999999823049,1487908.919999999925494,1454646.350000000093132,10630357.009999999776483
20160810,1559379.280000000027940,1512402.040000000037253,1546832.440000000176951,1553026.840000000083819,1491830.439999999944121,1492068.120000000111759,1483598.979999999981374,10639141.140000000596046
20160811,1558368.620000000111759,1517304.439999999944121,1553551.840000000083819,1577570.919999999925494,1499089.719999999972060,1493454.520000000018626,1490972.010000000009313,10690315.070000000298023
20160812,1561978.120000000111759,1513382.520000000018626,1548624.280000000027940,1570629.159999999916181,1504447.760000000009313,1487631.639999999897555,1498345.039999999804422,10685041.519999999552965
20160815,1580747.520000000018626,1529070.199999999953434,1563854.919999999925494,1569885.399999999906868,1504102.079999999841675,1486522.520000000018626,1503560.109999999869615,10737745.749999998137355
20160816,1579303.719999999972060,1525638.520000000018626,1577293.720000000204891,1562943.639999999897555,1496497.119999999878928,1462953.719999999972060,1488993.879999999888241,10693627.320000000298023
20160817,1576993.639999999897555,1506028.919999999925494,1568782.480000000214204,1569141.639999999897555,1503065.039999999804422,1474322.199999999953434,1483958.639999999897555,10682295.560000000521541
20160818,1574972.320000000065193,1494263.159999999916181,1566542.679999999934807,1577570.919999999925494,1511361.359999999869615,1466003.799999999813735,1486296.430000000167638,10677013.669999998062849
20160819,1579014.959999999962747,1496224.119999999878928,1578637.600000000093132,1570877.079999999841675,1509114.439999999944121,1454358.040000000037253,1485217.449999999953434,10673446.689999997615814
20160822,1566742.660000000149012,1501616.759999999776483,1584013.120000000111759,1575587.559999999823049,1501163.799999999813735,1457130.839999999850988,1487914.899999999906868,10674172.639999998733401
20160823,1571651.579999999841675,1518775.159999999916181,1585804.959999999962747,1576331.319999999832362,1510670.000000000000000,1459349.080000000074506,1481441.019999999785796,10704026.119999999180436
20160824,1559812.420000000158325,1522697.079999999841675,1574605.959999999962747,1555258.119999999878928,1509114.439999999944121,1456576.280000000027940,1465076.489999999990687,10643143.789999999105930
20160825,1553170.939999999944121,1533972.599999999860302,1571918.200000000186265,1545093.399999999906868,1519312.000000000000000,1462676.439999999944121,1441878.420000000158325,10628025.000000000000000
20160826,1544075.000000000000000,1536914.040000000037253,1579533.520000000018626,1558233.159999999916181,1513781.119999999878928,1443821.399999999906868,1427671.850000000093132,10604033.089999999850988
20160829,1542342.439999999944121,1548189.559999999823049,1592524.359999999869615,1562199.879999999888241,1526225.599999999860302,1455744.439999999944121,1444935.529999999795109,10672164.809999998658895
20160830,1530503.280000000027940,1546228.599999999860302,1599243.760000000242144,1554762.280000000027940,1513089.760000000009313,1449367.000000000000000,1447992.639999999897555,10641190.320000000298023
20160831,1531947.079999999841675,1541326.199999999953434,1607755.000000000000000,1556745.639999999897555,1509114.439999999944121,1451030.679999999934807,1451409.409999999916181,10649331.449999999254942
20160901,1541043.020000000018626,1548189.559999999823049,1613578.480000000214204,1559472.760000000009313,1526398.439999999944121,1457408.120000000111759,1466335.300000000046566,10712428.679999999701977
20160902,1555481.020000000018626,1560445.559999999823049,1616266.239999999990687,1561456.119999999878928,1524497.199999999953434,1466281.080000000074506,1478563.739999999990687,10762993.960000000894070
20160906,1555047.880000000121072,1562406.520000000018626,1638216.280000000027940,1567902.040000000037253,1532102.159999999916181,1483749.719999999972060,1468133.600000000093132,10807561.200000001117587
20160907,1564576.959999999962747,1558484.599999999860302,1633288.720000000204891,1558729.000000000000000,1520176.199999999953434,1489295.320000000065193,1490432.519999999785796,10814986.319999998435378
20160908,1523573.040000000037253,1542796.919999999925494,1632392.800000000046566,1567902.040000000037253,1517237.919999999925494,1486245.239999999990687,1522622.090000000083819,10792773.049999998882413
20160909,1489066.219999999972060,1512402.040000000037253,1587596.800000000046566,1549308.040000000037253,1490620.559999999823049,1436889.399999999906868,1491151.840000000083819,10557037.899999998509884
