訓練日期,20171002 - 20180103
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11544013.969999998807907
真實報酬,1544013.969999998807907

夏普值報酬,0.145701397000000
夏普值風險,0.041868842734175
夏普值,3.479948034987690

預期報酬,24011.530742753424420
風險,40782.169305464827630
趨勢值,0.588775220928129
找到最佳解世代,2877
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,11
AAPL[0](13),CAT[3](2),CSCO[4](11),CVX[5](25),DIS[6](16),HD[9](17),KO[14](23),MCD[15](6),MSFT[18](7),NKE[19](3),WMT[28](1),
20171116,1009238.039999999920838,994006.850000000209548,969912.000000000000000,886423.519999999902211,955476.660000000032596,930988.520000000018626,940193.380000000004657,975290.820000000065193,1015386.840000000083819,1003417.539999999920838,1158988.320000000065193,10839332.490000000223517
20171117,1003634.940000000060536,992330.380000000004657,970452.639999999897555,887506.559999999939464,954001.140000000013970,932322.440000000060536,923227.900000000023283,967342.079999999958090,1005623.640000000130385,1037782.219999999855645,1133975.219999999972060,10808209.160000002011657
20171120,1002632.279999999911524,998015.800000000046566,986671.839999999967404,887583.920000000041910,947637.960000000079162,947384.619999999995343,918178.650000000023283,968560.500000000000000,1007210.160000000032596,1038834.199999999953434,1134091.560000000055879,10836811.490000000223517
20171121,1021269.959999999962747,1003045.209999999962747,990726.639999999897555,891065.119999999995343,949943.460000000079162,960779.400000000139698,924641.690000000060536,976509.240000000107102,1021732.920000000041910,1041288.819999999948777,1122922.919999999925494,10903935.380000000819564
20171122,1032004.320000000065193,1006033.699999999953434,985320.239999999990687,896789.760000000009313,947545.739999999990687,956333.000000000000000,925853.510000000125729,980860.740000000107102,1014288.479999999981374,1035678.260000000009313,1121643.179999999934807,10902360.929999999701977
20171124,1032063.299999999930151,1001514.519999999902211,986401.520000000018626,901431.359999999986030,946623.540000000037253,957833.660000000032596,926661.390000000130385,981208.860000000102445,1016119.080000000074506,1040061.510000000009313,1124086.320000000065193,10914015.060000000521541
20171127,1026873.060000000055879,1000056.720000000088476,996673.679999999934807,894314.239999999990687,948006.840000000083819,968004.800000000046566,927065.329999999958090,980338.560000000055879,1023563.520000000135042,1045496.739999999990687,1124086.320000000065193,10934489.810000000521541
20171128,1020857.099999999976717,1013176.920000000158325,1019921.199999999837019,900967.200000000069849,953724.480000000097789,981399.579999999958090,925651.540000000037253,994147.320000000065193,1035889.559999999939464,1044620.089999999967404,1125831.419999999925494,11016196.410000000149012
20171129,999683.279999999911524,1006398.150000000023283,1013163.199999999837019,906614.480000000097789,970600.739999999990687,985179.020000000018626,918986.530000000027940,988867.500000000000000,1017095.400000000023283,1058295.829999999841675,1135022.280000000027940,10999916.409999998286366
20171130,1013661.539999999920838,1028921.160000000149012,1008297.439999999944121,920616.640000000013970,966727.500000000000000,999463.079999999958090,924439.720000000088476,997802.579999999958090,1027224.720000000088476,1059347.810000000055879,1131183.060000000055879,11077695.250000001862645
20171201,1008943.140000000013970,1031618.090000000083819,1016407.040000000037253,924639.359999999986030,970692.960000000079162,1002797.880000000004657,928479.119999999995343,1003024.380000000004657,1028323.080000000074506,1049879.989999999990687,1132579.139999999897555,11097394.180000001564622
20171204,1001570.640000000013970,1031472.310000000055879,1019650.879999999888241,934928.239999999990687,1016526.300000000046566,1027697.720000000088476,933730.339999999967404,990143.940000000060536,989514.359999999986030,1053737.250000000000000,1128623.580000000074506,11127605.560000000521541
20171205,1000626.959999999962747,1021559.269999999902211,1008567.760000000009313,931447.040000000037253,988860.300000000046566,1016303.819999999948777,934336.250000000000000,1003720.620000000111759,995738.400000000023283,1059347.810000000055879,1138163.459999999962747,11098681.690000001341105
20171206,996911.219999999972060,1023017.070000000065193,1011270.959999999846332,925412.959999999962747,972629.580000000074506,1004909.920000000041910,938173.680000000051223,1006563.599999999976717,1010261.160000000032596,1047074.709999999962747,1131764.760000000009313,11067999.619999999180436
20171207,998739.599999999976717,1041604.019999999902211,1011000.639999999897555,925567.679999999934807,970785.180000000167638,1011579.520000000018626,924641.690000000060536,1003256.459999999962747,1006722.000000000000000,1062503.750000000000000,1125947.760000000009313,11082358.299999998882413
20171208,999034.500000000000000,1048674.350000000093132,1016677.359999999986030,927811.119999999995343,961286.520000000135042,1019416.300000000046566,915149.100000000093132,1004648.940000000060536,1027102.680000000051223,1074776.849999999860302,1123271.939999999944121,11117859.660000000149012
20171211,1018497.899999999906868,1048018.340000000083819,1026138.559999999939464,931679.119999999995343,985263.720000000088476,1012969.020000000018626,915553.040000000037253,1005229.140000000013970,1040160.960000000079162,1085471.979999999981374,1127692.860000000102445,11196684.640000000596046
20171212,1012776.839999999967404,1045467.189999999944121,1024786.959999999846332,925954.480000000097789,990796.920000000158325,1010467.920000000041910,914745.160000000032596,999311.099999999976717,1044432.359999999986030,1090030.560000000055879,1125017.040000000037253,11183796.530000001192093
20171213,1016138.700000000069849,1083005.540000000037253,1031274.639999999897555,927888.480000000097789,992456.880000000121072,1017304.260000000009313,927065.329999999958090,1006969.740000000107102,1041625.439999999944121,1127375.849999999860302,1137349.080000000074506,11308463.939999999478459
20171214,1015843.799999999930151,1066313.729999999981374,1024516.639999999897555,924794.079999999958090,1019754.000000000000000,1012302.059999999939464,929690.940000000060536,1004590.919999999925494,1033570.800000000046566,1131408.439999999944121,1130019.659999999916181,11292815.070000000298023
20171215,1026165.299999999930151,1069302.219999999972060,1032355.919999999925494,926341.280000000027940,1026209.400000000023283,1014803.160000000032596,932922.459999999962747,1009928.760000000009313,1059931.439999999944121,1135967.020000000018626,1129786.979999999981374,11363723.939999999478459
20171218,1040615.399999999906868,1091752.340000000083819,1040195.199999999837019,926109.200000000069849,1023996.120000000111759,1026752.859999999986030,927671.239999999990687,1010741.039999999920838,1054195.560000000055879,1136317.679999999934807,1138977.840000000083819,11417334.480000000447035
20171219,1029527.159999999916181,1100061.800000000046566,1035329.439999999944121,927192.239999999990687,1031189.280000000144355,1033700.359999999986030,931710.640000000130385,1006041.419999999925494,1047483.359999999986030,1126323.869999999878928,1149448.439999999944121,11418018.009999997913837
20171220,1028406.539999999920838,1111797.090000000083819,1047223.520000000018626,935315.040000000037253,1011638.640000000013970,1041092.500000000000000,930700.790000000037253,998962.979999999981374,1043700.119999999995343,1114927.419999999925494,1148866.739999999990687,11412641.379999998956919
20171221,1032299.219999999972060,1127249.770000000018626,1041546.800000000046566,965717.519999999902211,1010532.000000000000000,1045372.160000000032596,921006.230000000097789,997106.339999999967404,1043456.040000000037253,1135616.359999999869615,1140839.280000000027940,11460751.720000000670552
20171222,1032299.219999999972060,1135340.560000000055879,1042087.439999999944121,966955.280000000027940,1002232.200000000069849,1045650.059999999939464,920804.260000000125729,994611.479999999981374,1043578.080000000074506,1109667.520000000018626,1142584.379999999888241,11435820.480000000447035
20171226,1006112.099999999976717,1140369.969999999972060,1040195.199999999837019,974691.280000000027940,997160.100000000093132,1058044.400000000139698,925247.600000000093132,993857.219999999972060,1042235.640000000130385,1115979.399999999906868,1153636.679999999934807,11447539.589999999850988
20171227,1006289.039999999920838,1148242.090000000083819,1042357.760000000009313,971364.799999999930151,992733.540000000037253,1057099.540000000037253,927671.239999999990687,1001863.979999999981374,1046018.880000000004657,1103706.300000000046566,1154800.080000000074506,11452157.250000001862645
20171228,1009120.080000000074506,1154802.189999999944121,1043168.720000000088476,971596.880000000004657,993932.400000000023283,1054820.760000000009313,923429.869999999995343,1004358.839999999967404,1046140.920000000041910,1103706.300000000046566,1156428.840000000083819,11461515.800000000745058
20171229,998208.779999999911524,1148679.430000000167638,1035329.439999999944121,968579.839999999967404,991534.680000000167638,1053431.260000000009313,926661.390000000130385,998672.880000000004657,1043944.200000000069849,1096693.099999999860302,1148866.739999999990687,11410611.740000000223517
20180102,1016079.719999999972060,1144743.370000000111759,1050467.359999999869615,987068.880000000004657,1031097.060000000055879,1045094.260000000009313,919794.410000000032596,1005055.079999999958090,1048947.840000000083819,1113174.119999999878928,1147005.300000000046566,11508537.400000000372529
20180103,1015902.779999999911524,1146492.729999999981374,1058847.279999999795109,994263.359999999986030,1035523.620000000111759,1050541.099999999860302,917774.709999999962747,1000819.620000000111759,1053829.439999999944121,1112998.789999999804422,1157010.540000000037253,11544013.969999998807907
