代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12114939.399999998509884
真實報酬,2114939.399999998509884

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9801.350751905010839
風險,246362.748645184561610
起點值,0.039784223896694
找到最佳解世代,2264
找到最佳解實驗#,3
找到最佳解次數,43

stock[index](rank)
投資組合檔數,5
CAT[3](2),MRK[17](5),PG[21](8),UNH[23](1),WMT[28](9),
FS( 54 ),2232386.400000000372529,2012194.880000000121072,2126319.049999999813735,2176538.440000000409782,2211841.910000000149012,10759280.679999999701977
FS( 55 ),2222384.959999999962747,2020959.950000000186265,2111518.030000000260770,2198519.879999999888241,2208587.809999999590218,10761970.629999998956919
FS( 56 ),2167377.040000000502914,2022865.400000000139698,2113559.549999999813735,2228916.089999999850988,2195246.000000000000000,10727964.080000000074506
FS( 57 ),2214736.800000000279397,2022484.310000000288710,2115345.879999999888241,2208308.490000000223517,2212818.139999999664724,10773693.620000001043081
FS( 58 ),2215619.279999999795109,2013338.150000000139698,2108455.750000000000000,2213975.580000000074506,2216723.059999999590218,10768111.820000000298023
FS( 59 ),2235916.320000000298023,2032011.560000000288710,2113049.169999999925494,2229603.010000000707805,2213794.370000000111759,10824374.430000003427267
FS( 60 ),2250624.320000000298023,2028200.660000000149012,2109986.890000000596046,2227027.060000000521541,2238850.939999999478459,10854689.870000001043081
FS( 61 ),2251506.800000000279397,2016386.870000000111759,2100544.860000000335276,2213632.120000000111759,2228763.229999999515712,10810833.879999998956919
FS( 62 ),2258860.800000000279397,2046492.980000000214204,2131678.040000000037253,2231148.580000000074506,2247311.599999999627471,10915492.000000000000000
FS( 63 ),2227385.680000000167638,2073169.280000000027940,2123511.959999999962747,2223764.190000000409782,2248613.239999999292195,10896444.349999997764826
FS( 64 ),2213266.000000000000000,2067071.840000000316650,2122236.009999999776483,2181690.339999999850988,2233644.379999999888241,10817908.570000000298023
FS( 65 ),2212677.680000000167638,2120043.350000000093132,2138823.360000000335276,2198691.610000000335276,2246660.780000000260770,10916896.780000001192093
FS( 66 ),2181790.880000000353903,2112040.460000000428408,2124277.530000000260770,2178770.930000000633299,2219977.160000000149012,10816856.960000000894070
FS( 67 ),2187085.759999999776483,2109753.919999999925494,2123256.770000000484288,2158335.060000000521541,2214770.599999999627471,10793202.110000001266599
FS( 68 ),2195322.240000000223517,2097940.129999999888241,2111262.839999999850988,2169497.509999999776483,2193293.540000000037253,10767316.259999997913837
FS( 69 ),2238563.759999999776483,2108991.740000000223517,2113814.740000000223517,2177568.820000000298023,2238850.939999999478459,10877790.000000000000000
FS( 70 ),2327694.240000000223517,2132619.320000000298023,2104372.709999999962747,2194054.900000000372529,2250240.290000000037253,11008981.460000000894070
FS( 71 ),2325340.959999999962747,2151292.730000000447035,2092889.160000000149012,2197832.959999999962747,2238850.939999999478459,11006206.750000000000000
FS( 72 ),2328870.880000000353903,2139478.940000000409782,2100289.669999999925494,2186670.509999999776483,2247311.599999999627471,11002621.599999999627471
FS( 73 ),2331224.160000000149012,2153579.270000000018626,2113814.740000000223517,2194913.549999999813735,2273344.399999999441206,11066876.119999997317791
FS( 74 ),2364758.400000000372529,2166917.419999999925494,2125298.290000000037253,2241108.919999999925494,2270415.709999999962747,11168498.740000002086163
FS( 75 ),2345638.000000000000000,2156246.899999999906868,2081150.419999999925494,2300012.310000000521541,2252192.750000000000000,11135240.380000000819564
FS( 76 ),2313868.720000000204891,2157009.080000000074506,2062011.169999999925494,2283354.500000000000000,2228112.410000000149012,11044355.880000000819564
FS( 77 ),2303867.279999999795109,2162344.340000000316650,2065839.020000000018626,2303446.910000000149012,2236247.660000000149012,11071745.210000000894070
FS( 78 ),2258860.800000000279397,2142527.660000000149012,2077577.759999999776483,2297436.360000000335276,2260653.410000000149012,11037055.990000002086163
FS( 79 ),2284158.560000000521541,2135668.040000000037253,2030112.419999999925494,2305335.940000000409782,2255121.439999999478459,11010396.400000000372529
FS( 80 ),2314457.040000000502914,2145957.470000000204891,2038788.879999999888241,2280606.820000000298023,2259026.360000000335276,11038836.570000000298023
FS( 81 ),2287100.160000000149012,2124235.340000000316650,2035471.410000000149012,2268070.530000000260770,2242430.450000000186265,10957307.890000000596046
FS( 82 ),2286217.680000000167638,2089937.240000000223517,2044658.250000000000000,2261373.060000000521541,2176046.809999999590218,10858233.039999999105930
FS( 83 ),2289747.600000000093132,2107467.379999999888241,2066349.399999999906868,2268585.719999999739230,2199476.330000000074506,10931626.430000001564622
FS( 84 ),2246211.919999999925494,2099083.399999999906868,2069666.869999999878928,2274768.000000000000000,2180277.139999999664724,10870007.330000001937151
FS( 85 ),2183850.000000000000000,2088793.970000000204891,2082426.369999999878928,2267383.610000000335276,2186459.929999999701977,10808913.880000000819564
FS( 86 ),2141196.800000000279397,2061355.490000000223517,2074770.669999999925494,2272192.049999999813735,2187110.750000000000000,10736625.760000001639128
FS( 87 ),2157963.919999999925494,2042682.080000000307336,2095951.439999999944121,2267555.339999999850988,2220953.389999999664724,10785106.169999998062849
FS( 88 ),2082070.640000000130385,2061736.580000000307336,2095696.250000000000000,2278374.330000000074506,2243732.089999999850988,10761609.890000000596046
FS( 89 ),2132960.320000000298023,2083839.800000000046566,2104883.089999999850988,2293830.030000000260770,2238525.530000000260770,10854038.769999999552965
FS( 90 ),2130607.040000000502914,2069739.470000000204891,2096461.820000000065193,2244371.790000000037253,2161077.950000000186265,10702258.070000000298023
FS( 91 ),2109133.360000000335276,2062498.760000000009313,2103096.759999999776483,2228057.440000000409782,2175395.989999999292195,10678182.309999998658895
FS( 92 ),2061185.280000000027940,2053352.600000000325963,2072984.340000000083819,2215349.419999999925494,2113242.679999999701977,10516114.320000000298023
FS( 93 ),2079717.360000000335276,2082696.530000000027940,2083191.939999999944121,2243513.139999999664724,2148386.959999999962747,10637505.929999999701977
FS( 94 ),2090012.959999999962747,2070120.560000000288710,2057417.750000000000000,2224966.299999999813735,2118449.239999999292195,10560966.809999998658895
FS( 95 ),2076481.600000000325963,2083458.710000000195578,2037768.119999999878928,2241280.650000000372529,2054994.289999999804422,10493983.370000001043081
FS( 96 ),2042359.040000000270084,2080028.900000000139698,2046444.579999999841675,2232522.419999999925494,2251867.339999999850988,10653222.280000001192093
FS( 97 ),2055302.080000000307336,2100226.669999999925494,2042106.349999999860302,2248665.040000000037253,2273344.399999999441206,10719644.539999999105930
FS( 98 ),2070892.560000000288710,2092985.960000000195578,2046699.770000000018626,2239735.080000000074506,2261629.639999999664724,10711943.010000001639128
FS( 99 ),2091189.600000000325963,2118900.080000000074506,2066349.399999999906868,2277000.490000000223517,2285709.979999999515712,10839149.550000000745058
FS( 100 ),2134725.279999999795109,2155865.810000000055879,2079364.090000000083819,2291254.080000000074506,2293519.820000000298023,10954729.080000000074506
FS( 101 ),2120311.439999999944121,2149006.190000000409782,2072729.149999999906868,2283697.959999999962747,2305559.989999999292195,10931304.730000000447035
FS( 102 ),2116781.520000000018626,2152436.000000000000000,2078088.140000000130385,2301214.419999999925494,2302305.889999999664724,10950825.969999998807907
FS( 103 ),2132960.320000000298023,2144052.020000000018626,2068135.730000000214204,2295547.330000000074506,2303282.120000000111759,10943977.519999999552965
FS( 104 ),2125900.479999999981374,2146719.649999999906868,2087274.980000000214204,2310316.110000000335276,2294170.639999999664724,10964381.859999999403954
FS( 105 ),2165612.080000000074506,2165393.060000000055879,2091358.020000000018626,2336247.339999999850988,2308814.089999999850988,11067424.589999999850988
FS( 106 ),2207382.800000000279397,2158533.440000000409782,2104627.900000000372529,2349985.740000000223517,2306210.809999999590218,11126740.690000001341105
FS( 107 ),2247976.880000000353903,2178731.210000000428408,2112283.599999999627471,2372482.370000000111759,2312068.189999999478459,11223542.250000000000000
FS( 108 ),2259449.120000000111759,2172252.680000000167638,2100800.049999999813735,2351703.040000000037253,2311417.370000000111759,11195622.260000001639128
FS( 109 ),2297689.919999999925494,2195880.260000000242144,2109221.320000000298023,2411121.620000000111759,2319552.620000000111759,11333465.740000002086163
FS( 110 ),2269744.720000000204891,2179112.300000000279397,2122491.200000000186265,2415930.060000000521541,2313369.830000000074506,11300648.110000001266599
FS( 111 ),2236504.640000000130385,2165011.970000000204891,2123256.770000000484288,2391200.940000000409782,2314996.879999999888241,11230971.199999999254942
FS( 112 ),2212971.840000000316650,2138335.669999999925494,2107179.799999999813735,2371451.990000000223517,2295146.870000000111759,11125086.170000001788139
FS( 113 ),2202087.919999999925494,2143670.930000000167638,2127084.620000000111759,2367673.930000000633299,2308814.089999999850988,11149331.490000000223517
FS( 114 ),2208265.279999999795109,2137573.490000000223517,2116877.020000000484288,2357198.400000000372529,2314346.059999999590218,11134260.250000000000000
FS( 115 ),2205912.000000000000000,2191307.180000000167638,2128615.759999999776483,2381240.600000000558794,2320203.439999999478459,11227278.979999998584390
FS( 116 ),2233563.040000000502914,2129951.690000000409782,2121470.439999999478459,2364582.790000000037253,2308814.089999999850988,11158382.050000000745058
FS( 117 ),2248271.040000000502914,2139478.940000000409782,2119173.730000000447035,2378836.379999999888241,2313695.239999999292195,11199455.329999998211861
FS( 118 ),2250036.000000000000000,2143670.930000000167638,2128615.759999999776483,2373169.290000000037253,2325410.000000000000000,11220901.980000000447035
FS( 119 ),2248271.040000000502914,2173777.040000000037253,2132698.799999999813735,2368189.120000000111759,2334846.889999999664724,11257782.890000000596046
FS( 120 ),2300925.680000000167638,2198166.800000000279397,2149030.959999999962747,2390342.290000000037253,2346236.239999999292195,11384701.969999998807907
FS( 121 ),2148256.640000000130385,2129570.600000000093132,2099268.910000000149012,2357713.589999999850988,2341680.500000000000000,11076490.240000000223517
FS( 122 ),2099720.240000000223517,2107848.470000000204891,2072984.340000000083819,2354622.450000000186265,2326711.639999999664724,10961887.140000000596046
FS( 123 ),2133254.479999999981374,2118137.899999999906868,2104372.709999999962747,2382099.250000000000000,2327037.049999999813735,11064901.390000000596046
FS( 124 ),2183555.840000000316650,2174158.129999999888241,2141375.259999999776483,2413182.379999999888241,2357951.000000000000000,11270222.609999999403954
FS( 125 ),2230033.120000000111759,2195499.169999999925494,2160769.700000000186265,2424860.019999999552965,2376173.959999999962747,11387335.969999998807907
FS( 126 ),2248859.360000000335276,2208075.140000000130385,2163576.790000000037253,2419021.200000000186265,2369340.349999999627471,11408872.839999999850988
FS( 127 ),2187968.240000000223517,2210361.680000000167638,2180419.330000000074506,2431042.299999999813735,2380078.879999999888241,11389870.429999999701977
FS( 128 ),2201205.439999999944121,2254568.120000000111759,2169956.540000000037253,2445124.160000000149012,2402206.759999999776483,11473061.020000001415610
FS( 129 ),2207676.959999999962747,2240086.700000000186265,2164852.740000000223517,2417990.820000000298023,2392769.870000000111759,11423377.089999999850988
FS( 130 ),2275922.080000000074506,2261808.830000000074506,2188840.599999999627471,2426062.129999999888241,2402857.580000000074506,11555491.220000000670552
FS( 131 ),2288570.959999999962747,2261427.740000000223517,2188330.219999999739230,2409747.780000000260770,2410016.599999999627471,11558093.299999998882413
FS( 132 ),2347402.959999999962747,2271336.080000000074506,2188330.219999999739230,2401848.200000000186265,2384309.209999999962747,11593226.670000001788139
FS( 133 ),2344167.200000000186265,2269430.629999999888241,2191902.879999999888241,2429668.459999999962747,2395698.559999999590218,11630867.730000000447035
FS( 134 ),2355051.120000000111759,2273241.530000000260770,2191392.500000000000000,2418677.740000000223517,2398301.839999999850988,11636664.730000000447035
FS( 135 ),2373877.360000000335276,2272479.350000000093132,2194965.160000000149012,2427092.510000000707805,2397325.610000000335276,11665739.990000002086163
FS( 136 ),2347991.279999999795109,2249232.860000000335276,2192923.640000000596046,2417132.169999999925494,2402857.580000000074506,11610137.530000001192093
FS( 137 ),2345638.000000000000000,2235513.620000000111759,2199048.200000000186265,2448730.490000000223517,2397000.200000000186265,11625930.510000001639128
FS( 138 ),2344167.200000000186265,2240467.790000000037253,2177357.049999999813735,2456114.879999999888241,2401230.530000000260770,11619337.449999999254942
FS( 139 ),2353580.320000000298023,2240467.790000000037253,2175825.910000000149012,2453538.930000000633299,2392444.459999999962747,11615857.410000000149012
FS( 140 ),2335048.240000000223517,2241611.060000000055879,2187564.650000000372529,2467620.790000000037253,2393420.689999999478459,11625265.430000001564622
FS( 141 ),2314751.200000000186265,2231702.720000000204891,2189606.169999999925494,2433961.709999999962747,2399928.889999999664724,11569950.690000001341105
FS( 142 ),2434180.160000000149012,2224080.919999999925494,2176081.099999999627471,2433446.519999999552965,2399278.070000000298023,11667066.769999999552965
FS( 143 ),2473891.759999999776483,2233227.080000000074506,2155410.709999999962747,2433103.060000000521541,2385936.259999999776483,11681568.869999999180436
FS( 144 ),2439180.880000000353903,2226748.550000000279397,2164342.360000000335276,2451649.900000000372529,2383332.979999999515712,11665254.670000001788139
FS( 145 ),2434474.320000000298023,2235513.620000000111759,2184247.179999999701977,2459206.019999999552965,2374546.910000000149012,11687988.050000000745058
FS( 146 ),2410647.360000000335276,2235513.620000000111759,2205172.759999999776483,2464529.650000000372529,2400905.120000000111759,11716768.510000001639128
FS( 147 ),2389762.000000000000000,2222937.649999999906868,2214104.410000000149012,2458690.830000000074506,2379753.469999999739230,11665248.359999999403954
FS( 148 ),2413000.640000000130385,2197023.530000000260770,2193944.400000000372529,2453710.660000000149012,2373570.679999999701977,11631249.910000000149012
FS( 149 ),2405352.479999999981374,2204264.240000000223517,2195985.919999999925494,2450791.250000000000000,2385285.439999999478459,11641679.330000000074506
FS( 150 ),2428591.120000000111759,2433680.419999999925494,2189095.790000000037253,2455599.690000000409782,2400254.299999999813735,11907221.320000000298023
FS( 151 ),2454477.200000000186265,2395571.419999999925494,2188585.410000000149012,2440830.910000000149012,2386587.080000000074506,11866052.020000001415610
FS( 152 ),2436533.439999999944121,2381471.090000000316650,2194454.780000000260770,2435507.280000000260770,2393095.280000000260770,11841061.870000001043081
FS( 153 ),2431238.560000000521541,2387187.440000000409782,2202620.860000000335276,2441861.290000000037253,2406437.089999999850988,11869345.240000002086163
FS( 154 ),2448594.000000000000000,2424915.350000000093132,2213338.839999999850988,2449417.410000000149012,2401555.939999999478459,11937821.539999999105930
FS( 155 ),2441534.160000000149012,2414244.830000000074506,2221249.730000000447035,2453710.660000000149012,2404484.629999999888241,11935224.010000001639128
FS( 156 ),2475362.560000000521541,2413101.560000000055879,2220739.349999999627471,2432072.680000000633299,2385936.259999999776483,11927212.410000002011657
FS( 157 ),2479480.800000000279397,2402431.040000000037253,2209510.990000000223517,2422799.260000000707805,2371943.629999999888241,11886165.719999998807907
FS( 158 ),2483010.720000000204891,2411958.290000000037253,2219208.209999999962747,2433618.250000000000000,2373245.270000000484288,11921040.739999998360872
FS( 159 ),2452712.240000000223517,2424915.350000000093132,2231457.330000000074506,2441517.830000000074506,2417826.439999999478459,11968429.189999999478459
FS( 160 ),2466243.600000000093132,2414625.919999999925494,2228139.860000000335276,2439285.339999999850988,2369340.349999999627471,11917635.069999998435378
FS( 161 ),2458889.600000000093132,2421866.629999999888241,2216401.120000000111759,2440143.990000000223517,2365760.839999999850988,11903062.179999999701977
FS( 162 ),2471244.320000000298023,2423009.899999999906868,2230436.570000000298023,2438770.150000000372529,2342005.910000000149012,11905466.850000001490116
FS( 163 ),2445946.560000000521541,2390617.250000000000000,2228139.860000000335276,2402019.930000000633299,2350466.570000000298023,11817190.170000001788139
FS( 164 ),2436827.600000000093132,2374992.560000000055879,2243196.070000000298023,2357885.320000000298023,2317600.160000000149012,11730501.710000000894070
FS( 165 ),2431532.720000000204891,2395190.330000000074506,2235029.990000000223517,2346207.680000000633299,2314996.879999999888241,11722957.600000001490116
FS( 166 ),2444475.759999999776483,2401287.770000000018626,2253403.669999999925494,2357370.129999999888241,2323457.540000000037253,11779994.869999997317791
FS( 167 ),2426237.840000000316650,2389855.070000000298023,2234009.230000000447035,2350500.930000000633299,2320528.849999999627471,11721131.919999999925494
FS( 168 ),2410647.360000000335276,2392903.790000000037253,2228139.860000000335276,2336419.070000000298023,2324759.179999999701977,11692869.260000001639128
FS( 169 ),2395939.360000000335276,2397095.780000000260770,2253658.860000000335276,2331095.440000000409782,2370316.580000000074506,11748106.020000001415610
FS( 170 ),2402999.200000000186265,2400144.500000000000000,2250851.770000000484288,2346035.950000000186265,2359252.639999999664724,11759284.060000002384186
FS( 171 ),2414471.439999999944121,2410052.840000000316650,2262080.129999999888241,2335045.230000000447035,2375523.139999999664724,11797172.780000001192093
FS( 172 ),2462713.680000000167638,2395952.510000000242144,2244472.020000000484288,2318215.690000000409782,2344934.599999999627471,11766288.500000001862645
FS( 173 ),2457418.800000000279397,2410052.840000000316650,2240133.790000000037253,2325943.540000000037253,2337450.169999999925494,11770999.140000000596046
FS( 174 ),2376524.800000000279397,2381471.090000000316650,2200834.530000000260770,2294688.680000000633299,2287662.439999999478459,11541181.540000000968575
FS( 175 ),2409764.880000000353903,2408147.390000000130385,2252127.719999999739230,2327489.110000000335276,2341029.679999999701977,11738558.780000001192093
FS( 176 ),2360051.840000000316650,2355556.970000000204891,2221504.919999999925494,2300355.769999999552965,2325410.000000000000000,11562879.500000000000000
FS( 177 ),2383290.479999999981374,2338026.830000000074506,2220484.160000000149012,2295890.790000000037253,2327362.459999999962747,11565054.720000002533197
FS( 178 ),2413000.640000000130385,2377279.100000000093132,2247279.110000000335276,2328862.950000000186265,2355998.540000000037253,11722420.339999999850988
FS( 179 ),2413588.959999999962747,2373468.200000000186265,2247023.919999999925494,2377977.730000000447035,2371292.809999999590218,11783351.620000001043081
FS( 180 ),2408588.240000000223517,2337264.649999999906868,2255190.000000000000000,2364411.060000000521541,2345910.830000000074506,11711364.780000001192093
FS( 181 ),2403293.360000000335276,2360511.140000000130385,2260548.990000000223517,2360804.730000000447035,2342005.910000000149012,11727164.130000000819564
FS( 182 ),2455359.680000000167638,2389473.980000000447035,2240644.169999999925494,2402706.850000000558794,2349164.929999999701977,11837349.609999999403954
FS( 183 ),2456242.160000000149012,2401668.860000000335276,2271011.780000000260770,2422112.339999999850988,2351768.209999999962747,11902803.350000001490116
FS( 184 ),2425061.200000000186265,2399382.320000000298023,2239623.410000000149012,2413010.650000000372529,2354371.489999999292195,11831449.070000000298023
FS( 185 ),2423002.080000000074506,2368514.030000000260770,2241920.120000000111759,2399443.980000000447035,2330616.559999999590218,11763496.769999999552965
FS( 186 ),2438004.240000000223517,2384519.810000000055879,2254934.809999999590218,2417819.089999999850988,2353720.669999999925494,11848998.619999999180436
FS( 187 ),2547137.600000000093132,2412339.379999999888241,2283005.709999999962747,2411293.350000000558794,2336148.530000000260770,11989924.570000000298023
FS( 188 ),2573023.680000000167638,2359367.870000000111759,2251617.339999999850988,2375401.780000000260770,2301655.070000000298023,11861065.740000002086163
FS( 189 ),2611264.479999999981374,2378422.370000000111759,2290406.219999999739230,2404252.419999999925494,2346887.059999999590218,12031232.549999997019768
FS( 190 ),2596850.640000000130385,2382614.360000000335276,2262590.509999999776483,2378321.190000000409782,2343307.549999999813735,11963684.250000000000000
FS( 191 ),2574200.320000000298023,2380327.820000000298023,2254679.620000000111759,2372654.100000000558794,2334846.889999999664724,11916708.750000000000000
FS( 192 ),2630384.880000000353903,2393284.879999999888241,2267439.120000000111759,2363037.219999999739230,2332243.610000000335276,11986389.710000000894070
FS( 193 ),2626560.800000000279397,2387949.620000000111759,2276881.150000000372529,2343631.730000000447035,2257073.899999999441206,11892097.199999999254942
FS( 194 ),2602439.680000000167638,2392141.610000000335276,2296785.969999999739230,2346894.600000000558794,2235596.839999999850988,11873858.700000001117587
FS( 195 ),2595085.680000000167638,2435204.780000000260770,2272798.110000000335276,2371280.260000000707805,2212167.320000000298023,11886536.150000002235174
