代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14037655.519999999552965
真實報酬,4037655.519999999552965

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16277.938591279122193
風險,117713.867942257056711
起點值,0.138283949680967
找到最佳解世代,1887
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](8),BA[2](3),DD[7](9),KO[14](12),MCD[15](2),MMM[16](4),UNH[23](5),V[25](1),
FS( 17 ),1312306.189999999944121,1346750.449999999953434,1332894.719999999739230,1250299.040000000037253,1273614.739999999757856,1241365.399999999906868,1260064.600000000093132,1308804.020000000018626,10326099.159999998286366
FS( 18 ),1312413.799999999813735,1335442.989999999757856,1330456.639999999897555,1239533.600000000093132,1283854.759999999776483,1245998.599999999860302,1261922.680000000167638,1317137.209999999962747,10326760.279999997466803
FS( 19 ),1308970.279999999795109,1318481.799999999813735,1305313.939999999711290,1237440.320000000065193,1285526.599999999860302,1231537.399999999906868,1254954.880000000121072,1316036.600000000093132,10258261.820000000298023
FS( 20 ),1305957.199999999720603,1301361.349999999860302,1294037.819999999832362,1243122.080000000074506,1280824.549999999813735,1227325.399999999906868,1255032.300000000046566,1300470.829999999841675,10208131.529999999329448
FS( 21 ),1385588.599999999860302,1305741.000000000000000,1308513.919999999925494,1233851.840000000083819,1279257.199999999953434,1229782.399999999906868,1259754.920000000158325,1296225.619999999878928,10298715.499999998137355
FS( 22 ),1383221.179999999934807,1292124.269999999785796,1299066.359999999869615,1238038.399999999906868,1287616.399999999906868,1222832.600000000093132,1244658.020000000018626,1294024.399999999906868,10261581.629999998956919
FS( 23 ),1389139.729999999981374,1293239.089999999850988,1306532.979999999748543,1242224.959999999962747,1298274.379999999888241,1228869.800000000046566,1253251.640000000130385,1353457.340000000083819,10364989.919999999925494
FS( 24 ),1402160.539999999804422,1305820.629999999888241,1302418.719999999739230,1242823.040000000037253,1300468.669999999925494,1229291.000000000000000,1242722.520000000018626,1349526.590000000083819,10375231.709999999031425
FS( 25 ),1415504.179999999934807,1325887.389999999897555,1297542.560000000055879,1252990.399999999906868,1301931.530000000027940,1233924.199999999953434,1242877.360000000102445,1348740.439999999944121,10419398.059999998658895
FS( 26 ),1420992.289999999804422,1304466.919999999925494,1296171.139999999897555,1256578.880000000121072,1302767.449999999953434,1243120.399999999906868,1241174.120000000111759,1337891.570000000065193,10403162.769999999552965
FS( 27 ),1425081.469999999739230,1308209.529999999795109,1307752.019999999785796,1233552.800000000046566,1300782.139999999897555,1250912.600000000093132,1242180.580000000074506,1345595.840000000083819,10414066.979999998584390
FS( 28 ),1421853.169999999925494,1323737.379999999888241,1327866.179999999934807,1213517.120000000111759,1314783.799999999813735,1256669.000000000000000,1244580.600000000093132,1350627.200000000186265,10453634.449999999254942
FS( 29 ),1434443.539999999804422,1338070.779999999795109,1335942.319999999832362,1214713.280000000027940,1311858.079999999841675,1270849.400000000139698,1254180.680000000167638,1359117.619999999878928,10519175.699999999254942
FS( 30 ),1453060.070000000065193,1341813.389999999897555,1339294.679999999934807,1212021.920000000158325,1314679.309999999823049,1274921.000000000000000,1263006.560000000055879,1365564.049999999813735,10564360.980000000447035
FS( 31 ),1458332.959999999729916,1348183.790000000037253,1325885.239999999990687,1209330.560000000055879,1321680.139999999897555,1275623.000000000000000,1271987.280000000027940,1376412.920000000158325,10587435.890000000596046
FS( 32 ),1456611.199999999720603,1360207.919999999925494,1332589.959999999962747,1232057.600000000093132,1323978.919999999925494,1287627.199999999953434,1267032.400000000139698,1374368.929999999934807,10634474.129999998956919
FS( 33 ),1460592.769999999785796,1375337.619999999878928,1329389.979999999748543,1232954.719999999972060,1335472.819999999832362,1284398.000000000000000,1220348.140000000130385,1375155.079999999841675,10613649.129999998956919
FS( 34 ),1471138.549999999813735,1398032.169999999925494,1328475.699999999953434,1239832.640000000130385,1337980.579999999841675,1287346.400000000139698,1243187.040000000037253,1382387.659999999916181,10688380.740000002086163
FS( 35 ),1475550.560000000055879,1396439.570000000065193,1381656.319999999832362,1244019.200000000186265,1335995.269999999785796,1306089.800000000046566,1243187.040000000037253,1380500.899999999906868,10763438.659999998286366
FS( 36 ),1469309.179999999934807,1408384.070000000065193,1375103.979999999748543,1245813.439999999944121,1340383.850000000093132,1314162.800000000046566,1258903.300000000046566,1386475.640000000130385,10798536.259999999776483
FS( 37 ),1470708.109999999869615,1413002.609999999869615,1379065.859999999869615,1249401.920000000158325,1344354.469999999972060,1315707.199999999953434,1262464.620000000111759,1390406.390000000130385,10825111.179999999701977
FS( 38 ),1473613.579999999841675,1428848.979999999981374,1365199.280000000027940,1246112.479999999981374,1327009.129999999888241,1312197.199999999953434,1280426.060000000055879,1383645.500000000000000,10817052.210000000894070
FS( 39 ),1474259.239999999990687,1435219.379999999888241,1351027.939999999711290,1254784.640000000130385,1333905.469999999972060,1308266.000000000000000,1280426.060000000055879,1382702.119999999878928,10820590.849999997764826
FS( 40 ),1504390.039999999804422,1464523.219999999972060,1377084.919999999925494,1260765.439999999944121,1348534.070000000065193,1332906.200000000186265,1300245.580000000074506,1399211.270000000018626,10987660.739999998360872
FS( 41 ),1495458.409999999916181,1457197.260000000009313,1374799.219999999739230,1270035.679999999934807,1339965.889999999664724,1333116.799999999813735,1295368.120000000111759,1391978.689999999944121,10957920.069999998435378
FS( 42 ),1504282.429999999934807,1450747.229999999981374,1372818.280000000027940,1270334.719999999972060,1336517.719999999972060,1329045.199999999953434,1302258.500000000000000,1396066.670000000158325,10962070.750000000000000
FS( 43 ),1499547.589999999850988,1440793.479999999981374,1378151.579999999841675,1261363.520000000018626,1337876.089999999850988,1326167.000000000000000,1306129.500000000000000,1398425.119999999878928,10948453.879999998956919
FS( 44 ),1501484.570000000065193,1449473.149999999906868,1370380.199999999953434,1255681.760000000009313,1338294.049999999813735,1327500.800000000046566,1303032.700000000186265,1400311.880000000121072,10946159.110000001266599
FS( 45 ),1495888.849999999860302,1447243.510000000009313,1373275.419999999925494,1255681.760000000009313,1338503.030000000027940,1330449.199999999953434,1300013.320000000065193,1398739.579999999841675,10939794.669999999925494
FS( 46 ),1492445.329999999841675,1437926.799999999813735,1378913.479999999748543,1256877.920000000158325,1339025.479999999748543,1333187.000000000000000,1300787.520000000018626,1401098.030000000027940,10940261.559999998658895
FS( 47 ),1497395.389999999664724,1423035.989999999757856,1385313.439999999711290,1264652.959999999962747,1337353.639999999897555,1342383.199999999953434,1316039.260000000009313,1410846.290000000037253,10977020.169999998062849
FS( 48 ),1498041.049999999813735,1425823.040000000037253,1391256.259999999776483,1256877.920000000158325,1333487.509999999776483,1344559.400000000139698,1317819.920000000158325,1416821.030000000027940,10984686.129999998956919
FS( 49 ),1495781.239999999990687,1423274.879999999888241,1381961.079999999841675,1255083.679999999934807,1335472.819999999832362,1336205.600000000093132,1308916.620000000111759,1408016.149999999906868,10944712.069999998435378
FS( 50 ),1511599.909999999916181,1423115.619999999878928,1398418.119999999878928,1259569.280000000027940,1336308.739999999757856,1342313.000000000000000,1329974.860000000102445,1413833.659999999916181,11015133.189999999478459
FS( 51 ),1514074.939999999944121,1418974.859999999869615,1385770.579999999841675,1263456.800000000046566,1337353.639999999897555,1336065.199999999953434,1326258.700000000186265,1415720.420000000158325,10997675.139999998733401
FS( 52 ),1506542.239999999990687,1434184.189999999944121,1389427.699999999953434,1256877.920000000158325,1344249.979999999748543,1350456.200000000186265,1313871.500000000000000,1418865.020000000018626,11014474.750000000000000
FS( 53 ),1522360.909999999916181,1428530.459999999729916,1399637.159999999683350,1261363.520000000018626,1345712.839999999850988,1355019.199999999953434,1300710.100000000093132,1402198.640000000130385,11015532.830000000074506
FS( 54 ),1504928.089999999850988,1401217.369999999878928,1368856.399999999906868,1270932.800000000046566,1342996.100000000093132,1348841.599999999860302,1298387.500000000000000,1384588.880000000121072,10920748.740000000223517
FS( 55 ),1521930.469999999739230,1409339.629999999888241,1362608.819999999832362,1267344.320000000065193,1349056.519999999785796,1349473.399999999906868,1293200.360000000102445,1391821.459999999962747,10944774.980000000447035
FS( 56 ),1516549.969999999739230,1411569.269999999785796,1385161.060000000055879,1261064.479999999981374,1348011.619999999878928,1348911.799999999813735,1279729.280000000027940,1397167.280000000027940,10948164.759999997913837
FS( 57 ),1513536.889999999664724,1400102.549999999813735,1368856.399999999906868,1259569.280000000027940,1351564.280000000027940,1344489.199999999953434,1277484.100000000093132,1402355.869999999878928,10917958.570000000298023
FS( 58 ),1516119.529999999795109,1402332.189999999944121,1389275.319999999832362,1265550.080000000074506,1353131.629999999888241,1336907.600000000093132,1274387.300000000046566,1398582.350000000093132,10936286.000000000000000
FS( 59 ),1547541.649999999906868,1412365.570000000065193,1410608.519999999785796,1268839.520000000018626,1352713.669999999692664,1340838.800000000046566,1280193.800000000046566,1401255.260000000009313,11014356.789999999105930
FS( 60 ),1550985.169999999925494,1414515.579999999841675,1397960.979999999748543,1268540.479999999981374,1346339.780000000027940,1338662.600000000093132,1265406.580000000074506,1402198.640000000130385,10984609.810000000521541
FS( 61 ),1548940.579999999841675,1417302.629999999888241,1392780.060000000055879,1273923.200000000186265,1351355.299999999813735,1342874.600000000093132,1277406.680000000167638,1399525.729999999981374,11004108.779999999329448
FS( 62 ),1546035.109999999869615,1408384.070000000065193,1378913.479999999748543,1269138.560000000055879,1354385.510000000009313,1343225.600000000093132,1269819.520000000018626,1397324.510000000009313,10967226.359999997541308
FS( 63 ),1546465.549999999813735,1406711.839999999850988,1368399.259999999776483,1268241.439999999944121,1354385.510000000009313,1338943.399999999906868,1282051.880000000121072,1405028.780000000027940,10970227.660000000149012
FS( 64 ),1557979.820000000065193,1423035.989999999757856,1371446.859999999869615,1276315.520000000018626,1351041.829999999841675,1335222.800000000046566,1277251.840000000083819,1395909.439999999944121,10988204.099999999627471
FS( 65 ),1549909.070000000065193,1410135.929999999934807,1378456.339999999850988,1273026.080000000074506,1362744.709999999729916,1335573.800000000046566,1280348.640000000130385,1399840.189999999944121,10990034.759999999776483
FS( 66 ),1546035.109999999869615,1412445.199999999953434,1380437.280000000027940,1276016.479999999981374,1360027.969999999972060,1333116.799999999813735,1280116.380000000121072,1400783.570000000065193,10988978.790000000968575
FS( 67 ),1542591.589999999850988,1424230.439999999944121,1371294.479999999748543,1274222.239999999990687,1358042.659999999916181,1333818.800000000046566,1285380.940000000176951,1395280.520000000018626,10984861.669999999925494
FS( 68 ),1540762.219999999739230,1413958.169999999925494,1372970.659999999683350,1276614.560000000055879,1358251.639999999664724,1331853.199999999953434,1281200.260000000009313,1397167.280000000027940,10972777.989999998360872
FS( 69 ),1524190.279999999795109,1422000.799999999813735,1356056.479999999748543,1275717.439999999944121,1370999.419999999692664,1334380.399999999906868,1283909.960000000195578,1397010.049999999813735,10964264.830000001937151
FS( 70 ),1526019.649999999906868,1401934.040000000037253,1343713.699999999953434,1284090.560000000055879,1371626.359999999869615,1331783.000000000000000,1281819.620000000111759,1394337.140000000130385,10935324.070000000298023
FS( 71 ),1517948.899999999906868,1398509.949999999953434,1325123.339999999850988,1279604.959999999962747,1366401.859999999869615,1324412.000000000000000,1277174.420000000158325,1397324.510000000009313,10886499.939999999478459
FS( 72 ),1526342.479999999981374,1425584.149999999906868,1339599.439999999711290,1287978.080000000074506,1372566.769999999785796,1336416.200000000186265,1294361.660000000149012,1412104.130000000121072,10994952.910000000149012
FS( 73 ),1519563.049999999813735,1416267.439999999944121,1334113.759999999776483,1300238.719999999972060,1382493.320000000065193,1335433.399999999906868,1305277.880000000121072,1410846.290000000037253,11004233.859999999403954
FS( 74 ),1513967.329999999841675,1420647.089999999850988,1335637.560000000055879,1292762.719999999972060,1386045.979999999748543,1332695.600000000093132,1310387.600000000093132,1411160.750000000000000,11003304.629999998956919
FS( 75 ),1532906.689999999944121,1427813.790000000037253,1344170.839999999850988,1288576.160000000149012,1392628.850000000093132,1342032.199999999953434,1328116.780000000027940,1433172.950000000186265,11089418.260000001639128
FS( 76 ),1531077.320000000065193,1436413.829999999841675,1348894.619999999878928,1287978.080000000074506,1394091.709999999729916,1344419.000000000000000,1325174.820000000065193,1433172.950000000186265,11101222.329999998211861
FS( 77 ),1545819.889999999664724,1449791.669999999925494,1363218.339999999850988,1294257.920000000158325,1402659.889999999664724,1363583.599999999860302,1334232.960000000195578,1444179.049999999813735,11197743.320000000298023
FS( 78 ),1555397.179999999934807,1461338.019999999785796,1406494.259999999776483,1289174.239999999990687,1480713.919999999692664,1369901.599999999860302,1347471.780000000027940,1448267.030000000027940,11358758.029999997466803
FS( 79 ),1546250.329999999841675,1447004.619999999878928,1395980.039999999804422,1293061.760000000009313,1471727.780000000027940,1368989.000000000000000,1350104.060000000055879,1443707.359999999869615,11316824.949999999254942
FS( 80 ),1547434.039999999804422,1459028.750000000000000,1371294.479999999748543,1286183.840000000083819,1472041.250000000000000,1376781.200000000186265,1352039.560000000055879,1440248.299999999813735,11305051.419999998062849
FS( 81 ),1545927.500000000000000,1471849.179999999934807,1362761.199999999953434,1290370.399999999906868,1462219.189999999944121,1374815.600000000093132,1353975.060000000055879,1434273.560000000055879,11296191.689999999478459
FS( 82 ),1577457.229999999981374,1452419.459999999729916,1356666.000000000000000,1292463.679999999934807,1474966.969999999972060,1367655.199999999953434,1351729.880000000121072,1434902.479999999981374,11308260.900000000372529
FS( 83 ),1587464.959999999729916,1460780.609999999869615,1356666.000000000000000,1297547.360000000102445,1475802.889999999664724,1379729.600000000093132,1348245.979999999981374,1455027.920000000158325,11361265.320000000298023
FS( 84 ),1582622.509999999776483,1460382.459999999729916,1339142.299999999813735,1295454.080000000074506,1490327.000000000000000,1387451.599999999860302,1335858.780000000027940,1453455.619999999878928,11344694.349999997764826
FS( 85 ),1576919.179999999934807,1457834.299999999813735,1332894.719999999739230,1305621.439999999944121,1498999.669999999692664,1400649.199999999953434,1347316.940000000176951,1456285.760000000009313,11376521.209999997168779
FS( 86 ),1603068.409999999916181,1473282.519999999785796,1369161.159999999683350,1306518.560000000055879,1504328.659999999916181,1399877.000000000000000,1348091.140000000130385,1447952.570000000065193,11452280.020000001415610
FS( 87 ),1646650.459999999729916,1481325.149999999906868,1353466.019999999785796,1312499.360000000102445,1507254.379999999888241,1394612.000000000000000,1350568.580000000074506,1445279.659999999916181,11491655.609999999403954
FS( 88 ),1657196.239999999990687,1488412.219999999972060,1341732.759999999776483,1301135.840000000083819,1508508.260000000009313,1389768.199999999953434,1341278.180000000167638,1446537.500000000000000,11474569.199999999254942
FS( 89 ),1649340.709999999729916,1458710.229999999981374,1339142.299999999813735,1302930.080000000074506,1510180.100000000093132,1380501.799999999813735,1342439.479999999981374,1450468.250000000000000,11433712.949999999254942
FS( 90 ),1656765.799999999813735,1464762.109999999869615,1342342.280000000027940,1305920.479999999981374,1506940.909999999916181,1381274.000000000000000,1341897.540000000037253,1448109.799999999813735,11448012.920000001788139
FS( 91 ),1679901.949999999720603,1459267.639999999897555,1346304.159999999683350,1303528.160000000149012,1518957.260000000009313,1380010.399999999906868,1330207.120000000111759,1458015.290000000037253,11476191.980000000447035
FS( 92 ),1675597.549999999813735,1452419.459999999729916,1354075.539999999804422,1307714.719999999972060,1528570.339999999850988,1387451.599999999860302,1328039.360000000102445,1465876.790000000037253,11499745.359999999403954
FS( 93 ),1673122.519999999785796,1454887.989999999757856,1351942.219999999739230,1311303.200000000186265,1539123.829999999841675,1389417.199999999953434,1301639.140000000130385,1464618.950000000186265,11486055.050000000745058
FS( 94 ),1616950.099999999860302,1423673.029999999795109,1306380.599999999860302,1313695.520000000018626,1529928.709999999729916,1367865.800000000046566,1307368.220000000204891,1442763.979999999981374,11308625.960000000894070
FS( 95 ),1641592.789999999804422,1412684.089999999850988,1314609.119999999878928,1309808.000000000000000,1536198.109999999869615,1370673.800000000046566,1327420.000000000000000,1441977.829999999841675,11354963.740000000223517
FS( 96 ),1647188.509999999776483,1439439.769999999785796,1329999.500000000000000,1312798.399999999906868,1548109.969999999972060,1374605.000000000000000,1336245.880000000121072,1454084.540000000037253,11442471.570000000298023
FS( 97 ),1657196.239999999990687,1462612.099999999860302,1323294.780000000027940,1321171.520000000018626,1548527.929999999934807,1393629.199999999953434,1352581.500000000000000,1467134.630000000121072,11526147.900000000372529
FS( 98 ),1655151.649999999906868,1461178.760000000009313,1319028.139999999897555,1327451.360000000102445,1544661.799999999813735,1388153.599999999860302,1356607.340000000083819,1475782.280000000027940,11528014.929999999701977
FS( 99 ),1650201.589999999850988,1475193.639999999897555,1333504.239999999990687,1346589.920000000158325,1562216.119999999878928,1386468.800000000046566,1359471.880000000121072,1490719.130000000121072,11604365.320000002160668
FS( 100 ),1655904.919999999925494,1489686.299999999813735,1316132.919999999925494,1357953.439999999944121,1565141.839999999850988,1400859.800000000046566,1378517.200000000186265,1494335.420000000158325,11658531.840000001713634
FS( 101 ),1653107.060000000055879,1485864.059999999823049,1325123.339999999850988,1357355.360000000102445,1565977.760000000009313,1408792.399999999906868,1374259.100000000093132,1488517.909999999916181,11658996.990000000223517
FS( 102 ),1653752.719999999739230,1488173.329999999841675,1321313.839999999850988,1358551.520000000018626,1566709.189999999944121,1421217.800000000046566,1367213.880000000121072,1489304.060000000055879,11666236.340000001713634
FS( 103 ),1643960.209999999729916,1494145.579999999841675,1344627.979999999748543,1359747.679999999934807,1576740.229999999748543,1435468.399999999906868,1356297.660000000149012,1497322.790000000037253,11708310.529999997466803
FS( 104 ),1648479.829999999841675,1491677.049999999813735,1361999.299999999813735,1369316.959999999962747,1592413.729999999748543,1434626.000000000000000,1390362.460000000195578,1499995.700000000186265,11788871.030000001192093
FS( 105 ),1672907.299999999813735,1514849.379999999888241,1368246.879999999888241,1372307.360000000102445,1606519.879999999888241,1451123.000000000000000,1388891.479999999981374,1511787.950000000186265,11886633.230000000447035
FS( 106 ),1656550.579999999841675,1504656.739999999757856,1371751.619999999878928,1375297.760000000009313,1596593.329999999841675,1447753.399999999906868,1388736.640000000130385,1518077.149999999906868,11859417.220000000670552
FS( 107 ),1662146.299999999813735,1487138.139999999897555,1383027.739999999990687,1374998.719999999972060,1580292.889999999664724,1442067.199999999953434,1399962.540000000037253,1506127.670000000158325,11835761.199999997392297
FS( 108 ),1672046.419999999925494,1497888.189999999944121,1388361.039999999804422,1360943.840000000083819,1587711.679999999934807,1439259.199999999953434,1418465.920000000158325,1510844.570000000065193,11875520.859999999403954
FS( 109 ),1667957.239999999990687,1512460.479999999981374,1388208.659999999683350,1349580.320000000065193,1582382.689999999944121,1445787.800000000046566,1406698.080000000074506,1510844.570000000065193,11863919.839999999850988
FS( 110 ),1603283.629999999655411,1513256.779999999795109,1404970.459999999962747,1355262.080000000074506,1582905.139999999664724,1452737.600000000093132,1404917.420000000158325,1486788.380000000121072,11804121.490000000223517
FS( 111 ),1564974.469999999739230,1513017.889999999897555,1389122.939999999711290,1355561.120000000111759,1551453.649999999906868,1455966.799999999813735,1387807.600000000093132,1470122.000000000000000,11688026.469999996945262
FS( 112 ),1577564.839999999850988,1521697.559999999823049,1416246.579999999841675,1346589.920000000158325,1565559.799999999813735,1468041.200000000186265,1401743.200000000186265,1494964.340000000083819,11792407.439999997615814
FS( 113 ),1562176.609999999869615,1531969.829999999841675,1400399.060000000055879,1354664.000000000000000,1574545.939999999944121,1474359.199999999953434,1411885.220000000204891,1498737.859999999869615,11808737.719999998807907
FS( 114 ),1552814.539999999804422,1556416.239999999757856,1390951.500000000000000,1353168.800000000046566,1579665.949999999720603,1483344.800000000046566,1396556.060000000055879,1480656.409999999916181,11793574.300000000745058
FS( 115 ),1531077.320000000065193,1564299.609999999869615,1397351.459999999962747,1354963.040000000037253,1588234.129999999888241,1497033.800000000046566,1406233.560000000055879,1480656.409999999916181,11819849.330000000074506
FS( 116 ),1574874.589999999850988,1585321.929999999934807,1415332.299999999813735,1357056.320000000065193,1600250.479999999748543,1497876.200000000186265,1416994.940000000176951,1490404.670000000158325,11938111.429999999701977
FS( 117 ),1560562.459999999729916,1579349.679999999934807,1412741.839999999850988,1363934.239999999990687,1609968.049999999813735,1497876.200000000186265,1418930.440000000176951,1483958.239999999990687,11927321.149999998509884
FS( 118 ),1569816.919999999925494,1586038.599999999860302,1381961.079999999841675,1352271.679999999934807,1606415.389999999664724,1494366.200000000186265,1431704.739999999990687,1486473.920000000158325,11909048.529999999329448
FS( 119 ),1567234.279999999795109,1588188.609999999869615,1385161.060000000055879,1347786.080000000074506,1617595.820000000065193,1489873.399999999906868,1443937.100000000093132,1477197.350000000093132,11916973.699999999254942
FS( 120 ),1574228.929999999934807,1610405.379999999888241,1377389.679999999934807,1353168.800000000046566,1615923.979999999748543,1494647.000000000000000,1434259.600000000093132,1502825.840000000083819,11962849.209999999031425
FS( 121 ),1569278.869999999878928,1592488.629999999888241,1379523.000000000000000,1358551.520000000018626,1608818.659999999916181,1492611.200000000186265,1433253.140000000130385,1497165.560000000055879,11931690.580000000074506
FS( 122 ),1546788.379999999655411,1583808.959999999729916,1369161.159999999683350,1347188.000000000000000,1606310.899999999906868,1472744.600000000093132,1429227.300000000046566,1492134.200000000186265,11847363.500000000000000
FS( 123 ),1569386.479999999981374,1589621.949999999953434,1372513.519999999785796,1355262.080000000074506,1612371.320000000065193,1478641.400000000139698,1437743.500000000000000,1513045.790000000037253,11928586.039999999105930
FS( 124 ),1546250.329999999841675,1572421.869999999878928,1360780.259999999776483,1340609.120000000111759,1600145.989999999757856,1459196.000000000000000,1434414.440000000176951,1484587.159999999916181,11798405.169999998062849
FS( 125 ),1549909.070000000065193,1574731.139999999897555,1368704.019999999785796,1341207.200000000186265,1600459.459999999729916,1461582.800000000046566,1435575.739999999990687,1474524.439999999944121,11806693.869999999180436
FS( 126 ),1544313.349999999860302,1581420.059999999823049,1387599.139999999897555,1338515.840000000083819,1593563.119999999878928,1473095.600000000093132,1445098.400000000139698,1467763.549999999813735,11831369.059999998658895
FS( 127 ),1550662.339999999850988,1607060.919999999925494,1376323.019999999785796,1340310.080000000074506,1599519.049999999813735,1472604.199999999953434,1457485.600000000093132,1478140.729999999981374,11882105.939999999478459
FS( 128 ),1536027.379999999655411,1604433.129999999888241,1379370.619999999878928,1327750.399999999906868,1599728.030000000027940,1460389.400000000139698,1447343.580000000074506,1466191.250000000000000,11821233.789999999105930
FS( 129 ),1551630.829999999841675,1611520.199999999953434,1386532.479999999748543,1327451.360000000102445,1632955.850000000093132,1471410.800000000046566,1455240.420000000158325,1476725.659999999916181,11913467.600000001490116
FS( 130 ),1561100.509999999776483,1624181.369999999878928,1400094.299999999813735,1327152.320000000065193,1625119.100000000093132,1477728.800000000046566,1447421.000000000000000,1495121.570000000065193,11957918.970000000670552
FS( 131 ),1566158.179999999934807,1642575.899999999906868,1400856.199999999953434,1325657.120000000111759,1618745.209999999729916,1471902.199999999953434,1439679.000000000000000,1500152.929999999934807,11965726.740000000223517
FS( 132 ),1568417.989999999990687,1643929.609999999869615,1438341.679999999934807,1331039.840000000083819,1636195.040000000037253,1483415.000000000000000,1445408.080000000074506,1512259.640000000130385,12059006.880000000819564
FS( 133 ),1590262.820000000065193,1642257.379999999888241,1423713.199999999953434,1328647.520000000018626,1620103.579999999841675,1481940.800000000046566,1436040.260000000009313,1508486.119999999878928,12031451.679999999701977
FS( 134 ),1603929.289999999804422,1660413.019999999785796,1437427.399999999906868,1336123.520000000018626,1622611.339999999850988,1486714.400000000139698,1447033.900000000139698,1524051.890000000130385,12118304.759999999776483
