代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11758936.030000001192093
真實報酬,1758936.030000001192093

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,30791.190625447219645
風險,64804.816440250418964
起點值,0.475137378929797
找到最佳解世代,1969
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](5),BA[2](1),HD[9](6),INTC[11](10),MSFT[18](12),UNH[23](9),WBA[27](7),WMT[28](15),
FS( 17 ),1324752.929999999934807,1372437.179999999934807,1257967.520000000018626,1257132.559999999823049,1259391.620000000111759,1281295.699999999953434,1397322.369999999878928,1304188.639999999897555,10454488.519999999552965
FS( 18 ),1346196.800000000046566,1401065.160000000149012,1268470.159999999916181,1293984.119999999878928,1259391.620000000111759,1299746.149999999906868,1439068.750000000000000,1302794.719999999972060,10610717.480000000447035
FS( 19 ),1345795.980000000214204,1394272.080000000074506,1261226.960000000195578,1297550.399999999674037,1268783.240000000223517,1322400.499999999767169,1429085.919999999925494,1302968.959999999962747,10622084.039999999105930
FS( 20 ),1352008.689999999944121,1388611.179999999934807,1263581.000000000000000,1298144.779999999795109,1279516.520000000018626,1336179.949999999953434,1442396.359999999869615,1303840.159999999916181,10664278.640000000596046
FS( 21 ),1348000.490000000223517,1378906.780000000027940,1261589.120000000111759,1273775.199999999953434,1279516.520000000018626,1377284.749999999767169,1420918.149999999906868,1314294.560000000055879,10654285.570000002160668
FS( 22 ),1355616.070000000065193,1360144.940000000176951,1286034.919999999925494,1275558.339999999850988,1288013.700000000186265,1441978.099999999860302,1431506.000000000000000,1324574.719999999972060,10763426.790000000968575
FS( 23 ),1327759.080000000074506,1364511.919999999925494,1274083.639999999897555,1251188.760000000009313,1277280.419999999925494,1440343.250000000000000,1400649.979999999748543,1324226.239999999990687,10660043.289999999105930
FS( 24 ),1337378.760000000242144,1374054.580000000074506,1280059.280000000027940,1256538.179999999934807,1279069.300000000046566,1448751.050000000046566,1409422.770000000018626,1327711.040000000037253,10712984.960000000894070
FS( 25 ),1308720.130000000121072,1393786.860000000102445,1268651.239999999990687,1244650.579999999841675,1283541.500000000000000,1450385.899999999906868,1422128.189999999944121,1331021.600000000093132,10702886.000000000000000
FS( 26 ),1314732.429999999934807,1403167.780000000027940,1289656.520000000018626,1253566.279999999795109,1278622.080000000074506,1445481.349999999860302,1441791.339999999850988,1346703.200000000186265,10773720.980000000447035
FS( 27 ),1307116.850000000093132,1410607.819999999832362,1289294.360000000102445,1292795.359999999869615,1324238.520000000018626,1452254.299999999813735,1461454.489999999990687,1361165.120000000111759,10898926.820000000298023
FS( 28 ),1310724.230000000214204,1420473.959999999962747,1298167.280000000027940,1323108.739999999990687,1354202.260000000242144,1457625.949999999720603,1455404.289999999804422,1348097.120000000111759,10967803.829999998211861
FS( 29 ),1317538.169999999925494,1431957.500000000000000,1301969.960000000195578,1297550.399999999674037,1294274.780000000260770,1470938.299999999813735,1472344.850000000093132,1355415.200000000186265,10941989.160000000149012
FS( 30 ),1316335.710000000195578,1437780.140000000130385,1333115.720000000204891,1288634.699999999953434,1287566.479999999981374,1472106.050000000046566,1475369.949999999953434,1368831.679999999934807,10979740.429999999701977
FS( 31 ),1284670.929999999934807,1403491.260000000009313,1307945.600000000093132,1270803.299999999813735,1283094.280000000260770,1438474.850000000093132,1470832.299999999813735,1367263.520000000018626,10826576.039999999105930
FS( 32 ),1294491.020000000251457,1405432.140000000130385,1312110.439999999944121,1302899.820000000065193,1295616.439999999944121,1466967.949999999953434,1484142.739999999990687,1370922.560000000055879,10932583.109999999403954
FS( 33 ),1285272.159999999916181,1402197.340000000083819,1318267.159999999916181,1303494.199999999953434,1289355.360000000102445,1448751.050000000046566,1468714.729999999748543,1367960.479999999981374,10884012.480000000447035
FS( 34 ),1303509.470000000204891,1392978.160000000149012,1312472.600000000093132,1321919.979999999748543,1287566.479999999981374,1394100.349999999860302,1473554.889999999897555,1344438.079999999841675,10830540.009999999776483
FS( 35 ),1347599.669999999925494,1422738.319999999832362,1339996.760000000009313,1333807.579999999841675,1331394.040000000037253,1402274.599999999860302,1492915.530000000027940,1364127.200000000186265,11034853.699999999254942
FS( 36 ),1335975.889999999897555,1406240.840000000083819,1337461.639999999897555,1359960.299999999813735,1378799.360000000102445,1383123.499999999767169,1504108.399999999906868,1358551.520000000018626,11064221.449999999254942
FS( 37 ),1351808.280000000027940,1426296.600000000093132,1328769.799999999813735,1389679.299999999813735,1368513.300000000046566,1367242.099999999860302,1501083.299999999813735,1378066.400000000139698,11111459.080000000074506
FS( 38 ),1351207.050000000046566,1469157.699999999953434,1326959.000000000000000,1406321.939999999944121,1420390.820000000065193,1373080.849999999860302,1483840.229999999748543,1359596.959999999962747,11190554.550000000745058
FS( 39 ),1365436.159999999916181,1482743.860000000102445,1328588.720000000204891,1389679.299999999813735,1428440.780000000260770,1385926.100000000093132,1503503.380000000121072,1370399.840000000083819,11254718.140000000596046
FS( 40 ),1357820.580000000074506,1501829.179999999934807,1328226.559999999823049,1390868.059999999823049,1421732.479999999981374,1389195.799999999813735,1490495.449999999953434,1377195.200000000186265,11257363.309999998658895
FS( 41 ),1355415.659999999916181,1486463.880000000121072,1334021.120000000111759,1412265.739999999990687,1458404.520000000018626,1401573.949999999953434,1495033.100000000093132,1365869.600000000093132,11309047.569999998435378
FS( 42 ),1371047.639999999897555,1478538.619999999878928,1328226.559999999823049,1423558.959999999729916,1480318.300000000046566,1399705.549999999813735,1497755.689999999944121,1354195.520000000018626,11333346.839999997988343
FS( 43 ),1368442.310000000055879,1474818.600000000093132,1317542.840000000083819,1425936.479999999748543,1463323.939999999944121,1394800.999999999767169,1480512.619999999878928,1360119.679999999934807,11285497.469999998807907
FS( 44 ),1390487.409999999916181,1491477.819999999832362,1327864.399999999906868,1433069.039999999804422,1483001.619999999878928,1389195.799999999813735,1478697.560000000055879,1367089.279999999795109,11360882.929999999701977
FS( 45 ),1407522.260000000242144,1516224.040000000037253,1339272.439999999944121,1424153.339999999850988,1497759.880000000121072,1376117.000000000000000,1452681.699999999953434,1380854.239999999990687,11394584.900000000372529
FS( 46 ),1404115.290000000037253,1523502.340000000083819,1362812.840000000083819,1421181.439999999944121,1509387.600000000093132,1406011.399999999906868,1447236.520000000018626,1373536.159999999916181,11447783.589999999850988
FS( 47 ),1407722.669999999925494,1533206.740000000223517,1359372.319999999832362,1435446.559999999823049,1489709.920000000158325,1413017.899999999906868,1488075.369999999878928,1373536.159999999916181,11500087.639999998733401
FS( 48 ),1409125.540000000037253,1521076.240000000223517,1365710.120000000111759,1441390.359999999869615,1475398.880000000121072,1459961.449999999953434,1485957.799999999813735,1363430.239999999990687,11522050.630000000819564
FS( 49 ),1407121.439999999944121,1530295.419999999925494,1373858.720000000204891,1447928.539999999804422,1460640.619999999878928,1448283.949999999953434,1446328.989999999990687,1366043.840000000083819,11480501.519999999552965
FS( 50 ),1404516.110000000102445,1524311.040000000037253,1376393.840000000083819,1456249.859999999869615,1461982.280000000027940,1469303.449999999720603,1473857.399999999906868,1374581.600000000093132,11541195.580000000074506
FS( 51 ),1398704.220000000204891,1532721.520000000018626,1388345.120000000111759,1431285.899999999674037,1477187.760000000242144,1457158.849999999860302,1484445.250000000000000,1367786.239999999990687,11537634.859999999403954
FS( 52 ),1433174.740000000223517,1554556.419999999925494,1400115.319999999832362,1417020.779999999795109,1499548.760000000242144,1441744.549999999813735,1500175.770000000018626,1372664.959999999962747,11619001.300000000745058
FS( 53 ),1458626.810000000055879,1569274.760000000009313,1410255.799999999813735,1438418.459999999729916,1513859.800000000046566,1438941.949999999953434,1513486.209999999962747,1391482.879999999888241,11734346.669999998062849
FS( 54 ),1447604.260000000242144,1562158.199999999953434,1389793.760000000009313,1422964.579999999841675,1524145.860000000102445,1451320.099999999860302,1485655.289999999804422,1367786.239999999990687,11651428.289999999105930
FS( 55 ),1469448.949999999953434,1600005.360000000102445,1391785.639999999897555,1428908.379999999888241,1559476.239999999990687,1467668.600000000093132,1500780.789999999804422,1356809.120000000111759,11774883.079999998211861
FS( 56 ),1491093.230000000214204,1596770.560000000055879,1389974.840000000083819,1431285.899999999674037,1568867.860000000102445,1461129.199999999953434,1505015.929999999934807,1348619.840000000083819,11792757.359999999403954
FS( 57 ),1505322.340000000083819,1597255.780000000027940,1425285.439999999944121,1435446.559999999823049,1558581.800000000046566,1468369.249999999767169,1515906.289999999804422,1348445.600000000093132,11854613.059999998658895
FS( 58 ),1491894.870000000111759,1583993.100000000093132,1443031.280000000027940,1430691.519999999785796,1547848.520000000018626,1454589.800000000046566,1516813.820000000065193,1342172.959999999962747,11811035.870000001043081
FS( 59 ),1496905.120000000111759,1613429.780000000027940,1428907.040000000037253,1429502.760000000009313,1527276.400000000139698,1456458.199999999953434,1524679.079999999841675,1329976.159999999916181,11807134.540000000968575
FS( 60 ),1508528.899999999906868,1617473.280000000027940,1430355.679999999934807,1421775.820000000065193,1532643.040000000270084,1449451.699999999953434,1535871.949999999953434,1347051.679999999934807,11843152.049999998882413
FS( 61 ),1526365.389999999897555,1619252.419999999925494,1445385.319999999832362,1431285.899999999674037,1566184.540000000270084,1479346.100000000093132,1519536.409999999916181,1347225.919999999925494,11934581.999999998137355
FS( 62 ),1519751.860000000102445,1602754.940000000176951,1439409.679999999934807,1442579.119999999878928,1559923.460000000195578,1479579.649999999906868,1498663.219999999972060,1328233.760000000009313,11870895.690000001341105
FS( 63 ),1525964.570000000065193,1626207.240000000223517,1438504.280000000027940,1439012.839999999850988,1566631.760000000242144,1510174.699999999720603,1482630.189999999944121,1317779.359999999869615,11906904.939999999478459
FS( 64 ),1517346.939999999944121,1601622.760000000009313,1424380.040000000037253,1443173.500000000000000,1560817.900000000139698,1462764.050000000046566,1444816.439999999944121,1304014.400000000139698,11758936.030000001192093
