代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11266101.709999999031425
真實報酬,1266101.709999999031425

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20173.172128438949585
風險,47091.549579371589061
起點值,0.428381998652170
找到最佳解世代,2133
找到最佳解實驗#,1
找到最佳解次數,34

stock[index](rank)
投資組合檔數,12
AAPL[0](4),CSCO[4](2),JNJ[12](16),KO[14](28),MSFT[18](3),PG[21](6),TRV[22](5),UTX[24](8),V[25](1),VZ[26](15),WMT[28](12),XOM[29](10),
FS( 7 ),847894.640000000013970,837557.719999999972060,819673.200000000069849,848904.009999999892898,853357.290000000037253,840172.199999999953434,826283.839999999967404,859524.219999999972060,837197.900000000023283,825695.000000000000000,854107.520000000018626,813356.679999999934807,10063728.219999998807907
FS( 8 ),855200.479999999864958,843014.650000000023283,833084.640000000013970,849759.559999999823049,866652.770000000018626,848635.709999999962747,838405.760000000009313,868348.000000000000000,844273.640000000013970,831347.120000000111759,860943.580000000074506,827625.479999999981374,10167295.389999998733401
FS( 9 ),851647.640000000013970,836149.479999999981374,834885.250000000000000,851983.989999999874271,866004.210000000079162,848464.729999999981374,843544.399999999906868,871429.319999999948777,853192.640000000013970,832263.680000000051223,869555.239999999990687,836955.079999999958090,10196079.660000002011657
FS( 10 ),854750.119999999995343,851992.179999999934807,834015.990000000107102,780117.790000000037253,866733.840000000083819,841796.509999999892898,836231.720000000088476,869398.449999999953434,851230.459999999962747,825389.480000000097789,874704.479999999981374,837174.599999999860302,10123539.619999999180436
FS( 11 ),852848.599999999860302,870123.270000000018626,846868.619999999995343,774128.939999999944121,877435.080000000074506,841967.489999999990687,848156.000000000116415,894819.339999999967404,861635.959999999962747,842651.359999999986030,887755.140000000013970,852980.039999999920838,10251373.839999999850988
FS( 12 ),855400.640000000013970,873995.929999999934807,842584.410000000032596,767113.429999999934807,877029.730000000097789,854876.479999999981374,850527.679999999934807,900981.979999999864958,858841.339999999967404,846928.640000000013970,907375.520000000018626,858687.560000000055879,10294347.339999999850988
FS( 13 ),860905.039999999920838,873643.869999999995343,846682.349999999976717,771733.399999999906868,868760.590000000083819,848806.689999999944121,854744.000000000116415,899511.349999999976717,860565.679999999934807,851816.960000000079162,886778.560000000055879,861980.359999999986030,10285932.849999999627471
FS( 14 ),856051.159999999916181,869771.209999999962747,840907.979999999981374,784737.759999999892898,887082.410000000032596,853081.189999999944121,855271.039999999920838,884735.019999999902211,856225.099999999976717,857774.600000000093132,882428.340000000083819,854187.399999999906868,10282257.209999999031425
FS( 15 ),865608.799999999930151,882093.309999999939464,848234.599999999976717,774813.380000000004657,899729.330000000074506,857099.219999999972060,863176.640000000013970,894889.369999999878928,867344.119999999995343,869537.120000000111759,883848.820000000065193,860773.000000000000000,10367151.710000000894070
FS( 16 ),871913.839999999850988,894063.349999999976717,845751.000000000000000,768995.639999999897555,904755.670000000041910,851285.899999999906868,872861.000000000116415,898390.869999999995343,868473.859999999986030,867398.480000000097789,880031.280000000027940,861651.079999999958090,10385575.970000000670552
FS( 17 ),872414.239999999990687,900928.520000000018626,845192.190000000176951,764717.889999999897555,910998.060000000055879,853508.640000000013970,877999.640000000013970,890827.629999999888241,874300.939999999944121,865259.840000000083819,876213.739999999990687,863407.239999999874271,10395772.570000000298023
FS( 18 ),875116.399999999906868,908145.750000000000000,843702.030000000144355,768995.639999999897555,909457.730000000097789,845643.559999999939464,873717.440000000060536,888796.760000000009313,875371.219999999972060,866481.920000000041910,871064.500000000000000,872297.799999999930151,10398794.750000001862645
FS( 19 ),866509.519999999902211,911314.290000000037253,848482.959999999962747,775840.040000000037253,908322.750000000000000,842565.919999999925494,875627.959999999962747,880183.069999999948777,880722.619999999995343,869537.120000000111759,878877.140000000013970,867468.359999999986030,10405455.750000000000000
FS( 20 ),875616.799999999930151,904977.209999999962747,859100.349999999976717,776524.479999999981374,912376.250000000000000,841625.529999999911524,876418.520000000018626,880883.369999999878928,888749.719999999972060,870148.160000000032596,869466.460000000079162,878115.079999999958090,10434005.930000001564622
FS( 21 ),880020.319999999948777,900576.459999999962747,859907.520000000018626,781144.449999999953434,910187.360000000102445,845301.599999999976717,870621.080000000074506,880673.279999999911524,879771.260000000009313,859149.440000000060536,868756.219999999972060,881517.640000000013970,10417630.630000000819564
FS( 22 ),878419.039999999920838,903040.879999999888241,861708.130000000121072,780288.899999999906868,905647.440000000060536,847182.380000000004657,874178.599999999976717,882073.879999999888241,879711.799999999930151,856705.280000000027940,873106.440000000060536,880200.519999999902211,10422267.289999997243285
FS( 23 ),873365.000000000000000,909553.989999999990687,863695.010000000125729,777722.250000000000000,906052.790000000037253,845814.540000000037253,868315.280000000027940,878222.229999999981374,878879.359999999986030,850594.880000000121072,872396.200000000069849,870212.359999999986030,10394827.889999998733401
FS( 24 ),863256.919999999925494,902864.849999999976717,858417.360000000102445,774813.380000000004657,895027.270000000018626,842565.919999999925494,866273.000000000116415,871709.439999999944121,873052.280000000027940,860066.000000000000000,865205.020000000018626,879871.239999999874271,10353126.679999997839332
FS( 25 ),865308.559999999939464,898992.189999999944121,857299.740000000107102,767284.540000000037253,896000.110000000102445,841369.059999999939464,863176.640000000013970,868628.119999999878928,876144.199999999953434,863579.480000000097789,866447.940000000060536,867248.839999999967404,10331483.419999999925494
FS( 26 ),895282.519999999902211,913954.739999999990687,860404.240000000107102,790213.279999999911524,914808.349999999976717,851371.390000000013970,868776.440000000060536,882564.089999999967404,895884.919999999925494,879619.280000000027940,874349.360000000102445,875700.359999999986030,10502932.969999998807907
FS( 27 ),905340.559999999939464,918003.429999999934807,864253.820000000065193,787988.849999999860302,921212.880000000121072,855389.419999999925494,874376.239999999990687,873180.069999999948777,902187.679999999934807,877327.880000000121072,873372.780000000027940,878115.079999999958090,10530752.689999999478459
FS( 28 ),909343.760000000009313,925748.750000000000000,865681.890000000013970,790897.719999999855645,928347.040000000037253,865049.790000000037253,876220.880000000004657,886975.979999999981374,906587.719999999972060,880841.359999999986030,879232.260000000009313,885908.039999999920838,10600839.189999999478459
FS( 29 ),919451.839999999850988,928389.200000000069849,857051.380000000121072,782000.000000000000000,929076.670000000041910,866246.649999999906868,876616.160000000032596,888726.729999999981374,916874.299999999930151,885271.400000000139698,872041.080000000074506,882944.519999999902211,10604693.929999999701977
FS( 30 ),931411.399999999906868,936486.580000000074506,854443.599999999976717,775155.599999999860302,939777.910000000032596,875821.529999999911524,883994.720000000088476,881933.819999999948777,924366.260000000009313,891992.840000000083819,873816.680000000051223,879761.479999999981374,10648966.419999999925494
FS( 31 ),940919.000000000000000,941943.509999999892898,851773.729999999981374,777037.809999999823049,953235.530000000027940,867870.959999999962747,889001.599999999976717,888796.760000000009313,921393.260000000009313,887104.520000000018626,884825.400000000023283,889969.159999999916181,10693875.240000000223517
FS( 32 ),933463.039999999920838,938422.910000000032596,859659.160000000032596,779604.459999999962747,953884.090000000083819,871205.070000000065193,875759.720000000088476,886065.589999999967404,919193.239999999990687,878397.200000000069849,886512.219999999972060,887664.199999999953434,10669834.900000000372529
FS( 33 ),941619.559999999939464,937542.759999999892898,852518.810000000055879,779091.130000000004657,952830.180000000051223,869666.250000000000000,865218.920000000041910,877661.989999999990687,914198.599999999976717,880994.120000000111759,875769.840000000083819,892603.399999999906868,10639719.560000000521541
FS( 34 ),976297.279999999911524,949512.799999999930151,857548.099999999976717,778748.909999999916181,974719.080000000074506,876248.979999999981374,885246.440000000060536,888656.699999999953434,926387.900000000023283,890465.240000000107102,879498.600000000093132,897762.119999999995343,10781096.150000000372529
FS( 35 ),956081.119999999995343,928389.200000000069849,850159.390000000013970,785935.529999999911524,949019.890000000013970,869153.309999999939464,888738.080000000074506,876541.510000000009313,910155.319999999948777,912920.960000000079162,872573.760000000009313,883383.560000000055879,10683055.630000000819564
FS( 36 ),944521.880000000004657,928213.169999999925494,848296.690000000176951,787646.630000000004657,953965.160000000032596,871718.009999999892898,889067.479999999981374,878292.260000000009313,909917.479999999981374,917809.280000000027940,871597.180000000051223,877237.000000000000000,10678286.219999998807907
FS( 37 ),934764.079999999841675,937014.669999999925494,860466.330000000074506,798084.339999999967404,955991.910000000032596,880779.949999999953434,889265.119999999995343,883474.479999999981374,923414.900000000023283,926211.080000000074506,872928.880000000004657,888652.039999999920838,10751051.780000001192093
FS( 38 ),943170.799999999930151,935430.400000000023283,861273.500000000000000,797571.009999999892898,946749.930000000051223,879754.070000000065193,898290.679999999934807,884594.959999999962747,916993.219999999972060,930030.080000000074506,863074.299999999930151,881846.920000000041910,10738783.869999999180436
FS( 39 ),944421.799999999930151,939303.059999999939464,862391.119999999995343,797057.679999999934807,948047.050000000046566,885310.919999999925494,901914.080000000074506,891387.869999999878928,919668.919999999925494,902533.280000000027940,862364.060000000055879,886237.319999999948777,10740641.160000000149012
FS( 40 ),950576.719999999855645,950392.950000000069849,868041.310000000055879,801848.759999999892898,956235.119999999995343,889585.419999999925494,903626.959999999962747,902732.729999999864958,928706.839999999967404,903297.080000000074506,865915.260000000009313,886895.879999999888241,10807859.029999997466803
FS( 41 ),957031.880000000004657,967819.919999999925494,863012.020000000018626,799453.219999999855645,964990.680000000051223,886080.329999999958090,909292.640000000013970,932845.629999999888241,935069.059999999939464,902686.040000000153668,868489.880000000004657,897103.560000000055879,10883878.860000001266599
FS( 42 ),970943.000000000000000,973276.849999999976717,855126.590000000083819,796886.569999999948777,966368.869999999995343,887020.719999999972060,901321.160000000032596,923811.760000000009313,938160.979999999981374,894131.480000000097789,860677.239999999990687,893261.959999999962747,10860991.179999999701977
FS( 43 ),977598.319999999948777,979261.869999999995343,851773.729999999981374,790213.279999999911524,972692.330000000074506,886507.779999999911524,899937.679999999934807,919679.989999999990687,942204.260000000009313,899325.320000000065193,862896.739999999990687,887993.479999999981374,10870088.779999999329448
FS( 44 ),979299.679999999934807,970636.400000000023283,841839.330000000074506,795346.579999999841675,967747.060000000055879,884285.040000000037253,899410.640000000013970,929414.159999999916181,937328.539999999920838,901158.440000000060536,871064.500000000000000,900615.879999999888241,10878150.250000000000000
FS( 45 ),985854.919999999925494,971868.609999999986030,845626.820000000065193,795175.469999999855645,972043.770000000018626,886165.820000000065193,898620.080000000074506,936557.219999999972060,937388.000000000000000,902686.040000000153668,877456.660000000032596,905445.319999999948777,10914892.730000000447035
FS( 46 ),1001367.319999999948777,976797.450000000069849,845378.459999999962747,796544.349999999860302,972368.050000000046566,897450.500000000000000,895194.319999999948777,935436.739999999990687,937982.599999999976717,903297.080000000074506,881007.860000000102445,911043.079999999958090,10953871.810000000521541
FS( 47 ),998364.919999999925494,971340.520000000018626,841839.330000000074506,798597.669999999925494,967098.500000000000000,894800.309999999939464,890648.599999999976717,926262.809999999939464,936436.640000000013970,892145.600000000093132,876213.739999999990687,899298.760000000009313,10893051.399999998509884
FS( 48 ),1003969.399999999906868,982606.439999999944121,841901.420000000158325,798084.339999999967404,974475.869999999995343,894714.820000000065193,892427.360000000102445,922131.039999999920838,942798.859999999986030,895353.560000000055879,884292.719999999972060,895237.640000000013970,10927997.470000002533197
FS( 49 ),995612.719999999855645,978733.780000000027940,839604.090000000083819,799282.109999999986030,975610.849999999976717,895569.719999999972060,897829.520000000018626,930254.519999999902211,938636.660000000032596,894589.760000000125729,894946.320000000065193,899518.280000000027940,10940192.329999998211861
FS( 50 ),995212.399999999906868,990879.849999999976717,844385.020000000018626,799795.439999999944121,980637.190000000060536,898219.910000000032596,907316.239999999990687,947621.959999999962747,949220.539999999920838,897339.440000000060536,901693.600000000093132,888213.000000000000000,11000538.589999999850988
FS( 51 ),997013.839999999850988,995632.660000000032596,847737.880000000121072,804244.299999999930151,981447.890000000013970,903947.739999999990687,901189.399999999906868,942369.709999999962747,953977.339999999967404,896881.160000000032596,909417.460000000079162,885249.479999999981374,11019112.859999999403954
FS( 52 ),997113.919999999925494,1002497.830000000074506,857051.380000000121072,803388.750000000000000,979177.930000000051223,909846.549999999930151,911400.800000000046566,947902.079999999958090,952728.679999999934807,898103.240000000107102,913856.460000000079162,891286.280000000027940,11064357.899999998509884
FS( 53 ),1016529.439999999944121,991231.910000000032596,860155.880000000121072,809035.380000000004657,987284.930000000051223,904973.619999999878928,895128.440000000060536,951053.429999999934807,953977.339999999967404,882674.480000000097789,915898.400000000023283,893810.760000000009313,11061758.009999999776483
FS( 54 ),1020182.359999999986030,992816.179999999934807,853946.880000000121072,812457.579999999841675,1000256.130000000121072,906683.419999999925494,915287.720000000088476,959527.059999999939464,952312.459999999962747,886646.240000000107102,916075.960000000079162,890517.959999999962747,11106713.949999999254942
FS( 55 ),1023535.039999999920838,991760.000000000000000,855871.670000000158325,811088.699999999953434,1003417.860000000102445,906341.459999999962747,900003.560000000055879,958896.789999999920838,953739.500000000000000,891687.320000000065193,908884.780000000027940,909945.479999999981374,11115176.160000002011657
FS( 56 ),1038296.839999999850988,997921.049999999930151,868724.300000000162981,824948.609999999986030,1017037.619999999995343,881976.809999999939464,909226.759999999892898,980676.119999999995343,961231.459999999962747,873050.600000000093132,915099.380000000004657,915213.959999999962747,11183407.510000001639128
FS( 57 ),1036695.559999999939464,1001265.619999999995343,864378.000000000000000,821013.079999999841675,1013551.610000000102445,886507.779999999911524,916934.720000000088476,977664.829999999958090,960220.640000000013970,871981.280000000027940,919183.260000000009313,897432.839999999967404,11166833.219999998807907
FS( 58 ),1027288.039999999920838,991583.969999999972060,867172.050000000162981,818617.540000000037253,1047114.590000000083819,883002.689999999944121,917000.599999999976717,978645.249999999883585,957426.020000000018626,853191.800000000046566,919094.479999999981374,902481.799999999930151,11162622.830000001937151
FS( 59 ),1022384.119999999995343,983662.619999999995343,871766.709999999962747,825804.159999999916181,1053113.770000000018626,905059.109999999986030,923918.000000000116415,985998.399999999906868,968782.880000000004657,864343.280000000027940,901427.260000000009313,883493.319999999948777,11189757.630000000819564
FS( 60 ),1023935.359999999986030,988063.369999999995343,868351.760000000125729,828541.919999999925494,1052140.930000000167638,895826.189999999944121,931955.360000000102445,995382.419999999925494,976037.000000000000000,868315.040000000153668,901693.600000000093132,877785.799999999930151,11208032.750000000000000
FS( 61 ),1004219.599999999860302,984894.830000000074506,876796.000000000000000,839492.959999999962747,1058869.739999999990687,910359.489999999990687,947041.880000000004657,998813.890000000013970,977701.880000000004657,873661.640000000013970,913057.440000000060536,881188.359999999986030,11266101.709999999031425
