代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11498736.210000000894070
真實報酬,1498736.210000000894070

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,24265.749205608077318
風險,59875.008281453214295
起點值,0.405273417108229
找到最佳解世代,2329
找到最佳解實驗#,1
找到最佳解次數,41

stock[index](rank)
投資組合檔數,7
AAPL[0](8),HD[9](1),IBM[10](29),MCD[15](14),MSFT[18](2),PFE[20](20),TRV[22](15),
FS( 21 ),1491466.879999999888241,1526616.099999999860302,1386573.199999999953434,1500818.139999999897555,1466997.120000000111759,1543397.809999999823049,1535765.150000000139698,10451637.400000000372529
FS( 22 ),1514408.409999999916181,1530247.399999999906868,1404820.000000000000000,1478530.719999999972060,1512769.409999999916181,1566933.739999999757856,1531093.250000000000000,10538805.929999999701977
FS( 23 ),1522399.280000000027940,1552035.199999999953434,1399089.599999999860302,1486757.620000000111759,1548370.079999999841675,1552669.539999999804422,1524864.050000000046566,10586188.370000001043081
FS( 24 ),1539412.099999999860302,1564744.750000000000000,1392454.399999999906868,1493339.139999999897555,1564192.599999999860302,1540544.969999999972060,1539917.949999999953434,10634608.909999998286366
FS( 25 ),1555393.840000000083819,1568739.179999999934807,1376469.599999999860302,1504856.799999999813735,1588491.469999999972060,1538405.339999999850988,1540437.050000000046566,10672796.280000001192093
FS( 26 ),1553073.909999999916181,1569828.569999999832362,1369306.600000000093132,1490497.120000000111759,1567583.139999999897555,1556235.589999999850988,1549261.750000000000000,10655789.679999999701977
FS( 27 ),1558487.079999999841675,1580722.469999999972060,1367195.399999999906868,1491394.600000000093132,1573234.040000000037253,1564794.109999999869615,1559903.300000000046566,10695734.000000000000000
FS( 28 ),1555909.379999999888241,1578180.559999999823049,1374810.800000000046566,1494834.940000000176951,1566452.959999999962747,1561941.269999999785796,1554712.300000000046566,10686845.210000000894070
FS( 29 ),1551785.060000000055879,1575638.649999999906868,1361465.000000000000000,1504408.059999999823049,1582275.479999999981374,1568360.159999999683350,1552116.800000000046566,10696052.210000000894070
FS( 30 ),1545856.349999999860302,1579996.209999999729916,1350984.399999999906868,1501117.299999999813735,1596402.729999999981374,1557662.009999999776483,1540956.149999999906868,10672978.149999998509884
FS( 31 ),1563900.250000000000000,1588348.199999999953434,1357318.000000000000000,1504108.899999999906868,1596967.820000000065193,1564794.109999999869615,1549261.750000000000000,10724702.029999999329448
FS( 32 ),1580139.759999999776483,1629745.020000000018626,1365385.800000000046566,1519216.479999999981374,1595272.550000000046566,1566933.739999999757856,1554452.750000000000000,10811149.099999999627471
FS( 33 ),1575242.129999999888241,1648990.909999999683350,1361238.800000000046566,1514729.080000000074506,1589056.560000000055879,1557662.009999999776483,1565094.300000000046566,10812016.790000000968575
FS( 34 ),1547660.739999999990687,1616309.209999999729916,1421558.800000000046566,1521908.919999999925494,1678905.870000000111759,1561941.269999999785796,1598576.250000000232831,10946864.060000000521541
FS( 35 ),1573953.280000000027940,1629745.020000000018626,1432567.199999999953434,1510092.100000000093132,1680036.050000000046566,1548390.280000000027940,1564834.750000000000000,10939621.679999999701977
FS( 36 ),1548176.280000000027940,1632650.059999999823049,1447270.199999999953434,1477184.500000000000000,1657997.540000000037253,1544824.229999999981374,1505397.800000000046566,10813503.610000001266599
FS( 37 ),1644840.030000000027940,1643543.959999999729916,1445762.199999999953434,1484364.340000000083819,1670429.520000000018626,1549103.489999999757856,1535246.050000000046566,10973292.589999999850988
FS( 38 ),1637364.699999999953434,1632286.929999999934807,1440107.199999999953434,1483616.440000000176951,1667038.979999999981374,1542684.599999999860302,1523566.300000000046566,10926668.150000000372529
FS( 39 ),1647159.959999999962747,1629381.889999999664724,1436186.400000000139698,1476287.020000000018626,1651781.550000000046566,1531986.449999999953434,1506695.550000000046566,10879481.820000000298023
FS( 40 ),1668297.099999999860302,1625750.589999999850988,1451568.000000000000000,1476287.020000000018626,1673254.969999999972060,1539118.549999999813735,1508252.850000000093132,10942532.079999998211861
FS( 41 ),1680927.829999999841675,1611951.649999999906868,1452322.000000000000000,1481671.899999999906868,1668734.250000000000000,1526280.769999999785796,1513184.300000000046566,10935075.699999999254942
FS( 42 ),1679896.750000000000000,1614856.689999999711290,1452472.800000000046566,1471949.200000000186265,1689077.489999999990687,1519861.879999999888241,1538360.650000000139698,10966478.459999999031425
FS( 43 ),1676030.199999999720603,1614493.559999999823049,1444254.199999999953434,1475239.959999999962747,1692468.030000000027940,1505597.679999999934807,1541475.250000000000000,10949561.880000000819564
FS( 44 ),1692785.250000000000000,1640275.789999999804422,1460163.599999999860302,1496031.580000000074506,1708855.639999999897555,1512016.569999999832362,1560422.399999999906868,11070553.830000000074506
FS( 45 ),1708509.219999999972060,1641365.179999999934807,1453980.800000000046566,1488253.419999999925494,1706595.280000000027940,1494186.319999999832362,1539917.949999999953434,11032811.169999999925494
FS( 46 ),1726553.120000000111759,1650806.559999999823049,1457977.000000000000000,1509493.780000000027940,1715071.630000000121072,1501318.419999999925494,1550559.500000000000000,11111783.009999999776483
FS( 47 ),1755423.359999999869615,1640275.789999999804422,1454961.000000000000000,1496629.899999999906868,1732589.419999999925494,1498465.580000000074506,1553414.550000000046566,11131762.599999999627471
FS( 48 ),1815999.310000000055879,1643907.089999999850988,1456318.199999999953434,1495732.419999999925494,1738805.409999999916181,1507737.309999999823049,1554452.750000000000000,11212955.490000000223517
FS( 49 ),1817030.389999999897555,1646085.869999999878928,1450964.799999999813735,1487954.260000000009313,1723547.979999999981374,1501318.419999999925494,1541215.700000000186265,11168120.419999998062849
FS( 50 ),1850798.259999999776483,1667873.669999999925494,1452472.800000000046566,1490646.700000000186265,1728068.699999999953434,1519148.669999999925494,1531093.250000000000000,11240105.050000000745058
FS( 51 ),1876059.719999999972060,1672594.359999999869615,1449456.800000000046566,1489150.899999999906868,1709420.729999999981374,1521288.299999999813735,1535505.599999999860302,11253479.409999998286366
FS( 52 ),1832754.359999999869615,1659884.809999999823049,1449683.000000000000000,1475090.379999999888241,1698118.929999999934807,1505597.679999999934807,1538879.750000000000000,11160011.910000000149012
FS( 53 ),1849251.639999999897555,1667873.669999999925494,1455488.800000000046566,1484813.080000000074506,1768190.089999999850988,1521288.299999999813735,1542773.000000000000000,11289681.579999998211861
FS( 54 ),1848993.870000000111759,1696197.809999999823049,1458504.799999999813735,1495732.419999999925494,1765929.729999999981374,1511303.359999999869615,1553414.550000000046566,11330079.539999999105930
FS( 55 ),1895908.009999999776483,1703823.539999999804422,1458278.599999999860302,1503211.419999999925494,1776666.439999999944121,1513442.989999999757856,1538360.650000000139698,11389694.650000000372529
FS( 56 ),1889205.989999999990687,1691113.989999999757856,1461897.800000000046566,1505754.280000000027940,1767059.909999999916181,1523427.929999999934807,1529795.500000000000000,11368258.400000000372529
FS( 57 ),1901578.949999999720603,1704912.929999999934807,1490097.400000000139698,1507997.979999999981374,1772710.810000000055879,1499892.000000000000000,1530314.600000000093132,11407507.669999999925494
FS( 58 ),1923747.169999999692664,1706002.319999999832362,1491228.399999999906868,1500668.559999999823049,1778926.800000000046566,1510590.149999999906868,1520970.800000000046566,11432137.199999999254942
FS( 59 ),1936120.129999999888241,1704186.669999999925494,1489494.199999999953434,1501266.879999999888241,1771580.630000000121072,1516295.830000000074506,1520970.800000000046566,11439918.140000000596046
FS( 60 ),1971692.389999999897555,1715080.569999999832362,1492887.199999999953434,1492591.239999999990687,1800965.310000000055879,1513442.989999999757856,1515779.800000000046566,11502442.500000001862645
FS( 61 ),1997469.389999999897555,1727426.989999999757856,1483462.199999999953434,1485112.239999999990687,1793619.139999999897555,1507024.099999999860302,1504619.149999999906868,11498736.210000000894070
