代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11550004.740000000223517
真實報酬,1550004.740000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13439.803813818998606
風險,236040.870386228692951
起點值,0.056938460665001
找到最佳解世代,2048
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
INTC[11](5),MSFT[18](1),NKE[19](3),V[25](2),
FS( 25 ),2396479.659999999683350,2656482.679999999701977,2568120.479999999515712,2619202.719999999739230,10240285.539999999105930
FS( 26 ),2411954.350000000093132,2606454.759999999776483,2584264.639999999664724,2612216.479999999981374,10214890.229999998584390
FS( 27 ),2281219.899999999906868,2472659.160000000149012,2460624.000000000000000,2485809.199999999720603,9700312.259999999776483
FS( 28 ),2345253.100000000093132,2564861.779999999795109,2578751.999999999534339,2539515.919999999459833,10028382.799999998882413
FS( 29 ),2392210.779999999795109,2592493.479999999515712,2598046.239999999757856,2586454.719999999739230,10169205.219999998807907
FS( 30 ),2372467.209999999962747,2612853.679999999701977,2593714.879999999888241,2583834.879999999422580,10162870.649999998509884
FS( 31 ),2421559.330000000074506,2641357.959999999962747,2676010.719999999739230,2637978.239999999757856,10376906.250000000000000
FS( 32 ),2450374.270000000018626,2695167.059999999590218,2689004.799999999813735,2669634.639999999664724,10504180.769999999552965
FS( 33 ),2431164.310000000055879,2675970.299999999813735,2689398.559999999590218,2660246.879999999422580,10456780.049999998882413
FS( 34 ),2471718.669999999925494,2696912.219999999739230,2657503.999999999534339,2663740.000000000000000,10489874.889999998733401
FS( 35 ),2451441.489999999757856,2661136.439999999478459,2640178.559999999590218,2629245.439999999944121,10382001.929999999701977
FS( 36 ),2443970.949999999720603,2668117.080000000074506,2643328.639999999664724,2628153.839999999385327,10383570.509999997913837
FS( 37 ),2546957.679999999701977,2735887.459999999962747,2683885.919999999459833,2683825.439999999944121,10650556.499999998137355
FS( 38 ),2620595.859999999869615,2775444.419999999925494,2742556.160000000149012,2720066.559999999590218,10858663.000000000000000
FS( 39 ),2663284.659999999683350,2739959.500000000000000,2678767.040000000037253,2693431.520000000018626,10775442.720000000670552
FS( 40 ),2630200.839999999850988,2727452.519999999552965,2639391.040000000037253,2684043.759999999776483,10681088.160000000149012
FS( 41 ),2552827.390000000130385,2700693.399999999441206,2611434.079999999608845,2628590.479999999981374,10493545.349999999627471
FS( 42 ),2613658.929999999701977,2706510.599999999627471,2594502.399999999906868,2636668.319999999832362,10551340.250000000000000
FS( 43 ),2654746.899999999906868,2723671.339999999850988,2561426.559999999590218,2660901.839999999385327,10600746.639999998733401
FS( 44 ),2705973.459999999962747,2714363.819999999832362,2568907.999999999534339,2642999.599999999627471,10632244.879999998956919
FS( 45 ),2738523.669999999925494,2730070.259999999776483,2526775.679999999701977,2660246.879999999422580,10655616.489999998360872
FS( 46 ),2707574.290000000037253,2746649.279999999795109,2563789.119999999646097,2668324.719999999739230,10686337.410000000149012
FS( 47 ),2784947.739999999757856,2808020.740000000223517,2610646.559999999590218,2718320.000000000000000,10921935.039999999105930
FS( 48 ),2749195.870000000111759,2814710.519999999552965,2631122.079999999608845,2712425.359999999403954,10907453.829999998211861
FS( 49 ),2763069.729999999981374,2746067.559999999590218,2605527.679999999701977,2689720.079999999608845,10804385.049999998882413
FS( 50 ),2767338.609999999869615,2729779.399999999441206,2606708.959999999962747,2676184.239999999757856,10780011.209999999031425
FS( 51 ),2715044.830000000074506,2739377.779999999795109,2614190.399999999906868,2694304.799999999813735,10762917.809999998658895
FS( 52 ),2730519.520000000018626,2751593.899999999441206,2595289.919999999459833,2718756.639999999664724,10796159.980000000447035
FS( 53 ),2712376.779999999795109,2701856.839999999850988,2587414.719999999739230,2689938.399999999441206,10691586.739999998360872
FS( 54 ),2750796.699999999720603,2708837.479999999515712,2630334.559999999590218,2727052.799999999813735,10817021.539999999105930
FS( 55 ),2751330.310000000055879,2689931.580000000074506,2612615.359999999403954,2690156.719999999739230,10744033.969999998807907
FS( 56 ),2712376.779999999795109,2611690.240000000223517,2536619.679999999701977,2619639.359999999403954,10480326.059999998658895
FS( 57 ),2633936.109999999869615,2535775.779999999795109,2544888.639999999664724,2554361.679999999701977,10268962.209999999031425
FS( 58 ),2800422.429999999701977,2727743.379999999888241,2594896.160000000149012,2633830.159999999683350,10756892.129999998956919
FS( 59 ),2731586.739999999757856,2602382.719999999739230,2605527.679999999701977,2563094.479999999981374,10502591.619999999180436
FS( 60 ),2646742.750000000000000,2600055.839999999850988,2576783.199999999720603,2554143.359999999403954,10377725.149999998509884
FS( 61 ),2779078.029999999795109,2654737.519999999552965,2616159.199999999720603,2611561.520000000018626,10661536.269999997690320
FS( 62 ),2610457.270000000018626,2574751.019999999552965,2524806.879999999888241,2584708.159999999683350,10294723.329999998211861
FS( 63 ),2654746.899999999906868,2609363.359999999403954,2626396.959999999962747,2602392.079999999608845,10492899.299999998882413
FS( 64 ),2667553.540000000037253,2685568.679999999701977,2694123.679999999701977,2615709.599999999627471,10662955.500000000000000
FS( 65 ),2688364.330000000074506,2687022.979999999515712,2740193.600000000093132,2645837.759999999776483,10761418.669999999925494
FS( 66 ),2603520.339999999850988,2624488.080000000074506,2659866.559999999590218,2569644.079999999608845,10457519.059999998658895
FS( 67 ),2644074.699999999720603,2640194.519999999552965,2645297.439999999944121,2593440.959999999962747,10523007.619999997317791
FS( 68 ),2735855.620000000111759,2701565.979999999515712,2638209.759999999776483,2635576.719999999739230,10711208.079999998211861
FS( 69 ),2726784.250000000000000,2671898.259999999776483,2631515.839999999850988,2615054.639999999664724,10645252.989999998360872
FS( 70 ),2813229.069999999832362,2721926.179999999701977,2668529.279999999795109,2643217.919999999459833,10846902.449999999254942
FS( 71 ),2767338.609999999869615,2707383.179999999701977,2648053.759999999776483,2636231.679999999701977,10759007.229999998584390
FS( 72 ),2796153.549999999813735,2739086.919999999925494,2640572.319999999832362,2660901.839999999385327,10836714.629999998956919
FS( 73 ),2856985.089999999850988,2794350.319999999832362,2658291.520000000018626,2702819.279999999795109,11012446.209999999031425
FS( 74 ),2860720.359999999869615,2805112.139999999664724,2606708.959999999962747,2702819.279999999795109,10975360.740000000223517
FS( 75 ),2786548.569999999832362,2795513.759999999776483,2588202.239999999757856,2706312.399999999441206,10876576.969999998807907
FS( 76 ),2749729.479999999981374,2763228.299999999813735,2602377.600000000093132,2711552.079999999608845,10826887.459999999031425
FS( 77 ),2726784.250000000000000,2773408.399999999441206,2633484.639999999664724,2717228.399999999441206,10850905.689999997615814
FS( 78 ),2745460.600000000093132,2708546.620000000111759,2637028.479999999515712,2647584.319999999832362,10738620.019999999552965
FS( 79 ),2741725.330000000074506,2684986.959999999962747,2625215.679999999701977,2646274.399999999441206,10698202.369999999180436
FS( 80 ),2830838.199999999720603,2741704.660000000149012,2679554.559999999590218,2774428.239999999757856,11026525.659999998286366
FS( 81 ),2813762.679999999701977,2787078.819999999832362,2739012.319999999832362,2751068.000000000000000,11090921.820000000298023
FS( 82 ),2754531.969999999739230,2720181.019999999552965,2692942.399999999906868,2770061.839999999385327,10937717.229999998584390
FS( 83 ),2845779.279999999795109,2763228.299999999813735,2681523.359999999403954,2783816.000000000000000,11074346.939999999478459
FS( 84 ),2791351.060000000055879,2719890.160000000149012,2687823.520000000018626,2759145.839999999385327,10958210.580000000074506
FS( 85 ),2789750.229999999981374,2736178.319999999832362,2634272.160000000149012,2776611.439999999944121,10936812.150000000372529
FS( 86 ),2816430.729999999981374,2767882.059999999590218,2681523.359999999403954,2798006.799999999813735,11063842.949999999254942
FS( 87 ),2845779.279999999795109,2798713.219999999739230,2730349.600000000093132,2822021.999999999534339,11196864.099999999627471
FS( 88 ),2861787.580000000074506,2786787.959999999962747,2695698.719999999739230,2835994.479999999981374,11180268.740000000223517
FS( 89 ),2899673.890000000130385,2819655.139999999664724,2675616.959999999962747,2856516.559999999590218,11251462.549999997019768
FS( 90 ),2933824.929999999701977,2847868.559999999590218,2674435.679999999701977,2856516.559999999590218,11312645.729999996721745
FS( 91 ),2917283.020000000018626,2841760.500000000000000,2694517.439999999944121,2877911.919999999459833,11331472.879999998956919
FS( 92 ),2929556.049999999813735,2851358.879999999888241,2710661.600000000093132,2864594.399999999906868,11356170.929999999701977
FS( 93 ),2877262.270000000018626,2830707.819999999832362,2736649.759999999776483,2862192.879999999422580,11306812.729999998584390
FS( 94 ),2915682.189999999944121,2825763.200000000186265,2809101.600000000093132,2857608.159999999217689,11408155.149999998509884
FS( 95 ),2924753.560000000055879,2797549.779999999795109,2793351.199999999720603,2836649.439999999944121,11352303.979999998584390
FS( 96 ),2924753.560000000055879,2802785.259999999776483,2808314.079999999608845,2836649.439999999944121,11372502.339999999850988
FS( 97 ),2898606.669999999925494,2838851.899999999441206,2810676.639999999664724,2852586.799999999813735,11400722.009999997913837
FS( 98 ),2905543.600000000093132,2835943.299999999813735,2807920.319999999832362,2853678.399999999906868,11403085.620000001043081
FS( 99 ),2946097.959999999962747,2869683.059999999590218,2809101.600000000093132,2879221.839999999385327,11504104.459999999031425
FS( 100 ),2921551.899999999906868,2859502.959999999962747,2842177.439999999944121,2879440.159999999217689,11502672.459999997168779
FS( 101 ),2958370.989999999757856,2860957.259999999776483,2844933.759999999776483,2866122.639999999664724,11530384.649999998509884
FS( 102 ),2951967.669999999925494,2850777.160000000149012,2792563.679999999701977,2831409.759999999776483,11426718.269999999552965
FS( 103 ),2971177.629999999888241,2878118.000000000000000,2844146.239999999757856,2852150.159999999217689,11545592.029999997466803
FS( 104 ),2945564.350000000093132,2874918.540000000037253,2827214.559999999590218,2853896.719999999739230,11501594.169999998062849
FS( 105 ),3045883.029999999795109,2931636.240000000223517,2865015.520000000018626,2856734.879999999422580,11699269.669999998062849
FS( 106 ),3032542.779999999795109,2957231.919999999925494,2907147.839999999850988,2905201.919999999459833,11802124.459999999031425
FS( 107 ),3016534.479999999981374,2972356.639999999664724,2915810.559999999590218,2915899.599999999627471,11820601.279999999329448
FS( 108 ),3043214.979999999981374,2981082.439999999478459,2943373.759999999776483,2975282.639999999664724,11942953.820000000298023
FS( 109 ),2981849.830000000074506,2934253.979999999515712,2943767.520000000018626,2922012.559999999590218,11781883.890000000596046
FS( 110 ),2937560.199999999720603,2956068.479999999515712,2949280.160000000149012,2941661.359999999869615,11784570.199999999254942
FS( 111 ),2909278.870000000111759,2939198.599999999627471,2937073.600000000093132,2923540.799999999813735,11709091.870000001043081
FS( 112 ),2925287.169999999925494,2946760.959999999962747,2925260.799999999813735,2944281.200000000186265,11741590.129999998956919
FS( 113 ),2936492.979999999981374,2933381.399999999441206,2918173.119999999646097,2934238.479999999981374,11722285.979999998584390
FS( 114 ),2963707.089999999850988,2949960.419999999925494,2941404.959999999962747,2947337.679999999701977,11802410.149999998509884
FS( 115 ),2940761.859999999869615,2912439.479999999515712,2986293.600000000093132,2949520.879999999422580,11789015.819999998435378
FS( 116 ),2839909.569999999832362,2933672.259999999776483,2977237.119999999646097,2973536.079999999608845,11724355.029999999329448
FS( 117 ),2824434.879999999888241,2933672.259999999776483,2924079.520000000018626,2949739.200000000186265,11631925.859999999403954
FS( 118 ),2824434.879999999888241,2963049.120000000111759,2942192.479999999515712,2958253.679999999701977,11687930.160000000149012
FS( 119 ),2784947.739999999757856,2941816.339999999850988,2911479.199999999720603,2937076.639999999664724,11575319.919999998062849
FS( 120 ),2801489.649999999906868,2920583.559999999590218,2891397.439999999944121,2954542.239999999757856,11568012.889999998733401
FS( 121 ),2705973.459999999962747,2861829.839999999850988,2848871.359999999403954,2858481.439999999944121,11275156.099999999627471
FS( 122 ),2650478.020000000018626,2881899.179999999701977,2857140.319999999832362,2893849.279999999795109,11283366.799999998882413
FS( 123 ),2601919.509999999776483,2837106.740000000223517,2809495.359999999403954,2860446.319999999832362,11108967.929999999701977
FS( 124 ),2628066.399999999906868,2868810.479999999515712,2823276.959999999962747,2897997.359999999869615,11218151.199999999254942
FS( 125 ),2652612.459999999962747,2868228.759999999776483,3137497.439999999944121,2891666.079999999608845,11550004.740000000223517
