代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12873060.759999999776483
真實報酬,2873060.759999999776483

夏普值報酬,0.278606076000000
夏普值風險,0.072006989036605
夏普值,3.869153254809313

二次趨勢線,29.587237255175381 x^2 + 18954.192887565095589 x + 10000000.000000000000000
二次加權預期報酬,24023.472870618468733
風險,163870.512511329929112
二次加權趨勢值,0.146600340124997
一次趨勢線,21805.619705993798561 x + 10000000.000000000000000
一次預期報酬,21805.619705993798561
一次風險,172766.773089168040315
一次趨勢值,0.126214197997085
找到最佳解世代,2063
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](7),KO[14](2),XOM[29](1),
FS( 17 ),3461078.159999999217689,3659736.699999999720603,3555906.959999999962747,10676722.820000000298023
FS( 18 ),3412129.079999999143183,3667730.260000000242144,3580637.399999999906868,10660497.740000000223517
FS( 19 ),3352435.079999999143183,3655739.919999999925494,3586525.599999999627471,10594701.599999997764826
FS( 20 ),3348853.439999999478459,3663733.479999999981374,3552962.860000000335276,10565550.780000001192093
FS( 21 ),3403771.919999999925494,3671727.040000000037253,3514100.739999999757856,10589600.699999999254942
FS( 22 ),3476598.599999999627471,3758323.939999999944121,3647174.060000000055879,10882097.599999999627471
FS( 23 ),3396608.639999999664724,3755659.419999999925494,3693102.020000000018626,10845371.080000000074506
FS( 24 ),3428843.399999999441206,3767649.760000000242144,3693102.020000000018626,10889596.179999999701977
FS( 25 ),3427649.519999999552965,3755659.419999999925494,3692513.200000000186265,10875823.140000000596046
FS( 26 ),3424067.879999999422580,3780972.359999999869615,3648940.520000000018626,10853981.759999999776483
FS( 27 ),3426455.639999999664724,3804953.040000000037253,3677203.880000000353903,10908613.560000000521541
FS( 28 ),3371537.159999999217689,3795627.219999999739230,3646585.239999999757856,10813750.619999999180436
FS( 29 ),3308261.519999999552965,3733011.000000000000000,3555906.959999999962747,10597180.480000000447035
FS( 30 ),3296322.719999999273568,3710362.580000000074506,3546485.839999999850988,10553172.139999998733401
FS( 31 ),3260506.319999999366701,3713027.100000000093132,3527643.599999999627471,10501178.019999999552965
FS( 32 ),3268863.479999999515712,3722352.919999999925494,3525877.140000000130385,10517094.539999999105930
FS( 33 ),3379894.319999999366701,3738340.040000000037253,3581226.220000000204891,10699461.580000000074506
FS( 34 ),3445557.719999999273568,3719688.400000000372529,3541775.279999999795109,10707022.399999998509884
FS( 35 ),3369149.399999999441206,3682385.120000000111759,3491136.759999999776483,10542672.279999999329448
FS( 36 ),3363180.000000000000000,3683717.379999999888241,3467583.959999999962747,10514482.339999999850988
FS( 37 ),3322588.079999999143183,3703701.280000000260770,3503501.979999999981374,10529792.339999999850988
FS( 38 ),3316618.679999999701977,3707698.059999999590218,3470528.060000000055879,10494845.799999998882413
FS( 39 ),3382282.079999999143183,3690378.679999999701977,3468761.599999999627471,10541423.359999999403954
FS( 40 ),3388251.479999999515712,3674391.559999999590218,3443442.339999999850988,10506086.379999998956919
FS( 41 ),3431231.159999999217689,3741004.559999999590218,3521166.579999999608845,10693403.299999998882413
FS( 42 ),3341690.159999999217689,3701036.760000000242144,3474060.979999999981374,10516788.900000000372529
FS( 43 ),3321394.199999999720603,3722352.919999999925494,3480538.000000000000000,10524286.119999999180436
FS( 44 ),3422874.000000000000000,3818275.640000000130385,3586525.599999999627471,10827676.240000000223517
FS( 45 ),3511221.119999999646097,3822272.419999999925494,3595357.899999999906868,10928852.439999999478459
FS( 46 ),3563751.839999999850988,3834262.760000000242144,3610667.220000000204891,11008682.820000000298023
FS( 47 ),3501670.079999999143183,3839591.799999999813735,3565328.079999999608845,10906590.959999999031425
FS( 48 ),3515996.639999999664724,3852914.400000000372529,3577104.479999999981374,10946016.519999999552965
FS( 49 ),3511221.119999999646097,3883556.379999999888241,3594769.079999999608845,10989547.580000000074506
FS( 50 ),3543455.879999999422580,3898211.240000000223517,3603601.380000000353903,11045269.500000000000000
FS( 51 ),3580466.159999999217689,3866237.000000000000000,3591824.979999999981374,11038529.139999998733401
FS( 52 ),3578078.399999999441206,3836927.280000000260770,3592413.799999999813735,11007420.480000000447035
FS( 53 ),3574496.759999999776483,3824936.939999999944121,3591824.979999999981374,10991259.679999999701977
FS( 54 ),3575690.639999999664724,3831598.240000000223517,3590058.520000000018626,10997348.400000000372529
FS( 55 ),3568527.359999999869615,3834262.760000000242144,3578870.939999999944121,10981662.060000000521541
FS( 56 ),3659262.239999999292195,3862240.219999999739230,3624210.079999999608845,11145713.539999999105930
FS( 57 ),3690303.119999999646097,3871566.040000000037253,3623621.259999999776483,11185491.419999999925494
FS( 58 ),3686721.479999999515712,3879559.600000000093132,3618321.880000000353903,11184603.960000000894070
FS( 59 ),3681945.959999999497086,3855578.919999999925494,3600657.279999999795109,11138183.159999998286366
FS( 60 ),3777456.359999999869615,3904872.540000000037253,3635986.479999999981374,11318316.380000000819564
FS( 61 ),3772680.839999999850988,3903540.280000000260770,3633631.200000000186265,11309853.320000000298023
FS( 62 ),3797752.319999999366701,3936846.780000000260770,3654239.899999999906868,11388840.000000000000000
FS( 63 ),3797752.319999999366701,3914198.359999999869615,3626565.360000000335276,11338517.039999999105930
FS( 64 ),3782231.879999999422580,3898211.240000000223517,3638341.759999999776483,11318785.879999998956919
FS( 65 ),3798946.199999999720603,3938179.040000000037253,3682503.259999999776483,11419629.500000000000000
FS( 66 ),3781038.000000000000000,3922191.919999999925494,3661894.560000000055879,11365125.480000000447035
FS( 67 ),3789395.159999999217689,3974150.059999999590218,3724898.299999999813735,11488444.519999999552965
FS( 68 ),3779844.119999999646097,3980811.359999999869615,3751984.020000000018626,11512640.500000000000000
FS( 69 ),3789395.159999999217689,3959495.199999999720603,3759638.680000000167638,11508530.039999999105930
FS( 70 ),3807303.359999999869615,3958162.939999999944121,3790846.139999999664724,11556313.439999999478459
FS( 71 ),3795364.559999999590218,3967488.760000000242144,3800856.079999999608845,11563710.400000000372529
FS( 72 ),3749997.119999999646097,3970153.280000000260770,3809688.380000000353903,11529839.780000001192093
FS( 73 ),3701048.039999999571592,3992801.699999999720603,3829708.260000000242144,11523559.000000000000000
FS( 74 ),3678364.319999999366701,3991469.439999999944121,3845017.579999999608845,11514852.339999999850988
FS( 75 ),3665231.639999999664724,3992801.699999999720603,3838540.560000000055879,11496574.900000000372529
FS( 76 ),3644935.679999999701977,3996798.479999999981374,3902721.939999999944121,11544457.099999999627471
FS( 77 ),3630609.119999999646097,4019446.900000000372529,3834418.820000000298023,11484475.839999999850988
FS( 78 ),3668813.279999999795109,4074069.559999999590218,3886823.800000000279397,11629707.640000000596046
FS( 79 ),3797752.319999999366701,4095385.719999999739230,3905077.219999999739230,11798216.259999997913837
FS( 80 ),3758354.279999999795109,4104711.540000000037253,3906254.860000000335276,11769321.679999999701977
FS( 81 ),3748803.239999999292195,4064743.740000000223517,3898011.380000000353903,11711559.359999999403954
FS( 82 ),3735670.559999999590218,4079398.600000000093132,3917442.439999999944121,11732512.599999999627471
FS( 83 ),3689109.239999999292195,4076734.080000000074506,3866803.919999999925494,11632648.239999998360872
FS( 84 ),3723731.759999999776483,4078066.339999999850988,3899189.020000000018626,11700988.119999999180436
FS( 85 ),3689109.239999999292195,4084727.640000000130385,3915087.159999999683350,11688925.039999999105930
FS( 86 ),3666425.519999999552965,4111372.839999999850988,3942172.880000000353903,11719972.240000000223517
FS( 87 ),3761935.919999999925494,4120698.660000000149012,3994577.860000000335276,11877213.440000001341105
FS( 88 ),3755966.519999999552965,4127359.959999999962747,4002232.520000000018626,11885560.000000000000000
FS( 89 ),3813272.759999999776483,4160666.459999999962747,4085256.139999999664724,12059196.359999999403954
FS( 90 ),3810885.000000000000000,4168660.020000000018626,4121762.979999999981374,12101309.000000000000000
FS( 91 ),3759548.159999999217689,4160666.459999999962747,4140605.219999999739230,12060820.839999999850988
FS( 92 ),3757160.399999999441206,4172656.799999999813735,4158858.639999999664724,12088676.839999999850988
FS( 93 ),3782231.879999999422580,4167327.760000000242144,4188299.639999999664724,12137860.279999999329448
FS( 94 ),3784619.639999999664724,4183314.879999999888241,4229517.039999999105930,12197452.559999998658895
FS( 95 ),3753578.759999999776483,4191308.439999999944121,4180056.159999999683350,12124944.359999999403954
FS( 96 ),3747609.359999999869615,4193972.959999999962747,4150026.340000000316650,12091609.660000000149012
FS( 97 ),3785813.519999999552965,4135353.520000000018626,4059348.060000000055879,11980516.099999999627471
FS( 98 ),3680752.079999999143183,4164663.240000000223517,4063469.800000000279397,11908886.119999999180436
FS( 99 ),3685527.599999999627471,4252592.400000000372529,4140016.399999999906868,12078137.400000000372529
FS( 100 ),3727313.399999999441206,4284566.639999998733401,4153559.260000000242144,12165440.299999998882413
FS( 101 ),3711792.959999999497086,4281902.119999999180436,4132950.560000000055879,12126646.639999998733401
FS( 102 ),3690303.119999999646097,4237937.539999999105930,4061703.340000000316650,11989944.999999998137355
FS( 103 ),3720150.119999999646097,4304550.540000000968575,4114697.139999999664724,12139398.800000000745058
FS( 104 ),3701048.039999999571592,4271244.040000000968575,4076423.840000000316650,12048716.919999999925494
FS( 105 ),3664037.759999999776483,4223282.679999999701977,4089377.880000000353903,11976699.320000000298023
FS( 106 ),3606731.519999999552965,4208627.820000000298023,4095854.899999999906868,11911215.240000000223517
FS( 107 ),3773874.719999999273568,4309879.580000000074506,4200076.039999999105930,12283831.339999997988343
FS( 108 ),3982803.719999999273568,4323202.179999999701977,4208908.339999999850988,12514915.239999998360872
FS( 109 ),3997130.279999999329448,4296556.980000000447035,4191832.560000000055879,12485520.820000000298023
FS( 110 ),3980415.959999999962747,4263250.480000000447035,4198898.400000000372529,12442565.839999999850988
FS( 111 ),4005487.439999999012798,4272576.300000000745058,4207730.699999999254942,12485795.439999999478459
FS( 112 ),4062793.679999999701977,4289895.679999999701977,4230694.679999999701977,12583385.039999999105930
FS( 113 ),4097416.199999999720603,4319205.400000000372529,4239526.980000000447035,12656149.580000000074506
FS( 114 ),4106967.239999999292195,4307215.060000000521541,4250125.740000000223517,12664309.040000000968575
FS( 115 ),4126069.319999999832362,4319205.400000000372529,4260724.500000000000000,12706000.220000000670552
FS( 116 ),4145171.399999999441206,4256589.179999999701977,4250125.740000000223517,12651887.319999998435378
FS( 117 ),4153528.559999999590218,4312544.099999999627471,4230694.679999999701977,12696768.339999999850988
FS( 118 ),4192926.599999999161810,4352511.900000000372529,4252481.019999999552965,12797920.519999999552965
FS( 119 ),4190538.839999999850988,4376492.580000000074506,4249536.919999999925494,12816569.339999999850988
FS( 120 ),4202477.640000000596046,4351179.639999998733401,4252481.019999999552965,12806139.299999998882413
FS( 121 ),4188151.079999999143183,4361837.720000000670552,4281922.019999999552965,12831911.820000000298023
FS( 122 ),4200089.879999998956919,4369831.279999999329448,4286632.580000000074506,12856554.739999998360872
FS( 123 ),4189344.959999999962747,4368499.019999999552965,4310185.380000000819564,12868030.360000001266599
FS( 124 ),4207253.160000000149012,4333860.259999999776483,4298997.800000000745058,12840112.220000000670552
FS( 125 ),4189344.959999999962747,4353844.160000000149012,4323139.419999999925494,12866329.540000000968575
FS( 126 ),4165467.359999999869615,4360505.459999999031425,4320195.320000000298023,12846169.139999998733401
FS( 127 ),4161885.719999999273568,4363169.980000000447035,4319606.500000000000000,12844663.199999999254942
FS( 128 ),4185763.319999999832362,4381821.619999999180436,4305474.820000000298023,12873060.759999999776483
