代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11928143.230000000447035
真實報酬,1928143.230000000447035

夏普值報酬,0.184114323000000
夏普值風險,0.049773568867492
夏普值,3.699038007303655

二次趨勢線,22.442321869246840 x^2 + 12107.337068281171014 x + 10000000.000000000000000
二次加權預期報酬,15802.839402750485533
風險,102083.345102309089270
二次加權趨勢值,0.154803306914685
一次趨勢線,14186.023059069180817 x + 10000000.000000000000000
一次預期報酬,14186.023059069180817
一次風險,109047.435247894929489
一次趨勢值,0.130090387057893
找到最佳解世代,1983
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
CAT[3](1),DD[7](3),JNJ[12](5),MCD[15](4),MRK[17](2),
FS( 22 ),2006699.280000000027940,1988101.850000000093132,2012851.999999999767169,1982312.380000000121072,2200307.540000000037253,10190273.050000000745058
FS( 23 ),2009091.879999999888241,1996755.050000000279397,2005569.199999999720603,1968532.489999999990687,2180409.440000000409782,10160358.060000000521541
FS( 24 ),2019619.319999999832362,1982333.050000000046566,1991431.999999999767169,1962773.730000000214204,2158300.440000000409782,10114458.540000000968575
FS( 25 ),2045698.659999999916181,2016224.750000000232831,2022919.399999999906868,1990950.520000000018626,2183946.879999999888241,10259740.210000000894070
FS( 26 ),2059815.000000000000000,2094824.650000000139698,2022919.399999999906868,1968738.160000000149012,2191463.940000000409782,10337761.150000002235174
FS( 27 ),2067710.579999999841675,2145301.650000000372529,2016493.399999999906868,1962773.730000000214204,2185715.599999999627471,10377994.960000000894070
FS( 28 ),2040434.939999999944121,2107804.450000000186265,1994430.799999999813735,1959277.340000000316650,2164490.959999999962747,10266438.489999998360872
FS( 29 ),2047373.479999999748543,2093021.900000000139698,1952661.799999999813735,1935419.620000000111759,2136633.620000000111759,10165110.419999999925494
FS( 30 ),2058857.959999999962747,2131961.299999999813735,1956731.599999999627471,1942412.400000000139698,2139286.700000000186265,10229249.960000000894070
FS( 31 ),2090679.539999999804422,2135927.350000000558794,1957160.000000000000000,1963185.070000000298023,2126463.480000000447035,10273415.440000001341105
FS( 32 ),2079673.579999999841675,2166934.650000000372529,1941951.799999999813735,1941178.380000000121072,2118062.059999999590218,10247800.469999998807907
FS( 33 ),2109581.080000000074506,2233996.950000000186265,1984363.399999999906868,1973057.230000000214204,2162280.059999999590218,10463278.719999998807907
FS( 34 ),2094507.699999999953434,2254187.750000000000000,1970226.199999999953434,1956809.300000000279397,2157416.080000000074506,10433147.030000001192093
FS( 35 ),2127764.839999999850988,2248058.400000000372529,1972582.399999999906868,1984986.090000000316650,2180851.620000000111759,10514243.350000001490116
FS( 36 ),2152408.620000000111759,2253106.100000000558794,1971297.199999999953434,1980667.020000000018626,2182620.339999999850988,10540099.280000001192093
FS( 37 ),2175138.320000000298023,2280868.450000000186265,1971939.799999999813735,1985603.100000000325963,2184831.240000000223517,10598380.910000000149012
FS( 38 ),2180880.559999999590218,2303222.549999999813735,1982221.399999999906868,1991773.200000000186265,2198538.820000000298023,10656636.530000001192093
FS( 39 ),2174181.280000000260770,2289882.200000000186265,1978151.599999999627471,1993212.890000000130385,2201634.080000000074506,10637062.050000000745058
FS( 40 ),2174181.280000000260770,2289882.200000000186265,1977080.599999999860302,1995269.590000000316650,2208266.780000000260770,10644680.449999999254942
FS( 41 ),2172745.719999999739230,2279786.799999999813735,1961872.399999999906868,1995680.930000000167638,2213130.759999999776483,10623216.609999999403954
FS( 42 ),2150255.280000000260770,2252385.000000000000000,1949877.199999999953434,1982929.390000000130385,2188368.680000000633299,10523815.550000000745058
FS( 43 ),2149058.979999999515712,2242289.599999999627471,1967441.599999999627471,1985603.100000000325963,2198981.000000000000000,10543374.279999999329448
FS( 44 ),2120826.299999999813735,2238323.549999999813735,1977723.199999999720603,1971411.870000000111759,2199423.180000000633299,10507708.099999999627471
FS( 45 ),2127764.839999999850988,2213445.600000000558794,2019706.399999999906868,1982312.380000000121072,2215783.839999999850988,10559013.059999998658895
FS( 46 ),2132789.299999999813735,2215969.450000000186265,2016921.799999999813735,1962362.390000000130385,2201634.080000000074506,10529677.019999999552965
FS( 47 ),2146427.120000000111759,2187486.000000000000000,2029131.199999999953434,1963390.739999999990687,2189695.220000000670552,10516130.280000001192093
FS( 48 ),2165567.919999999925494,2192894.250000000000000,2029345.399999999674037,1970383.520000000018626,2205613.700000000186265,10563804.789999999105930
FS( 49 ),2150733.799999999813735,2151070.450000000186265,2024204.599999999860302,1950433.530000000027940,2348880.019999999552965,10625322.399999998509884
FS( 50 ),2166764.219999999739230,2190009.850000000558794,2028916.999999999767169,1958454.660000000149012,2343573.860000000335276,10687719.589999999850988
FS( 51 ),2211027.320000000298023,2210561.200000000186265,2030630.599999999860302,1963390.739999999990687,2322349.220000000670552,10737959.080000000074506
FS( 52 ),2201456.919999999925494,2212363.950000000186265,2027203.399999999906868,1975730.940000000176951,2321464.860000000335276,10738220.070000000298023
FS( 53 ),2187819.099999999627471,2211642.850000000558794,2036199.799999999813735,1952490.230000000214204,2297144.959999999962747,10685296.940000001341105
FS( 54 ),2167721.259999999776483,2358386.700000000186265,2014137.199999999953434,1955575.280000000027940,2291838.799999999813735,10787659.239999998360872
FS( 55 ),2144752.299999999813735,2345406.900000000372529,2020348.999999999767169,1951461.880000000121072,2270614.160000000149012,10732584.240000000223517
FS( 56 ),2116998.139999999664724,2296372.099999999627471,1986505.399999999674037,1960511.360000000102445,2281668.660000000149012,10642055.660000000149012
FS( 57 ),2061729.079999999841675,2228949.250000000000000,1940880.799999999813735,1942206.730000000214204,2298471.500000000000000,10472237.359999999403954
FS( 58 ),2184230.200000000186265,2213085.049999999813735,1926529.399999999906868,1934802.610000000102445,2322791.400000000372529,10581438.660000000149012
FS( 59 ),2212462.879999999888241,2210921.750000000000000,1929956.599999999627471,1937064.980000000214204,2337825.519999999552965,10628231.730000000447035
FS( 60 ),2168199.780000000260770,2296732.650000000372529,1904252.600000000093132,1915880.970000000204891,2308641.640000000596046,10593707.640000002458692
FS( 61 ),2229928.860000000335276,2326658.299999999813735,1917104.599999999860302,1929249.520000000018626,2366125.040000000037253,10769066.320000000298023
FS( 62 ),2246916.320000000298023,2336753.700000000186265,1895041.999999999767169,1936859.310000000288710,2342247.320000000298023,10757818.650000000372529
FS( 63 ),2211266.580000000074506,2294569.350000000558794,1858842.199999999953434,1913207.260000000009313,2302893.299999999813735,10580778.690000001341105
FS( 64 ),2213180.660000000149012,2308630.799999999813735,1855415.000000000000000,1914646.950000000186265,2366125.040000000037253,10657998.449999999254942
FS( 65 ),2200260.620000000111759,2302862.000000000000000,1869552.199999999953434,1924724.780000000027940,2367009.400000000372529,10664409.000000000000000
FS( 66 ),2245002.240000000223517,2340719.750000000000000,1901039.599999999860302,1952695.900000000139698,2377621.720000000670552,10817079.210000000894070
FS( 67 ),2269885.280000000260770,2341440.849999999627471,1928671.399999999906868,1972851.560000000288710,2421839.720000000670552,10934688.810000000521541
FS( 68 ),2261032.660000000149012,2353699.549999999813735,1950733.999999999767169,1951050.540000000037253,2427145.879999999888241,10943662.629999998956919
FS( 69 ),2272038.620000000111759,2404897.650000000372529,1991431.999999999767169,1960922.700000000186265,2462962.459999999962747,11092253.429999999701977
FS( 70 ),2300989.080000000074506,2381101.350000000558794,1979651.000000000000000,1951667.550000000279397,2432009.860000000335276,11045418.839999999850988
FS( 71 ),2299553.519999999552965,2377495.849999999627471,1982649.799999999813735,1963390.739999999990687,2436431.660000000149012,11059521.569999998435378
FS( 72 ),2310080.959999999962747,2398407.750000000000000,1986933.800000000046566,1969972.180000000167638,2451465.780000000260770,11116860.469999998807907
FS( 73 ),2310320.219999999739230,2402013.250000000000000,1974296.000000000000000,1974908.260000000009313,2462520.280000000260770,11124058.010000001639128
FS( 74 ),2301946.120000000111759,2384346.299999999813735,1962943.399999999906868,1965241.770000000018626,2433778.580000000074506,11048256.169999999925494
FS( 75 ),2318933.580000000074506,2420401.299999999813735,1978794.199999999720603,1969355.170000000158325,2467826.440000000409782,11155310.690000001341105
FS( 76 ),2332810.660000000149012,2411387.549999999813735,1960372.999999999767169,1983752.070000000298023,2477554.400000000372529,11165877.680000001564622
FS( 77 ),2328503.979999999515712,2410666.450000000186265,1951590.799999999813735,1984780.420000000158325,2484187.099999999627471,11159728.750000000000000
FS( 78 ),2306731.320000000298023,2424727.900000000372529,1951590.799999999813735,1987248.460000000195578,2472248.240000000223517,11142546.720000000670552
FS( 79 ),2325632.860000000335276,2455735.200000000186265,1951590.799999999813735,1972234.550000000279397,2488166.720000000670552,11193360.130000000819564
FS( 80 ),2313669.860000000335276,2490708.549999999813735,1956945.799999999813735,1955575.280000000027940,2505411.740000000223517,11222311.230000000447035
FS( 81 ),2320129.879999999888241,2501164.500000000000000,1973225.000000000000000,1957014.970000000204891,2520003.680000000633299,11271538.030000001192093
FS( 82 ),2304338.719999999739230,2487103.050000000745058,1961229.799999999813735,1939944.360000000102445,2494799.419999999925494,11187415.349999999627471
FS( 83 ),2321326.179999999701977,2539743.349999999627471,1999357.399999999906868,1953518.580000000307336,2523098.940000000409782,11337044.449999999254942
FS( 84 ),2305774.280000000260770,2562818.549999999813735,1983292.399999999906868,1954341.260000000009313,2515139.700000000186265,11321366.190000001341105
FS( 85 ),2335203.259999999776483,2555968.100000000558794,1989718.399999999906868,1965858.780000000027940,2531942.540000000037253,11378691.079999998211861
FS( 86 ),2322043.959999999962747,2542267.200000000186265,1998928.999999999767169,1964213.420000000158325,2541228.320000000298023,11368681.900000000372529
FS( 87 ),2314866.160000000149012,2558491.950000000186265,2001713.599999999860302,1958043.320000000298023,2534595.620000000111759,11367710.650000002235174
FS( 88 ),2317019.500000000000000,2529287.400000000372529,2002570.399999999674037,2031673.180000000167638,2506738.280000000260770,11387288.760000001639128
FS( 89 ),2316540.979999999515712,2517389.250000000000000,2004926.599999999627471,2030233.489999999990687,2512044.440000000409782,11381134.759999997913837
FS( 90 ),2287590.519999999552965,2502606.700000000186265,1992074.599999999860302,2002673.710000000195578,2466942.080000000074506,11251887.609999999403954
FS( 91 ),2282326.799999999813735,2497919.549999999813735,1988004.799999999813735,2006992.780000000027940,2462962.459999999962747,11238206.390000000596046
FS( 92 ),2289026.080000000074506,2515947.049999999813735,2011995.199999999953434,2007404.120000000111759,2487724.540000000037253,11312096.989999998360872
FS( 93 ),2306731.320000000298023,2550199.300000000745058,2012209.399999999906868,2001439.690000000176951,2492146.339999999850988,11362726.050000000745058
FS( 94 ),2297878.700000000186265,2547314.900000000372529,2004712.399999999906868,1976553.620000000111759,2475785.680000000633299,11302245.300000000745058
FS( 95 ),2301946.120000000111759,2579764.400000000372529,2016065.000000000000000,1986837.120000000111759,2458098.480000000447035,11342711.120000001043081
FS( 96 ),2330178.799999999813735,2577961.650000000372529,2054835.199999999953434,1963596.410000000149012,2416975.740000000223517,11343547.800000000745058
FS( 97 ),2317258.759999999776483,2575437.800000000745058,2039198.599999999860302,1978198.980000000214204,2378063.900000000372529,11288158.040000000968575
FS( 98 ),2358890.000000000000000,2600315.750000000000000,2085894.199999999720603,1972645.890000000130385,2440411.280000000260770,11458157.120000001043081
FS( 99 ),2339988.459999999962747,2537940.600000000558794,2078825.599999999860302,1971206.200000000186265,2477112.220000000670552,11405073.080000000074506
FS( 100 ),2355540.360000000335276,2464027.850000000558794,2083752.199999999953434,1977787.640000000130385,2464289.000000000000000,11345397.050000000745058
FS( 101 ),2378030.799999999813735,2474844.350000000558794,2087179.399999999906868,2000000.000000000000000,2475343.500000000000000,11415398.050000000745058
FS( 102 ),2377552.280000000260770,2495035.150000000372529,2104101.200000000186265,2016247.930000000167638,2510275.720000000670552,11503212.280000001192093
FS( 103 ),2388079.719999999739230,2552362.600000000558794,2097889.399999999441206,2013574.220000000204891,2492588.519999999552965,11544494.459999999031425
FS( 104 ),2455551.040000000037253,2562097.450000000186265,2104101.200000000186265,2007198.450000000186265,2496568.140000000596046,11625516.280000001192093
FS( 105 ),2453636.959999999962747,2544791.049999999813735,2104743.799999999813735,2008638.140000000130385,2485513.640000000596046,11597323.589999999850988
FS( 106 ),2444545.080000000074506,2500082.850000000558794,2108171.000000000000000,2012957.210000000195578,2481534.019999999552965,11547290.160000000149012
FS( 107 ),2419183.519999999552965,2461143.450000000186265,2096818.399999999906868,1995269.590000000316650,2440411.280000000260770,11412826.239999998360872
FS( 108 ),2449808.799999999813735,2468354.450000000186265,2100459.799999999813735,2017276.280000000027940,2433778.580000000074506,11469677.910000000149012
FS( 109 ),2464164.399999999441206,2514504.849999999627471,2119523.599999999627471,2022829.370000000111759,2524867.660000000149012,11645889.879999998956919
FS( 110 ),2446698.419999999925494,2449245.300000000745058,2067901.399999999906868,2045041.730000000214204,2469595.160000000149012,11478482.010000001639128
FS( 111 ),2427318.360000000335276,2410666.450000000186265,2074970.000000000000000,2042162.350000000325963,2472690.419999999925494,11427807.580000000074506
FS( 112 ),2459139.939999999478459,2438789.350000000558794,2080753.399999999906868,2059027.290000000037253,2457214.120000000111759,11494924.100000001490116
FS( 113 ),2452440.660000000149012,2442394.849999999627471,2124878.599999999627471,2073835.530000000027940,2478438.759999999776483,11571988.399999998509884
FS( 114 ),2462728.839999999850988,2490348.000000000000000,2115239.599999999627471,2073835.530000000027940,2487724.540000000037253,11629876.509999997913837
FS( 115 ),2460336.240000000223517,2501525.049999999813735,2119737.799999999813735,2061906.670000000158325,2497010.320000000298023,11640516.080000000074506
FS( 116 ),2455790.299999999813735,2502967.250000000000000,2142014.599999999627471,2049977.810000000288710,2531500.360000000335276,11682250.320000000298023
FS( 117 ),2480912.599999999627471,2513062.650000000372529,2145870.200000000186265,2042779.360000000102445,2554493.720000000670552,11737118.530000001192093
FS( 118 ),2473495.540000000037253,2535056.200000000186265,2146727.000000000000000,2038871.630000000121072,2542554.860000000335276,11736705.230000000447035
FS( 119 ),2518954.939999999478459,2528205.750000000000000,2141157.799999999813735,2053474.200000000186265,2543881.400000000372529,11785674.089999999850988
FS( 120 ),2504838.599999999627471,2490348.000000000000000,2137516.400000000372529,2071778.830000000307336,2531058.180000000633299,11735540.010000001639128
FS( 121 ),2494550.419999999925494,2428333.400000000372529,2170717.400000000372529,2063140.690000000176951,2506296.099999999627471,11663038.009999999776483
FS( 122 ),2519433.459999999962747,2500443.400000000372529,2164077.200000000186265,2087615.420000000158325,2596500.820000000298023,11868070.300000000745058
FS( 123 ),2521826.059999999590218,2562097.450000000186265,2169646.400000000372529,2085147.380000000121072,2589425.940000000409782,11928143.230000000447035
