代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12217554.759999999776483
真實報酬,2217554.759999999776483

夏普值報酬,0.213055476000000
夏普值風險,0.069265991805154
夏普值,3.075903057871867

二次趨勢線,110.072959311415346 x^2 + 6468.632714130877503 x + 10000000.000000000000000
二次加權預期報酬,24887.507905574373581
風險,120305.657351717847632
二次加權趨勢值,0.206868974023515
一次趨勢線,16829.085557685455569 x + 10000000.000000000000000
一次預期報酬,16829.085557685455569
一次風險,228449.505409230798250
一次趨勢值,0.073666544068628
找到最佳解世代,2743
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](1),BA[2](2),DIS[6](8),JNJ[12](9),
FS( 43 ),2432679.459999999962747,2877888.850000000093132,2674337.049999999813735,2343665.370000000111759,10328570.730000000447035
FS( 44 ),2441788.840000000316650,2875244.950000000186265,2662444.290000000037253,2355869.149999999906868,10335347.230000000447035
FS( 45 ),2424236.620000000111759,2873545.300000000279397,2701906.629999999888241,2355448.330000000074506,10355136.879999998956919
FS( 46 ),2442899.740000000223517,2875056.100000000558794,2720826.930000000167638,2357973.250000000000000,10396756.020000001415610
FS( 47 ),2466895.180000000167638,2910937.600000000093132,2756775.500000000000000,2337773.890000000130385,10472382.169999999925494
FS( 48 ),2491112.800000000279397,2934543.850000000093132,2794345.810000000055879,2335459.379999999888241,10555461.839999999850988
FS( 49 ),2531771.740000000223517,2955317.350000000558794,2834348.729999999981374,2362181.450000000186265,10683619.269999999552965
FS( 50 ),2517330.040000000037253,2967970.300000000279397,2812725.530000000260770,2427408.549999999813735,10725434.419999999925494
FS( 51 ),2559322.060000000055879,2958527.800000000279397,2807049.439999999944121,2438560.280000000260770,10763459.580000001937151
FS( 52 ),2559322.060000000055879,2917169.650000000372529,2812455.239999999757856,2419623.379999999888241,10708570.330000001937151
FS( 53 ),2573319.399999999906868,2903950.150000000372529,2821645.100000000093132,2438560.280000000260770,10737474.929999999701977
FS( 54 ),2576652.100000000093132,2917736.200000000186265,2808671.180000000167638,2438349.870000000111759,10741409.350000001490116
FS( 55 ),2591538.160000000149012,2949463.000000000465661,2846241.489999999757856,2441295.609999999869615,10828538.259999999776483
FS( 56 ),2598425.740000000223517,2953428.850000000093132,2850566.129999999888241,2433720.850000000093132,10836141.569999998435378
FS( 57 ),2600869.720000000204891,2974013.500000000000000,2853269.030000000260770,2426356.500000000000000,10854508.750000000000000
FS( 58 ),2583761.860000000335276,2973635.800000000279397,2849484.970000000204891,2429091.830000000074506,10835974.460000000894070
FS( 59 ),2588872.000000000000000,2980245.550000000279397,2842187.140000000130385,2440033.149999999906868,10851337.840000001713634
FS( 60 ),2605313.320000000298023,2974013.500000000000000,2842727.720000000204891,2438981.100000000093132,10861035.640000000596046
FS( 61 ),2594204.320000000298023,2947952.200000000186265,2819212.489999999757856,2421937.890000000130385,10783306.900000000372529
FS( 62 ),2593537.780000000260770,2940209.350000000093132,2826240.030000000260770,2430143.879999999888241,10790131.040000000968575
FS( 63 ),2573319.399999999906868,2940020.500000000465661,2817050.169999999925494,2424252.399999999906868,10754642.470000000670552
FS( 64 ),2580651.340000000316650,2964382.150000000372529,2867324.109999999869615,2437508.229999999981374,10849865.830000000074506
FS( 65 ),2577763.000000000000000,2995542.400000000372529,2904083.549999999813735,2433510.439999999944121,10910899.389999998733401
FS( 66 ),2590871.620000000111759,2997242.050000000279397,2902461.810000000055879,2458970.049999999813735,10949545.530000001192093
FS( 67 ),2619755.020000000018626,3004607.200000000186265,2945708.209999999962747,2447187.089999999850988,11017257.519999999552965
FS( 68 ),2643750.459999999962747,2989876.899999999906868,2928950.229999999981374,2446766.270000000018626,11009343.859999999403954
FS( 69 ),2646416.620000000111759,3004040.649999999906868,2929490.810000000055879,2444241.350000000093132,11024189.429999999701977
FS( 70 ),2660636.140000000130385,3010272.700000000186265,2958141.549999999813735,2414152.720000000204891,11043203.110000001266599
FS( 71 ),2649527.140000000130385,2989310.350000000093132,2906516.160000000149012,2411838.209999999962747,10957191.859999999403954
FS( 72 ),2644861.360000000335276,2999508.250000000465661,2920841.530000000260770,2411417.390000000130385,10976628.530000001192093
FS( 73 ),2666190.640000000130385,2977601.649999999906868,2918408.919999999925494,2417098.459999999962747,10979299.670000001788139
FS( 74 ),2665968.459999999962747,2989876.899999999906868,2923544.430000000167638,2413521.490000000223517,10992911.279999999329448
FS( 75 ),2661302.680000000167638,3002718.700000000186265,2899758.910000000149012,2403000.990000000223517,10966781.280000001192093
FS( 76 ),2666190.640000000130385,3012727.750000000000000,2910029.930000000167638,2401948.939999999944121,10990897.259999999776483
FS( 77 ),2667968.080000000074506,2980812.100000000093132,2895434.270000000018626,2396899.100000000093132,10941113.549999998882413
FS( 78 ),2665524.100000000093132,3031990.450000000186265,2916516.890000000130385,2351660.950000000186265,10965692.390000000596046
FS( 79 ),2707960.479999999981374,3160597.300000000279397,2920300.950000000186265,2373543.589999999850988,11162402.320000000298023
FS( 80 ),2709293.560000000055879,3193834.900000000372529,2920841.530000000260770,2353344.229999999981374,11177314.220000002533197
FS( 81 ),2709515.740000000223517,3167018.200000000186265,2954357.489999999757856,2385747.370000000111759,11216638.800000000745058
FS( 82 ),2702405.979999999981374,3126793.149999999906868,2998685.049999999813735,2380487.120000000111759,11208371.300000000745058
FS( 83 ),2696184.939999999944121,3086190.399999999906868,2990846.640000000130385,2383012.040000000037253,11156234.019999999552965
FS( 84 ),2860598.140000000130385,3096577.150000000372529,3008415.489999999757856,2382591.220000000204891,11348182.000000001862645
FS( 85 ),2855710.180000000167638,3064283.799999999813735,2989765.479999999981374,2389745.159999999683350,11299504.620000001043081
FS( 86 ),2867930.080000000540167,3066927.700000000186265,2981386.489999999757856,2391218.030000000260770,11307462.300000000745058
FS( 87 ),2894813.859999999869615,3096766.000000000000000,2961655.319999999832362,2386168.189999999944121,11339403.369999999180436
FS( 88 ),2922364.180000000167638,3144356.200000000186265,2946248.790000000037253,2387851.470000000204891,11400820.640000002458692
FS( 89 ),2933695.359999999869615,3093555.550000000279397,2946248.790000000037253,2386168.189999999944121,11359667.889999998733401
FS( 90 ),2942138.199999999720603,3102431.500000000000000,2959493.000000000000000,2400476.069999999832362,11404538.769999999552965
FS( 91 ),2935472.800000000279397,3139257.250000000000000,2953276.330000000074506,2424883.629999999888241,11452890.010000001639128
FS( 92 ),2961467.859999999869615,3173250.250000000000000,2963817.640000000130385,2438349.870000000111759,11536885.620000001043081
FS( 93 ),2999905.000000000465661,3182126.200000000186265,2982197.359999999869615,2448449.549999999813735,11612678.109999999403954
FS( 94 ),3010791.819999999832362,3197234.200000000186265,2978143.010000000242144,2466123.990000000223517,11652293.019999999552965
FS( 95 ),3007236.939999999944121,3225750.550000000279397,2992468.379999999888241,2484640.069999999832362,11710095.940000001341105
FS( 96 ),3015457.600000000093132,3261632.050000000279397,2974899.530000000260770,2501052.049999999813735,11753041.230000000447035
FS( 97 ),3037231.239999999757856,3315454.300000000279397,2973548.080000000074506,2517884.850000000093132,11844118.470000000670552
FS( 98 ),3046340.620000000577420,3311677.300000000279397,2976521.270000000018626,2514939.109999999869615,11849478.300000000745058
FS( 99 ),3033454.180000000167638,3340004.800000000279397,2965979.959999999962747,2560808.490000000223517,11900247.430000001564622
FS( 100 ),3036342.520000000018626,3350958.100000000093132,2981927.069999999832362,2582480.720000000204891,11951708.410000000149012
FS( 101 ),3042341.380000000353903,3388539.250000000465661,2979494.459999999962747,2575537.189999999944121,11985912.279999999329448
FS( 102 ),3043674.460000000428408,3403647.250000000000000,2975710.399999999906868,2571539.399999999906868,11994571.510000001639128
FS( 103 ),3105884.859999999869615,3473144.050000000279397,3001387.950000000186265,2606257.049999999813735,12186673.910000000149012
FS( 104 ),3087443.920000000391155,3455769.850000000558794,2989224.899999999906868,2601417.620000000111759,12133856.290000002831221
FS( 105 ),3105662.680000000167638,3440473.000000000465661,3006793.750000000000000,2604784.180000000167638,12157713.609999999403954
FS( 106 ),3095886.760000000242144,3416866.750000000465661,2991387.220000000204891,2603100.899999999906868,12107241.630000000819564
FS( 107 ),3099886.000000000465661,3437451.400000000372529,2996522.729999999981374,2605625.819999999832362,12139485.950000001117587
FS( 108 ),3088332.640000000130385,3432163.600000000558794,2995982.149999999906868,2611306.890000000130385,12127785.280000001192093
FS( 109 ),3081222.880000000353903,3410068.149999999906868,3001117.660000000149012,2650232.740000000223517,12142641.430000001564622
FS( 110 ),3091443.159999999683350,3374753.200000000186265,2998144.470000000204891,2655703.399999999906868,12120044.230000000447035
FS( 111 ),3092776.239999999757856,3381362.950000000186265,3014361.870000000111759,2665592.670000000391155,12154093.729999998584390
FS( 112 ),3088110.460000000428408,3375319.750000000000000,3035714.780000000260770,2673377.839999999850988,12172522.830000001937151
FS( 113 ),3120770.920000000391155,3374942.050000000279397,3023822.020000000018626,2713566.150000000372529,12233101.140000000596046
FS( 114 ),3125881.060000000055879,3365121.850000000093132,3019497.379999999888241,2703045.650000000372529,12213545.939999999478459
FS( 115 ),3110328.460000000428408,3401192.200000000186265,3020848.830000000074506,2694629.250000000000000,12226998.740000000223517
FS( 116 ),3142988.920000000391155,3387783.850000000093132,3046526.379999999888241,2694839.659999999683350,12272138.810000000521541
FS( 117 ),3106995.760000000242144,3323008.300000000279397,3020578.540000000037253,2677586.040000000037253,12128168.640000000596046
FS( 118 ),3142100.199999999720603,3342271.000000000000000,3029498.109999999869615,2656755.450000000186265,12170624.759999997913837
FS( 119 ),3130991.199999999720603,3347558.799999999813735,3033822.750000000000000,2649180.689999999944121,12161553.439999999478459
FS( 120 ),3124770.159999999683350,3320364.399999999906868,3031119.850000000093132,2640343.470000000204891,12116597.880000000819564
FS( 121 ),3130102.479999999981374,3325652.200000000186265,3037606.810000000055879,2647076.589999999850988,12140438.080000000074506
FS( 122 ),3194979.040000000502914,3349447.300000000279397,3055716.239999999757856,2644130.850000000093132,12244273.429999999701977
FS( 123 ),3202088.800000000279397,3354546.250000000000000,3041661.160000000149012,2628560.510000000242144,12226856.720000000670552
FS( 124 ),3197867.380000000353903,3361156.000000000000000,3059230.010000000242144,2623089.850000000093132,12241343.240000000223517
FS( 125 ),3191868.520000000018626,3340004.800000000279397,3064906.100000000093132,2620775.339999999850988,12217554.759999999776483
