代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11726937.699999999254942
真實報酬,1726937.699999999254942

夏普值報酬,0.163993770000000
夏普值風險,0.055141396101280
夏普值,2.974059084372588

二次趨勢線,135.647892479112045 x^2 + -3637.230403405434117 x + 10000000.000000000000000
二次加權預期報酬,19784.639031321235962
風險,145505.425412861630321
二次加權趨勢值,0.135971830433014
一次趨勢線,9537.374752239586087 x + 10000000.000000000000000
一次預期報酬,9537.374752239586087
一次風險,293430.083663429773878
一次趨勢值,0.032503057059341
找到最佳解世代,2363
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](8),PFE[20](3),WBA[27](1),
FS( 37 ),3273986.459999999962747,3418077.899999999906868,3454089.240000000223517,10146154.599999999627471
FS( 38 ),3355970.340000000316650,3437851.709999999962747,3444917.879999999422580,10238740.929999999701977
FS( 39 ),3259302.780000000260770,3425610.780000000260770,3426065.639999999199063,10110980.199999999254942
FS( 40 ),3281736.180000000167638,3425610.780000000260770,3391927.799999999348074,10099275.759999999776483
FS( 41 ),3210561.119999999646097,3409603.410000000149012,3376132.680000000167638,9996298.209999999031425
FS( 42 ),3188127.720000000204891,3423727.560000000055879,3041887.560000000055879,9653743.839999999850988
FS( 43 ),3195673.500000000000000,3416194.680000000167638,3058192.199999999720603,9670061.379999998956919
FS( 44 ),3199344.420000000391155,3420902.729999999981374,3114748.919999999925494,9734997.070000000298023
FS( 45 ),3191390.759999999776483,3422785.950000000186265,3095896.679999999701977,9710074.390000000596046
FS( 46 ),3208521.720000000204891,3471749.669999999925494,3178438.919999999925494,9858711.310000000521541
FS( 47 ),3251349.119999999646097,3494348.310000000055879,3225314.759999999310821,9971013.189999999478459
FS( 48 ),3261954.000000000000000,3499056.359999999869615,3247224.119999999646097,10008235.479999998584390
FS( 49 ),3275821.920000000391155,3524479.830000000074506,3220219.560000000055879,10020522.310000000521541
FS( 50 ),3235033.920000000391155,3503764.410000000149012,3243657.479999999515712,9982456.809999998658895
FS( 51 ),3245230.920000000391155,3532954.320000000298023,3254866.919999999925494,10033053.160000000149012
FS( 52 ),3232790.580000000074506,3533895.930000000167638,3320595.000000000000000,10087282.509999999776483
FS( 53 ),3238296.959999999962747,3519771.780000000260770,3320085.479999999515712,10078155.219999998807907
FS( 54 ),3258079.140000000130385,3545195.250000000000000,3344032.919999999459833,10147308.310000000521541
FS( 55 ),3220962.060000000055879,3546136.859999999869615,3371037.479999999515712,10138137.399999998509884
FS( 56 ),3210357.180000000167638,3517888.560000000055879,3308366.520000000018626,10036613.259999999776483
FS( 57 ),3221777.820000000298023,3515063.729999999981374,3310914.120000000111759,10047756.670000001788139
FS( 58 ),3237685.140000000130385,3503764.410000000149012,3329256.839999999850988,10070707.390000000596046
FS( 59 ),3221166.000000000000000,3549903.300000000279397,3337918.680000000167638,10108988.980000000447035
FS( 60 ),3240540.299999999813735,3577209.990000000223517,3398551.560000000055879,10216302.849999999627471
FS( 61 ),3184456.799999999813735,3593217.359999999869615,3441351.240000000223517,10219026.400000000372529
FS( 62 ),3211784.759999999776483,3616757.609999999869615,3497398.439999999944121,10325941.809999998658895
FS( 63 ),3235441.799999999813735,3633706.590000000316650,3523893.479999999515712,10393042.870000001043081
FS( 64 ),3213008.399999999906868,3759882.330000000074506,3445427.399999999906868,10418319.130000000819564
FS( 65 ),3200364.119999999646097,3791897.070000000298023,3385304.039999999571592,10377566.229999998584390
FS( 66 ),3169569.180000000167638,3733517.250000000000000,3412818.120000000111759,10315905.550000000745058
FS( 67 ),3185884.380000000353903,3817320.540000000037253,3425046.599999999627471,10428252.519999999552965
FS( 68 ),3196285.320000000298023,3864401.040000000037253,3435237.000000000000000,10495924.359999999403954
FS( 69 ),3182417.399999999906868,3845568.840000000316650,3416384.759999999310821,10444372.000000000000000
FS( 70 ),3241152.119999999646097,3899240.609999999869615,3387851.639999999199063,10528245.369999999180436
FS( 71 ),3248901.840000000316650,3860634.600000000093132,3371547.000000000000000,10481084.440000001341105
FS( 72 ),3236257.560000000055879,3854043.330000000074506,3387851.639999999199063,10478153.529999999329448
FS( 73 ),3225244.799999999813735,3842744.010000000242144,3387342.120000000111759,10455331.929999999701977
FS( 74 ),3275414.040000000037253,3833327.910000000149012,3498417.479999999515712,10607160.429999999701977
FS( 75 ),3260730.359999999869615,3875700.359999999869615,3501984.120000000111759,10638415.839999999850988
FS( 76 ),3298459.259999999776483,3900182.220000000204891,3547331.399999999906868,10745973.880000000819564
FS( 77 ),3286630.740000000223517,3963270.090000000316650,3566183.639999999199063,10816085.469999998807907
FS( 78 ),3297439.560000000055879,3985868.729999999981374,3566183.639999999199063,10849492.929999999701977
FS( 79 ),3284387.399999999906868,3969861.359999999869615,3579431.159999999683350,10833680.919999999925494
FS( 80 ),3274394.340000000316650,3961386.870000000111759,3548350.439999999944121,10784132.650000000372529
FS( 81 ),3243803.340000000316650,3973627.800000000279397,3530007.719999999739230,10747439.859999999403954
FS( 82 ),3250533.359999999869615,3992460.000000000000000,3526441.079999999143183,10769435.439999997615814
FS( 83 ),3272966.759999999776483,3915247.979999999981374,3538160.039999999571592,10726375.779999999329448
FS( 84 ),3296623.799999999813735,3907715.100000000093132,3530007.719999999739230,10734347.620000001043081
FS( 85 ),3326602.980000000447035,3907715.100000000093132,3498417.479999999515712,10732736.559999998658895
FS( 86 ),3320280.840000000316650,3907715.100000000093132,3454598.759999999310821,10682595.699999999254942
FS( 87 ),3308656.259999999776483,3909598.320000000298023,3493322.279999999795109,10711577.859999999403954
FS( 88 ),3298255.320000000298023,3895474.169999999925494,3445427.399999999906868,10639157.890000000596046
FS( 89 ),3329254.200000000186265,3940671.450000000186265,3477017.639999999199063,10746944.289999999105930
FS( 90 ),3339451.200000000186265,3934080.180000000167638,3466317.719999999739230,10739850.100000001490116
FS( 91 ),3342714.240000000223517,3973627.800000000279397,3474470.039999999571592,10790813.080000000074506
FS( 92 ),3366575.220000000204891,3960445.260000000242144,3505550.759999999310821,10832572.240000000223517
FS( 93 ),3357397.920000000391155,3983985.510000000242144,3502493.639999999199063,10843878.070000000298023
FS( 94 ),3359845.200000000186265,3993401.609999999869615,3586054.919999999459833,10939302.730000000447035
FS( 95 ),3312123.240000000223517,4034832.450000000186265,3591150.120000000111759,10938106.810000000521541
FS( 96 ),3280308.600000000093132,4045190.160000000149012,3580959.719999999739230,10906459.480000000447035
FS( 97 ),3225244.799999999813735,4049898.209999999962747,3589621.560000000055879,10864765.570000000298023
FS( 98 ),3217699.020000000484288,4096978.709999999962747,3611530.919999999459833,10926209.650000000372529
FS( 99 ),3246454.560000000055879,4073438.459999999962747,3631911.719999999739230,10951805.739999998360872
FS( 100 ),3279288.899999999906868,4119577.350000000093132,3713944.439999999944121,11112811.689999999478459
FS( 101 ),3371265.840000000316650,4148767.260000000242144,3719549.159999999683350,11239583.259999999776483
FS( 102 ),3330681.780000000260770,4136526.330000000074506,3678787.560000000055879,11145996.669999999925494
FS( 103 ),3393903.180000000167638,4123343.790000000037253,3679297.079999999143183,11196545.050000000745058
FS( 104 ),3380647.080000000074506,4112986.080000000074506,3717511.079999999143183,11211145.239999998360872
FS( 105 ),3396350.459999999962747,4133701.500000000000000,3760820.279999999795109,11290873.240000000223517
FS( 106 ),3411849.899999999906868,4149708.870000000111759,3714453.959999999962747,11276013.730000000447035
FS( 107 ),3399205.619999999646097,4168541.070000000298023,3692035.079999999143183,11259782.769999999552965
FS( 108 ),3368818.560000000055879,4163833.020000000018626,3744515.639999999199063,11277168.219999998807907
FS( 109 ),3358213.680000000167638,4219388.009999999776483,3760310.759999999310821,11337913.449999999254942
FS( 110 ),3381462.840000000316650,4209030.300000000745058,3736872.839999999850988,11327366.980000000447035
FS( 111 ),3397166.220000000204891,4228804.109999999403954,3694582.680000000167638,11320554.009999999776483
FS( 112 ),3421639.020000000484288,4263643.679999999701977,3778143.959999999962747,11463427.660000000149012
FS( 113 ),3463650.660000000614673,4281534.269999999552965,3748082.279999999795109,11493268.209999999031425
FS( 114 ),3433875.420000000391155,4191139.709999999962747,3684392.279999999795109,11309408.410000000149012
FS( 115 ),3323747.820000000298023,4031066.010000000242144,3612549.959999999962747,10967364.789999999105930
FS( 116 ),3341082.720000000204891,4122402.180000000167638,3745025.159999999683350,11208511.060000000521541
FS( 117 ),3338023.619999999646097,4060255.919999999925494,3807186.599999999627471,11205467.139999998733401
FS( 118 ),3346181.220000000204891,4136526.330000000074506,3886671.719999999739230,11369380.269999999552965
FS( 119 ),3401245.020000000484288,4196789.370000001043081,3922338.120000000111759,11520373.510000001639128
FS( 120 ),3402060.780000000260770,4143117.600000000093132,3901957.319999999366701,11447136.699999999254942
FS( 121 ),3415928.700000000186265,4190198.100000000093132,3941190.359999999403954,11547318.160000000149012
FS( 122 ),3398389.859999999869615,4177957.169999999925494,3956475.959999999962747,11532823.989999998360872
FS( 123 ),3612934.740000000223517,4152533.700000000186265,3936604.680000000167638,11702074.120000001043081
FS( 124 ),3617013.540000000037253,3999992.879999999888241,3780691.560000000055879,11397698.980000000447035
FS( 125 ),3575409.780000000260770,4087562.609999999869615,3859157.639999999199063,11522131.029999999329448
FS( 126 ),3535233.600000000093132,4011292.200000000186265,3884124.120000000111759,11430650.920000001788139
FS( 127 ),3532990.259999999776483,4070613.629999999888241,3914185.799999999348074,11517790.689999999478459
FS( 128 ),3640262.700000000186265,4038598.890000000130385,4015070.759999999310821,11693933.349999999627471
FS( 129 ),3607836.240000000223517,4054606.260000000242144,4064494.199999999254942,11726937.699999999254942
