代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11865705.199999999254942
真實報酬,1865705.199999999254942

夏普值報酬,0.177870520000000
夏普值風險,0.052421906137327
夏普值,3.393057084457042

二次趨勢線,123.323845252542355 x^2 + -1750.870435749012131 x + 10000000.000000000000000
二次加權預期報酬,19378.615050853244611
風險,66399.949395523668500
二次加權趨勢值,0.291846834632673
一次趨勢線,10134.285203219729738 x + 10000000.000000000000000
一次預期報酬,10134.285203219729738
一次風險,237569.134633269626647
一次趨勢值,0.042658257011643
找到最佳解世代,2776
找到最佳解實驗#,1
找到最佳解次數,48

stock[index](rank)
投資組合檔數,8
AAPL[0](14),AXP[1](11),CAT[3](1),CSCO[4](3),HD[9](8),MCD[15](7),PFE[20](16),WMT[28](4),
FS( 7 ),1215727.999999999767169,1282415.040000000037253,1253194.369999999878928,1232322.649999999906868,1232357.359999999869615,1242536.180000000167638,1252292.840000000083819,1243891.820000000065193,9954738.259999999776483
FS( 8 ),1186678.399999999906868,1280179.520000000018626,1254969.019999999785796,1227608.689999999944121,1226073.679999999934807,1217848.160000000149012,1249617.860000000102445,1241072.659999999916181,9884047.989999998360872
FS( 9 ),1196225.600000000093132,1286886.080000000074506,1251183.099999999860302,1245286.039999999804422,1240655.040000000037253,1228920.860000000102445,1245032.179999999934807,1245458.020000000018626,9939646.919999999925494
FS( 10 ),1184556.799999999813735,1290878.080000000074506,1238878.859999999869615,1241357.739999999990687,1262970.159999999683350,1235974.580000000307336,1249235.719999999972060,1251409.580000000074506,9955261.519999999552965
FS( 11 ),1177457.599999999860302,1288642.560000000055879,1258873.250000000000000,1240572.079999999841675,1263050.719999999972060,1239993.560000000055879,1253821.400000000139698,1235904.199999999953434,9958315.369999999180436
FS( 12 ),1160974.400000000139698,1300618.560000000055879,1273070.449999999720603,1242536.229999999981374,1262003.439999999711290,1246719.200000000186265,1259935.639999999897555,1178424.659999999916181,9924282.580000000074506
FS( 13 ),1194185.600000000093132,1307484.799999999813735,1271769.039999999804422,1256678.109999999869615,1279484.959999999962747,1256151.500000000000000,1269489.139999999897555,1182496.780000000027940,10017739.929999997839332
FS( 14 ),1183332.799999999813735,1317544.640000000130385,1266445.089999999850988,1251178.489999999990687,1270301.119999999646097,1263779.360000000102445,1282481.900000000139698,1183123.260000000242144,10018186.659999998286366
FS( 15 ),1190350.399999999906868,1312754.239999999757856,1224208.419999999925494,1250785.659999999916181,1261600.639999999897555,1260990.680000000167638,1294710.380000000121072,1194086.659999999916181,9989487.080000000074506
FS( 16 ),1188392.000000000000000,1313392.959999999962747,1228585.889999999897555,1251178.489999999990687,1252658.479999999748543,1269766.820000000298023,1301588.900000000139698,1182810.020000000018626,9988373.559999998658895
FS( 17 ),1193696.000000000000000,1312913.919999999925494,1231780.259999999776483,1260606.410000000149012,1219064.959999999962747,1268454.500000000000000,1305792.440000000176951,1172159.860000000102445,9964468.349999999627471
FS( 18 ),1189942.399999999906868,1324730.239999999757856,1233436.599999999860302,1266498.860000000102445,1219951.119999999646097,1262877.140000000363216,1300824.620000000111759,1182496.780000000027940,9980757.759999999776483
FS( 19 ),1172887.999999999767169,1326646.399999999906868,1229650.679999999934807,1247643.020000000018626,1226557.040000000037253,1260908.660000000149012,1290506.840000000083819,1190484.400000000139698,9945285.040000000968575
FS( 20 ),1190024.000000000000000,1340857.919999999925494,1259464.799999999813735,1260213.579999999841675,1234532.479999999748543,1265665.820000000298023,1289742.560000000055879,1198315.400000000139698,10038816.560000000521541
FS( 21 ),1172480.000000000000000,1335428.799999999813735,1249881.689999999944121,1233893.969999999972060,1225912.559999999823049,1256069.480000000214204,1285156.880000000121072,1189231.440000000176951,9948054.820000000298023
FS( 22 ),1175254.400000000139698,1345169.279999999795109,1271414.109999999869615,1229572.840000000083819,1235902.000000000000000,1256315.540000000270084,1283628.320000000298023,1185315.940000000176951,9982572.429999999701977
FS( 23 ),1171011.199999999953434,1358901.759999999776483,1265616.919999999925494,1230751.329999999841675,1240816.159999999683350,1250902.220000000204891,1292417.540000000037253,1180304.100000000093132,9990721.229999998584390
FS( 24 ),1175825.600000000093132,1355548.479999999981374,1271769.039999999804422,1222109.069999999832362,1230182.239999999757856,1255577.360000000102445,1285539.020000000018626,1179677.619999999878928,9976228.429999999701977
FS( 25 ),1164727.999999999767169,1337185.279999999795109,1260174.659999999916181,1206788.699999999953434,1225026.399999999906868,1255741.400000000139698,1269489.139999999897555,1182026.919999999925494,9901160.500000000000000
FS( 26 ),1176560.000000000000000,1346606.399999999906868,1265025.369999999878928,1213859.639999999897555,1226476.479999999748543,1281823.760000000242144,1274456.960000000195578,1179834.239999999990687,9964642.849999999627471
FS( 27 ),1183740.800000000046566,1346127.359999999869615,1275909.889999999897555,1217002.280000000027940,1218017.679999999934807,1275672.260000000242144,1276749.799999999813735,1146944.040000000037253,9940164.109999999403954
FS( 28 ),1187576.000000000000000,1343891.839999999850988,1280642.289999999804422,1221323.409999999916181,1213345.199999999720603,1270669.040000000270084,1267578.440000000176951,1150702.919999999925494,9935729.140000000596046
FS( 29 ),1189289.600000000093132,1354430.719999999739230,1289160.609999999869615,1224073.219999999972060,1229376.639999999897555,1284366.380000000353903,1269489.139999999897555,1158064.060000000055879,9998250.370000001043081
FS( 30 ),1205854.400000000139698,1363213.120000000111759,1283363.419999999925494,1228394.349999999860302,1235015.839999999850988,1271735.300000000046566,1271781.980000000214204,1175448.879999999888241,10034807.289999999105930
FS( 31 ),1216217.599999999860302,1361776.000000000000000,1286912.719999999739230,1234286.800000000046566,1231712.879999999888241,1273703.780000000260770,1277514.080000000074506,1195652.860000000102445,10077776.719999998807907
FS( 32 ),1220460.800000000046566,1360817.919999999925494,1287740.889999999897555,1237429.439999999944121,1239849.439999999711290,1273539.740000000223517,1270635.560000000055879,1196122.720000000204891,10086596.509999999776483
FS( 33 ),1224704.000000000000000,1365608.319999999832362,1266800.019999999785796,1237822.270000000018626,1225993.119999999646097,1262877.140000000363216,1274839.100000000093132,1193460.180000000167638,10052104.149999998509884
FS( 34 ),1232374.400000000139698,1372155.200000000186265,1276028.199999999720603,1253142.639999999897555,1235096.399999999906868,1262303.000000000000000,1284774.739999999990687,1188291.720000000204891,10104166.300000000745058
FS( 35 ),1226825.600000000093132,1362893.759999999776483,1269757.769999999785796,1251571.319999999832362,1184585.279999999795109,1264927.640000000363216,1281717.620000000111759,1190641.020000000018626,10032920.009999997913837
FS( 36 ),1226254.400000000139698,1366726.080000000074506,1261121.139999999897555,1250785.659999999916181,1181524.000000000000000,1262549.060000000055879,1279424.780000000027940,1192677.080000000074506,10021062.199999999254942
FS( 37 ),1241105.600000000093132,1357304.959999999962747,1279932.429999999934807,1251571.319999999832362,1164848.080000000074506,1245570.920000000158325,1273310.540000000037253,1204266.959999999962747,10017910.810000002384186
FS( 38 ),1246409.600000000093132,1363851.839999999850988,1355177.589999999850988,1261784.899999999906868,1184101.919999999925494,1304789.360000000102445,1264903.460000000195578,1229796.020000000018626,10210814.689999999478459
FS( 39 ),1252284.800000000046566,1362095.359999999869615,1343109.969999999739230,1243714.719999999972060,1181846.239999999757856,1283792.240000000223517,1256878.520000000018626,1235747.580000000074506,10159469.429999999701977
FS( 40 ),1228620.800000000046566,1338941.759999999776483,1353166.319999999832362,1240179.250000000000000,1190224.479999999748543,1287401.120000000111759,1261082.060000000055879,1249530.140000000130385,10149145.929999999701977
FS( 41 ),1219971.199999999953434,1354111.359999999869615,1349971.949999999720603,1238215.099999999860302,1193044.080000000074506,1278378.920000000158325,1266814.159999999916181,1250000.000000000000000,10150506.769999999552965
FS( 42 ),1213687.999999999767169,1360977.600000000093132,1348197.299999999813735,1235465.289999999804422,1205289.199999999720603,1272555.500000000000000,1267196.299999999813735,1252819.159999999916181,10156188.349999997764826
FS( 43 ),1224459.199999999953434,1361137.279999999795109,1338140.949999999720603,1243321.889999999897555,1207303.199999999720603,1263533.300000000046566,1264139.179999999934807,1260806.780000000027940,10162841.779999999329448
FS( 44 ),1282313.599999999860302,1362095.359999999869615,1338022.639999999897555,1238215.099999999860302,1212539.599999999860302,1284448.400000000139698,1258024.940000000176951,1261276.640000000130385,10236936.279999999329448
FS( 45 ),1269502.399999999906868,1365927.680000000167638,1343583.209999999962747,1239786.419999999925494,1214875.839999999850988,1269110.660000000149012,1277514.080000000074506,1266601.720000000204891,10246902.009999999776483
FS( 46 ),1276193.599999999860302,1372793.919999999925494,1352929.699999999720603,1249214.340000000083819,1230665.599999999860302,1261728.860000000102445,1285539.020000000018626,1260493.540000000037253,10289558.579999998211861
FS( 47 ),1295940.800000000046566,1370877.759999999776483,1357188.859999999869615,1250785.659999999916181,1235499.199999999720603,1271161.160000000149012,1272928.400000000139698,1273023.140000000130385,10327404.980000000447035
FS( 48 ),1306304.000000000000000,1372314.879999999888241,1353639.559999999823049,1244107.550000000046566,1235499.199999999720603,1270751.060000000055879,1271781.980000000214204,1277878.360000000102445,10332276.589999999850988
FS( 49 ),1314300.800000000046566,1368322.879999999888241,1352811.389999999897555,1242143.399999999906868,1250886.159999999683350,1270751.060000000055879,1278278.360000000102445,1278191.600000000093132,10355685.649999998509884
FS( 50 ),1267462.399999999906868,1350279.040000000037253,1338732.500000000000000,1217787.939999999944121,1239768.879999999888241,1284694.460000000195578,1277131.940000000176951,1263312.699999999953434,10239169.859999999403954
FS( 51 ),1285087.999999999767169,1345967.680000000167638,1335183.199999999720603,1236250.949999999953434,1247824.879999999888241,1290271.820000000298023,1270635.560000000055879,1259240.580000000074506,10270462.669999999925494
FS( 52 ),1304427.199999999953434,1364809.919999999925494,1345357.859999999869615,1250785.659999999916181,1242830.159999999683350,1289943.740000000223517,1272928.400000000139698,1263939.180000000167638,10335022.119999999180436
FS( 53 ),1318707.199999999953434,1385887.680000000167638,1344648.000000000000000,1260606.410000000149012,1209881.119999999646097,1292896.460000000195578,1275603.380000000121072,1265035.520000000018626,10353265.769999999552965
FS( 54 ),1313403.199999999953434,1395468.479999999981374,1350208.569999999832362,1270427.160000000149012,1226637.599999999860302,1303395.020000000251457,1274839.100000000093132,1268324.540000000037253,10402703.670000001788139
FS( 55 ),1288188.800000000046566,1374710.080000000074506,1338614.189999999944121,1219359.260000000009313,1205853.119999999646097,1295111.000000000000000,1259171.360000000102445,1248277.180000000167638,10229284.989999998360872
FS( 56 ),1285251.199999999953434,1363372.799999999813735,1347842.369999999878928,1193039.649999999906868,1188291.040000000037253,1294044.740000000223517,1248471.440000000176951,1242169.000000000000000,10162482.240000000223517
FS( 57 ),1282884.800000000046566,1362095.359999999869615,1344056.449999999720603,1205217.379999999888241,1202066.799999999813735,1298965.940000000409782,1251910.699999999953434,1248433.799999999813735,10195631.230000000447035
FS( 58 ),1303856.000000000000000,1362095.359999999869615,1370321.269999999785796,1228394.349999999860302,1207786.559999999823049,1309464.500000000000000,1266814.159999999916181,1253289.020000000018626,10302021.219999998807907
FS( 59 ),1305487.999999999767169,1361776.000000000000000,1357662.099999999860302,1214645.300000000046566,1201261.199999999720603,1302656.840000000316650,1270253.420000000158325,1252349.299999999813735,10266092.160000000149012
FS( 60 ),1299694.400000000139698,1363053.439999999944121,1358017.029999999795109,1227215.859999999869615,1194413.599999999860302,1299376.040000000270084,1269871.280000000027940,1226976.860000000102445,10238618.509999997913837
FS( 61 ),1304508.800000000046566,1364809.919999999925494,1364760.699999999720603,1235072.459999999962747,1205692.000000000000000,1302738.860000000102445,1275985.520000000018626,1231518.839999999850988,10285087.099999999627471
FS( 62 ),1317646.399999999906868,1363851.839999999850988,1361448.019999999785796,1239000.760000000009313,1219709.439999999711290,1309710.560000000055879,1279042.639999999897555,1222121.640000000130385,10312531.300000000745058
FS( 63 ),1329396.799999999813735,1364011.520000000018626,1372569.159999999916181,1236643.780000000027940,1207222.639999999897555,1307331.980000000214204,1280189.060000000055879,1233711.520000000018626,10331076.459999999031425
FS( 64 ),1332987.199999999953434,1368322.879999999888241,1390788.899999999906868,1256678.109999999869615,1208511.599999999860302,1308562.280000000260770,1278278.360000000102445,1230109.260000000242144,10374238.589999999850988
FS( 65 ),1338291.199999999953434,1374869.759999999776483,1390079.039999999804422,1265320.369999999878928,1207464.319999999832362,1312171.160000000149012,1296238.940000000176951,1222748.119999999878928,10407182.909999998286366
FS( 66 ),1338699.199999999953434,1375508.479999999981374,1399425.529999999795109,1268855.839999999850988,1214795.279999999795109,1310858.840000000316650,1297767.500000000000000,1227446.720000000204891,10433357.389999998733401
FS( 67 ),1322624.000000000000000,1362255.040000000037253,1399662.149999999906868,1242143.399999999906868,1232115.679999999934807,1305035.420000000158325,1291653.260000000009313,1249843.379999999888241,10405332.329999998211861
FS( 68 ),1321236.799999999813735,1360977.600000000093132,1384045.229999999981374,1251964.149999999906868,1261358.959999999962747,1297817.660000000149012,1298913.920000000158325,1254228.739999999990687,10430543.060000000521541
FS( 69 ),1315932.799999999813735,1347883.839999999850988,1393391.719999999739230,1247643.020000000018626,1272395.679999999934807,1311597.020000000251457,1298913.920000000158325,1254855.220000000204891,10442613.220000000670552
FS( 70 ),1294472.000000000000000,1345328.959999999962747,1393983.269999999785796,1236643.780000000027940,1286332.559999999823049,1310038.640000000363216,1303117.460000000195578,1235434.339999999850988,10405351.009999999776483
FS( 71 ),1317891.199999999953434,1368322.879999999888241,1406405.819999999832362,1264534.709999999962747,1275940.319999999832362,1324966.280000000260770,1311524.540000000037253,1238566.739999999990687,10508152.490000000223517
FS( 72 ),1312668.800000000046566,1382055.359999999869615,1430895.989999999757856,1273176.969999999739230,1288346.559999999823049,1282315.880000000353903,1351649.239999999990687,1246867.600000000093132,10567976.399999998509884
FS( 73 ),1302795.199999999953434,1383492.479999999981374,1415397.379999999888241,1264141.879999999888241,1289232.719999999972060,1287811.220000000204891,1339802.900000000139698,1250783.100000000093132,10533456.879999998956919
FS( 74 ),1291616.000000000000000,1376306.879999999888241,1425453.729999999981374,1264534.709999999962747,1284076.879999999888241,1287811.220000000204891,1365406.280000000027940,1247963.940000000176951,10543169.639999998733401
FS( 75 ),1304672.000000000000000,1389081.279999999795109,1435983.319999999832362,1274355.459999999962747,1276182.000000000000000,1287155.060000000055879,1351267.100000000093132,1258927.339999999850988,10577623.559999998658895
FS( 76 ),1294798.399999999906868,1403133.120000000111759,1465087.579999999841675,1277498.100000000093132,1271428.959999999962747,1285186.580000000307336,1358527.760000000009313,1252975.780000000027940,10608636.279999999329448
FS( 77 ),1295287.999999999767169,1421176.959999999962747,1475853.789999999804422,1276319.610000000102445,1270220.559999999823049,1291338.080000000307336,1354706.360000000102445,1253758.879999999888241,10638662.239999998360872
FS( 78 ),1273582.399999999906868,1412075.200000000186265,1477155.199999999720603,1280640.739999999990687,1278437.679999999934807,1311432.980000000214204,1375341.920000000158325,1260806.780000000027940,10669472.900000000372529
FS( 79 ),1251713.599999999860302,1411915.520000000018626,1476445.339999999850988,1284569.040000000037253,1282546.239999999757856,1304461.280000000260770,1374577.639999999897555,1253132.400000000139698,10639361.060000000521541
FS( 80 ),1239473.599999999860302,1411596.160000000149012,1472186.179999999934807,1310888.649999999906868,1288829.919999999925494,1303477.040000000270084,1374195.500000000000000,1245614.640000000130385,10646261.690000001341105
FS( 81 ),1228539.199999999953434,1408562.239999999757856,1470884.769999999785796,1324637.699999999953434,1297933.199999999720603,1281741.740000000223517,1356999.199999999953434,1239663.080000000074506,10608961.129999998956919
FS( 82 ),1249673.599999999860302,1416226.879999999888241,1473132.659999999916181,1326209.019999999785796,1299222.159999999683350,1257873.920000000158325,1348974.260000000009313,1243421.959999999962747,10614734.459999997168779
FS( 83 ),1258567.999999999767169,1429001.279999999795109,1473250.969999999739230,1315209.779999999795109,1296483.119999999646097,1263615.320000000298023,1354706.360000000102445,1241855.760000000242144,10632690.589999997988343
FS( 84 ),1250816.000000000000000,1439380.479999999981374,1481650.979999999981374,1310102.989999999990687,1308083.760000000009313,1291830.200000000186265,1360438.460000000195578,1236530.680000000167638,10678833.550000000745058
FS( 85 ),1257670.399999999906868,1444490.239999999757856,1475498.859999999869615,1321102.229999999981374,1317750.959999999962747,1285186.580000000307336,1364259.860000000102445,1223844.459999999962747,10689803.589999999850988
FS( 86 ),1255140.800000000046566,1445767.680000000167638,1475617.169999999925494,1325816.189999999944121,1321456.719999999972060,1287483.140000000363216,1378399.040000000037253,1228699.680000000167638,10718380.419999999925494
FS( 87 ),1260607.999999999767169,1459979.200000000186265,1484963.659999999916181,1329744.489999999990687,1330721.119999999646097,1286662.940000000409782,1381074.020000000018626,1240759.419999999925494,10774512.850000001490116
FS( 88 ),1252447.999999999767169,1453272.640000000130385,1499515.789999999804422,1313638.459999999962747,1331687.839999999850988,1289533.640000000363216,1374195.500000000000000,1238723.360000000102445,10753015.230000000447035
FS( 89 ),1268033.599999999860302,1455667.839999999850988,1495493.250000000000000,1319530.910000000149012,1338374.319999999832362,1302574.820000000298023,1375724.060000000055879,1243735.199999999953434,10799134.000000000000000
FS( 90 ),1267299.199999999953434,1461895.359999999869615,1501763.679999999934807,1325816.189999999944121,1336199.199999999720603,1309136.420000000158325,1377634.760000000009313,1237313.780000000027940,10817058.589999997988343
FS( 91 ),1271705.600000000093132,1464130.879999999888241,1501172.129999999888241,1326209.019999999785796,1335071.359999999869615,1313401.460000000195578,1381074.020000000018626,1261276.640000000130385,10854041.109999999403954
FS( 92 ),1272195.199999999953434,1467324.479999999981374,1516670.739999999757856,1317959.589999999850988,1330640.559999999823049,1317174.380000000353903,1391009.659999999916181,1317659.839999999850988,10930634.449999999254942
FS( 93 ),1277499.199999999953434,1468442.239999999757856,1521521.449999999720603,1319530.910000000149012,1331365.599999999860302,1338253.520000000251457,1392920.360000000102445,1342719.040000000037253,10992252.320000000298023
FS( 94 ),1273011.199999999953434,1462853.439999999944121,1537966.540000000037253,1306567.519999999785796,1326048.639999999897555,1344487.040000000270084,1389098.960000000195578,1348513.979999999981374,10988547.320000000298023
FS( 95 ),1281089.600000000093132,1482813.439999999944121,1546484.859999999869615,1314816.949999999953434,1325081.919999999925494,1356461.960000000195578,1388716.820000000298023,1356658.220000000204891,11052123.770000001415610
FS( 96 ),1304672.000000000000000,1468442.239999999757856,1555476.419999999925494,1317566.760000000009313,1323067.919999999925494,1353509.240000000223517,1374959.780000000027940,1342875.659999999916181,11040570.019999999552965
FS( 97 ),1309486.399999999906868,1464130.879999999888241,1544473.589999999850988,1319923.739999999990687,1316059.199999999720603,1356708.020000000251457,1383366.860000000102445,1346634.540000000037253,11040783.230000000447035
FS( 98 ),1303692.799999999813735,1470358.399999999906868,1553346.839999999850988,1317959.589999999850988,1316864.799999999813735,1359742.760000000242144,1369227.679999999934807,1350393.419999999925494,11041586.289999999105930
FS( 99 ),1272847.999999999767169,1467484.160000000149012,1556422.899999999906868,1325816.189999999944121,1315173.040000000037253,1365730.220000000204891,1384895.420000000158325,1353212.580000000074506,11041582.509999999776483
FS( 100 ),1275051.199999999953434,1470518.080000000074506,1554175.010000000009313,1345457.689999999944121,1316703.679999999934807,1364089.820000000298023,1391773.940000000176951,1369501.060000000055879,11087270.480000000447035
FS( 101 ),1274398.399999999906868,1475148.799999999813735,1557960.929999999934807,1349385.989999999990687,1327257.040000000037253,1339811.900000000139698,1391009.659999999916181,1388452.080000000074506,11103424.800000000745058
FS( 102 ),1281987.199999999953434,1498781.439999999944121,1635572.290000000037253,1358421.079999999841675,1337649.279999999795109,1344240.980000000214204,1386041.840000000083819,1377958.540000000037253,11220652.649999998509884
FS( 103 ),1276356.799999999813735,1493512.000000000000000,1619008.889999999897555,1347421.839999999850988,1337971.519999999785796,1341780.380000000353903,1381838.299999999813735,1385789.540000000037253,11183679.269999999552965
FS( 104 ),1284516.799999999813735,1528002.879999999888241,1620191.989999999757856,1346243.350000000093132,1350700.000000000000000,1345307.240000000223517,1365788.420000000158325,1387982.220000000204891,11228732.900000000372529
FS( 105 ),1330539.199999999953434,1529599.680000000167638,1630484.959999999962747,1352528.629999999888241,1348202.639999999897555,1356626.000000000000000,1360438.460000000195578,1380934.320000000065193,11289353.890000000596046
FS( 106 ),1360486.399999999906868,1518102.719999999739230,1614868.040000000037253,1337208.260000000009313,1331848.959999999962747,1363515.680000000167638,1343242.159999999916181,1361826.680000000167638,11231098.900000000372529
FS( 107 ),1379417.599999999860302,1525288.319999999832362,1606704.649999999906868,1341529.389999999897555,1335635.279999999795109,1369093.040000000270084,1339802.900000000139698,1367465.000000000000000,11264936.180000001564622
FS( 108 ),1361873.599999999860302,1529599.680000000167638,1612501.839999999850988,1359992.399999999906868,1332412.879999999888241,1364663.960000000195578,1347445.699999999953434,1377332.060000000055879,11285822.119999999180436
FS( 109 ),1371828.800000000046566,1532633.600000000093132,1614631.419999999925494,1343886.369999999878928,1310903.359999999869615,1378853.420000000158325,1355088.500000000000000,1390801.379999999888241,11298626.850000001490116
FS( 110 ),1407651.199999999953434,1539819.200000000186265,1616524.379999999888241,1354099.949999999953434,1324437.439999999711290,1383364.520000000251457,1358527.760000000009313,1404583.940000000176951,11389008.389999998733401
FS( 111 ),1421931.199999999953434,1537583.680000000167638,1629301.859999999869615,1351742.969999999739230,1323067.919999999925494,1395011.360000000102445,1349738.540000000037253,1389235.180000000167638,11397612.710000000894070
FS( 112 ),1426500.800000000046566,1522893.120000000111759,1642315.959999999962747,1351350.139999999897555,1318556.559999999823049,1400752.760000000242144,1351267.100000000093132,1393150.680000000167638,11406787.119999999180436
FS( 113 ),1438169.600000000093132,1519060.799999999813735,1624332.839999999850988,1355278.439999999944121,1321698.399999999906868,1395257.420000000158325,1350502.820000000298023,1413667.900000000139698,11417968.220000000670552
FS( 114 ),1435232.000000000000000,1497024.959999999962747,1601262.389999999897555,1337601.089999999850988,1315414.719999999972060,1369831.220000000204891,1345152.860000000102445,1414294.379999999888241,11315813.619999997317791
FS( 115 ),1425358.399999999906868,1493352.319999999832362,1614749.729999999748543,1335244.110000000102445,1322181.760000000009313,1358266.400000000139698,1344388.580000000074506,1424004.820000000065193,11317546.119999999180436
FS( 116 ),1419646.399999999906868,1499420.160000000149012,1615341.279999999795109,1333672.790000000037253,1332171.199999999720603,1372865.960000000195578,1348974.260000000009313,1425101.159999999916181,11347193.210000000894070
FS( 117 ),1398185.600000000093132,1497184.640000000130385,1627290.589999999850988,1337208.260000000009313,1354002.959999999962747,1378935.440000000409782,1352031.380000000121072,1426667.360000000102445,11371506.230000000447035
FS( 118 ),1379744.000000000000000,1489200.640000000130385,1586591.949999999720603,1339958.069999999832362,1333137.919999999925494,1372455.860000000102445,1351267.100000000093132,1406933.239999999990687,11259288.779999999329448
FS( 119 ),1396227.199999999953434,1493991.040000000037253,1613330.010000000009313,1409488.979999999981374,1349491.599999999860302,1378771.400000000139698,1358909.900000000139698,1560264.220000000204891,11560474.350000001490116
FS( 120 ),1388475.199999999953434,1496066.879999999888241,1610608.879999999888241,1410274.639999999897555,1351425.040000000037253,1367534.660000000149012,1351649.239999999990687,1526590.919999999925494,11502625.460000000894070
FS( 121 ),1387087.999999999767169,1500218.560000000055879,1619837.059999999823049,1433844.439999999944121,1373256.799999999813735,1369257.080000000307336,1350884.960000000195578,1526747.540000000037253,11561134.440000001341105
FS( 122 ),1412873.599999999860302,1507563.839999999850988,1628000.449999999720603,1439736.889999999897555,1392671.760000000009313,1380493.820000000298023,1358145.620000000111759,1511712.020000000018626,11631198.000000000000000
FS( 123 ),1427724.800000000046566,1498142.719999999739230,1632851.159999999683350,1431880.290000000037253,1386226.959999999962747,1386645.320000000298023,1353942.080000000074506,1509989.199999999953434,11627402.529999999329448
FS( 124 ),1427806.399999999906868,1492713.600000000093132,1625515.939999999711290,1433451.610000000102445,1388402.080000000074506,1387137.440000000409782,1356234.920000000158325,1513278.220000000204891,11624540.210000000894070
FS( 125 ),1420625.600000000093132,1492553.919999999925494,1623149.739999999757856,1448379.149999999906868,1403144.559999999823049,1385907.140000000363216,1356234.920000000158325,1513278.220000000204891,11643273.250000000000000
FS( 126 ),1412302.399999999906868,1521456.000000000000000,1644445.540000000037253,1482162.529999999795109,1422559.519999999785796,1405427.900000000139698,1369991.960000000195578,1515627.520000000018626,11773973.369999999180436
FS( 127 ),1383007.999999999767169,1542533.759999999776483,1633442.709999999962747,1472341.779999999795109,1428037.599999999860302,1397964.080000000307336,1383749.000000000000000,1528000.500000000000000,11769077.429999999701977
FS( 128 ),1402347.199999999953434,1560258.239999999757856,1670000.500000000000000,1465270.839999999850988,1448741.519999999785796,1410595.160000000149012,1385659.699999999953434,1522832.040000000037253,11865705.199999999254942
