代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11463518.250000000000000
真實報酬,1463518.250000000000000

夏普值報酬,0.137651825000000
夏普值風險,0.041311730786723
夏普值,3.332027547106297

二次趨勢線,70.021157520490732 x^2 + 2997.431122511497051 x + 10000000.000000000000000
二次加權預期報酬,14620.943270912959633
風險,101124.382821679391782
二次加權趨勢值,0.144583757773783
一次趨勢線,9535.551252436840514 x + 10000000.000000000000000
一次預期報酬,9535.551252436840514
一次風險,158139.848436425352702
一次趨勢值,0.060298219245292
找到最佳解世代,1921
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](5),CAT[3](2),CSCO[4](8),DD[7](10),JNJ[12](3),MCD[15](1),MSFT[18](7),
FS( 8 ),1454692.599999999860302,1446035.679999999934807,1414346.439999999944121,1466706.280000000027940,1410843.159999999916181,1410068.500000000000000,1397362.479999999981374,10000058.140000000596046
FS( 9 ),1452697.199999999953434,1450952.919999999925494,1389284.120000000111759,1456419.790000000037253,1381296.759999999776483,1392898.179999999934807,1382872.809999999823049,9906424.780000001192093
FS( 10 ),1436734.000000000000000,1459091.800000000046566,1370995.399999999906868,1483515.910000000149012,1384175.639999999897555,1397930.859999999869615,1363181.719999999739230,9895628.329999998211861
FS( 11 ),1444715.600000000093132,1481643.280000000027940,1400799.239999999990687,1486275.700000000186265,1384478.679999999934807,1412880.880000000121072,1370240.790000000037253,9981037.170000001788139
FS( 12 ),1438185.199999999953434,1473843.520000000018626,1417055.880000000121072,1507852.240000000223517,1373720.759999999776483,1397042.739999999990687,1356865.709999999962747,9964569.050000000745058
FS( 13 ),1427301.200000000186265,1495038.520000000018626,1422474.760000000009313,1554517.780000000027940,1403721.719999999972060,1419985.840000000083819,1359094.889999999897555,10082137.710000000894070
FS( 14 ),1410975.199999999953434,1484356.239999999990687,1427216.280000000027940,1568567.620000000111759,1393721.399999999906868,1408292.260000000009313,1346834.399999999906868,10039966.400000000372529
FS( 15 ),1422766.200000000186265,1507925.080000000074506,1431280.439999999944121,1564302.490000000223517,1395388.120000000111759,1428571.000000000000000,1367268.549999999813735,10117504.880000002682209
FS( 16 ),1477367.599999999860302,1525389.760000000009313,1461084.280000000027940,1567814.950000000186265,1394479.000000000000000,1425462.579999999841675,1360581.009999999776483,10212182.179999999701977
FS( 17 ),1471200.000000000000000,1541497.959999999962747,1469212.600000000093132,1587133.479999999981374,1394933.560000000055879,1429015.060000000055879,1377671.389999999897555,10270667.050000002607703
FS( 18 ),1461404.400000000139698,1545567.400000000139698,1476663.560000000055879,1602688.660000000149012,1402206.520000000018626,1433455.659999999916181,1391046.469999999739230,10313035.670000001788139
FS( 19 ),1451427.400000000139698,1540819.719999999972060,1491565.479999999981374,1593405.729999999981374,1399327.639999999897555,1434491.800000000046566,1385473.519999999785796,10296514.289999999105930
FS( 20 ),1437096.800000000046566,1540819.719999999972060,1507144.760000000009313,1593405.729999999981374,1398570.039999999804422,1435972.000000000000000,1385473.519999999785796,10298485.570000000298023
FS( 21 ),1453967.000000000000000,1539802.360000000102445,1519337.239999999990687,1586380.810000000055879,1387812.120000000111759,1436268.040000000037253,1389931.879999999888241,10313502.449999999254942
FS( 22 ),1433468.799999999813735,1523863.719999999972060,1490210.760000000009313,1567313.170000000158325,1379327.000000000000000,1427090.800000000046566,1380643.629999999888241,10201920.879999998956919
FS( 23 ),1401905.199999999953434,1523015.919999999925494,1488856.040000000037253,1560288.250000000000000,1391751.639999999897555,1429015.060000000055879,1371355.379999999888241,10166190.489999998360872
FS( 24 ),1409524.000000000000000,1503007.840000000083819,1490888.120000000111759,1557528.459999999962747,1399024.599999999860302,1418801.679999999934807,1342376.040000000037253,10121153.739999998360872
FS( 25 ),1399547.000000000000000,1507925.080000000074506,1511208.919999999925494,1540217.050000000046566,1428722.520000000018626,1426646.739999999990687,1352778.879999999888241,10167049.190000001341105
FS( 26 ),1408435.600000000093132,1511485.840000000083819,1509854.199999999953434,1541973.280000000027940,1426752.759999999776483,1412288.800000000046566,1328629.429999999934807,10139422.910000000149012
FS( 27 ),1390477.000000000000000,1521150.760000000009313,1496307.000000000000000,1522152.970000000204891,1435389.399999999906868,1413028.899999999906868,1320084.239999999990687,10098593.270000001415610
FS( 28 ),1381044.199999999953434,1534715.560000000055879,1505112.679999999934807,1525916.320000000065193,1435540.919999999925494,1418061.579999999841675,1339032.269999999785796,10139426.529999999329448
FS( 29 ),1388300.199999999953434,1524202.840000000083819,1503080.600000000093132,1496813.080000000074506,1431904.439999999944121,1403703.639999999897555,1299650.089999999850988,10047657.890000000596046
FS( 30 ),1416054.400000000139698,1535563.360000000102445,1517982.520000000018626,1523909.200000000186265,1435237.879999999888241,1409476.419999999925494,1329372.489999999990687,10167599.270000001415610
FS( 31 ),1444352.800000000046566,1566931.959999999962747,1543044.840000000083819,1538209.930000000167638,1436450.039999999804422,1413028.899999999906868,1365782.429999999934807,10307803.899999998509884
FS( 32 ),1436371.200000000186265,1560149.560000000055879,1543044.840000000083819,1539464.380000000121072,1434025.719999999972060,1421910.100000000093132,1370612.319999999832362,10305581.120000001043081
FS( 33 ),1401179.599999999860302,1550484.639999999897555,1540335.399999999906868,1538962.600000000093132,1440389.560000000055879,1405183.840000000083819,1351664.290000000037253,10228202.929999999701977
FS( 34 ),1422947.599999999860302,1536241.599999999860302,1546431.639999999897555,1641074.830000000074506,1424783.000000000000000,1407404.139999999897555,1343862.159999999916181,10322747.970000000670552
FS( 35 ),1429296.600000000093132,1519963.840000000083819,1547109.000000000000000,1632042.790000000037253,1429177.079999999841675,1404443.739999999990687,1334945.439999999944121,10296981.490000000223517
FS( 36 ),1441269.000000000000000,1500294.880000000121072,1528142.919999999925494,1597921.750000000000000,1405236.919999999925494,1410956.619999999878928,1339775.330000000074506,10223600.419999999925494
FS( 37 ),1415147.400000000139698,1461126.520000000018626,1503757.959999999962747,1551005.320000000065193,1372963.159999999916181,1397782.840000000083819,1367640.080000000074506,10069426.280000001192093
FS( 38 ),1426575.600000000093132,1547941.239999999990687,1490210.760000000009313,1539966.160000000149012,1362811.319999999832362,1392454.119999999878928,1338660.739999999990687,10098622.939999999478459
FS( 39 ),1312656.399999999906868,1567949.320000000065193,1473276.760000000009313,1538460.820000000065193,1365235.639999999897555,1394082.340000000083819,1347577.459999999962747,9999241.739999998360872
FS( 40 ),1297781.600000000093132,1536580.719999999972060,1466503.159999999916181,1598172.640000000130385,1347053.239999999990687,1378836.280000000027940,1362067.129999999888241,9986997.769999999552965
FS( 41 ),1295242.000000000000000,1580327.199999999953434,1488856.040000000037253,1618996.510000000009313,1356144.439999999944121,1388457.579999999841675,1369497.729999999981374,10097524.500000000000000
FS( 42 ),1297237.400000000139698,1592365.959999999962747,1484114.520000000018626,1626021.430000000167638,1340537.879999999888241,1393934.320000000065193,1405907.669999999925494,10140122.179999999701977
FS( 43 ),1299777.000000000000000,1567101.520000000018626,1459729.560000000055879,1596667.300000000046566,1314931.000000000000000,1376912.020000000018626,1355379.589999999850988,9970500.990000000223517
FS( 44 ),1318461.200000000186265,1568458.000000000000000,1476663.560000000055879,1606452.010000000009313,1312506.679999999934807,1377948.159999999916181,1350549.699999999953434,10011042.309999998658895
FS( 45 ),1328438.200000000186265,1559301.760000000009313,1488856.040000000037253,1602437.770000000018626,1322507.000000000000000,1385201.139999999897555,1330858.609999999869615,10017603.519999999552965
FS( 46 ),1328256.800000000046566,1591009.479999999981374,1523401.399999999906868,1628781.220000000204891,1344780.439999999944121,1405331.859999999869615,1344233.689999999944121,10165797.889999998733401
FS( 47 ),1346759.599999999860302,1608643.719999999972060,1535593.880000000121072,1629283.000000000000000,1364326.520000000018626,1419837.820000000065193,1358351.830000000074506,10262799.370000001043081
FS( 48 ),1370885.799999999813735,1602370.000000000000000,1546431.639999999897555,1637813.260000000009313,1379933.079999999841675,1404147.699999999953434,1367268.549999999813735,10308853.029999997466803
FS( 49 ),1389025.799999999813735,1610169.760000000009313,1538303.320000000065193,1673439.640000000130385,1408721.879999999888241,1411252.659999999916181,1381015.159999999916181,10411931.219999998807907
FS( 50 ),1388844.400000000139698,1630686.520000000018626,1547786.360000000102445,1656880.900000000139698,1400388.280000000027940,1404591.760000000009313,1392161.059999999823049,10421342.280000001192093
FS( 51 ),1410975.199999999953434,1629669.159999999916181,1508499.479999999981374,1654372.000000000000000,1402509.560000000055879,1413028.899999999906868,1397362.479999999981374,10416419.780000001192093
FS( 52 ),1409705.399999999906868,1637129.800000000046566,1528142.919999999925494,1668923.619999999878928,1405539.959999999962747,1417765.540000000037253,1397734.009999999776483,10464944.250000000000000
FS( 53 ),1414966.000000000000000,1637299.360000000102445,1517982.520000000018626,1671432.520000000251457,1396600.280000000027940,1421318.020000000018626,1390303.409999999916181,10449905.110000001266599
FS( 54 ),1392653.799999999813735,1631364.760000000009313,1509176.840000000083819,1659138.909999999916181,1388569.719999999972060,1414361.079999999841675,1393647.179999999934807,10388915.289999999105930
FS( 55 ),1376509.199999999953434,1643403.520000000018626,1510531.560000000055879,1684227.909999999916181,1399782.199999999953434,1417321.479999999981374,1402563.899999999906868,10434342.769999999552965
FS( 56 ),1361271.600000000093132,1653238.000000000000000,1499016.439999999944121,1677955.659999999916181,1386751.479999999981374,1427682.880000000121072,1411109.089999999850988,10417028.150000000372529
FS( 57 ),1367076.399999999906868,1650185.919999999925494,1498339.080000000074506,1677453.880000000121072,1380539.159999999916181,1428422.979999999981374,1400334.719999999739230,10402355.140000000596046
FS( 58 ),1352927.199999999953434,1634755.959999999962747,1479373.000000000000000,1687238.590000000083819,1380539.159999999916181,1430199.219999999972060,1394761.769999999785796,10359797.900000000372529
FS( 59 ),1340773.399999999906868,1648151.199999999953434,1485469.239999999990687,1708815.130000000121072,1380539.159999999916181,1419393.760000000009313,1392161.059999999823049,10375305.950000001117587
FS( 60 ),1367439.199999999953434,1639673.199999999953434,1484791.880000000121072,1733151.459999999962747,1384327.159999999916181,1407404.139999999897555,1406650.729999999981374,10423440.770000001415610
FS( 61 ),1363811.200000000186265,1644251.320000000065193,1476663.560000000055879,1740427.270000000251457,1395842.679999999934807,1408440.280000000027940,1423369.580000000074506,10452808.890000000596046
FS( 62 ),1367620.600000000093132,1633060.360000000102445,1461084.280000000027940,1730642.560000000288710,1387357.560000000055879,1396154.619999999878928,1403678.489999999990687,10379601.470000000670552
FS( 63 ),1376690.600000000093132,1645099.119999999878928,1478018.280000000027940,1767272.500000000000000,1414328.120000000111759,1405923.939999999944121,1427084.879999999888241,10514420.440000001341105
FS( 64 ),1379593.000000000000000,1634077.719999999972060,1481405.080000000074506,1783329.459999999962747,1402964.120000000111759,1406516.020000000018626,1415938.979999999981374,10503827.380000000819564
FS( 65 ),1375420.799999999813735,1654933.599999999860302,1478018.280000000027940,1778562.550000000046566,1407509.719999999972060,1414805.139999999897555,1417425.099999999860302,10526678.189999999478459
FS( 66 ),1374695.199999999953434,1645607.800000000046566,1471922.040000000037253,1769028.730000000214204,1414025.079999999841675,1413620.979999999981374,1408136.849999999860302,10497039.679999999701977
FS( 67 ),1375965.000000000000000,1640521.000000000000000,1469212.600000000093132,1780318.780000000027940,1415994.840000000083819,1409180.380000000121072,1405164.609999999869615,10496360.209999999031425
FS( 68 ),1389207.199999999953434,1642047.040000000037253,1463793.719999999972060,1759996.690000000176951,1416600.919999999925494,1462171.540000000037253,1412595.209999999962747,10546415.320000000298023
FS( 69 ),1390658.399999999906868,1641707.919999999925494,1478018.280000000027940,1751717.319999999832362,1418267.639999999897555,1461135.399999999906868,1421883.459999999962747,10563391.419999998062849
FS( 70 ),1375239.400000000139698,1621191.159999999916181,1457697.479999999981374,1741430.830000000074506,1409176.439999999944121,1441300.719999999972060,1407765.319999999832362,10453804.350000001490116
FS( 71 ),1359820.399999999906868,1617460.840000000083819,1446182.360000000102445,1738169.260000000009313,1406297.560000000055879,1444409.139999999897555,1400706.250000000000000,10413048.810000000521541
FS( 72 ),1365081.000000000000000,1622208.520000000018626,1457020.120000000111759,1750713.760000000009313,1423267.800000000046566,1444705.179999999934807,1413709.799999999813735,10476709.179999999701977
FS( 73 ),1377053.399999999906868,1634755.959999999962747,1465148.439999999944121,1774548.310000000288710,1423419.319999999832362,1440412.600000000093132,1469439.299999999813735,10584780.329999998211861
FS( 74 ),1376690.600000000093132,1628482.239999999990687,1465148.439999999944121,1772541.190000000176951,1418116.120000000111759,1422502.179999999934807,1459036.459999999962747,10542520.230000000447035
FS( 75 ),1370160.199999999953434,1631364.760000000009313,1478695.639999999897555,1795121.290000000037253,1426146.679999999934807,1429903.179999999934807,1498418.639999999897555,10629813.390000000596046
FS( 76 ),1380862.800000000046566,1651372.840000000083819,1465825.800000000046566,1793866.840000000083819,1453571.800000000046566,1413176.919999999925494,1492102.629999999888241,10650782.629999998956919
FS( 77 ),1397370.199999999953434,1642216.599999999860302,1461084.280000000027940,1792110.610000000335276,1442510.840000000083819,1423686.340000000083819,1504734.649999999906868,10663716.520000001415610
FS( 78 ),1412426.399999999906868,1671720.040000000037253,1513241.000000000000000,1809422.020000000251457,1475542.199999999953434,1419689.800000000046566,1498790.169999999925494,10800834.630000000819564
FS( 79 ),1398821.399999999906868,1658324.800000000046566,1511886.280000000027940,1766018.050000000046566,1470542.039999999804422,1418653.659999999916181,1478356.019999999785796,10702605.250000000000000
FS( 80 ),1392835.199999999953434,1669346.199999999953434,1491565.479999999981374,1714585.600000000093132,1474027.000000000000000,1423390.300000000046566,1462380.229999999981374,10628133.010000001639128
FS( 81 ),1391202.599999999860302,1685284.840000000083819,1512563.639999999897555,1722112.300000000046566,1476451.319999999832362,1439376.459999999962747,1497304.049999999813735,10724298.210000000894070
FS( 82 ),1391021.200000000186265,1684945.719999999972060,1518659.880000000121072,1736162.140000000130385,1488421.399999999906868,1451070.040000000037253,1522939.619999999878928,10793222.999999998137355
FS( 83 ),1403719.199999999953434,1692406.360000000102445,1564720.360000000102445,1776053.650000000139698,1484027.319999999832362,1449145.780000000027940,1538915.409999999916181,10908991.080000000074506
FS( 84 ),1406077.400000000139698,1740222.280000000027940,1557269.399999999906868,1782827.680000000167638,1488421.399999999906868,1444557.159999999916181,1536314.699999999953434,10955693.019999999552965
FS( 85 ),1396281.800000000046566,1738865.800000000046566,1564043.000000000000000,1770784.959999999962747,1488875.959999999962747,1445593.300000000046566,1523682.679999999934807,10928130.500000000000000
FS( 86 ),1378141.800000000046566,1732422.520000000018626,1538303.320000000065193,1739674.600000000093132,1491300.280000000027940,1448701.719999999972060,1481328.259999999776483,10809875.500000000000000
FS( 87 ),1356555.199999999953434,1714449.159999999916181,1547786.360000000102445,1712578.480000000214204,1483269.719999999972060,1435972.000000000000000,1478727.549999999813735,10729341.469999998807907
FS( 88 ),1356555.199999999953434,1736152.840000000083819,1553882.600000000093132,1717596.280000000027940,1485845.560000000055879,1451810.139999999897555,1479470.609999999869615,10781316.230000000447035
FS( 89 ),1374332.400000000139698,1746326.439999999944121,1566075.080000000074506,1749710.199999999953434,1499330.840000000083819,1455806.679999999934807,1503620.059999999823049,10895204.700000001117587
FS( 90 ),1356555.199999999953434,1733948.560000000055879,1534239.159999999916181,1704299.110000000335276,1462814.520000000018626,1471792.840000000083819,1462380.229999999981374,10726032.620000001043081
FS( 91 ),1346578.200000000186265,1720214.199999999953434,1521369.320000000065193,1677453.880000000121072,1467814.679999999934807,1469720.560000000055879,1456807.280000000027940,10659961.119999999180436
FS( 92 ),1352020.199999999953434,1742765.679999999934807,1547786.360000000102445,1697023.300000000046566,1471905.719999999972060,1481858.199999999953434,1455692.689999999944121,10749055.149999998509884
FS( 93 ),1342224.599999999860302,1738018.000000000000000,1550495.800000000046566,1699532.199999999953434,1503118.840000000083819,1492515.639999999897555,1476869.899999999906868,10802777.980000000447035
FS( 94 ),1344945.600000000093132,1745309.080000000074506,1559978.840000000083819,1732900.569999999832362,1496300.439999999944121,1492515.639999999897555,1501019.349999999860302,10872972.519999999552965
FS( 95 ),1360364.599999999860302,1743613.479999999981374,1572171.320000000065193,1740678.159999999916181,1499482.359999999869615,1483930.479999999981374,1486529.679999999934807,10886773.080000000074506
FS( 96 ),1376509.199999999953434,1740391.840000000083819,1585041.159999999916181,1741681.720000000204891,1515240.439999999944121,1475345.320000000065193,1483928.969999999739230,10918141.649999998509884
FS( 97 ),1377960.399999999906868,1758195.639999999897555,1593169.479999999981374,1748706.640000000130385,1517967.800000000046566,1470164.619999999878928,1485786.619999999878928,10951954.199999999254942
FS( 98 ),1359820.399999999906868,1752939.280000000027940,1591814.760000000009313,1764010.930000000167638,1518573.879999999888241,1467352.239999999990687,1474640.719999999739230,10929155.209999997168779
FS( 99 ),1471381.399999999906868,1785155.679999999934807,1580299.639999999897555,1759244.020000000251457,1514634.359999999869615,1477861.659999999916181,1480956.729999999981374,11069536.490000000223517
FS( 100 ),1482265.399999999906868,1775151.639999999897555,1557946.760000000009313,1732900.569999999832362,1512058.520000000018626,1491035.439999999944121,1482814.379999999888241,11034175.709999997168779
FS( 101 ),1539587.800000000046566,1767860.560000000055879,1559301.479999999981374,1689747.489999999990687,1535544.120000000111759,1484818.600000000093132,1518481.259999999776483,11095344.310000000521541
FS( 102 ),1535052.800000000046566,1785494.800000000046566,1568784.520000000018626,1739925.489999999990687,1530847.000000000000000,1502432.979999999981374,1505106.179999999934807,11167646.769999999552965
FS( 103 ),1529248.000000000000000,1787190.400000000139698,1565397.719999999972060,1782827.680000000167638,1534786.520000000018626,1500656.739999999990687,1501019.349999999860302,11201129.410000000149012
FS( 104 ),1532876.000000000000000,1781594.919999999925494,1558624.120000000111759,1740427.270000000251457,1523271.000000000000000,1494439.899999999906868,1486158.149999999906868,11117394.360000001266599
FS( 105 ),1535597.000000000000000,1780577.560000000055879,1553882.600000000093132,1739674.600000000093132,1504785.560000000055879,1501396.840000000083819,1474640.719999999739230,11090557.879999998956919
FS( 106 ),1557365.000000000000000,1772269.119999999878928,1555237.320000000065193,1763509.150000000139698,1515240.439999999944121,1497104.260000000009313,1464980.939999999944121,11125709.230000000447035
FS( 107 ),1540494.800000000046566,1761247.719999999972060,1538980.679999999934807,1754728.000000000000000,1507815.959999999962747,1494291.880000000121072,1451234.330000000074506,11048796.370000001043081
FS( 108 ),1535052.800000000046566,1773964.719999999972060,1549141.080000000074506,1769279.619999999878928,1529028.759999999776483,1509241.899999999906868,1464609.409999999916181,11130321.289999999105930
FS( 109 ),1523806.000000000000000,1779390.639999999897555,1559301.479999999981374,1758240.459999999962747,1522816.439999999944121,1509093.880000000121072,1472783.069999999832362,11125434.970000000670552
FS( 110 ),1517457.000000000000000,1781425.360000000102445,1559301.479999999981374,1760498.470000000204891,1529028.759999999776483,1523599.840000000083819,1469067.769999999785796,11140381.679999999701977
FS( 111 ),1536322.599999999860302,1800755.199999999953434,1570816.600000000093132,1790856.159999999916181,1523119.479999999981374,1522563.699999999953434,1485043.559999999823049,11229480.300000000745058
FS( 112 ),1538680.799999999813735,1816863.400000000139698,1548463.719999999972060,1788347.260000000009313,1530695.479999999981374,1532481.040000000037253,1501762.409999999916181,11257297.109999999403954
FS( 113 ),1539043.600000000093132,1806350.679999999934807,1545076.919999999925494,1793615.949999999953434,1528422.679999999934807,1525080.040000000037253,1495074.869999999878928,11232667.740000000223517
FS( 114 ),1525982.800000000046566,1780238.439999999944121,1637875.239999999990687,1736914.810000000288710,1525695.319999999832362,1517234.979999999981374,1471296.949999999953434,11195241.540000000968575
FS( 115 ),1548476.399999999906868,1797872.679999999934807,1650745.080000000074506,1749961.090000000083819,1524028.599999999860302,1526708.260000000009313,1479842.139999999897555,11277637.250000000000000
FS( 116 ),1566797.800000000046566,1787020.840000000083819,1649390.360000000102445,1762756.480000000214204,1524937.719999999972060,1511166.159999999916181,1476869.899999999906868,11278942.259999999776483
FS( 117 ),1567160.600000000093132,1722079.360000000102445,1633811.080000000074506,1777057.209999999962747,1519028.439999999944121,1502877.040000000037253,1474269.189999999944121,11196285.919999999925494
FS( 118 ),1571332.800000000046566,1744461.280000000027940,1658196.040000000037253,1784333.020000000251457,1532513.719999999972060,1518123.100000000093132,1499161.699999999953434,11308124.660000000149012
FS( 119 ),1573691.000000000000000,1747852.479999999981374,1651422.439999999944121,1778562.550000000046566,1529786.359999999869615,1516494.880000000121072,1489873.449999999953434,11287686.160000000149012
FS( 120 ),1591468.200000000186265,1763960.679999999934807,1660905.479999999981374,1810676.470000000204891,1530089.399999999906868,1509833.979999999981374,1490616.509999999776483,11357553.720000000670552
FS( 121 ),1621399.199999999953434,1758026.080000000074506,1673775.320000000065193,1819708.510000000009313,1527513.560000000055879,1515162.699999999953434,1493217.219999999739230,11408805.589999999850988
FS( 122 ),1617045.600000000093132,1744969.959999999962747,1681226.280000000027940,1849815.310000000288710,1519786.039999999804422,1499472.579999999841675,1486529.679999999934807,11398848.449999999254942
FS( 123 ),1646613.799999999813735,1756669.599999999860302,1671743.239999999990687,1874653.420000000158325,1526755.959999999962747,1500064.659999999916181,1498790.169999999925494,11475293.849999999627471
FS( 124 ),1640446.200000000186265,1733439.880000000121072,1667679.080000000074506,1862108.920000000158325,1537362.359999999869615,1501396.840000000083819,1521081.969999999739230,11463518.250000000000000
