代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12045206.230000000447035
真實報酬,2045206.230000000447035

夏普值報酬,0.195820623000000
夏普值風險,0.056212485730035
夏普值,3.483578789602776

二次趨勢線,41.991786301225169 x^2 + 11267.045592150225275 x + 10000000.000000000000000
二次加權預期報酬,18349.660214956871641
風險,88607.909130027561332
二次加權趨勢值,0.207088288112404
一次趨勢線,15250.954076689025896 x + 10000000.000000000000000
一次預期報酬,15250.954076689025896
一次風險,116263.497366507188417
一次趨勢值,0.131175772466333
找到最佳解世代,2153
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](6),BA[2](1),CAT[3](3),CVX[5](5),MCD[15](12),PFE[20](8),UNH[23](4),V[25](2),
FS( 38 ),1231709.250000000000000,1323731.919999999925494,1422724.250000000000000,1218809.449999999953434,1444519.479999999981374,1174065.439999999711290,1344048.080000000074506,1329451.840000000083819,10489059.709999999031425
FS( 39 ),1232027.349999999860302,1320335.439999999944121,1431394.330000000074506,1214287.399999999906868,1445291.000000000000000,1173335.299999999813735,1339896.679999999934807,1324276.280000000027940,10480843.779999999329448
FS( 40 ),1226142.500000000000000,1322387.479999999748543,1428820.400000000139698,1206634.699999999953434,1445966.080000000074506,1172970.229999999981374,1333028.000000000000000,1324975.679999999934807,10460925.070000000298023
FS( 41 ),1223756.750000000000000,1327694.479999999748543,1428278.520000000251457,1199909.600000000093132,1455224.319999999832362,1191953.869999999878928,1322385.320000000065193,1332109.560000000055879,10481312.419999999925494
FS( 42 ),1245069.449999999953434,1325500.919999999925494,1431258.860000000102445,1209069.649999999906868,1469690.319999999832362,1194144.289999999804422,1355596.520000000018626,1334487.520000000251457,10564817.530000001192093
FS( 43 ),1248409.500000000000000,1346092.079999999841675,1435322.960000000195578,1195619.449999999953434,1482709.719999999972060,1187938.099999999860302,1354162.399999999906868,1344978.520000000251457,10595232.729999998584390
FS( 44 ),1256043.900000000139698,1337034.799999999813735,1425162.710000000195578,1196547.050000000046566,1473547.919999999925494,1181001.769999999785796,1354011.439999999944121,1350573.719999999972060,10573923.310000000521541
FS( 45 ),1254135.300000000046566,1321467.599999999860302,1416357.159999999916181,1207910.149999999906868,1458503.279999999795109,1170779.809999999823049,1364956.039999999804422,1339942.840000000083819,10534052.179999997839332
FS( 46 ),1269404.100000000093132,1331020.199999999720603,1402268.280000000027940,1203272.149999999906868,1465350.519999999785796,1168224.319999999832362,1382995.760000000009313,1344139.240000000223517,10566674.570000000298023
FS( 47 ),1271630.800000000046566,1343969.279999999795109,1422588.780000000027940,1205939.000000000000000,1460432.080000000074506,1159097.569999999832362,1371522.799999999813735,1344139.240000000223517,10579319.549999998882413
FS( 48 ),1277356.600000000093132,1344676.879999999888241,1434916.550000000046566,1233767.000000000000000,1460914.279999999795109,1196334.709999999962747,1369786.760000000009313,1322737.600000000093132,10640490.380000000819564
FS( 49 ),1275129.900000000139698,1344464.599999999860302,1436948.599999999860302,1252782.800000000046566,1431885.839999999850988,1193779.219999999972060,1353105.679999999934807,1307910.320000000065193,10596006.959999999031425
FS( 50 ),1281810.000000000000000,1352177.439999999944121,1432613.560000000055879,1253826.349999999860302,1444905.239999999757856,1189398.379999999655411,1366692.080000000074506,1330011.360000000102445,10651434.410000000149012
FS( 51 ),1285786.250000000000000,1361305.479999999748543,1418524.679999999934807,1236086.000000000000000,1453199.080000000074506,1193414.149999999674037,1376579.959999999962747,1333368.479999999981374,10658264.079999998211861
FS( 52 ),1283559.550000000046566,1383028.799999999813735,1441419.110000000102445,1232955.350000000093132,1457924.639999999897555,1197794.989999999990687,1361634.919999999925494,1317282.280000000027940,10675599.639999998733401
FS( 53 ),1295488.300000000046566,1390034.039999999804422,1457675.510000000009313,1256377.250000000000000,1465832.719999999972060,1203636.109999999869615,1371069.919999999925494,1317282.280000000027940,10757396.129999998956919
FS( 54 ),1302327.449999999953434,1408714.679999999934807,1456185.340000000083819,1246057.699999999953434,1476923.319999999832362,1212762.859999999869615,1381561.639999999897555,1325954.840000000083819,10810487.830000000074506
FS( 55 ),1312347.600000000093132,1403407.679999999934807,1450089.190000000176951,1234694.600000000093132,1485892.239999999757856,1225175.239999999990687,1383448.639999999897555,1320219.760000000009313,10815274.950000001117587
FS( 56 ),1307576.099999999860302,1409351.519999999785796,1401726.400000000139698,1211620.550000000046566,1482613.279999999795109,1236857.479999999981374,1395902.839999999850988,1322457.840000000083819,10768106.009999999776483
FS( 57 ),1308212.300000000046566,1411262.039999999804422,1406738.790000000037253,1211156.750000000000000,1492932.360000000102445,1243428.739999999990687,1407828.679999999934807,1314204.920000000158325,10795764.580000000074506
FS( 58 ),1307735.150000000139698,1431004.079999999841675,1410396.479999999981374,1217534.000000000000000,1491389.319999999832362,1247444.510000000009313,1398393.679999999934807,1337005.360000000102445,10840902.579999998211861
FS( 59 ),1319504.849999999860302,1415083.079999999841675,1412293.060000000055879,1207562.300000000046566,1484831.399999999906868,1242698.599999999860302,1397412.439999999944121,1331969.679999999934807,10811355.409999998286366
FS( 60 ),1321413.449999999953434,1407370.239999999757856,1407958.020000000251457,1206750.649999999906868,1482516.839999999850988,1232841.709999999962747,1393487.479999999981374,1327493.520000000251457,10779831.909999998286366
FS( 61 ),1335568.900000000139698,1412535.719999999972060,1442096.460000000195578,1209185.600000000093132,1488110.360000000102445,1232111.569999999832362,1401790.279999999795109,1346097.560000000055879,10867496.449999999254942
FS( 62 ),1330161.199999999953434,1397251.559999999823049,1431123.390000000130385,1207330.400000000139698,1476826.879999999888241,1227730.729999999981374,1398544.639999999897555,1320779.280000000027940,10789748.080000000074506
FS( 63 ),1339863.250000000000000,1399303.599999999860302,1455778.929999999934807,1209765.350000000093132,1477116.199999999953434,1226270.449999999953434,1399676.839999999850988,1311826.960000000195578,10819601.580000000074506
FS( 64 ),1353541.550000000046566,1405247.439999999944121,1449140.900000000139698,1232607.500000000000000,1470751.159999999916181,1234667.059999999823049,1408960.879999999888241,1305812.119999999878928,10860728.609999999403954
FS( 65 ),1350201.500000000000000,1428032.159999999916181,1456185.340000000083819,1213127.900000000139698,1476248.239999999757856,1228095.799999999813735,1421037.679999999934807,1315044.200000000186265,10887972.820000000298023
FS( 66 ),1331910.750000000000000,1425697.079999999841675,1442909.280000000027940,1203851.899999999906868,1476441.119999999878928,1212762.859999999869615,1411149.799999999813735,1304413.320000000065193,10809136.109999999403954
FS( 67 ),1341294.699999999953434,1431994.719999999972060,1448463.550000000046566,1200025.550000000046566,1507109.040000000037253,1217508.769999999785796,1418848.760000000009313,1313785.280000000027940,10879030.369999999180436
FS( 68 ),1340817.550000000046566,1443245.559999999823049,1460926.790000000037253,1194807.800000000046566,1499876.040000000037253,1219699.189999999711290,1411225.279999999795109,1330151.240000000223517,10900749.449999999254942
FS( 69 ),1338590.850000000093132,1459591.119999999878928,1466345.590000000083819,1195735.400000000139698,1493993.199999999953434,1210937.510000000009313,1403677.279999999795109,1334627.399999999906868,10903498.349999999627471
FS( 70 ),1349088.149999999906868,1460794.039999999804422,1476099.429999999934807,1204663.550000000046566,1510098.679999999934807,1212762.859999999869615,1409262.799999999813735,1345398.160000000149012,10968167.669999998062849
FS( 71 ),1357835.900000000139698,1459308.079999999841675,1469461.400000000139698,1207446.349999999860302,1495246.919999999925494,1214953.279999999795109,1400129.719999999972060,1342041.040000000037253,10946422.690000001341105
FS( 72 ),1356404.449999999953434,1475441.359999999869615,1473525.500000000000000,1211040.800000000046566,1497561.479999999981374,1220429.329999999841675,1410847.879999999888241,1355889.160000000149012,11001139.960000000894070
FS( 73 ),1355450.150000000139698,1478908.599999999860302,1474473.790000000037253,1208373.949999999953434,1497368.599999999860302,1213858.069999999832362,1406696.479999999981374,1354490.360000000102445,10989620.000000000000000
FS( 74 ),1360221.649999999906868,1473530.839999999850988,1450495.599999999860302,1202692.399999999906868,1484831.399999999906868,1217873.839999999850988,1410470.479999999981374,1364981.360000000102445,10965097.570000000298023
FS( 75 ),1366742.700000000186265,1492211.479999999748543,1461062.260000000009313,1211272.699999999953434,1484156.319999999832362,1227365.659999999683350,1428132.799999999813735,1374353.320000000065193,11045297.239999998360872
FS( 76 ),1357517.800000000046566,1487965.879999999888241,1453882.349999999860302,1213243.849999999860302,1487242.399999999906868,1224445.099999999860302,1445568.679999999934807,1372395.000000000000000,11042261.059999998658895
FS( 77 ),1361335.000000000000000,1501127.239999999757856,1443993.040000000037253,1197242.750000000000000,1484445.639999999897555,1222254.679999999701977,1447682.119999999878928,1393237.119999999878928,11051317.589999997988343
FS( 78 ),1351951.050000000046566,1501410.279999999795109,1465532.770000000251457,1196663.000000000000000,1464482.559999999823049,1216413.559999999823049,1440964.399999999906868,1404007.880000000121072,11041425.500000000000000
FS( 79 ),1358472.100000000093132,1503391.559999999823049,1551691.690000000176951,1210461.050000000046566,1534112.239999999757856,1208382.019999999785796,1437265.879999999888241,1398692.439999999944121,11202468.979999998584390
FS( 80 ),1356722.550000000046566,1651916.799999999813735,1537873.750000000000000,1218925.400000000139698,1509423.599999999860302,1200715.549999999813735,1439907.679999999934807,1410722.119999999878928,11326207.449999997392297
FS( 81 ),1333660.300000000046566,1705340.599999999860302,1549388.700000000186265,1230404.449999999953434,1513666.959999999729916,1204731.319999999832362,1426170.320000000065193,1392817.479999999981374,11356180.130000000819564
FS( 82 ),1348770.050000000046566,1707251.119999999878928,1545731.010000000009313,1253710.400000000139698,1503058.559999999823049,1210207.369999999878928,1442926.879999999888241,1386942.520000000251457,11398597.910000000149012
FS( 83 ),1355609.200000000186265,1715671.559999999823049,1543698.960000000195578,1266117.050000000046566,1496211.319999999832362,1210572.439999999711290,1447908.560000000055879,1392677.600000000093132,11428466.689999999478459
FS( 84 ),1355768.250000000000000,1694302.039999999804422,1532184.010000000009313,1284553.100000000093132,1485602.919999999925494,1207651.879999999655411,1451078.719999999972060,1411001.880000000121072,11422142.800000000745058
FS( 85 ),1356722.550000000046566,1683758.799999999813735,1532048.540000000037253,1280842.699999999953434,1510195.119999999878928,1201810.760000000009313,1456890.679999999934807,1416736.960000000195578,11439006.110000001266599
FS( 86 ),1360539.750000000232831,1685881.599999999860302,1538415.630000000121072,1268899.850000000093132,1492160.839999999850988,1220429.329999999841675,1470250.639999999897555,1407085.240000000223517,11443662.880000000819564
FS( 87 ),1367378.900000000139698,1682060.559999999823049,1549117.760000000009313,1276784.449999999953434,1483481.239999999757856,1228095.799999999813735,1471080.919999999925494,1411281.640000000130385,11469281.270000001415610
FS( 88 ),1365470.300000000046566,1699892.079999999841675,1553994.679999999934807,1272958.100000000093132,1494571.839999999850988,1216048.489999999990687,1470326.119999999878928,1419674.439999999944121,11492936.049999998882413
FS( 89 ),1366901.750000000000000,1694726.599999999860302,1549930.580000000074506,1279567.250000000000000,1494089.639999999897555,1214953.279999999795109,1471231.879999999888241,1416736.960000000195578,11488137.940000001341105
FS( 90 ),1362925.500000000000000,1658002.159999999916181,1548982.290000000037253,1285828.550000000046566,1494089.639999999897555,1221159.469999999972060,1470703.520000000018626,1412400.679999999934807,11454091.809999998658895
FS( 91 ),1344952.850000000093132,1647883.479999999748543,1532861.360000000102445,1276784.449999999953434,1510484.439999999944121,1220064.260000000009313,1453645.039999999804422,1391698.439999999944121,11378374.319999998435378
FS( 92 ),1340658.500000000232831,1662035.479999999748543,1528797.260000000009313,1266580.850000000093132,1517042.360000000102445,1213858.069999999832362,1457041.639999999897555,1400091.240000000223517,11386105.400000000372529
FS( 93 ),1359426.400000000139698,1678098.000000000000000,1540447.679999999934807,1260551.449999999953434,1516656.599999999860302,1216048.489999999990687,1462249.760000000009313,1424989.880000000121072,11458468.259999999776483
FS( 94 ),1380421.000000000232831,1692391.519999999785796,1539634.860000000102445,1258928.149999999906868,1520128.439999999944121,1218603.979999999981374,1468212.679999999934807,1435620.760000000009313,11513941.389999998733401
FS( 95 ),1389964.000000000000000,1681211.439999999944121,1546001.950000000186265,1238868.800000000046566,1532472.760000000009313,1217873.839999999850988,1462702.639999999897555,1445272.479999999981374,11514367.910000000149012
FS( 96 ),1369287.500000000000000,1667059.439999999944121,1532725.890000000130385,1228201.399999999906868,1522732.319999999832362,1202905.969999999972060,1454626.279999999795109,1429046.399999999906868,11406585.200000001117587
FS( 97 ),1357994.949999999953434,1668333.119999999878928,1543292.550000000046566,1234694.600000000093132,1521478.599999999860302,1192684.010000000009313,1440436.039999999804422,1433942.200000000186265,11392856.070000000298023
FS( 98 ),1356722.550000000046566,1667696.279999999795109,1538957.510000000009313,1226578.100000000093132,1527265.000000000000000,1195969.639999999664724,1449569.119999999878928,1443873.679999999934807,11406631.879999997094274
FS( 99 ),1356722.550000000046566,1696495.599999999860302,1569031.849999999860302,1233303.199999999953434,1539609.319999999832362,1210207.369999999878928,1470401.599999999860302,1455763.479999999981374,11531534.969999998807907
FS( 100 ),1356404.449999999953434,1684749.439999999944121,1554536.560000000055879,1236201.949999999953434,1531604.800000000046566,1213493.000000000000000,1466250.199999999953434,1443314.160000000149012,11486554.559999998658895
FS( 101 ),1357676.850000000093132,1689348.839999999850988,1554942.969999999972060,1245825.800000000046566,1527747.199999999953434,1213127.929999999701977,1470099.679999999934807,1443873.679999999934807,11502642.949999999254942
FS( 102 ),1359426.400000000139698,1669182.239999999757856,1562664.760000000009313,1254985.850000000093132,1531701.239999999757856,1218969.049999999813735,1467155.959999999962747,1445692.119999999878928,11509777.619999999180436
FS( 103 ),1358472.100000000093132,1678310.279999999795109,1558871.599999999860302,1249536.199999999953434,1539898.639999999897555,1221889.609999999869615,1472666.000000000000000,1451706.960000000195578,11531351.390000000596046
FS( 104 ),1358631.150000000139698,1701731.839999999850988,1571605.780000000027940,1250695.699999999953434,1537101.879999999888241,1222984.819999999832362,1485044.719999999972060,1451567.080000000074506,11579362.970000000670552
FS( 105 ),1362925.500000000000000,1701519.559999999823049,1592468.159999999916181,1249188.350000000093132,1538548.479999999981374,1221159.469999999972060,1478628.919999999925494,1451007.560000000055879,11595446.000000001862645
FS( 106 ),1369446.550000000046566,1695858.759999999776483,1591655.340000000083819,1247912.900000000139698,1542791.839999999850988,1238317.760000000009313,1501423.879999999888241,1448070.080000000074506,11635477.110000001266599
FS( 107 ),1370082.750000000000000,1700599.679999999934807,1602357.469999999972060,1261131.199999999953434,1541248.800000000046566,1239778.039999999804422,1507839.679999999934807,1453385.520000000251457,11676423.139999998733401
FS( 108 ),1356881.600000000093132,1677036.599999999860302,1602628.409999999916181,1269015.800000000046566,1534401.559999999823049,1233936.919999999692664,1504518.560000000055879,1440936.200000000186265,11619355.649999998509884
FS( 109 ),1355609.200000000186265,1660195.719999999972060,1584746.370000000111759,1296264.050000000046566,1525914.839999999850988,1240873.250000000000000,1497498.919999999925494,1443314.160000000149012,11604416.509999999776483
FS( 110 ),1342567.100000000093132,1672154.159999999916181,1595448.500000000000000,1296380.000000000000000,1542116.760000000009313,1240873.250000000000000,1495913.839999999850988,1462617.600000000093132,11648071.209999999031425
FS( 111 ),1340022.300000000046566,1689631.879999999888241,1596125.849999999860302,1284553.100000000093132,1540284.399999999906868,1244889.019999999785796,1492743.679999999934807,1460799.160000000149012,11649049.389999998733401
FS( 112 ),1362925.500000000000000,1702439.439999999944121,1610350.200000000186265,1304728.399999999906868,1557836.479999999981374,1252920.559999999823049,1506556.520000000018626,1484858.520000000251457,11782615.620000001043081
FS( 113 ),1376603.800000000046566,1702368.679999999934807,1638392.489999999990687,1304380.550000000046566,1507687.679999999934807,1291252.909999999683350,1490630.239999999990687,1485697.800000000046566,11797014.150000000372529
FS( 114 ),1378035.250000000000000,1711921.279999999795109,1620645.919999999925494,1323976.100000000093132,1514149.159999999916181,1279935.739999999990687,1497121.520000000018626,1480382.360000000102445,11806167.329999998211861
FS( 115 ),1370878.000000000000000,1735272.079999999841675,1632160.870000000111759,1327106.750000000000000,1514149.159999999916181,1304395.429999999701977,1492592.719999999972060,1483879.360000000102445,11860434.369999999180436
FS( 116 ),1383602.000000000000000,1761948.599999999860302,1644217.700000000186265,1329193.849999999860302,1513377.639999999897555,1290887.839999999850988,1495989.320000000065193,1472968.719999999972060,11892185.669999999925494
FS( 117 ),1397598.400000000139698,1790818.679999999934807,1677543.320000000065193,1335687.050000000046566,1511063.080000000074506,1297824.169999999692664,1496064.799999999813735,1466394.360000000102445,11972993.859999999403954
FS( 118 ),1415571.050000000046566,1786431.559999999823049,1689871.090000000083819,1349021.300000000046566,1518296.080000000074506,1294173.469999999972060,1469344.879999999888241,1474507.399999999906868,11997216.830000000074506
FS( 119 ),1406505.200000000186265,1807659.559999999823049,1691361.260000000009313,1349369.150000000139698,1541923.879999999888241,1313887.250000000000000,1477647.679999999934807,1474507.399999999906868,12062861.380000000819564
FS( 120 ),1406346.150000000139698,1811763.639999999897555,1690548.440000000176951,1350528.649999999906868,1533726.479999999981374,1313157.109999999869615,1473571.760000000009313,1473108.600000000093132,12052750.830000000074506
FS( 121 ),1406028.050000000046566,1814664.799999999813735,1685671.520000000251457,1360036.550000000046566,1532569.199999999953434,1312792.039999999804422,1457117.119999999878928,1476605.600000000093132,12045484.879999998956919
FS( 122 ),1403006.099999999860302,1799592.919999999925494,1684181.349999999860302,1368153.050000000046566,1507012.599999999860302,1296363.889999999664724,1447455.679999999934807,1441076.080000000074506,11946841.669999998062849
FS( 123 ),1410640.500000000000000,1795205.799999999813735,1686755.280000000027940,1362703.399999999906868,1478948.559999999823049,1288697.419999999692664,1454626.279999999795109,1439957.040000000037253,11917534.279999997466803
FS( 124 ),1423364.500000000000000,1806385.879999999888241,1686890.750000000000000,1361891.750000000000000,1485699.360000000102445,1294173.469999999972060,1468137.199999999953434,1453245.640000000130385,11979788.550000000745058
FS( 125 ),1433702.750000000000000,1799239.119999999878928,1696509.120000000111759,1363862.900000000139698,1518874.719999999972060,1299649.519999999785796,1480289.479999999981374,1462897.360000000102445,12055024.970000000670552
FS( 126 ),1438792.349999999860302,1798814.559999999823049,1689464.679999999934807,1362471.500000000000000,1511063.080000000074506,1303300.219999999972060,1478402.479999999981374,1462897.360000000102445,12045206.230000000447035
