代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11560871.320000000298023
真實報酬,1560871.320000000298023

夏普值報酬,0.147387132000000
夏普值風險,0.049699496581661
夏普值,2.965565893767717

二次趨勢線,130.010593276581290 x^2 + -3668.415568414852714 x + 10000000.000000000000000
二次加權預期報酬,18780.080204008183500
風險,88458.070009716073400
二次加權趨勢值,0.212304883002143
一次趨勢線,8958.675064297109202 x + 10000000.000000000000000
一次預期報酬,8958.675064297109202
一次風險,259749.189636025956133
一次趨勢值,0.034489713237799
找到最佳解世代,1682
找到最佳解實驗#,1
找到最佳解次數,21

stock[index](rank)
投資組合檔數,7
DIS[6](7),MRK[17](2),NKE[19](1),PG[21](11),V[25](6),VZ[26](3),WMT[28](10),
FS( 59 ),1433027.640000000130385,1574083.939999999944121,1536701.800000000279397,1346523.959999999962747,1564781.199999999953434,1447336.179999999934807,1331232.480000000214204,10233690.200000001117587
FS( 60 ),1422164.580000000074506,1573019.859999999869615,1554795.400000000372529,1339081.639999999897555,1564899.849999999860302,1448825.479999999981374,1328666.719999999972060,10231456.529999999329448
FS( 61 ),1423418.010000000242144,1571955.780000000027940,1556303.200000000186265,1348883.719999999972060,1557662.199999999953434,1445251.160000000149012,1322412.679999999934807,10225889.750000000000000
FS( 62 ),1388461.239999999990687,1553600.399999999906868,1527655.000000000232831,1344164.199999999720603,1538796.849999999860302,1435719.640000000130385,1321450.520000000251457,10109850.849999999627471
FS( 63 ),1392500.070000000065193,1588715.039999999804422,1555872.400000000372529,1359411.879999999888241,1550068.599999999860302,1447634.040000000037253,1349032.440000000176951,10243237.469999998807907
FS( 64 ),1385397.300000000046566,1583660.659999999916181,1546610.200000000186265,1328190.439999999944121,1551017.800000000046566,1419933.060000000055879,1323695.560000000288710,10138508.019999999552965
FS( 65 ),1383865.330000000074506,1611060.719999999972060,1567288.600000000325963,1333273.000000000000000,1552560.250000000000000,1424103.100000000093132,1330911.760000000009313,10203065.759999999776483
FS( 66 ),1396121.090000000083819,1649899.639999999897555,1590336.400000000139698,1346523.959999999962747,1578900.549999999813735,1424400.959999999962747,1369879.240000000223517,10356064.839999999850988
FS( 67 ),1391942.989999999990687,1633140.379999999888241,1595075.200000000186265,1342712.039999999804422,1584714.400000000139698,1428868.859999999869615,1357050.440000000176951,10333507.310000000521541
FS( 68 ),1419379.180000000167638,1647505.459999999962747,1610153.200000000186265,1349609.799999999813735,1616987.199999999953434,1441974.699999999953434,1356088.280000000260770,10441700.820000000298023
FS( 69 ),1427178.300000000046566,1649101.579999999841675,1610368.600000000325963,1375204.119999999878928,1588036.600000000093132,1459846.299999999813735,1362342.320000000065193,10472080.820000000298023
FS( 70 ),1448208.070000000065193,1664796.759999999776483,1613384.200000000419095,1400979.959999999962747,1598715.100000000093132,1464909.919999999925494,1352881.080000000074506,10543878.089999999850988
FS( 71 ),1453361.060000000055879,1658146.259999999776483,1606706.800000000279397,1407333.159999999916181,1588867.149999999906868,1468484.239999999757856,1351918.920000000158325,10534820.589999999850988
FS( 72 ),1453082.520000000018626,1661072.479999999748543,1600244.800000000279397,1402069.079999999841675,1600138.900000000139698,1453889.100000000093132,1348711.719999999972060,10519211.600000001490116
FS( 73 ),1480657.980000000214204,1665062.780000000027940,1596367.600000000093132,1388092.039999999804422,1594681.000000000000000,1411890.839999999850988,1348551.360000000102445,10485306.599999999627471
FS( 74 ),1514639.860000000102445,1637662.719999999972060,1609076.200000000186265,1379379.079999999841675,1601800.000000000000000,1424400.959999999962747,1343740.560000000288710,10510702.380000000819564
FS( 75 ),1516032.560000000055879,1650165.659999999916181,1633631.800000000279397,1404610.359999999869615,1602986.500000000000000,1431549.600000000093132,1342297.320000000065193,10581276.799999998882413
FS( 76 ),1491103.230000000214204,1622499.579999999841675,1628677.600000000093132,1376656.280000000027940,1616037.999999999767169,1413678.000000000000000,1331072.120000000111759,10479727.810000002384186
FS( 77 ),1477733.310000000055879,1623563.659999999916181,1599598.600000000325963,1385550.759999999776483,1603105.150000000139698,1444655.439999999944121,1340854.080000000074506,10475064.000000000000000
FS( 78 ),1492356.660000000149012,1630214.159999999916181,1609507.000000000232831,1376837.799999999813735,1607732.500000000000000,1432443.179999999934807,1340854.080000000074506,10489948.380000000819564
FS( 79 ),1474808.640000000130385,1627553.959999999962747,1592705.800000000046566,1387547.479999999748543,1596223.449999999953434,1448527.620000000111759,1350475.679999999934807,10477845.629999998956919
FS( 80 ),1481075.790000000037253,1635268.539999999804422,1581720.400000000372529,1405517.959999999962747,1605715.450000000186265,1482185.799999999813735,1360257.639999999897555,10551744.580000001937151
FS( 81 ),1454753.760000000242144,1624893.759999999776483,1558457.199999999953434,1412052.679999999934807,1553509.450000000186265,1477420.040000000037253,1386717.040000000037253,10467806.929999999701977
FS( 82 ),1452107.630000000121072,1615317.039999999804422,1562980.600000000325963,1415864.599999999860302,1572730.750000000232831,1468484.239999999757856,1378859.400000000139698,10466347.259999999776483
FS( 83 ),1447929.530000000027940,1592971.359999999869615,1536917.199999999953434,1410237.479999999748543,1554577.300000000046566,1468782.100000000093132,1393452.160000000149012,10404870.129999998956919
FS( 84 ),1459210.400000000139698,1604144.199999999720603,1544456.200000000186265,1416772.199999999720603,1574985.100000000093132,1514950.399999999906868,1376935.080000000074506,10491456.580000000074506
FS( 85 ),1459767.480000000214204,1614785.000000000000000,1716345.400000000372529,1416953.719999999972060,1571544.249999999767169,1498568.100000000093132,1373567.520000000251457,10651534.470000000670552
FS( 86 ),1467009.520000000018626,1608400.519999999785796,1687697.199999999953434,1418224.359999999869615,1572137.500000000000000,1501844.560000000055879,1347108.120000000111759,10602424.780000001192093
FS( 87 ),1449043.690000000176951,1615051.019999999785796,1643109.400000000139698,1414049.399999999906868,1559679.249999999767169,1510184.640000000130385,1354163.959999999962747,10545284.359999999403954
FS( 88 ),1467148.790000000037253,1639790.879999999888241,1648925.200000000186265,1437828.519999999785796,1581510.849999999860302,1527460.520000000018626,1356248.639999999897555,10658916.400000000372529
FS( 89 ),1459349.670000000158325,1654688.000000000000000,1647417.400000000372529,1439643.719999999972060,1591002.850000000093132,1533417.719999999739230,1355286.480000000214204,10680808.839999999850988
FS( 90 ),1476619.150000000139698,1649899.639999999897555,1664649.400000000139698,1413323.319999999832362,1607969.800000000046566,1511376.080000000074506,1378057.600000000325963,10701897.990000000223517
FS( 91 ),1476758.420000000158325,1657348.199999999720603,1670896.000000000000000,1448901.239999999757856,1621851.849999999860302,1529247.679999999934807,1398583.679999999934807,10803590.069999998435378
FS( 92 ),1504751.690000000176951,1646707.399999999906868,1666372.600000000093132,1436920.919999999692664,1639174.750000000000000,1529247.679999999934807,1387679.200000000186265,10810857.239999998360872
FS( 93 ),1507676.360000000102445,1666924.919999999692664,1666588.000000000232831,1432019.879999999888241,1659938.500000000000000,1526269.080000000074506,1387518.840000000083819,10846938.580000000074506
FS( 94 ),1532048.610000000102445,1673043.379999999888241,1666803.400000000139698,1439643.719999999972060,1654243.299999999813735,1531332.699999999953434,1406441.320000000065193,10903559.429999999701977
FS( 95 ),1534834.010000000242144,1665062.780000000027940,1674773.200000000186265,1443637.159999999916181,1642852.900000000139698,1536694.179999999934807,1405479.160000000149012,10903336.390000000596046
FS( 96 ),1536226.709999999962747,1663466.659999999916181,1668742.000000000232831,1452713.159999999916181,1656853.599999999860302,1531928.419999999925494,1414298.959999999962747,10924232.510000001639128
FS( 97 ),1541658.239999999990687,1674373.479999999748543,1649786.800000000279397,1447086.039999999804422,1671803.500000000000000,1523290.479999999981374,1412374.639999999897555,10920376.179999999701977
FS( 98 ),1561713.120000000111759,1662934.619999999878928,1657541.200000000186265,1429115.559999999823049,1662667.449999999953434,1511673.939999999944121,1406762.040000000037253,10892410.929999999701977
FS( 99 ),1552660.570000000065193,1663200.639999999897555,1657756.600000000093132,1428207.959999999962747,1672871.350000000093132,1507801.759999999776483,1412214.280000000260770,10894716.160000000149012
FS( 100 ),1547229.040000000037253,1667722.979999999748543,1649786.800000000279397,1425122.119999999878928,1661480.949999999953434,1511673.939999999944121,1405318.800000000046566,10868337.630000000819564
FS( 101 ),1541797.510000000242144,1687142.439999999944121,1626954.400000000139698,1433835.079999999841675,1661480.949999999953434,1534311.299999999813735,1410610.679999999934807,10896135.359999999403954
FS( 102 ),1548482.470000000204891,1715606.579999999608845,1662064.600000000093132,1442548.039999999804422,1692448.599999999860302,1516439.699999999953434,1409648.520000000251457,10987241.509999999776483
FS( 103 ),1580932.380000000121072,1702837.620000000111759,1683389.200000000419095,1453802.280000000027940,1690787.500000000000000,1524481.919999999925494,1414940.400000000139698,11051174.300000000745058
FS( 104 ),1568537.350000000093132,1689004.579999999841675,1656248.800000000279397,1462696.759999999776483,1669549.150000000139698,1549204.299999999813735,1413336.800000000046566,11008580.740000002086163
FS( 105 ),1568676.620000000111759,1724119.219999999972060,1636216.600000000093132,1455799.000000000000000,1619360.199999999953434,1563501.580000000074506,1425363.800000000046566,10993040.019999999552965
FS( 106 ),1581628.730000000214204,1752317.340000000083819,1656679.600000000093132,1468142.359999999869615,1622445.100000000093132,1538183.479999999981374,1430976.400000000139698,11050376.009999999776483
FS( 107 ),1573411.800000000046566,1742208.579999999608845,1670249.800000000279397,1463967.399999999906868,1640361.250000000000000,1540864.219999999739230,1415100.760000000009313,11046166.810000000521541
FS( 108 ),1570347.860000000102445,1735026.039999999804422,1694159.200000000419095,1488472.599999999860302,1648310.799999999813735,1548310.719999999739230,1423439.480000000214204,11108069.699999999254942
FS( 109 ),1589010.040000000037253,1753913.459999999962747,1696097.800000000046566,1494462.759999999776483,1658989.299999999813735,1556948.660000000149012,1436909.719999999972060,11186334.740000000223517
FS( 110 ),1614774.989999999990687,1761628.039999999804422,1712683.600000000325963,1497911.639999999897555,1657684.150000000139698,1563203.719999999739230,1438032.240000000223517,11245921.380000000819564
FS( 111 ),1623409.730000000214204,1771204.759999999776483,1734654.400000000139698,1500089.879999999888241,1664447.199999999953434,1562608.000000000000000,1439635.840000000083819,11296052.810000000521541
FS( 112 ),1587478.070000000065193,1774130.979999999748543,1734008.200000000186265,1494825.799999999813735,1669193.200000000186265,1569756.640000000130385,1444125.920000000158325,11273521.810000000521541
FS( 113 ),1589984.930000000167638,1755775.599999999860302,1750378.600000000325963,1477581.399999999906868,1661243.649999999906868,1578990.299999999813735,1427448.480000000214204,11241405.960000000894070
FS( 114 ),1569372.970000000204891,1757637.739999999757856,1738962.400000000372529,1478125.959999999962747,1657921.449999999953434,1562905.859999999869615,1446210.600000000325963,11211139.980000000447035
FS( 115 ),1561573.850000000093132,1774929.039999999804422,1726469.200000000419095,1479759.639999999897555,1663616.650000000139698,1555459.359999999869615,1437551.160000000149012,11199361.900000000372529
FS( 116 ),1570347.860000000102445,1768012.519999999785796,1726253.800000000279397,1475947.719999999972060,1670142.399999999906868,1574820.259999999776483,1456954.719999999972060,11242482.279999999329448
FS( 117 ),1571740.560000000055879,1792220.340000000083819,1713976.000000000000000,1493918.199999999720603,1660175.799999999813735,1585841.080000000074506,1446852.040000000037253,11264727.019999999552965
FS( 118 ),1566587.570000000065193,1831591.299999999813735,1724315.200000000186265,1519149.479999999748543,1668837.250000000000000,1616520.660000000149012,1581875.160000000149012,11508879.620000001043081
FS( 119 ),1566587.570000000065193,1837177.719999999972060,1717853.200000000186265,1519149.479999999748543,1676905.450000000186265,1632009.379999999888241,1569206.719999999972060,11518892.520000001415610
FS( 120 ),1559763.340000000083819,1866705.939999999944121,1770195.400000000372529,1518241.879999999888241,1672278.099999999860302,1627839.339999999850988,1539540.120000000111759,11554567.120000001043081
FS( 121 ),1565334.140000000130385,1840103.939999999944121,1786781.200000000186265,1522961.399999999906868,1661599.599999999860302,1635583.699999999953434,1540823.000000000000000,11553189.979999998584390
FS( 122 ),1559066.989999999990687,1836645.679999999934807,1780103.800000000279397,1513703.879999999888241,1674651.099999999860302,1612648.479999999981374,1534248.240000000223517,11511071.169999999925494
FS( 123 ),1559902.610000000102445,1834783.539999999804422,1785919.600000000093132,1510981.079999999841675,1686041.500000000000000,1616818.520000000018626,1526390.600000000325963,11520840.449999999254942
FS( 124 ),1558927.720000000204891,1836645.679999999934807,1776011.200000000186265,1513159.319999999832362,1710957.999999999767169,1631711.520000000018626,1522702.320000000065193,11550118.759999999776483
FS( 125 ),1564498.520000000018626,1835315.579999999608845,1780319.200000000419095,1514611.479999999748543,1725196.000000000000000,1633796.540000000037253,1516127.560000000288710,11569867.880000000819564
FS( 126 ),1567980.270000000018626,1825738.859999999636784,1778811.400000000139698,1515337.559999999823049,1722822.999999999767169,1627839.339999999850988,1540662.639999999897555,11579196.070000000298023
FS( 127 ),1566169.760000000242144,1830527.219999999972060,1783334.800000000279397,1515519.079999999841675,1744535.949999999953434,1625456.459999999962747,1533767.160000000149012,11599313.429999999701977
FS( 128 ),1558788.450000000186265,1823344.679999999934807,1753394.200000000419095,1514066.919999999692664,1741095.100000000093132,1630817.939999999944121,1541143.719999999972060,11562654.009999999776483
FS( 129 ),1560181.150000000139698,1824674.780000000027940,1770626.200000000186265,1505717.000000000000000,1742874.849999999860302,1619499.259999999776483,1537295.080000000074506,11560871.320000000298023
