代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12856964.690000001341105
真實報酬,2856964.690000001341105

夏普值報酬,0.276996469000000
夏普值風險,0.083098829945810
夏普值,3.333337776002781

二次趨勢線,69.668945516910171 x^2 + 15622.204233294967707 x + 10000000.000000000000000
二次加權預期報酬,27558.816898525579745
風險,150942.856067685148446
二次加權趨勢值,0.182577815316863
一次趨勢線,22336.447200465463538 x + 10000000.000000000000000
一次預期報酬,22336.447200465463538
一次風險,198466.027466510742670
一次趨勢值,0.112545444102440
找到最佳解世代,2114
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
KO[14](4),MRK[17](8),MSFT[18](1),NKE[19](14),V[25](3),
FS( 28 ),2010573.290000000037253,2181817.549999999813735,1948419.720000000204891,2180014.899999999906868,2265787.559999999590218,10586613.019999999552965
FS( 29 ),1994306.689999999944121,2162566.280000000260770,1924293.459999999962747,2166284.950000000186265,2256577.099999999627471,10504028.480000000447035
FS( 30 ),1970720.120000000111759,2191799.689999999478459,1957571.060000000055879,2193744.850000000093132,2251313.980000000447035,10565149.699999999254942
FS( 31 ),1956893.510000000009313,2208911.929999999701977,1965058.520000000018626,2204423.700000000186265,2259208.660000000149012,10594496.320000000298023
FS( 32 ),1971533.449999999953434,2208911.929999999701977,1970882.100000000093132,2169336.050000000279397,2230261.500000000000000,10550925.030000001192093
FS( 33 ),1980480.080000000074506,2201781.830000000074506,1934276.739999999990687,2114416.250000000000000,2185524.980000000447035,10416479.880000000819564
FS( 34 ),1977226.760000000009313,2189660.660000000149012,1961730.759999999776483,2120518.450000000186265,2203945.900000000372529,10453082.530000001192093
FS( 35 ),2007319.969999999972060,2244562.429999999701977,1967554.339999999850988,2164759.399999999906868,2210524.799999999813735,10594720.939999997615814
FS( 36 ),2009759.960000000195578,2234580.290000000037253,1969218.220000000204891,2173912.700000000186265,2230261.500000000000000,10617732.670000001788139
FS( 37 ),2030093.210000000195578,2321567.509999999776483,2030781.780000000027940,2122044.000000000000000,2269734.900000000372529,10774221.400000000372529
FS( 38 ),1995120.020000000018626,2317289.450000000186265,2049916.400000000139698,2135773.950000000186265,2235524.620000000111759,10733624.440000001341105
FS( 39 ),1982106.740000000223517,2349374.900000000372529,2049916.400000000139698,2103737.399999999906868,2269734.900000000372529,10754870.340000001713634
FS( 40 ),2000000.000000000000000,2330123.629999999888241,2042428.939999999944121,2114416.250000000000000,2309208.299999999813735,10796177.120000001043081
FS( 41 ),2010573.290000000037253,2343670.819999999366701,2054076.100000000093132,2167810.500000000465661,2293418.940000000409782,10869549.649999998509884
FS( 42 ),1995120.020000000018626,2304455.269999999552965,2053244.159999999916181,2143401.700000000186265,2319734.540000000037253,10815955.689999997615814
FS( 43 ),1983733.400000000139698,2312298.379999999888241,2050748.339999999850988,2112890.700000000186265,2338155.459999999962747,10797826.280000001192093
FS( 44 ),1973973.439999999944121,2266665.740000000223517,1996672.239999999990687,2073226.400000000139698,2309208.299999999813735,10619746.120000001043081
FS( 45 ),2025213.229999999981374,2196790.759999999776483,1985025.079999999841675,2033562.100000000093132,2305260.959999999962747,10545852.129999998956919
FS( 46 ),2016266.599999999860302,2156149.189999999478459,2005823.579999999841675,2048817.600000000093132,2332892.339999999850988,10559949.309999998658895
FS( 47 ),2031719.870000000111759,2188947.649999999441206,2048252.520000000018626,2068649.750000000232831,2314471.419999999925494,10652041.209999999031425
FS( 48 ),2050426.460000000195578,2208198.919999999925494,2064891.320000000065193,2106788.500000000465661,2334208.120000000111759,10764513.320000000298023
FS( 49 ),2059373.090000000083819,2249553.500000000000000,2061563.560000000055879,2111365.150000000372529,2318418.760000000707805,10800274.060000002384186
FS( 50 ),2056933.099999999860302,2278786.910000000149012,2079866.239999999990687,2114416.250000000000000,2378944.639999999664724,10908947.140000000596046
FS( 51 ),2095159.610000000102445,2320141.490000000223517,2068219.079999999841675,2097635.200000000186265,2377628.860000000335276,10958784.240000002086163
FS( 52 ),2121186.169999999925494,2345096.839999999850988,2079866.239999999990687,2094584.100000000325963,2397365.559999999590218,11038098.910000000149012
FS( 53 ),2133386.120000000111759,2331549.650000000372529,2096505.040000000037253,2085430.800000000279397,2407891.799999999813735,11054763.410000000149012
FS( 54 ),2142332.750000000000000,2293760.120000000111759,2096505.040000000037253,2181540.450000000186265,2436838.959999999962747,11150977.320000000298023
FS( 55 ),2172425.959999999962747,2282351.959999999962747,2104824.440000000409782,2215102.550000000279397,2427628.500000000000000,11202333.410000000149012
FS( 56 ),2186252.570000000298023,2273082.830000000074506,2101496.679999999701977,2234934.700000000186265,2427628.500000000000000,11223395.280000001192093
FS( 57 ),2155346.030000000260770,2268804.769999999552965,2104824.440000000409782,2233409.150000000372529,2414470.700000000186265,11176855.089999999850988
FS( 58 ),2149652.719999999739230,2233867.280000000260770,2143925.620000000111759,2233409.150000000372529,2447365.200000000186265,11208219.969999998807907
FS( 59 ),2138266.099999999627471,2233867.280000000260770,2138933.980000000447035,2224255.850000000093132,2431575.839999999850988,11166899.050000000745058
FS( 60 ),2128506.140000000596046,2211050.959999999962747,2158068.600000000558794,2218153.649999999906868,2418418.040000000037253,11134197.390000000596046
FS( 61 ),2154532.700000000186265,2228163.200000000186265,2125622.940000000409782,2236460.250000000000000,2324997.660000000149012,11069776.750000000000000
FS( 62 ),2161039.339999999850988,2283777.980000000447035,2148917.259999999776483,2250190.200000000186265,2340787.020000000484288,11184711.800000000745058
FS( 63 ),2168359.309999999590218,2270943.799999999813735,2142261.740000000223517,2291380.050000000279397,2288155.820000000298023,11161100.720000000670552
FS( 64 ),2183812.580000000074506,2255257.580000000074506,2139765.919999999925494,2468343.850000000093132,2273682.240000000223517,11320862.169999999925494
FS( 65 ),2160226.009999999776483,2223172.129999999888241,2069882.959999999962747,2384438.600000000093132,2273682.240000000223517,11111401.939999999478459
FS( 66 ),2191132.549999999813735,2256683.599999999627471,2076538.479999999981374,2366132.000000000000000,2230261.500000000000000,11120748.129999998956919
FS( 67 ),2187879.229999999515712,2265239.719999999739230,2049916.400000000139698,2395117.450000000186265,2242103.520000000484288,11140256.320000000298023
FS( 68 ),2209025.809999999590218,2318002.459999999962747,2089017.579999999841675,2405796.300000000279397,2246050.860000000335276,11267893.010000001639128
FS( 69 ),2229359.059999999590218,2295186.139999999664724,2088185.640000000130385,2419526.250000000000000,2331576.559999999590218,11363833.649999998509884
FS( 70 ),2220412.429999999701977,2312298.379999999888241,2135606.219999999739230,2442409.500000000465661,2359207.940000000409782,11469934.469999998807907
FS( 71 ),2222852.419999999925494,2321567.509999999776483,2125622.940000000409782,2425628.450000000186265,2399997.120000000111759,11495668.440000001341105
FS( 72 ),2228545.729999999515712,2342957.809999999590218,2139765.919999999925494,2411898.500000000465661,2424996.940000000409782,11548164.899999998509884
FS( 73 ),2228545.729999999515712,2311585.370000000111759,2147253.379999999888241,2428679.550000000279397,2456575.660000000149012,11572639.689999999478459
FS( 74 ),2230172.390000000596046,2345809.849999999627471,2159732.480000000447035,2475971.600000000093132,2460523.000000000000000,11672209.320000000298023
FS( 75 ),2233425.709999999962747,2374330.250000000000000,2222127.980000000447035,2477497.149999999906868,2469733.459999999962747,11777114.550000000745058
FS( 76 ),2237492.360000000335276,2367913.160000000149012,2204657.240000000223517,2482073.800000000279397,2443417.860000000335276,11735554.420000001788139
FS( 77 ),2228545.729999999515712,2404989.679999999701977,2193010.080000000074506,2520212.550000000279397,2465786.120000000111759,11812544.160000000149012
FS( 78 ),2199265.849999999627471,2404276.669999999925494,2193842.020000000484288,2482073.800000000279397,2468417.680000000633299,11747876.019999999552965
FS( 79 ),2199265.849999999627471,2330123.629999999888241,2211312.759999999776483,2469869.400000000372529,2473680.799999999813735,11684252.440000001341105
FS( 80 ),2202519.169999999925494,2343670.819999999366701,2212144.700000000186265,2486650.450000000186265,2489470.160000000149012,11734455.300000000745058
FS( 81 ),2165105.990000000223517,2312298.379999999888241,2331112.120000000111759,2446986.149999999906868,2438154.740000000223517,11693657.380000000819564
FS( 82 ),2165105.990000000223517,2283064.969999999739230,2386020.160000000149012,2431730.649999999906868,2394734.000000000000000,11660655.769999999552965
FS( 83 ),2174052.620000000111759,2312298.379999999888241,2378532.700000000186265,2443935.050000000279397,2431575.839999999850988,11740394.589999999850988
FS( 84 ),2176492.610000000335276,2285204.000000000000000,2331112.120000000111759,2385964.150000000372529,2518417.320000000298023,11697190.200000001117587
FS( 85 ),2200079.179999999701977,2232441.259999999776483,2347750.919999999925494,2430205.100000000093132,2542101.360000000335276,11752577.820000000298023
FS( 86 ),2168359.309999999590218,2205346.879999999888241,2306985.860000000335276,2372234.200000000186265,2492101.720000000670552,11545027.970000000670552
FS( 87 ),2184625.910000000149012,2228876.209999999962747,2319464.959999999962747,2384438.600000000093132,2542101.360000000335276,11659507.039999999105930
FS( 88 ),2160226.009999999776483,2186808.620000000111759,2290347.060000000521541,2390540.800000000279397,2553943.379999999888241,11581865.870000001043081
FS( 89 ),2175679.280000000260770,2327271.589999999850988,2334439.879999999888241,2392066.350000000093132,2576311.639999999664724,11805768.739999998360872
FS( 90 ),2212279.129999999888241,2332262.660000000149012,2368549.419999999925494,2469869.400000000372529,2618416.599999999627471,12001377.209999999031425
FS( 91 ),2216345.780000000260770,2323706.540000000037253,2372709.120000000111759,2462241.650000000372529,2621048.160000000149012,11996051.250000000000000
FS( 92 ),2256198.950000000186265,2383599.379999999888241,2411810.299999999813735,2491227.100000000093132,2669732.020000000484288,12212567.750000000000000
FS( 93 ),2270025.559999999590218,2396433.559999999590218,2413474.179999999701977,2459190.550000000279397,2667100.459999999962747,12206224.309999998658895
FS( 94 ),2283038.839999999850988,2368626.169999999925494,2422625.520000000484288,2475971.600000000093132,2657890.000000000000000,12208152.130000000819564
FS( 95 ),2274905.540000000037253,2351513.929999999701977,2442592.080000000074506,2443935.050000000279397,2628942.839999999850988,12141889.439999999478459
FS( 96 ),2296052.120000000111759,2360070.049999999813735,2465054.459999999962747,2457665.000000000000000,2631574.400000000372529,12210416.029999999329448
FS( 97 ),2307438.740000000223517,2410693.759999999776483,2457567.000000000000000,2520212.550000000279397,2617100.820000000298023,12313012.870000001043081
FS( 98 ),2313132.049999999813735,2444918.240000000223517,2495836.240000000223517,2477497.149999999906868,2649995.320000000298023,12381379.000000000000000
FS( 99 ),2300932.099999999627471,2505524.089999999850988,2504987.580000000074506,2457665.000000000000000,2644732.200000000186265,12413840.969999998807907
FS( 100 ),2313132.049999999813735,2519071.280000000260770,2477533.560000000521541,2424102.900000000372529,2638153.299999999813735,12371993.089999999850988
FS( 101 ),2337531.950000000186265,2599641.410000000149012,2464222.520000000484288,2437832.850000000093132,2631574.400000000372529,12470803.130000000819564
FS( 102 ),2368438.490000000223517,2596789.370000000111759,2490844.600000000558794,2459190.550000000279397,2646047.980000000447035,12561310.990000002086163
FS( 103 ),2366811.830000000074506,2582529.169999999925494,2488348.780000000260770,2460716.100000000093132,2652626.879999999888241,12551032.760000001639128
FS( 104 ),2363558.509999999776483,2607484.519999999552965,2478365.500000000000000,2506482.600000000093132,2690784.500000000000000,12646675.629999998956919
FS( 105 ),2325332.000000000000000,2587520.240000000223517,2430944.919999999925494,2480548.250000000465661,2642100.639999999664724,12466446.050000000745058
FS( 106 ),2326145.330000000074506,2581816.160000000149012,2446751.780000000260770,2474446.049999999813735,2664468.900000000372529,12493628.220000000670552
FS( 107 ),2361931.849999999627471,2629587.830000000074506,2496668.179999999701977,2494278.200000000186265,2728942.120000000111759,12711408.179999999701977
FS( 108 ),2357051.870000000111759,2623883.750000000000000,2477533.560000000521541,2492752.650000000372529,2705258.080000000074506,12656479.910000002011657
FS( 109 ),2329398.650000000372529,2621744.719999999739230,2481693.259999999776483,2466818.300000000279397,2632890.180000000633299,12532545.109999999403954
FS( 110 ),2338345.280000000260770,2616753.650000000372529,2494172.360000000335276,2453088.350000000093132,2640784.860000000335276,12543144.500000000000000
FS( 111 ),2353798.549999999813735,2616753.650000000372529,2478365.500000000000000,2462241.650000000372529,2628942.839999999850988,12540102.190000001341105
FS( 112 ),2345665.250000000000000,2591798.299999999813735,2460062.820000000298023,2422577.350000000093132,2631574.400000000372529,12451678.120000001043081
FS( 113 ),2352171.890000000596046,2648839.099999999627471,2471709.980000000447035,2363080.900000000372529,2689468.720000000670552,12525270.590000001713634
FS( 114 ),2382265.099999999627471,2676646.490000000223517,2485021.020000000484288,2392066.350000000093132,2707889.639999999664724,12643888.600000001490116
FS( 115 ),2404225.009999999776483,2643135.019999999552965,2483357.139999999664724,2436307.300000000279397,2676310.919999999925494,12643335.389999998733401
FS( 116 ),2400971.690000000409782,2693045.719999999739230,2504987.580000000074506,2446986.149999999906868,2788152.220000000670552,12834143.360000001266599
FS( 117 ),2401785.020000000484288,2709444.950000000186265,2497500.120000000111759,2454613.900000000372529,2834204.520000000484288,12897548.510000001639128
FS( 118 ),2375758.459999999962747,2691619.700000000186265,2504155.639999999664724,2442409.500000000465661,2863151.680000000633299,12877094.980000000447035
FS( 119 ),2317198.700000000186265,2658108.230000000447035,2462558.639999999664724,2411898.500000000465661,2863151.680000000633299,12712915.750000000000000
FS( 120 ),2314758.709999999962747,2666664.349999999627471,2525786.080000000074506,2457665.000000000000000,2926309.120000000111759,12891183.260000001639128
FS( 121 ),2325332.000000000000000,2687341.639999999664724,2539097.120000000111759,2474446.049999999813735,2878941.040000000037253,12905157.849999997764826
FS( 122 ),2329398.650000000372529,2691619.700000000186265,2564055.320000000298023,2482073.800000000279397,2839467.639999999664724,12906615.109999999403954
FS( 123 ),2330211.979999999515712,2655969.200000000186265,2572374.719999999739230,2495803.750000000000000,2834204.520000000484288,12888564.169999998062849
FS( 124 ),2335905.290000000037253,2637430.940000000409782,2579030.240000000223517,2488176.000000000000000,2838151.860000000335276,12878694.330000001937151
FS( 125 ),2335905.290000000037253,2658821.240000000223517,2593173.219999999739230,2498854.850000000093132,2853941.220000000670552,12940695.820000000298023
FS( 126 ),2348105.240000000223517,2645274.049999999813735,2611475.900000000372529,2524789.200000000186265,2896046.180000000633299,13025690.570000000298023
FS( 127 ),2345665.250000000000000,2642422.009999999776483,2575702.480000000447035,2523263.649999999906868,2899993.520000000484288,12987046.910000000149012
FS( 128 ),2318012.030000000260770,2605345.490000000223517,2535769.360000000335276,2520212.550000000279397,2877625.260000000707805,12856964.690000001341105
