代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11575692.789999999105930
真實報酬,1575692.789999999105930

夏普值報酬,0.148869279000000
夏普值風險,0.051937313910492
夏普值,2.866326111060684

二次趨勢線,30.656047579587934 x^2 + 10262.482894148484775 x + 10000000.000000000000000
二次加權預期報酬,15392.261522466200404
風險,235805.690603337308858
二次加權趨勢值,0.065275191124876
一次趨勢線,13147.937571709349868 x + 10000000.000000000000000
一次預期報酬,13147.937571709349868
一次風險,241929.285656936728628
一次趨勢值,0.054346200940524
找到最佳解世代,2362
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
INTC[11](8),NKE[19](1),V[25](2),
FS( 27 ),3041622.100000000093132,3280832.000000000000000,3314412.149999999441206,9636867.250000000000000
FS( 28 ),3127000.900000000372529,3438334.999999999534339,3386020.289999999571592,9951357.189999999478459
FS( 29 ),3189612.020000000018626,3464060.489999999757856,3448604.639999999664724,10102278.149999998509884
FS( 30 ),3163286.890000000130385,3458285.379999999888241,3445111.559999999590218,10066684.829999998211861
FS( 31 ),3228743.970000000204891,3568012.469999999273568,3517301.879999999422580,10314059.319999998435378
FS( 32 ),3267164.430000000167638,3585337.800000000279397,3559509.929999999701977,10412013.160000000149012
FS( 33 ),3241550.790000000037253,3585862.809999999590218,3546993.059999999590218,10374407.660000000149012
FS( 34 ),3295624.030000000260770,3543336.999999999534339,3551650.500000000000000,10390612.529999999329448
FS( 35 ),3268587.410000000149012,3520236.559999999590218,3505658.279999999795109,10294483.250000000000000
FS( 36 ),3258626.549999999813735,3524436.639999999664724,3504202.829999999608845,10287267.019999999552965
FS( 37 ),3395944.119999999646097,3578512.669999999459833,3578430.779999999795109,10552888.569999998435378
FS( 38 ),3494129.740000000223517,3656739.160000000149012,3626751.719999999739230,10777621.620000001043081
FS( 39 ),3551048.939999999944121,3571687.540000000037253,3591238.739999999757856,10713976.220000000670552
FS( 40 ),3506936.560000000055879,3519186.540000000037253,3578721.869999999646097,10604845.969999998807907
FS( 41 ),3403770.510000000242144,3481910.829999999608845,3504785.009999999776483,10390467.349999999627471
FS( 42 ),3484880.369999999646097,3459335.399999999906868,3515555.339999999385327,10459772.109999999403954
FS( 43 ),3539665.100000000093132,3415234.559999999590218,3547866.329999999608845,10502766.990000000223517
FS( 44 ),3607968.140000000130385,3425209.749999999534339,3523996.949999999720603,10557175.839999999850988
FS( 45 ),3651369.030000000260770,3369033.679999999701977,3546993.059999999590218,10567396.769999999552965
FS( 46 ),3610102.610000000335276,3418384.619999999646097,3557763.389999999664724,10586251.620000001043081
FS( 47 ),3713268.660000000149012,3480860.809999999590218,3624423.000000000000000,10818553.469999998807907
FS( 48 ),3665598.830000000540167,3508161.329999999608845,3616563.569999999366701,10790324.730000000447035
FS( 49 ),3684097.570000000298023,3474035.679999999701977,3586290.209999999962747,10744424.460000000894070
FS( 50 ),3689789.490000000223517,3475610.709999999962747,3568242.629999999422580,10733643.830000000074506
FS( 51 ),3620063.470000000204891,3485585.899999999906868,3592403.099999999627471,10698053.469999998807907
FS( 52 ),3640696.680000000167638,3460385.419999999459833,3625005.179999999701977,10726088.279999999329448
FS( 53 ),3616506.020000000018626,3449885.219999999273568,3586581.299999999348074,10652973.539999999105930
FS( 54 ),3667733.299999999813735,3507111.309999999590218,3636066.599999999627471,10810912.209999999031425
FS( 55 ),3668444.790000000037253,3483485.859999999403954,3586872.389999999664724,10738804.039999999105930
FS( 56 ),3616506.020000000018626,3382158.929999999701977,3492850.319999999366701,10491516.269999999552965
FS( 57 ),3511916.990000000223517,3393184.139999999664724,3405814.409999999683350,10310916.539999999105930
FS( 58 ),3733901.869999999646097,3459860.410000000149012,3511771.169999999925494,10705534.449999999254942
FS( 59 ),3642119.660000000149012,3474035.679999999701977,3417458.009999999776483,10533614.349999999627471
FS( 60 ),3528992.750000000000000,3435709.949999999720603,3405523.319999999366701,10370227.019999999552965
FS( 61 ),3705442.270000000018626,3488210.949999999720603,3482079.989999999757856,10675734.209999999031425
FS( 62 ),3480611.430000000167638,3366408.629999999888241,3446275.919999999925494,10293296.980000000447035
FS( 63 ),3539665.100000000093132,3501861.209999999962747,3469854.209999999962747,10511381.519999999552965
FS( 64 ),3556740.860000000335276,3592162.929999999701977,3487610.699999999720603,10636515.490000000223517
FS( 65 ),3584488.970000000204891,3653589.100000000093132,3527781.119999999646097,10765860.189999999478459
FS( 66 ),3471362.060000000055879,3546487.059999999590218,3426190.709999999962747,10444040.829999998211861
FS( 67 ),3525435.299999999813735,3527061.689999999944121,3457919.520000000018626,10510417.509999999776483
FS( 68 ),3647811.580000000540167,3517611.509999999776483,3514099.889999999664724,10679523.980000000447035
FS( 69 ),3635716.250000000000000,3508686.339999999850988,3486737.429999999701977,10631141.019999999552965
FS( 70 ),3750977.629999999888241,3558037.279999999795109,3524288.039999999571592,10833303.949999999254942
FS( 71 ),3689789.490000000223517,3530736.759999999776483,3514973.159999999683350,10735500.410000000149012
FS( 72 ),3728209.950000000186265,3520761.569999999832362,3547866.329999999608845,10796838.849999999627471
FS( 73 ),3809319.810000000055879,3544387.020000000018626,3603755.609999999403954,10957463.439999999478459
FS( 74 ),3814300.240000000223517,3475610.709999999962747,3603755.609999999403954,10893667.559999998658895
FS( 75 ),3715403.129999999888241,3450935.239999999757856,3608413.049999999348074,10774752.419999998062849
FS( 76 ),3666310.320000000298023,3469835.600000000093132,3615399.209999999962747,10751546.129999998956919
FS( 77 ),3635716.250000000000000,3511311.389999999664724,3622967.549999999348074,10769996.189999999478459
FS( 78 ),3660618.400000000372529,3516036.479999999515712,3530109.839999999385327,10706765.719999998807907
FS( 79 ),3655637.970000000204891,3500286.179999999701977,3528363.299999999348074,10684288.449999999254942
FS( 80 ),3774456.799999999813735,3572737.559999999590218,3699233.129999999422580,11046428.489999998360872
FS( 81 ),3751689.119999999646097,3652014.069999999832362,3668086.500000000000000,11071790.689999999478459
FS( 82 ),3672713.729999999981374,3590587.899999999906868,3693411.329999999608845,10956713.959999999031425
FS( 83 ),3794378.520000000018626,3575362.609999999403954,3711750.000000000000000,11081492.129999998956919
FS( 84 ),3721806.540000000037253,3583762.770000000018626,3678856.829999999608845,10984427.140000000596046
FS( 85 ),3719672.070000000298023,3512361.410000000149012,3702144.029999999795109,10934178.509999999776483
FS( 86 ),3755246.570000000298023,3575362.609999999403954,3730670.849999999627471,11061281.029999999329448
FS( 87 ),3794378.520000000018626,3640463.850000000093132,3762690.749999999534339,11197534.119999999180436
FS( 88 ),3815723.220000000204891,3594262.969999999273568,3781320.509999999776483,11191307.699999999254942
FS( 89 ),3866239.010000000242144,3567487.459999999962747,3808682.969999999739230,11242410.440000001341105
FS( 90 ),3911774.369999999646097,3565912.429999999701977,3808682.969999999739230,11286370.769999999552965
FS( 91 ),3889718.180000000167638,3592687.939999999944121,3837209.789999999571592,11319616.910000000149012
FS( 92 ),3906082.450000000186265,3614213.350000000093132,3819453.299999999813735,11339750.100000001490116
FS( 93 ),3836356.430000000167638,3648864.009999999776483,3816251.309999999590218,11301472.750000000000000
FS( 94 ),3887583.709999999962747,3745465.850000000093132,3810138.419999999459833,11443188.980000000447035
FS( 95 ),3899679.040000000037253,3724465.449999999720603,3782193.779999999795109,11406339.269999999552965
FS( 96 ),3899679.040000000037253,3744415.829999999608845,3782193.779999999795109,11426289.649999998509884
FS( 97 ),3864816.030000000260770,3747565.889999999664724,3803443.349999999627471,11415826.269999999552965
FS( 98 ),3874065.400000000372529,3743890.819999999832362,3804898.799999999813735,11422856.019999999552965
FS( 99 ),3928138.640000000130385,3745465.850000000093132,3838956.329999999608845,11512561.820000000298023
FS( 100 ),3895410.100000000093132,3789566.689999999944121,3839247.419999999459833,11524225.209999999031425
FS( 101 ),3944502.910000000149012,3793241.759999999776483,3821490.929999999701977,11559236.599999999627471
FS( 102 ),3935965.030000000260770,3723415.429999999701977,3775207.619999999646097,11434589.080000000074506
FS( 103 ),3961578.669999999925494,3792191.739999999757856,3802861.169999999459833,11556632.580000000074506
FS( 104 ),3927427.150000000372529,3769616.309999999590218,3805189.889999999664724,11502234.349999999627471
FS( 105 ),4061187.270000000018626,3820017.270000000018626,3808974.059999999590218,11690179.599999999627471
FS( 106 ),4043400.020000000018626,3876193.339999999850988,3873596.039999999571592,11793190.399999998509884
FS( 107 ),4022055.320000000298023,3887743.559999999590218,3887859.449999999720603,11797659.330000000074506
FS( 108 ),4057629.820000000298023,3924494.259999999776483,3967035.929999999701977,11949161.009999999776483
FS( 109 ),3975808.470000000204891,3925019.270000000018626,3896009.969999999739230,11796838.710000000894070
FS( 110 ),3916754.799999999813735,3932369.410000000149012,3922208.069999999832362,11771333.279999999329448
FS( 111 ),3879045.830000000540167,3916094.100000000093132,3898047.599999999627471,11693188.530000001192093
FS( 112 ),3900390.530000000260770,3900343.800000000279397,3925701.149999999906868,11726436.480000000447035
FS( 113 ),3915331.820000000298023,3890893.619999999646097,3912311.009999999776483,11718537.449999999254942
FS( 114 ),3951617.810000000055879,3921869.209999999962747,3929776.409999999683350,11803264.429999999701977
FS( 115 ),3921023.740000000223517,3981720.350000000093132,3932687.309999999590218,11835432.399999998509884
FS( 116 ),3786552.129999999888241,3969645.119999999646097,3964707.209999999497086,11720905.459999999031425
FS( 117 ),3765918.919999999925494,3898768.770000000018626,3932978.399999999906868,11597667.089999999850988
FS( 118 ),3765918.919999999925494,3922919.229999999515712,3944330.909999999683350,11633170.059999998658895
FS( 119 ),3713268.660000000149012,3881968.449999999720603,3916095.179999999701977,11511333.289999999105930
FS( 120 ),3735324.850000000093132,3855192.939999999944121,3939382.379999999888241,11529901.169999999925494
FS( 121 ),3607968.140000000130385,3798491.859999999403954,3811302.779999999795109,11217763.779999999329448
FS( 122 ),3533973.180000000167638,3809517.069999999832362,3858459.359999999869615,11201950.609999999403954
FS( 123 ),3469227.589999999850988,3745990.859999999403954,3813922.589999999850988,11029142.039999999105930
FS( 124 ),3504090.600000000093132,3764366.209999999962747,3863990.069999999832362,11132447.880000000819564
FS( 125 ),3536819.140000000130385,4183324.189999999944121,3855548.459999999497086,11575692.789999999105930
