代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13856310.990000000223517
真實報酬,3856310.990000000223517

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14968.137823041932279
風險,213180.509568114444846
起點值,0.070213444246691
找到最佳解世代,1836
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
INTC[11](7),MRK[17](28),MSFT[18](1),NKE[19](3),V[25](2),
FS( 30 ),2261041.680000000167638,1986213.480000000214204,2096020.399999999906868,1910795.219999999972060,2091625.239999999757856,10345696.019999999552965
FS( 31 ),2266171.319999999832362,1984646.830000000307336,2100348.080000000074506,1925412.810000000055879,2084695.599999999860302,10361274.640000000596046
FS( 32 ),2267881.199999999720603,1980886.870000000111759,2098725.200000000186265,1949025.840000000083819,2070066.360000000102445,10366585.470000000670552
FS( 33 ),2294099.359999999869615,1989973.439999999944121,2099266.160000000149012,1960270.139999999897555,2075071.099999999860302,10418680.199999999254942
FS( 34 ),2284980.000000000000000,1997493.360000000102445,2107380.559999999590218,1974887.729999999981374,2060056.879999999888241,10424798.530000001192093
FS( 35 ),2304358.639999999664724,2001566.650000000139698,2131723.759999999776483,1988755.700000000186265,2070258.849999999860302,10496663.599999999627471
FS( 36 ),2327157.039999999571592,1986526.810000000055879,2132264.719999999739230,2011244.300000000046566,2069873.869999999878928,10527066.739999998360872
FS( 37 ),2333996.560000000055879,1977440.239999999990687,2133076.160000000149012,2002248.860000000102445,2086812.989999999757856,10533574.810000000521541
FS( 38 ),2324307.239999999757856,1956760.460000000195578,2126855.120000000111759,2059219.979999999981374,2107601.909999999683350,10574744.710000000894070
FS( 39 ),2356794.959999999962747,1942347.280000000260770,2130371.360000000335276,2129309.450000000186265,2113569.099999999627471,10672392.150000000372529
FS( 40 ),2530632.759999999776483,1824848.530000000260770,2266963.759999999776483,2097450.600000000558794,2111836.689999999944121,10831732.339999999850988
FS( 41 ),2528922.879999999888241,1714243.040000000037253,2269127.600000000558794,2071588.710000000195578,2118188.859999999869615,10702071.089999999850988
FS( 42 ),2592758.399999999906868,1726149.580000000307336,2249923.520000000484288,2061094.030000000260770,2117033.919999999925494,10746959.450000001117587
FS( 43 ),2662293.520000000018626,1733982.830000000307336,2249923.520000000484288,2064092.510000000009313,2138015.329999999608845,10848307.710000000894070
FS( 44 ),2684521.959999999962747,1734922.820000000065193,2273455.280000000260770,2065966.560000000055879,2136282.919999999925494,10895149.540000000968575
FS( 45 ),2641205.000000000000000,1756542.590000000083819,2275889.600000000558794,2088080.350000000093132,2143597.540000000037253,10905315.080000001937151
FS( 46 ),2661723.560000000055879,1750902.650000000139698,2284815.440000000409782,2100449.080000000074506,2154376.979999999981374,10952267.710000000894070
FS( 47 ),2666283.239999999757856,1741816.080000000307336,2279405.839999999850988,2067090.989999999990687,2157649.310000000055879,10912245.460000000894070
FS( 48 ),2661723.560000000055879,1772835.750000000000000,2287249.759999999776483,2089954.399999999906868,2164963.929999999701977,10976727.400000000372529
FS( 49 ),2638925.159999999683350,1761242.540000000037253,2274537.200000000186265,2103822.370000000111759,2158611.759999999776483,10937139.029999999329448
FS( 50 ),2597888.039999999571592,1738369.449999999953434,2268586.640000000596046,2102323.129999999888241,2153607.020000000018626,10860774.279999999329448
FS( 51 ),2607577.359999999869615,1726462.910000000149012,2270209.520000000484288,2095576.550000000046566,2144367.500000000000000,10844193.839999999850988
FS( 52 ),2613846.919999999925494,1723016.280000000260770,2273455.280000000260770,2098200.219999999739230,2155531.919999999925494,10864050.619999999180436
FS( 53 ),2591048.520000000018626,1717063.010000000009313,2244513.919999999925494,2122562.870000000111759,2122231.149999999906868,10797419.470000000670552
FS( 54 ),2601877.759999999776483,1728656.220000000204891,2250464.480000000447035,2145051.469999999739230,2137052.879999999888241,10863102.809999998658895
FS( 55 ),2543741.839999999850988,1729596.210000000195578,2228826.080000000074506,2218514.230000000447035,2113954.079999999608845,10834632.439999999478459
FS( 56 ),2543171.879999999888241,1695129.910000000149012,2232342.320000000298023,2220763.089999999850988,2116456.450000000186265,10807863.649999998509884
FS( 57 ),2561410.599999999627471,1700456.520000000251457,2264529.440000000409782,2226010.429999999701977,2145329.950000000186265,10897736.940000001341105
FS( 58 ),2544881.759999999776483,1703589.820000000065193,2248030.160000000149012,2214016.509999999776483,2133203.079999999608845,10843721.330000000074506
FS( 59 ),2550581.359999999869615,1702963.160000000149012,2252087.360000000335276,2223386.759999999776483,2155339.429999999701977,10884358.070000000298023
FS( 60 ),2535762.399999999906868,1709229.760000000009313,2268586.640000000596046,2235005.870000000111759,2163231.520000000018626,10911816.190000001341105
FS( 61 ),2549441.439999999478459,1721136.300000000046566,2295905.120000000111759,2233131.820000000298023,2182095.540000000037253,10981710.219999998807907
FS( 62 ),2504984.560000000055879,1734609.489999999990687,2254251.200000000186265,2262367.000000000000000,2114724.040000000037253,10870936.289999999105930
FS( 63 ),2555711.000000000000000,1731789.520000000251457,2276701.040000000037253,2264615.860000000335276,2167273.810000000055879,10996091.230000002309680
FS( 64 ),2546591.639999999664724,1750589.320000000065193,2279135.360000000335276,2244376.120000000111759,2131470.669999999925494,10952163.110000001266599
FS( 65 ),2535762.399999999906868,1761555.870000000111759,2193122.719999999739230,2252621.940000000409782,2067948.969999999972060,10811011.900000000372529
FS( 66 ),2475916.599999999627471,1747456.020000000251457,2206917.200000000186265,2264615.860000000335276,2090085.319999999832362,10784991.000000000000000
FS( 67 ),2476486.560000000055879,1702963.160000000149012,2239104.320000000298023,2238379.160000000149012,2112414.159999999683350,10769347.360000001266599
FS( 68 ),2455398.039999999571592,1716123.020000000251457,2231260.400000000372529,2271362.440000000409782,2144367.500000000000000,10818511.400000000372529
FS( 69 ),2470786.959999999962747,1741189.420000000158325,2276430.559999999590218,2297599.139999999664724,2167466.299999999813735,10953472.379999998956919
FS( 70 ),2488455.719999999739230,1765315.830000000307336,2305371.919999999925494,2320462.549999999813735,2163039.029999999795109,11042645.049999998882413
FS( 71 ),2469647.039999999571592,1788188.920000000158325,2314838.719999999739230,2330207.610000000335276,2184020.439999999944121,11086902.729999998584390
FS( 72 ),2470217.000000000000000,1783175.639999999897555,2308617.679999999701977,2410042.139999999664724,2181133.089999999850988,11153185.549999998882413
FS( 73 ),2465657.319999999832362,1754975.939999999944121,2290766.000000000000000,2418662.770000000484288,2173625.979999999981374,11103688.010000001639128
FS( 74 ),2539752.120000000111759,1762182.530000000260770,2349189.679999999701977,2428407.830000000074506,2190950.079999999608845,11270482.240000000223517
FS( 75 ),2636645.319999999832362,1761555.870000000111759,2336477.120000000111759,2429157.450000000186265,2185752.849999999627471,11349588.609999999403954
FS( 76 ),2681102.199999999720603,1761869.199999999953434,2321600.719999999739230,2407793.280000000260770,2158611.759999999776483,11330977.159999998286366
FS( 77 ),2710740.120000000111759,1758109.239999999990687,2313215.839999999850988,2383430.629999999888241,2158226.779999999795109,11323722.609999999403954
FS( 78 ),2665143.319999999832362,1773462.410000000149012,2312674.879999999888241,2427658.209999999962747,2163808.989999999757856,11342747.810000000521541
FS( 79 ),2661723.560000000055879,1765942.489999999990687,2312945.360000000335276,2372186.330000000074506,2169198.709999999962747,11281996.449999999254942
FS( 80 ),2626386.039999999571592,1765315.830000000307336,2309970.080000000074506,2385679.490000000223517,2174973.409999999683350,11262324.850000001490116
FS( 81 ),2628095.919999999925494,1765315.830000000307336,2318354.959999999962747,2359442.790000000037253,2194799.879999999888241,11266009.379999998956919
FS( 82 ),2634365.479999999981374,1773462.410000000149012,2318625.440000000409782,2359442.790000000037253,2201152.049999999813735,11287048.170000001788139
FS( 83 ),2630945.719999999739230,1763122.520000000251457,2313756.800000000745058,2344450.389999999664724,2194799.879999999888241,11247075.309999998658895
FS( 84 ),2670272.959999999962747,1761555.870000000111759,2324846.480000000447035,2379682.530000000260770,2204231.890000000130385,11340589.730000000447035
FS( 85 ),2579649.319999999832362,1759049.230000000214204,2335665.679999999701977,2379307.719999999739230,2226175.750000000000000,11279847.699999999254942
FS( 86 ),2532342.639999999664724,1787562.260000000009313,2356222.160000000149012,2377808.480000000447035,2234452.819999999832362,11288388.359999999403954
FS( 87 ),2550011.399999999906868,1785682.280000000260770,2385434.000000000000000,2398048.219999999739230,2287965.040000000037253,11407140.939999997615814
FS( 88 ),2550011.399999999906868,1775342.389999999897555,2387868.320000000298023,2419412.389999999664724,2297204.560000000055879,11429839.060000000521541
FS( 89 ),2486175.879999999888241,1779729.010000000009313,2386245.440000000409782,2402171.129999999888241,2292777.290000000037253,11347098.750000000000000
FS( 90 ),2422340.359999999869615,1795395.510000000009313,2375426.240000000223517,2407043.660000000149012,2290274.919999999925494,11290480.689999999478459
FS( 91 ),2474206.719999999739230,1804795.410000000149012,2382458.719999999739230,2409667.330000000074506,2306829.060000000055879,11377957.240000000223517
FS( 92 ),2464517.399999999906868,1838008.389999999897555,2423571.679999999701977,2423910.110000000335276,2311641.310000000055879,11461648.890000000596046
FS( 93 ),2458817.799999999813735,1944853.920000000158325,2389761.679999999701977,2377058.860000000335276,2317416.009999999776483,11487908.269999999552965
FS( 94 ),2530062.799999999813735,1943600.600000000093132,2438177.600000000558794,2391676.450000000186265,2348021.919999999925494,11651539.370000001043081
FS( 95 ),2535192.439999999478459,1915400.900000000139698,2437095.679999999701977,2402920.750000000000000,2369773.290000000037253,11660383.059999998658895
FS( 96 ),2554571.080000000074506,1920100.850000000093132,2434390.879999999888241,2519111.849999999627471,2361881.200000000186265,11790055.859999999403954
FS( 97 ),2607577.359999999869615,1919160.860000000102445,2477938.160000000149012,2488377.429999999701977,2393257.069999999832362,11886310.879999998956919
FS( 98 ),2625246.120000000111759,1933260.710000000195578,2485782.080000000074506,2516488.179999999701977,2399416.750000000000000,11960193.839999999850988
FS( 99 ),2593898.319999999832362,1916967.550000000046566,2483618.240000000223517,2548721.839999999850988,2397491.849999999627471,11940697.799999998882413
FS( 100 ),2581929.159999999683350,1920727.510000000009313,2497412.719999999739230,2537852.349999999627471,2410388.679999999701977,11948310.419999998062849
FS( 101 ),2854370.039999999571592,1943913.930000000167638,2544205.759999999776483,2550221.080000000074506,2431562.579999999608845,12324273.389999998733401
FS( 102 ),2848670.439999999478459,1931067.400000000139698,2540419.040000000037253,2532979.820000000298023,2403074.060000000055879,12256210.759999999776483
FS( 103 ),2780845.199999999720603,1900361.060000000055879,2508502.400000000372529,2523609.570000000298023,2378242.849999999627471,12091561.080000000074506
FS( 104 ),2743797.799999999813735,1856494.860000000102445,2569901.360000000335276,2556967.660000000149012,2391332.169999999925494,12118493.849999999627471
FS( 105 ),2715869.759999999776483,1875607.989999999990687,2549615.360000000335276,2535603.490000000223517,2420013.179999999701977,12096709.780000001192093
FS( 106 ),2630375.759999999776483,1834875.090000000083819,2482536.320000000298023,2519486.660000000149012,2327425.489999999757856,11794699.320000000298023
FS( 107 ),2537472.280000000260770,1767195.810000000055879,2380294.879999999888241,2413415.429999999701977,2238110.129999999888241,11336488.529999997466803
FS( 108 ),2559700.719999999739230,1737742.790000000037253,2470364.719999999739230,2444524.660000000149012,2309331.429999999701977,11521664.320000000298023
FS( 109 ),2576229.560000000055879,1750902.650000000139698,2423842.160000000149012,2459891.870000000111759,2303171.750000000000000,11514037.990000000223517
FS( 110 ),2436589.359999999869615,1714869.699999999953434,2299421.360000000335276,2342201.530000000260770,2191720.040000000037253,10984801.989999998360872
FS( 111 ),2504984.560000000055879,1719256.320000000065193,2385163.520000000484288,2454644.530000000260770,2239072.579999999608845,11303121.509999999776483
FS( 112 ),2555141.039999999571592,1736802.800000000046566,2410859.120000000111759,2473010.220000000670552,2280457.929999999701977,11456271.109999999403954
FS( 113 ),2534052.520000000018626,1720196.310000000055879,2429792.719999999739230,2468887.310000000521541,2278148.049999999813735,11431076.910000000149012
FS( 114 ),2586488.839999999850988,1720196.310000000055879,2456299.759999999776483,2547222.599999999627471,2325885.569999999832362,11636093.080000000074506
FS( 115 ),2617266.680000000167638,1754349.280000000260770,2506338.559999999590218,2559591.330000000074506,2353796.620000000111759,11791342.470000002533197
FS( 116 ),2596748.120000000111759,1763749.180000000167638,2488486.879999999888241,2559966.139999999664724,2345519.549999999813735,11754469.870000001043081
FS( 117 ),2640065.080000000074506,1722702.949999999953434,2507961.440000000409782,2529606.530000000260770,2348599.390000000130385,11748935.390000000596046
FS( 118 ),2618406.599999999627471,1709229.760000000009313,2474692.400000000372529,2513114.889999999664724,2318185.970000000204891,11633629.619999999180436
FS( 119 ),2610427.159999999683350,1709856.420000000158325,2481183.919999999925494,2516113.370000000111759,2317223.520000000018626,11634804.390000000596046
FS( 120 ),2720429.439999999478459,1719256.320000000065193,2544205.759999999776483,2554718.799999999813735,2366308.470000000204891,11904918.790000000968575
FS( 121 ),2799083.919999999925494,1756542.590000000083819,2580991.040000000037253,2610565.490000000223517,2398261.810000000055879,12145444.849999999627471
FS( 122 ),2844680.719999999739230,1714556.370000000111759,2547992.480000000447035,2549846.270000000484288,2374778.029999999795109,12031853.869999999180436
FS( 123 ),2809343.199999999720603,1698889.870000000111759,2536361.839999999850988,2512365.270000000484288,2366500.959999999962747,11923461.140000000596046
FS( 124 ),2726699.000000000000000,1682596.710000000195578,2511477.679999999701977,2485753.759999999776483,2317608.500000000000000,11724135.649999998509884
FS( 125 ),2791674.439999999478459,1703276.489999999990687,2516887.280000000260770,2469636.929999999701977,2324730.629999999888241,11806205.769999999552965
FS( 126 ),2835561.359999999869615,1704529.810000000055879,2532845.600000000558794,2438152.889999999664724,2346097.020000000018626,11857186.679999999701977
FS( 127 ),2890277.520000000018626,1701396.510000000009313,2524190.240000000223517,2445274.280000000260770,2330312.839999999850988,11891451.390000000596046
FS( 128 ),2925045.080000000074506,1706723.120000000111759,2538796.160000000149012,2405169.610000000335276,2345519.549999999813735,11921253.519999999552965
FS( 129 ),2891987.399999999906868,1715809.689999999944121,2554213.520000000484288,2440401.750000000000000,2352641.679999999701977,11955054.039999999105930
FS( 130 ),2974631.599999999627471,1727716.230000000214204,2611284.800000000745058,2485004.139999999664724,2396721.890000000130385,12195358.660000000149012
FS( 131 ),2936444.280000000260770,1734609.489999999990687,2617505.839999999850988,2504494.259999999776483,2391524.659999999683350,12184578.530000001192093
FS( 132 ),2951263.239999999757856,1734922.820000000065193,2553672.559999999590218,2480131.610000000335276,2371505.700000000186265,12091495.929999999701977
FS( 133 ),2955822.919999999925494,1717063.010000000009313,2538525.679999999701977,2481256.040000000037253,2359571.319999999832362,12052238.969999998807907
FS( 134 ),2899966.839999999850988,1731162.860000000102445,2547451.520000000484288,2488377.429999999701977,2375547.989999999757856,12042506.640000000596046
FS( 135 ),2916495.680000000167638,1744322.720000000204891,2558811.679999999701977,2470386.549999999813735,2397106.870000000111759,12087123.500000000000000
FS( 136 ),2897117.039999999571592,1711736.400000000139698,2512559.600000000558794,2462890.349999999627471,2371698.189999999944121,11956001.580000000074506
FS( 137 ),2938154.159999999683350,1712049.730000000214204,2519051.120000000111759,2503744.639999999664724,2404421.489999999757856,12077421.139999998733401
FS( 138 ),2938724.120000000111759,1713616.380000000121072,2501469.919999999925494,2486878.189999999478459,2371890.679999999701977,12012579.289999999105930
FS( 139 ),2897117.039999999571592,1695756.570000000065193,2428710.800000000745058,2414539.860000000335276,2309716.409999999683350,11745840.679999999701977
FS( 140 ),2813332.919999999925494,1673510.139999999897555,2358115.520000000484288,2422410.870000000111759,2252161.899999999906868,11519531.349999999627471
FS( 141 ),2991160.439999999478459,1693249.930000000167638,2536632.320000000298023,2470011.740000000223517,2322228.259999999776483,12013282.689999999478459
FS( 142 ),2917635.599999999627471,1684163.360000000102445,2420055.440000000409782,2480131.610000000335276,2259861.500000000000000,11761847.510000001639128
FS( 143 ),2827011.959999999962747,1726149.580000000307336,2417891.600000000558794,2452770.480000000447035,2251969.409999999683350,11675793.030000001192093
FS( 144 ),2968362.039999999571592,1706723.120000000111759,2468741.839999999850988,2490251.480000000447035,2302594.279999999795109,11936672.759999999776483
FS( 145 ),2788254.680000000167638,1669123.520000000251457,2394359.839999999850988,2403295.560000000521541,2278918.009999999776483,11533951.610000001266599
FS( 146 ),2835561.359999999869615,1694816.580000000307336,2426546.959999999962747,2499996.540000000037253,2294509.700000000186265,11751431.140000000596046
FS( 147 ),2849240.399999999906868,1708916.430000000167638,2497412.719999999739230,2564463.860000000335276,2306251.589999999850988,11926285.000000000000000
FS( 148 ),2871468.839999999850988,1708603.100000000093132,2498765.120000000111759,2608316.629999999888241,2332815.209999999962747,12019968.899999998509884
FS( 149 ),2780845.199999999720603,1671943.489999999990687,2440611.919999999925494,2531855.389999999664724,2265636.200000000186265,11690892.199999999254942
FS( 150 ),2824162.159999999683350,1759675.889999999897555,2455217.839999999850988,2517987.419999999925494,2286617.609999999869615,11843660.919999998062849
FS( 151 ),2922195.280000000260770,1770015.780000000260770,2512289.120000000111759,2511240.839999999850988,2323768.179999999701977,12039509.199999999254942
FS( 152 ),2912505.959999999962747,1760929.210000000195578,2484700.160000000149012,2504869.070000000298023,2305674.120000000111759,11968678.519999999552965
FS( 153 ),3004839.479999999981374,1777849.030000000260770,2531222.719999999739230,2540101.209999999962747,2330505.329999999608845,12184517.769999999552965
FS( 154 ),2955822.919999999925494,1791322.220000000204891,2517698.719999999739230,2520611.089999999850988,2324345.649999999906868,12109800.599999999627471
FS( 155 ),2986600.759999999776483,1837695.060000000055879,2547181.040000000037253,2513489.700000000186265,2346097.020000000018626,12231063.580000000074506
FS( 156 ),3051576.199999999720603,1857121.520000000251457,2598572.240000000223517,2530356.150000000372529,2383055.099999999627471,12420681.209999999031425
FS( 157 ),3055565.919999999925494,1846154.970000000204891,2608580.000000000000000,2481256.040000000037253,2383055.099999999627471,12374612.029999999329448
FS( 158 ),2976341.479999999981374,1837381.730000000214204,2599654.160000000149012,2463639.970000000670552,2386134.939999999944121,12263152.279999999329448
FS( 159 ),2937014.239999999757856,1843335.000000000000000,2569630.879999999888241,2477133.129999999888241,2390754.700000000186265,12217867.949999999254942
FS( 160 ),2912505.959999999962747,1887827.860000000102445,2579097.679999999701977,2506743.120000000111759,2395759.439999999944121,12281934.060000000521541
FS( 161 ),2932454.560000000055879,1882814.580000000307336,2518780.640000000596046,2510116.410000000149012,2334355.129999999888241,12178521.320000000298023
FS( 162 ),2928464.839999999850988,1868401.400000000139698,2496871.759999999776483,2498872.110000000335276,2333200.189999999944121,12125810.299999998882413
FS( 163 ),3023648.159999999683350,1861508.139999999897555,2549615.360000000335276,2550595.889999999664724,2446191.819999999832362,12431559.370000001043081
FS( 164 ),3005409.439999999478459,1863388.120000000111759,2591810.240000000223517,2607192.200000000186265,2425595.390000000130385,12493395.390000000596046
FS( 165 ),2942143.879999999888241,1844588.320000000065193,2529599.839999999850988,2563339.429999999701977,2442342.020000000018626,12322013.489999998360872
FS( 166 ),3039607.039999999571592,1816701.949999999953434,2569630.879999999888241,2552469.939999999478459,2454468.890000000130385,12432878.699999999254942
FS( 167 ),2981471.120000000111759,1795395.510000000009313,2529329.360000000335276,2558466.900000000372529,2432717.520000000018626,12297380.410000000149012
FS( 168 ),2979761.239999999757856,1802602.100000000093132,2544476.240000000223517,2507492.740000000223517,2448116.720000000204891,12282449.040000000968575
FS( 169 ),3008259.239999999757856,1809495.360000000102445,2573958.559999999590218,2552469.939999999478459,2466980.739999999757856,12411163.839999997988343
FS( 170 ),3039607.039999999571592,1797902.150000000139698,2602629.440000000409782,2598946.379999999888241,2488154.639999999664724,12527239.649999998509884
FS( 171 ),3056705.839999999850988,1778475.689999999944121,2591539.759999999776483,2565963.099999999627471,2500474.000000000000000,12493158.389999998733401
FS( 172 ),3097173.000000000000000,1815761.960000000195578,2622104.000000000000000,2546847.790000000037253,2518568.060000000055879,12600454.810000000521541
FS( 173 ),3133650.439999999478459,1819208.590000000083819,2648340.559999999590218,2545723.360000000335276,2518568.060000000055879,12665491.009999999776483
FS( 174 ),3115981.680000000167638,1870281.380000000121072,2642660.480000000447035,2564838.669999999925494,2537432.079999999608845,12731194.290000000968575
FS( 175 ),3129090.759999999776483,1869968.050000000046566,2651586.320000000298023,2580205.879999999888241,2525690.189999999944121,12756541.199999999254942
FS( 176 ),3073234.680000000167638,1854928.210000000195578,2632382.240000000223517,2604943.339999999850988,2523572.799999999813735,12689061.269999999552965
FS( 177 ),3114271.799999999813735,1872161.360000000102445,2627784.080000000074506,2673908.379999999888241,2519530.509999999776483,12807656.130000000819564
FS( 178 ),3123961.120000000111759,1850854.920000000158325,2601547.520000000484288,2658915.980000000447035,2501051.470000000204891,12736331.010000001639128
FS( 179 ),3123961.120000000111759,1853048.230000000214204,2606416.160000000149012,2673158.759999999776483,2501051.470000000204891,12757635.740000000223517
FS( 180 ),3096033.080000000074506,1835188.420000000158325,2639955.679999999701977,2675407.620000000111759,2515103.239999999757856,12761688.040000000968575
FS( 181 ),3103442.560000000055879,1831428.460000000195578,2637250.879999999888241,2672783.950000000186265,2516065.689999999944121,12760971.540000000968575
FS( 182 ),3146759.520000000018626,1853988.220000000204891,2668626.559999999590218,2673908.379999999888241,2538587.020000000018626,12881869.699999999254942
FS( 183 ),3120541.359999999869615,1852734.900000000139698,2659159.759999999776483,2705392.419999999925494,2538779.509999999776483,12876607.949999999254942
FS( 184 ),3159868.599999999627471,1851481.580000000307336,2660512.160000000149012,2708016.089999999850988,2527037.620000000111759,12906916.050000000745058
FS( 185 ),3153029.080000000074506,1829861.810000000055879,2651045.360000000335276,2658166.360000000335276,2496431.709999999962747,12788534.320000000298023
FS( 186 ),3173547.639999999664724,1871221.370000000111759,2676470.480000000447035,2707266.470000000670552,2514718.259999999776483,12943224.220000000670552
FS( 187 ),3146189.560000000055879,1865268.100000000093132,2673495.200000000186265,2691149.639999999664724,2516258.179999999701977,12892360.679999999701977
FS( 188 ),3253342.039999999571592,1897541.090000000083819,2726238.800000000745058,2727131.400000000372529,2518760.549999999813735,13123013.880000002682209
FS( 189 ),3239093.039999999571592,1943287.270000000251457,2750041.040000000037253,2767236.070000000298023,2561493.329999999608845,13261150.750000000000000
FS( 190 ),3221994.239999999757856,1923547.480000000214204,2764106.000000000000000,2775481.889999999664724,2570925.339999999850988,13256054.949999999254942
FS( 191 ),3250492.239999999757856,1940467.300000000046566,2772220.400000000372529,2801718.589999999850988,2623282.620000000111759,13388181.150000002235174
FS( 192 ),3184946.839999999850988,1942347.280000000260770,2728673.120000000111759,2802093.400000000372529,2576315.060000000055879,13234375.700000001117587
FS( 193 ),3137640.159999999683350,1960833.750000000000000,2748959.120000000111759,2807340.740000000223517,2593639.160000000149012,13248412.929999999701977
FS( 194 ),3107432.280000000260770,1953000.500000000000000,2733271.280000000260770,2795721.629999999888241,2577662.489999999757856,13167088.180000001564622
FS( 195 ),3124531.080000000074506,1956447.130000000121072,2740303.759999999776483,2784477.330000000074506,2595949.040000000037253,13201708.339999999850988
