代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13404815.439999999478459
真實報酬,3404815.439999999478459

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,18176.660366744745261
風險,328475.006295489904005
起點值,0.055336509683764
找到最佳解世代,1762
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](14),UNH[23](19),
FS( 76 ),4388884.080000000074506,3365395.240000000223517,3239268.649999999906868,10993548.970000000670552
FS( 77 ),4431367.560000000521541,3394022.240000000223517,3301536.600000000093132,11126927.400000000372529
FS( 78 ),4638883.019999999552965,3373410.800000000279397,3439321.000000000000000,11451615.820000000298023
FS( 79 ),4782673.259999999776483,3339630.939999999944121,3328033.600000000093132,11450338.799999998882413
FS( 80 ),4789209.179999999701977,3406618.120000000111759,3406199.750000000000000,11602028.050000000745058
FS( 81 ),4759797.540000000968575,3402610.340000000316650,3424747.649999999906868,11587156.530000001192093
FS( 82 ),4727117.939999999478459,3389441.920000000391155,3353205.749999999534339,11469766.609999999403954
FS( 83 ),4607837.400000000372529,3379136.200000000186265,3510862.899999999906868,11497837.500000000000000
FS( 84 ),4491824.820000000298023,3357379.680000000167638,3428722.199999999720603,11277927.699999999254942
FS( 85 ),4583327.700000001117587,3386006.680000000167638,3506888.349999999627471,11476223.730000000447035
FS( 86 ),4400321.939999999478459,3355662.060000000055879,3437996.149999999906868,11193981.150000000372529
FS( 87 ),4418295.720000000670552,3387151.759999999776483,3500264.100000000093132,11305712.580000000074506
FS( 88 ),4405223.880000000819564,3391732.080000000074506,3565181.750000000000000,11362138.710000000894070
FS( 89 ),4454243.280000001192093,3451848.780000000260770,3692367.350000000093132,11598460.410000002011657
FS( 90 ),4529406.359999999403954,3519981.040000000037253,3737412.250000000000000,11786800.649999998509884
FS( 91 ),4535942.280000001192093,3533722.000000000000000,3798355.350000000093132,11868020.630000000819564
FS( 92 ),4702608.240000000223517,3586395.680000000167638,3859298.449999999720603,12148303.369999999180436
FS( 93 ),4738555.800000000745058,3565784.240000000223517,3838100.849999999627471,12142441.890000000596046
FS( 94 ),4745091.720000000670552,3597273.939999999944121,3891094.850000000093132,12233461.509999999776483
FS( 95 ),4715680.080000000074506,3559486.300000000279397,3810279.000000000000000,12085446.380000000819564
FS( 96 ),4772869.380000000819564,3640214.439999999944121,3852674.199999999720603,12265759.019999999552965
FS( 97 ),4823522.759999999776483,3694605.740000000223517,3861948.149999999906868,12380077.650000000372529
FS( 98 ),4831692.660000000149012,3639641.899999999906868,3838100.849999999627471,12309436.410000000149012
FS( 99 ),4807182.960000000894070,3663116.040000000037253,3824852.350000000093132,12295152.349999999627471
FS( 100 ),4679732.519999999552965,3630481.259999999776483,3793055.949999999720603,12103270.729999998584390
FS( 101 ),4666660.679999999701977,3662543.500000000000000,3783781.999999999534339,12112987.179999999701977
FS( 102 ),4805548.980000000447035,3663688.580000000074506,3852674.199999999720603,12321912.759999999776483
FS( 103 ),4772869.380000000819564,3676857.000000000000000,3916266.999999999534339,12365994.380000000819564
FS( 104 ),4766333.460000000894070,3690025.420000000391155,3913617.299999999813735,12369977.179999999701977
FS( 105 ),4683000.480000000447035,3641359.520000000018626,3900368.800000000279397,12224729.800000000745058
FS( 106 ),4666660.679999999701977,3621320.620000000111759,3798355.350000000093132,12086337.650000000372529
FS( 107 ),4598033.519999999552965,3637924.280000000260770,3802329.899999999906868,12038288.699999999254942
FS( 108 ),4580059.740000000223517,3578380.120000000111759,3748011.049999999813735,11906451.910000000149012
FS( 109 ),4586595.660000000149012,3548035.500000000000000,3620825.449999999720603,11755457.609999999403954
FS( 110 ),4513066.560000000521541,3526278.980000000447035,3638048.500000000000000,11677395.040000000968575
FS( 111 ),4410125.820000000298023,3545745.340000000316650,3749335.899999999906868,11705208.060000000521541
FS( 112 ),4431367.560000000521541,3470170.060000000055879,3770533.500000000000000,11672072.120000001043081
FS( 113 ),4617641.280000001192093,3469597.520000000018626,3775832.899999999906868,11863072.700000001117587
FS( 114 ),4584961.679999999701977,3495361.819999999832362,4015630.749999999534339,12095955.250000000000000
FS( 115 ),4544112.179999999701977,3530286.759999999776483,4038153.200000000186265,12112553.140000000596046
FS( 116 ),4598033.519999999552965,3557768.680000000167638,4100421.149999999906868,12256224.349999999627471
FS( 117 ),4532674.320000000298023,3549753.120000000111759,4149440.600000000093132,12231869.040000000968575
FS( 118 ),4552282.080000000074506,3573799.800000000279397,4266027.400000000372529,12392110.280000001192093
FS( 119 ),4478752.980000000447035,3545172.800000000279397,4215683.099999999627471,12239609.880000000819564
FS( 120 ),4562085.960000000894070,3559486.300000000279397,4178587.299999999813735,12300160.560000002384186
FS( 121 ),4627445.160000000149012,3587540.759999999776483,4262052.849999999627471,12477039.769999999552965
FS( 122 ),4676464.560000000521541,3605289.500000000000000,4281925.599999999627471,12563680.660000000149012
FS( 123 ),4717314.060000000521541,3627618.560000000055879,4189186.100000000093132,12534119.720000000670552
FS( 124 ),4879078.080000000074506,3631053.800000000279397,4197135.199999999254942,12707268.080000000074506
FS( 125 ),4939535.339999999850988,3641932.060000000055879,4158714.549999999813735,12740182.949999999254942
FS( 126 ),4880712.060000000521541,3640786.980000000447035,4087172.649999999906868,12608672.690000001341105
FS( 127 ),4939535.339999999850988,3600709.180000000167638,4108370.250000000000000,12648615.769999999552965
FS( 128 ),4918293.599999999627471,3574944.879999999888241,4038153.200000000186265,12531392.679999999701977
FS( 129 ),4995090.660000000149012,3594411.240000000223517,4177262.450000000186265,12766765.350000001490116
FS( 130 ),5004894.540000000968575,3566929.319999999832362,4170638.200000000186265,12742463.060000002384186
FS( 131 ),4924829.519999999552965,3518263.420000000391155,4211708.549999998882413,12654802.489999998360872
FS( 132 ),4915025.640000000596046,3544027.720000000204891,4373340.250000000000000,12832394.610000001266599
FS( 133 ),4947705.240000000223517,3540592.480000000447035,4332269.900000000372529,12820568.620000001043081
FS( 134 ),4905221.759999999776483,3568074.399999999906868,4361416.599999999627471,12834713.759999999776483
FS( 135 ),4848032.460000000894070,3587540.759999999776483,4246154.650000000372529,12681728.870000001043081
FS( 136 ),4916659.620000001043081,3583532.980000000447035,4311072.299999998882413,12811265.900000000372529
FS( 137 ),4888881.960000000894070,3586968.220000000204891,4414410.599999999627471,12890261.780000001192093
FS( 138 ),4807182.960000000894070,3565784.240000000223517,4471379.150000000372529,12844347.350000001490116
FS( 139 ),5019600.359999999403954,3634489.040000000037253,4654208.450000001117587,13308298.849999999627471
FS( 140 ),4942803.300000000745058,3607579.660000000149012,4577367.150000000372529,13127751.110000001266599
FS( 141 ),4856202.359999999403954,3618457.920000000391155,4385263.900000000372529,12859925.179999999701977
FS( 142 ),4616007.300000000745058,3629336.180000000167638,4393213.000000000000000,12638557.480000000447035
FS( 143 ),4740189.780000001192093,3612159.980000000447035,4372015.400000000372529,12724366.160000002011657
FS( 144 ),4807182.960000000894070,3653382.860000000335276,4297823.799999998882413,12758390.619999999180436
FS( 145 ),4852934.400000000372529,3648802.540000000037253,4403811.800000000745058,12905549.740000002086163
FS( 146 ),4651954.859999999403954,3597273.939999999944121,4428983.949999999254942,12678213.749999998137355
FS( 147 ),4483654.919999999925494,3574372.340000000316650,4372015.400000000372529,12430043.660000000149012
FS( 148 ),4545746.160000000149012,3657963.180000000167638,4389238.450000001117587,12592948.790000000968575
FS( 149 ),4571889.839999999850988,3665978.740000000223517,4511124.650000000372529,12748994.230000000447035
FS( 150 ),4650320.880000000819564,3733538.459999999962747,4414410.599999999627471,12798270.940000001341105
FS( 151 ),4483654.919999999925494,3667696.360000000335276,4300473.500000000000000,12451825.780000001192093
FS( 152 ),4562085.960000000894070,3628191.100000000093132,4311072.299999998882413,12501350.359999999403954
FS( 153 ),4531040.339999999850988,3602426.800000000279397,4293849.250000000000000,12427317.390000000596046
FS( 154 ),4580059.740000000223517,3639641.899999999906868,4372015.400000000372529,12591718.040000000968575
FS( 155 ),4553916.060000000521541,3621320.620000000111759,4333594.750000000000000,12508832.429999999701977
FS( 156 ),4637249.040000000968575,3652237.780000000260770,4387913.599999999627471,12677401.420000001788139
FS( 157 ),4678098.540000000968575,3640786.980000000447035,4263377.699999999254942,12582264.220000000670552
FS( 158 ),4748359.679999999701977,3664833.660000000614673,4190510.949999999720603,12603705.289999999105930
FS( 159 ),4728751.919999999925494,3679147.160000000614673,4312397.150000000372529,12720297.230000000447035
FS( 160 ),4736921.820000000298023,3691743.040000000502914,4330945.049999998882413,12759610.910000000149012
FS( 161 ),4707510.179999999701977,3706629.079999999608845,4231581.300000000745058,12645721.560000000521541
FS( 162 ),4678098.540000000968575,3708346.699999999720603,4382614.199999999254942,12769060.439999999478459
FS( 163 ),4599667.500000000000000,3714072.100000000558794,4346843.250000000000000,12660583.850000001490116
FS( 164 ),4684634.460000000894070,3736401.160000000614673,4454156.099999999627471,12875192.720000000670552
FS( 165 ),4715680.080000000074506,3686017.639999999664724,4431633.650000000372529,12833332.369999999180436
FS( 166 ),4776137.339999999850988,3655673.020000000018626,4485952.500000000000000,12917763.859999999403954
FS( 167 ),4879078.080000000074506,3663116.040000000037253,4509799.799999998882413,13051994.919999999925494
FS( 168 ),4875810.120000001043081,3668268.899999999906868,4497876.150000000372529,13041956.170000001788139
FS( 169 ),4885614.000000000000000,3643077.140000000130385,4517748.900000000372529,13046441.040000000968575
FS( 170 ),4918293.599999999627471,3631626.340000000316650,4365391.150000000372529,12915312.089999999850988
FS( 171 ),5111103.240000000223517,3645367.300000000279397,4470054.300000000745058,13226525.840000001713634
FS( 172 ),5114371.200000001117587,3728385.600000000558794,4385263.900000000372529,13228021.700000001117587
FS( 173 ),5205874.080000000074506,3727240.520000000018626,4382614.199999999254942,13315729.799999998882413
FS( 174 ),5248357.560000000521541,3718079.879999999888241,4403811.800000000745058,13370250.240000002086163
FS( 175 ),5263063.380000000819564,3733538.459999999962747,4438257.900000000372529,13434860.740000000223517
FS( 176 ),5289207.060000000521541,3751859.740000000223517,4360091.750000000000000,13401159.550000000745058
FS( 177 ),5225481.839999999850988,3774761.340000000316650,4309747.449999999254942,13309991.629999998956919
FS( 178 ),5238553.680000001564622,3782776.899999999906868,4378639.650000000372529,13399971.230000002309680
FS( 179 ),5232017.760000001639128,3800525.639999999664724,4338894.150000000372529,13371438.550000002607703
FS( 180 ),5243455.620000001043081,3817701.840000000316650,4450181.550000000745058,13511340.010000001639128
FS( 181 ),5187900.300000000745058,3809113.740000000223517,4556169.550000000745058,13553184.590000001713634
FS( 182 ),5246723.580000000074506,3836595.660000000614673,4411760.900000000372529,13495081.140000000596046
FS( 183 ),5330056.560000000521541,3856062.020000000018626,4393213.000000000000000,13579332.580000000074506
FS( 184 ),5354566.260000001639128,3824572.319999999832362,4334919.599999999627471,13514059.180000001564622
FS( 185 ),5290841.040000000968575,3830297.720000000204891,4387913.599999999627471,13509053.360000001266599
FS( 186 ),5390513.820000000298023,3850909.160000000614673,4322995.950000001117587,13564419.930000001564622
FS( 187 ),5424827.400000000372529,3840030.899999999906868,4350817.800000000745058,13615677.100000001490116
FS( 188 ),5504892.419999999925494,3849764.079999999608845,4379964.500000000000000,13734622.000000000000000
FS( 189 ),5485284.660000000149012,3819992.000000000000000,4328295.349999999627471,13633573.009999999776483
FS( 190 ),5508160.380000000819564,3869230.439999999944121,4370690.550000000745058,13748082.370000001043081
FS( 191 ),5566983.660000000149012,3894994.740000000223517,4390563.300000000745058,13852542.700000001117587
FS( 192 ),5591493.359999999403954,3882398.860000000335276,4426334.250000000000000,13900227.469999998807907
FS( 193 ),5616003.060000000521541,3876100.920000000391155,4362741.449999999254942,13854846.429999999701977
FS( 194 ),5601297.240000000223517,3936790.160000000614673,4321671.099999999627471,13859759.500000000000000
FS( 195 ),5643780.720000000670552,3932209.840000000316650,4273976.500000000000000,13849968.060000000521541
FS( 196 ),5655218.580000000074506,3923621.740000000223517,4273976.500000000000000,13852817.820000000298023
FS( 197 ),5658486.540000000968575,3945950.800000000279397,4260728.000000000000000,13865166.340000001713634
FS( 198 ),5735283.599999999627471,3974577.800000000279397,4113669.649999999906868,13823532.050000000745058
FS( 199 ),5810446.680000001564622,3959691.759999999776483,4058025.949999999720603,13828165.390000000596046
FS( 200 ),5774499.120000001043081,3952248.740000000223517,4071274.450000000186265,13798023.310000002384186
FS( 201 ),5767963.199999999254942,4003204.800000000279397,4137516.950000000186265,13908685.949999999254942
FS( 202 ),5709139.919999999925494,4027251.480000000447035,4104395.700000000186265,13840788.100000001490116
FS( 203 ),6050641.740000000223517,4028396.560000000055879,4009006.500000000000000,14088045.800000000745058
FS( 204 ),6220575.660000000149012,4066756.740000000223517,4035503.500000000000000,14322836.900000000372529
FS( 205 ),6321882.419999999925494,4073627.220000000204891,4100421.149999999906868,14495931.790000000968575
FS( 206 ),6290836.800000000745058,4066184.199999999720603,3954687.649999999906868,14311709.650000000372529
FS( 207 ),6116000.939999999478459,4038129.740000000223517,3948063.399999999906868,14102195.080000000074506
FS( 208 ),6106197.060000000521541,4027251.480000000447035,4032853.800000000279397,14166303.340000001713634
FS( 209 ),6271229.040000000968575,4094811.199999999720603,4146790.899999999906868,14512832.140000000596046
FS( 210 ),6094759.199999999254942,4041564.980000000447035,4015630.749999999534339,14151955.929999999701977
FS( 211 ),6217307.699999999254942,4089085.800000000279397,4009006.500000000000000,14315401.000000000000000
FS( 212 ),6037569.900000000372529,4044427.680000000167638,3906993.049999999813735,13988991.629999998956919
FS( 213 ),5975478.660000000149012,4045572.759999999776483,3974560.399999999906868,13995612.820000000298023
FS( 214 ),5748355.439999999478459,3974577.800000000279397,3873871.799999999813735,13596806.039999999105930
FS( 215 ),5504892.419999999925494,3893849.660000000614673,3844725.099999999627471,13243468.179999999701977
FS( 216 ),5928093.240000000223517,4040992.439999999944121,3958662.199999999720603,13927748.879999998956919
FS( 217 ),5988550.500000000000000,4035267.040000000502914,3954687.649999999906868,13978506.190000001341105
FS( 218 ),6117634.919999999925494,4046145.300000000279397,4016955.600000000093132,14180736.820000000298023
FS( 219 ),6031033.980000000447035,4036412.120000000111759,3998407.699999999720603,14065854.800000000745058
FS( 220 ),5924825.279999999329448,3984310.980000000447035,4026229.549999999813735,13935366.809999998658895
FS( 221 ),5934629.160000000149012,4015800.680000000167638,4032853.800000000279397,13983284.640000000596046
FS( 222 ),5890511.699999999254942,4008930.199999999720603,3998407.699999999720603,13897850.599999997764826
FS( 223 ),5797374.839999999850988,3973432.720000000204891,3973235.549999999813735,13744044.109999999403954
FS( 224 ),5550643.859999999403954,3873810.759999999776483,3836776.000000000000000,13261231.619999999180436
FS( 225 ),5656852.560000000521541,3885261.560000000055879,3802329.899999999906868,13344445.020000001415610
FS( 226 ),5759793.300000000745058,3873810.759999999776483,3819552.949999999720603,13453158.009999999776483
FS( 227 ),5723845.740000000223517,3884116.480000000447035,3824852.350000000093132,13432815.570000000298023
FS( 228 ),5697702.060000000521541,3779341.660000000614673,3814253.549999999813735,13291298.269999999552965
FS( 229 ),5913387.419999999925494,3847473.920000000391155,3884470.600000000093132,13645332.939999999478459
FS( 230 ),5996720.400000000372529,3828580.100000000558794,3851349.350000000093132,13676650.849999999627471
FS( 231 ),6088223.279999999329448,3799380.560000000055879,3839425.700000000186265,13727030.539999999105930
FS( 232 ),6161752.380000000819564,3880108.699999999720603,3962636.750000000000000,14004498.830000000074506
FS( 233 ),6142144.620000001043081,3884689.020000000018626,4035503.500000000000000,14062338.140000000596046
FS( 234 ),5975478.660000000149012,3818846.920000000391155,4019605.299999999813735,13813931.879999998956919
FS( 235 ),5857832.099999999627471,3821709.620000000111759,4035503.500000000000000,13715046.219999998807907
FS( 236 ),5820250.560000000521541,3915033.639999999664724,4092472.049999999813735,13827757.250000000000000
FS( 237 ),5676460.320000000298023,3908163.160000000614673,4044777.450000000186265,13629401.929999999701977
FS( 238 ),5848028.220000000670552,3971715.100000000558794,4067299.899999999906868,13887044.220000000670552
FS( 239 ),5918289.359999999403954,3981448.280000000260770,4063325.350000000093132,13963063.990000000223517
FS( 240 ),5936263.140000000596046,3967707.319999999832362,4052726.549999999813735,13956698.010000001639128
FS( 241 ),6062079.599999999627471,4030686.720000000204891,4132217.550000000279397,14224984.870000001043081
FS( 242 ),6238549.439999999478459,4024388.780000000260770,4158714.549999999813735,14421653.769999999552965
FS( 243 ),6346392.120000001043081,4010647.819999999832362,4173287.899999999906868,14530328.840000001713634
FS( 244 ),6397045.500000000000000,4000914.639999999664724,4150765.449999999720603,14548726.589999999850988
FS( 245 ),6307176.599999999627471,4003204.800000000279397,4126918.149999999906868,14437300.550000000745058
FS( 246 ),6392143.560000000521541,3929919.680000000167638,4059350.799999999813735,14381415.039999999105930
FS( 247 ),6325150.380000000819564,3929347.139999999664724,4002382.250000000000000,14256880.769999999552965
FS( 248 ),6279398.939999999478459,3877818.540000000502914,3942764.000000000000000,14099982.480000000447035
FS( 249 ),6225477.599999999627471,3860069.800000000279397,3958662.199999999720603,14044210.599999999627471
FS( 250 ),6263059.140000000596046,3854916.939999999944121,3867247.550000000279397,13985224.630000000819564
FS( 251 ),5980380.599999999627471,3805105.959999999962747,3793055.949999999720603,13578543.509999997913837
FS( 252 ),5870903.939999999478459,3771326.100000000558794,3762584.399999999906868,13404815.439999999478459
