代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14586829.219999998807907
真實報酬,4586829.219999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17794.736533330353268
風險,209719.090241732395953
起點值,0.084850342011399
找到最佳解世代,1711
找到最佳解實驗#,7
找到最佳解次數,5

stock[index](rank)
投資組合檔數,4
BA[2](1),DD[7](8),MRK[17](13),UTX[24](2),
FS( 29 ),2863926.250000000000000,2503863.090000000316650,2768589.520000000018626,2657823.529999999795109,10794202.389999998733401
FS( 30 ),2875571.889999999664724,2495033.170000000391155,2762725.119999999646097,2654217.719999999739230,10787547.899999998509884
FS( 31 ),2806992.009999999776483,2371966.160000000149012,2724606.520000000018626,2594028.429999999701977,10497593.119999999180436
FS( 32 ),2810873.889999999664724,2379140.470000000204891,2753928.520000000018626,2621488.060000000055879,10565430.939999999478459
FS( 33 ),2804404.089999999850988,2381347.950000000186265,2742199.719999999739230,2575444.639999999664724,10503396.399999998509884
FS( 34 ),2785965.160000000149012,2371966.160000000149012,2730470.919999999925494,2539386.540000000037253,10427788.780000001192093
FS( 35 ),2845487.319999999366701,2401215.270000000484288,2785009.839999999850988,2585707.330000000074506,10617419.759999999776483
FS( 36 ),2812491.339999999850988,2435431.210000000428408,2810226.759999999776483,2597079.500000000000000,10655228.810000000521541
FS( 37 ),2852604.100000000093132,2488410.730000000447035,2851864.000000000000000,2576554.120000000111759,10769432.949999999254942
FS( 38 ),2938328.949999999720603,2528145.370000000577420,2811986.080000000074506,2551868.189999999944121,10830328.589999999850988
FS( 39 ),2965502.109999999869615,2669975.960000000428408,2776799.679999999701977,2554919.259999999776483,10967197.009999999776483
FS( 40 ),3003673.929999999701977,2626378.230000000447035,2807294.559999999590218,2528291.740000000223517,10965638.459999999031425
FS( 41 ),2972942.379999999888241,2661697.910000000149012,2804362.359999999869615,2541328.129999999888241,10980330.780000001192093
FS( 42 ),2957091.369999999646097,2665009.130000000353903,2756274.279999999795109,2532174.919999999925494,10910549.699999999254942
FS( 43 ),2949651.100000000093132,2605407.170000000391155,2679450.639999999664724,2525518.040000000037253,10760026.949999999254942
FS( 44 ),2982970.569999999366701,2603199.690000000409782,2681796.399999999441206,2544933.939999999944121,10812900.599999999627471
FS( 45 ),3032464.539999999571592,2668872.220000000204891,2678277.759999999776483,2582656.259999999776483,10962270.779999999329448
FS( 46 ),3047021.589999999850988,2672735.310000000521541,2637813.399999999441206,2593196.319999999832362,10950766.619999999180436
FS( 47 ),3066430.990000000223517,2714677.430000000167638,2654820.160000000149012,2603736.379999999888241,11039664.960000000894070
FS( 48 ),3042169.240000000223517,2712469.950000000186265,2638399.839999999850988,2617882.250000000000000,11010921.280000001192093
FS( 49 ),3060608.169999999925494,2744478.410000000149012,2667721.839999999850988,2628422.310000000055879,11101230.730000000447035
FS( 50 ),3048639.039999999571592,2708054.990000000223517,2694698.080000000074506,2642013.439999999944121,11093405.549999998882413
FS( 51 ),3065460.520000000018626,2699776.940000000409782,2707599.759999999776483,2633692.339999999850988,11106529.560000000521541
FS( 52 ),3109131.669999999925494,2745030.280000000260770,2735748.879999999888241,2660874.600000000093132,11250785.429999999701977
FS( 53 ),3138569.259999999776483,2777590.610000000335276,2740440.399999999441206,2657546.160000000149012,11314146.429999999701977
FS( 54 ),3124335.699999999720603,2758827.030000000260770,2719328.559999999590218,2639794.479999999981374,11242285.769999999552965
FS( 55 ),3200032.359999999869615,2815117.770000000484288,2697043.839999999850988,2700261.139999999664724,11412455.109999999403954
FS( 56 ),3193562.559999999590218,2798561.670000000391155,2651301.520000000018626,2696932.700000000186265,11340358.449999999254942
FS( 57 ),3194533.029999999795109,2811806.550000000745058,2775626.799999999813735,2705808.540000000037253,11487774.919999998062849
FS( 58 ),3168006.850000000093132,2759930.770000000484288,2739267.520000000018626,2669750.439999999944121,11336955.580000000074506
FS( 59 ),3226882.029999999795109,2758827.030000000260770,2775626.799999999813735,2648670.319999999832362,11410006.179999999701977
FS( 60 ),3234969.279999999795109,2757171.420000000391155,2765657.319999999366701,2636188.669999999925494,11393986.689999999478459
FS( 61 ),3238527.669999999925494,2753860.200000000186265,2792633.559999999590218,2661984.080000000074506,11447005.509999999776483
FS( 62 ),3205531.689999999944121,2746134.020000000484288,2748650.559999999590218,2638407.629999999888241,11338723.899999998509884
FS( 63 ),3252437.740000000223517,2735096.620000000577420,2760379.359999999869615,2661706.709999999962747,11409620.429999999701977
FS( 64 ),3203267.259999999776483,2708054.990000000223517,2738681.080000000074506,2632305.490000000223517,11282308.820000000298023
FS( 65 ),3258907.539999999571592,2698673.200000000186265,2841308.080000000074506,2641458.700000000186265,11440347.519999999552965
FS( 66 ),3222353.169999999925494,2720748.000000000000000,2899365.639999999664724,2615108.549999999813735,11457575.359999999403954
FS( 67 ),3186122.289999999571592,2645141.810000000521541,2857728.399999999441206,2579882.560000000055879,11268875.060000000521541
FS( 68 ),3227205.520000000018626,2663353.520000000484288,2850104.679999999701977,2572670.939999999944121,11313334.660000000149012
FS( 69 ),3315518.289999999571592,2699776.940000000409782,2826060.639999999664724,2621210.689999999944121,11462566.560000000521541
FS( 70 ),3307431.039999999571592,2698121.330000000540167,2841894.520000000018626,2611225.370000000111759,11458672.260000001639128
FS( 71 ),3291580.029999999795109,2672183.440000000409782,2789114.919999999925494,2598466.350000000093132,11351344.740000000223517
FS( 72 ),3263436.399999999441206,2655627.340000000316650,2770935.279999999795109,2570729.350000000093132,11260728.369999999180436
FS( 73 ),3304843.119999999646097,2722955.480000000447035,2809053.879999999888241,2615385.919999999925494,11452238.400000000372529
FS( 74 ),3294167.949999999720603,2672735.310000000521541,2811986.080000000074506,2607896.929999999701977,11386786.269999999552965
FS( 75 ),3332986.750000000000000,2683220.840000000316650,2803189.479999999515712,2634524.450000000186265,11453921.519999999552965
FS( 76 ),3366953.199999999720603,2720748.000000000000000,2800257.279999999795109,2667531.479999999981374,11555489.959999999031425
FS( 77 ),3307754.529999999795109,2679909.620000000577420,2790287.799999999813735,2612334.850000000093132,11390286.799999998882413
FS( 78 ),3223323.639999999664724,2608718.390000000596046,2715809.919999999925494,2561576.139999999664724,11109428.089999999850988
FS( 79 ),3234322.299999999813735,2564568.790000000502914,2756274.279999999795109,2556860.850000000093132,11112026.219999998807907
FS( 80 ),3165418.929999999701977,2542493.990000000223517,2721674.319999999366701,2537722.319999999832362,10967309.559999998658895
FS( 81 ),3191945.109999999869615,2554083.260000000242144,2711118.399999999441206,2545766.049999999813735,11002912.820000000298023
FS( 82 ),3259231.029999999795109,2530904.720000000204891,2738094.639999999664724,2579050.450000000186265,11107280.839999999850988
FS( 83 ),3336868.629999999888241,2542493.990000000223517,2772694.600000000093132,2593751.060000000055879,11245808.280000001192093
FS( 84 ),3313900.839999999850988,2528145.370000000577420,2724020.080000000074506,2577940.969999999739230,11144007.260000001639128
FS( 85 ),3339780.039999999571592,2554083.260000000242144,2716396.359999999869615,2627867.569999999832362,11238127.230000000447035
FS( 86 ),3282522.309999999590218,2549668.300000000745058,2729884.479999999515712,2601794.790000000037253,11163869.879999998956919
FS( 87 ),3328457.889999999664724,2548564.560000000521541,2729884.479999999515712,2627590.200000000186265,11234497.129999998956919
FS( 88 ),3370835.080000000074506,2568983.750000000000000,2765657.319999999366701,2677516.799999999813735,11382992.949999999254942
FS( 89 ),3376334.410000000149012,2600440.340000000316650,2780318.319999999366701,2689998.450000000186265,11447091.519999999552965
FS( 90 ),3386362.600000000093132,2673839.050000000745058,2792633.559999999590218,2718844.929999999701977,11571680.140000000596046
FS( 91 ),3412888.779999999795109,2655627.340000000316650,2812572.520000000018626,2712465.419999999925494,11593554.060000000521541
FS( 92 ),3457530.399999999441206,2687635.800000000745058,2833097.919999999925494,2765165.719999999739230,11743429.839999999850988
FS( 93 ),3295461.910000000149012,2681565.230000000447035,2846586.039999999571592,2769048.899999999906868,11592662.080000000074506
FS( 94 ),3418064.619999999646097,2703640.030000000260770,2845413.160000000149012,2780421.069999999832362,11747538.880000000819564
FS( 95 ),3371805.549999999813735,2669975.960000000428408,2828406.399999999441206,2773486.819999999832362,11643674.730000000447035
FS( 96 ),3389920.990000000223517,2729577.920000000391155,2822542.000000000000000,2797618.009999999776483,11739658.919999999925494
FS( 97 ),3481792.149999999441206,2717988.650000000372529,2779731.879999999888241,2810931.770000000018626,11790444.449999999254942
FS( 98 ),3460118.319999999366701,2724611.090000000316650,2802603.039999999571592,2842551.950000000186265,11829884.399999998509884
FS( 99 ),3456883.419999999925494,2718540.520000000484288,2798497.959999999497086,2832289.259999999776483,11806211.160000000149012
FS( 100 ),3486967.990000000223517,2715229.300000000745058,2810813.199999999720603,2915777.629999999888241,11928788.120000001043081
FS( 101 ),3459794.830000000074506,2701432.550000000745058,2801430.160000000149012,2912171.819999999832362,11874829.360000001266599
FS( 102 ),3451707.580000000074506,2749997.110000000335276,2824887.759999999776483,2906624.419999999925494,11933216.869999999180436
FS( 103 ),3416123.679999999701977,2727370.440000000409782,2843653.839999999850988,2911617.080000000074506,11898765.040000000968575
FS( 104 ),3390567.969999999739230,2750548.980000000447035,2834857.240000000223517,2914390.779999999795109,11890364.970000000670552
FS( 105 ),3420329.049999999813735,2755515.810000000521541,2817850.479999999515712,2928259.279999999795109,11921954.619999999180436
FS( 106 ),3399949.179999999701977,2753860.200000000186265,2824887.759999999776483,2928259.279999999795109,11906956.419999999925494
FS( 107 ),3451707.580000000074506,2782005.570000000298023,2848931.799999999813735,2972915.850000000093132,12055560.799999998882413
FS( 108 ),3490526.379999999888241,2846574.360000000335276,2846586.039999999571592,2989280.679999999701977,12172967.459999999031425
FS( 109 ),3477586.779999999795109,2866993.550000000745058,2845999.600000000093132,2957937.870000000111759,12148517.800000000745058
FS( 110 ),3462706.240000000223517,2833881.350000000558794,2840721.639999999664724,2917996.589999999850988,12055305.820000000298023
FS( 111 ),3442649.859999999869615,2852093.060000000521541,2847172.479999999515712,2941018.299999999813735,12082933.699999999254942
FS( 112 ),3423887.439999999944121,2900657.620000000577420,2842480.959999999497086,2947397.810000000055879,12114423.830000000074506
FS( 113 ),3407389.449999999720603,2989508.690000000409782,2837789.439999999944121,2929646.129999999888241,12164333.710000000894070
FS( 114 ),3372129.039999999571592,2945359.090000000316650,2842480.959999999497086,2927427.169999999925494,12087396.259999999776483
FS( 115 ),3436503.549999999813735,2976815.680000000167638,2840135.199999999720603,2962375.790000000037253,12215830.219999998807907
FS( 116 ),3369541.119999999646097,2966882.020000000484288,2848345.359999999869615,2914113.410000000149012,12098881.910000000149012
FS( 117 ),3323282.049999999813735,2919973.070000000298023,2813158.959999999497086,2856697.819999999832362,11913111.900000000372529
FS( 118 ),3347220.309999999590218,2899002.010000000242144,2797325.080000000074506,2859194.149999999906868,11902741.550000000745058
FS( 119 ),3387656.559999999590218,2878582.820000000298023,2790287.799999999813735,2846712.500000000000000,11903239.679999999701977
FS( 120 ),3384745.149999999441206,2903968.840000000316650,2789114.919999999925494,2840332.990000000223517,11918161.900000000372529
FS( 121 ),3361453.869999999646097,2918869.330000000540167,2783250.520000000018626,2820917.089999999850988,11884490.810000000521541
FS( 122 ),3401243.139999999664724,2922732.420000000391155,2803775.919999999925494,2855865.709999999962747,11983617.190000001341105
FS( 123 ),3412241.799999999813735,3044695.690000000409782,2799084.399999999441206,2851427.790000000037253,12107449.679999999701977
FS( 124 ),3413859.250000000000000,3037521.380000000353903,2792633.559999999590218,2837559.290000000037253,12081573.480000000447035
FS( 125 ),3338809.569999999366701,2951981.530000000260770,2762725.119999999646097,2772099.969999999739230,11825616.189999997615814
FS( 126 ),3340750.509999999776483,2943151.610000000335276,2761552.240000000223517,2773209.450000000186265,11818663.809999998658895
FS( 127 ),3394449.850000000093132,2948670.310000000521541,2762138.679999999701977,2786523.209999999962747,11891782.050000000745058
FS( 128 ),3361777.359999999869615,2939288.520000000484288,2773281.039999999571592,2776537.889999999664724,11850884.809999998658895
FS( 129 ),3397037.770000000018626,2942599.740000000223517,2768589.520000000018626,2847544.609999999869615,11955771.639999998733401
FS( 130 ),3441032.410000000149012,2969089.500000000000000,2796152.199999999720603,2866960.509999999776483,12073234.619999999180436
FS( 131 ),3450090.129999999888241,3018757.800000000745058,2786182.719999999739230,2875836.350000000093132,12130867.000000000000000
FS( 132 ),3431327.709999999497086,3030347.070000000298023,2785009.839999999850988,2863354.700000000186265,12110039.320000000298023
FS( 133 ),3467558.589999999850988,3050214.390000000596046,2799670.839999999850988,2898025.950000000186265,12215469.769999999552965
FS( 134 ),3499260.609999999869615,3142376.680000000167638,2813745.399999999441206,2947397.810000000055879,12402780.500000000000000
FS( 135 ),3533550.549999999813735,3131891.150000000372529,2823128.439999999944121,2990944.899999999906868,12479515.040000000968575
FS( 136 ),3551989.479999999515712,3054077.480000000447035,2806121.679999999701977,2990944.899999999906868,12403133.540000000968575
FS( 137 ),3601483.449999999720603,3133546.760000000242144,2802603.039999999571592,3006477.620000000111759,12544110.870000001043081
FS( 138 ),3741878.109999999869615,3128028.060000000521541,2826060.639999999664724,3042813.089999999850988,12738779.899999998509884
FS( 139 ),3788460.669999999925494,3120853.750000000000000,2815504.719999999739230,3061951.620000000111759,12786770.760000001639128
FS( 140 ),3830190.879999999888241,3211360.430000000167638,2838375.879999999888241,3079148.560000000055879,12959075.750000001862645
FS( 141 ),3850894.240000000223517,3191493.110000000335276,2830165.719999999739230,3106608.189999999944121,12979161.259999999776483
FS( 142 ),3772933.149999999441206,3120301.880000000353903,2815504.719999999739230,3039484.649999999906868,12748224.400000000372529
FS( 143 ),3801400.270000000018626,3083878.460000000428408,2796152.199999999720603,3035046.729999999981374,12716477.660000000149012
FS( 144 ),3849600.279999999795109,3073944.800000000745058,2787355.600000000093132,3051134.189999999944121,12762034.869999999180436
FS( 145 ),3833749.270000000018626,3132443.020000000484288,2795565.759999999776483,3030608.810000000055879,12792366.860000001266599
FS( 146 ),3861892.899999999441206,3142928.550000000745058,2796152.199999999720603,3041703.609999999869615,12842677.259999999776483
FS( 147 ),3841189.539999999571592,3066770.490000000223517,2802603.039999999571592,3033382.509999999776483,12743945.579999998211861
FS( 148 ),3801076.779999999795109,3018205.930000000167638,2792047.119999999646097,2990667.529999999795109,12601997.359999999403954
FS( 149 ),3809164.029999999795109,3011031.620000000577420,2858314.839999999850988,2978463.250000000000000,12656973.740000000223517
FS( 150 ),3812075.439999999944121,3041384.470000000204891,2836616.559999999590218,2911894.450000000186265,12601970.919999998062849
FS( 151 ),3727968.039999999571592,3046903.170000000391155,2836030.119999999646097,2876113.719999999739230,12487015.050000000745058
FS( 152 ),3791372.080000000074506,3142928.550000000745058,2828406.399999999441206,2892201.179999999701977,12654908.210000000894070
FS( 153 ),3774874.089999999850988,3092708.380000000353903,2808467.439999999944121,2885544.299999999813735,12561594.210000000894070
FS( 154 ),3734437.839999999850988,3027587.720000000204891,2800257.279999999795109,2850318.310000000055879,12412601.150000000372529
FS( 155 ),3703059.309999999590218,3059044.310000000521541,2772108.160000000149012,2852537.270000000018626,12386749.050000000745058
FS( 156 ),3846365.379999999888241,3174937.010000000242144,2785009.839999999850988,2937967.229999999981374,12744279.460000000894070
FS( 157 ),3816604.299999999813735,3227916.530000000260770,2773281.039999999571592,2968200.560000000055879,12786002.429999999701977
FS( 158 ),3864480.819999999366701,3208049.210000000428408,2741613.279999999795109,2965149.490000000223517,12779292.799999998882413
FS( 159 ),3823074.100000000093132,3177696.360000000335276,2731057.359999999869615,2934638.790000000037253,12666466.609999999403954
FS( 160 ),3892947.939999999944121,3232331.490000000223517,2766243.759999999776483,2952113.100000000093132,12843636.289999999105930
FS( 161 ),3956028.490000000223517,3252750.680000000167638,2762725.119999999646097,2996214.929999999701977,12967719.219999998807907
FS( 162 ),3963468.759999999776483,3246680.110000000335276,2733403.119999999646097,2988448.569999999832362,12932000.560000000521541
FS( 163 ),3929502.309999999590218,3250543.200000000186265,2727538.719999999739230,2985120.129999999888241,12892704.359999999403954
FS( 164 ),3962174.799999999813735,3265443.690000000409782,2725192.959999999497086,2943792.000000000000000,12896603.449999999254942
FS( 165 ),4173737.260000000242144,3225157.180000000167638,2730470.919999999925494,2951003.620000000111759,13080368.980000000447035
FS( 166 ),4172443.299999999348074,3192596.850000000558794,2710531.959999999497086,2969587.410000000149012,13045159.519999999552965
FS( 167 ),4243934.589999999850988,3105953.260000000242144,2729298.039999999571592,2982346.429999999701977,13061532.319999998435378
FS( 168 ),4201557.400000000372529,3073944.800000000745058,2659511.679999999701977,2939908.819999999832362,12874922.700000001117587
FS( 169 ),4194440.619999999180436,3100986.430000000167638,2672999.799999999813735,2951835.729999999981374,12920262.579999998211861
FS( 170 ),4195087.599999999627471,3085534.070000000298023,2653060.839999999850988,2938799.339999999850988,12872481.849999999627471
FS( 171 ),4221613.779999999329448,3102090.170000000391155,2644264.240000000223517,2947120.439999999944121,12915088.629999998956919
FS( 172 ),4303456.750000000000000,3061251.790000000502914,2652474.399999999441206,2982069.060000000055879,12999252.000000001862645
FS( 173 ),4295692.990000000223517,3018205.930000000167638,2681209.959999999497086,2995105.450000000186265,12990214.329999998211861
FS( 174 ),4320925.209999999031425,3043040.080000000540167,2660098.119999999646097,2986784.350000000093132,13010847.759999997913837
FS( 175 ),4305397.689999999478459,3085534.070000000298023,2695284.520000000018626,3014243.979999999981374,13100460.259999999776483
FS( 176 ),4254286.269999999552965,3039176.990000000223517,2687074.359999999869615,2975412.179999999701977,12955949.799999998882413
FS( 177 ),4318337.290000000968575,3117542.530000000260770,2744545.479999999515712,3010915.540000000037253,13191340.839999999850988
FS( 178 ),4287282.250000000000000,3116990.660000000149012,2756274.279999999795109,2997879.149999999906868,13158426.339999999850988
FS( 179 ),4280812.450000001117587,3091604.640000000596046,2790874.240000000223517,2980404.839999999850988,13143696.170000001788139
FS( 180 ),4307985.609999999403954,3112023.830000000540167,2776213.240000000223517,2980682.209999999962747,13176904.890000000596046
FS( 181 ),4370095.689999999478459,3151758.470000000204891,2804362.359999999869615,3014798.719999999739230,13341015.239999998360872
FS( 182 ),4402121.200000001117587,3161692.130000000353903,2819023.359999999869615,3012025.020000000018626,13394861.710000000894070
FS( 183 ),4475876.919999999925494,3133546.760000000242144,2815504.719999999739230,3027003.000000000000000,13451931.399999998509884
FS( 184 ),4431235.299999998882413,3120301.880000000353903,2819023.359999999869615,3026170.889999999664724,13396731.429999999701977
FS( 185 ),4284694.330000000074506,3085534.070000000298023,2822542.000000000000000,3018681.899999999906868,13211452.300000000745058
FS( 186 ),4300221.849999999627471,3114783.180000000167638,2851277.559999999590218,3044754.679999999701977,13311037.269999999552965
FS( 187 ),4398562.810000000521541,3116990.660000000149012,2870043.639999999664724,3056681.589999999850988,13442278.699999999254942
FS( 188 ),4302486.279999999329448,3065666.750000000000000,2912267.319999999366701,3059732.660000000149012,13340153.009999997913837
FS( 189 ),4360067.500000000000000,3048558.780000000260770,2907575.799999999813735,3077206.969999999739230,13393409.050000000745058
FS( 190 ),4358126.560000000521541,3072841.060000000521541,2922236.799999999813735,3093017.060000000055879,13446221.480000002309680
FS( 191 ),4342922.529999999329448,3070081.710000000428408,2922236.799999999813735,3074988.009999999776483,13410229.049999998882413
FS( 192 ),4340011.119999999180436,3142376.680000000167638,2942762.199999999720603,3059732.660000000149012,13484882.659999998286366
FS( 193 ),4270137.279999999329448,3043040.080000000540167,2918131.719999999739230,3042535.719999999739230,13273844.799999997019768
FS( 194 ),4253962.779999999329448,3056284.960000000428408,2891741.919999999925494,3021732.969999999739230,13223722.629999998956919
FS( 195 ),4293752.049999998882413,3034210.160000000149012,2862419.919999999925494,3024784.040000000037253,13215166.169999998062849
FS( 196 ),4373007.099999999627471,3086085.940000000409782,2896433.439999999944121,3082199.629999999888241,13437726.109999999403954
FS( 197 ),4356832.599999999627471,3206393.600000000558794,2906402.919999999925494,3083863.850000000093132,13553492.970000000670552
FS( 198 ),4325130.580000000074506,3283655.400000000372529,2898779.199999999720603,3078316.450000000186265,13585881.629999998956919
FS( 199 ),4288252.720000000670552,3226260.920000000391155,2870630.080000000074506,3013966.609999999869615,13399110.330000000074506
FS( 200 ),4301192.320000000298023,3203634.250000000000000,2833684.359999999869615,2998156.520000000018626,13336667.449999999254942
FS( 201 ),4329335.950000001117587,3263236.210000000428408,2837203.000000000000000,2977631.139999999664724,13407406.300000000745058
FS( 202 ),4358126.560000000521541,3269306.780000000260770,2820196.240000000223517,3010360.799999999813735,13457990.380000002682209
FS( 203 ),4395651.400000000372529,3316767.600000000558794,2809053.879999999888241,2985120.129999999888241,13506593.010000001639128
FS( 204 ),4383035.290000000968575,3419415.420000000391155,2867697.879999999888241,3045864.160000000149012,13716012.750000000000000
FS( 205 ),4372683.609999999403954,3450320.140000000596046,2861247.039999999571592,3037265.689999999944121,13721516.479999998584390
FS( 206 ),4421207.109999999403954,3440938.350000000558794,2892328.359999999869615,3069440.609999999869615,13823914.429999999701977
FS( 207 ),4412472.880000000819564,3448664.530000000260770,2894674.119999999646097,3073878.529999999795109,13829690.060000000521541
FS( 208 ),4426382.950000001117587,3491158.520000000484288,2897606.319999999366701,3091907.580000000074506,13907055.370000001043081
FS( 209 ),4472965.509999999776483,3525374.460000000428408,2915785.959999999497086,3125746.719999999739230,14039872.649999998509884
FS( 210 ),4428647.380000000819564,3504955.270000000484288,2919891.039999999571592,3128797.790000000037253,13982291.480000000447035
FS( 211 ),4396945.359999999403954,3504955.270000000484288,2928687.639999999664724,3126856.200000000186265,13957444.469999998807907
FS( 212 ),4415384.290000000968575,3489502.910000000149012,2935138.479999999515712,3156534.790000000037253,13996560.469999998807907
FS( 213 ),4421207.109999999403954,3447560.790000000502914,2902297.839999999850988,3120199.319999999832362,13891265.060000000521541
FS( 214 ),4451938.660000000149012,3432108.430000000167638,2916372.399999999441206,3131571.490000000223517,13931990.979999998584390
FS( 215 ),4477494.369999999180436,3426037.860000000335276,2916958.839999999850988,3128520.419999999925494,13949011.490000000223517
FS( 216 ),4545427.269999999552965,3387958.830000000540167,2938657.119999999646097,3148491.060000000055879,14020534.279999999329448
FS( 217 ),4555455.459999999031425,3391821.920000000391155,2919891.039999999571592,3152374.240000000223517,14019542.659999998286366
FS( 218 ),4597832.650000000372529,3348224.190000000409782,2904057.160000000149012,3154038.459999999962747,14004152.460000000894070
FS( 219 ),4590392.380000000819564,3356502.240000000223517,2925169.000000000000000,3157366.899999999906868,14029430.520000001415610
FS( 220 ),4551573.580000000074506,3292485.320000000298023,3115175.559999999590218,3128797.790000000037253,14088032.250000000000000
FS( 221 ),4529252.769999999552965,3352087.280000000260770,3108138.279999999795109,3124082.500000000000000,14113560.830000000074506
FS( 222 ),4548985.660000000149012,3383543.870000000577420,3079989.160000000149012,3164023.779999999795109,14176542.470000000670552
FS( 223 ),4535722.570000000298023,3386303.220000000204891,3078816.279999999795109,3168184.330000000074506,14169026.400000000372529
FS( 224 ),4543809.820000000298023,3385199.480000000447035,3046562.080000000074506,3167906.959999999962747,14143478.339999999850988
FS( 225 ),4582952.109999999403954,3609810.570000000298023,3039524.799999999813735,3189541.819999999832362,14421829.300000000745058
FS( 226 ),4670294.410000000149012,3589943.250000000000000,3011375.679999999701977,3220884.629999999888241,14492497.969999998807907
FS( 227 ),4571306.470000000670552,3514888.930000000167638,3026036.679999999701977,3185381.270000000018626,14297613.349999999627471
FS( 228 ),4420560.130000000819564,3411689.240000000223517,3048321.399999999441206,3101060.790000000037253,13981631.559999998658895
FS( 229 ),4443527.919999999925494,3387406.960000000428408,3080575.600000000093132,3156257.419999999925494,14067767.900000000372529
FS( 230 ),4434793.689999999478459,3384095.740000000223517,3100514.559999999590218,3158199.009999999776483,14077602.999999998137355
