代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12415643.969999998807907
真實報酬,2415643.969999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,11859.604171209983178
風險,257463.389248007384595
起點值,0.046063264395956
找到最佳解世代,1639
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
AAPL[0](3),KO[14](2),MCD[15](7),UNH[23](4),
FS( 24 ),2768208.859999999869615,2620093.660000000149012,2619457.439999999944121,2586790.029999999795109,10594549.989999998360872
FS( 25 ),2816523.619999999646097,2641236.910000000149012,2642147.680000000167638,2596668.569999999832362,10696576.779999999329448
FS( 26 ),2805993.479999999515712,2646311.290000000037253,2646151.839999999850988,2600902.229999999981374,10699358.839999999850988
FS( 27 ),2819620.720000000204891,2641236.910000000149012,2646485.520000000018626,2619248.089999999850988,10726591.240000000223517
FS( 28 ),2796702.179999999701977,2648848.479999999981374,2639478.239999999757856,2609369.549999999813735,10694398.449999999254942
FS( 29 ),2814045.939999999944121,2645465.560000000055879,2652825.439999999944121,2622070.529999999795109,10734407.469999998807907
FS( 30 ),2802276.959999999962747,2655614.319999999832362,2659499.040000000037253,2643944.439999999944121,10761334.759999999776483
FS( 31 ),2725468.879999999888241,2660688.700000000186265,2631136.239999999757856,2587495.640000000130385,10604789.460000000894070
FS( 32 ),2716797.000000000000000,2662380.160000000149012,2638477.199999999720603,2502822.439999999944121,10520476.799999998882413
FS( 33 ),2668482.239999999757856,2625168.040000000037253,2583420.000000000000000,2470364.379999999888241,10347434.660000000149012
FS( 34 ),2659190.939999999944121,2643774.100000000093132,2615119.600000000093132,2492943.899999999906868,10411028.540000000968575
FS( 35 ),2729185.399999999906868,2699592.280000000260770,2636808.799999999813735,2514112.200000000186265,10579698.679999999701977
FS( 36 ),2714319.319999999832362,2719889.799999999813735,2657496.959999999962747,2540219.770000000018626,10631925.849999999627471
FS( 37 ),2773164.220000000204891,2718198.340000000316650,2653492.799999999813735,2572677.830000000074506,10717533.190000001341105
FS( 38 ),2731663.080000000074506,2690289.250000000000000,2636475.120000000111759,2543747.819999999832362,10602175.269999999552965
FS( 39 ),2785552.619999999646097,2732575.750000000465661,2652158.080000000074506,2552920.750000000000000,10723207.199999999254942
FS( 40 ),2787410.879999999888241,2711432.500000000465661,2620792.160000000149012,2531752.450000000186265,10651387.990000002086163
FS( 41 ),2804135.220000000204891,2680986.220000000204891,2611449.120000000111759,2581850.760000000242144,10678421.320000000298023
FS( 42 ),2753342.780000000260770,2671683.189999999944121,2612783.839999999850988,2576911.490000000223517,10614721.300000000745058
FS( 43 ),2799799.280000000260770,2735958.670000000391155,2645818.160000000149012,2658056.640000000130385,10839632.750000001862645
FS( 44 ),2815284.780000000260770,2744415.970000000204891,2648821.279999999795109,2684869.819999999832362,10893391.849999999627471
FS( 45 ),2809090.580000000074506,2727501.370000000111759,2661501.120000000111759,2668640.790000000037253,10866733.859999999403954
FS( 46 ),2833247.959999999962747,2706358.120000000111759,2655494.879999999888241,2631243.459999999962747,10826344.419999999925494
FS( 47 ),2815904.199999999720603,2712278.229999999981374,2680854.560000000055879,2594551.740000000223517,10803588.730000000447035
FS( 48 ),2840681.000000000000000,2723272.720000000204891,2627465.759999999776483,2599491.010000000242144,10790910.490000000223517
FS( 49 ),2829531.439999999944121,2741878.780000000260770,2589759.919999999925494,2586084.419999999925494,10747254.560000000521541
FS( 50 ),2836345.060000000055879,2734267.209999999962747,2588091.520000000018626,2587495.640000000130385,10746199.429999999701977
FS( 51 ),2846255.780000000260770,2741878.780000000260770,2573075.919999999925494,2603724.669999999925494,10764935.150000000372529
FS( 52 ),2834486.799999999813735,2702129.470000000204891,2573075.919999999925494,2575500.270000000018626,10685192.459999999031425
FS( 53 ),2835106.220000000204891,2737650.129999999888241,2568738.080000000074506,2501411.220000000204891,10642905.650000000372529
FS( 54 ),2842539.259999999776483,2763022.030000000260770,2559728.719999999739230,2512700.979999999981374,10677990.990000000223517
FS( 55 ),2836964.479999999515712,2778245.170000000391155,2563065.520000000018626,2473186.819999999832362,10651461.990000000223517
FS( 56 ),2851211.140000000130385,2762176.299999999813735,2566736.000000000000000,2482359.750000000000000,10662483.189999999478459
FS( 57 ),2868554.899999999906868,2768942.140000000130385,2564733.919999999925494,2492943.899999999906868,10695174.859999999403954
FS( 58 ),2877226.780000000260770,2774016.520000000018626,2569739.120000000111759,2528930.010000000242144,10749912.430000001564622
FS( 59 ),2863599.539999999571592,2773170.790000000037253,2568070.719999999739230,2523990.740000000223517,10728831.789999999105930
FS( 60 ),2872890.839999999850988,2751181.810000000055879,2550385.680000000167638,2507761.709999999962747,10682220.039999999105930
FS( 61 ),2880323.879999999888241,2763867.760000000242144,2550385.680000000167638,2520462.689999999944121,10715040.009999999776483
FS( 62 ),2878465.619999999646097,2768096.409999999683350,2569071.759999999776483,2533869.279999999795109,10749503.069999998435378
FS( 63 ),2864218.959999999962747,2769787.870000000111759,2561397.120000000111759,2535986.109999999869615,10731390.060000000521541
FS( 64 ),2854308.239999999757856,2781628.090000000316650,2561397.120000000111759,2547981.479999999981374,10745314.929999999701977
FS( 65 ),2916250.239999999757856,2757947.649999999906868,2556058.239999999757856,2619953.700000000186265,10850209.829999998211861
FS( 66 ),2931735.739999999757856,2701283.740000000223517,2479645.520000000018626,2643944.439999999944121,10756609.439999999478459
FS( 67 ),2955273.699999999720603,2685214.870000000111759,2491324.319999999832362,2652411.760000000242144,10784224.650000000372529
FS( 68 ),2953415.439999999944121,2665763.080000000074506,2476308.719999999739230,2707449.339999999850988,10802936.579999998211861
FS( 69 ),2974475.720000000204891,2660688.700000000186265,2481647.600000000093132,2713094.220000000204891,10829906.240000000223517
FS( 70 ),3030223.520000000018626,2666608.810000000055879,2454619.520000000018626,2713094.220000000204891,10864546.070000000298023
FS( 71 ),3023409.899999999906868,2651385.670000000391155,2465964.640000000130385,2757547.649999999906868,10898307.860000001266599
FS( 72 ),3047567.280000000260770,2665763.080000000074506,2455954.239999999757856,2742024.229999999981374,10911308.830000000074506
FS( 73 ),3058716.839999999850988,2680986.220000000204891,2424922.000000000000000,2794239.370000000111759,10958864.429999999701977
FS( 74 ),3083493.640000000130385,2669991.729999999981374,2471303.520000000018626,2876795.740000000223517,11101584.630000000819564
FS( 75 ),3014118.599999999627471,2684369.140000000130385,2491991.680000000167638,2884557.450000000186265,11075036.870000001043081
FS( 76 ),2998633.099999999627471,2681831.950000000186265,2514348.239999999757856,2861977.930000000167638,11056791.219999998807907
FS( 77 ),2944124.140000000130385,2661534.430000000167638,2508008.319999999832362,2844337.680000000167638,10958004.570000000298023
FS( 78 ),2890854.020000000018626,2654768.590000000316650,2503003.120000000111759,2851393.779999999795109,10900019.509999999776483
FS( 79 ),2986244.699999999720603,2675066.109999999869615,2515349.279999999795109,2809057.180000000167638,10985717.269999999552965
FS( 80 ),3020932.220000000204891,2662380.160000000149012,2518686.080000000074506,2866211.589999999850988,11068210.050000000745058
FS( 81 ),3042611.919999999925494,2662380.160000000149012,2508342.000000000000000,2840104.020000000018626,11053438.099999999627471
FS( 82 ),3037037.140000000130385,2651385.670000000391155,2480980.239999999757856,2984048.459999999962747,11153451.510000001639128
FS( 83 ),2973856.299999999813735,2631088.149999999906868,2445276.479999999981374,2888085.500000000000000,10938306.429999999701977
FS( 84 ),3002349.619999999646097,2658151.510000000242144,2458290.000000000000000,2896552.819999999832362,11015343.949999999254942
FS( 85 ),3053142.060000000055879,2666608.810000000055879,2451616.399999999906868,2968525.040000000037253,11139892.309999998658895
FS( 86 ),3046947.859999999869615,2658151.510000000242144,2457288.959999999962747,2960057.720000000204891,11122446.050000000745058
FS( 87 ),3038895.399999999906868,2646311.290000000037253,2463628.879999999888241,3036969.209999999962747,11185804.779999999329448
FS( 88 ),3066149.879999999888241,2645465.560000000055879,2470969.839999999850988,2998160.660000000149012,11180745.939999999478459
FS( 89 ),3113845.220000000204891,2643774.100000000093132,2450949.040000000037253,2950179.180000000167638,11158747.540000000968575
FS( 90 ),3142957.959999999962747,2658997.240000000223517,2514681.919999999925494,2961468.939999999944121,11278106.060000000521541
FS( 91 ),3169593.020000000018626,2670837.459999999962747,2533701.680000000167638,2968525.040000000037253,11342657.199999999254942
FS( 92 ),3137383.179999999701977,2686906.330000000074506,2528029.120000000111759,2993927.000000000000000,11346245.629999998956919
FS( 93 ),3157824.039999999571592,2688597.790000000037253,2540708.959999999962747,2990398.950000000186265,11377529.740000000223517
FS( 94 ),3178264.899999999906868,2669991.729999999981374,2544045.759999999776483,2996043.830000000074506,11388346.220000000670552
FS( 95 ),3184459.099999999627471,2672528.920000000391155,2541042.640000000130385,2965702.600000000093132,11363733.259999999776483
FS( 96 ),3213571.839999999850988,2680986.220000000204891,2536704.799999999813735,2998866.270000000018626,11430129.129999998956919
FS( 97 ),3170831.859999999869615,2730038.560000000055879,2535370.080000000074506,3005216.760000000242144,11441457.259999999776483
FS( 98 ),3102076.239999999757856,2730038.560000000055879,2540375.279999999795109,3022857.010000000242144,11395347.089999999850988
FS( 99 ),2996155.419999999925494,2696209.359999999869615,2526027.040000000037253,3031324.330000000074506,11249716.149999998509884
FS( 100 ),3032081.780000000260770,2702975.200000000186265,2509009.359999999869615,3027796.279999999795109,11271862.619999999180436
FS( 101 ),3033940.039999999571592,2701283.740000000223517,2509676.719999999739230,3016506.520000000018626,11261407.019999999552965
FS( 102 ),3081015.959999999962747,2719889.799999999813735,2483983.359999999869615,3000277.490000000223517,11285166.609999999403954
FS( 103 ),3125614.199999999720603,2702975.200000000186265,2525359.680000000167638,3004511.149999999906868,11358460.230000000447035
FS( 104 ),3090926.679999999701977,2745261.700000000186265,2498998.959999999962747,2995338.220000000204891,11330525.560000000521541
FS( 105 ),3115703.479999999515712,2724964.180000000167638,2492325.359999999869615,3073660.930000000167638,11406653.949999999254942
FS( 106 ),3181981.419999999925494,2772325.060000000055879,2544045.759999999776483,3160450.959999999962747,11658803.199999999254942
FS( 107 ),3185697.939999999944121,2757101.920000000391155,2537038.479999999981374,3136460.220000000204891,11616298.560000000521541
FS( 108 ),3144816.220000000204891,2757947.649999999906868,2545714.160000000149012,3073660.930000000167638,11522138.960000000894070
FS( 109 ),3147913.319999999832362,2775707.979999999981374,2520688.160000000149012,3092712.399999999906868,11537021.860000001266599
FS( 110 ),3118800.580000000074506,2774862.250000000465661,2528696.479999999981374,3139282.660000000149012,11561641.970000000670552
FS( 111 ),3067388.720000000204891,2761330.569999999832362,2558727.680000000167638,3089889.959999999962747,11477336.929999999701977
FS( 112 ),3114464.640000000130385,2741033.049999999813735,2560396.080000000074506,3075777.760000000242144,11491671.529999999329448
FS( 113 ),3128711.299999999813735,2703820.930000000167638,2525026.000000000000000,3045436.529999999795109,11402994.759999999776483
FS( 114 ),3056858.580000000074506,2665763.080000000074506,2506673.600000000093132,3019328.959999999962747,11248624.219999998807907
FS( 115 ),2919966.759999999776483,2604870.520000000018626,2448613.279999999795109,2953707.229999999981374,10927157.789999999105930
FS( 116 ),2961467.899999999906868,2633625.340000000316650,2449280.640000000130385,2982637.240000000223517,11027011.120000001043081
FS( 117 ),2926160.959999999962747,2651385.670000000391155,2435599.759999999776483,3005922.370000000111759,11019068.760000001639128
FS( 118 ),3002349.619999999646097,2688597.790000000037253,2461293.120000000111759,3047553.359999999869615,11199793.890000000596046
FS( 119 ),3019073.959999999962747,2686060.600000000093132,2464963.600000000093132,3015800.910000000149012,11185899.070000000298023
FS( 120 ),3001730.199999999720603,2718198.340000000316650,2486986.479999999981374,3016506.520000000018626,11223421.539999999105930
FS( 121 ),3052522.640000000130385,2735958.670000000391155,2500333.680000000167638,3090595.569999999832362,11379410.560000000521541
FS( 122 ),3110748.119999999646097,2757947.649999999906868,2511011.439999999944121,3087067.520000000018626,11466774.729999998584390
FS( 123 ),3100837.399999999906868,2750336.080000000540167,2502669.439999999944121,3095534.839999999850988,11449377.759999999776483
FS( 124 ),3105792.759999999776483,2779090.899999999906868,2515015.600000000093132,3138577.049999999813735,11538476.309999998658895
FS( 125 ),3084732.479999999515712,2792622.580000000540167,2529697.520000000018626,3203493.169999999925494,11610545.750000000000000
FS( 126 ),3084113.060000000055879,2805308.530000000260770,2539040.560000000055879,3189380.970000000204891,11617843.120000001043081
FS( 127 ),3048806.119999999646097,2842520.649999999906868,2535703.759999999776483,3218310.979999999981374,11645341.509999999776483
FS( 128 ),3019073.959999999962747,2861126.709999999962747,2549050.959999999962747,3217605.370000000111759,11646857.000000000000000
FS( 129 ),2998633.099999999627471,2853515.140000000130385,2556058.239999999757856,3181619.260000000242144,11589825.740000000223517
FS( 130 ),2991200.060000000055879,2860280.979999999981374,2560062.399999999906868,3172446.330000000074506,11583989.769999999552965
FS( 131 ),2991819.479999999515712,2851823.680000000167638,2536371.120000000111759,3135049.000000000000000,11515063.280000001192093
FS( 132 ),2965184.419999999925494,2845057.840000000316650,2537372.160000000149012,3131520.950000000186265,11479135.370000001043081
FS( 133 ),2927399.799999999813735,2850132.220000000204891,2544379.439999999944121,3127287.290000000037253,11449198.750000000000000
FS( 134 ),2941646.459999999962747,2828988.970000000204891,2558060.319999999832362,3161862.180000000167638,11490557.929999999701977
FS( 135 ),2974475.720000000204891,2845057.840000000316650,2565734.959999999962747,3127992.899999999906868,11513261.419999999925494
FS( 136 ),2941646.459999999962747,2889035.799999999813735,2571741.199999999720603,3162567.790000000037253,11564991.250000000000000
FS( 137 ),2897667.640000000130385,2876349.850000000093132,2582085.279999999795109,3173857.549999999813735,11529960.320000000298023
FS( 138 ),2936691.099999999627471,2846749.299999999813735,2569405.439999999944121,3072955.319999999832362,11425801.160000000149012
FS( 139 ),2989961.220000000204891,2836600.540000000037253,2556058.239999999757856,3101885.330000000074506,11484505.330000000074506
FS( 140 ),3030223.520000000018626,2868738.280000000260770,2616120.640000000130385,3121642.410000000149012,11636724.850000001490116
FS( 141 ),3103315.080000000074506,2870429.739999999757856,2566402.319999999832362,3373545.180000000167638,11913692.320000000298023
FS( 142 ),3123755.939999999944121,2864509.629999999888241,2573743.279999999795109,3366489.080000000074506,11928497.929999999701977
FS( 143 ),3100837.399999999906868,2830680.430000000167638,2567403.359999999869615,3341087.120000000111759,11840008.309999998658895
FS( 144 ),3098359.720000000204891,2833217.620000000111759,2598435.600000000093132,3401769.580000000074506,11931782.519999999552965
FS( 145 ),3068627.560000000055879,2850977.950000000186265,2603774.479999999981374,3464568.870000000111759,11987948.859999999403954
FS( 146 ),3098359.720000000204891,2852669.409999999683350,2613117.520000000018626,3473741.799999999813735,12037888.449999999254942
FS( 147 ),3064291.619999999646097,2863663.899999999906868,2624128.959999999962747,3519606.450000000186265,12071690.929999999701977
FS( 148 ),3081015.959999999962747,2870429.739999999757856,2634139.359999999869615,3505494.250000000000000,12091079.309999998658895
FS( 149 ),3093404.359999999869615,2852669.409999999683350,2638477.199999999720603,3497026.930000000167638,12081577.899999998509884
FS( 150 ),3068627.560000000055879,2820531.670000000391155,2622794.239999999757856,3498438.149999999906868,12010391.620000001043081
FS( 151 ),3067388.720000000204891,2828988.970000000204891,2626131.040000000037253,3536541.089999999850988,12059049.820000000298023
FS( 152 ),3076060.599999999627471,2831526.159999999683350,2646485.520000000018626,3561237.439999999944121,12115309.719999998807907
FS( 153 ),3092165.520000000018626,2847595.030000000260770,2659832.719999999739230,3564059.879999999888241,12163653.149999998509884
FS( 154 ),3072344.080000000074506,2846749.299999999813735,2653159.120000000111759,3529484.990000000223517,12101737.490000000223517
FS( 155 ),3066769.299999999813735,2889035.799999999813735,2691532.319999999832362,3533718.649999999906868,12181056.070000000298023
FS( 156 ),3012879.759999999776483,2883115.690000000409782,2694201.759999999776483,3524545.720000000204891,12114742.930000001564622
FS( 157 ),2949079.500000000000000,2868738.280000000260770,2707548.959999999962747,3540069.140000000130385,12065435.880000000819564
FS( 158 ),2974475.720000000204891,2874658.390000000130385,2700541.680000000167638,3527368.160000000149012,12077043.950000001117587
FS( 159 ),3007304.979999999515712,2888190.069999999832362,2719561.439999999944121,3571115.979999999981374,12186172.469999998807907
FS( 160 ),3013499.179999999701977,2894955.909999999683350,2753263.120000000111759,3566882.319999999832362,12228600.530000001192093
FS( 161 ),2966423.259999999776483,2888190.069999999832362,2747256.879999999888241,3509727.910000000149012,12111598.120000001043081
FS( 162 ),2958990.220000000204891,2853515.140000000130385,2752929.439999999944121,3468802.529999999795109,12034237.330000000074506
FS( 163 ),2939788.199999999720603,2853515.140000000130385,2757600.959999999962747,3384129.330000000074506,11935033.630000000819564
FS( 164 ),2980050.500000000000000,2829834.700000000186265,2760270.399999999906868,3377778.839999999850988,11947934.439999999478459
FS( 165 ),2964565.000000000000000,2820531.670000000391155,2750593.680000000167638,3365783.470000000204891,11901473.820000000298023
FS( 166 ),2985625.280000000260770,2812920.100000000093132,2723565.600000000093132,3408120.069999999832362,11930231.050000000745058
FS( 167 ),3077918.859999999869615,2825606.049999999813735,2720896.160000000149012,3453984.720000000204891,12078405.790000000968575
FS( 168 ),3057478.000000000000000,2823068.860000000335276,2702210.080000000074506,3411648.120000000111759,11994405.060000002384186
FS( 169 ),3062433.359999999869615,2792622.580000000540167,2694535.439999999944121,3485031.560000000055879,12034622.940000001341105
FS( 170 ),3038895.399999999906868,2771479.330000000540167,2687528.160000000149012,3446928.620000000111759,11944831.510000001639128
FS( 171 ),2991200.060000000055879,2766404.950000000186265,2692867.040000000037253,3397535.919999999925494,11848007.970000000670552
FS( 172 ),2937929.939999999944121,2757101.920000000391155,2707548.959999999962747,3384834.939999999944121,11787415.759999999776483
FS( 173 ),2939788.199999999720603,2765559.220000000204891,2707882.640000000130385,3401063.970000000204891,11814294.030000001192093
FS( 174 ),2933594.000000000000000,2786702.470000000204891,2711553.120000000111759,3570410.370000000111759,12002259.960000000894070
FS( 175 ),2884040.399999999906868,2765559.220000000204891,2681521.919999999925494,3486442.779999999795109,11817564.320000000298023
FS( 176 ),2890234.599999999627471,2753719.000000000465661,2693868.080000000074506,3465274.479999999981374,11803096.160000000149012
FS( 177 ),2941646.459999999962747,2774862.250000000465661,2718560.399999999906868,3499849.370000000111759,11934918.480000000447035
FS( 178 ),2891473.439999999944121,2747798.890000000130385,2710885.759999999776483,3482209.120000000111759,11832367.210000000894070
FS( 179 ),2877226.780000000260770,2768942.140000000130385,2729905.520000000018626,3504083.029999999795109,11880157.469999998807907
FS( 180 ),2833867.379999999888241,2774862.250000000465661,2753596.799999999813735,3525251.330000000074506,11887577.760000001639128
FS( 181 ),2790507.979999999515712,2784165.280000000260770,2759269.359999999869615,3617686.240000000223517,11951628.859999999403954
FS( 182 ),2878465.619999999646097,2801925.610000000335276,2762939.839999999850988,3684719.189999999944121,12128050.259999999776483
FS( 183 ),2854927.660000000149012,2807845.720000000204891,2757934.640000000130385,3653672.350000000093132,12074380.370000001043081
FS( 184 ),2931116.319999999832362,2747798.890000000130385,2745922.160000000149012,3609218.919999999925494,12034056.290000000968575
FS( 185 ),2887756.919999999925494,2746107.430000000167638,2730906.560000000055879,3560531.830000000074506,11925302.740000000223517
FS( 186 ),2937929.939999999944121,2757101.920000000391155,2746923.199999999720603,3600751.600000000093132,12042706.660000000149012
FS( 187 ),2966423.259999999776483,2792622.580000000540167,2814660.239999999757856,3652966.740000000223517,12226672.820000000298023
FS( 188 ),2955893.119999999646097,2820531.670000000391155,2822001.199999999720603,3636737.709999999962747,12235163.699999999254942
FS( 189 ),2970139.780000000260770,2845903.569999999832362,2813659.199999999720603,3639560.149999999906868,12269262.699999999254942
FS( 190 ),3037656.560000000055879,2879732.770000000018626,2858038.640000000130385,3748929.700000000186265,12524357.670000001788139
FS( 191 ),3092165.520000000018626,2888190.069999999832362,2857704.959999999962747,3729172.620000000111759,12567233.170000001788139
FS( 192 ),3112606.379999999888241,2898338.830000000540167,2865045.919999999925494,3748929.700000000186265,12624920.830000001937151
FS( 193 ),3160921.140000000130385,2907641.860000000335276,2871719.520000000018626,3713649.200000000186265,12653931.719999998807907
FS( 194 ),3183220.259999999776483,2904258.940000000409782,2856370.239999999757856,3674840.649999999906868,12618690.089999999850988
FS( 195 ),3132427.819999999832362,2879732.770000000018626,2848028.239999999757856,3594401.109999999869615,12454589.939999999478459
FS( 196 ),3130569.560000000055879,2868738.280000000260770,2836015.759999999776483,3627564.779999999795109,12462888.379999998956919
FS( 197 ),3168354.179999999701977,2878041.310000000055879,2835014.719999999739230,3650144.299999999813735,12531554.510000001639128
FS( 198 ),3165876.500000000000000,2861972.440000000409782,2863377.520000000018626,3688247.240000000223517,12579473.700000001117587
FS( 199 ),3229057.339999999850988,2856052.330000000540167,2852366.080000000074506,3667078.939999999944121,12604554.689999999478459
FS( 200 ),3307723.679999999701977,2838292.000000000465661,2849696.640000000130385,3665667.720000000204891,12661380.040000000968575
FS( 201 ),3334978.160000000149012,2931322.299999999813735,2876724.719999999739230,3630387.220000000204891,12773412.400000000372529
FS( 202 ),3423555.220000000204891,2912716.239999999757856,2878726.799999999813735,3634620.879999999888241,12849619.140000000596046
FS( 203 ),3427271.739999999757856,2932168.030000000260770,2887736.160000000149012,3679779.919999999925494,12926955.849999999627471
FS( 204 ),3480541.859999999869615,2949082.629999999888241,2955139.520000000018626,3722116.520000000018626,13106880.529999999329448
FS( 205 ),3526378.939999999944121,2928785.110000000335276,2940457.600000000093132,3643088.200000000186265,13038709.850000001490116
FS( 206 ),3569738.339999999850988,2926247.920000000391155,2937120.799999999813735,3616980.629999999888241,13050087.689999997615814
FS( 207 ),3473728.239999999757856,2905104.670000000391155,2906088.560000000055879,3520312.060000000055879,12805233.530000001192093
FS( 208 ),3466914.619999999646097,2910179.049999999813735,2895744.479999999981374,3522428.890000000130385,12795267.040000000968575
FS( 209 ),3455145.640000000130385,2876349.850000000093132,2885734.080000000074506,3501966.200000000186265,12719195.769999999552965
FS( 210 ),3510893.439999999944121,2864509.629999999888241,2882730.959999999962747,3388362.990000000223517,12646497.020000001415610
FS( 211 ),3441518.399999999906868,2835754.810000000055879,2838351.520000000018626,3314979.549999999813735,12430604.280000001192093
FS( 212 ),3473728.239999999757856,2892418.720000000204891,2854368.160000000149012,3329091.750000000000000,12549606.870000001043081
FS( 213 ),3339314.099999999627471,2783319.549999999813735,2812324.479999999981374,3180208.040000000037253,12115166.169999998062849
FS( 214 ),3305865.419999999925494,2823914.590000000316650,2839018.879999999888241,3214782.930000000167638,12183581.820000000298023
FS( 215 ),3125614.199999999720603,2753719.000000000465661,2739915.919999999925494,2958646.500000000000000,11577895.620000001043081
FS( 216 ),3309581.939999999944121,2819685.940000000409782,2868382.719999999739230,3156217.299999999813735,12153867.900000002235174
FS( 217 ),3218527.199999999720603,2704666.660000000149012,2805650.879999999888241,2953001.620000000111759,11681846.359999999403954
FS( 218 ),3307104.259999999776483,2811228.640000000130385,2879060.479999999981374,3099768.500000000000000,12097161.880000000819564
FS( 219 ),3336217.000000000000000,2839137.729999999981374,2886401.439999999944121,3161862.180000000167638,12223618.349999999627471
FS( 220 ),3392584.220000000204891,2883961.420000000391155,2897079.199999999720603,3241596.109999999869615,12415220.949999999254942
FS( 221 ),3366568.580000000074506,2883115.690000000409782,2892074.000000000000000,3210549.270000000018626,12352307.539999999105930
FS( 222 ),3366568.580000000074506,2929630.840000000316650,2919769.439999999944121,3212666.100000000093132,12428634.959999999031425
FS( 223 ),3238968.060000000055879,2865355.360000000335276,2856703.919999999925494,3096946.060000000055879,12057973.400000000372529
FS( 224 ),3150391.000000000000000,2837446.270000000018626,2910760.080000000074506,3056726.290000000037253,11955323.640000000596046
FS( 225 ),3154107.520000000018626,2845057.840000000316650,2928445.120000000111759,3077188.979999999981374,12004799.460000000894070
FS( 226 ),3305865.419999999925494,2920327.810000000055879,2987506.479999999981374,3166095.839999999850988,12379795.550000000745058
FS( 227 ),3328783.959999999962747,2946545.440000000409782,3007527.279999999795109,3239479.279999999795109,12522335.959999999031425
FS( 228 ),3307104.259999999776483,2874658.390000000130385,2960144.719999999739230,3181619.260000000242144,12323526.630000000819564
FS( 229 ),3394442.479999999515712,2896647.370000000111759,3000853.680000000167638,3226072.689999999944121,12518016.219999998807907
FS( 230 ),3450809.699999999720603,2949082.629999999888241,3029550.160000000149012,3299456.129999999888241,12728898.620000001043081
