代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12647867.360000001266599
真實報酬,2647867.360000001266599

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12624.885101879754075
風險,263418.609582169970963
起點值,0.047927081241166
找到最佳解世代,3238
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](4),MRK[17](8),MSFT[18](1),
FS( 17 ),3317303.460000000428408,3538086.119999999646097,3231969.740000000223517,10087360.320000000298023
FS( 18 ),3052394.220000000204891,3560986.139999999664724,3253498.220000000670552,9866879.580000000074506
FS( 19 ),3017804.160000000614673,3516533.159999999683350,3288482.000000000000000,9822820.320000000298023
FS( 20 ),3011898.540000000502914,3604092.059999999590218,3306422.399999999906868,9922414.000000000000000
FS( 21 ),3016538.670000000391155,3567721.439999999944121,3394330.360000000335276,9978591.470000000670552
FS( 22 ),3022444.290000000502914,3507777.269999999552965,3272335.639999999664724,9802558.199999999254942
FS( 23 ),3065892.780000000726432,3604092.059999999590218,3260674.380000000353903,9930660.220000000670552
FS( 24 ),3089093.430000000633299,3605439.119999999646097,3213132.320000000298023,9907665.870000001043081
FS( 25 ),3088671.600000000093132,3621603.839999999850988,3245425.040000000037253,9955701.480000000447035
FS( 26 ),3131698.260000000242144,3688956.839999999850988,3279511.800000000279397,10100167.900000000372529
FS( 27 ),3187801.649999999906868,3697039.199999999720603,3301040.279999999795109,10185882.129999998956919
FS( 28 ),3229984.649999999906868,3751595.129999999888241,3334230.020000000484288,10315810.800000000745058
FS( 29 ),3229562.820000000298023,3704448.029999999795109,3361140.620000000111759,10295152.469999998807907
FS( 30 ),3281026.080000000540167,3711183.330000000074506,3373698.899999999906868,10365909.310000000521541
FS( 31 ),3278073.270000000018626,3734083.349999999627471,3374595.919999999925494,10386753.539999999105930
FS( 32 ),3290306.340000000316650,3750921.599999999627471,3356655.520000000484288,10397884.460000000894070
FS( 33 ),3238421.250000000000000,3707142.149999999906868,3364728.700000000186265,10310293.100000001490116
FS( 34 ),3200878.380000000353903,3759003.959999999962747,3386257.180000000167638,10346140.519999999552965
FS( 35 ),3165444.660000000614673,3773821.619999999646097,3406888.639999999664724,10346155.919999999925494
FS( 36 ),3178943.220000000204891,3783924.569999999832362,3380875.060000000055879,10343743.849999999627471
FS( 37 ),3146040.480000000447035,3765739.259999999776483,3367419.760000000242144,10279200.500000000000000
FS( 38 ),3117777.870000000111759,3789986.339999999850988,3361140.620000000111759,10268905.830000000074506
FS( 39 ),3179786.880000000353903,3816254.009999999776483,3396124.399999999906868,10392166.290000000968575
FS( 40 ),3171350.280000000726432,3838480.500000000000000,3436490.300000000279397,10446322.080000001937151
FS( 41 ),3180208.710000000428408,3800089.290000000037253,3388948.240000000223517,10369247.240000000223517
FS( 42 ),3201300.210000000428408,3843195.209999999962747,3445460.500000000000000,10489956.919999999925494
FS( 43 ),3208049.490000000223517,3831071.669999999925494,3418549.899999999906868,10457672.060000000521541
FS( 44 ),3198347.399999999906868,3856665.809999999590218,3422137.979999999981374,10477152.189999999478459
FS( 45 ),3196660.080000000540167,3870809.939999999944121,3399712.479999999981374,10467183.500000000000000
FS( 46 ),3199612.890000000130385,3860706.989999999757856,3392536.320000000298023,10452857.199999999254942
FS( 47 ),3230406.480000000447035,3818274.599999999627471,3410476.720000000670552,10459158.800000000745058
FS( 48 ),3233781.120000000111759,3826356.959999999962747,3432902.220000000670552,10493041.300000000745058
FS( 49 ),3197925.570000000298023,3757656.899999999906868,3398815.460000000428408,10354398.930000001564622
FS( 50 ),3162070.020000000018626,3751595.129999999888241,3381772.080000000540167,10295438.230000000447035
FS( 51 ),3174303.090000000316650,3789312.809999999590218,3413167.779999999795109,10376784.679999999701977
FS( 52 ),3202143.870000000111759,3796048.109999999869615,3547720.779999999795109,10545913.759999999776483
FS( 53 ),3201300.210000000428408,3771127.500000000000000,3522604.220000000670552,10495032.930000001564622
FS( 54 ),3186114.330000000540167,3744186.299999999813735,3617688.339999999850988,10547989.970000000670552
FS( 55 ),3211002.300000000279397,3681548.009999999776483,3602439.000000000000000,10494990.310000000521541
FS( 56 ),3249388.830000000540167,3622277.369999999646097,3632937.680000000167638,10504604.880000000819564
FS( 57 ),3284400.720000000204891,3717245.099999999627471,3618585.360000000335276,10620232.179999999701977
FS( 58 ),3252763.470000000204891,3773148.089999999850988,3569249.260000000242144,10595161.820000000298023
FS( 59 ),3238843.080000000540167,3753615.719999999739230,3530677.399999999906868,10523137.200000001117587
FS( 60 ),3235046.610000000335276,3770453.969999999739230,3614997.279999999795109,10620498.859999999403954
FS( 61 ),3234624.780000000726432,3823662.839999999850988,3676891.660000000149012,10735180.280000001192093
FS( 62 ),3264152.880000000353903,3796721.639999999664724,3715463.520000000484288,10776339.039999999105930
FS( 63 ),3269636.670000000391155,3802783.409999999683350,3709184.380000000353903,10781605.460000000894070
FS( 64 ),3246857.850000000093132,3785945.159999999683350,3678685.700000000186265,10711489.710000000894070
FS( 65 ),3204674.850000000093132,3779883.389999999664724,3576425.419999999925494,10560984.660000000149012
FS( 66 ),3154477.080000000540167,3717245.099999999627471,3570146.279999999795109,10441869.459999999031425
FS( 67 ),3154477.080000000540167,3707142.149999999906868,3571940.320000000298023,10433560.550000000745058
FS( 68 ),3195816.420000000391155,3845889.330000000074506,3630246.620000000111759,10671953.370000001043081
FS( 69 ),3154477.080000000540167,3761698.080000000074506,3530677.399999999906868,10446853.560000000521541
FS( 70 ),3131276.430000000633299,3766412.790000000037253,3517222.100000000093132,10414912.320000000298023
FS( 71 ),3143931.330000000540167,3742839.239999999757856,3514531.040000000037253,10401302.609999999403954
FS( 72 ),3121152.510000000242144,3775168.679999999701977,3565661.180000000167638,10461983.369999999180436
FS( 73 ),3127479.960000000428408,3789312.809999999590218,3623967.479999999981374,10540761.250000000000000
FS( 74 ),3163335.510000000242144,3803456.939999999944121,3588983.700000000186265,10555777.150000000372529
FS( 75 ),3200878.380000000353903,3855992.279999999795109,3582704.560000000055879,10639576.220000000670552
FS( 76 ),3204253.020000000018626,3891015.839999999850988,3587189.660000000149012,10682459.519999999552965
FS( 77 ),3162070.020000000018626,3872830.529999999795109,3560279.060000000055879,10595180.609999999403954
FS( 78 ),3421495.470000000204891,3874851.119999999646097,3575528.399999999906868,10871875.990000000223517
FS( 79 ),3446805.270000000018626,3855318.750000000000000,3580013.500000000000000,10882138.519999999552965
FS( 80 ),3580103.550000000279397,3817601.069999999832362,3666127.419999999925494,11063833.039999999105930
FS( 81 ),3569557.800000000279397,3955001.189999999944121,3633834.700000000186265,11158394.690000001341105
FS( 82 ),3556059.240000000223517,3944224.709999999962747,3623967.479999999981374,11124252.429999999701977
FS( 83 ),3564495.840000000316650,4015618.889999999664724,3588086.680000000167638,11168202.410000000149012
FS( 84 ),3570823.290000000502914,3921324.689999999944121,3560279.060000000055879,11052428.040000000968575
FS( 85 ),3621442.890000000130385,3948939.419999999925494,3536956.540000000037253,11107339.850000001490116
FS( 86 ),3582212.700000000186265,3846562.859999999869615,3503766.800000000279397,10932543.360000001266599
FS( 87 ),3569557.800000000279397,3761024.549999999813735,3536059.520000000484288,10866642.870000001043081
FS( 88 ),3543404.340000000316650,3692998.019999999552965,3555793.960000000428408,10792197.320000000298023
FS( 89 ),3528640.290000000502914,3718592.159999999683350,3546823.760000000242144,10794057.210000000894070
FS( 90 ),3572510.610000000335276,3723980.399999999906868,3585395.620000000111759,10881887.629999998956919
FS( 91 ),3577994.399999999906868,3754962.779999999795109,3625761.520000000484288,10958719.699999999254942
FS( 92 ),3578838.060000000521541,3796721.639999999664724,3609615.160000000149012,10985175.859999999403954
FS( 93 ),3548466.300000000279397,3764392.199999999720603,3552205.880000000353903,10865065.380000000819564
FS( 94 ),3600773.220000000204891,3763045.139999999664724,3572837.339999999850988,10936656.699999999254942
FS( 95 ),3643378.050000000279397,3795374.580000000074506,3565661.180000000167638,11004414.810000000521541
FS( 96 ),3644221.710000000428408,3771801.029999999795109,3559382.040000000037253,10975405.780000001192093
FS( 97 ),3653923.800000000279397,3810865.769999999552965,3619482.380000000353903,11084272.950000001117587
FS( 98 ),3659407.590000000316650,3804804.000000000000000,3597056.880000000353903,11061269.470000000670552
FS( 99 ),3700746.930000000633299,3826356.959999999962747,3598850.919999999925494,11125955.810000000521541
FS( 100 ),3770348.880000000353903,3818274.599999999627471,3605130.060000000055879,11193754.540000000968575
FS( 101 ),3760224.960000000428408,3798742.229999999515712,3588983.700000000186265,11147951.890000000596046
FS( 102 ),3828983.250000000000000,3886301.129999999888241,3618585.360000000335276,11333870.740000000223517
FS( 103 ),3814641.030000000726432,3897077.609999999869615,3672406.560000000055879,11384126.200000001117587
FS( 104 ),3788487.570000000298023,3901792.319999999832362,3658951.260000000242144,11349232.150000000372529
FS( 105 ),3842059.980000000447035,3900445.259999999776483,3614100.260000000242144,11356606.500000000000000
FS( 106 ),3885930.300000000279397,3901792.319999999832362,3616791.320000000298023,11404514.940000001341105
FS( 107 ),3901116.180000000633299,3913242.330000000074506,3696626.100000000093132,11510985.610000001266599
FS( 108 ),3890148.600000000093132,3896404.080000000074506,3720845.639999999664724,11507399.320000000298023
FS( 109 ),3952579.440000000409782,3902465.849999999627471,3702008.220000000670552,11557054.510000001639128
FS( 110 ),3975780.090000000316650,3939510.000000000000000,3687655.899999999906868,11602946.990000000223517
FS( 111 ),3959328.720000000204891,3961062.959999999962747,3665230.399999999906868,11585623.080000000074506
FS( 112 ),3893101.410000000614673,3926712.929999999701977,3640113.839999999850988,11459929.179999999701977
FS( 113 ),3850496.580000000540167,3922671.750000000000000,3698420.139999999664724,11471589.469999998807907
FS( 114 ),3889304.940000000409782,3911221.739999999757856,3722639.680000000167638,11523167.359999999403954
FS( 115 ),3884242.980000000447035,3910548.209999999962747,3738786.040000000037253,11533578.230000000447035
FS( 116 ),3888461.280000000726432,3934121.759999999776483,3736094.979999999981374,11558679.020000001415610
FS( 117 ),3874962.720000000204891,3926712.929999999701977,3723536.700000000186265,11525213.350000001490116
FS( 118 ),3834888.870000000111759,3968471.790000000037253,3738786.040000000037253,11542147.699999999254942
FS( 119 ),3831514.230000000447035,3940183.529999999795109,3766593.660000000149012,11538292.419999999925494
FS( 120 ),3808313.580000000540167,3901118.790000000037253,3745065.180000000167638,11454498.550000000745058
FS( 121 ),3811688.220000000204891,3964430.609999999869615,3770181.740000000223517,11546301.570000000298023
FS( 122 ),3834467.040000000502914,3942204.119999999646097,3742374.120000000111759,11519046.280000001192093
FS( 123 ),3880024.680000000633299,3874851.119999999646097,3789916.180000000167638,11544792.980000000447035
FS( 124 ),3920098.530000000726432,3896404.080000000074506,3740580.080000000540167,11557083.690000001341105
FS( 125 ),3944986.500000000000000,3940857.059999999590218,3755829.419999999925494,11641673.980000000447035
FS( 126 ),3943299.180000000633299,3977227.679999999701977,3758520.479999999981374,11679048.339999999850988
FS( 127 ),3966499.830000000540167,3987330.629999999888241,3749550.279999999795109,11703381.740000000223517
FS( 128 ),4048334.850000000093132,3941530.589999999850988,3766593.660000000149012,11756460.099999999627471
FS( 129 ),4022181.390000000130385,3917957.040000000037253,3747756.240000000223517,11687895.669999999925494
FS( 130 ),4023868.710000000428408,3943551.179999999701977,3737889.020000000484288,11705309.910000000149012
FS( 131 ),4009104.660000000614673,3945571.769999999552965,3739683.060000000055879,11694360.490000000223517
FS( 132 ),4016697.600000000093132,3936142.349999999627471,3775563.860000000335276,11728404.809999998658895
FS( 133 ),4068582.690000000409782,3918630.569999999832362,3780048.960000000428408,11767263.220000000670552
FS( 134 ),4020915.899999999906868,3900445.259999999776483,3807856.580000000540167,11729218.740000000223517
FS( 135 ),3998137.080000000540167,3916609.979999999515712,3954070.839999999850988,11868818.900000000372529
FS( 136 ),3926847.810000000521541,3879565.830000000074506,3994436.740000000223517,11800851.380000000819564
FS( 137 ),3983373.030000000726432,3929407.049999999813735,4008789.060000000055879,11921570.140000000596046
FS( 138 ),3962703.360000000335276,3906507.029999999795109,4022244.360000000335276,11891455.750000000000000
FS( 139 ),3995606.100000000093132,3935468.819999999832362,4021347.339999999850988,11952423.259999999776483
FS( 140 ),4099798.110000000335276,3913915.859999999869615,4024935.419999999925494,12038650.390000000596046
FS( 141 ),4093048.830000000540167,3920651.159999999683350,3982775.479999999981374,11996476.470000000670552
FS( 142 ),4120045.950000000186265,3916609.979999999515712,3991745.680000000167638,12028402.609999999403954
FS( 143 ),4176993.000000000000000,3904486.439999999944121,3944203.620000000111759,12025684.059999998658895
FS( 144 ),4149995.880000000353903,3945571.769999999552965,3937027.460000000428408,12032596.110000001266599
FS( 145 ),4140293.790000000502914,3911895.269999999552965,3909219.839999999850988,11961409.900000000372529
FS( 146 ),4032727.140000000130385,3821642.250000000000000,3871545.000000000000000,11725915.390000000596046
FS( 147 ),4055084.130000000353903,3825683.429999999701977,3844634.399999999906868,11725402.960000000894070
FS( 148 ),4032305.310000000521541,3843195.209999999962747,3890382.419999999925494,11765883.940000001341105
FS( 149 ),4012479.300000000279397,3773821.619999999646097,3864368.839999999850988,11650670.759999999776483
FS( 150 ),4005730.020000000018626,3767086.319999999832362,3833870.160000000149012,11606687.500000000000000
FS( 151 ),3985482.180000000633299,3747553.949999999720603,3877824.139999999664724,11610861.269999999552965
FS( 152 ),3996449.760000000242144,3808845.179999999701977,3875133.080000000540167,11680429.019999999552965
FS( 153 ),4049178.510000000242144,3816254.009999999776483,3875133.080000000540167,11740566.599999999627471
FS( 154 ),4048334.850000000093132,3841174.619999999646097,3903837.720000000670552,11793348.190000001341105
FS( 155 ),4101907.260000000242144,3896404.080000000074506,3954070.839999999850988,11952383.179999999701977
FS( 156 ),4112874.840000000316650,3959042.369999999646097,3971114.220000000670552,12043032.429999999701977
FS( 157 ),4133122.680000000633299,3947592.359999999869615,4017759.260000000242144,12098475.300000000745058
FS( 158 ),4182898.620000000111759,3934795.290000000037253,4046463.899999999906868,12164158.810000000521541
FS( 159 ),4240689.330000000074506,3967798.259999999776483,4066198.339999999850988,12274686.929999999701977
FS( 160 ),4242376.650000000372529,4006189.469999999739230,4032111.580000000540167,12280678.700000001117587
FS( 161 ),4242798.480000000447035,3963757.080000000074506,4056331.120000000111759,12262887.679999999701977
FS( 162 ),4274013.900000000372529,3985310.040000000037253,4050051.979999999981374,12309376.919999999925494
FS( 163 ),4283294.160000000149012,4023027.719999999739230,4051846.020000000484288,12358168.900000000372529
FS( 164 ),4255875.210000000894070,4054683.629999999888241,4037493.700000000186265,12348053.540000000968575
FS( 165 ),4308182.130000000819564,4060071.869999999646097,4024935.419999999925494,12393190.419999999925494
FS( 166 ),4313244.089999999850988,4041213.029999999795109,4025832.440000000409782,12380290.559999998658895
FS( 167 ),4323789.839999999850988,4048621.859999999869615,4075168.540000000037253,12447581.239999998360872
FS( 168 ),4357536.240000000223517,4027068.899999999906868,4044669.860000000335276,12429276.000000000000000
FS( 169 ),4173618.360000000335276,4073542.469999999739230,4033008.600000000093132,12280170.429999999701977
FS( 170 ),4139028.300000000279397,4046601.269999999552965,4059919.200000000186265,12245549.769999999552965
FS( 171 ),4174883.850000000093132,4120689.569999999832362,4118225.500000000000000,12413799.919999999925494
FS( 172 ),4149152.220000000204891,4111933.679999999701977,4168458.620000000111759,12429545.519999999552965
FS( 173 ),4133544.510000000242144,4078930.709999999962747,4194472.199999999254942,12406948.419999999925494
FS( 174 ),4260515.339999999850988,4092401.309999999590218,4201648.360000001266599,12554566.010000001639128
FS( 175 ),4278654.030000001192093,4047948.330000000074506,4216000.679999999701977,12542604.040000000968575
FS( 176 ),4288356.120000001043081,4010904.179999999701977,4189090.080000000540167,12488351.380000000819564
FS( 177 ),4287090.630000000819564,4008883.589999999850988,4147827.160000000149012,12443802.380000000819564
FS( 178 ),4254609.720000000670552,4040539.500000000000000,4194472.199999999254942,12489622.419999999925494
FS( 179 ),4284981.480000000447035,4033130.669999999925494,4172943.720000000670552,12491056.870000001043081
FS( 180 ),4293839.910000000149012,4062092.459999999962747,4187296.040000000037253,12543229.410000000149012
FS( 181 ),4258828.019999999552965,4074216.000000000000000,4262645.720000000670552,12595690.740000000223517
FS( 182 ),4263046.320000000298023,4080277.769999999552965,4221382.800000000745058,12564707.890000000596046
FS( 183 ),4329695.460000000894070,4060071.869999999646097,4176531.800000000279397,12566300.130000000819564
FS( 184 ),4292152.589999999850988,4065460.109999999869615,4223176.839999999850988,12580790.539999999105930
FS( 185 ),4128482.550000000279397,4016965.949999999720603,4129886.760000000242144,12275336.259999999776483
FS( 186 ),4249969.589999999850988,4000127.699999999720603,4163076.500000000000000,12413174.789999999105930
FS( 187 ),4222972.470000000670552,4001474.759999999776483,4165767.560000000055879,12390215.790000000968575
FS( 188 ),4249969.589999999850988,3992718.869999999646097,4158591.399999999906868,12401280.859999999403954
FS( 189 ),4183742.280000000726432,3954327.659999999683350,4117328.479999999981374,12255399.419999999925494
FS( 190 ),4214114.040000000968575,3963757.080000000074506,4104770.200000000186265,12282642.320000000298023
FS( 191 ),4202302.800000000745058,4034477.729999999515712,4134371.860000000335276,12371153.390000000596046
FS( 192 ),4202302.800000000745058,4012924.769999999552965,4134371.860000000335276,12349600.429999999701977
FS( 193 ),4165603.590000000316650,3937489.409999999683350,4084138.740000000223517,12187232.740000000223517
FS( 194 ),4252078.740000000223517,4053336.569999999832362,4196266.240000000223517,12501682.550000000745058
FS( 195 ),4261359.000000000000000,3988004.159999999683350,4112843.380000000353903,12362207.540000000968575
FS( 196 ),4249125.929999999701977,3950960.009999999776483,3949585.740000000223517,12149672.679999999701977
FS( 197 ),4210317.570000000298023,3781230.449999999720603,3915498.979999999981374,11907048.000000000000000
FS( 198 ),4165603.590000000316650,3794027.519999999552965,3922675.139999999664724,11882307.250000000000000
FS( 199 ),4114562.160000000614673,3686262.719999999739230,3876927.120000000111759,11677753.000000000000000
FS( 200 ),4060567.920000000391155,3598703.819999999832362,3833870.160000000149012,11493142.900000000372529
FS( 201 ),4120045.950000000186265,3638442.089999999850988,3913704.940000000409782,11672193.980000000447035
FS( 202 ),4208208.419999999925494,3640462.679999999701977,3954070.839999999850988,11802742.939999999478459
FS( 203 ),4322524.349999999627471,3713203.919999999925494,4025832.440000000409782,12061561.710000000894070
FS( 204 ),4344459.509999999776483,3738798.059999999590218,3980981.440000000409782,12064240.009999999776483
FS( 205 ),4422076.230000000447035,3814233.419999999925494,4038390.720000000670552,12274701.370000001043081
FS( 206 ),4438527.599999999627471,3880239.359999999869615,4137959.940000000409782,12456727.899999998509884
FS( 207 ),4433887.470000000670552,3802109.879999999888241,4118225.500000000000000,12354223.850000001490116
FS( 208 ),4502645.759999999776483,3761698.080000000074506,4170252.660000000149012,12434597.500000000000000
FS( 209 ),4527955.560000000521541,3785271.629999999888241,4181913.919999999925494,12495142.109999999403954
FS( 210 ),4512769.679999999701977,3860033.459999999962747,4130783.779999999795109,12503587.919999999925494
FS( 211 ),4555796.339999999850988,3902465.849999999627471,4211515.580000000074506,12669778.769999999552965
FS( 212 ),4614852.540000000968575,3968471.790000000037253,4255469.560000000521541,12838794.890000002458692
FS( 213 ),4581106.140000000596046,3998780.639999999664724,4267130.820000000298023,12847018.600000001490116
FS( 214 ),4592073.720000000670552,4012251.239999999757856,4293144.400000000372529,12897470.360000001266599
FS( 215 ),4585324.440000001341105,3991371.809999999590218,4368494.080000000074506,12945191.330000000074506
FS( 216 ),4598401.169999999925494,3996760.049999999813735,4366700.040000000968575,12961862.259999999776483
FS( 217 ),4590808.230000000447035,3961062.959999999962747,4385537.460000000894070,12937409.650000002235174
FS( 218 ),4627507.440000001341105,3998780.639999999664724,4383743.419999999925494,13010032.500000001862645
FS( 219 ),4692891.089999999850988,3994739.459999999962747,4375670.240000000223517,13063301.790000000968575
FS( 220 ),4759118.400000000372529,4010230.649999999906868,4450122.900000000372529,13219472.950000001117587
FS( 221 ),4816487.280000001192093,3978574.739999999757856,4447431.839999999850988,13242494.860000001266599
FS( 222 ),4808472.509999999776483,4004842.409999999683350,4436667.599999999627471,13249983.519999999552965
FS( 223 ),4870903.349999999627471,4033804.199999999720603,4372082.160000000149012,13276790.709999999031425
FS( 224 ),4837156.950000001117587,4016965.949999999720603,4325437.119999999180436,13179561.019999999552965
FS( 225 ),4906337.070000000298023,3999454.169999999925494,4368494.080000000074506,13274286.320000000298023
FS( 226 ),4913086.349999999627471,4018313.009999999776483,4303908.640000000596046,13235309.000000000000000
FS( 227 ),5004201.630000000819564,3990698.279999999795109,4268924.860000001266599,13263825.770000001415610
FS( 228 ),4960753.140000000596046,3996760.049999999813735,4258160.619999999180436,13215674.810000000521541
FS( 229 ),5019809.339999999850988,4024374.779999999795109,4283277.179999999701977,13327462.299999998882413
FS( 230 ),5016856.530000001192093,4068154.229999999515712,4288659.300000000745058,13373671.060000002384186
FS( 231 ),4854030.150000000372529,4076236.589999999850988,4361317.919999999925494,13291585.660000000149012
FS( 232 ),4835469.630000000819564,4093748.369999999646097,4346965.599999999627471,13276184.599999999627471
FS( 233 ),4890307.530000001192093,4080277.769999999552965,4312878.839999999850988,13283465.140000000596046
FS( 234 ),4871747.009999999776483,4103177.790000000037253,4381052.360000001266599,13355978.160000002011657
FS( 235 ),4851077.339999999850988,4141569.000000000000000,4343377.519999999552965,13336024.859999999403954
FS( 236 ),4741401.540000000968575,4167836.669999999925494,4278792.080000000074506,13188031.290000000968575
FS( 237 ),4813956.300000000745058,4041886.559999999590218,4268924.860000001266599,13124768.720000000670552
FS( 238 ),4722419.190000001341105,4039865.969999999739230,4207030.480000000447035,12969316.640000000596046
FS( 239 ),4708498.800000000745058,3996760.049999999813735,4231250.019999999552965,12936509.870000001043081
FS( 240 ),4628772.929999999701977,3887648.189999999944121,4211515.580000000074506,12727937.699999999254942
FS( 241 ),4565498.429999999701977,3835786.379999999888241,4186399.020000000484288,12587684.829999998211861
FS( 242 ),4503067.589999999850988,3825683.429999999701977,4050949.000000000000000,12379701.019999999552965
FS( 243 ),4615274.370000001043081,3881586.419999999925494,4102976.160000000149012,12599837.950000001117587
FS( 244 ),4751947.290000000968575,3972512.969999999739230,4262645.720000000670552,12987106.980000002309680
FS( 245 ),4715248.080000000074506,4012924.769999999552965,4275204.000000000000000,13003377.849999999627471
FS( 246 ),4764180.359999999403954,3971165.909999999683350,4303908.640000000596046,13039255.910000000149012
FS( 247 ),4747307.160000000149012,3853298.159999999683350,4346068.580000000074506,12946674.900000000372529
FS( 248 ),4724950.169999999925494,3870136.409999999683350,4318260.960000000894070,12913348.540000000968575
FS( 249 ),4808472.509999999776483,3891689.369999999646097,4294938.439999999478459,12995101.319999998435378
FS( 250 ),4805097.870000001043081,3888321.719999999739230,4256366.580000000074506,12949787.169999999925494
FS( 251 ),4746463.500000000000000,3882933.479999999515712,4217794.720000000670552,12847192.700000001117587
FS( 252 ),4656191.880000000819564,3825009.899999999906868,4166664.580000000540167,12647867.360000001266599
