代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13739342.220000000670552
真實報酬,3739342.220000000670552

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14902.149256318918560
風險,235625.376871090353234
起點值,0.063245094625236
找到最佳解世代,2411
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
BA[2](4),DD[7](13),JNJ[12](5),TRV[22](11),UTX[24](2),V[25](1),
FS( 171 ),2439884.879999999888241,1952892.400000000139698,2047106.020000000018626,2013414.100000000093132,2010208.800000000046566,2193772.410000000149012,12657282.610000001266599
FS( 172 ),2433933.379999999888241,1951694.800000000046566,2052651.090000000083819,2010035.900000000139698,2002550.880000000121072,2222541.399999999906868,12673411.450000001117587
FS( 173 ),2422268.439999999944121,1932932.400000000139698,2041802.040000000037253,1980597.300000000046566,1992765.760000000242144,2190359.140000000130385,12560729.080000000074506
FS( 174 ),2401557.219999999739230,1920956.399999999906868,2018898.489999999990687,1965395.400000000139698,1971493.760000000242144,2184020.209999999962747,12462325.480000000447035
FS( 175 ),2432028.899999999906868,1969658.800000000046566,2047106.020000000018626,1997970.900000000139698,2005741.680000000167638,2221566.180000000167638,12674076.480000000447035
FS( 176 ),2424172.919999999925494,1933331.600000000093132,2047106.020000000018626,1982286.400000000372529,1999998.239999999990687,2205475.049999999813735,12592374.230000000447035
FS( 177 ),2452740.120000000111759,1940916.399999999906868,2064464.500000000000000,2008346.800000000279397,2020419.360000000102445,2223029.010000000242144,12709920.189999999478459
FS( 178 ),2477736.419999999925494,1968062.000000000000000,2082064.070000000065193,2029098.600000000325963,2045733.040000000037253,2243021.020000000018626,12845719.149999998509884
FS( 179 ),2434171.439999999944121,1938521.200000000186265,2045900.570000000065193,1985423.300000000279397,2003401.760000000242144,2226442.279999999795109,12633864.550000000745058
FS( 180 ),2372037.779999999795109,1887024.400000000139698,1991896.410000000149012,1925098.300000000279397,1964474.000000000000000,2175730.839999999850988,12316265.730000000447035
FS( 181 ),2380131.819999999832362,1855088.399999999906868,2005879.630000000121072,1907966.000000000000000,1960857.760000000242144,2188408.700000000186265,12298336.309999998658895
FS( 182 ),2329425.040000000037253,1839120.399999999906868,2039873.320000000065193,1878527.399999999906868,1946180.079999999841675,2173292.790000000037253,12206423.030000001192093
FS( 183 ),2348945.959999999962747,1847503.600000000093132,2057713.979999999981374,1892522.800000000279397,1952348.959999999962747,2200111.339999999850988,12299150.640000000596046
FS( 184 ),2398462.439999999944121,1830737.199999999953434,2097252.739999999757856,1925339.600000000325963,1977875.360000000102445,2226442.279999999795109,12456113.619999999180436
FS( 185 ),2455596.839999999850988,1839120.399999999906868,2090502.219999999972060,1938611.100000000325963,1989149.520000000251457,2246434.290000000037253,12559418.370000001043081
FS( 186 ),2438694.580000000074506,1828741.200000000186265,2070009.570000000065193,1928476.500000000232831,1977024.479999999981374,2227905.109999999869615,12470855.439999999478459
FS( 187 ),2457739.379999999888241,1847503.600000000093132,2088573.500000000000000,1957191.200000000186265,2015314.079999999841675,2258136.930000000167638,12624462.689999999478459
FS( 188 ),2415602.759999999776483,1844310.000000000000000,2087126.959999999962747,1926063.500000000000000,1995318.399999999906868,2258136.930000000167638,12526562.549999998882413
FS( 189 ),2449407.279999999795109,1843511.600000000093132,2092189.850000000093132,1940058.900000000372529,2015101.360000000102445,2280079.379999999888241,12620352.370000001043081
FS( 190 ),2480593.140000000130385,1858282.000000000000000,2118468.660000000149012,1962741.100000000325963,2053390.959999999962747,2325914.720000000204891,12799394.580000000074506
FS( 191 ),2484640.160000000149012,1881036.399999999906868,2135827.140000000130385,1972875.700000000186265,2062963.360000000102445,2293244.850000000093132,12830591.610000001266599
FS( 192 ),2492020.020000000018626,1934130.000000000000000,2142818.750000000000000,1979873.400000000139698,2085086.239999999990687,2282029.819999999832362,12915962.230000000447035
FS( 193 ),2511540.939999999944121,1920956.399999999906868,2151497.989999999757856,1968291.000000000000000,2080193.680000000167638,2276178.500000000000000,12908662.509999999776483
FS( 194 ),2544393.219999999739230,1944110.000000000000000,2161864.860000000335276,1995557.900000000139698,2120610.480000000447035,2315674.910000000149012,13082215.370000001043081
FS( 195 ),2425125.160000000149012,1939718.800000000046566,2169579.739999999757856,2031270.300000000279397,2123588.559999999590218,2324939.500000000000000,13014226.059999998658895
FS( 196 ),2515349.899999999906868,1955686.800000000046566,2179464.430000000167638,2009553.300000000279397,2132310.080000000074506,2319088.180000000167638,13111456.690000001341105
FS( 197 ),2481307.319999999832362,1931335.600000000093132,2179464.430000000167638,2008346.800000000279397,2126992.080000000074506,2308848.370000000111759,13036298.600000001490116
FS( 198 ),2494638.680000000167638,1974449.199999999953434,2172955.000000000000000,2026685.600000000093132,2145498.719999999739230,2311774.029999999795109,13126005.229999998584390
FS( 199 ),2562247.719999999739230,1966066.000000000000000,2173919.360000000335276,2039715.800000000279397,2155709.280000000260770,2328352.770000000018626,13226014.929999999701977
FS( 200 ),2546297.699999999720603,1970856.399999999906868,2223583.900000000372529,2042852.699999999953434,2179959.360000000335276,2315187.299999999813735,13278741.359999999403954
FS( 201 ),2543917.100000000093132,1966465.199999999953434,2224789.350000000093132,2061432.800000000279397,2172088.719999999739230,2331278.430000000167638,13299975.600000001490116
FS( 202 ),2566056.680000000167638,1964070.000000000000000,2228164.610000000335276,1983734.199999999953434,2236117.440000000409782,2299096.169999999925494,13277243.099999999627471
FS( 203 ),2546059.640000000130385,1954090.000000000000000,2226718.069999999832362,1983010.300000000279397,2233352.080000000074506,2276666.109999999869615,13219900.200000001117587
FS( 204 ),2540108.140000000130385,1989219.599999999860302,2231780.959999999962747,1999177.399999999906868,2229097.680000000633299,2372237.669999999925494,13361625.450000001117587
FS( 205 ),2513921.540000000037253,1972852.400000000139698,2238049.299999999813735,2017274.899999999906868,2232926.639999999664724,2355171.319999999832362,13330200.100000001490116
FS( 206 ),2495114.799999999813735,1989618.800000000046566,2247210.719999999739230,2012690.199999999953434,2235053.839999999850988,2340055.410000000149012,13319747.769999999552965
FS( 207 ),2517016.319999999832362,1993211.600000000093132,2246246.360000000335276,2012207.600000000093132,2245689.839999999850988,2333716.479999999981374,13348092.200000001117587
FS( 208 ),2502018.540000000037253,1992014.000000000000000,2254202.330000000074506,2016068.400000000139698,2245689.839999999850988,2157689.270000000018626,13167686.379999998956919
FS( 209 ),2540108.140000000130385,2012373.199999999953434,2260711.759999999776483,2035613.700000000186265,2279937.759999999776483,2184020.209999999962747,13312768.769999999552965
FS( 210 ),2568675.339999999850988,2059079.599999999860302,2275659.340000000316650,2026926.900000000139698,2292488.240000000223517,2243021.020000000018626,13465854.439999999478459
FS( 211 ),2559152.939999999944121,2073850.000000000000000,2261435.029999999795109,2006416.400000000372529,2268450.879999999888241,2249847.560000000055879,13419156.810000000521541
FS( 212 ),2548202.180000000167638,2049898.000000000000000,2261676.120000000111759,1987353.700000000186265,2237819.200000000186265,2229367.939999999944121,13314321.139999998733401
FS( 213 ),2533442.459999999962747,2063071.600000000093132,2258059.770000000018626,1975288.700000000186265,2255474.959999999962747,2211326.370000000111759,13296667.860000003129244
FS( 214 ),2519634.979999999981374,2098201.200000000186265,2250344.890000000130385,1979390.800000000279397,2260367.520000000484288,2204012.220000000204891,13311955.610000001266599
FS( 215 ),2507493.919999999925494,2162472.399999999906868,2226718.069999999832362,1981079.899999999906868,2246753.440000000409782,2191821.970000000204891,13316343.700000001117587
FS( 216 ),2481545.379999999888241,2130536.399999999906868,2218038.830000000074506,1986388.500000000000000,2245051.680000000633299,2191334.359999999869615,13252899.149999998509884
FS( 217 ),2528919.319999999832362,2153290.799999999813735,2242388.920000000391155,1977219.100000000093132,2271854.400000000372529,2184995.430000000167638,13358671.969999998807907
FS( 218 ),2479640.899999999906868,2146105.199999999720603,2186697.130000000353903,1983010.300000000279397,2234841.120000000111759,2174268.010000000242144,13204566.660000002011657
FS( 219 ),2445598.319999999832362,2112173.199999999720603,2158971.779999999795109,1956226.000000000000000,2190808.080000000074506,2120143.299999999813735,12983924.679999999701977
FS( 220 ),2463214.759999999776483,2097003.600000000093132,2154632.160000000149012,1956949.899999999906868,2192722.559999999590218,2110391.100000000093132,12974918.080000000074506
FS( 221 ),2492972.259999999776483,2082233.199999999953434,2180669.880000000353903,1935956.800000000279397,2183150.160000000149012,2133308.770000000018626,13008295.070000000298023
FS( 222 ),2490829.719999999739230,2100596.399999999906868,2163311.400000000372529,1936922.000000000000000,2178257.600000000558794,2111853.930000000167638,12981775.050000000745058
FS( 223 ),2473689.399999999906868,2111374.799999999813735,2140890.029999999795109,1916411.500000000232831,2163367.200000000186265,2174755.620000000111759,12980492.550000000745058
FS( 224 ),2502970.779999999795109,2114169.200000000186265,2127871.170000000391155,1943678.400000000139698,2190169.919999999925494,2181094.549999999813735,13059958.019999999552965
FS( 225 ),2511064.819999999832362,2202392.399999999906868,2131487.520000000018626,1934991.600000000093132,2186766.400000000372529,2183532.600000000093132,13150239.339999999850988
FS( 226 ),2512255.120000000111759,2197202.799999999813735,2110271.600000000093132,1933302.500000000232831,2176130.400000000372529,2133308.770000000018626,13062475.189999999478459
FS( 227 ),2457025.199999999720603,2135326.800000000279397,2077483.360000000102445,1924133.100000000093132,2125928.480000000447035,2123068.959999999962747,12842969.900000002235174
FS( 228 ),2458453.560000000055879,2128939.600000000093132,2086162.600000000093132,1927752.600000000093132,2126779.360000000335276,2135746.819999999832362,12863838.539999999105930
FS( 229 ),2497971.520000000018626,2132931.600000000093132,2087126.959999999962747,1936439.400000000139698,2136989.919999999925494,2137697.260000000242144,12929160.660000000149012
FS( 230 ),2473927.459999999962747,2126145.199999999720603,2083269.520000000018626,1927993.900000000372529,2129332.000000000000000,2126482.229999999981374,12867154.310000000521541
FS( 231 ),2499876.000000000000000,2128540.399999999906868,2083510.610000000102445,1944161.000000000000000,2183788.320000000298023,2158176.879999999888241,12998057.210000000894070
FS( 232 ),2532252.160000000149012,2147702.000000000000000,2095082.930000000167638,1956226.000000000000000,2198678.719999999739230,2147937.069999999832362,13077882.879999998956919
FS( 233 ),2538917.839999999850988,2183630.000000000000000,2098458.190000000409782,1946332.699999999953434,2205485.759999999776483,2147937.069999999832362,13120765.560000000521541
FS( 234 ),2525110.359999999869615,2192013.199999999720603,2101351.270000000018626,1942230.600000000093132,2195913.360000000335276,2153788.390000000130385,13110411.179999999701977
FS( 235 ),2551773.080000000074506,2206384.399999999906868,2110994.870000000111759,1983251.600000000093132,2222503.360000000335276,2176706.060000000055879,13251617.370000002905726
FS( 236 ),2575102.959999999962747,2273050.799999999813735,2134380.600000000093132,1991697.100000000325963,2260367.520000000484288,2250335.169999999925494,13484938.150000000372529
FS( 237 ),2600337.319999999832362,2265466.000000000000000,2151256.900000000372529,2020411.800000000279397,2293764.559999999590218,2271302.399999999906868,13602542.980000002309680
FS( 238 ),2613906.739999999757856,2209178.800000000279397,2145952.920000000391155,2005692.500000000232831,2293764.559999999590218,2256186.490000000223517,13524686.009999999776483
FS( 239 ),2650329.919999999925494,2266663.600000000093132,2135344.959999999962747,2016309.700000000186265,2305676.879999999888241,2303972.270000000018626,13678301.329999998211861
FS( 240 ),2753647.959999999962747,2262671.600000000093132,2146435.100000000093132,2040681.000000000000000,2333543.200000000186265,2308848.370000000111759,13845831.230000000447035
FS( 241 ),2787928.600000000093132,2257482.000000000000000,2147158.370000000111759,2047920.000000000232831,2348220.879999999888241,2335666.919999999925494,13924380.770000001415610
FS( 242 ),2818638.339999999850988,2322950.799999999813735,2167651.020000000018626,2073015.199999999953434,2361409.520000000484288,2360535.029999999795109,14104203.909999998286366
FS( 243 ),2833874.180000000167638,2308579.600000000093132,2171508.459999999962747,2096903.900000000372529,2382468.799999999813735,2373700.500000000000000,14167039.440000001341105
FS( 244 ),2776501.719999999739230,2257082.799999999813735,2162105.950000000186265,2076634.700000000186265,2330990.559999999590218,2423924.330000000074506,14027244.060000000521541
FS( 245 ),2797451.000000000000000,2230735.600000000093132,2147881.640000000130385,2084356.300000000046566,2327587.040000000037253,2392229.680000000167638,13980245.260000001639128
FS( 246 ),2832921.939999999944121,2223550.000000000000000,2126906.810000000055879,2072050.000000000232831,2339924.799999999813735,2357121.760000000242144,13952479.310000000521541
FS( 247 ),2821257.000000000000000,2265865.199999999720603,2099422.549999999813735,2074704.300000000279397,2324183.520000000484288,2335179.310000000055879,13920615.880000000819564
FS( 248 ),2841968.219999999739230,2273450.000000000000000,2099181.459999999962747,2071084.800000000046566,2332692.320000000298023,2359559.810000000055879,13977940.610000001266599
FS( 249 ),2826732.379999999888241,2218360.399999999906868,2090984.400000000139698,2060950.199999999953434,2326310.719999999739230,2353220.879999999888241,13876562.979999996721745
FS( 250 ),2797212.939999999944121,2183230.799999999813735,2090020.040000000037253,2045507.000000000000000,2293551.839999999850988,2329815.600000000093132,13739342.220000000670552
