代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12177052.830000001937151
真實報酬,2177052.830000001937151

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,9434.339327987680008
風險,345599.759290018002503
起點值,0.027298454568860
找到最佳解世代,2338
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,2
JNJ[12](4),MCD[15](1),
FS( 199 ),5720855.799999999813735,6519794.019999999552965,12240649.820000000298023
FS( 200 ),5690361.900000000372529,6421726.570000000298023,12112088.470000000670552
FS( 201 ),5678364.300000000745058,6347295.889999999664724,12025660.190000001341105
FS( 202 ),5641371.700000000186265,6301028.170000000856817,11942399.870000001043081
FS( 203 ),5630873.799999999813735,6163733.740000000223517,11794607.539999999105930
FS( 204 ),5606878.599999999627471,6176306.490000000223517,11783185.089999999850988
FS( 205 ),5633373.299999999813735,6233638.230000000447035,11867011.530000001192093
FS( 206 ),5666366.700000000186265,6198937.440000000409782,11865304.140000000596046
FS( 207 ),5643871.200000000186265,6225591.670000000856817,11869462.870000001043081
FS( 208 ),5651869.600000000558794,6198434.530000000260770,11850304.130000000819564
FS( 209 ),5633373.299999999813735,6138588.240000000223517,11771961.539999999105930
FS( 210 ),5637872.400000000372529,6134062.049999999813735,11771934.449999999254942
FS( 211 ),5723355.299999999813735,6093829.250000000000000,11817184.550000000745058
FS( 212 ),5736852.600000000558794,6102881.629999999888241,11839734.230000000447035
FS( 213 ),5787342.500000000000000,6135570.780000000260770,11922913.280000001192093
FS( 214 ),5785342.900000000372529,6130541.680000000633299,11915884.580000001937151
FS( 215 ),5788842.200000000186265,6141102.790000000037253,11929944.990000000223517
FS( 216 ),5848830.200000000186265,6175300.670000000856817,12024130.870000001043081
FS( 217 ),5849330.100000000558794,6153675.540000000037253,12003005.640000000596046
FS( 218 ),5838332.300000000745058,6185358.870000000111759,12023691.170000001788139
FS( 219 ),5854829.000000000000000,6161219.190000000409782,12016048.190000001341105
FS( 220 ),5819336.099999999627471,6148143.530000000260770,11967479.629999998956919
FS( 221 ),5830833.799999999813735,6159207.549999999813735,11990041.349999999627471
FS( 222 ),5772845.400000000372529,6149149.349999999627471,11921994.750000000000000
FS( 223 ),5825834.800000000745058,6206984.000000000000000,12032818.800000000745058
FS( 224 ),5807838.400000000372529,6167254.110000000335276,11975092.510000001639128
FS( 225 ),5821835.599999999627471,6066169.200000000186265,11888004.800000000745058
FS( 226 ),5867826.400000000372529,6095840.889999999664724,11963667.289999999105930
FS( 227 ),5780343.900000000372529,6006825.820000000298023,11787169.720000000670552
FS( 228 ),5826334.700000000186265,5848912.080000000074506,11675246.780000001192093
FS( 229 ),5910317.900000000372529,5959552.280000000260770,11869870.179999999701977
FS( 230 ),5965306.900000000372529,6009340.370000000111759,11974647.269999999552965
FS( 231 ),6063787.200000000186265,6052087.720000000670552,12115874.920000001788139
FS( 232 ),6063287.300000000745058,6055105.180000000633299,12118392.480000000447035
FS( 233 ),6112277.500000000000000,6073209.940000000409782,12185487.440000001341105
FS( 234 ),6130773.799999999813735,6066672.110000000335276,12197445.910000000149012
FS( 235 ),6124275.100000000558794,6081256.500000000000000,12205531.600000001490116
FS( 236 ),6141271.700000000186265,6100869.990000000223517,12242141.690000001341105
FS( 237 ),6145270.900000000372529,6135570.780000000260770,12280841.679999999701977
FS( 238 ),6144771.000000000000000,6148143.530000000260770,12292914.530000001192093
FS( 239 ),6148770.200000000186265,6176809.400000000372529,12325579.600000001490116
FS( 240 ),6157768.400000000372529,6232632.410000000149012,12390400.810000000521541
FS( 241 ),6148770.200000000186265,6216539.290000000037253,12365309.490000000223517
FS( 242 ),6155768.799999999813735,6226094.580000000074506,12381863.379999998956919
FS( 243 ),6261247.700000000186265,6361880.280000000260770,12623127.980000000447035
FS( 244 ),6255748.799999999813735,6339752.240000000223517,12595501.039999999105930
FS( 245 ),6256248.700000000186265,6396078.160000000149012,12652326.859999999403954
FS( 246 ),6250249.900000000372529,6450392.439999999478459,12700642.339999999850988
FS( 247 ),6243251.299999999813735,6407142.180000000633299,12650393.480000000447035
FS( 248 ),6256248.700000000186265,6120986.389999999664724,12377235.089999999850988
FS( 249 ),6237252.500000000000000,6008837.460000000894070,12246089.960000000894070
FS( 250 ),6221755.599999999627471,6005820.000000000000000,12227575.599999999627471
FS( 251 ),6260247.900000000372529,5916804.930000000633299,12177052.830000001937151
