代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12721292.820000000298023
真實報酬,2721292.820000000298023

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10217.109476302290204
風險,165228.850893850787543
起點值,0.061836110467573
找到最佳解世代,2050
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
CVX[5](6),INTC[11](7),JPM[13](10),MRK[17](4),MSFT[18](13),PG[21](16),UNH[23](2),V[25](15),
FS( 10 ),1367982.560000000288710,1293628.539999999804422,1248310.879999999888241,1282124.820000000065193,1264026.070000000298023,1249076.719999999972060,1286469.150000000139698,1197246.949999999953434,10188865.689999999478459
FS( 11 ),1368127.680000000167638,1302683.519999999785796,1250000.000000000000000,1266183.179999999934807,1274010.730000000214204,1251231.040000000037253,1282668.140000000130385,1204280.689999999944121,10199184.980000000447035
FS( 12 ),1384526.240000000223517,1304329.879999999888241,1244088.080000000074506,1254589.260000000009313,1292078.210000000195578,1251692.680000000167638,1283181.790000000037253,1211984.310000000055879,10226470.450000001117587
FS( 13 ),1406149.120000000111759,1316265.989999999990687,1240498.699999999953434,1244686.120000000111759,1299447.840000000083819,1273389.760000000009313,1279380.780000000027940,1224879.500000000000000,10284697.810000000521541
FS( 14 ),1417758.720000000204891,1345077.289999999804422,1277025.919999999925494,1262077.000000000000000,1271633.430000000167638,1279544.960000000195578,1301878.650000000139698,1235597.579999999841675,10390593.549999998882413
FS( 15 ),1399618.720000000204891,1331083.229999999981374,1276603.639999999897555,1275361.699999999953434,1280429.440000000176951,1282160.919999999925494,1302084.110000000102445,1235430.109999999869615,10382771.869999999180436
FS( 16 ),1385977.440000000176951,1330260.050000000046566,1271958.560000000055879,1280917.120000000111759,1285421.770000000251457,1273235.879999999888241,1315233.550000000279397,1221865.039999999804422,10364869.410000000149012
FS( 17 ),1358259.520000000251457,1317089.169999999925494,1265624.359999999869615,1282124.820000000065193,1283044.470000000204891,1274466.919999999925494,1333416.760000000009313,1237774.689999999944121,10351800.709999999031425
FS( 18 ),1376544.640000000130385,1312150.089999999850988,1255911.919999999925494,1281883.280000000027940,1288749.990000000223517,1275544.080000000074506,1321089.160000000149012,1241626.500000000000000,10353499.660000000149012
FS( 19 ),1374077.600000000325963,1312973.269999999785796,1254222.799999999813735,1276086.320000000065193,1272822.080000000074506,1271389.320000000065193,1324479.250000000000000,1240621.679999999934807,10326672.320000000298023
FS( 20 ),1383365.280000000027940,1332729.590000000083819,1246410.619999999878928,1287921.780000000027940,1300636.490000000223517,1274159.159999999916181,1333827.680000000167638,1262392.779999999795109,10421443.380000000819564
FS( 21 ),1382349.440000000176951,1346312.060000000055879,1260768.139999999897555,1285506.379999999888241,1308719.310000000055879,1272312.600000000093132,1332286.730000000214204,1285838.579999999841675,10474093.240000000223517
FS( 22 ),1384526.240000000223517,1331494.820000000065193,1250422.280000000027940,1278018.639999999897555,1312998.450000000186265,1266619.040000000037253,1324273.790000000037253,1280814.479999999981374,10429167.740000002086163
FS( 23 ),1367982.560000000288710,1335610.719999999972060,1264146.379999999888241,1297100.300000000046566,1321081.270000000251457,1285392.400000000139698,1334752.250000000000000,1299403.649999999906868,10505469.530000001192093
FS( 24 ),1355937.600000000325963,1317089.169999999925494,1250000.000000000000000,1314008.099999999860302,1317753.050000000046566,1280468.239999999990687,1330334.860000000102445,1303422.929999999934807,10469013.949999999254942
FS( 25 ),1344908.480000000214204,1312973.269999999785796,1232264.239999999990687,1310143.459999999962747,1297070.540000000270084,1279698.839999999850988,1305166.010000000242144,1289020.510000000009313,10371245.349999999627471
FS( 26 ),1376399.520000000251457,1320381.889999999897555,1241765.540000000037253,1343717.520000000018626,1310383.420000000158325,1289701.040000000037253,1315336.280000000027940,1309786.789999999804422,10507472.000000000000000
FS( 27 ),1375673.920000000158325,1298567.619999999878928,1210305.679999999934807,1338645.179999999934807,1294693.240000000223517,1280929.879999999888241,1303419.600000000093132,1299236.179999999934807,10401471.299999998882413
FS( 28 ),1398022.400000000139698,1301860.339999999850988,1219173.560000000055879,1337195.939999999944121,1293742.320000000298023,1280314.360000000102445,1291194.730000000214204,1306772.329999999841675,10428275.980000000447035
FS( 29 ),1382204.320000000065193,1303506.699999999953434,1228886.000000000000000,1329708.199999999953434,1291127.290000000270084,1273082.000000000000000,1297872.180000000167638,1303255.459999999729916,10409642.149999998509884
FS( 30 ),1415146.560000000288710,1311326.909999999916181,1251689.119999999878928,1336712.860000000102445,1299210.110000000102445,1274620.800000000046566,1302700.489999999990687,1314978.359999999869615,10506385.209999999031425
FS( 31 ),1416452.640000000130385,1322439.840000000083819,1304685.260000000009313,1351688.340000000083819,1315851.210000000195578,1268927.239999999990687,1312562.570000000065193,1334907.289999999804422,10627514.389999998733401
FS( 32 ),1421967.200000000186265,1308857.369999999878928,1321576.459999999962747,1363523.800000000046566,1316088.940000000176951,1262002.640000000130385,1314822.630000000121072,1345290.429999999934807,10654129.470000000670552
FS( 33 ),1411083.200000000186265,1294863.310000000055879,1306374.379999999888241,1356036.060000000055879,1322983.110000000102445,1266465.159999999916181,1308145.180000000167638,1341103.679999999934807,10607054.080000000074506
FS( 34 ),1432415.840000000316650,1302683.519999999785796,1314819.979999999981374,1364973.040000000037253,1342239.240000000223517,1274620.800000000046566,1313076.220000000204891,1364047.070000000065193,10708875.710000000894070
FS( 35 ),1458537.440000000176951,1300625.570000000065193,1336989.679999999934807,1373426.939999999944121,1340575.130000000121072,1281545.400000000139698,1340710.590000000083819,1352324.169999999925494,10784734.920000001788139
FS( 36 ),1475806.720000000204891,1317089.169999999925494,1356414.559999999823049,1366663.820000000065193,1321556.730000000214204,1254924.159999999916181,1375946.980000000214204,1359022.969999999972060,10827425.110000001266599
FS( 37 ),1471598.240000000223517,1315854.399999999906868,1342901.600000000093132,1367146.900000000139698,1326073.600000000093132,1243383.159999999916181,1365982.170000000158325,1352994.050000000046566,10785934.120000001043081
FS( 38 ),1480450.560000000288710,1302271.929999999934807,1350713.780000000027940,1370528.459999999962747,1230981.600000000093132,1245691.360000000102445,1378001.580000000074506,1324859.089999999850988,10683498.359999999403954
FS( 39 ),1473194.560000000288710,1291982.179999999934807,1342901.600000000093132,1357968.379999999888241,1238826.690000000176951,1252769.839999999850988,1374406.030000000027940,1308614.500000000000000,10640663.780000001192093
FS( 40 ),1484513.920000000158325,1292393.769999999785796,1349869.219999999972060,1353620.659999999916181,1222898.780000000027940,1224148.159999999916181,1379131.610000000102445,1315145.829999999841675,10621721.950000001117587
FS( 41 ),1507152.640000000130385,1306799.419999999925494,1353669.739999999990687,1360142.239999999990687,1211012.280000000027940,1229380.080000000074506,1364338.490000000223517,1318997.639999999897555,10651492.530000001192093
FS( 42 ),1486110.240000000223517,1280457.659999999916181,1342901.600000000093132,1346374.459999999962747,1186288.360000000102445,1227379.640000000130385,1356839.199999999953434,1300910.880000000121072,10527262.040000000968575
FS( 43 ),1482917.600000000325963,1246295.689999999944121,1334456.000000000000000,1324635.860000000102445,1185575.170000000158325,1232919.320000000065193,1352832.730000000214204,1293542.199999999953434,10453174.570000000298023
FS( 44 ),1499316.160000000149012,1259878.159999999916181,1346913.260000000009313,1335746.699999999953434,1203167.190000000176951,1245999.119999999878928,1357147.390000000130385,1313973.539999999804422,10562141.519999999552965
FS( 45 ),1470437.280000000027940,1249588.409999999916181,1320943.040000000037253,1330432.820000000065193,1183435.600000000093132,1247999.559999999823049,1360845.670000000158325,1292704.849999999860302,10456387.230000000447035
FS( 46 ),1459843.520000000251457,1228597.320000000065193,1320943.040000000037253,1323911.239999999990687,1185575.170000000158325,1255693.559999999823049,1356428.280000000027940,1292704.849999999860302,10423696.979999998584390
FS( 47 ),1471888.480000000214204,1230655.269999999785796,1293072.560000000055879,1306520.360000000102445,1187239.280000000027940,1251077.159999999916181,1359304.720000000204891,1295551.839999999850988,10395309.669999999925494
FS( 48 ),1478273.760000000242144,1236417.529999999795109,1300673.600000000093132,1294684.900000000139698,1197937.130000000121072,1263849.199999999953434,1356531.010000000009313,1301580.760000000009313,10429947.890000000596046
FS( 49 ),1456360.640000000130385,1226539.369999999878928,1292439.139999999897555,1306761.900000000139698,1190329.770000000251457,1263695.320000000065193,1363003.000000000000000,1309954.260000000009313,10409083.400000000372529
FS( 50 ),1469711.680000000167638,1240533.429999999934807,1309963.760000000009313,1320771.219999999972060,1212914.120000000111759,1269235.000000000000000,1372248.699999999953434,1326366.320000000065193,10521744.230000000447035
FS( 51 ),1467825.120000000111759,1237240.709999999962747,1305107.540000000037253,1311834.239999999990687,1213627.310000000055879,1264156.960000000195578,1342662.459999999962747,1294547.019999999785796,10437001.359999999403954
FS( 52 ),1482046.880000000353903,1224893.010000000009313,1304262.979999999981374,1307244.979999999981374,1224562.890000000130385,1268157.839999999850988,1332903.110000000102445,1304427.750000000000000,10448499.439999999478459
FS( 53 ),1462020.320000000065193,1231066.859999999869615,1292228.000000000000000,1301448.020000000018626,1214340.500000000000000,1250000.000000000000000,1325301.090000000083819,1286675.929999999934807,10363080.719999998807907
FS( 54 ),1484513.920000000158325,1250823.179999999934807,1301940.439999999944121,1320046.599999999860302,1232170.250000000000000,1256155.199999999953434,1342148.810000000055879,1302920.519999999785796,10490718.919999999925494
FS( 55 ),1462165.440000000176951,1233947.989999999990687,1301940.439999999944121,1312075.780000000027940,1200789.890000000130385,1240613.320000000065193,1331053.970000000204891,1286006.050000000046566,10368592.880000002682209
FS( 56 ),1452152.160000000149012,1234359.579999999841675,1352191.760000000009313,1320529.679999999934807,1207921.790000000270084,1228764.559999999823049,1340813.320000000065193,1296724.130000000121072,10433456.980000000447035
FS( 57 ),1449104.640000000130385,1219542.339999999850988,1338467.659999999916181,1318355.820000000065193,1196273.020000000251457,1233996.479999999981374,1335574.090000000083819,1287513.279999999795109,10378827.330000000074506
FS( 58 ),1448233.920000000158325,1240945.019999999785796,1341001.339999999850988,1331157.439999999944121,1203404.920000000158325,1231380.520000000018626,1345230.709999999962747,1300743.409999999916181,10442097.280000001192093
FS( 59 ),1442284.000000000000000,1244237.739999999990687,1339945.639999999897555,1326568.179999999934807,1189378.850000000093132,1234150.360000000102445,1339888.750000000000000,1293039.789999999804422,10409493.309999998658895
FS( 60 ),1454038.720000000204891,1278399.709999999962747,1362748.760000000009313,1342992.900000000139698,1226464.730000000214204,1245999.119999999878928,1362181.160000000149012,1329380.779999999795109,10602205.880000000819564
FS( 61 ),1476967.680000000167638,1291982.179999999934807,1383440.479999999981374,1366422.280000000027940,1239064.420000000158325,1253847.000000000000000,1370707.750000000000000,1324021.739999999990687,10706453.529999999329448
FS( 62 ),1473049.440000000176951,1296098.079999999841675,1373094.619999999878928,1362074.560000000055879,1233596.630000000121072,1249846.119999999878928,1366187.629999999888241,1323016.919999999925494,10676963.999999998137355
FS( 63 ),1480595.680000000167638,1299390.800000000046566,1381540.220000000204891,1364248.419999999925494,1243819.020000000251457,1253077.600000000093132,1376666.090000000083819,1334069.939999999944121,10733407.770000001415610
FS( 64 ),1465793.440000000176951,1300213.979999999981374,1378161.979999999981374,1358934.540000000037253,1259984.660000000149012,1247076.280000000027940,1373276.000000000000000,1322012.099999999860302,10705452.979999998584390
FS( 65 ),1467680.000000000000000,1303095.109999999869615,1387029.859999999869615,1360625.320000000065193,1256418.710000000195578,1258617.280000000027940,1382110.780000000027940,1326701.260000000009313,10742278.320000000298023
FS( 66 ),1458972.800000000279397,1307211.010000000009313,1389563.540000000037253,1372460.780000000027940,1247622.700000000186265,1261079.360000000102445,1397623.010000000009313,1338926.570000000065193,10773459.770000001415610
FS( 67 ),1460859.360000000102445,1301448.750000000000000,1364860.159999999916181,1368113.060000000055879,1231219.330000000074506,1269081.119999999878928,1405841.410000000149012,1338759.099999999860302,10740182.290000000968575
FS( 68 ),1468260.480000000214204,1303918.289999999804422,1378373.119999999878928,1380914.679999999934807,1239302.150000000139698,1273697.520000000018626,1419299.040000000037253,1348807.300000000046566,10812572.580000001937151
FS( 69 ),1499461.280000000027940,1312150.089999999850988,1373728.040000000037253,1376808.500000000000000,1238588.960000000195578,1266772.919999999925494,1406868.709999999962747,1349812.119999999878928,10824190.619999999180436
FS( 70 ),1496123.520000000251457,1312561.679999999934807,1377739.699999999953434,1391783.979999999981374,1237162.580000000074506,1271850.960000000195578,1442413.290000000037253,1367396.469999999972060,10897032.180000001564622
FS( 71 ),1492060.160000000149012,1314619.629999999888241,1367182.699999999953434,1381156.219999999972060,1227177.920000000158325,1279852.719999999972060,1445289.730000000214204,1360865.139999999897555,10868204.220000000670552
FS( 72 ),1480015.200000000186265,1318735.529999999795109,1347968.959999999962747,1372219.239999999990687,1223849.700000000186265,1280314.360000000102445,1430496.610000000102445,1342778.380000000121072,10796377.980000000447035
FS( 73 ),1481756.640000000130385,1324086.199999999953434,1335933.979999999981374,1355311.439999999944121,1191993.880000000121072,1270619.919999999925494,1418682.660000000149012,1312968.719999999972060,10691353.439999999478459
FS( 74 ),1469856.800000000279397,1322851.429999999934807,1310808.319999999832362,1358693.000000000000000,1184624.250000000000000,1282622.559999999823049,1416422.600000000093132,1315815.709999999729916,10661694.669999999925494
FS( 75 ),1460424.000000000000000,1301037.159999999916181,1308485.780000000027940,1354828.360000000102445,1181296.030000000027940,1276467.360000000102445,1410156.070000000065193,1309116.909999999916181,10601811.670000001788139
FS( 76 ),1466809.280000000027940,1304329.879999999888241,1313764.280000000027940,1388885.500000000000000,1197937.130000000121072,1283545.839999999850988,1424538.270000000018626,1312131.369999999878928,10691941.549999998882413
FS( 77 ),1474065.280000000027940,1307211.010000000009313,1315031.119999999878928,1349997.560000000055879,1191756.150000000139698,1279237.199999999953434,1414573.459999999962747,1289355.449999999953434,10621227.230000000447035
FS( 78 ),1489157.760000000242144,1324086.199999999953434,1316931.379999999888241,1356036.060000000055879,1190329.770000000251457,1277852.280000000027940,1423100.050000000279397,1295216.899999999906868,10672710.400000002235174
FS( 79 ),1498300.320000000065193,1330260.050000000046566,1329177.500000000000000,1358693.000000000000000,1216955.530000000027940,1283545.839999999850988,1419709.959999999962747,1295049.429999999934807,10731691.629999998956919
FS( 80 ),1484513.920000000158325,1329025.279999999795109,1324110.139999999897555,1377774.659999999916181,1212200.930000000167638,1286007.919999999925494,1416730.790000000037253,1281651.829999999841675,10712015.470000000670552
FS( 81 ),1515714.720000000204891,1357836.580000000074506,1352402.899999999906868,1393233.219999999972060,1234072.090000000083819,1295856.239999999990687,1429982.959999999962747,1310121.729999999981374,10889220.440000001341105
FS( 82 ),1478854.240000000223517,1298567.619999999878928,1258445.600000000093132,1349756.020000000018626,1184624.250000000000000,1265849.640000000130385,1410464.260000000009313,1256866.269999999785796,10503427.900000000372529
FS( 83 ),1456505.760000000242144,1264405.649999999906868,1216428.739999999990687,1335988.239999999990687,1151342.050000000046566,1250000.000000000000000,1408615.120000000111759,1228228.899999999906868,10311514.460000000894070
FS( 84 ),1474936.000000000000000,1283750.379999999888241,1256756.479999999981374,1342509.820000000065193,1175352.780000000027940,1268927.239999999990687,1425051.920000000158325,1258708.439999999944121,10485993.060000000521541
FS( 85 ),1500912.480000000214204,1314208.039999999804422,1292228.000000000000000,1378016.199999999953434,1201503.080000000074506,1291239.839999999850988,1443646.050000000279397,1285168.699999999953434,10706922.389999998733401
FS( 86 ),1521374.400000000139698,1350016.369999999878928,1312075.159999999916181,1391542.439999999944121,1216480.070000000298023,1302934.719999999972060,1450631.689999999944121,1242128.909999999916181,10787183.759999999776483
FS( 87 ),1511506.240000000223517,1347958.419999999925494,1293494.839999999850988,1399513.260000000009313,1216242.340000000083819,1304627.400000000139698,1447138.870000000111759,1247320.479999999981374,10767801.850000001490116
FS( 88 ),1503089.280000000027940,1345077.289999999804422,1257389.899999999906868,1400962.500000000000000,1216480.070000000298023,1314783.479999999981374,1454329.970000000204891,1250502.409999999916181,10742614.900000000372529
FS( 89 ),1517746.400000000139698,1357013.399999999906868,1270902.859999999869615,1428981.139999999897555,1221472.400000000139698,1308474.400000000139698,1462753.830000000074506,1240286.739999999990687,10807631.169999999925494
FS( 90 ),1495543.040000000037253,1366479.969999999972060,1270902.859999999869615,1419802.620000000111759,1221472.400000000139698,1305396.800000000046566,1446522.490000000223517,1240286.739999999990687,10766406.919999999925494
FS( 91 ),1520503.680000000167638,1399407.169999999925494,1305529.819999999832362,1433570.400000000139698,1243343.560000000055879,1319861.520000000018626,1451350.800000000279397,1279809.659999999916181,10953376.610000001266599
FS( 92 ),1529501.120000000111759,1415047.590000000083819,1314819.979999999981374,1433328.860000000102445,1250237.730000000214204,1319553.760000000009313,1441591.449999999953434,1281484.359999999869615,10985564.849999999627471
FS( 93 ),1549672.800000000279397,1438096.629999999888241,1334456.000000000000000,1439608.900000000139698,1264976.990000000223517,1319553.760000000009313,1436865.870000000111759,1297561.479999999981374,11080792.429999999701977
FS( 94 ),1547786.240000000223517,1440977.759999999776483,1333611.439999999944121,1438401.199999999953434,1272108.890000000130385,1321708.080000000074506,1453508.129999999888241,1297226.539999999804422,11105328.279999997466803
FS( 95 ),1548511.840000000316650,1448797.969999999972060,1353880.880000000121072,1440816.599999999860302,1277576.680000000167638,1321400.320000000065193,1446933.410000000149012,1308614.500000000000000,11146532.200000001117587
FS( 96 ),1553300.800000000279397,1443447.300000000046566,1355147.720000000204891,1440333.520000000018626,1276625.760000000242144,1323554.640000000130385,1451967.180000000167638,1311294.019999999785796,11155670.939999999478459
FS( 97 ),1539659.520000000251457,1442624.119999999878928,1350502.639999999897555,1425599.580000000074506,1282806.740000000223517,1322323.600000000093132,1446008.840000000083819,1311461.489999999990687,11120986.530000001192093
FS( 98 ),1538933.920000000158325,1446740.019999999785796,1348391.239999999990687,1416904.139999999897555,1262124.230000000214204,1326016.719999999972060,1464911.160000000149012,1318327.760000000009313,11122349.189999999478459
FS( 99 ),1532403.520000000251457,1468965.879999999888241,1349869.219999999972060,1420044.159999999916181,1329164.090000000083819,1312936.919999999925494,1469328.550000000279397,1329045.839999999850988,11211758.179999999701977
FS( 100 ),1529501.120000000111759,1410520.100000000093132,1344801.859999999869615,1420044.159999999916181,1326549.060000000055879,1312013.640000000130385,1467787.600000000093132,1319500.050000000046566,11130717.590000001713634
FS( 101 ),1533419.360000000102445,1426572.109999999869615,1352191.760000000009313,1420768.780000000027940,1344854.270000000251457,1319092.119999999878928,1476211.459999999962747,1338256.689999999944121,11211366.549999998882413
FS( 102 ),1495833.280000000027940,1427806.879999999888241,1348602.379999999888241,1414488.739999999990687,1348657.950000000186265,1320323.159999999916181,1456076.379999999888241,1322012.099999999860302,11133800.869999999180436
FS( 103 ),1490173.600000000325963,1444270.479999999981374,1354092.019999999785796,1409657.939999999944121,1349371.140000000130385,1312167.520000000018626,1455768.189999999944121,1314475.949999999953434,11129976.839999997988343
FS( 104 ),1484078.560000000288710,1433569.139999999897555,1358314.819999999832362,1415454.900000000139698,1335820.530000000027940,1299703.239999999990687,1455562.730000000214204,1315145.829999999841675,11097649.750000000000000
FS( 105 ),1477257.920000000158325,1431099.600000000093132,1353458.599999999860302,1411348.719999999972060,1336295.990000000223517,1305089.040000000037253,1466657.570000000065193,1326198.849999999860302,11107406.289999999105930
FS( 106 ),1487271.200000000186265,1434803.909999999916181,1350713.780000000027940,1416904.139999999897555,1347469.300000000046566,1317091.680000000167638,1471177.689999999944121,1307107.269999999785796,11132538.969999998807907
FS( 107 ),1438365.760000000242144,1434392.320000000065193,1347124.399999999906868,1416904.139999999897555,1345092.000000000000000,1329709.839999999850988,1474362.320000000065193,1310624.139999999897555,11096574.919999999925494
FS( 108 ),1445331.520000000251457,1422456.209999999962747,1343957.299999999813735,1408933.320000000065193,1345092.000000000000000,1335095.640000000130385,1470869.500000000000000,1310959.079999999841675,11082694.570000000298023
FS( 109 ),1460133.760000000242144,1409696.919999999925494,1365282.439999999944121,1392508.599999999860302,1354363.470000000204891,1322939.119999999878928,1467890.330000000074506,1318160.289999999804422,11090974.929999999701977
FS( 110 ),1456941.120000000111759,1423279.389999999897555,1363171.040000000037253,1397097.860000000102445,1364348.130000000121072,1324170.159999999916181,1466143.920000000158325,1331055.479999999981374,11126207.100000001490116
FS( 111 ),1458682.560000000288710,1439742.989999999757856,1399909.399999999906868,1542504.939999999944121,1377898.740000000223517,1320015.400000000139698,1469020.360000000102445,1342108.500000000000000,11349882.889999998733401
FS( 112 ),1468695.840000000316650,1442212.529999999795109,1395686.599999999860302,1518350.939999999944121,1380276.040000000270084,1319707.640000000130385,1460185.580000000074506,1338926.570000000065193,11324041.740000000223517
FS( 113 ),1470437.280000000027940,1437273.449999999953434,1390830.380000000121072,1509413.959999999962747,1383604.260000000242144,1323246.879999999888241,1457000.949999999953434,1340768.739999999990687,11312575.900000000372529
FS( 114 ),1453313.120000000111759,1421221.439999999944121,1378373.119999999878928,1513037.060000000055879,1379325.120000000111759,1328171.040000000037253,1460801.959999999962747,1334404.880000000121072,11268647.740000000223517
FS( 115 ),1471598.240000000223517,1427395.289999999804422,1382173.639999999897555,1536949.520000000018626,1385981.560000000055879,1334634.000000000000000,1465322.080000000074506,1341773.560000000055879,11345827.890000000596046
FS( 116 ),1482627.360000000102445,1422867.800000000046566,1379217.679999999701977,1530186.400000000139698,1377423.280000000027940,1339404.280000000027940,1467890.330000000074506,1340098.859999999869615,11339715.990000000223517
FS( 117 ),1491479.680000000167638,1436861.859999999869615,1387663.280000000027940,1529461.780000000027940,1381702.420000000158325,1339096.520000000018626,1454946.350000000093132,1355003.689999999944121,11376215.580000000074506
FS( 118 ),1489302.880000000353903,1449209.560000000055879,1387452.139999999897555,1522698.659999999916181,1365536.780000000027940,1332325.800000000046566,1449398.930000000167638,1353328.989999999990687,11349253.740000000223517
FS( 119 ),1483498.080000000074506,1441389.350000000093132,1391252.659999999916181,1528737.159999999916181,1368389.540000000270084,1338173.239999999990687,1455870.920000000158325,1353831.399999999906868,11361142.349999999627471
FS( 120 ),1502799.040000000037253,1439331.399999999906868,1392519.500000000000000,1536949.520000000018626,1369340.460000000195578,1345559.479999999981374,1460596.500000000000000,1344285.609999999869615,11391381.509999997913837
FS( 121 ),1484949.280000000027940,1450444.330000000074506,1390619.239999999990687,1530427.939999999944121,1369815.920000000158325,1343559.040000000037253,1459261.010000000009313,1347635.010000000009313,11376711.769999999552965
FS( 122 ),1479434.720000000204891,1455383.409999999916181,1389352.399999999906868,1535017.199999999953434,1371004.570000000298023,1336480.559999999823049,1459774.660000000149012,1357515.739999999990687,11383963.259999999776483
FS( 123 ),1475661.600000000325963,1457029.769999999785796,1388718.979999999981374,1535741.820000000065193,1376234.630000000121072,1344943.960000000195578,1458952.820000000065193,1353161.519999999785796,11390445.099999999627471
FS( 124 ),1483207.840000000316650,1446740.019999999785796,1392519.500000000000000,1515210.919999999925494,1377661.010000000242144,1343559.040000000037253,1436968.600000000093132,1344620.550000000046566,11340487.480000002309680
FS( 125 ),1478709.120000000111759,1444270.479999999981374,1395053.179999999701977,1505307.780000000027940,1382891.070000000298023,1352637.960000000195578,1410566.990000000223517,1345122.959999999729916,11314559.539999999105930
FS( 126 ),1470437.280000000027940,1451267.509999999776483,1398220.280000000027940,1518109.400000000139698,1379562.850000000093132,1347713.800000000046566,1403581.350000000093132,1349309.709999999729916,11318202.179999999701977
FS( 127 ),1481031.040000000037253,1463203.619999999878928,1413633.500000000000000,1521974.040000000037253,1381226.960000000195578,1358793.159999999916181,1410258.800000000279397,1354333.810000000055879,11384454.930000001564622
FS( 128 ),1475951.840000000316650,1469377.469999999972060,1425246.199999999953434,1514727.840000000083819,1376234.630000000121072,1347098.280000000027940,1406149.600000000093132,1359357.909999999916181,11374143.769999999552965
FS( 129 ),1459698.400000000139698,1477197.679999999934807,1425246.199999999953434,1516660.159999999916181,1366012.240000000223517,1343559.040000000037253,1397725.740000000223517,1354836.219999999972060,11340935.680000001564622
FS( 130 ),1454328.960000000195578,1482548.350000000093132,1419123.139999999897555,1519317.099999999860302,1369102.730000000214204,1358947.040000000037253,1394541.110000000102445,1361535.019999999785796,11359443.449999999254942
FS( 131 ),1464777.600000000325963,1485017.889999999897555,1425035.059999999823049,1521249.419999999925494,1371004.570000000298023,1357254.360000000102445,1403478.620000000111759,1373257.919999999925494,11401075.439999999478459
FS( 132 ),1486545.600000000325963,1505185.800000000046566,1423979.359999999869615,1527529.459999999962747,1369578.190000000176951,1364025.080000000074506,1396903.900000000139698,1382133.829999999841675,11455881.220000000670552
FS( 133 ),1493076.000000000000000,1500658.310000000055879,1418067.439999999944121,1518592.479999999981374,1370766.840000000083819,1353407.360000000102445,1386836.360000000102445,1394024.199999999953434,11435428.989999998360872
FS( 134 ),1511070.880000000353903,1499835.129999999888241,1419967.699999999953434,1527529.459999999962747,1365299.050000000046566,1350791.400000000139698,1391459.209999999962747,1389502.510000000009313,11455455.339999997988343
