代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12818959.289999999105930
真實報酬,2818959.289999999105930

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,10602.109226162991035
風險,259251.752723498910200
起點值,0.040895033938191
找到最佳解世代,1736
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
HD[9](1),NKE[19](6),UNH[23](4),
FS( 22 ),3538626.900000000372529,3280791.279999999795109,3401640.470000000204891,10221059.650000000372529
FS( 23 ),3486713.500000000465661,3242579.120000000111759,3391209.280000000260770,10120502.900000002235174
FS( 24 ),3413562.800000000279397,3190037.399999999906868,3335351.940000000409782,9938953.140000000596046
FS( 25 ),3403112.700000000186265,3171613.679999999701977,3328622.140000000130385,9903349.519999999552965
FS( 26 ),3519749.300000000279397,3237120.239999999757856,3362607.630000000353903,10119478.169999999925494
FS( 27 ),3597619.400000000372529,3311497.479999999981374,3523113.360000000335276,10432231.240000002086163
FS( 28 ),3535930.100000000093132,3275332.399999999906868,3490137.339999999850988,10301400.839999999850988
FS( 29 ),3520086.400000000372529,3270555.879999999888241,3450768.009999999776483,10241411.289999999105930
FS( 30 ),3496826.500000000465661,3241896.759999999776483,3468265.489999999757856,10206989.750000000000000
FS( 31 ),3460082.600000000093132,3197543.359999999869615,3477014.229999999981374,10134641.189999999478459
FS( 32 ),3405135.300000000279397,3166837.159999999683350,3515037.599999999627471,10087011.059999998658895
FS( 33 ),3509973.400000000372529,3172978.399999999906868,3559117.790000000037253,10242070.589999999850988
FS( 34 ),3480645.700000000186265,3194131.560000000055879,3554070.440000000409782,10228848.699999999254942
FS( 35 ),3490084.500000000000000,3190719.759999999776483,3678571.739999999757856,10359377.000000000000000
FS( 36 ),3575707.899999999906868,3270555.879999999888241,3831001.709999999962747,10677266.489999998360872
FS( 37 ),3552110.900000000372529,3280791.279999999795109,3768751.060000000055879,10601654.240000000223517
FS( 38 ),3585483.800000000279397,3287614.879999999888241,3755627.950000000186265,10628727.629999998956919
FS( 39 ),3545031.800000000279397,3224155.399999999906868,3701789.550000000279397,10470977.750000000000000
FS( 40 ),3530873.600000000093132,3183896.159999999683350,3649633.599999999627471,10364404.359999999403954
FS( 41 ),3627958.400000000372529,3237120.239999999757856,3680927.169999999925494,10546006.810000000521541
FS( 42 ),3520086.400000000372529,3147731.080000000074506,3575269.310000000055879,10243087.790000000968575
FS( 43 ),3520423.500000000465661,3136130.959999999962747,3610264.270000000484288,10266819.730000000447035
FS( 44 ),3615148.600000000093132,3185260.879999999888241,3627761.750000000000000,10428172.230000000447035
FS( 45 ),3654589.300000000279397,3157284.120000000111759,3631463.140000000130385,10443337.560000000521541
FS( 46 ),3674141.100000000093132,3184578.520000000018626,3661747.239999999757856,10520467.859999999403954
FS( 47 ),3675826.600000000558794,3132036.799999999813735,3620695.459999999962747,10428559.859999999403954
FS( 48 ),3652229.600000000093132,3110883.640000000130385,3583345.069999999832362,10346459.310000000521541
FS( 49 ),3730773.900000000372529,3164790.080000000074506,3666794.589999999850988,10562359.570000000298023
FS( 50 ),3718638.300000000279397,3115660.159999999683350,3696405.709999999962747,10530705.169999999925494
FS( 51 ),3781001.800000000279397,3138860.399999999906868,3696069.220000000204891,10615932.419999999925494
FS( 52 ),3771900.100000000093132,3140225.120000000111759,3682609.620000000111759,10594735.839999999850988
FS( 53 ),3775608.200000000186265,3134083.879999999888241,3693377.300000000279397,10603070.380000000819564
FS( 54 ),3775271.100000000093132,3194131.560000000055879,3693713.790000000037253,10663117.449999999254942
FS( 55 ),3739875.600000000093132,3196861.000000000000000,3702462.530000000260770,10639200.129999998956919
FS( 56 ),3783698.600000000093132,3239167.319999999832362,3789613.440000000409782,10812480.359999999403954
FS( 57 ),3785047.000000000000000,3241896.759999999776483,3916806.660000000149012,10943751.419999999925494
FS( 58 ),3935730.700000000186265,3255543.959999999962747,3884167.130000000353903,11075442.790000000968575
FS( 59 ),3920898.300000000279397,3303309.159999999683350,3837731.509999999776483,11061939.969999998807907
FS( 60 ),3889548.000000000000000,3309450.399999999906868,3824608.399999999906868,11023607.800000000745058
FS( 61 ),3868310.700000000186265,3313544.560000000055879,3823598.929999999701977,11005455.189999999478459
FS( 62 ),3914493.400000000372529,3369498.080000000074506,3849508.660000000149012,11133501.140000000596046
FS( 63 ),3912807.899999999906868,3342886.040000000037253,3797689.200000000186265,11053384.140000000596046
FS( 64 ),3868647.800000000279397,3327191.759999999776483,3829992.239999999757856,11025832.800000000745058
FS( 65 ),3907414.300000000279397,3359262.679999999701977,3862631.770000000484288,11129309.750000000000000
FS( 66 ),3858197.700000000186265,3306720.959999999962747,3798362.179999999701977,10963281.839999999850988
FS( 67 ),3885165.700000000186265,3324462.319999999832362,3866333.160000000149012,11075962.179999999701977
FS( 68 ),3794485.800000000279397,3293073.759999999776483,3784229.599999999627471,10871790.160000000149012
FS( 69 ),3811677.899999999906868,3252814.520000000018626,3792978.339999999850988,10857471.759999999776483
FS( 70 ),3913819.200000000186265,3310815.120000000111759,3865660.179999999701977,11090295.500000000000000
FS( 71 ),3870670.399999999906868,3269191.159999999683350,3878110.310000000055879,11017972.869999999180436
FS( 72 ),3927303.200000000186265,3290344.319999999832362,3988142.540000000037253,11205791.059999998658895
FS( 73 ),3896290.000000000000000,3293756.120000000111759,3957185.459999999962747,11147232.580000000074506
FS( 74 ),3913145.000000000000000,3327191.759999999776483,4036597.099999999627471,11276934.859999999403954
FS( 75 ),3882131.800000000279397,3354486.159999999683350,4063516.300000000279397,11300135.259999999776483
FS( 76 ),3960676.100000000093132,3479358.040000000037253,4009004.919999999925494,11449040.060000000521541
FS( 77 ),3912807.899999999906868,3461616.679999999701977,4005640.020000000484288,11380065.600000001490116
FS( 78 ),3915504.700000000186265,3434322.279999999795109,3974682.940000000409782,11324510.920000001788139
FS( 79 ),3832241.000000000465661,3377686.399999999906868,3921517.520000000484288,11131445.920000001788139
FS( 80 ),3788080.900000000372529,3389286.520000000018626,3911759.310000000055879,11089127.730000000447035
FS( 81 ),3838308.800000000279397,3407710.239999999757856,3970981.550000000279397,11217001.589999999850988
FS( 82 ),3864265.500000000000000,3442510.600000000093132,4071592.060000000055879,11378369.160000000149012
FS( 83 ),3829881.300000000279397,3423404.520000000018626,3980403.270000000484288,11233690.089999999850988
FS( 84 ),3813700.500000000000000,3396792.479999999981374,3952138.110000000335276,11162632.089999999850988
FS( 85 ),3861231.600000000558794,3400204.279999999795109,3949109.700000000186265,11210546.580000001937151
FS( 86 ),3875052.700000000186265,3402933.719999999739230,3960550.360000000335276,11238537.780000001192093
FS( 87 ),3853141.200000000186265,3398839.560000000055879,3948773.209999999962747,11200754.969999998807907
FS( 88 ),3896627.100000000093132,3440463.520000000018626,3977038.370000000111759,11314129.990000000223517
FS( 89 ),3862242.899999999906868,3436369.359999999869615,3989152.009999999776483,11287765.269999999552965
FS( 90 ),3884828.600000000093132,3411122.040000000037253,4004294.060000000055879,11300245.700000001117587
FS( 91 ),3857860.600000000093132,3387239.439999999944121,4016744.190000000409782,11261845.230000000447035
FS( 92 ),3844713.700000000186265,3396110.120000000111759,4035251.140000000130385,11276075.960000000894070
FS( 93 ),3824487.700000000186265,3406345.520000000018626,3947763.739999999757856,11178597.960000000894070
FS( 94 ),3821790.900000000372529,3408392.600000000093132,4091781.459999999962747,11321965.960000000894070
FS( 95 ),3778979.200000000186265,3362674.479999999981374,3994535.849999999627471,11136190.529999999329448
FS( 96 ),3804598.800000000279397,3411804.399999999906868,3990161.479999999981374,11206565.679999999701977
FS( 97 ),3815048.900000000372529,3422039.799999999813735,4013715.780000000260770,11250805.480000000447035
FS( 98 ),3808981.100000000093132,3417263.279999999795109,3964251.750000000000000,11190497.129999998956919
FS( 99 ),3841679.799999999813735,3450016.560000000055879,3979393.800000000279397,11271091.160000000149012
FS( 100 ),3832915.200000000186265,3444557.679999999701977,3993862.870000000111759,11271336.750000000000000
FS( 101 ),3755045.100000000093132,3443875.319999999832362,3911422.819999999832362,11110344.240000000223517
FS( 102 ),3727740.000000000000000,3407027.879999999888241,3956848.970000000204891,11091617.849999999627471
FS( 103 ),3664702.299999999813735,3417945.640000000130385,3822925.950000000186265,10905574.890000000596046
FS( 104 ),3606384.000000000465661,3372227.520000000018626,3748561.660000000149012,10727174.179999999701977
FS( 105 ),3693018.700000000186265,3438416.439999999944121,3809129.860000000335276,10940566.000000000000000
FS( 106 ),3710210.800000000279397,3440463.520000000018626,3854892.500000000000000,11005567.820000000298023
FS( 107 ),3642790.800000000279397,3426133.959999999962747,3814850.190000000409782,10883775.949999999254942
FS( 108 ),3651218.300000000279397,3419310.359999999869615,3818888.069999999832362,10889417.730000000447035
FS( 109 ),3709536.600000000558794,3461616.679999999701977,3861622.300000000279397,11032776.580000000074506
FS( 110 ),3791451.900000000372529,3495052.319999999832362,3892579.380000000353903,11179084.600000001490116
FS( 111 ),3772237.200000000186265,3507334.799999999813735,3861958.790000000037253,11141531.789999999105930
FS( 112 ),3793137.399999999906868,3493005.239999999757856,3857584.419999999925494,11143728.059999998658895
FS( 113 ),3748303.100000000093132,3485499.279999999795109,3898636.200000000186265,11132439.580000000074506
FS( 114 ),3773585.600000000093132,3529170.319999999832362,3988479.030000000260770,11291235.949999999254942
FS( 115 ),3821116.700000000186265,3581712.040000000037253,4015398.229999999981374,11418227.970000000670552
FS( 116 ),3854152.500000000000000,3574206.080000000074506,4031213.259999999776483,11459572.839999999850988
FS( 117 ),3787069.600000000093132,3570111.919999999925494,4056450.009999999776483,11413632.529999999329448
FS( 118 ),3778979.200000000186265,3569429.560000000055879,4079667.819999999832362,11428077.580000000074506
FS( 119 ),3775945.300000000279397,3561923.600000000093132,4053421.599999999627471,11391291.500000000000000
FS( 120 ),3781001.800000000279397,3563288.319999999832362,4024146.970000000204891,11368438.089999999850988
FS( 121 ),3739538.500000000465661,3528487.959999999962747,3978720.819999999832362,11246748.280000001192093
FS( 122 ),3781001.800000000279397,3508699.520000000018626,4019436.110000000335276,11309138.429999999701977
FS( 123 ),3782013.100000000093132,3490275.799999999813735,4025156.440000000409782,11297446.339999999850988
FS( 124 ),3756056.400000000372529,3469122.640000000130385,4045009.349999999627471,11270189.390000000596046
FS( 125 ),3764483.900000000372529,3471852.080000000074506,4033232.200000000186265,11269569.179999999701977
FS( 126 ),3761787.100000000093132,3484134.560000000055879,3962232.810000000055879,11208155.470000000670552
FS( 127 ),3814711.800000000279397,3497781.759999999776483,3982422.209999999962747,11294916.769999999552965
FS( 128 ),3757404.799999999813735,3478675.679999999701977,3925218.910000000149012,11161300.390000000596046
FS( 129 ),3720660.900000000372529,3481405.120000000111759,3921181.030000000260770,11123248.050000000745058
FS( 130 ),3705828.500000000465661,3460934.319999999832362,3933967.649999999906868,11100731.470000000670552
FS( 131 ),3692344.500000000000000,3458204.879999999888241,3936659.569999999832362,11087209.949999999254942
FS( 132 ),3741224.000000000465661,3525758.520000000018626,3989152.009999999776483,11256135.530000001192093
FS( 133 ),3751674.100000000558794,3544182.239999999757856,4015061.739999999757856,11310919.080000000074506
FS( 134 ),3728414.200000000186265,3540770.439999999944121,3958867.910000000149012,11228053.550000000745058
FS( 135 ),3708525.300000000279397,3526440.879999999888241,4003621.080000000074506,11238588.259999999776483
FS( 136 ),3715941.500000000465661,3567382.479999999981374,4090099.009999999776483,11373423.990000000223517
FS( 137 ),3724031.900000000372529,3574206.080000000074506,4029194.319999999832362,11327433.300000000745058
FS( 138 ),3770551.700000000186265,3616512.399999999906868,4067890.669999999925494,11454955.769999999552965
FS( 139 ),3790103.500000000465661,3634936.120000000111759,4049047.229999999981374,11474087.850000001490116
FS( 140 ),3811677.899999999906868,3643806.799999999813735,4046355.310000000055879,11501841.009999999776483
FS( 141 ),3815386.000000000465661,3657454.000000000000000,4130141.319999999832362,11602982.320000000298023
FS( 142 ),3787406.700000000186265,3624018.359999999869615,4010014.390000000130385,11421440.450000001117587
FS( 143 ),3783698.600000000093132,3589900.359999999869615,4116345.229999999981374,11489945.189999999478459
FS( 144 ),3795834.200000000186265,3743431.359999999869615,4147302.310000000055879,11686568.870000001043081
FS( 145 ),3726391.600000000558794,3673830.640000000130385,4077985.370000000111759,11478208.609999999403954
FS( 146 ),3746280.500000000000000,3685430.759999999776483,4105241.060000000055879,11536953.320000000298023
FS( 147 ),3777967.899999999906868,3733878.319999999832362,4151676.679999999701977,11663523.899999998509884
FS( 148 ),3758416.100000000093132,3748890.239999999757856,4098847.750000000000000,11606155.089999999850988
FS( 149 ),3752685.399999999906868,3747525.520000000018626,4110624.899999999906868,11610836.820000000298023
FS( 150 ),3789092.200000000186265,3797337.799999999813735,4061497.360000000335276,11647928.359999999403954
FS( 151 ),3741898.200000000186265,3728419.439999999944121,3996891.280000000260770,11467209.920000001788139
FS( 152 ),3754708.000000000000000,3733878.319999999832362,4015734.720000000204891,11504322.040000000968575
FS( 153 ),3812689.200000000186265,3770725.759999999776483,4110288.410000000149012,11693704.370000001043081
FS( 154 ),3873367.200000000186265,3835549.959999999962747,4120383.110000000335276,11829301.269999999552965
FS( 155 ),3888873.800000000279397,3832820.520000000018626,4206188.060000000521541,11927883.380000000819564
FS( 156 ),3896290.000000000000000,3817808.600000000093132,4235126.199999999254942,11949225.799999998882413
FS( 157 ),3867636.500000000465661,3832820.520000000018626,4203832.630000000819564,11904290.650000002235174
FS( 158 ),3858871.900000000372529,3848514.799999999813735,4167491.709999999962747,11874879.410000000149012
FS( 159 ),3823139.300000000279397,3860114.919999999925494,4127112.910000000149012,11810368.130000000819564
FS( 160 ),3838308.800000000279397,3855338.399999999906868,4066881.200000000186265,11760529.400000000372529
FS( 161 ),3873367.200000000186265,3892868.199999999720603,4058468.950000000186265,11824705.350000001490116
FS( 162 ),3862917.100000000093132,3889456.399999999906868,4015398.229999999981374,11767772.730000000447035
FS( 163 ),3829207.100000000093132,3855338.399999999906868,3968626.120000000111759,11653172.620000001043081
FS( 164 ),3811677.899999999906868,3812349.719999999739230,3966607.179999999701977,11590635.799999998882413
FS( 165 ),3871344.600000000093132,3871715.040000000037253,4089089.540000000037253,11832150.179999999701977
FS( 166 ),3922920.900000000372529,3920844.959999999962747,4089089.540000000037253,11932856.400000000372529
FS( 167 ),3925954.799999999813735,3924256.759999999776483,4056786.500000000000000,11906999.059999998658895
FS( 168 ),3945169.500000000000000,3931080.359999999869615,4085051.660000000149012,11961302.519999999552965
FS( 169 ),3940450.100000000093132,3918115.520000000018626,4067890.669999999925494,11926457.289999999105930
FS( 170 ),3962024.500000000000000,3950186.439999999944121,4066208.220000000204891,11978420.160000000149012
FS( 171 ),3977868.200000000186265,3983622.080000000074506,4169847.140000000130385,12131338.419999999925494
FS( 172 ),3929325.800000000279397,3927668.560000000055879,4106587.020000000484288,11963582.380000000819564
FS( 173 ),3941798.500000000465661,3907197.759999999776483,4099184.239999999757856,11948181.500000000000000
FS( 174 ),3964384.200000000186265,3935856.879999999888241,4121392.580000000074506,12021634.660000000149012
FS( 175 ),3967418.100000000093132,3905150.679999999701977,4113989.800000000279397,11986559.580000000074506
FS( 176 ),3967418.100000000093132,3857385.479999999981374,4078321.860000000335276,11903126.440000001341105
FS( 177 ),4012252.399999999906868,3875809.199999999720603,4055440.540000000037253,11943503.140000000596046
FS( 178 ),4036860.700000000186265,3901738.879999999888241,4072265.040000000037253,12010865.620000001043081
FS( 179 ),4035175.200000000186265,3922892.040000000037253,4166482.239999999757856,12124550.480000000447035
FS( 180 ),4139676.200000000186265,3917433.159999999683350,4223012.560000000521541,12280122.919999999925494
FS( 181 ),4138327.800000000279397,3922209.679999999701977,4146292.839999999850988,12206831.320000000298023
FS( 182 ),4063491.600000000558794,3831455.799999999813735,4030876.770000000484288,11925825.170000001788139
FS( 183 ),3915841.800000000279397,3646536.239999999757856,3912768.780000000260770,11475147.820000000298023
FS( 184 ),3793811.600000000558794,3544182.239999999757856,3715922.130000000353903,11053916.970000000670552
FS( 185 ),3740886.900000000372529,3532582.120000000111759,3700780.080000000074506,10974250.100000001490116
FS( 186 ),3908088.500000000465661,3710678.080000000074506,3817878.599999999627471,11436646.179999999701977
FS( 187 ),3966406.800000000279397,3842373.560000000055879,3962905.790000000037253,11771687.150000000372529
FS( 188 ),3961687.399999999906868,3838279.399999999906868,3946417.780000000260770,11746385.580000000074506
FS( 189 ),3925954.799999999813735,3813032.080000000074506,3893252.360000000335276,11632240.240000000223517
FS( 190 ),3811677.899999999906868,3706583.919999999925494,3789949.929999999701977,11308212.750000000000000
FS( 191 ),3926629.000000000465661,3776867.000000000000000,3843788.330000000074506,11547285.330000000074506
FS( 192 ),3930674.200000000186265,3782325.879999999888241,3835712.569999999832362,11548713.650000000372529
FS( 193 ),3857186.400000000372529,3742749.000000000000000,3780864.700000000186265,11380801.100000001490116
FS( 194 ),3924943.500000000465661,3813032.080000000074506,3906375.470000000204891,11644352.050000000745058
FS( 195 ),3842016.900000000372529,3748207.879999999888241,3872389.979999999981374,11462615.759999999776483
FS( 196 ),3859546.100000000093132,3765949.239999999757856,3929256.790000000037253,11554753.129999998956919
FS( 197 ),3891570.600000000093132,3815079.159999999683350,3994199.360000000335276,11700850.120000001043081
FS( 198 ),3867636.500000000465661,3817808.600000000093132,3963915.259999999776483,11649361.359999999403954
FS( 199 ),3916516.000000000465661,3883997.520000000018626,4038952.530000000260770,11839467.050000000745058
FS( 200 ),3971800.399999999906868,3943362.839999999850988,4076639.410000000149012,11991803.650000000372529
FS( 201 ),3974834.300000000279397,3933127.439999999944121,4147638.800000000279397,12055601.540000000968575
FS( 202 ),3880783.400000000372529,3925621.479999999981374,4121056.089999999850988,11927461.970000000670552
FS( 203 ),3930000.000000000000000,3976798.479999999981374,4170520.120000000111759,12077319.600000001490116
FS( 204 ),3903706.200000000186265,3957010.040000000037253,4136534.630000000353903,11997251.870000001043081
FS( 205 ),3916178.900000000372529,3938586.319999999832362,4148311.780000000260770,12003078.000000000000000
FS( 206 ),3921909.600000000093132,3916750.799999999813735,4074620.470000000204891,11913281.870000001043081
FS( 207 ),3935393.600000000093132,4264754.400000000372529,3915797.190000000409782,12115946.190000001341105
FS( 208 ),3846399.200000000186265,4167176.919999999925494,3792305.360000000335276,11805882.480000000447035
FS( 209 ),3806284.300000000279397,4083246.640000000130385,3843451.839999999850988,11732983.780000001192093
FS( 210 ),3893256.100000000093132,4195836.040000000968575,3903683.550000000279397,11992776.690000001341105
FS( 211 ),3945169.500000000000000,4225177.519999999552965,3923872.950000000186265,12094220.969999998807907
FS( 212 ),3971463.300000000279397,4272260.359999999403954,3998573.729999999981374,12242298.390000000596046
FS( 213 ),4018320.200000000186265,4240189.439999999478459,4026165.910000000149012,12284676.550000000745058
FS( 214 ),4000791.000000000465661,4203342.000000000000000,3905029.509999999776483,12109163.509999999776483
FS( 215 ),4033489.700000000186265,4165812.199999999720603,3917816.130000000353903,12117119.030000001192093
FS( 216 ),4081020.800000000279397,4262024.960000000894070,3906038.979999999981374,12249085.740000002086163
FS( 217 ),4090122.500000000000000,4262707.320000000298023,4013379.290000000037253,12366210.109999999403954
FS( 218 ),4109337.200000000186265,4313884.320000000298023,4122402.050000000279397,12545624.570000000298023
FS( 219 ),4099561.300000000279397,4292731.160000000149012,4172202.569999999832362,12564496.030000001192093
FS( 220 ),4054389.899999999906868,4293413.519999999552965,4107596.489999999757856,12455400.910000000149012
FS( 221 ),4106303.300000000279397,4394402.800000000745058,4043663.390000000130385,12544370.490000002086163
FS( 222 ),4137653.600000000093132,4451721.039999999105930,4037270.080000000074506,12626645.719999998807907
FS( 223 ),4149789.200000000186265,4545204.359999999403954,4062506.830000000074506,12757501.389999998733401
FS( 224 ),4141361.700000000186265,4516545.240000000223517,4052075.640000000130385,12709983.580000001937151
FS( 225 ),4156531.200000000186265,4519957.039999999105930,3974346.450000000186265,12650835.689999997615814
FS( 226 ),4192263.800000000279397,4517909.959999999031425,3829655.750000000000000,12539830.509999999776483
FS( 227 ),4200691.299999999813735,4453768.119999999180436,3900655.140000000130385,12555115.559999998658895
FS( 228 ),4214175.300000000745058,4482427.240000000223517,3921181.030000000260770,12617784.570000000298023
FS( 229 ),4195971.900000000372529,4463321.160000000149012,4016744.190000000409782,12676038.250000000000000
FS( 230 ),4174060.399999999906868,4479697.800000000745058,4030540.280000000260770,12684299.480000000447035
FS( 231 ),4167655.500000000000000,4473556.560000000521541,4028184.849999999627471,12669397.910000000149012
FS( 232 ),4167992.600000000093132,4470827.119999999180436,3963242.280000000260770,12602063.000000000000000
FS( 233 ),4193949.300000000279397,4476286.000000000000000,3993862.870000000111759,12664099.170000001788139
FS( 234 ),4236086.799999999813735,4483109.599999999627471,3959204.399999999906868,12678401.799999998882413
FS( 235 ),4226648.000000000000000,4447626.880000000819564,3857584.419999999925494,12531860.300000000745058
FS( 236 ),4238109.400000000372529,4498803.880000000819564,3911086.330000000074506,12648000.610000001266599
FS( 237 ),4246874.000000000000000,4496074.439999999478459,3863304.750000000000000,12606254.189999999478459
FS( 238 ),4196983.200000000186265,4451721.039999999105930,3844797.800000000279397,12493503.039999999105930
FS( 239 ),4222602.800000000745058,4435344.400000000372529,3899645.669999999925494,12557593.870000001043081
FS( 240 ),4204062.299999999813735,4347319.960000000894070,3854219.520000000484288,12405602.780000001192093
FS( 241 ),4173723.300000000279397,4298190.040000000968575,3796343.239999999757856,12268257.580000001937151
FS( 242 ),4045288.200000000186265,4157623.879999999888241,3748898.149999999906868,11951811.230000000447035
FS( 243 ),4073604.600000000093132,4212212.679999999701977,3829992.239999999757856,12115810.519999999552965
FS( 244 ),4253616.000000000000000,4182188.839999999850988,3849172.169999999925494,12284978.009999999776483
FS( 245 ),4265751.600000000558794,4291366.439999999478459,3945408.310000000055879,12502527.349999999627471
FS( 246 ),4276538.799999999813735,4291366.439999999478459,3722651.929999999701977,12290558.169999998062849
FS( 247 ),4389467.300000000745058,4526098.279999999329448,3801390.589999999850988,12716957.169999999925494
FS( 248 ),4466663.200000000186265,4519274.679999999701977,3774134.899999999906868,12760073.779999999329448
FS( 249 ),4503744.200000000186265,4521321.759999999776483,3808793.370000000111759,12833860.330000001937151
FS( 250 ),4539139.700000000186265,4576592.919999999925494,3849845.149999999906868,12965578.770000001415610
FS( 251 ),4542173.600000000558794,4583416.519999999552965,3847489.720000000204891,12973080.840000001713634
FS( 252 ),4513183.000000000000000,4513133.439999999478459,3792641.849999999627471,12818959.289999999105930
