代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13734449.889999998733401
真實報酬,3734449.889999998733401

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16050.168619393485642
風險,234608.926747005432844
起點值,0.068412437846841
找到最佳解世代,1926
找到最佳解實驗#,2
找到最佳解次數,45

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](6),HD[9](2),INTC[11](13),NKE[19](4),UNH[23](3),
FS( 31 ),1768915.069999999599531,1703846.760000000009313,1646462.319999999832362,1938734.549999999813735,1695341.680000000167638,1759571.959999999962747,10512876.339999999850988
FS( 32 ),1758894.289999999804422,1688025.159999999916181,1642339.119999999646097,2118483.209999999962747,1671010.800000000046566,1756635.880000000121072,10635392.460000000894070
FS( 33 ),1727532.959999999962747,1681696.520000000018626,1640071.359999999869615,2060401.160000000149012,1662755.680000000167638,1784948.079999999841675,10557409.759999999776483
FS( 34 ),1752399.340000000083819,1697122.580000000074506,1650997.839999999850988,2060401.160000000149012,1684045.199999999953434,1793546.599999999860302,10638516.719999998807907
FS( 35 ),1743306.409999999683350,1695738.189999999944121,1643369.919999999692664,2082411.199999999953434,1668838.399999999906868,1783899.479999999981374,10617567.599999999627471
FS( 36 ),1757780.869999999878928,1705033.379999999888241,1660481.199999999953434,2127042.669999999925494,1673617.680000000167638,1804661.759999999776483,10728621.560000000521541
FS( 37 ),1803616.659999999683350,1701671.290000000037253,1670376.879999999655411,2109312.359999999869615,1681003.839999999850988,1802354.839999999850988,10768339.869999999180436
FS( 38 ),1800647.539999999804422,1716701.809999999823049,1674087.759999999776483,2094027.609999999869615,1707507.119999999878928,1796902.120000000111759,10789877.959999997168779
FS( 39 ),1812524.019999999785796,1705428.919999999925494,1670583.039999999804422,2094027.609999999869615,1688390.000000000000000,1775930.120000000111759,10746887.710000000894070
FS( 40 ),1837575.969999999739230,1723623.760000000009313,1671407.679999999701977,2092804.829999999608845,1703162.320000000065193,1798370.159999999916181,10826948.719999998807907
FS( 41 ),1825699.489999999757856,1704835.610000000102445,1669552.239999999990687,2090359.269999999785796,1696645.119999999878928,1767331.599999999860302,10754427.329999998211861
FS( 42 ),1821431.379999999888241,1724810.379999999888241,1685632.719999999972060,2100141.509999999776483,1729665.600000000093132,1739648.560000000055879,10801334.150000000372529
FS( 43 ),1774111.029999999795109,1698506.969999999972060,1666872.159999999683350,2072017.569999999832362,1675790.080000000074506,1699801.759999999776483,10587103.570000000298023
FS( 44 ),1783946.239999999757856,1688618.469999999972060,1644194.559999999823049,2062846.719999999972060,1667969.439999999944121,1709029.439999999711290,10556608.869999999180436
FS( 45 ),1773925.459999999962747,1725403.689999999944121,1649967.039999999804422,2081799.809999999590218,1676224.559999999823049,1725387.599999999860302,10632712.159999998286366
FS( 46 ),1765203.669999999925494,1715712.959999999962747,1649967.039999999804422,2006598.839999999850988,1671010.800000000046566,1698543.439999999711290,10507040.750000000000000
FS( 47 ),1762234.549999999813735,1712548.640000000130385,1660068.879999999655411,2008433.010000000009313,1675790.080000000074506,1709239.159999999916181,10528318.320000000298023
FS( 48 ),1753327.189999999944121,1691189.479999999981374,1659038.079999999841675,1998039.379999999888241,1658410.880000000121072,1662261.880000000121072,10422270.890000000596046
FS( 49 ),1758152.009999999776483,1717690.659999999916181,1699445.439999999944121,1993148.260000000009313,1674052.159999999916181,1680297.800000000046566,10522790.330000000074506
FS( 50 ),1781348.259999999776483,1730545.709999999962747,1708722.639999999664724,2018826.640000000130385,1674052.159999999916181,1675054.800000000046566,10588554.210000000894070
FS( 51 ),1780977.119999999878928,1724810.379999999888241,1709547.279999999795109,2025551.929999999934807,1667100.479999999748543,1682395.000000000000000,10590386.189999999478459
FS( 52 ),1804544.509999999776483,1732523.409999999916181,1713670.479999999981374,2084856.760000000009313,1678396.960000000195578,1709448.880000000121072,10723445.000000001862645
FS( 53 ),1809369.329999999841675,1752498.179999999934807,1728926.319999999832362,2075074.519999999785796,1679265.919999999925494,1715950.199999999720603,10761088.469999998807907
FS( 54 ),1818276.689999999944121,1765748.770000000018626,1725421.599999999860302,2089136.489999999990687,1675790.080000000074506,1708610.000000000000000,10782987.629999998956919
FS( 55 ),1840173.949999999720603,1779394.899999999906868,1723360.000000000000000,2103809.849999999627471,1706638.159999999916181,1726855.639999999897555,10880236.500000000000000
FS( 56 ),1865597.039999999804422,1781768.140000000130385,1819018.239999999990687,2099530.120000000111759,1705769.199999999953434,1750554.000000000000000,11022240.740000000223517
FS( 57 ),1866339.319999999599531,1776823.890000000130385,1870970.559999999823049,2109312.359999999869615,1714458.800000000046566,1749715.120000000111759,11087624.050000000745058
FS( 58 ),1866524.889999999897555,1787503.469999999972060,1879216.959999999962747,2149052.709999999962747,1714893.280000000027940,1756845.599999999860302,11154040.910000000149012
FS( 59 ),1880257.069999999599531,1789678.939999999944121,1876743.039999999804422,2136213.519999999552965,1722713.919999999925494,1757055.319999999832362,11162665.809999998658895
FS( 60 ),1884339.609999999869615,1787503.469999999972060,1880247.759999999776483,2128265.450000000186265,1738355.199999999953434,1766702.439999999711290,11185417.929999999701977
FS( 61 ),1872277.559999999823049,1780383.750000000000000,1889112.639999999664724,2127654.059999999590218,1726624.239999999990687,1785157.800000000046566,11181214.049999998882413
FS( 62 ),1895288.239999999757856,1787305.699999999953434,1894060.479999999981374,2127042.669999999925494,1731838.000000000000000,1811582.519999999785796,11247121.609999999403954
FS( 63 ),1897515.079999999841675,1784536.919999999925494,1907254.719999999972060,2118483.209999999962747,1712286.399999999906868,1810743.639999999897555,11230823.970000000670552
FS( 64 ),1902154.329999999841675,1777614.969999999972060,1927664.559999999823049,2134990.739999999757856,1706638.159999999916181,1817874.120000000111759,11266940.879999998956919
FS( 65 ),1916999.929999999701977,1795809.809999999823049,1879216.959999999962747,2113592.089999999850988,1722279.439999999944121,1811792.239999999990687,11239694.469999998807907
FS( 66 ),1836091.409999999683350,1798578.589999999850988,1834892.559999999823049,2113592.089999999850988,1712286.399999999906868,1820181.040000000037253,11115626.089999999850988
FS( 67 ),1820874.669999999925494,1782756.989999999990687,1854065.439999999944121,2134379.349999999627471,1736182.800000000046566,1825843.479999999981374,11154106.730000000447035
FS( 68 ),1836648.119999999878928,1798578.589999999850988,1888700.319999999832362,2139881.859999999869615,1782237.680000000167638,1840314.159999999916181,11286364.729999998584390
FS( 69 ),1825328.349999999860302,1791063.330000000074506,1872413.679999999701977,2160057.729999999981374,1790058.320000000065193,1843669.679999999934807,11282595.089999999850988
FS( 70 ),1818462.259999999776483,1772077.409999999916181,1833449.439999999944121,2134379.349999999627471,1777892.880000000121072,1857301.479999999981374,11193566.820000000298023
FS( 71 ),1874318.829999999841675,1770495.250000000000000,1840046.559999999823049,2141104.640000000130385,1791796.239999999990687,1829828.159999999916181,11247593.679999999701977
FS( 72 ),1882298.340000000083819,1779394.899999999906868,1839428.079999999841675,2141104.640000000130385,1777458.399999999906868,1826262.919999999925494,11245951.280000001192093
FS( 73 ),1886566.449999999720603,1773461.800000000046566,1831594.000000000000000,2116649.039999999571592,1777892.880000000121072,1807388.120000000111759,11193556.289999999105930
FS( 74 ),1886009.739999999757856,1781570.369999999878928,1842726.639999999664724,2111757.919999999925494,1773113.600000000093132,1804242.319999999832362,11199424.589999999850988
FS( 75 ),1871720.849999999860302,1785328.000000000000000,1861074.879999999655411,2135602.129999999888241,1763989.520000000018626,1827940.679999999934807,11245660.059999998658895
FS( 76 ),1885081.889999999897555,1786514.619999999878928,1880660.079999999841675,2138659.079999999608845,1770941.199999999953434,1824375.439999999711290,11286236.309999998658895
FS( 77 ),1888978.859999999869615,1786712.390000000130385,1898596.000000000000000,2150275.489999999757856,1780934.239999999990687,1837797.519999999785796,11343298.500000000000000
FS( 78 ),1873576.549999999813735,1789678.939999999944121,1903750.000000000000000,2128876.839999999850988,1777458.399999999906868,1841362.759999999776483,11314707.490000000223517
FS( 79 ),1875432.250000000000000,1765946.540000000037253,1894472.799999999813735,2122151.549999999813735,1753127.520000000018626,1840733.599999999860302,11251868.259999999776483
FS( 80 ),1904752.309999999823049,1746565.080000000074506,1886226.399999999674037,2104421.239999999757856,1740527.600000000093132,1815986.639999999897555,11198483.269999999552965
FS( 81 ),1888236.579999999841675,1769110.860000000102445,1917768.879999999655411,2124597.109999999869615,1756168.880000000121072,1849961.279999999795109,11305847.589999999850988
FS( 82 ),1816235.419999999925494,1741818.599999999860302,1894678.959999999962747,2087302.319999999832362,1732706.960000000195578,1807388.120000000111759,11080134.379999998956919
FS( 83 ),1869679.579999999841675,1755069.189999999944121,1914058.000000000000000,2094638.999999999767169,1944298.719999999972060,1816196.359999999869615,11393944.849999999627471
FS( 84 ),1857803.099999999860302,1756849.119999999878928,1914882.639999999664724,2133767.959999999962747,1936043.600000000093132,1814308.880000000121072,11413659.300000000745058
FS( 85 ),1869679.579999999841675,1760804.520000000018626,1891380.399999999674037,2128876.839999999850988,1937781.520000000018626,1808856.159999999916181,11397383.019999999552965
FS( 86 ),1840545.090000000083819,1730347.939999999944121,1876536.879999999655411,2078131.469999999972060,1905195.520000000018626,1780124.519999999785796,11210885.419999999925494
FS( 87 ),1853906.129999999888241,1716504.040000000037253,1901688.399999999674037,2049396.140000000130385,1939953.919999999925494,1780543.959999999962747,11241996.589999999850988
FS( 88 ),1848710.169999999925494,1749333.860000000102445,1928489.199999999953434,2080577.030000000027940,1961677.919999999925494,1804032.599999999860302,11372824.779999999329448
FS( 89 ),1848710.169999999925494,1751509.330000000074506,1922716.719999999972060,2085468.149999999906868,1938216.000000000000000,1784528.639999999897555,11331153.009999999776483
FS( 90 ),1832565.579999999841675,1722832.679999999934807,1906430.079999999841675,2046339.189999999711290,1913450.639999999897555,1765653.839999999850988,11187276.009999999776483
FS( 91 ),1870607.429999999701977,1742609.679999999934807,1939828.000000000000000,2095250.390000000130385,1929960.880000000121072,1816615.800000000046566,11394876.180000001564622
FS( 92 ),1874689.969999999739230,1695144.879999999888241,1918799.679999999701977,2055510.039999999804422,1895202.479999999748543,1781382.839999999850988,11220733.889999998733401
FS( 93 ),1869308.439999999944121,1706220.000000000000000,1908079.359999999869615,1950962.349999999860302,1894333.520000000018626,1790820.239999999990687,11119727.910000000149012
FS( 94 ),1852236.000000000000000,1659546.279999999795109,1867878.159999999683350,1924061.189999999711290,1855230.320000000065193,1760620.560000000055879,10919576.509999999776483
FS( 95 ),1832565.579999999841675,1664094.989999999990687,1857570.159999999683350,1965024.319999999832362,1848713.119999999878928,1736922.199999999720603,10904894.369999997317791
FS( 96 ),1810111.609999999869615,1623354.369999999878928,1811184.159999999683350,1912444.780000000027940,1850451.040000000037253,1723080.679999999934807,10730630.639999998733401
FS( 97 ),1786358.649999999906868,1616630.189999999944121,1832418.639999999664724,1886155.010000000009313,1890857.680000000167638,1790820.239999999990687,10803244.410000000149012
FS( 98 ),1812524.019999999785796,1657964.119999999878928,1860456.399999999674037,1918558.679999999701977,1893899.040000000037253,1849332.120000000111759,10992738.379999998956919
FS( 99 ),1851308.149999999906868,1691387.250000000000000,1893648.159999999683350,1930786.479999999748543,1931264.320000000065193,1856882.040000000037253,11155280.399999998509884
FS( 100 ),1901597.619999999878928,1731336.790000000037253,1942095.759999999776483,1993759.649999999906868,1969064.080000000074506,1907424.560000000055879,11445282.460000000894070
FS( 101 ),1911247.259999999776483,1722634.909999999916181,1924366.000000000000000,1972972.390000000130385,1952119.359999999869615,1882677.599999999860302,11366021.519999999552965
FS( 102 ),1945392.139999999897555,1740236.439999999944121,1954465.359999999869615,1998650.769999999785796,1963415.839999999850988,1901342.679999999934807,11503507.229999998584390
FS( 103 ),1952629.369999999878928,1752498.179999999934807,1958382.399999999674037,2028608.879999999888241,1974712.320000000065193,1921895.239999999990687,11588730.389999998733401
FS( 104 ),1950588.099999999860302,1749333.860000000102445,1968278.079999999841675,2029831.660000000149012,1990788.080000000074506,1932171.519999999785796,11620995.300000000745058
FS( 105 ),1980836.009999999776483,1778603.820000000065193,1991368.000000000000000,2062846.719999999972060,2008601.759999999776483,1942867.239999999990687,11765127.549999998882413
FS( 106 ),1991970.209999999962747,1770693.020000000018626,1987863.279999999795109,2073851.739999999990687,1997739.759999999776483,1949578.279999999795109,11771700.289999999105930
FS( 107 ),1985289.689999999944121,1784339.149999999906868,2010540.879999999655411,1991925.479999999748543,2020332.719999999972060,1968872.519999999785796,11761304.439999999478459
FS( 108 ),2004217.829999999841675,1807280.469999999972060,2010540.879999999655411,2079354.249999999767169,2019898.239999999990687,1992570.880000000121072,11913866.550000000745058
FS( 109 ),2030197.629999999888241,1813806.879999999888241,1981060.000000000000000,2097695.950000000186265,2030325.759999999776483,1989425.079999999841675,11942515.299999998882413
FS( 110 ),2015352.029999999795109,1786910.159999999916181,1978379.919999999692664,2111757.919999999925494,2041187.759999999776483,1991941.719999999972060,11925533.509999999776483
FS( 111 ),2020176.849999999860302,1799765.209999999962747,1974669.039999999804422,2064069.499999999767169,2056829.040000000037253,2009138.759999999776483,11924652.400000000372529
FS( 112 ),2017207.729999999981374,1819542.209999999962747,2005799.199999999953434,2067737.839999999850988,2055091.119999999878928,2017737.279999999795109,11983119.379999998956919
FS( 113 ),2022960.399999999906868,1779988.209999999962747,2013220.959999999962747,2053064.479999999748543,2037277.439999999944121,1963210.079999999841675,11869725.570000000298023
FS( 114 ),2019620.139999999897555,1775637.270000000018626,2023735.119999999646097,2033499.999999999767169,2062911.759999999776483,1987118.159999999916181,11902526.449999999254942
FS( 115 ),2035764.729999999981374,1779592.669999999925494,2023322.799999999813735,2036556.949999999953434,2061173.839999999850988,2006831.839999999850988,11943246.829999998211861
FS( 116 ),2064528.079999999841675,1778010.510000000009313,2030538.399999999674037,2040836.679999999934807,2081594.399999999906868,2006622.120000000111759,12002134.189999997615814
FS( 117 ),2093662.569999999599531,1789678.939999999944121,2041052.559999999823049,2059178.379999999888241,2088111.600000000093132,2011235.959999999962747,12082924.009999997913837
FS( 118 ),2118900.089999999850988,1795809.809999999823049,2025384.399999999674037,2075685.910000000149012,2074642.719999999972060,1994668.079999999841675,12085095.009999999776483
FS( 119 ),2115374.259999999776483,1788096.779999999795109,2021055.039999999804422,2093416.219999999972060,2086808.159999999916181,2023190.000000000000000,12127944.459999999031425
FS( 120 ),2142838.620000000111759,1785525.770000000018626,1978792.239999999990687,2122151.549999999813735,2095932.239999999990687,2059261.839999999850988,12184506.259999999776483
FS( 121 ),2127993.019999999552965,1776428.349999999860302,1993635.759999999776483,2100141.509999999776483,2106359.759999999776483,2031369.079999999841675,12135931.479999998584390
FS( 122 ),2158426.500000000000000,1758233.510000000009313,2011571.679999999701977,2197963.910000000149012,2113745.919999999925494,2031159.359999999869615,12271104.879999998956919
FS( 123 ),2161395.620000000111759,1759420.129999999888241,2026209.039999999804422,2175953.870000000111759,2116352.799999999813735,2028223.279999999795109,12267558.740000000223517
FS( 124 ),2201478.739999999292195,1791458.869999999878928,2028682.959999999962747,2216305.609999999869615,2128083.759999999776483,2032207.959999999962747,12398221.899999998509884
FS( 125 ),2182365.029999999329448,1812620.260000000009313,2000026.719999999972060,2220585.339999999850988,2113745.919999999925494,2053179.959999999962747,12382527.230000000447035
FS( 126 ),2208344.830000000074506,1817960.050000000046566,2014251.759999999776483,2256045.959999999962747,2124607.919999999925494,2057584.079999999841675,12478798.599999999627471
FS( 127 ),2207045.839999999850988,1829628.479999999981374,2049298.959999999962747,2277444.609999999869615,2157193.919999999925494,2068489.519999999785796,12589105.329999998211861
FS( 128 ),2135415.819999999366701,1833386.110000000102445,2038578.639999999664724,2272553.489999999757856,2122435.520000000484288,2077507.479999999981374,12479881.059999998658895
FS( 129 ),2127250.739999999292195,1848614.399999999906868,2023735.119999999646097,2298843.259999999776483,2129821.679999999701977,2093655.919999999925494,12521925.119999999180436
FS( 130 ),2151374.839999999850988,1841494.679999999934807,2032600.000000000000000,2288449.629999999888241,2139814.719999999739230,2113998.759999999776483,12567736.629999998956919
FS( 131 ),2143209.759999999776483,1843867.919999999925494,2040021.759999999776483,2290283.799999999813735,2151980.160000000149012,2090300.399999999906868,12559667.799999998882413
FS( 132 ),2134116.830000000074506,1854349.729999999981374,2054246.799999999813735,2303122.989999999757856,2158062.879999999888241,2104141.919999999925494,12608045.150000000372529
FS( 133 ),2085868.629999999888241,1855140.809999999823049,2070533.439999999944121,2274387.660000000149012,2122870.000000000000000,2095543.399999999906868,12504347.939999999478459
FS( 134 ),2117786.669999999925494,1838132.589999999850988,2054246.799999999813735,2255434.569999999832362,2108097.679999999701977,2118612.599999999627471,12492314.909999998286366
FS( 135 ),2077517.979999999981374,1812224.719999999972060,2039815.599999999860302,2226699.239999999757856,2121566.559999999590218,2078136.639999999897555,12355964.739999998360872
FS( 136 ),2071394.169999999925494,1814597.959999999962747,2067234.879999999655411,2243818.160000000149012,2105925.280000000260770,2091558.719999999972060,12394533.169999999925494
FS( 137 ),2036321.439999999944121,1809455.939999999944121,2057133.039999999804422,2215082.829999999608845,2089415.040000000037253,2071215.880000000121072,12278628.169999999925494
FS( 138 ),2008485.939999999944121,1797787.510000000009313,2062699.359999999869615,2196129.739999999757856,2073339.280000000027940,2060939.599999999860302,12199385.429999999701977
FS( 139 ),1981021.579999999841675,1783350.300000000046566,2001057.519999999785796,2174119.700000000186265,2025112.000000000000000,2010187.359999999869615,11974852.459999999031425
FS( 140 ),2030383.199999999720603,1807280.469999999972060,2039815.599999999860302,2215694.220000000204891,2052918.719999999972060,2079185.239999999990687,12225281.450000001117587
FS( 141 ),2090507.879999999888241,1831606.179999999934807,2075481.279999999795109,2263382.640000000130385,2108966.639999999664724,2144198.439999999478459,12514147.060000000521541
FS( 142 ),2074363.289999999804422,1837143.739999999990687,2101457.440000000409782,2223642.289999999571592,2060304.880000000121072,2149441.439999999478459,12446357.080000000074506
FS( 143 ),2095889.409999999683350,1863051.610000000102445,2133824.559999999590218,2274999.049999999813735,2084201.280000000027940,2160976.040000000037253,12612945.949999999254942
FS( 144 ),2088466.609999999869615,1872742.339999999850988,2139184.719999999739230,2288449.629999999888241,2085070.239999999990687,2156991.359999999403954,12630908.900000000372529
FS( 145 ),2078631.399999999906868,1867402.550000000046566,2135061.519999999552965,2289061.019999999552965,2092021.919999999925494,2153426.120000000111759,12615608.530000001192093
FS( 146 ),2115374.259999999776483,1879466.520000000018626,2138978.559999999590218,2295786.309999999590218,2103752.879999999888241,2150699.759999999776483,12684062.289999997243285
FS( 147 ),2113889.700000000186265,1888761.709999999962747,2155059.040000000037253,2273164.879999999888241,2113745.919999999925494,2146085.919999999925494,12690711.169999999925494
FS( 148 ),2088095.469999999739230,1872940.110000000102445,2149698.879999999888241,2247486.499999999534339,2104621.839999999850988,2156991.359999999403954,12619838.159999998286366
FS( 149 ),2048383.489999999757856,1862853.839999999850988,2164130.080000000074506,2218751.169999999925494,2088980.559999999823049,2120080.639999999664724,12503183.780000001192093
FS( 150 ),2028898.639999999897555,1854151.959999999962747,2132381.440000000409782,2223030.899999999906868,2064649.680000000167638,2113579.320000000298023,12416695.939999999478459
FS( 151 ),1971743.079999999841675,1827057.469999999972060,2087644.719999999972060,2197963.910000000149012,2031194.719999999972060,2078765.800000000046566,12194373.700000001117587
FS( 152 ),1971928.649999999906868,1817366.739999999990687,2081253.759999999776483,2157000.779999999795109,2019463.759999999776483,2074571.399999999906868,12121589.089999999850988
FS( 153 ),1999578.579999999841675,1835957.119999999878928,2152585.120000000111759,2202243.640000000130385,2061173.839999999850988,2095753.120000000111759,12347295.420000001788139
FS( 154 ),2076404.559999999823049,1854943.040000000037253,2200208.080000000074506,2243206.769999999552965,2108532.160000000149012,2195789.559999999590218,12679088.169999998062849
FS( 155 ),2078631.399999999906868,1864040.459999999962747,2162480.799999999813735,2247486.499999999534339,2085504.719999999972060,2175237.000000000000000,12613384.880000000819564
FS( 156 ),2027414.079999999841675,1868193.629999999888241,2152791.280000000260770,2237704.259999999776483,2082463.359999999869615,2150699.759999999776483,12519270.369999999180436
FS( 157 ),2045414.369999999878928,1882630.839999999850988,2138566.240000000223517,2231590.359999999869615,2064215.199999999953434,2161605.200000000186265,12524026.210000000894070
FS( 158 ),2037620.429999999701977,1863644.919999999925494,2116094.799999999813735,2222419.509999999776483,2035974.000000000000000,2167057.919999999925494,12442815.580000000074506
FS( 159 ),1982320.569999999599531,1866018.159999999916181,2082490.719999999972060,2212637.269999999552965,2016422.399999999906868,2190756.279999999329448,12350649.399999998509884
FS( 160 ),1966918.259999999776483,1882433.070000000065193,2146606.479999999515712,2228533.410000000149012,2020332.719999999972060,2218229.599999999627471,12463057.539999999105930
FS( 161 ),2017578.869999999878928,1873731.189999999944121,2128670.559999999590218,2206523.370000000111759,2033801.600000000093132,2215083.799999999813735,12475393.390000000596046
FS( 162 ),2032981.179999999701977,1862458.300000000046566,2134443.040000000037253,2230367.579999999608845,2031629.199999999953434,2292680.200000000186265,12584563.500000000000000
FS( 163 ),2085868.629999999888241,1881839.760000000009313,2186807.679999999701977,2256657.349999999627471,2082463.359999999869615,2387683.359999999403954,12881324.139999996870756
FS( 164 ),2096631.689999999944121,1873335.649999999906868,2172376.479999999515712,2228533.410000000149012,2088980.559999999823049,2348885.160000000149012,12808746.949999999254942
FS( 165 ),2098858.529999999329448,1878279.899999999906868,2192786.319999999366701,2189404.450000000186265,2093325.359999999869615,2340706.080000000074506,12793364.639999998733401
FS( 166 ),2025372.809999999823049,1858502.899999999906868,2168047.120000000111759,2090359.269999999785796,2052918.719999999972060,2307150.879999999888241,12502355.699999999254942
FS( 167 ),2139869.500000000000000,1832792.800000000046566,2159388.399999999441206,2065292.280000000027940,2027284.399999999906868,2274644.279999999329448,12499275.659999998286366
FS( 168 ),2206489.129999999888241,1843670.149999999906868,2218762.479999999515712,2091582.049999999813735,2061173.839999999850988,2294148.240000000223517,12715829.889999998733401
FS( 169 ),2174199.950000000186265,1798974.129999999888241,2152791.280000000260770,2020049.419999999925494,2004256.960000000195578,2228296.160000000149012,12378571.900000000372529
FS( 170 ),2201478.739999999292195,1818157.820000000065193,2152997.440000000409782,2057344.209999999729916,1996870.800000000046566,2250107.040000000037253,12476960.050000000745058
