代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11534149.800000000745058
真實報酬,1534149.800000000745058

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,6347.260287915125446
風險,310433.895220967184287
起點值,0.020446415116484
找到最佳解世代,2445
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),NKE[19](1),UNH[23](6),
FS( 80 ),3239333.940000000409782,3618195.660000000149012,3576335.579999999608845,10433866.179999999701977
FS( 81 ),3221334.120000000111759,3585119.189999999944121,3472316.489999999757856,10278770.800000000745058
FS( 82 ),3193001.070000000298023,3551367.689999999944121,3564389.409999999683350,10308759.169999999925494
FS( 83 ),3243000.570000000298023,3703249.439999999944121,3591195.449999999720603,10537446.459999999031425
FS( 84 ),3181334.520000000018626,3634396.379999999888241,3531173.229999999515712,10346905.129999998956919
FS( 85 ),3169001.309999999590218,3645871.889999999664724,3554774.199999999720603,10369648.399999998509884
FS( 86 ),3192001.080000000074506,3693799.020000000018626,3594983.259999999776483,10480784.359999999403954
FS( 87 ),3205667.609999999869615,3708649.679999999701977,3549238.169999999925494,10463556.459999999031425
FS( 88 ),3188334.450000000186265,3707299.620000000111759,3559436.119999999646097,10455071.189999999478459
FS( 89 ),3222667.440000000409782,3756576.809999999590218,3516896.099999999627471,10496141.349999999627471
FS( 90 ),3194667.720000000204891,3688398.779999999795109,3460953.059999999590218,10344020.559999998658895
FS( 91 ),3216334.169999999925494,3693799.020000000018626,3477269.779999999795109,10387403.969999998807907
FS( 92 ),3255000.450000000186265,3730250.639999999664724,3559144.750000000000000,10544396.839999999850988
FS( 93 ),3281000.190000000409782,3794378.489999999757856,3567885.849999999627471,10643265.529999999329448
FS( 94 ),3292666.740000000223517,3791678.370000000111759,3642185.199999999720603,10726531.310000000521541
FS( 95 ),3302333.309999999590218,3776827.709999999962747,3667243.019999999552965,10746405.039999999105930
FS( 96 ),3262000.379999999888241,3791678.370000000111759,3640145.609999999869615,10693825.359999999403954
FS( 97 ),3250000.500000000000000,3807204.059999999590218,3608677.649999999441206,10665883.209999999031425
FS( 98 ),3249667.169999999925494,3818679.569999999832362,3573713.250000000000000,10642060.990000000223517
FS( 99 ),3244000.559999999590218,3813954.359999999869615,3521558.019999999552965,10579513.939999999478459
FS( 100 ),3252667.140000000130385,3851081.009999999776483,3514273.769999999552965,10618022.919999999925494
FS( 101 ),3236333.970000000204891,3847705.859999999869615,3476978.409999999683350,10561019.240000000223517
FS( 102 ),3203334.299999999813735,3813954.359999999869615,3436477.979999999515712,10453767.640000000596046
FS( 103 ),3201334.320000000298023,3771427.469999999739230,3434729.759999999776483,10407492.550000000745058
FS( 104 ),3244333.890000000130385,3830155.080000000074506,3540788.439999999478459,10615278.410000000149012
FS( 105 ),3273666.929999999701977,3878757.239999999757856,3540788.439999999478459,10693213.609999999403954
FS( 106 ),3305666.609999999869615,3882132.389999999664724,3512816.919999999925494,10700616.919999999925494
FS( 107 ),3328666.379999999888241,3888882.689999999944121,3537292.000000000000000,10754842.070000000298023
FS( 108 ),3313999.859999999869615,3876057.120000000111759,3522432.129999999888241,10712490.109999999403954
FS( 109 ),3304666.620000000111759,3907783.529999999795109,3520975.279999999795109,10733426.429999999701977
FS( 110 ),3326666.399999999906868,3940860.000000000000000,3610717.239999999757856,10878244.640000000596046
FS( 111 ),3311666.549999999813735,3885507.540000000037253,3555939.679999999701977,10753114.769999999552965
FS( 112 ),3297333.359999999869615,3865256.639999999664724,3549529.539999999571592,10712120.539999999105930
FS( 113 ),3312999.870000000111759,3893607.899999999906868,3568759.959999999962747,10775368.730000000447035
FS( 114 ),3293666.729999999981374,3863231.549999999813735,3562349.819999999832362,10719249.099999999627471
FS( 115 ),3276000.240000000223517,3815979.449999999720603,3531464.599999999627471,10623445.289999999105930
FS( 116 ),3312333.209999999962747,3834205.259999999776483,3511651.439999999478459,10658190.910000000149012
FS( 117 ),3308999.909999999683350,3859856.399999999906868,3526219.939999999478459,10695077.250000000000000
FS( 118 ),3355332.779999999795109,3880782.330000000074506,3607803.539999999571592,10843919.649999998509884
FS( 119 ),3358666.080000000074506,3875382.089999999850988,3656753.699999999720603,10890802.869999999180436
FS( 120 ),3369999.299999999813735,3880107.299999999813735,3590321.339999999850988,10840428.939999999478459
FS( 121 ),3325333.080000000074506,3790328.309999999590218,3490381.429999999701977,10606043.820000000298023
FS( 122 ),3237667.290000000037253,3607395.179999999701977,3388110.559999999590218,10233174.029999999329448
FS( 123 ),3095668.709999999962747,3506140.679999999701977,3217659.109999999869615,9819469.500000000000000
FS( 124 ),3040335.929999999701977,3494665.169999999925494,3204547.459999999962747,9739549.559999998658895
FS( 125 ),3171667.950000000186265,3670848.000000000000000,3305944.219999999739230,10148461.169999999925494
FS( 126 ),3244333.890000000130385,3801128.790000000037253,3431524.689999999478459,10476988.369999999180436
FS( 127 ),3208334.250000000000000,3797078.609999999869615,3417247.559999999590218,10422661.419999998062849
FS( 128 ),3167334.659999999683350,3772102.500000000000000,3371211.099999999627471,10310649.259999999776483
FS( 129 ),3115668.509999999776483,3666797.819999999832362,3281760.509999999776483,10064227.839999999850988
FS( 130 ),3201334.320000000298023,3736325.910000000149012,3328379.709999999962747,10266040.940000001341105
FS( 131 ),3200334.330000000074506,3741726.149999999906868,3321386.829999999608845,10263448.310000000521541
FS( 132 ),3161668.049999999813735,3702574.410000000149012,3273893.519999999552965,10138136.980000000447035
FS( 133 ),3226000.740000000223517,3772102.500000000000000,3382574.529999999795109,10380678.769999999552965
FS( 134 ),3181001.190000000409782,3707974.649999999906868,3353146.159999999683350,10242123.000000000000000
FS( 135 ),3175001.250000000000000,3725525.429999999701977,3402387.689999999478459,10302915.369999999180436
FS( 136 ),3247000.529999999795109,3774127.589999999850988,3458622.099999999627471,10479751.219999998807907
FS( 137 ),3232334.009999999776483,3776827.709999999962747,3432398.799999999813735,10441561.519999999552965
FS( 138 ),3273000.270000000018626,3842305.620000000111759,3497374.309999999590218,10612681.199999999254942
FS( 139 ),3289666.770000000018626,3901033.229999999981374,3530007.750000000000000,10720708.750000000000000
FS( 140 ),3261333.720000000204891,3890907.779999999795109,3591486.819999999832362,10743729.320000000298023
FS( 141 ),3235000.649999999906868,3883482.449999999720603,3568468.589999999850988,10686952.689999999478459
FS( 142 ),3263333.700000000186265,3934109.699999999720603,3611299.979999999515712,10808744.379999998956919
FS( 143 ),3240000.600000000093132,3914533.830000000074506,3581871.609999999869615,10736407.039999999105930
FS( 144 ),3246000.540000000037253,3896308.020000000018626,3592069.559999999590218,10734379.120000001043081
FS( 145 ),3243000.570000000298023,3874707.059999999590218,3528259.529999999795109,10645968.160000000149012
FS( 146 ),3253000.470000000204891,4218972.359999999403954,3390732.889999999664724,10862706.719999998807907
FS( 147 ),3198667.679999999701977,4122443.069999999832362,3283800.099999999627471,10604911.849999999627471
FS( 148 ),3249333.840000000316650,4039414.379999999888241,3328088.339999999850988,10616837.560000000521541
FS( 149 ),3284333.490000000223517,4150794.330000000074506,3380243.569999999832362,10815372.390000000596046
FS( 150 ),3292666.740000000223517,4179820.620000000111759,3397725.769999999552965,10870214.129999998956919
FS( 151 ),3326333.070000000298023,4226397.689999999478459,3462409.909999999683350,11015141.669999999925494
FS( 152 ),3372332.609999999869615,4194671.279999999329448,3486302.250000000000000,11053307.139999998733401
FS( 153 ),3396665.700000000186265,4158219.660000000149012,3381409.049999999813735,10936295.410000000149012
FS( 154 ),3392332.409999999683350,4121093.009999999776483,3392481.109999999869615,10905907.529999999329448
FS( 155 ),3431665.350000000093132,4216272.240000000223517,3382283.159999999683350,11030221.750000000000000
FS( 156 ),3425332.080000000074506,4216947.269999999552965,3475230.189999999478459,11117510.539999999105930
FS( 157 ),3441331.919999999925494,4267574.519999999552965,3569634.069999999832362,11278541.509999999776483
FS( 158 ),3445998.540000000037253,4246648.589999999850988,3612756.829999999608845,11305404.959999999031425
FS( 159 ),3427332.059999999590218,4247323.619999999180436,3556813.789999999571592,11231470.469999998807907
FS( 160 ),3455331.779999999795109,4347228.060000000521541,3501453.489999999757856,11304014.330000000074506
FS( 161 ),3493998.059999999590218,4403930.580000000074506,3495917.459999999962747,11393847.099999999627471
FS( 162 ),3482998.169999999925494,4496409.689999999478459,3517770.209999999962747,11497179.070000000298023
FS( 163 ),3461331.720000000204891,4468058.429999999701977,3508737.739999999757856,11438128.890000000596046
FS( 164 ),3417998.820000000298023,4471433.580000000074506,3441431.269999999552965,11330864.669999999925494
FS( 165 ),3695662.709999999962747,4469408.490000000223517,3316142.169999999925494,11481214.370000001043081
FS( 166 ),3752995.470000000204891,4405955.669999999925494,3377621.239999999757856,11536573.380000000819564
FS( 167 ),3739328.940000000409782,4434306.929999999701977,3395394.809999999590218,11569031.679999999701977
FS( 168 ),3721329.120000000111759,4415406.089999999850988,3478143.889999999664724,11614880.099999999627471
FS( 169 ),3764662.020000000018626,4431606.810000000521541,3490090.059999999590218,11686359.890000000596046
FS( 170 ),3753995.459999999962747,4425531.539999999105930,3488050.469999999739230,11667578.469999998807907
FS( 171 ),3741662.250000000000000,4422831.419999999925494,3431816.059999999590218,11596310.730000000447035
FS( 172 ),3736995.629999999888241,4428231.660000000149012,3458330.729999999515712,11623559.019999999552965
FS( 173 ),3735995.640000000130385,4434981.960000000894070,3428319.619999999646097,11599298.220000000670552
FS( 174 ),3746662.200000000186265,4399880.400000000372529,3340325.879999999888241,11486869.480000000447035
FS( 175 ),3761662.049999999813735,4450507.650000000372529,3386653.709999999962747,11598824.410000000149012
FS( 176 ),3776995.229999999981374,4447807.529999999329448,3345279.169999999925494,11570082.929999999701977
FS( 177 ),3764328.690000000409782,4403930.580000000074506,3329253.819999999832362,11497514.089999999850988
FS( 178 ),3773995.259999999776483,4387729.859999999403954,3376747.129999999888241,11538473.250000000000000
FS( 179 ),3794995.049999999813735,4300650.990000000223517,3337412.179999999701977,11433059.219999998807907
FS( 180 ),3736995.629999999888241,4252048.830000000074506,3287296.539999999571592,11276342.000000000000000
FS( 181 ),3665663.009999999776483,4112992.649999999906868,3246213.369999999646097,11024870.029999999329448
FS( 182 ),3701995.979999999981374,4166995.049999999813735,3316433.539999999571592,11185425.569999998435378
FS( 183 ),3697996.020000000018626,4137293.729999999981374,3333041.629999999888241,11168332.379999998956919
FS( 184 ),3750995.490000000223517,4245298.529999999329448,3416373.449999999720603,11412668.469999998807907
FS( 185 ),3776661.899999999906868,4245298.529999999329448,3223486.509999999776483,11245447.939999999478459
FS( 186 ),3796995.029999999795109,4477508.849999999627471,3291667.089999999850988,11566171.969999998807907
FS( 187 ),3815661.509999999776483,4470758.550000000745058,3268066.119999999646097,11554487.179999999701977
FS( 188 ),3809328.240000000223517,4472783.640000000596046,3298077.229999999515712,11580190.109999999403954
FS( 189 ),3813328.200000000186265,4527461.070000000298023,3333624.369999999646097,11674414.640000000596046
FS( 190 ),3807661.590000000316650,4534211.369999999180436,3331584.779999999795109,11673458.739999998360872
FS( 191 ),3805328.279999999795109,4464683.279999999329448,3284091.469999999739230,11554104.029999997466803
FS( 192 ),3814994.850000000093132,4499784.839999999850988,3387527.819999999832362,11702308.509999999776483
FS( 193 ),3790661.759999999776483,4477508.849999999627471,3427736.879999999888241,11695908.489999998360872
FS( 194 ),3779661.870000000111759,4358028.539999999105930,3350815.199999999720603,11488506.609999999403954
FS( 195 ),3873327.600000000093132,4466708.369999999180436,3430650.579999999608845,11770687.549999998882413
FS( 196 ),3880660.859999999869615,4441732.259999999776483,3377329.869999999646097,11699723.989999998360872
FS( 197 ),3884327.490000000223517,4445107.410000000149012,3376455.759999999776483,11705891.660000000149012
FS( 198 ),3885994.140000000130385,4348578.119999999180436,3352272.049999999813735,11586845.309999998658895
FS( 199 ),3906660.600000000093132,4341827.820000000298023,3386070.969999999739230,11634560.390000000596046
FS( 200 ),3869327.640000000130385,4262849.310000000521541,3379369.459999999962747,11511547.410000000149012
FS( 201 ),3875327.580000000074506,4315501.650000000372529,3375581.649999999441206,11566411.879999998956919
FS( 202 ),3897660.690000000409782,4341152.789999999105930,3426862.769999999552965,11665677.250000000000000
FS( 203 ),3927993.720000000204891,4419456.269999999552965,3462409.909999999683350,11809860.900000000372529
FS( 204 ),3916660.500000000000000,4395155.189999999478459,3473773.339999999850988,11785590.029999999329448
FS( 205 ),3888660.779999999795109,4337777.640000000596046,3374707.539999999571592,11601146.959999999031425
FS( 206 ),3922993.770000000018626,4380979.560000000521541,3421035.369999999646097,11725009.699999999254942
FS( 207 ),3923993.759999999776483,4450507.650000000372529,3421909.479999999515712,11796411.890000000596046
FS( 208 ),3959993.399999999906868,4344527.939999999478459,3458330.729999999515712,11762853.070000000298023
FS( 209 ),3952326.809999999590218,4264874.400000000372529,3448132.779999999795109,11665334.990000000223517
FS( 210 ),3958326.750000000000000,4307401.289999999105930,3447841.409999999683350,11713570.449999999254942
FS( 211 ),4002326.309999999590218,4337777.640000000596046,3491255.539999999571592,11831360.490000000223517
FS( 212 ),3980993.190000000409782,4269599.609999999403954,3465032.239999999757856,11715626.039999999105930
FS( 213 ),3937993.620000000111759,4218972.359999999403954,3427736.879999999888241,11584703.859999999403954
FS( 214 ),3919327.140000000130385,4152819.419999999925494,3393355.219999999739230,11465502.780000001192093
FS( 215 ),3973326.600000000093132,4210872.000000000000000,3399765.359999999869615,11583964.959999999031425
FS( 216 ),3946660.200000000186265,4150794.330000000074506,3365092.329999999608845,11462547.859999999403954
FS( 217 ),3855327.779999999795109,4040089.410000000149012,3266026.529999999795109,11161444.719999998807907
FS( 218 ),3849327.840000000316650,3973936.469999999739230,3209792.119999999646097,11033057.429999999701977
FS( 219 ),3889660.770000000018626,4019838.509999999776483,3192892.659999999683350,11102392.939999999478459
FS( 220 ),3914660.520000000018626,4046164.679999999701977,3270979.819999999832362,11231806.019999999552965
FS( 221 ),3837327.959999999962747,3967861.199999999720603,3182694.709999999962747,10987884.870000001043081
FS( 222 ),3887327.459999999962747,3949635.389999999664724,3227274.319999999832362,11064238.169999999925494
FS( 223 ),3839327.940000000409782,3885507.540000000037253,3183860.189999999478459,10908696.669999999925494
FS( 224 ),3916660.500000000000000,3936809.819999999832362,3280303.659999999683350,11133774.980000000447035
FS( 225 ),3859327.740000000223517,3985411.979999999981374,3344696.429999999701977,11189437.150000000372529
FS( 226 ),3927993.720000000204891,4088016.540000000037253,3307109.699999999720603,11323120.959999999031425
FS( 227 ),3946660.200000000186265,4109617.500000000000000,3331293.409999999683350,11387572.109999999403954
FS( 228 ),3973326.600000000093132,4097466.959999999962747,3303613.259999999776483,11374407.820000000298023
FS( 229 ),4014326.190000000409782,4125143.189999999944121,3320512.719999999739230,11459983.100000001490116
FS( 230 ),4028992.709999999962747,4021863.599999999627471,3273019.409999999683350,11323876.719999998807907
FS( 231 ),4079325.540000000037253,4131218.459999999962747,3245339.259999999776483,11455884.259999999776483
FS( 232 ),4125991.740000000223517,4185895.889999999664724,3355477.119999999646097,11667365.750000000000000
FS( 233 ),4153658.129999999888241,4263524.339999999850988,3376747.129999999888241,11793930.599999997764826
FS( 234 ),4131658.350000000093132,4222347.509999999776483,3318181.759999999776483,11672188.619999999180436
FS( 235 ),4048992.509999999776483,4218297.330000000074506,3285256.949999999720603,11552547.789999999105930
FS( 236 ),4021992.779999999795109,4061690.370000000111759,3327505.599999999627471,11411189.750000000000000
FS( 237 ),3846661.200000000186265,3859181.370000000111759,3255245.839999999850988,10961089.410000000149012
FS( 238 ),3868327.649999999906868,3715399.979999999981374,3205712.939999999478459,10789441.570000000298023
FS( 239 ),3900327.330000000074506,3758601.899999999906868,3238929.119999999646097,10897859.349999999627471
FS( 240 ),3917993.820000000298023,3875382.089999999850988,3284965.579999999608845,11078342.490000000223517
FS( 241 ),3890994.090000000316650,3780202.859999999869615,3223195.139999999664724,10894393.089999999850988
FS( 242 ),3930993.690000000409782,3808554.120000000111759,3258159.539999999571592,10997708.349999999627471
FS( 243 ),3972659.940000000409782,3901033.229999999981374,3355185.750000000000000,11228879.919999999925494
FS( 244 ),3954660.120000000111759,3926684.370000000111759,3446967.299999999813735,11328312.789999999105930
FS( 245 ),3905660.609999999869615,3955710.660000000149012,3422200.849999999627471,11283573.119999999180436
FS( 246 ),3884327.490000000223517,4003637.790000000037253,3428902.359999999869615,11316868.640000000596046
FS( 247 ),3922327.109999999869615,4061690.370000000111759,3533504.189999999478459,11517522.669999999925494
FS( 248 ),3896660.700000000186265,4064390.489999999757856,3530007.750000000000000,11491059.939999999478459
FS( 249 ),3901993.979999999981374,4077216.059999999590218,3502327.599999999627471,11481538.639999998733401
FS( 250 ),3945660.209999999962747,4210872.000000000000000,3531464.599999999627471,11687997.809999998658895
FS( 251 ),3901993.979999999981374,4225722.660000000149012,3535252.409999999683350,11662970.050000000745058
FS( 252 ),3906327.270000000018626,4157544.629999999888241,3470276.899999999441206,11534149.800000000745058
