代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12935292.329999998211861
真實報酬,2935292.329999998211861

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13810.838640390747969
風險,148506.403995623986702
起點值,0.092998269898164
找到最佳解世代,1902
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),BA[2](12),CAT[3](8),DD[7](1),MRK[17](10),MSFT[18](2),
FS( 9 ),1786732.200000000186265,1659324.600000000093132,1708705.809999999823049,1783374.860000000102445,1661519.949999999953434,1696136.559999999590218,10295797.980000000447035
FS( 10 ),1819175.620000000111759,1626991.199999999953434,1693903.059999999823049,1777423.699999999953434,1666322.929999999934807,1702451.679999999934807,10286272.189999999478459
FS( 11 ),1817131.940000000176951,1604654.600000000093132,1694692.540000000037253,1749321.000000000000000,1645738.729999999981374,1672981.119999999878928,10184523.929999999701977
FS( 12 ),1833225.920000000391155,1616213.399999999906868,1680876.639999999897555,1736757.440000000176951,1636475.840000000083819,1673507.379999999888241,10177060.620000001043081
FS( 13 ),1852896.340000000316650,1635738.399999999906868,1661929.120000000111759,1724524.500000000000000,1632359.000000000000000,1651930.719999999972060,10159382.080000000074506
FS( 14 ),1828627.640000000130385,1634332.599999999860302,1655218.540000000037253,1739733.020000000018626,1631672.860000000102445,1664034.699999999953434,10153623.359999999403954
FS( 15 ),1833481.380000000121072,1623086.199999999953434,1637060.500000000000000,1748659.760000000009313,1628242.159999999916181,1663508.439999999711290,10134042.439999999478459
FS( 16 ),1835525.060000000055879,1642298.800000000046566,1661337.010000000009313,1750974.100000000093132,1640249.610000000102445,1704556.719999999972060,10234945.300000000745058
FS( 17 ),1828372.179999999934807,1647609.600000000093132,1655810.649999999906868,1824041.120000000111759,1637505.049999999813735,1828754.079999999841675,10422096.679999999701977
FS( 18 ),1835525.060000000055879,1648390.600000000093132,1649297.439999999944121,1819743.060000000055879,1633731.279999999795109,1797178.479999999748543,10383869.919999999925494
FS( 19 ),1783155.760000000009313,1612152.199999999953434,1632323.620000000111759,1768496.960000000195578,1616234.709999999962747,1750341.339999999850988,10162708.589999999850988
FS( 20 ),1791585.940000000176951,1613089.399999999906868,1627389.370000000111759,1763207.040000000037253,1615548.570000000065193,1737711.100000000093132,10148535.419999999925494
FS( 21 ),1794396.000000000000000,1639018.600000000093132,1628968.330000000074506,1766513.239999999990687,1615891.639999999897555,1765602.879999999655411,10210394.689999999478459
FS( 22 ),1778046.560000000055879,1623242.400000000139698,1629165.700000000186265,1760892.699999999953434,1622409.969999999972060,1757708.979999999748543,10171470.310000000521541
FS( 23 ),1783155.760000000009313,1640268.200000000186265,1628573.590000000083819,1762876.420000000158325,1619665.409999999916181,1677717.459999999729916,10112260.839999997988343
FS( 24 ),1819942.000000000000000,1661511.400000000139698,1648902.700000000186265,1778746.179999999934807,1635789.699999999953434,1641931.779999999795109,10186827.759999999776483
FS( 25 ),1807424.460000000195578,1665885.000000000000000,1637257.870000000111759,1808501.980000000214204,1629957.509999999776483,1644036.819999999832362,10193067.640000000596046
FS( 26 ),1818153.780000000260770,1656825.399999999906868,1645942.149999999906868,1815445.000000000000000,1629271.370000000111759,1639300.479999999748543,10204942.179999999701977
FS( 27 ),1847276.220000000204891,1674319.800000000046566,1689363.550000000046566,1827347.320000000065193,1637848.120000000111759,1666139.739999999757856,10342298.750000001862645
FS( 28 ),1805125.320000000065193,1689627.400000000139698,1709495.290000000037253,1882560.860000000102445,1646081.799999999813735,1704556.719999999972060,10437451.390000000596046
FS( 29 ),1707028.679999999934807,1706184.600000000093132,1719758.529999999795109,1876279.080000000074506,1651570.919999999925494,1722975.819999999832362,10383801.630000000819564
FS( 30 ),1725166.340000000316650,1715088.000000000000000,1714034.800000000046566,1829661.660000000149012,1641621.889999999897555,1720344.519999999785796,10345921.210000000894070
FS( 31 ),1696554.820000000065193,1738986.599999999860302,1717390.090000000083819,1877270.940000000176951,1639563.469999999972060,1738237.359999999869615,10408007.279999999329448
FS( 32 ),1642652.760000000009313,1806777.400000000139698,1720745.380000000121072,1873964.739999999990687,1653286.269999999785796,1726133.379999999655411,10423563.929999999701977
FS( 33 ),1661812.260000000009313,1829270.199999999953434,1718574.309999999823049,1869666.679999999934807,1647111.009999999776483,1732974.759999999776483,10459413.219999998807907
FS( 34 ),1695788.440000000176951,1849420.000000000000000,1733771.800000000046566,1923888.360000000102445,1660490.739999999990687,1753498.899999999906868,10616862.240000000223517
FS( 35 ),1723633.580000000074506,1859416.800000000046566,1731995.469999999972060,1911986.040000000037253,1655687.759999999776483,1770339.219999999972060,10653062.869999999180436
FS( 36 ),1705751.380000000121072,1821772.599999999860302,1672784.469999999972060,1869336.060000000055879,1647111.009999999776483,1725607.119999999878928,10442366.639999998733401
FS( 37 ),1790564.100000000325963,1835518.200000000186265,1678310.830000000074506,1847515.140000000130385,1635789.699999999953434,1722975.819999999832362,10510677.790000000968575
FS( 38 ),1784943.980000000214204,1858792.000000000000000,1679889.790000000037253,1841563.980000000214204,1630643.649999999906868,1708240.539999999804422,10504077.939999999478459
FS( 39 ),1757354.300000000279397,1851138.200000000186265,1667850.219999999972060,1876609.699999999953434,1635446.629999999888241,1710871.839999999850988,10499274.890000000596046
FS( 40 ),1774470.120000000111759,1864727.599999999860302,1661929.120000000111759,1882891.480000000214204,1635789.699999999953434,1724554.600000000093132,10544366.619999999180436
FS( 41 ),1761697.120000000111759,1854730.799999999813735,1654034.319999999832362,1837265.920000000158325,1639563.469999999972060,1750867.600000000093132,10498163.230000000447035
FS( 42 ),1739983.020000000251457,1835362.000000000000000,1646139.520000000018626,1808171.360000000102445,1633388.209999999962747,1751393.859999999869615,10414441.970000000670552
FS( 43 ),1780856.620000000111759,1839267.000000000000000,1653244.840000000083819,1803873.300000000046566,1672155.120000000111759,1767181.659999999683350,10516582.539999999105930
FS( 44 ),1786732.200000000186265,1840672.800000000046566,1659363.309999999823049,1822057.400000000139698,1659461.529999999795109,1785074.500000000000000,10553365.740000000223517
FS( 45 ),1764251.720000000204891,1800060.799999999813735,1657389.609999999869615,1825363.600000000093132,1659118.459999999962747,1781916.939999999711290,10488105.130000000819564
FS( 46 ),1762718.960000000195578,1830676.000000000000000,1661929.120000000111759,1882891.480000000214204,1654658.549999999813735,1782969.459999999962747,10575847.570000000298023
FS( 47 ),1780090.240000000456348,1822709.800000000046566,1648705.330000000074506,1852805.060000000055879,1642994.169999999925494,1752446.379999999655411,10499754.980000000447035
FS( 48 ),1755310.620000000111759,1803184.800000000046566,1635284.169999999925494,1813791.900000000139698,1638191.189999999944121,1737184.839999999850988,10382951.519999999552965
FS( 49 ),1775747.420000000391155,1788033.399999999906868,1648507.959999999962747,1832637.239999999990687,1621723.830000000074506,1740342.399999999906868,10406996.250000001862645
FS( 50 ),1786987.660000000381842,1857230.000000000000000,1672389.729999999981374,1902067.440000000176951,1629271.370000000111759,1776654.339999999850988,10624604.540000000968575
FS( 51 ),1798483.360000000335276,1842859.600000000093132,1689758.290000000037253,1933806.960000000195578,1622409.969999999972060,1796125.959999999962747,10683448.140000000596046
FS( 52 ),1810234.520000000251457,1865977.199999999953434,1702192.599999999860302,1921904.640000000130385,1603884.189999999944121,1812966.280000000027940,10717163.429999999701977
FS( 53 ),1819942.000000000000000,1845983.600000000093132,1692521.469999999972060,1903720.540000000037253,1597708.929999999934807,1815071.319999999832362,10674951.860000001266599
FS( 54 ),1828883.100000000325963,1879722.800000000046566,1702784.709999999962747,1936451.920000000158325,1618293.129999999888241,1822965.219999999972060,10789104.880000000819564
FS( 55 ),1841145.179999999934807,1910181.800000000046566,1694495.169999999925494,1948684.860000000102445,1616234.709999999962747,1837700.500000000000000,10848446.220000000670552
FS( 56 ),1857239.160000000381842,1913774.399999999906868,1723903.300000000046566,1945048.040000000037253,1599081.209999999962747,1839805.539999999804422,10878855.649999998509884
FS( 57 ),1902711.040000000270084,1897373.399999999906868,1731008.620000000111759,1947362.380000000121072,1595650.509999999776483,1841384.319999999832362,10915494.269999999552965
FS( 58 ),1897346.380000000121072,1913149.600000000093132,1760022.010000000009313,1956289.120000000111759,1594278.229999999981374,1819807.659999999683350,10940897.000000000000000
FS( 59 ),1915739.500000000000000,2015304.400000000139698,1653244.840000000083819,1932153.860000000102445,1597365.860000000102445,1776654.339999999850988,10890466.800000000745058
FS( 60 ),1941285.500000000000000,2014679.599999999860302,1668442.330000000074506,1912647.280000000027940,1585701.479999999981374,1774549.299999999813735,10897309.489999998360872
FS( 61 ),1919571.400000000139698,2049199.800000000046566,1673179.209999999962747,1860739.940000000176951,1596679.719999999972060,1880327.559999999590218,10979701.629999998956919
FS( 62 ),1933877.160000000381842,2028737.599999999860302,1663508.080000000074506,1841563.980000000214204,1555854.389999999897555,1871907.399999999906868,10895452.610000001266599
FS( 63 ),1885595.220000000204891,2025301.199999999953434,1659363.309999999823049,1857764.360000000102445,1563745.000000000000000,1869276.100000000093132,10861049.189999999478459
FS( 64 ),1915739.500000000000000,2025613.600000000093132,1647915.849999999860302,1848507.000000000000000,1552080.620000000111759,1870328.619999999878928,10860189.189999999478459
FS( 65 ),1907564.780000000260770,2038422.000000000000000,1645350.040000000037253,1858425.600000000093132,1546934.570000000065193,1863487.239999999757856,10860188.230000000447035
FS( 66 ),1897857.300000000279397,2077940.600000000093132,1649889.550000000046566,1833959.719999999972060,1551737.549999999813735,1869802.359999999869615,10881191.079999998211861
FS( 67 ),1922381.460000000195578,2074191.799999999813735,1655810.649999999906868,1808171.360000000102445,1568547.979999999981374,1891379.019999999785796,10920486.269999999552965
FS( 68 ),1917527.720000000204891,2086375.399999999906868,1658968.569999999832362,1823049.260000000009313,1556197.459999999962747,1928217.219999999972060,10970339.630000000819564
FS( 69 ),1901178.280000000260770,2078877.800000000046566,1662323.859999999869615,1848507.000000000000000,1576781.659999999916181,2009261.259999999776483,11076933.859999999403954
FS( 70 ),1870267.620000000111759,2054198.199999999953434,1651073.770000000018626,1820734.920000000158325,1571978.679999999934807,1973475.579999999841675,10941732.769999999552965
FS( 71 ),1899900.980000000214204,2085125.800000000046566,1662718.599999999860302,1867682.960000000195578,1605599.539999999804422,1988210.859999999869615,11109242.739999998360872
FS( 72 ),1894280.860000000335276,2070130.600000000093132,1660942.270000000018626,1867352.340000000083819,1612460.939999999944121,1978211.919999999925494,11083382.929999999701977
FS( 73 ),1897857.300000000279397,2067006.600000000093132,1655021.169999999925494,1852143.820000000065193,1632702.070000000065193,1966107.939999999711290,11070842.900000000372529
FS( 74 ),1900156.440000000176951,2080127.399999999906868,1661929.120000000111759,1864376.760000000009313,1624125.320000000065193,2008208.739999999757856,11138927.779999999329448
FS( 75 ),1927490.660000000381842,2110117.800000000279397,1653244.840000000083819,1888181.400000000139698,1640592.679999999934807,2000841.100000000093132,11220472.480000000447035
FS( 76 ),1915994.960000000195578,2125581.600000000093132,1652850.099999999860302,1894132.560000000055879,1649169.429999999934807,1991368.419999999925494,11229101.070000000298023
FS( 77 ),1892748.100000000325963,2161195.200000000186265,1658771.200000000186265,1877270.940000000176951,1647111.009999999776483,1957687.780000000027940,11194788.230000000447035
FS( 78 ),1896069.080000000074506,2139639.599999999627471,1651468.510000000009313,1869336.060000000055879,1649169.429999999934807,1933479.819999999832362,11139166.500000000000000
FS( 79 ),1879464.179999999934807,2068880.999999999767169,1631928.880000000121072,1848507.000000000000000,1651227.850000000093132,1951372.659999999683350,11031385.570000000298023
FS( 80 ),1901944.660000000381842,2076378.600000000093132,1620876.160000000149012,1866029.860000000102445,1668038.279999999795109,1968212.979999999748543,11101484.540000000968575
FS( 81 ),1897090.920000000391155,2123863.399999999906868,1635876.279999999795109,1867352.340000000083819,1679016.519999999785796,1977159.399999999906868,11180362.859999999403954
FS( 82 ),1911396.679999999934807,2077472.000000000000000,1665876.520000000018626,1836604.679999999934807,1703717.559999999823049,1980843.219999999972060,11175914.660000000149012
FS( 83 ),1946650.160000000381842,2105275.600000000093132,1665087.040000000037253,1826355.460000000195578,1700973.000000000000000,1965581.679999999934807,11209926.940000001341105
FS( 84 ),1992377.500000000000000,2104338.399999999906868,1671205.510000000009313,1840902.739999999990687,1709549.750000000000000,1978738.179999999934807,11297116.080000000074506
FS( 85 ),2029419.200000000186265,2096997.000000000000000,1669823.919999999925494,1839249.640000000130385,1709549.750000000000000,2006629.959999999962747,11351673.469999998807907
FS( 86 ),2011792.460000000195578,2095591.199999999953434,1662915.969999999972060,1882560.860000000102445,1721557.199999999953434,2023470.280000000027940,11397891.969999998807907
FS( 87 ),2066716.360000000335276,2061852.000000000000000,1655415.910000000149012,1823049.260000000009313,1707148.259999999776483,2016102.639999999897555,11330288.429999999701977
FS( 88 ),2061862.620000000111759,2054042.000000000000000,1657389.609999999869615,1830984.140000000130385,1691710.110000000102445,2049257.019999999785796,11345249.500000000000000
FS( 89 ),2072591.940000000176951,2073254.599999999860302,1666073.889999999897555,1817759.340000000083819,1674556.610000000102445,1999788.579999999841675,11304028.959999999031425
FS( 90 ),2043724.960000000195578,2111523.600000000093132,1687587.219999999972060,1848837.620000000111759,1694454.669999999925494,2018733.939999999711290,11404866.009999999776483
FS( 91 ),2067227.280000000260770,2103713.600000000093132,1699232.050000000046566,1920912.780000000027940,1700286.860000000102445,2037153.039999999804422,11528529.609999999403954
FS( 92 ),2063906.300000000279397,2088405.999999999767169,1705745.260000000009313,1967199.580000000074506,1695826.949999999953434,2005577.439999999711290,11526665.529999999329448
FS( 93 ),2048578.700000000186265,2070599.199999999953434,1683245.080000000074506,1932815.100000000093132,1679359.590000000083819,1979264.439999999711290,11393866.109999999403954
FS( 94 ),2045768.640000000130385,2076847.200000000186265,1688968.809999999823049,1919259.679999999934807,1657746.179999999934807,1958740.299999999813735,11347334.809999998658895
FS( 95 ),2023288.160000000381842,2090436.600000000093132,1698442.569999999832362,1954966.640000000130385,1659804.600000000093132,1930848.519999999785796,11357791.089999999850988
FS( 96 ),2034528.400000000139698,2104338.399999999906868,1724692.779999999795109,1958603.460000000195578,1649855.570000000065193,1940847.459999999962747,11412870.070000000298023
FS( 97 ),2025331.840000000316650,2122457.600000000093132,1715613.760000000009313,1987036.780000000027940,1643337.239999999990687,1921902.100000000093132,11415683.320000000298023
FS( 98 ),2010004.240000000456348,2116365.800000000279397,1740285.010000000009313,2048532.100000000093132,1677644.239999999990687,1925059.659999999683350,11517895.050000000745058
FS( 99 ),1987012.840000000316650,2111367.399999999906868,1727850.700000000186265,2067046.820000000065193,1673870.469999999972060,1907693.079999999841675,11474845.310000000521541
FS( 100 ),2003617.740000000456348,2134797.399999999906868,1755285.130000000121072,2061426.280000000027940,1692053.179999999934807,1936637.379999999655411,11583821.109999999403954
FS( 101 ),2080511.200000000186265,2130580.000000000000000,1775614.239999999757856,2066054.960000000195578,1693425.459999999962747,1927164.699999999720603,11673354.559999998658895
FS( 102 ),2071825.560000000055879,2137296.600000000093132,1794364.389999999897555,2091512.699999999953434,1695140.809999999823049,1951372.659999999683350,11741516.720000000670552
FS( 103 ),2058030.720000000204891,2159789.400000000372529,1799101.270000000018626,2112011.140000000130385,1705775.979999999981374,1970318.019999999785796,11805030.530000001192093
FS( 104 ),2043980.420000000391155,2138390.000000000000000,1793574.910000000149012,2099778.200000000186265,1708177.469999999972060,1962424.119999999878928,11746329.119999999180436
FS( 105 ),2023799.080000000074506,2123082.399999999906868,1793574.910000000149012,2099778.200000000186265,1713323.519999999785796,1962424.119999999878928,11715986.230000000447035
FS( 106 ),2047556.860000000335276,2131985.800000000279397,1792390.689999999944121,2090520.840000000083819,1717097.289999999804422,1968739.239999999757856,11748294.720000000670552
FS( 107 ),2018689.880000000121072,2134797.399999999906868,1773837.910000000149012,2065393.719999999972060,1697885.370000000111759,1955582.739999999757856,11646191.020000001415610
FS( 108 ),1974239.840000000316650,2149636.399999999906868,1772851.059999999823049,2056136.360000000102445,1706119.049999999813735,1942426.239999999757856,11601412.950000001117587
FS( 109 ),1984969.160000000381842,2161976.199999999720603,1749561.399999999906868,2052499.540000000037253,1706462.120000000111759,1901377.959999999962747,11556850.379999998956919
FS( 110 ),1970918.860000000335276,2194778.199999999720603,1755285.130000000121072,2029686.760000000009313,1719155.709999999962747,1916113.239999999757856,11585941.900000000372529
FS( 111 ),1983436.400000000139698,2199620.399999999906868,1759429.899999999906868,2032001.100000000093132,1708177.469999999972060,1881906.339999999850988,11564575.609999999403954
FS( 112 ),1958145.860000000335276,2220082.600000000093132,1770679.989999999757856,2005882.120000000111759,1698914.580000000074506,1869802.359999999869615,11523511.509999999776483
FS( 113 ),1944861.940000000176951,2216490.000000000000000,1786469.590000000083819,2010841.420000000158325,1711265.100000000093132,1896641.619999999878928,11566573.669999999925494
FS( 114 ),1955080.340000000316650,2197746.000000000000000,1774232.649999999906868,1972489.500000000000000,1822419.779999999795109,1840858.059999999590218,11562830.329999998211861
FS( 115 ),1994165.720000000204891,2186968.199999999720603,1787456.439999999944121,2008196.460000000195578,1818302.939999999944121,1882958.859999999869615,11678052.619999999180436
FS( 116 ),2034017.480000000214204,2196496.399999999906868,1823969.889999999897555,2027041.800000000046566,1801835.580000000074506,1934532.339999999850988,11817897.489999998360872
FS( 117 ),2022777.240000000456348,2190092.200000000186265,1816075.090000000083819,2028694.900000000139698,1801149.439999999944121,1941373.719999999972060,11800166.590000001713634
FS( 118 ),1973218.000000000000000,2193997.200000000186265,1804825.000000000000000,2028033.660000000149012,1782280.590000000083819,1914534.459999999962747,11696892.910000000149012
FS( 119 ),2003873.200000000186265,2212897.399999999906868,1788245.919999999925494,2162596.000000000000000,1778163.750000000000000,1903483.000000000000000,11849263.269999999552965
FS( 120 ),2012814.300000000279397,2255071.399999999906868,1769298.399999999906868,2150693.680000000167638,1761696.389999999897555,1890852.759999999776483,11840430.929999999701977
FS( 121 ),2029674.660000000381842,2207274.200000000186265,1746403.479999999981374,2105729.359999999869615,1770273.139999999897555,1897694.139999999897555,11757052.980000000447035
FS( 122 ),1992888.420000000391155,2134485.000000000000000,1700811.010000000009313,2043903.420000000158325,1783309.799999999813735,1937163.639999999897555,11592565.290000000968575
FS( 123 ),2008982.400000000139698,2145575.200000000186265,1801864.450000000186265,2029356.140000000130385,1802178.649999999906868,1896115.359999999869615,11684076.200000001117587
FS( 124 ),1848553.520000000251457,2141357.800000000279397,1825154.109999999869615,2027372.420000000158325,1813843.029999999795109,1908745.600000000093132,11565030.479999998584390
FS( 125 ),1827605.800000000279397,2027175.600000000093132,1788640.660000000149012,2106059.979999999981374,1791200.409999999916181,1929269.739999999757856,11469956.190000001341105
FS( 126 ),1824029.360000000335276,1976410.600000000093132,1839562.120000000111759,2133501.439999999944121,1835799.509999999776483,1939794.939999999711290,11549101.969999998807907
FS( 127 ),1826839.420000000391155,1956573.200000000186265,1853575.389999999897555,2142758.800000000279397,1817273.729999999981374,1991368.419999999925494,11588392.960000000894070
FS( 128 ),1830415.860000000335276,1922521.599999999860302,1824167.260000000009313,2104076.260000000242144,1786740.500000000000000,1919797.059999999590218,11387722.539999999105930
FS( 129 ),1856728.240000000456348,1906276.800000000046566,1825746.219999999972060,2116970.439999999944121,1835799.509999999776483,1912955.679999999934807,11454480.890000000596046
FS( 130 ),1870778.540000000270084,1896280.000000000000000,1815088.239999999757856,2111680.520000000018626,1836485.649999999906868,1885063.899999999906868,11415380.849999999627471
FS( 131 ),1870523.080000000074506,1916117.400000000139698,1851996.429999999934807,2146395.620000000111759,1844719.330000000074506,1904009.259999999776483,11533765.119999999180436
FS( 132 ),1896580.000000000000000,1984064.399999999906868,1872522.910000000149012,2147056.859999999869615,1879026.330000000074506,1924007.139999999897555,11703261.640000000596046
FS( 133 ),1930556.179999999934807,1986251.199999999953434,1865220.219999999972060,2158297.939999999944121,1883143.169999999925494,1936637.379999999655411,11760110.089999997988343
FS( 134 ),1956102.179999999934807,2033111.199999999953434,1874299.239999999757856,2205245.979999999981374,1910931.840000000083819,1956109.000000000000000,11935803.439999999478459
FS( 135 ),1955846.720000000204891,2001402.599999999860302,1898181.010000000009313,2183425.060000000055879,1886916.939999999944121,1971896.799999999813735,11897673.129999998956919
FS( 136 ),1987012.840000000316650,2022802.000000000000000,1896996.790000000037253,2180118.859999999869615,1890347.639999999897555,1979264.439999999711290,11956546.570000000298023
FS( 137 ),1985224.620000000111759,2033111.199999999953434,1905681.069999999832362,2199294.819999999832362,1902012.019999999785796,1979790.699999999720603,12005118.429999999701977
FS( 138 ),1992632.960000000195578,2040452.599999999860302,1905878.439999999944121,2202601.020000000018626,1910588.769999999785796,1969265.500000000000000,12021423.289999999105930
FS( 139 ),1961211.380000000121072,2005463.799999999813735,1898970.489999999757856,2186400.640000000130385,1888289.219999999972060,1974001.839999999850988,11914341.370000001043081
FS( 140 ),1938475.440000000176951,2023739.199999999953434,1912983.760000000009313,2219462.640000000130385,1914705.610000000102445,1986632.079999999841675,11996002.730000000447035
FS( 141 ),1917016.800000000279397,2003745.600000000093132,1924431.219999999972060,2211197.140000000130385,1922253.149999999906868,1998736.059999999590218,11977383.969999998807907
FS( 142 ),1925191.520000000251457,2024207.800000000046566,1920878.559999999823049,2210535.899999999906868,1927399.199999999953434,1983474.519999999785796,11991691.499999998137355
FS( 143 ),1905265.640000000130385,1980315.600000000093132,1902917.889999999897555,2223430.080000000074506,1918136.309999999823049,1975580.619999999878928,11905650.139999998733401
FS( 144 ),1888149.820000000065193,1977660.199999999953434,1918510.120000000111759,2251863.399999999906868,1930486.830000000074506,1971896.799999999813735,11938571.170000001788139
FS( 145 ),1925702.440000000176951,2008119.199999999953434,1908641.620000000111759,2283933.540000000037253,1943866.559999999823049,1992420.939999999711290,12062688.299999998882413
FS( 146 ),1920593.240000000456348,2013742.399999999906868,1913970.609999999869615,2293521.520000000018626,1955187.870000000111759,2016102.639999999897555,12113122.280000001192093
FS( 147 ),1925957.900000000139698,2002808.399999999906868,1900944.189999999944121,2280627.340000000316650,1935632.879999999888241,1988210.859999999869615,12034185.570000000298023
FS( 148 ),1938730.900000000139698,2034204.599999999860302,1914957.459999999962747,2328897.859999999869615,1957589.360000000102445,2021365.239999999757856,12195749.419999999925494
FS( 149 ),1942818.260000000009313,2011711.799999999813735,1902128.410000000149012,2350057.540000000037253,1951414.100000000093132,2005577.439999999711290,12163711.549999998882413
FS( 150 ),1936942.679999999934807,2012805.200000000186265,1926404.919999999925494,2343775.760000000242144,1964450.759999999776483,2007682.479999999748543,12192065.800000000745058
FS( 151 ),1935920.840000000316650,2007806.799999999813735,1915549.569999999832362,2331212.200000000186265,1971655.229999999981374,1994525.979999999748543,12156674.620000001043081
FS( 152 ),1937709.060000000055879,1982033.800000000046566,1909628.469999999972060,2346090.100000000093132,1966509.179999999934807,1990315.899999999906868,12132290.509999999776483
FS( 153 ),1956357.640000000130385,1962977.400000000139698,1911404.800000000046566,2319309.880000000353903,1944895.769999999785796,2000841.100000000093132,12095790.589999999850988
FS( 154 ),1958401.320000000065193,1943608.600000000093132,1911010.059999999823049,2308399.419999999925494,1949012.610000000102445,2013997.600000000093132,12084433.609999999403954
FS( 155 ),1936687.220000000204891,1903933.800000000046566,1887128.290000000037253,2294844.000000000000000,1914019.469999999972060,1993999.719999999972060,11930616.500000001862645
FS( 156 ),1914973.120000000111759,1922990.199999999953434,1882786.149999999906868,2290545.939999999944121,1910931.840000000083819,1984000.780000000027940,11906232.029999999329448
FS( 157 ),1922381.460000000195578,1959072.400000000139698,1888312.510000000009313,2307076.939999999944121,1930143.759999999776483,2002419.879999999655411,12009410.949999999254942
FS( 158 ),1939241.820000000065193,1937516.800000000046566,1902917.889999999897555,2338485.840000000316650,1933574.459999999962747,2081358.879999999655411,12133099.689999997615814
FS( 159 ),1938730.900000000139698,1909400.799999999813735,1895615.200000000186265,2335840.880000000353903,1920880.870000000111759,2066623.600000000093132,12067096.250000001862645
FS( 160 ),1929534.340000000316650,1932674.600000000093132,1898970.489999999757856,2365596.680000000167638,1907158.070000000065193,2122407.160000000149012,12156345.339999999850988
FS( 161 ),1944606.480000000214204,1914711.599999999860302,1922260.149999999906868,2363943.580000000074506,1875252.559999999823049,2113460.739999999292195,12134239.109999999403954
FS( 162 ),1967853.340000000316650,1927832.400000000139698,1911602.169999999925494,2361629.240000000223517,1845062.399999999906868,2131353.580000000074506,12145337.130000000819564
FS( 163 ),1989056.520000000251457,1937204.399999999906868,1945944.550000000046566,2384442.020000000018626,1893435.269999999785796,2122933.419999999925494,12273020.179999999701977
FS( 164 ),1969897.020000000251457,1929550.600000000093132,1930352.319999999832362,2327244.760000000242144,1921910.080000000074506,2093989.119999999878928,12172947.899999998509884
FS( 165 ),1961466.840000000316650,1924552.199999999953434,1943181.370000000111759,2259467.660000000149012,1911961.049999999813735,2071359.939999999711290,12071993.060000000521541
FS( 166 ),1959167.700000000186265,1944077.199999999953434,1961734.149999999906868,2269386.260000000242144,1920537.799999999813735,2120828.379999999888241,12175735.489999998360872
FS( 167 ),1958912.240000000456348,1960165.799999999813735,1961339.410000000149012,2287900.979999999981374,1947640.330000000074506,2157140.320000000298023,12273103.080000000074506
FS( 168 ),1976794.440000000176951,2002652.200000000186265,1970023.689999999944121,2340469.560000000055879,1933917.529999999795109,2179769.500000000000000,12403630.919999999925494
FS( 169 ),1980115.420000000391155,2004214.199999999953434,2025682.029999999795109,2349396.300000000279397,1937005.159999999916181,2176085.679999999701977,12472502.790000000968575
FS( 170 ),1966320.580000000074506,2011555.600000000093132,2024103.069999999832362,2333526.540000000037253,1928428.409999999916181,2158192.839999999850988,12422131.039999999105930
