代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13780815.750000000000000
真實報酬,3780815.750000000000000

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,17826.269846421910188
風險,229418.157018476049416
起點值,0.077702088091425
找到最佳解世代,1597
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](1),DIS[6](5),HD[9](3),INTC[11](12),NKE[19](4),UNH[23](2),
FS( 13 ),1703548.010000000009313,1697878.519999999785796,1607210.530000000027940,1640831.489999999990687,1702321.360000000102445,1716699.250000000000000,10068493.160000000149012
FS( 14 ),1703942.469999999972060,1698716.439999999944121,1637883.669999999925494,1640831.489999999990687,1674437.040000000037253,1704691.269999999785796,10060506.380000000819564
FS( 15 ),1708478.760000000009313,1721759.239999999757856,1640404.750000000000000,1650913.250000000000000,1695921.679999999934807,1728262.489999999757856,10145744.169999999925494
FS( 16 ),1711042.750000000000000,1725110.919999999692664,1655111.050000000046566,1647762.699999999953434,1711463.759999999776483,1742049.429999999934807,10192544.609999999403954
FS( 17 ),1730371.290000000037253,1745430.479999999748543,1663514.650000000139698,1656584.239999999990687,1733405.520000000018626,1751611.339999999850988,10280921.519999999552965
FS( 18 ),1762914.239999999990687,1754228.639999999664724,1674229.239999999990687,1683048.860000000102445,1751233.200000000186265,1759171.919999999925494,10384830.099999999627471
FS( 19 ),1758180.719999999972060,1751295.919999999692664,1674019.150000000139698,1693760.729999999981374,1743462.159999999916181,1747386.309999999823049,10368108.990000000223517
FS( 20 ),1790329.209999999962747,1760303.559999999823049,1678641.130000000121072,1698801.610000000102445,1745747.759999999776483,1764953.540000000037253,10438780.809999998658895
FS( 21 ),1783623.390000000130385,1759884.600000000093132,1685574.100000000093132,1721485.570000000065193,1758090.000000000000000,1770735.159999999683350,10479396.820000000298023
FS( 22 ),1771395.130000000121072,1765331.079999999841675,1698389.590000000083819,1717704.910000000149012,1753518.800000000046566,1767177.239999999757856,10473520.750000000000000
FS( 23 ),1796443.339999999850988,1757161.359999999869615,1694818.060000000055879,1742909.310000000055879,1727005.840000000083819,1776294.409999999683350,10494636.320000000298023
FS( 24 ),1816955.260000000009313,1764702.639999999664724,1692086.890000000130385,1739128.650000000139698,1740262.320000000065193,1790303.719999999972060,10543443.480000000447035
FS( 25 ),1824055.540000000037253,1776014.559999999823049,1688725.449999999953434,1742909.310000000055879,1734319.759999999776483,1774515.449999999720603,10540544.069999998435378
FS( 26 ),1818927.560000000055879,1772453.399999999906868,1694187.790000000037253,1775044.920000000158325,1742547.919999999925494,1777406.260000000009313,10580571.849999999627471
FS( 27 ),1848117.600000000093132,1790678.159999999916181,1693557.520000000018626,1758662.060000000055879,1752604.560000000055879,1773625.969999999972060,10617249.870000001043081
FS( 28 ),1858965.250000000000000,1775386.119999999878928,1696288.689999999944121,1779455.689999999944121,1744376.399999999906868,1774737.819999999832362,10629213.970000000670552
FS( 29 ),1851273.280000000027940,1766169.000000000000000,1676750.320000000065193,1759922.280000000027940,1717406.320000000065193,1782743.139999999897555,10554268.340000001713634
FS( 30 ),1820308.170000000158325,1734537.519999999785796,1647757.900000000139698,1761812.610000000102445,1709178.159999999916181,1766510.129999999888241,10440108.489999998360872
FS( 31 ),1800387.939999999944121,1734537.519999999785796,1640194.659999999916181,1882163.620000000111759,1705521.200000000186265,1760728.510000000009313,10523537.450000001117587
FS( 32 ),1818533.100000000093132,1745011.519999999785796,1657632.130000000121072,1890985.160000000149012,1704149.840000000083819,1734488.849999999860302,10550804.599999999627471
FS( 33 ),1816166.339999999850988,1742078.799999999813735,1681162.209999999962747,1887204.500000000000000,1716492.079999999841675,1738269.139999999897555,10581377.070000000298023
FS( 34 ),1818138.640000000130385,1750876.959999999729916,1695658.419999999925494,1885944.280000000027940,1741633.679999999934807,1761395.619999999646097,10653651.599999999627471
FS( 35 ),1811827.280000000027940,1754857.079999999841675,1689985.989999999990687,1896026.040000000037253,1728834.320000000065193,1790303.719999999972060,10671838.429999999701977
FS( 36 ),1793090.429999999934807,1734956.479999999748543,1684313.560000000055879,1902957.250000000000000,1716492.079999999841675,1810317.019999999785796,10642130.819999998435378
FS( 37 ),1791512.589999999850988,1733699.600000000093132,1694187.790000000037253,1904847.580000000074506,1724720.239999999757856,1812095.979999999748543,10661067.780000001192093
FS( 38 ),1780664.939999999944121,1732023.760000000009313,1689775.900000000139698,1921860.550000000046566,1713749.360000000102445,1817655.229999999748543,10655733.740000000223517
FS( 39 ),1782242.780000000027940,1757580.320000000065193,1691876.800000000046566,1945804.729999999981374,1748033.360000000102445,1830997.429999999934807,10756539.419999999925494
FS( 40 ),1792893.200000000186265,1769101.719999999972060,1696498.780000000027940,1939503.630000000121072,1756718.639999999897555,1829885.580000000074506,10784605.550000000745058
FS( 41 ),1814194.040000000037253,1786907.519999999785796,1704482.199999999953434,1948955.280000000027940,1775460.560000000055879,1823436.849999999860302,10853440.449999999254942
FS( 42 ),1832930.890000000130385,1796124.639999999664724,1700910.669999999925494,1947064.949999999953434,1772717.840000000083819,1817877.599999999860302,10867630.589999999850988
FS( 43 ),1844567.459999999962747,1811416.679999999934807,1718978.409999999916181,1952105.830000000074506,1782774.479999999981374,1820990.779999999795109,10930837.639999998733401
FS( 44 ),1843778.540000000037253,1810788.239999999757856,1722339.850000000093132,1952105.830000000074506,1778203.280000000027940,1834332.979999999748543,10941552.720000000670552
FS( 45 ),1854626.189999999944121,1819167.439999999944121,1723810.479999999981374,1962187.590000000083819,1793288.239999999757856,1853456.799999999813735,11006540.739999998360872
FS( 46 ),1892888.810000000055879,1813930.439999999944121,1710574.810000000055879,1955256.380000000121072,1797859.439999999944121,1828328.989999999757856,10998842.870000001043081
FS( 47 ),1880660.549999999813735,1798638.399999999906868,1696708.870000000111759,1940133.739999999990687,1775460.560000000055879,1821880.260000000009313,10913486.380000000819564
FS( 48 ),1881449.469999999972060,1827127.679999999934807,1696078.600000000093132,1946434.840000000083819,1798773.679999999934807,1839892.229999999748543,10989760.500000000000000
FS( 49 ),1874546.420000000158325,1819586.399999999906868,1668136.630000000121072,1969748.910000000149012,1771346.479999999981374,1825215.809999999823049,10928584.650000000372529
FS( 50 ),1878096.560000000055879,1820214.839999999850988,1672548.520000000018626,1969118.800000000046566,1766775.280000000027940,1842783.040000000037253,10949541.039999999105930
FS( 51 ),1902355.850000000093132,1817491.600000000093132,1669397.169999999925494,1984241.439999999944121,1781860.239999999757856,1873914.839999999850988,11029265.140000000596046
FS( 52 ),1880068.859999999869615,1804713.320000000065193,1677800.770000000018626,1998103.860000000102445,1783688.720000000204891,1865687.149999999906868,11010066.679999999701977
FS( 53 ),1869418.439999999944121,1787954.919999999692664,1673598.969999999972060,2183356.200000000186265,1758090.000000000000000,1862573.969999999972060,11134996.500000000000000
FS( 54 ),1836086.570000000065193,1781251.559999999823049,1671287.979999999981374,2123495.750000000000000,1749404.720000000204891,1892593.919999999925494,11054124.500000000000000
FS( 55 ),1862515.390000000130385,1797591.000000000000000,1682422.750000000000000,2123495.750000000000000,1771803.599999999860302,1901711.089999999850988,11139543.580000000074506
FS( 56 ),1852851.119999999878928,1796124.639999999664724,1674649.419999999925494,2146179.709999999962747,1755804.399999999906868,1891482.069999999832362,11117095.359999999403954
FS( 57 ),1868235.060000000055879,1805970.199999999720603,1692086.890000000130385,2192177.740000000223517,1760832.720000000204891,1913496.699999999720603,11232803.310000000521541
FS( 58 ),1916950.869999999878928,1802409.040000000037253,1702171.209999999962747,2173904.549999999813735,1768603.759999999776483,1911050.629999999888241,11275094.059999998658895
FS( 59 ),1913795.189999999944121,1818329.519999999785796,1705952.830000000074506,2158151.799999999813735,1796488.079999999841675,1905269.010000000009313,11297990.429999999701977
FS( 60 ),1926417.910000000149012,1806389.159999999916181,1702381.300000000046566,2158151.799999999813735,1776374.800000000046566,1883032.010000000009313,11252750.980000000447035
FS( 61 ),1953043.959999999962747,1825661.320000000065193,1703221.659999999916181,2156891.580000000074506,1791916.880000000121072,1906825.599999999860302,11337565.000000000000000
FS( 62 ),1940421.239999999990687,1805760.719999999972060,1701330.850000000093132,2154371.139999999664724,1785060.079999999841675,1873914.839999999850988,11260862.869999999180436
FS( 63 ),1935884.950000000186265,1826918.199999999720603,1717717.870000000111759,2164452.900000000372529,1819801.200000000186265,1844562.000000000000000,11309341.120000001043081
FS( 64 ),1885591.299999999813735,1799057.359999999869615,1698599.679999999934807,2135467.839999999850988,1763118.320000000065193,1802311.699999999720603,11084150.199999999254942
FS( 65 ),1896044.489999999990687,1788583.359999999869615,1675489.780000000027940,2126016.190000000409782,1754890.159999999916181,1812095.979999999748543,11053123.960000000894070
FS( 66 ),1885394.070000000065193,1827546.639999999664724,1681372.300000000046566,2145549.599999999627471,1763575.439999999944121,1829440.839999999850988,11132882.889999998733401
FS( 67 ),1876124.260000000009313,1817282.119999999878928,1681372.300000000046566,2068046.070000000065193,1758090.000000000000000,1800977.479999999748543,11001896.230000000447035
FS( 68 ),1872968.579999999841675,1813930.439999999944121,1691666.709999999962747,2069936.400000000139698,1763118.320000000065193,1812318.349999999860302,11023942.799999998882413
FS( 69 ),1863501.540000000037253,1791306.600000000093132,1690616.260000000009313,2059224.530000000027940,1744833.520000000018626,1762507.469999999972060,10911993.920000001788139
FS( 70 ),1868629.519999999785796,1819376.919999999692664,1731793.900000000139698,2054183.650000000139698,1761289.840000000083819,1781631.290000000037253,11016909.120000001043081
FS( 71 ),1893283.269999999785796,1832993.119999999878928,1741247.949999999953434,2080648.270000000251457,1761289.840000000083819,1776072.040000000037253,11085538.490000002086163
FS( 72 ),1892888.810000000055879,1826918.199999999720603,1742088.310000000055879,2087579.480000000214204,1753975.919999999925494,1783854.989999999757856,11087309.710000000894070
FS( 73 ),1917937.019999999785796,1835087.919999999692664,1746290.110000000102445,2148700.150000000372529,1765861.040000000037253,1812540.719999999972060,11226420.960000000894070
FS( 74 ),1923065.000000000000000,1856245.399999999906868,1761836.770000000018626,2138618.389999999664724,1766775.280000000027940,1819434.189999999711290,11265979.029999999329448
FS( 75 ),1932532.040000000037253,1870280.559999999823049,1758265.239999999990687,2153110.919999999925494,1763118.320000000065193,1811651.239999999757856,11288962.320000000298023
FS( 76 ),1955805.179999999934807,1884734.679999999934807,1756164.340000000083819,2168233.559999999590218,1795573.840000000083819,1830997.429999999934807,11391513.029999999329448
FS( 77 ),1982825.689999999944121,1887248.439999999944121,1853646.100000000093132,2163822.790000000037253,1794659.599999999860302,1856125.239999999757856,11538331.860000001266599
FS( 78 ),1983614.609999999869615,1882011.439999999944121,1906588.780000000027940,2173904.549999999813735,1803802.000000000000000,1855235.760000000009313,11605161.139999998733401
FS( 79 ),1983811.839999999850988,1893323.359999999869615,1914992.380000000121072,2214861.700000000186265,1804259.119999999878928,1862796.339999999850988,11674048.740000000223517
FS( 80 ),1998406.859999999869615,1895627.639999999664724,1912471.300000000046566,2201629.389999999664724,1812487.280000000027940,1863018.709999999962747,11683645.179999999701977
FS( 81 ),2002745.920000000158325,1893323.359999999869615,1916042.830000000074506,2193437.959999999962747,1828943.599999999860302,1873247.729999999748543,11707745.400000000372529
FS( 82 ),1989925.969999999972060,1885782.079999999841675,1925076.699999999953434,2192807.849999999627471,1816601.360000000102445,1892816.290000000037253,11703014.250000000000000
FS( 83 ),2014382.489999999990687,1893113.879999999888241,1930118.860000000102445,2192177.740000000223517,1822086.800000000046566,1920834.909999999683350,11772718.680000001564622
FS( 84 ),2016749.250000000000000,1890181.159999999916181,1943564.620000000111759,2183356.200000000186265,1801516.399999999906868,1919945.429999999934807,11755317.060000000521541
FS( 85 ),2021680.000000000000000,1882849.359999999869615,1964363.530000000027940,2200369.169999999925494,1795573.840000000083819,1927506.010000000009313,11792345.910000000149012
FS( 86 ),2037458.399999999906868,1902121.519999999785796,1914992.380000000121072,2178315.320000000298023,1812030.159999999916181,1921057.279999999795109,11765979.059999998658895
FS( 87 ),1951466.119999999878928,1905054.239999999757856,1869823.030000000027940,2178315.320000000298023,1801516.399999999906868,1929952.080000000074506,11636131.189999999478459
FS( 88 ),1935293.260000000009313,1888295.839999999850988,1889361.400000000139698,2199739.059999999590218,1826658.000000000000000,1935956.069999999832362,11675307.629999998956919
FS( 89 ),1952057.810000000055879,1905054.239999999757856,1924656.520000000018626,2205410.049999999813735,1875112.720000000204891,1951299.599999999860302,11813594.939999999478459
FS( 90 ),1940026.780000000027940,1897094.000000000000000,1908059.409999999916181,2226203.679999999701977,1883340.880000000121072,1954857.519999999785796,11809586.269999999552965
FS( 91 ),1932729.269999999785796,1876983.919999999692664,1868352.400000000139698,2199739.059999999590218,1870541.520000000018626,1969311.569999999832362,11717661.740000000223517
FS( 92 ),1992095.500000000000000,1875308.079999999841675,1875075.280000000027940,2206670.270000000484288,1885169.360000000102445,1940181.099999999860302,11774503.589999999850988
FS( 93 ),2000576.390000000130385,1884734.679999999934807,1874445.010000000009313,2206670.270000000484288,1870084.399999999906868,1936400.809999999823049,11772915.560000000521541
FS( 94 ),2005112.679999999934807,1878450.280000000027940,1866461.590000000083819,2181465.870000000111759,1870541.520000000018626,1916387.510000000009313,11718423.449999999254942
FS( 95 ),2004520.989999999990687,1887038.959999999729916,1877806.449999999953434,2176424.990000000223517,1865513.200000000186265,1913051.959999999962747,11724360.550000000745058
FS( 96 ),1989334.280000000027940,1891019.079999999841675,1896504.459999999962747,2200999.280000000260770,1855913.679999999934807,1938179.769999999785796,11771954.550000000745058
FS( 97 ),2003534.839999999850988,1892275.959999999729916,1916463.010000000009313,2204149.830000000074506,1863227.599999999860302,1934399.479999999748543,11814054.720000000670552
FS( 98 ),2007676.670000000158325,1892485.439999999944121,1934740.840000000083819,2216121.919999999925494,1873741.360000000102445,1948631.159999999683350,11873401.390000000596046
FS( 99 ),1991306.579999999841675,1895627.639999999664724,1939993.090000000083819,2194068.070000000298023,1870084.399999999906868,1952411.449999999720603,11843495.229999998584390
FS( 100 ),1993278.880000000121072,1870490.040000000037253,1930539.040000000037253,2187136.860000000335276,1844485.679999999934807,1951744.339999999850988,11777678.839999999850988
FS( 101 ),2024441.219999999972060,1849961.000000000000000,1922135.439999999944121,2168863.669999999925494,1831229.200000000186265,1925504.679999999934807,11722139.210000000894070
FS( 102 ),2006887.750000000000000,1873841.719999999972060,1954279.209999999962747,2189657.299999999813735,1847685.520000000018626,1961528.619999999646097,11833884.119999999180436
FS( 103 ),1930362.510000000009313,1844933.479999999748543,1930749.130000000121072,2151220.589999999850988,1823001.040000000037253,1916387.510000000009313,11596658.259999999776483
FS( 104 ),1987164.750000000000000,1858968.639999999664724,1950497.590000000083819,2158781.910000000149012,2045618.479999999981374,1925727.049999999813735,11926762.419999998062849
FS( 105 ),1974542.030000000027940,1860853.959999999729916,1951337.949999999953434,2199108.950000000186265,2036933.200000000186265,1923725.719999999972060,11946505.810000000521541
FS( 106 ),1987164.750000000000000,1865043.559999999823049,1927387.689999999944121,2194068.070000000298023,2038761.679999999934807,1917944.099999999860302,11930373.849999999627471
FS( 107 ),1956199.640000000130385,1832783.639999999664724,1912261.209999999962747,2141768.940000000409782,2004477.679999999934807,1887479.409999999683350,11734974.520000001415610
FS( 108 ),1970400.200000000186265,1818120.040000000037253,1937892.189999999944121,2112153.770000000484288,2041047.280000000027940,1887924.149999999906868,11767541.630000000819564
FS( 109 ),1964877.760000000009313,1852893.719999999972060,1965203.890000000130385,2144289.379999999888241,2063903.280000000027940,1912829.589999999850988,11904001.619999999180436
FS( 110 ),1964877.760000000009313,1855198.000000000000000,1959321.370000000111759,2149330.259999999776483,2039218.800000000046566,1892149.179999999934807,11860099.369999999180436
FS( 111 ),1947718.750000000000000,1824823.399999999906868,1942724.260000000009313,2109003.219999999739230,2013162.959999999962747,1872135.879999999888241,11709572.469999998807907
FS( 112 ),1988150.899999999906868,1845771.399999999906868,1976758.840000000083819,2159412.020000000484288,2030533.520000000018626,1926171.790000000037253,11926802.469999998807907
FS( 113 ),1992489.959999999962747,1795496.199999999720603,1955329.659999999916181,2118454.870000000111759,1993963.919999999925494,1888813.629999999888241,11744552.239999998360872
FS( 114 ),1986770.290000000037253,1807227.079999999841675,1944404.979999999981374,2010706.060000000055879,1993049.679999999934807,1898820.279999999795109,11640982.369999999180436
FS( 115 ),1968625.130000000121072,1757789.799999999813735,1903437.429999999934807,1982981.219999999972060,1951908.880000000121072,1866799.000000000000000,11431545.459999999031425
FS( 116 ),1947718.750000000000000,1762607.839999999850988,1892932.929999999934807,2025198.590000000083819,1945052.079999999841675,1841671.189999999711290,11415185.379999998956919
FS( 117 ),1923853.920000000158325,1719454.959999999729916,1845662.679999999934807,1971009.130000000121072,1946880.560000000055879,1826994.769999999785796,11233860.019999999552965
FS( 118 ),1898608.480000000214204,1712332.639999999664724,1867301.949999999953434,1943914.400000000139698,1989392.720000000204891,1898820.279999999795109,11310374.470000000670552
FS( 119 ),1926417.910000000149012,1756113.959999999729916,1895874.189999999944121,1977310.229999999981374,1992592.560000000055879,1960861.510000000009313,11509174.360000001266599
FS( 120 ),1967638.980000000214204,1791516.079999999841675,1929698.679999999934807,1989912.429999999934807,2031904.880000000121072,1968866.830000000074506,11679541.880000000819564
FS( 121 ),2021088.310000000055879,1833831.040000000037253,1979069.830000000074506,2054813.760000000009313,2071674.320000000065193,2022458.000000000000000,11982939.259999999776483
FS( 122 ),2031344.269999999785796,1824613.919999999692664,1961002.090000000083819,2033390.020000000251457,2053846.639999999897555,1996218.339999999850988,11900419.279999999329448
FS( 123 ),2067634.589999999850988,1843257.639999999664724,1991675.229999999981374,2059854.639999999897555,2065731.759999999776483,2016009.269999999785796,12044167.129999998956919
FS( 124 ),2075326.560000000055879,1856245.399999999906868,1995666.939999999944121,2090730.030000000027940,2077616.880000000121072,2037801.529999999795109,12133391.339999999850988
FS( 125 ),2073157.030000000027940,1852893.719999999972060,2005751.260000000009313,2091990.250000000232831,2094530.320000000065193,2048697.659999999683350,12167024.240000000223517
FS( 126 ),2105305.520000000018626,1883896.760000000009313,2029281.340000000083819,2126016.190000000409782,2113272.239999999757856,2060038.529999999795109,12317814.580000000074506
FS( 127 ),2117139.320000000298023,1875517.559999999823049,2025709.810000000055879,2137358.169999999925494,2101844.239999999757856,2067154.369999999646097,12324727.469999998807907
FS( 128 ),2110039.040000000037253,1889971.679999999934807,2048819.709999999962747,2052923.429999999934807,2125614.479999999981374,2087612.409999999683350,12314984.750000000000000
FS( 129 ),2130156.500000000000000,1914271.359999999869615,2048819.709999999962747,2143029.160000000149012,2125157.359999999869615,2112740.219999999739230,12474178.309999998658895
FS( 130 ),2157768.700000000186265,1921184.199999999720603,2018776.840000000083819,2161932.459999999962747,2136128.239999999757856,2109404.669999999925494,12505199.109999999403954
FS( 131 ),2141990.299999999813735,1892694.919999999692664,2016045.669999999925494,2176424.990000000223517,2147556.239999999757856,2112073.110000000335276,12486789.230000000447035
FS( 132 ),2147118.279999999795109,1906311.119999999878928,2012264.050000000046566,2127276.410000000149012,2164012.560000000055879,2130307.450000000186265,12487293.870000001043081
FS( 133 ),2143962.600000000093132,1927259.119999999878928,2043987.640000000130385,2131057.070000000298023,2162184.080000000074506,2139424.620000000111759,12547879.129999998956919
FS( 134 ),2150076.729999999981374,1885363.119999999878928,2051550.880000000121072,2115934.429999999701977,2143442.160000000149012,2081608.419999999925494,12427979.740000000223517
FS( 135 ),2146526.589999999850988,1880754.559999999823049,2062265.469999999972060,2095770.909999999916181,2170412.239999999757856,2106958.599999999627471,12462692.369999999180436
FS( 136 ),2163685.600000000093132,1884944.159999999916181,2061845.290000000037253,2098921.459999999962747,2168583.759999999776483,2127861.379999999888241,12505845.649999998509884
FS( 137 ),2194256.250000000000000,1883268.320000000065193,2069198.439999999944121,2103332.230000000447035,2190068.399999999906868,2127639.009999999776483,12567766.650000000372529
FS( 138 ),2225221.359999999869615,1895627.639999999664724,2079913.030000000027940,2122235.530000000260770,2196925.200000000186265,2132531.150000000372529,12652457.910000000149012
FS( 139 ),2252044.640000000130385,1902121.519999999785796,2063946.189999999944121,2139248.500000000000000,2182754.479999999981374,2114963.919999999925494,12655083.250000000000000
FS( 140 ),2248297.270000000018626,1893951.799999999813735,2059534.300000000046566,2157521.690000000409782,2195553.839999999850988,2145206.240000000223517,12700069.140000000596046
FS( 141 ),2277487.310000000055879,1891228.559999999823049,2016465.850000000093132,2187136.860000000335276,2205153.359999999869615,2183453.879999999888241,12760929.820000000298023
FS( 142 ),2261708.910000000149012,1881592.479999999748543,2031592.330000000074506,2164452.900000000372529,2216124.239999999757856,2153878.669999999925494,12709353.529999999329448
FS( 143 ),2294054.629999999888241,1862320.320000000065193,2049870.159999999916181,2265270.500000000000000,2223895.279999999795109,2153656.299999999813735,12849071.189999997615814
FS( 144 ),2297210.310000000055879,1863577.199999999720603,2064786.550000000046566,2242586.540000000037253,2226638.000000000000000,2150543.120000000111759,12845345.719999998807907
FS( 145 ),2339811.989999999757856,1897512.959999999729916,2067307.630000000121072,2284173.799999999813735,2238980.239999999757856,2154768.150000000372529,12982558.769999999552965
FS( 146 ),2319497.299999999813735,1919927.320000000065193,2038105.120000000111759,2288584.570000000298023,2223895.279999999795109,2177005.150000000372529,12967018.740000000223517
FS( 147 ),2347109.500000000000000,1925583.280000000027940,2052601.330000000074506,2325130.950000000186265,2235323.279999999795109,2181674.919999999925494,13067427.259999999776483
FS( 148 ),2345728.890000000130385,1937942.600000000093132,2088316.630000000121072,2347184.799999999813735,2269607.279999999795109,2193238.160000000149012,13182022.359999999403954
FS( 149 ),2269598.109999999869615,1941922.719999999972060,2077391.949999999953434,2342143.919999999925494,2233037.680000000167638,2202800.070000000298023,13066898.449999999254942
FS( 150 ),2260919.989999999757856,1958052.679999999934807,2062265.469999999972060,2369238.650000000372529,2240808.720000000204891,2219922.559999999590218,13111212.070000000298023
FS( 151 ),2286559.890000000130385,1950511.399999999906868,2071299.340000000083819,2358526.780000000260770,2251322.479999999981374,2241492.450000000186265,13159716.339999999850988
FS( 152 ),2277881.770000000018626,1953025.159999999916181,2078862.580000000074506,2360417.110000000335276,2264121.839999999850988,2216364.639999999664724,13150677.100000001490116
FS( 153 ),2268217.500000000000000,1964127.600000000093132,2093358.790000000037253,2373649.419999999925494,2270521.520000000018626,2231041.059999999590218,13200919.889999996870756
FS( 154 ),2216937.700000000186265,1964965.519999999785796,2109955.900000000372529,2344034.250000000000000,2233494.799999999813735,2221923.889999999664724,13091316.060000002384186
FS( 155 ),2250861.260000000242144,1946950.239999999757856,2093358.790000000037253,2324500.839999999850988,2217952.720000000204891,2246384.589999999850988,13080012.439999999478459
FS( 156 ),2208062.350000000093132,1919508.359999999869615,2078652.489999999990687,2294885.669999999925494,2232123.439999999944121,2203467.179999999701977,12936703.490000000223517
FS( 157 ),2201553.760000000242144,1922022.119999999878928,2106594.459999999962747,2312528.750000000000000,2215667.120000000111759,2217698.860000000335276,12976069.070000000298023
FS( 158 ),2164277.290000000037253,1916575.639999999664724,2096300.050000000046566,2282913.580000000074506,2198296.560000000055879,2196128.969999999739230,12854496.089999999850988
FS( 159 ),2134692.790000000037253,1904216.320000000065193,2101972.479999999515712,2263380.169999999925494,2181383.120000000111759,2185232.839999999850988,12770881.719999998807907
FS( 160 ),2105502.750000000000000,1888924.280000000027940,2039155.570000000065193,2240696.209999999962747,2130642.799999999813735,2131419.299999999813735,12536344.910000000149012
FS( 161 ),2157965.929999999701977,1914271.359999999869615,2078652.489999999990687,2283543.690000000409782,2159898.479999999981374,2204579.030000000260770,12798914.980000000447035
FS( 162 ),2221868.450000000186265,1940037.399999999906868,2114998.060000000521541,2332692.270000000484288,2218866.959999999962747,2273513.729999999515712,13101980.870000001043081
FS( 163 ),2204709.439999999944121,1945902.839999999850988,2141469.400000000372529,2291735.120000000111759,2167669.520000000018626,2279072.979999999515712,13030563.300000000745058
FS( 164 ),2227588.120000000111759,1973344.719999999972060,2174453.530000000260770,2344664.360000000335276,2192811.120000000111759,2291303.330000000074506,13204169.180000001564622
FS( 165 ),2219698.919999999925494,1983609.239999999757856,2179915.870000000111759,2358526.780000000260770,2193725.359999999869615,2287078.299999999813735,13222558.469999998807907
FS( 166 ),2209245.729999999981374,1977953.280000000027940,2175714.070000000298023,2359156.889999999664724,2201039.279999999795109,2283298.009999999776483,13206411.259999997913837
FS( 167 ),2248297.270000000018626,1990731.559999999823049,2179705.780000000260770,2366088.099999999627471,2213381.520000000018626,2280407.200000000186265,13278615.429999999701977
FS( 168 ),2246719.429999999701977,2000577.119999999878928,2196092.799999999813735,2342774.030000000260770,2223895.279999999795109,2275515.059999999590218,13285577.719999998807907
FS( 169 ),2219304.459999999962747,1983818.719999999972060,2190630.459999999962747,2316309.410000000149012,2214295.759999999776483,2287078.299999999813735,13211441.109999999403954
FS( 170 ),2177097.239999999757856,1973135.239999999757856,2205336.759999999776483,2286694.240000000223517,2197839.439999999944121,2247941.179999999701977,13088048.099999999627471
