代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13544796.410000000149012
真實報酬,3544796.410000000149012

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,13885.527131362838190
風險,199949.984678353124764
起點值,0.069445002227430
找到最佳解世代,1971
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,7
AAPL[0](1),HD[9](14),INTC[11](3),JNJ[12](11),KO[14](10),TRV[22](2),UNH[23](8),
FS( 8 ),1452636.229999999748543,1403484.760000000009313,1443731.340000000083819,1460399.079999999841675,1441687.250000000000000,1432864.500000000000000,1437835.000000000000000,10072641.160000000149012
FS( 9 ),1436529.579999999841675,1372823.800000000046566,1432652.630000000121072,1451037.879999999888241,1422949.750000000000000,1418438.340000000083819,1426903.480000000214204,9961338.460000000894070
FS( 10 ),1420422.929999999701977,1382927.979999999981374,1428571.000000000000000,1448073.500000000000000,1430444.750000000000000,1419640.519999999785796,1402631.800000000279397,9932715.480000000447035
FS( 11 ),1425918.139999999897555,1386412.179999999934807,1440232.800000000046566,1465547.739999999990687,1434192.250000000232831,1434753.640000000130385,1422271.480000000214204,10009331.230000000447035
FS( 12 ),1438424.479999999748543,1390593.219999999972060,1447229.880000000121072,1465703.759999999776483,1439064.000000000000000,1441794.979999999981374,1445246.200000000186265,10068059.519999999552965
FS( 13 ),1438045.500000000000000,1389373.750000000000000,1458891.679999999934807,1460243.060000000055879,1429320.500000000000000,1428914.479999999981374,1481561.080000000074506,10086353.050000000745058
FS( 14 ),1431223.859999999869615,1395296.890000000130385,1482798.369999999878928,1468512.119999999878928,1440937.750000000000000,1429429.699999999953434,1510650.040000000270084,10158851.730000000447035
FS( 15 ),1442403.770000000018626,1401045.820000000065193,1467638.030000000027940,1496751.739999999990687,1440563.000000000000000,1438875.399999999906868,1507129.720000000204891,10194410.480000000447035
FS( 16 ),1459647.359999999869615,1387805.859999999869615,1464722.580000000074506,1485362.280000000027940,1439064.000000000000000,1440249.319999999832362,1506018.040000000270084,10182872.440000001341105
FS( 17 ),1475375.029999999795109,1384495.869999999878928,1484547.640000000130385,1519374.639999999897555,1447308.500000000000000,1443168.899999999906868,1502683.000000000000000,10256956.579999998211861
FS( 18 ),1461163.279999999795109,1374043.270000000018626,1479882.919999999925494,1514225.979999999748543,1446933.750000000000000,1432864.500000000000000,1510835.320000000298023,10219952.019999999552965
FS( 19 ),1454910.109999999869615,1370733.280000000027940,1475801.290000000037253,1517814.439999999944121,1454803.500000000000000,1433894.939999999944121,1501200.760000000009313,10209161.319999998435378
FS( 20 ),1453204.699999999953434,1371430.119999999878928,1493877.080000000074506,1520310.759999999776483,1459675.250000000000000,1442481.939999999944121,1512317.560000000288710,10253300.410000000149012
FS( 21 ),1453015.209999999962747,1378572.729999999981374,1504955.790000000037253,1532636.339999999850988,1448807.499999999767169,1461545.079999999841675,1519172.920000000158325,10298708.570000000298023
FS( 22 ),1466279.509999999776483,1382927.979999999981374,1515451.409999999916181,1528111.759999999776483,1439438.749999999767169,1449351.540000000037253,1516393.720000000204891,10297957.669999999925494
FS( 23 ),1468742.879999999888241,1392857.949999999953434,1509620.510000000009313,1532636.339999999850988,1436440.750000000000000,1453816.780000000027940,1512132.280000000260770,10306250.489999998360872
FS( 24 ),1458510.419999999925494,1383276.400000000139698,1539941.189999999944121,1533104.399999999906868,1426697.250000000000000,1459484.199999999953434,1523990.200000000186265,10325007.059999998658895
FS( 25 ),1439561.419999999925494,1371430.119999999878928,1525363.939999999944121,1535600.719999999972060,1432318.500000000000000,1463262.479999999981374,1510650.040000000270084,10278190.220000000670552
FS( 26 ),1417012.109999999869615,1343730.729999999981374,1544605.909999999916181,1527331.659999999916181,1447308.500000000000000,1459827.679999999934807,1502312.440000000176951,10242132.029999999329448
FS( 27 ),1417012.109999999869615,1343382.310000000055879,1569095.689999999944121,1529984.000000000000000,1457801.500000000000000,1455190.699999999953434,1494530.680000000167638,10266999.989999998360872
FS( 28 ),1435582.129999999888241,1354705.960000000195578,1573177.320000000065193,1543869.780000000027940,1461174.250000000000000,1473910.359999999869615,1508056.120000000111759,10350478.920000001788139
FS( 29 ),1417012.109999999869615,1337633.380000000121072,1541107.369999999878928,1506268.959999999962747,1457426.750000000000000,1459655.939999999944121,1482116.920000000158325,10201224.429999999701977
FS( 30 ),1406590.159999999916181,1318818.699999999953434,1526530.119999999878928,1511417.619999999878928,1447683.250000000000000,1464979.879999999888241,1462847.800000000279397,10138870.530000001192093
FS( 31 ),1412274.859999999869615,1323522.369999999878928,1548687.540000000037253,1515630.159999999916181,1451430.749999999767169,1468414.679999999934807,1467109.240000000223517,10187072.599999999627471
FS( 32 ),1402042.399999999906868,1322128.689999999944121,1560932.429999999934807,1547770.280000000027940,1505769.500000000000000,1475112.540000000037253,1473223.480000000214204,10286982.320000000298023
FS( 33 ),1404884.750000000000000,1334149.179999999934807,1570261.869999999878928,1540749.379999999888241,1521134.250000000232831,1490397.399999999906868,1448766.520000000251457,10310346.349999999627471
FS( 34 ),1420991.399999999906868,1343033.890000000130385,1576675.859999999869615,1544025.799999999813735,1526006.000000000000000,1488680.000000000000000,1404114.040000000270084,10303529.990000000223517
FS( 35 ),1437856.009999999776483,1358190.159999999916181,1571428.050000000046566,1560251.879999999888241,1527130.250000000000000,1483871.280000000027940,1388735.800000000279397,10327466.429999999701977
FS( 36 ),1439371.929999999701977,1387980.070000000065193,1565014.060000000055879,1563060.239999999990687,1525631.250000000000000,1492286.540000000037253,1403743.480000000214204,10377090.570000000298023
FS( 37 ),1420422.929999999701977,1367945.919999999925494,1559766.250000000000000,1563684.319999999832362,1526380.749999999767169,1513582.299999999813735,1395776.440000000176951,10347561.909999998286366
FS( 38 ),1536959.279999999795109,1389722.169999999925494,1559766.250000000000000,1559627.799999999813735,1525256.500000000000000,1521482.340000000083819,1419121.720000000204891,10511939.060000000521541
FS( 39 ),1548328.679999999701977,1382927.979999999981374,1531194.840000000083819,1556975.459999999962747,1536873.750000000000000,1516673.619999999878928,1401890.680000000167638,10474868.009999999776483
FS( 40 ),1608207.520000000018626,1396690.570000000065193,1535276.469999999972060,1581158.560000000055879,1537623.250000000000000,1539515.040000000037253,1403372.920000000158325,10601847.330000000074506
FS( 41 ),1603470.270000000018626,1385366.919999999925494,1544022.820000000065193,1576321.939999999944121,1520384.750000000000000,1561154.280000000027940,1393367.800000000279397,10584091.779999999329448
FS( 42 ),1597406.589999999850988,1385192.710000000195578,1556267.709999999962747,1580378.459999999962747,1528629.250000000000000,1555658.599999999860302,1390403.320000000298023,10593939.640000000596046
FS( 43 ),1601196.389999999897555,1382056.929999999934807,1542273.550000000046566,1568520.939999999944121,1528254.500000000000000,1559952.099999999860302,1388735.800000000279397,10570993.210000000894070
FS( 44 ),1604038.739999999990687,1383276.400000000139698,1539941.189999999944121,1549486.500000000000000,1534625.250000000000000,1562871.679999999934807,1390218.040000000270084,10564460.800000000745058
FS( 45 ),1626777.539999999804422,1370907.489999999990687,1525947.030000000027940,1560251.879999999888241,1527505.000000000000000,1556860.780000000027940,1393923.640000000363216,10562176.359999999403954
FS( 46 ),1609154.969999999972060,1348782.820000000065193,1527696.300000000046566,1552606.899999999906868,1517386.750000000000000,1543636.799999999813735,1394479.480000000214204,10493747.019999999552965
FS( 47 ),1603470.270000000018626,1342859.679999999934807,1537608.830000000074506,1574449.699999999720603,1533126.249999999767169,1564073.859999999869615,1443578.680000000167638,10599170.269999999552965
FS( 48 ),1591721.889999999897555,1342337.050000000046566,1535859.560000000055879,1568052.879999999888241,1526380.749999999767169,1566993.439999999944121,1424680.120000000111759,10556028.690000001341105
FS( 49 ),1585089.739999999990687,1353834.909999999916181,1533527.199999999953434,1574449.699999999720603,1531627.250000000000000,1568023.879999999888241,1425791.800000000279397,10572347.480000000447035
FS( 50 ),1604796.699999999953434,1363590.669999999925494,1537608.830000000074506,1568364.919999999925494,1529753.500000000000000,1580732.640000000130385,1440428.920000000158325,10625279.179999999701977
FS( 51 ),1607260.069999999832362,1346169.669999999925494,1542273.550000000046566,1576165.919999999925494,1540621.250000000000000,1595674.019999999785796,1445987.320000000298023,10654154.800000000745058
FS( 52 ),1607639.050000000046566,1329445.510000000009313,1535276.469999999972060,1573825.619999999878928,1532376.750000000000000,1591208.780000000027940,1429867.960000000195578,10599643.140000000596046
FS( 53 ),1593995.770000000018626,1328226.039999999804422,1516617.590000000083819,1571017.259999999776483,1518511.000000000232831,1586400.060000000055879,1417083.640000000363216,10531854.359999999403954
FS( 54 ),1617492.529999999795109,1347737.560000000055879,1505538.880000000121072,1569301.039999999804422,1532376.750000000000000,1590006.599999999860302,1420233.400000000372529,10582689.759999999776483
FS( 55 ),1636631.020000000018626,1332755.500000000000000,1518366.859999999869615,1570237.159999999916181,1525631.250000000000000,1593269.659999999916181,1430423.800000000279397,10607318.250000000000000
FS( 56 ),1637010.000000000000000,1358190.159999999916181,1518366.859999999869615,1564152.379999999888241,1520759.500000000000000,1591552.260000000009313,1420418.680000000167638,10610452.839999999850988
FS( 57 ),1641368.270000000018626,1360280.679999999934807,1527696.300000000046566,1578038.159999999916181,1531627.250000000000000,1594815.319999999832362,1440058.360000000102445,10673887.339999999850988
FS( 58 ),1643831.639999999897555,1372475.380000000121072,1524780.849999999860302,1575229.799999999813735,1520759.500000000000000,1597391.419999999925494,1451545.720000000204891,10686017.310000000521541
FS( 59 ),1662401.659999999916181,1379443.780000000027940,1532944.109999999869615,1575541.839999999850988,1520759.500000000000000,1594815.319999999832362,1459512.760000000009313,10725421.969999998807907
FS( 60 ),1693667.509999999776483,1388328.489999999990687,1557433.890000000130385,1572889.500000000000000,1527879.750000000232831,1605634.939999999944121,1465812.280000000260770,10811649.359999999403954
FS( 61 ),1689119.750000000000000,1388154.280000000027940,1567346.419999999925494,1564932.479999999748543,1520759.500000000000000,1605119.719999999739230,1455992.440000000176951,10791427.589999997988343
FS( 62 ),1720006.619999999878928,1391986.900000000139698,1572011.140000000130385,1572109.399999999906868,1523757.499999999767169,1616111.079999999841675,1470629.560000000288710,10866615.200000001117587
FS( 63 ),1713563.959999999962747,1397735.830000000074506,1593002.380000000121072,1583030.799999999813735,1533126.249999999767169,1604947.979999999981374,1475446.840000000083819,10900857.039999999105930
FS( 64 ),1701815.579999999841675,1408362.640000000130385,1589503.840000000083819,1594108.219999999972060,1531252.500000000000000,1609413.219999999739230,1472482.360000000102445,10906941.359999999403954
FS( 65 ),1725880.809999999823049,1405401.070000000065193,1612827.439999999944121,1598632.799999999813735,1532002.000000000000000,1604261.019999999785796,1480078.840000000083819,10959086.980000000447035
FS( 66 ),1745587.770000000018626,1403136.340000000083819,1609328.900000000139698,1602065.239999999990687,1528629.250000000000000,1625900.260000000009313,1491751.480000000214204,11006402.240000002086163
FS( 67 ),1752409.409999999916181,1400348.979999999981374,1612827.439999999944121,1610490.319999999832362,1532376.750000000000000,1631052.459999999962747,1478596.600000000093132,11018104.959999999031425
FS( 68 ),1747482.669999999925494,1404878.439999999944121,1642565.030000000027940,1609866.239999999990687,1536124.250000000000000,1620576.319999999832362,1481005.240000000223517,11042501.189999999478459
FS( 69 ),1775527.189999999944121,1404355.810000000055879,1627404.689999999944121,1610490.319999999832362,1533126.249999999767169,1625728.519999999785796,1477855.480000000214204,11054491.259999999776483
FS( 70 ),1785949.139999999897555,1406620.539999999804422,1646646.659999999916181,1624220.079999999841675,1539122.250000000000000,1633285.079999999841675,1478781.880000000121072,11114628.630000000819564
FS( 71 ),1778559.029999999795109,1390419.010000000009313,1628570.869999999878928,1612050.519999999785796,1531252.500000000000000,1629850.280000000027940,1485451.960000000195578,11056157.169999999925494
FS( 72 ),1748809.100000000093132,1366378.030000000027940,1630320.140000000130385,1599724.939999999944121,1514763.500000000000000,1631567.679999999934807,1471926.520000000251457,10963492.909999998286366
FS( 73 ),1729670.609999999869615,1360106.469999999972060,1741690.330000000074506,1599724.939999999944121,1512889.750000000000000,1638609.019999999785796,1467109.240000000223517,11049803.359999999403954
FS( 74 ),1747103.689999999944121,1374565.900000000139698,1749853.590000000083819,1598476.780000000027940,1523757.499999999767169,1639467.719999999739230,1445246.200000000186265,11078474.379999998956919
FS( 75 ),1744829.809999999823049,1394077.419999999925494,1746355.050000000046566,1590363.739999999990687,1533501.000000000000000,1635345.959999999962747,1448395.960000000195578,11092871.940000001341105
FS( 76 ),1746724.709999999962747,1406097.909999999916181,1745188.869999999878928,1604093.500000000000000,1557485.000000000000000,1638437.280000000027940,1467665.080000000074506,11165695.349999999627471
FS( 77 ),1740661.029999999795109,1401394.239999999990687,1754518.310000000055879,1619695.500000000000000,1566104.250000000000000,1641872.079999999841675,1491751.480000000214204,11215999.890000000596046
FS( 78 ),1722659.479999999748543,1396690.570000000065193,1760932.300000000046566,1642474.419999999925494,1562356.750000000000000,1624526.340000000083819,1508426.680000000167638,11218069.539999999105930
FS( 79 ),1721143.559999999823049,1404878.439999999944121,1762681.570000000065193,1634361.379999999888241,1563855.749999999767169,1630708.979999999981374,1509908.920000000158325,11227541.599999999627471
FS( 80 ),1710721.609999999869615,1401220.030000000027940,1778425.000000000000000,1631865.060000000055879,1568352.750000000000000,1625900.260000000009313,1514540.920000000158325,11231028.629999998956919
FS( 81 ),1712237.529999999795109,1402962.130000000121072,1800582.419999999925494,1650119.399999999906868,1572475.000000000000000,1629163.319999999832362,1525657.720000000204891,11293200.520000001415610
FS( 82 ),1722469.989999999990687,1406794.750000000000000,1794751.520000000018626,1648403.179999999934807,1575098.250000000000000,1621435.019999999785796,1524731.320000000298023,11293687.029999999329448
FS( 83 ),1742934.909999999916181,1413414.729999999981374,1803497.869999999878928,1638105.859999999869615,1581094.250000000000000,1613019.760000000009313,1519358.200000000186265,11311428.579999998211861
FS( 84 ),1760936.459999999962747,1410453.159999999916181,1801748.599999999860302,1632333.119999999878928,1587465.000000000000000,1615595.859999999869615,1514726.200000000186265,11323261.399999998509884
FS( 85 ),1772116.369999999878928,1425435.219999999972060,1806413.320000000065193,1651835.619999999878928,1584841.750000000000000,1635174.219999999739230,1517320.120000000111759,11393139.620000001043081
FS( 86 ),1771358.409999999916181,1428222.580000000074506,1806413.320000000065193,1651679.599999999860302,1584841.750000000000000,1625041.560000000055879,1528436.920000000158325,11395997.140000000596046
FS( 87 ),1781780.359999999869615,1429442.050000000046566,1815742.760000000009313,1644814.719999999972060,1582593.249999999767169,1628819.840000000083819,1544371.000000000000000,11427566.980000000447035
FS( 88 ),1818541.419999999925494,1418466.820000000065193,1809328.770000000018626,1661196.819999999832362,1579220.500000000000000,1623839.379999999888241,1523434.360000000102445,11434031.070000000298023
FS( 89 ),1806793.039999999804422,1406968.960000000195578,1795334.609999999869615,1649495.319999999832362,1571725.500000000000000,1616798.040000000037253,1518061.240000000223517,11365179.709999999031425
FS( 90 ),1807551.000000000000000,1406446.330000000074506,1801165.510000000009313,1654487.959999999962747,1572100.250000000000000,1626415.479999999981374,1533068.920000000158325,11401238.449999999254942
FS( 91 ),1800918.850000000093132,1383276.400000000139698,1822739.840000000083819,1650743.479999999748543,1583717.500000000000000,1619545.879999999888241,1520840.440000000176951,11381785.389999998733401
FS( 92 ),1804329.669999999925494,1386934.810000000055879,1822156.750000000000000,1639822.079999999841675,1572849.750000000000000,1626072.000000000000000,1535477.560000000288710,11387645.620000001043081
FS( 93 ),1827636.939999999944121,1384321.659999999916181,1836150.909999999916181,1644190.639999999897555,1588214.500000000000000,1641185.119999999878928,1561416.760000000009313,11483119.529999999329448
FS( 94 ),1806224.569999999832362,1391290.060000000055879,1848978.890000000130385,1611426.439999999944121,1577721.500000000000000,1647882.979999999981374,1554561.400000000372529,11438088.839999999850988
FS( 95 ),1795992.109999999869615,1387805.859999999869615,2020407.349999999860302,1594888.319999999832362,1578471.000000000000000,1642215.560000000055879,1551967.480000000214204,11571750.679999999701977
FS( 96 ),1763968.300000000046566,1385889.550000000046566,1965013.800000000279397,1566024.619999999878928,1574723.500000000232831,1626415.479999999981374,1576980.280000000260770,11459018.530000001192093
FS( 97 ),1789359.959999999962747,1395122.679999999934807,1965013.800000000279397,1588335.479999999748543,1590088.250000000000000,1637406.840000000083819,1584576.760000000009313,11549906.769999999552965
FS( 98 ),1780074.949999999953434,1388676.909999999916181,1986005.040000000037253,1580066.419999999925494,1588964.000000000000000,1636032.919999999925494,1576053.880000000121072,11535877.120000001043081
FS( 99 ),1794855.169999999925494,1403136.340000000083819,2028570.609999999869615,1598788.819999999832362,1543619.250000000000000,1573691.299999999813735,1594396.600000000093132,11537061.089999997988343
FS( 100 ),1841659.199999999953434,1411498.419999999925494,2011661.000000000000000,1594420.259999999776483,1529378.750000000000000,1576267.399999999906868,1592358.520000000251457,11557246.549999998882413
FS( 101 ),1838627.359999999869615,1414634.199999999953434,1997083.750000000000000,1594576.280000000027940,1535374.750000000000000,1595158.799999999813735,1587541.240000000223517,11562999.380000000819564
FS( 102 ),1850754.719999999972060,1411672.630000000121072,1997083.750000000000000,1593172.099999999860302,1536499.000000000000000,1581763.079999999841675,1569013.240000000223517,11539961.519999999552965
FS( 103 ),1876335.869999999878928,1412369.469999999972060,1995917.569999999832362,1593172.099999999860302,1524507.000000000000000,1577984.799999999813735,1588838.200000000186265,11569128.009999997913837
FS( 104 ),1864208.509999999776483,1410801.580000000074506,1993585.209999999962747,1590831.799999999813735,1512140.250000000000000,1564932.560000000055879,1561416.760000000009313,11497919.669999999925494
FS( 105 ),1859850.239999999990687,1424389.960000000195578,2002914.650000000139698,1596136.479999999748543,1484783.500000000000000,1561841.239999999990687,1536959.800000000279397,11466878.870000001043081
FS( 106 ),1811530.289999999804422,1408536.849999999860302,1976092.510000000009313,1561656.060000000055879,1472416.750000000000000,1538141.119999999878928,1501756.600000000093132,11270133.179999997839332
FS( 107 ),1821573.259999999776483,1389373.750000000000000,1967346.160000000149012,1558691.679999999934807,1472416.750000000000000,1538999.819999999832362,1509908.920000000158325,11258313.339999999850988
FS( 108 ),1811340.800000000046566,1394251.630000000121072,1985421.949999999720603,1562748.199999999720603,1476539.000000000000000,1543980.280000000027940,1524360.760000000009313,11298645.619999999180436
FS( 109 ),1802434.770000000018626,1394251.630000000121072,1913701.880000000121072,1557443.519999999785796,1468294.500000000000000,1530584.560000000055879,1500644.920000000158325,11167358.779999999329448
FS( 110 ),1799402.929999999701977,1402787.919999999925494,1915451.150000000139698,1571329.299999999813735,1496026.000000000000000,1540545.479999999981374,1510094.200000000186265,11235639.980000000447035
FS( 111 ),1790307.409999999916181,1401916.869999999878928,1905538.619999999878928,1559159.739999999990687,1474665.250000000000000,1543980.280000000027940,1468591.480000000214204,11144162.650000000372529
FS( 112 ),1795234.149999999906868,1436062.030000000027940,1900873.900000000139698,1577102.039999999804422,1478412.750000000000000,1553941.199999999953434,1484525.560000000288710,11226154.630000000819564
FS( 113 ),1818920.399999999906868,1443901.479999999981374,1925363.680000000167638,1578350.199999999720603,1482909.750000000000000,1557032.519999999785796,1479893.560000000288710,11286374.589999999850988
FS( 114 ),1818541.419999999925494,1444598.320000000065193,1931777.670000000158325,1570081.139999999897555,1487032.000000000000000,1564417.340000000083819,1486378.360000000102445,11302829.250000000000000
FS( 115 ),1842606.649999999906868,1448082.520000000018626,1988337.400000000139698,1587399.359999999869615,1496775.500000000000000,1567508.659999999916181,1510279.480000000214204,11440992.570000000298023
FS( 116 ),1847533.389999999897555,1460974.060000000055879,1979007.959999999962747,1591767.919999999925494,1505769.500000000000000,1583823.959999999962747,1516023.160000000149012,11484902.949999999254942
FS( 117 ),1856628.909999999916181,1458012.489999999990687,1992419.030000000027940,1578506.219999999972060,1532002.000000000000000,1582278.299999999813735,1509538.360000000102445,11509388.309999998658895
FS( 118 ),1878988.729999999748543,1456270.390000000130385,2006413.189999999711290,1602377.280000000027940,1549615.250000000000000,1597047.939999999944121,1525657.720000000204891,11616373.500000000000000
FS( 119 ),1904948.859999999869615,1537103.830000000074506,2002331.560000000288710,1606433.799999999813735,1546242.500000000000000,1595674.019999999785796,1546594.360000000102445,11739331.929999999701977
FS( 120 ),1905706.819999999832362,1581004.750000000000000,2011661.000000000000000,1610334.299999999813735,1545867.750000000000000,1599108.819999999832362,1545853.240000000223517,11799539.680000001564622
FS( 121 ),1905896.309999999823049,1587973.150000000139698,2049561.849999999860302,1625624.259999999776483,1551863.749999999767169,1613363.239999999990687,1552152.760000000009313,11886438.319999998435378
FS( 122 ),1919918.569999999832362,1585882.630000000121072,2037316.959999999962747,1608618.079999999841675,1540996.000000000000000,1610100.179999999934807,1552338.040000000270084,11855173.460000000894070
FS( 123 ),1924087.350000000093132,1588844.199999999953434,2029736.790000000037253,1610646.339999999850988,1551863.749999999767169,1619374.140000000130385,1560860.920000000158325,11885416.490000000223517
FS( 124 ),1911770.500000000000000,1596335.229999999981374,2029153.699999999720603,1613922.759999999776483,1558984.000000000000000,1617828.479999999981374,1577165.560000000288710,11905163.230000000447035
FS( 125 ),1935267.259999999776483,1600516.270000000018626,2028570.609999999869615,1610490.319999999832362,1558984.000000000000000,1627445.919999999925494,1600510.840000000083819,11961788.219999998807907
FS( 126 ),1937541.139999999897555,1611665.710000000195578,2020407.349999999860302,1606277.780000000027940,1560108.250000000000000,1620232.840000000083819,1599769.720000000204891,11956005.790000000968575
FS( 127 ),1942278.389999999897555,1628912.500000000000000,2036150.780000000027940,1618447.339999999850988,1563481.000000000000000,1626587.219999999739230,1606069.240000000223517,12021929.470000000670552
FS( 128 ),1957437.589999999850988,1587973.150000000139698,2015742.630000000121072,1612674.599999999860302,1560483.000000000000000,1623324.159999999916181,1600696.120000000111759,11958334.250000000000000
FS( 129 ),1874819.949999999953434,1550518.000000000000000,2015742.630000000121072,1618915.399999999906868,1565729.500000000000000,1622465.459999999962747,1608107.320000000298023,11856301.260000001639128
FS( 130 ),1859281.770000000018626,1566719.530000000027940,2035567.689999999711290,1620163.560000000055879,1569102.250000000000000,1618858.919999999925494,1613109.880000000121072,11882806.599999999627471
FS( 131 ),1875388.419999999925494,1595986.810000000055879,2040815.500000000000000,1629212.719999999972060,1567978.000000000232831,1618000.219999999739230,1625894.200000000186265,11953278.870000001043081
FS( 132 ),1863829.529999999795109,1582224.219999999972060,2060057.469999999972060,1623439.979999999748543,1565729.500000000000000,1601856.659999999916181,1628858.680000000167638,11925999.039999999105930
FS( 133 ),1856818.399999999906868,1549298.530000000027940,2035567.689999999711290,1619539.479999999748543,1571725.500000000000000,1594643.579999999841675,1640901.880000000121072,11868498.059999998658895
FS( 134 ),1913854.889999999897555,1554873.250000000000000,2041981.680000000167638,1638105.859999999869615,1580344.750000000000000,1600139.260000000009313,1616630.200000000186265,11945932.890000000596046
FS( 135 ),1922002.959999999962747,1554350.619999999878928,2041981.680000000167638,1631240.979999999748543,1572100.250000000000000,1595845.760000000009313,1613480.440000000176951,11931005.689999997615814
FS( 136 ),1926361.229999999748543,1547730.640000000130385,2018658.079999999841675,1631709.039999999804422,1553737.500000000000000,1587258.760000000009313,1596805.240000000223517,11862263.490000000223517
FS( 137 ),1925792.759999999776483,1557137.979999999981374,2013993.359999999869615,1633893.319999999832362,1555236.500000000000000,1606665.379999999888241,1594026.040000000270084,11886748.340000001713634
FS( 138 ),1911202.029999999795109,1572642.669999999925494,2036733.869999999878928,1651991.639999999897555,1560483.000000000000000,1608211.040000000037253,1614962.680000000167638,11956229.929999999701977
FS( 139 ),1924845.309999999823049,1589192.619999999878928,2039649.319999999832362,1656828.259999999776483,1559358.750000000000000,1608382.780000000027940,1611812.920000000158325,11990072.959999999031425
FS( 140 ),1928824.600000000093132,1604348.890000000130385,2050728.030000000027940,1674926.579999999841675,1566104.250000000000000,1627789.399999999906868,1623670.840000000083819,12076395.590000001713634
FS( 141 ),1913096.929999999701977,1608704.140000000130385,2030319.880000000121072,1684911.859999999869615,1575847.750000000000000,1624869.819999999832362,1626820.600000000093132,12064573.980000000447035
FS( 142 ),1914991.829999999841675,1600864.689999999944121,2023905.890000000130385,1683195.639999999897555,1582218.500000000000000,1624698.079999999841675,1626264.760000000009313,12056142.390000000596046
FS( 143 ),1944931.250000000000000,1593896.289999999804422,2006996.280000000027940,1676642.799999999813735,1569851.750000000000000,1606665.379999999888241,1604401.720000000204891,12003388.470000000670552
FS( 144 ),1928066.639999999897555,1620550.419999999925494,2026238.250000000000000,1695053.159999999916181,1584092.250000000232831,1627961.140000000130385,1634417.080000000074506,12116381.940000001341105
FS( 145 ),1854544.520000000018626,1601038.900000000139698,1990669.760000000009313,1671026.079999999841675,1565729.500000000000000,1609241.479999999981374,1596805.240000000223517,11889058.480000000447035
FS( 146 ),1909117.639999999897555,1617414.640000000130385,1997666.839999999850988,1671026.079999999841675,1581469.000000000000000,1621263.280000000027940,1604587.000000000000000,12002547.479999998584390
FS( 147 ),1896990.279999999795109,1618111.479999999981374,2034984.599999999860302,1662288.959999999962747,1583342.750000000000000,1610443.659999999916181,1602919.480000000214204,12009084.210000000894070
FS( 148 ),1909117.639999999897555,1598251.539999999804422,2030319.880000000121072,1663069.060000000055879,1598707.499999999767169,1613363.239999999990687,1598102.200000000186265,12010934.059999998658895
FS( 149 ),1879367.709999999962747,1585708.419999999925494,1981923.410000000149012,1627340.479999999748543,1601705.500000000000000,1598937.079999999841675,1572718.840000000083819,11847704.439999999478459
FS( 150 ),1893010.989999999990687,1606962.039999999804422,1954518.180000000167638,1620319.579999999841675,1598707.499999999767169,1598421.859999999869615,1573089.400000000372529,11845032.549999998882413
