代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,15272573.400000000372529
真實報酬,5272573.400000000372529

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,20710.953480907104677
風險,248398.003872037283145
起點值,0.083378099493812
找到最佳解世代,2512
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,8
AAPL[0](1),BA[2](11),HD[9](21),JNJ[12](9),MCD[15](25),MRK[17](20),MSFT[18](7),PG[21](4),
FS( 10 ),1353025.919999999925494,1325125.100000000093132,1346515.360000000335276,1220069.910000000149012,1220809.880000000121072,1215728.380000000121072,1218928.159999999916181,1264001.119999999878928,10164203.830000000074506
FS( 11 ),1396489.980000000214204,1354046.500000000232831,1362251.560000000055879,1230203.720000000204891,1237780.880000000121072,1197203.180000000167638,1279129.850000000093132,1307560.159999999916181,10364665.830000000074506
FS( 12 ),1419026.899999999906868,1351577.600000000093132,1369070.580000000307336,1250235.669999999925494,1269233.800000000046566,1191645.620000000111759,1242879.369999999878928,1339451.599999999860302,10433121.139999998733401
FS( 13 ),1385221.520000000251457,1286680.800000000046566,1319239.280000000027940,1236566.810000000055879,1252036.520000000018626,1168025.989999999990687,1204686.899999999906868,1315338.559999999823049,10167796.380000000819564
FS( 14 ),1399709.540000000037253,1292676.700000000186265,1357006.160000000149012,1236331.140000000130385,1258824.920000000158325,1090220.150000000139698,1227990.780000000027940,1331932.479999999748543,10194691.870000001043081
FS( 15 ),1397294.870000000111759,1315602.200000000186265,1372742.360000000335276,1206165.380000000121072,1227598.280000000027940,1063821.739999999990687,1215691.510000000009313,1286039.919999999925494,10084956.260000001639128
FS( 16 ),1441563.820000000065193,1337822.300000000279397,1351236.220000000204891,1211350.120000000111759,1251357.679999999934807,1075863.120000000111759,1224754.130000000121072,1278780.079999999841675,10172727.470000000670552
FS( 17 ),1424661.130000000121072,1365685.600000000093132,1380085.920000000158325,1200037.960000000195578,1228955.960000000195578,1086051.979999999981374,1353572.800000000046566,1283706.399999999906868,10322757.750000001862645
FS( 18 ),1434319.810000000055879,1392138.100000000093132,1357530.700000000186265,1198623.939999999944121,1233029.000000000000000,1085588.850000000093132,1320558.969999999972060,1295633.279999999795109,10317422.650000000372529
FS( 19 ),1424661.130000000121072,1370270.700000000186265,1367496.960000000195578,1193674.870000000111759,1233934.120000000111759,1073084.340000000083819,1290134.459999999962747,1288373.439999999711290,10241630.019999999552965
FS( 20 ),1439149.149999999906868,1430229.700000000186265,1381659.540000000270084,1202630.330000000074506,1231218.760000000009313,1106892.830000000074506,1310849.020000000018626,1307300.879999999888241,10409930.210000000894070
FS( 21 ),1447198.050000000046566,1412594.700000000186265,1380610.460000000195578,1233974.439999999944121,1205875.399999999906868,1122639.250000000000000,1311496.350000000093132,1281891.439999999711290,10396280.089999999850988
FS( 22 ),1463295.850000000093132,1453507.900000000139698,1351760.760000000242144,1239394.850000000093132,1185736.479999999981374,1125418.030000000260770,1310201.689999999944121,1283447.119999999878928,10412762.679999999701977
FS( 23 ),1518833.260000000242144,1487719.800000000279397,1374840.520000000251457,1266968.239999999990687,1194108.840000000083819,1140238.190000000176951,1306965.040000000037253,1322079.839999999850988,10611753.730000000447035
FS( 24 ),1526077.270000000251457,1521931.700000000186265,1373791.440000000176951,1281108.439999999944121,1202933.760000000009313,1138848.800000000046566,1281071.839999999850988,1290966.239999999757856,10616729.490000000223517
FS( 25 ),1523662.600000000093132,1558965.200000000186265,1365923.340000000083819,1277573.390000000130385,1214926.599999999860302,1139775.060000000055879,1281071.839999999850988,1318190.639999999897555,10680088.670000001788139
FS( 26 ),1484222.990000000223517,1535334.300000000279397,1343368.120000000111759,1293598.950000000186265,1208138.199999999953434,1167562.860000000102445,1250647.330000000074506,1331154.639999999897555,10614027.390000000596046
FS( 27 ),1485832.770000000251457,1616455.300000000046566,1337598.180000000167638,1295719.979999999981374,1242759.040000000037253,1149500.790000000037253,1257120.630000000121072,1337118.079999999841675,10722104.770000001415610
FS( 28 ),1489857.220000000204891,1577305.600000000093132,1307699.400000000139698,1275216.689999999944121,1230992.479999999981374,1130049.330000000074506,1250647.330000000074506,1306004.479999999748543,10567772.530000001192093
FS( 29 ),1430295.360000000102445,1555438.200000000186265,1292487.740000000223517,1296191.320000000065193,1221262.439999999944121,1156910.870000000111759,1287545.140000000130385,1320783.439999999711290,10560914.509999999776483
FS( 30 ),1373953.060000000055879,1514877.700000000186265,1302454.000000000000000,1299726.370000000111759,1210401.000000000000000,1188866.840000000083819,1278482.520000000018626,1321302.000000000000000,10490063.490000000223517
FS( 31 ),1413392.669999999925494,1532160.000000000000000,1286717.800000000279397,1296662.660000000149012,1212211.239999999990687,1206465.780000000260770,1298549.750000000000000,1317153.519999999785796,10563313.420000001788139
FS( 32 ),1407758.439999999944121,1516641.200000000186265,1279898.780000000027940,1305853.790000000037253,1209722.160000000149012,1179604.239999999990687,1308907.030000000027940,1313782.879999999888241,10522168.519999999552965
FS( 33 ),1456051.840000000083819,1564961.100000000093132,1364874.260000000242144,1320936.669999999925494,1226466.880000000121072,1192108.750000000000000,1333505.570000000065193,1361749.679999999934807,10820654.750000000000000
FS( 34 ),1465710.520000000251457,1573778.600000000093132,1291963.200000000186265,1317165.950000000186265,1218999.639999999897555,1193498.140000000130385,1314733.000000000000000,1372898.719999999972060,10748747.770000001415610
FS( 35 ),1447198.050000000046566,1572367.800000000046566,1250000.000000000000000,1316694.610000000102445,1272854.280000000027940,1208318.300000000046566,1319264.310000000055879,1400641.679999999934807,10787339.029999999329448
FS( 36 ),1427880.689999999944121,1526869.500000000232831,1200693.240000000223517,1295955.650000000139698,1260182.599999999860302,1209707.690000000176951,1283013.830000000074506,1374713.679999999934807,10579016.880000000819564
FS( 37 ),1408563.330000000074506,1514525.000000000000000,1199119.620000000111759,1290770.910000000149012,1291635.520000000018626,1212023.340000000083819,1278482.520000000018626,1374972.959999999962747,10570093.199999999254942
FS( 38 ),1503540.350000000093132,1557554.400000000139698,1248426.380000000121072,1302318.739999999990687,1331460.800000000046566,1230085.410000000149012,1316674.989999999990687,1394418.959999999962747,10884480.030000001192093
FS( 39 ),1530101.720000000204891,1536745.100000000093132,1223773.000000000000000,1277809.060000000055879,1308380.239999999990687,1233327.320000000065193,1303081.060000000055879,1342562.959999999962747,10755780.460000000894070
FS( 40 ),1553443.530000000027940,1563197.600000000093132,1190726.980000000214204,1285114.830000000074506,1315394.920000000158325,1239811.140000000130385,1323795.619999999878928,1363564.639999999897555,10835049.259999999776483
FS( 41 ),1561492.429999999934807,1581890.700000000186265,1214855.820000000065193,1299962.040000000037253,1334855.000000000000000,1277324.670000000158325,1352278.140000000130385,1346711.439999999711290,10969370.240000000223517
FS( 42 ),1602541.820000000065193,1682410.200000000186265,1267309.820000000065193,1314573.580000000074506,1354315.080000000074506,1275009.020000000251457,1385291.969999999972060,1383529.199999999953434,11264980.690000001341105
FS( 43 ),1604151.600000000093132,1735315.200000000186265,1285144.180000000167638,1324707.390000000130385,1366307.920000000158325,1282882.229999999981374,1385291.969999999972060,1392604.000000000000000,11376404.490000002086163
FS( 44 ),1621054.290000000037253,1706041.100000000093132,1278325.160000000149012,1323529.040000000037253,1380111.000000000000000,1277787.800000000046566,1406653.860000000102445,1395196.800000000046566,11388699.050000000745058
FS( 45 ),1652445.000000000232831,1783635.100000000093132,1288815.960000000195578,1315987.600000000093132,1363140.000000000000000,1231011.670000000158325,1413127.159999999916181,1383269.919999999925494,11431432.410000000149012
FS( 46 ),1663713.460000000195578,1856996.700000000186265,1267834.360000000335276,1318108.630000000121072,1354767.639999999897555,1207392.040000000037253,1433194.390000000130385,1378862.159999999916181,11480869.380000000819564
FS( 47 ),1654054.780000000027940,1863345.300000000046566,1288291.420000000158325,1311038.530000000027940,1328745.439999999944121,1200908.220000000204891,1427368.420000000158325,1377825.039999999804422,11451577.150000000372529
FS( 48 ),1641176.540000000037253,1846415.700000000186265,1277276.080000000307336,1312688.220000000204891,1336891.520000000018626,1191182.489999999990687,1429310.409999999916181,1358897.599999999860302,11393838.560000000521541
FS( 49 ),1613005.389999999897555,1844652.200000000186265,1279374.240000000223517,1311745.540000000037253,1320599.360000000102445,1185161.800000000046566,1459734.920000000158325,1350341.359999999869615,11364614.810000000521541
FS( 50 ),1608980.939999999944121,1786809.400000000139698,1270981.600000000093132,1320936.669999999925494,1304986.040000000037253,1212949.600000000093132,1477860.159999999916181,1348526.399999999906868,11332030.810000000521541
FS( 51 ),1575175.560000000055879,1814320.000000000000000,1266785.280000000027940,1321172.340000000083819,1320599.360000000102445,1207855.170000000158325,1510226.659999999916181,1362527.519999999785796,11378661.890000000596046
FS( 52 ),1564711.990000000223517,1746601.600000000325963,1251049.080000000307336,1290299.570000000065193,1307475.120000000111759,1155984.610000000102445,1516052.630000000121072,1330895.359999999869615,11163069.960000000894070
FS( 53 ),1567931.550000000046566,1722265.300000000046566,1216953.980000000214204,1287235.860000000102445,1291409.239999999990687,1131438.720000000204891,1517994.619999999878928,1299003.919999999925494,11034233.189999999478459
FS( 54 ),1559077.760000000242144,1712389.700000000186265,1240558.280000000027940,1300904.720000000204891,1298197.639999999897555,1147185.140000000130385,1532883.209999999962747,1296670.399999999906868,11087866.849999999627471
FS( 55 ),1562297.320000000065193,1726850.400000000139698,1224822.080000000307336,1314809.250000000000000,1316073.760000000009313,1187940.580000000074506,1521231.270000000018626,1326746.879999999888241,11180771.539999999105930
FS( 56 ),1604151.600000000093132,1708510.000000000000000,1233739.260000000242144,1321879.350000000093132,1316300.040000000037253,1199981.960000000195578,1558129.080000000074506,1313005.039999999804422,11255696.330000000074506
FS( 57 ),1579200.010000000242144,1654194.200000000186265,1219576.680000000167638,1307739.150000000139698,1294350.880000000121072,1166173.470000000204891,1506990.010000000009313,1310930.800000000046566,11039155.200000001117587
FS( 58 ),1540565.290000000037253,1547326.100000000093132,1200168.700000000186265,1296426.989999999990687,1284394.560000000055879,1162931.560000000055879,1510873.989999999990687,1310671.519999999785796,10853358.710000000894070
FS( 59 ),1566321.770000000251457,1457387.600000000093132,1189677.900000000139698,1307032.140000000130385,1273985.679999999934807,1178677.979999999981374,1519289.280000000027940,1310671.519999999785796,10803043.869999999180436
FS( 60 ),1608176.050000000046566,1500064.300000000279397,1236361.960000000195578,1326121.410000000149012,1300234.160000000149012,1230548.540000000037253,1540003.839999999850988,1339970.159999999916181,11081480.420000001788139
FS( 61 ),1637956.980000000214204,1477138.800000000279397,1238460.120000000111759,1333898.520000000018626,1289825.280000000027940,1250463.130000000121072,1511521.320000000065193,1341785.119999999878928,11081049.269999999552965
FS( 62 ),1632322.750000000232831,1504296.700000000186265,1252098.160000000149012,1342382.640000000130385,1295029.719999999972060,1289829.180000000167638,1544535.149999999906868,1354230.559999999823049,11214724.860000001266599
FS( 63 ),1637956.980000000214204,1499006.200000000186265,1239509.200000000186265,1338611.919999999925494,1300913.000000000000000,1294923.610000000102445,1538709.179999999934807,1324931.919999999925494,11174562.010000001639128
FS( 64 ),1641981.429999999934807,1489483.300000000046566,1243705.520000000251457,1344975.010000000009313,1317431.439999999944121,1299091.780000000260770,1556187.089999999850988,1348267.119999999878928,11241122.689999999478459
FS( 65 ),1609785.830000000074506,1440105.300000000046566,1196496.920000000158325,1319286.979999999981374,1300007.880000000121072,1250926.260000000242144,1512815.979999999981374,1325191.199999999953434,10954616.349999999627471
FS( 66 ),1593688.030000000027940,1430582.400000000372529,1200168.700000000186265,1334369.860000000102445,1312227.000000000000000,1291681.700000000186265,1501811.369999999878928,1352674.879999999888241,11017203.940000001341105
FS( 67 ),1556663.090000000083819,1376972.000000000232831,1174990.780000000027940,1325178.729999999981374,1285299.679999999934807,1279177.190000000176951,1458440.260000000009313,1345933.599999999860302,10802655.330000000074506
FS( 68 ),1577590.230000000214204,1394959.700000000186265,1188628.820000000065193,1345210.679999999934807,1290730.399999999906868,1298628.650000000139698,1460382.250000000000000,1364861.039999999804422,10920991.769999999552965
FS( 69 ),1567931.550000000046566,1386142.200000000186265,1189677.900000000139698,1336019.550000000046566,1284620.840000000083819,1250926.260000000242144,1452614.290000000037253,1358897.599999999860302,10826830.189999999478459
FS( 70 ),1592883.139999999897555,1398486.700000000186265,1181285.260000000242144,1341675.630000000121072,1290956.679999999934807,1224990.979999999981374,1449377.640000000130385,1353971.279999999795109,10833627.310000000521541
FS( 71 ),1636347.199999999953434,1426350.000000000000000,1212233.120000000111759,1360293.560000000055879,1295934.840000000083819,1242126.790000000037253,1503753.360000000102445,1373676.559999999823049,11050715.430000001564622
FS( 72 ),1635542.310000000055879,1425291.900000000139698,1242131.900000000139698,1372312.729999999981374,1300234.160000000149012,1257873.210000000195578,1495985.399999999906868,1388196.239999999757856,11117567.849999999627471
FS( 73 ),1688665.050000000046566,1458798.400000000139698,1263113.500000000000000,1389516.640000000130385,1291635.520000000018626,1283345.360000000102445,1561365.729999999981374,1416976.319999999832362,11353416.519999999552965
FS( 74 ),1695909.060000000055879,1483134.700000000186265,1279898.780000000027940,1396351.070000000065193,1294803.439999999944121,1290755.440000000176951,1582080.290000000037253,1431496.000000000000000,11454428.780000001192093
FS( 75 ),1745007.350000000093132,1458798.400000000139698,1294061.360000000335276,1395879.729999999981374,1308832.800000000046566,1281955.970000000204891,1572370.339999999850988,1449904.879999999888241,11506810.829999998211861
FS( 76 ),1757885.590000000083819,1488425.200000000186265,1300880.380000000121072,1391873.340000000083819,1318789.120000000111759,1293997.350000000093132,1587906.260000000009313,1440570.800000000046566,11580328.040000000968575
FS( 77 ),1741787.790000000037253,1517346.600000000325963,1283046.020000000251457,1402007.150000000139698,1326708.920000000158325,1373192.580000000074506,1607326.159999999916181,1438755.839999999850988,11690171.060000002384186
FS( 78 ),1802154.540000000037253,1481371.200000000186265,1299306.760000000242144,1394937.050000000046566,1331008.239999999990687,1363929.979999999981374,1605384.170000000158325,1422680.479999999748543,11700772.419999999925494
FS( 79 ),1815032.780000000027940,1479607.700000000186265,1326058.300000000279397,1419211.060000000055879,1269233.800000000046566,1400980.380000000121072,1654581.250000000000000,1430199.599999999860302,11794904.870000001043081
FS( 80 ),1839984.370000000111759,1494421.100000000093132,1328156.460000000195578,1449612.489999999990687,1269007.520000000018626,1435252.000000000000000,1517994.619999999878928,1447830.639999999897555,11782259.200000001117587
FS( 81 ),1840789.260000000242144,1489836.000000000232831,1319763.820000000065193,1443956.410000000149012,1266518.439999999944121,1425063.140000000130385,1495985.399999999906868,1446274.959999999962747,11728187.430000003427267
FS( 82 ),1839984.370000000111759,1525458.700000000186265,1331828.240000000223517,1435707.960000000195578,1277832.439999999944121,1390328.390000000130385,1519289.280000000027940,1444460.000000000000000,11764889.380000000819564
FS( 83 ),1839984.370000000111759,1529691.100000000093132,1331828.240000000223517,1441364.040000000037253,1276474.760000000009313,1383381.440000000176951,1540651.170000000158325,1455090.479999999748543,11798465.600000001490116
FS( 84 ),1872179.970000000204891,1525106.000000000232831,1355957.080000000307336,1456211.250000000000000,1257919.800000000046566,1386623.350000000093132,1541298.500000000000000,1457942.559999999823049,11853238.510000001639128
FS( 85 ),1878619.090000000083819,1513466.900000000139698,1360677.940000000176951,1435000.950000000186265,1245926.960000000195578,1389865.260000000242144,1522525.929999999934807,1439274.399999999906868,11785357.430000001564622
FS( 86 ),1914034.250000000232831,1544504.500000000232831,1380610.460000000195578,1439950.020000000018626,1247510.920000000158325,1390328.390000000130385,1542593.159999999916181,1441867.199999999953434,11901398.900000000372529
FS( 87 ),1903570.679999999934807,1557554.400000000139698,1379036.840000000083819,1439007.340000000083819,1244795.560000000055879,1381992.050000000046566,1538709.179999999934807,1437978.000000000000000,11882644.050000000745058
FS( 88 ),1898741.340000000083819,1552969.300000000279397,1381135.000000000000000,1424631.470000000204891,1246605.800000000046566,1371340.060000000055879,1541298.500000000000000,1397789.599999999860302,11814511.070000000298023
FS( 89 ),1885058.210000000195578,1605521.600000000325963,1392150.340000000083819,1412376.630000000121072,1240948.800000000046566,1359761.810000000055879,1518641.950000000186265,1334266.000000000000000,11748725.339999999850988
FS( 90 ),1902765.790000000037253,1646787.500000000000000,1429917.220000000204891,1411669.620000000111759,1249094.880000000121072,1394033.430000000167638,1525115.250000000000000,1349044.959999999962747,11908428.649999998509884
FS( 91 ),1893912.000000000232831,1614339.100000000325963,1421524.580000000307336,1430994.560000000055879,1273306.840000000083819,1417189.930000000167638,1516052.630000000121072,1352674.879999999888241,11919994.519999999552965
FS( 92 ),1872179.970000000204891,1600936.500000000232831,1410509.240000000223517,1419211.060000000055879,1267649.840000000083819,1404685.420000000158325,1497280.060000000055879,1346452.159999999916181,11818904.250000001862645
FS( 93 ),1901156.010000000242144,1634443.000000000232831,1426769.980000000214204,1427930.850000000093132,1273080.560000000055879,1423673.750000000000000,1523173.260000000009313,1350341.359999999869615,11960568.770000001415610
FS( 94 ),1936571.169999999925494,1644318.600000000093132,1451947.900000000139698,1421567.760000000009313,1262219.120000000111759,1434788.870000000111759,1528999.229999999981374,1356045.519999999785796,12036458.169999999925494
FS( 95 ),1918058.699999999953434,1582596.100000000093132,1423622.740000000223517,1415911.679999999934807,1250678.840000000083819,1434788.870000000111759,1533530.540000000037253,1357860.479999999748543,11917047.949999999254942
FS( 96 ),1835155.030000000027940,1557554.400000000139698,1369595.120000000111759,1409784.260000000009313,1233255.280000000027940,1430157.570000000065193,1505048.020000000018626,1353712.000000000000000,11694261.679999999701977
FS( 97 ),1885863.100000000093132,1544151.800000000279397,1412607.400000000139698,1409312.919999999925494,1250452.560000000055879,1422284.360000000102445,1526409.909999999916181,1359934.719999999972060,11811016.770000001415610
FS( 98 ),1892302.220000000204891,1534981.600000000325963,1403165.680000000167638,1422746.110000000102445,1259277.479999999981374,1457945.370000000111759,1530941.219999999972060,1369009.519999999785796,11870369.200000001117587
FS( 99 ),1912424.470000000204891,1578011.000000000232831,1399493.900000000139698,1436414.970000000204891,1270365.199999999953434,1451461.550000000046566,1532235.880000000121072,1374713.679999999934807,11955120.650000002235174
FS( 100 ),1945424.960000000195578,1617866.100000000093132,1442506.180000000167638,1438300.330000000074506,1273306.840000000083819,1507963.410000000149012,1580138.300000000046566,1389233.359999999869615,12194739.480000000447035
FS( 101 ),1943815.179999999934807,1662306.300000000279397,1417852.800000000279397,1444192.080000000074506,1265160.760000000009313,1505184.630000000121072,1595026.890000000130385,1383010.639999999897555,12216549.280000003054738
FS( 102 ),1947839.630000000121072,1701808.700000000186265,1433064.460000000195578,1440892.700000000186265,1277379.880000000121072,1526025.480000000214204,1595026.890000000130385,1384566.319999999832362,12306604.060000000521541
FS( 103 ),1925302.710000000195578,1686642.600000000093132,1446177.960000000195578,1428873.530000000027940,1289825.280000000027940,1513520.970000000204891,1589200.920000000158325,1383529.199999999953434,12263073.169999999925494
FS( 104 ),1948644.520000000251457,1827722.600000000093132,1445128.880000000121072,1425574.150000000139698,1293445.760000000009313,1522320.439999999944121,1598263.540000000037253,1375750.800000000046566,12436850.690000001341105
FS( 105 ),1955083.639999999897555,1800212.000000000232831,1452472.440000000176951,1420860.750000000000000,1268781.239999999990687,1496848.290000000037253,1597616.209999999962747,1379121.439999999711290,12370996.009999999776483
FS( 106 ),1934156.500000000232831,1751892.100000000325963,1431490.840000000083819,1424395.800000000046566,1272628.000000000000000,1501942.720000000204891,1595674.219999999972060,1402975.199999999953434,12315155.380000000819564
FS( 107 ),1900351.120000000111759,1720149.100000000325963,1402641.140000000130385,1412612.300000000046566,1259051.199999999953434,1472302.400000000139698,1553597.770000000018626,1374713.679999999934807,12095418.710000000894070
FS( 108 ),1899546.230000000214204,1707099.200000000186265,1391625.800000000279397,1408370.239999999990687,1252941.639999999897555,1426915.660000000149012,1544535.149999999906868,1369009.519999999785796,12000043.439999999478459
FS( 109 ),1914839.139999999897555,1709215.400000000139698,1411033.780000000027940,1406720.550000000046566,1257467.239999999990687,1400517.250000000000000,1560718.399999999906868,1370824.479999999748543,12031336.240000000223517
FS( 110 ),1958303.199999999953434,1733551.700000000186265,1417852.800000000279397,1421567.760000000009313,1270365.199999999953434,1421821.229999999981374,1593732.229999999981374,1370565.199999999953434,12187759.320000000298023
FS( 111 ),1988084.130000000121072,1745896.200000000186265,1441457.100000000093132,1427459.510000000009313,1272175.439999999944121,1434325.739999999990687,1606678.830000000074506,1405308.719999999972060,12321385.669999999925494
FS( 112 ),1967961.880000000121072,1782224.300000000279397,1436211.700000000186265,1435707.960000000195578,1246605.800000000046566,1461187.280000000260770,1604089.510000000009313,1393900.399999999906868,12327888.830000001937151
FS( 113 ),1984059.679999999934807,1780813.500000000232831,1444079.800000000279397,1429580.540000000037253,1241175.080000000074506,1480175.610000000102445,1618330.770000000018626,1453016.239999999757856,12431231.220000000670552
FS( 114 ),1979230.340000000083819,1811145.700000000186265,1434113.540000000270084,1423924.460000000195578,1230766.199999999953434,1507037.150000000139698,1609268.149999999906868,1442645.039999999804422,12438130.580000000074506
FS( 115 ),1997742.810000000055879,1797743.100000000093132,1443030.720000000204891,1422039.100000000093132,1227145.719999999972060,1523246.700000000186265,1618330.770000000018626,1433829.519999999785796,12463108.439999999478459
FS( 116 ),2013840.610000000102445,1836540.100000000093132,1437785.320000000065193,1417561.370000000111759,1244116.719999999972060,1514447.230000000214204,1631277.369999999878928,1426828.959999999962747,12522397.679999999701977
FS( 117 ),2091110.050000000046566,1846768.400000000139698,1471880.420000000158325,1418504.050000000046566,1277832.439999999944121,1489901.340000000083819,1631277.369999999878928,1434088.800000000046566,12661362.869999999180436
FS( 118 ),2121695.870000000111759,1865108.800000000279397,1464536.860000000335276,1432172.910000000149012,1277606.160000000149012,1482491.260000000009313,1637750.670000000158325,1439792.959999999962747,12721155.490000002086163
FS( 119 ),2127330.100000000093132,1870046.600000000325963,1480797.600000000093132,1432408.580000000074506,1289825.280000000027940,1476470.570000000065193,1635161.350000000093132,1486204.079999999841675,12798244.160000000149012
FS( 120 ),2116061.640000000130385,1864403.400000000139698,1476076.740000000223517,1429816.210000000195578,1270365.199999999953434,1473691.790000000037253,1637750.670000000158325,1480499.919999999925494,12748665.570000000298023
FS( 121 ),2120890.979999999981374,1874279.000000000232831,1448800.660000000149012,1439478.679999999934807,1262897.960000000195578,1450998.420000000158325,1668175.179999999934807,1484129.839999999850988,12749650.720000000670552
FS( 122 ),2132964.330000000074506,1847121.100000000093132,1434638.080000000307336,1432172.910000000149012,1256788.399999999906868,1450998.420000000158325,1664291.200000000186265,1484389.119999999878928,12703363.560000000521541
FS( 123 ),2113646.970000000204891,1826664.500000000232831,1418377.340000000083819,1430994.560000000055879,1269912.639999999897555,1436178.260000000242144,1679179.790000000037253,1499686.639999999897555,12674640.700000002980232
FS( 124 ),2096744.280000000027940,1817141.600000000325963,1408411.080000000307336,1428637.860000000102445,1288693.880000000121072,1447293.380000000121072,1653933.920000000158325,1504094.399999999906868,12644950.400000002235174
FS( 125 ),2140208.339999999850988,1871810.100000000093132,1429917.220000000204891,1443956.410000000149012,1293672.040000000037253,1483417.520000000251457,1672059.159999999916181,1507983.599999999860302,12843024.390000000596046
FS( 126 ),2131354.550000000279397,1926478.600000000093132,1407362.000000000000000,1435943.630000000121072,1293672.040000000037253,1475081.180000000167638,1666880.520000000018626,1501501.599999999860302,12838274.119999999180436
FS( 127 ),2131354.550000000279397,1909901.700000000186265,1397395.740000000223517,1435000.950000000186265,1291409.239999999990687,1464892.320000000065193,1664938.530000000027940,1501760.879999999888241,12796653.910000000149012
FS( 128 ),2079841.590000000083819,1837950.900000000139698,1380610.460000000195578,1409548.590000000083819,1283942.000000000000000,1444051.470000000204891,1610562.810000000055879,1468054.479999999748543,12514562.300000000745058
FS( 129 ),2125720.320000000298023,1812909.200000000186265,1365398.800000000279397,1407663.229999999981374,1283263.160000000149012,1465818.580000000074506,1615741.450000000186265,1471425.119999999878928,12547939.860000001266599
FS( 130 ),2138598.560000000055879,1843946.800000000279397,1371693.280000000027940,1409784.260000000009313,1281000.360000000102445,1471376.140000000130385,1595026.890000000130385,1469610.159999999916181,12581036.450000001117587
FS( 131 ),2184477.290000000037253,1844299.500000000232831,1379036.840000000083819,1420860.750000000000000,1299781.599999999860302,1505647.760000000009313,1625451.399999999906868,1478684.959999999962747,12738240.100000001490116
FS( 132 ),2187696.850000000093132,1826664.500000000232831,1371168.740000000223517,1430758.890000000130385,1292993.199999999953434,1490827.600000000093132,1624804.070000000065193,1476610.719999999972060,12701524.570000002160668
FS( 133 ),2176428.390000000130385,1844652.200000000186265,1410509.240000000223517,1436179.300000000046566,1286883.639999999897555,1501942.720000000204891,1661701.880000000121072,1494760.319999999832362,12813057.690000001341105
FS( 134 ),2190111.520000000018626,1858407.500000000000000,1414181.020000000251457,1455032.900000000139698,1283036.880000000121072,1507963.410000000149012,1653933.920000000158325,1492426.800000000046566,12855093.950000001117587
