代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13940631.609999999403954
真實報酬,3940631.609999999403954

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,15770.873476702898188
風險,351661.374096422339790
起點值,0.044846760657822
找到最佳解世代,2290
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](3),VZ[26](8),
FS( 73 ),4344588.480000000447035,3630719.100000000093132,3210501.540000000037253,11185810.120000001043081
FS( 74 ),4351777.500000000000000,3659414.250000000000000,3227360.759999999776483,11238553.509999999776483
FS( 75 ),4319426.910000000149012,3653153.489999999757856,3199663.469999999739230,11172244.870000001043081
FS( 76 ),4251131.219999998807907,3620806.229999999981374,3210501.540000000037253,11082439.989999998360872
FS( 77 ),4070207.549999999813735,3530025.209999999497086,3125001.209999999962747,10725234.969999998807907
FS( 78 ),4148088.599999999627471,3540459.809999999590218,3147881.580000000074506,10836430.989999998360872
FS( 79 ),4223573.310000000521541,3530025.209999999497086,3094895.459999999962747,10848494.980000000447035
FS( 80 ),4197213.570000000298023,3539416.350000000093132,3085261.620000000111759,10821892.539999999105930
FS( 81 ),4178042.849999999627471,3443939.760000000242144,3032275.500000000000000,10654259.109999999403954
FS( 82 ),4336201.289999999105930,3506025.629999999888241,3105733.529999999795109,10947961.449999999254942
FS( 83 ),4397307.960000000894070,3488808.540000000037253,3098508.149999999906868,10984625.650000000372529
FS( 84 ),4464405.480000000447035,3462200.309999999590218,3063585.479999999981374,10990192.269999999552965
FS( 85 ),4518323.130000000819564,3535764.239999999757856,3105733.529999999795109,11159821.900000000372529
FS( 86 ),4503945.089999999850988,3539938.079999999608845,3111754.679999999701977,11155638.849999999627471
FS( 87 ),4381731.750000000000000,3479939.129999999888241,3063585.479999999981374,10925257.359999999403954
FS( 88 ),4295463.509999999776483,3482547.779999999795109,3049134.719999999739230,10827147.009999997913837
FS( 89 ),4267905.599999999627471,3567589.769999999552965,3116571.599999999627471,10952067.969999998807907
FS( 90 ),4162466.640000000130385,3561329.010000000242144,3127409.669999999925494,10851206.320000000298023
FS( 91 ),4288274.490000000223517,3619241.040000000037253,3191233.859999999869615,11098750.390000000596046
FS( 92 ),4339795.800000000745058,3628110.450000000186265,3215318.459999999962747,11183225.710000000894070
FS( 93 ),4352975.669999999925494,3615588.929999999701977,3223748.069999999832362,11192313.669999999925494
FS( 94 ),4445234.759999999776483,3672979.229999999981374,3277938.419999999925494,11396153.410000000149012
FS( 95 ),4574637.119999999180436,3667240.200000000186265,3285163.799999999813735,11527042.119999999180436
FS( 96 ),4653716.339999999850988,3654718.679999999701977,3275529.959999999962747,11583965.980000000447035
FS( 97 ),4690859.609999999403954,3645849.269999999552965,3279142.649999999906868,11615852.529999999329448
FS( 98 ),4624960.259999999776483,3647936.189999999944121,3271917.270000000018626,11544814.719999998807907
FS( 99 ),4687265.099999999627471,3581154.750000000000000,3271917.270000000018626,11540338.119999999180436
FS( 100 ),4638140.130000000819564,3580633.019999999552965,3302023.020000000018626,11520797.169999999925494
FS( 101 ),4604591.369999999180436,3533677.319999999832362,3261079.199999999720603,11399348.889999998733401
FS( 102 ),4565051.759999999776483,3517503.689999999944121,3214114.229999999981374,11296670.679999999701977
FS( 103 ),4592609.669999999925494,3512808.119999999646097,3232177.679999999701977,11337596.469999998807907
FS( 104 ),4385326.259999999776483,3467417.609999999403954,3222543.839999999850988,11075288.709999999031425
FS( 105 ),4305048.869999999180436,3436635.540000000037253,3155106.959999999962747,10896792.369999999180436
FS( 106 ),4253527.560000000521541,3480460.859999999403954,3167149.259999999776483,10901138.679999999701977
FS( 107 ),4227167.820000000298023,3450722.250000000000000,3228564.989999999757856,10906456.060000000521541
FS( 108 ),4255923.900000000372529,3449157.059999999590218,3204480.389999999664724,10909562.349999999627471
FS( 109 ),4427262.210000000894070,3511764.659999999683350,3193642.319999999832362,11132670.190000001341105
FS( 110 ),4417676.849999999627471,3600980.489999999757856,3224952.299999999813735,11243610.640000000596046
FS( 111 ),4444036.589999999850988,3611415.089999999850988,3209297.309999999590218,11264749.989999998360872
FS( 112 ),4404496.980000000447035,3648979.649999999906868,3190029.629999999888241,11243507.260000001639128
FS( 113 ),4309841.550000000745058,3695935.350000000093132,3238198.830000000074506,11243976.730000000447035
FS( 114 ),4325417.759999999776483,3699065.729999999981374,3232177.679999999701977,11256662.169999999925494
FS( 115 ),4303850.700000001117587,3721500.119999999646097,3227360.759999999776483,11252712.580000000074506
FS( 116 ),4277490.960000000894070,3648979.649999999906868,3214114.229999999981374,11140585.840000001713634
FS( 117 ),4203204.419999999925494,3647414.459999999497086,3217726.919999999925494,11068346.799999998882413
FS( 118 ),4311039.719999998807907,3697500.540000000037253,3211705.770000000018626,11220247.029999999329448
FS( 119 ),4351777.500000000000000,3657849.059999999590218,3193642.319999999832362,11203269.879999998956919
FS( 120 ),4433253.060000000521541,3725152.229999999981374,3251445.359999999869615,11409851.650000000372529
FS( 121 ),4448829.269999999552965,3646892.729999999981374,3374276.819999999832362,11469999.820000000298023
FS( 122 ),4438045.740000000223517,3697500.540000000037253,3405586.799999999813735,11541134.080000000074506
FS( 123 ),4520719.469999998807907,3672979.229999999981374,3442917.929999999701977,11636617.629999998956919
FS( 124 ),4466801.820000000298023,3640110.239999999757856,3481453.290000000037253,11588366.350000001490116
FS( 125 ),4417676.849999999627471,3619762.769999999552965,3477840.599999999627471,11515281.219999998807907
FS( 126 ),4403298.810000000521541,3638023.319999999832362,3499516.739999999757856,11540839.870000001043081
FS( 127 ),4482378.029999999329448,3665153.279999999795109,3559728.239999999757856,11707260.549999998882413
FS( 128 ),4483576.200000001117587,3675587.879999999888241,3557319.779999999795109,11716484.860000001266599
FS( 129 ),4501548.750000000000000,3688109.399999999906868,3540460.559999999590218,11730119.710000000894070
FS( 130 ),4479981.689999999478459,3675587.879999999888241,3558524.009999999776483,11714094.579999998211861
FS( 131 ),4452423.779999999329448,3742891.049999999348074,3558524.009999999776483,11753839.839999997988343
FS( 132 ),4479981.689999999478459,3804455.189999999944121,3595855.139999999664724,11880293.019999999552965
FS( 133 ),4440442.080000000074506,3800281.350000000093132,3615122.819999999832362,11855847.250000000000000
FS( 134 ),4282283.640000000596046,3734021.639999999664724,3559728.239999999757856,11576034.519999999552965
FS( 135 ),4309841.550000000745058,3759586.409999999683350,3651249.719999999739230,11720678.679999999701977
FS( 136 ),4264311.089999999850988,3750717.000000000000000,3616327.049999999813735,11631356.140000000596046
FS( 137 ),4239149.519999999552965,3745499.700000000186265,3607897.439999999944121,11592547.660000000149012
FS( 138 ),4313436.060000000521541,3820107.089999999850988,3633186.270000000018626,11766730.419999999925494
FS( 139 ),4331408.609999999403954,3821672.279999999795109,3630777.809999999590218,11783859.699999999254942
FS( 140 ),4277490.960000000894070,3807063.839999999850988,3566953.620000000111759,11651509.420000001788139
FS( 141 ),4272698.279999999329448,3812802.869999999646097,3536847.870000000111759,11622350.019999999552965
FS( 142 ),4206798.929999999701977,3826367.850000000093132,3541664.790000000037253,11574832.570000000298023
FS( 143 ),4107350.820000000298023,3794020.589999999850988,3548890.169999999925494,11450262.580000000074506
FS( 144 ),4157673.960000000428408,3818541.899999999906868,3571770.540000000037253,11547987.400000000372529
FS( 145 ),4113341.669999999925494,3816976.709999999497086,3552502.859999999869615,11482822.239999998360872
FS( 146 ),4136106.900000000372529,3860280.299999999348074,3593446.679999999701977,11589834.879999998956919
FS( 147 ),4150484.939999999944121,3795064.049999999348074,3545277.479999999981374,11490827.469999998807907
FS( 148 ),4161268.469999999739230,3811759.409999999683350,3556115.549999999813735,11529144.429999999701977
FS( 149 ),4284679.980000000447035,3888975.450000000186265,3644024.339999999850988,11817680.769999999552965
FS( 150 ),4315832.400000000372529,3914018.489999999757856,3625960.889999999664724,11855812.780000001192093
FS( 151 ),4429658.550000000745058,3917670.600000000093132,3636798.959999999962747,11984129.109999999403954
FS( 152 ),4412884.169999999925494,3954713.429999999701977,3639207.419999999925494,12006806.019999999552965
FS( 153 ),4500350.580000000074506,3969321.869999999646097,3668108.939999999944121,12137782.389999998733401
FS( 154 ),4502746.919999999925494,3880106.040000000037253,3713869.679999999701977,12096723.640000000596046
FS( 155 ),4508737.769999999552965,3913496.760000000242144,3711461.219999999739230,12133696.750000000000000
FS( 156 ),4571042.609999999403954,3890540.639999999664724,3721095.059999999590218,12182679.309999998658895
FS( 157 ),4587816.990000000223517,3857671.649999999906868,3722299.290000000037253,12167788.929999999701977
FS( 158 ),4624960.259999999776483,3897844.859999999403954,3756017.729999999981374,12278823.849999999627471
FS( 159 ),4733993.730000000447035,3902540.429999999701977,3783715.020000000018626,12420250.179999999701977
FS( 160 ),4713624.839999999850988,3877497.389999999664724,3815025.000000000000000,12406148.230000000447035
FS( 161 ),4847819.880000000819564,3918714.059999999590218,3864398.430000000167638,12630933.370000001043081
FS( 162 ),4857405.240000000223517,3939583.260000000242144,3892095.719999999739230,12689085.219999998807907
FS( 163 ),4925700.929999999701977,3919757.519999999552965,3900525.330000000074506,12745984.779999999329448
FS( 164 ),4944871.650000000372529,3894192.750000000000000,3874032.270000000018626,12713097.669999999925494
FS( 165 ),5003581.980000000447035,3918192.329999999608845,3930631.080000000074506,12852406.390000000596046
FS( 166 ),4983213.089999999850988,3900453.510000000242144,3957124.139999999664724,12840791.739999998360872
FS( 167 ),4910124.719999998807907,3893671.019999999552965,3940264.919999999925494,12744061.659999998286366
FS( 168 ),4918511.910000000149012,3884279.879999999888241,3933039.539999999571592,12735832.329999998211861
FS( 169 ),4857405.240000000223517,3887410.260000000242144,3924609.930000000167638,12669426.429999999701977
FS( 170 ),4835838.179999999701977,3908801.189999999944121,3960736.830000000074506,12705377.199999999254942
FS( 171 ),4769938.830000000074506,3910366.379999999888241,3977596.049999999813735,12657902.260000001639128
FS( 172 ),4946069.820000000298023,3955756.889999999664724,4042624.469999999739230,12944452.179999999701977
FS( 173 ),4934088.119999999180436,3933844.229999999981374,4004089.109999999869615,12872022.459999999031425
FS( 174 ),4950862.500000000000000,3957843.809999999590218,3965553.750000000000000,12874261.059999998658895
FS( 175 ),5033536.230000000447035,3970365.329999999608845,3953511.449999999720603,12957414.009999999776483
FS( 176 ),5055103.289999999105930,3943757.100000000093132,3977596.049999999813735,12976457.439999997615814
FS( 177 ),5110219.109999999403954,3943235.369999999646097,3918588.779999999795109,12972044.259999997913837
FS( 178 ),5137777.019999999552965,3952104.779999999795109,3878849.189999999944121,12968731.989999998360872
FS( 179 ),5174920.289999999105930,4019407.950000000186265,3906546.479999999515712,13100875.719999998807907
FS( 180 ),5386996.380000000819564,4042364.069999999832362,3905342.250000000000000,13334703.700000001117587
FS( 181 ),5443310.369999999180436,4034016.389999999664724,3924609.930000000167638,13401937.689999997615814
FS( 182 ),5297133.630000000819564,4016799.299999999348074,3872828.039999999571592,13186761.969999998807907
FS( 183 ),5315106.179999999701977,4038711.959999999497086,3930631.080000000074506,13284450.219999998807907
FS( 184 ),5298331.800000000745058,4092450.149999999906868,3916180.320000000298023,13306963.270000001415610
FS( 185 ),5262386.700000001117587,4098189.179999999701977,3864398.430000000167638,13224975.310000000521541
FS( 186 ),5286350.099999999627471,4106015.129999999888241,3895708.410000000149012,13288074.640000000596046
FS( 187 ),5273170.230000000447035,4109145.510000000242144,3913771.859999999869615,13296088.599999999627471
FS( 188 ),5269575.719999998807907,4042364.069999999832362,3914976.089999999850988,13226916.879999998956919
FS( 189 ),5225243.429999999701977,4042364.069999999832362,3902933.789999999571592,13170542.289999999105930
FS( 190 ),5152155.060000000521541,4057494.239999999757856,3911363.399999999441206,13121013.699999999254942
FS( 191 ),5206072.710000000894070,4063233.269999999552965,3901729.559999999590218,13171036.539999999105930
FS( 192 ),5294737.289999999105930,4090363.229999999981374,3949898.759999999310821,13335000.279999999329448
FS( 193 ),5354645.789999999105930,4095580.529999999795109,3972779.129999999888241,13423006.449999999254942
FS( 194 ),5448103.050000000745058,4131058.169999999925494,4036603.320000000298023,13615765.540000000968575
FS( 195 ),5427734.160000000149012,4137318.929999999701977,4025765.250000000000000,13590819.339999999850988
FS( 196 ),5454093.900000000372529,4137840.659999999683350,3994455.270000000018626,13586390.830000000074506
FS( 197 ),5409761.609999999403954,4126884.329999999608845,3975187.589999999850988,13511834.529999999329448
FS( 198 ),5443310.369999999180436,4147753.529999999795109,3955919.910000000149012,13546984.809999998658895
FS( 199 ),5420545.140000000596046,4158188.129999999888241,3929426.850000000093132,13508161.119999999180436
FS( 200 ),5271972.060000000521541,4113841.079999999608845,3920997.240000000223517,13306811.380000000819564
FS( 201 ),5255197.679999999701977,4125319.139999999664724,3946286.070000000298023,13326803.890000000596046
FS( 202 ),5161740.419999999925494,4039233.689999999944121,3876440.729999999515712,13077415.839999999850988
FS( 203 ),5143767.869999999180436,4088798.040000000037253,3894504.180000000167638,13127071.089999999850988
FS( 204 ),5279161.080000000074506,4122710.489999999757856,3931835.309999999590218,13333707.879999998956919
FS( 205 ),5250405.000000000000000,4155057.750000000000000,3924609.930000000167638,13330073.679999999701977
FS( 206 ),5364231.150000000372529,4148796.989999999757856,3913771.859999999869615,13426801.000000000000000
FS( 207 ),5283953.759999999776483,4122188.760000000242144,3900525.330000000074506,13306668.849999999627471
FS( 208 ),5388194.550000000745058,4146710.069999999832362,3895708.410000000149012,13430614.030000001192093
FS( 209 ),5391789.060000000521541,4097667.450000000186265,3878849.189999999944121,13368306.700000001117587
FS( 210 ),5424139.650000000372529,4083059.010000000242144,3841518.059999999590218,13348717.719999998807907
FS( 211 ),5325889.710000000894070,4085145.929999999701977,3854764.589999999850988,13265801.230000000447035
FS( 212 ),5415752.460000000894070,4136797.200000000186265,3895708.410000000149012,13448259.070000000298023
FS( 213 ),5445706.710000000894070,4141492.769999999552965,3942673.379999999888241,13529873.859999999403954
FS( 214 ),5433725.009999999776483,4161318.510000000242144,3961941.059999999590218,13556985.579999998211861
FS( 215 ),5480453.640000000596046,4151927.369999999646097,3960736.830000000074506,13593118.839999999850988
FS( 216 ),5446904.880000000819564,4191578.850000000093132,3967962.210000000428408,13606446.940000001341105
FS( 217 ),5494831.679999999701977,4108102.049999999348074,3971574.899999999441206,13574509.629999998956919
FS( 218 ),5473264.619999999180436,4049146.559999999590218,4041420.240000000223517,13563832.419999999925494
FS( 219 ),5486444.490000000223517,4046537.909999999683350,4099223.279999999795109,13632206.679999999701977
FS( 220 ),5505615.210000000894070,4023060.059999999590218,4107652.889999999664724,13636329.160000000149012
FS( 221 ),5482849.980000000447035,4023060.059999999590218,4175089.770000000018626,13681000.809999998658895
FS( 222 ),5484048.150000000372529,4016277.569999999832362,4170272.850000000093132,13670599.570000000298023
FS( 223 ),5498426.189999999478459,4002190.859999999403954,4185927.839999999850988,13686545.889999998733401
FS( 224 ),5487642.660000000149012,4007408.159999999683350,4171477.080000000074506,13666528.900000000372529
FS( 225 ),5515200.570000000298023,4013147.189999999944121,4183519.379999999888241,13711868.140000000596046
FS( 226 ),5548749.330000000074506,4010016.809999999590218,4207603.980000000447035,13766371.120000001043081
FS( 227 ),5565523.710000000894070,4017842.760000000242144,4236505.500000000000000,13819872.970000000670552
FS( 228 ),5539163.969999998807907,4015234.109999999403954,4267815.480000000447035,13822214.559999998658895
FS( 229 ),5557136.519999999552965,3987582.419999999925494,4275040.859999999403954,13819760.799999998882413
FS( 230 ),5571514.560000000521541,3987582.419999999925494,4289491.619999999180436,13848589.599999999627471
FS( 231 ),5567920.050000000745058,4016799.299999999348074,4284674.699999999254942,13869395.049999998882413
FS( 232 ),5540362.140000000596046,4004799.510000000242144,4282266.240000000223517,13827428.890000000596046
FS( 233 ),5521191.419999999925494,4004799.510000000242144,4308759.300000000745058,13834751.230000000447035
FS( 234 ),5641008.419999999925494,3996451.829999999608845,4387034.250000000000000,14024495.500000000000000
FS( 235 ),5670962.669999999925494,3876975.659999999683350,4474943.039999999105930,14022882.369999999180436
FS( 236 ),5716493.130000000819564,3895236.209999999497086,4536358.769999999552965,14148089.109999999403954
FS( 237 ),5712898.619999999180436,3871758.359999999403954,4362949.650000000372529,13947607.629999998956919
FS( 238 ),5753636.400000000372529,3880106.040000000037253,4326822.750000000000000,13960566.190000001341105
FS( 239 ),5861471.700000001117587,3837845.909999999683350,4325618.519999999552965,14024937.130000000819564
FS( 240 ),5848291.830000000074506,3855584.729999999981374,4258181.640000000596046,13962059.200000001117587
FS( 241 ),5895020.460000000894070,3839932.829999999608845,4271428.169999999925494,14006382.460000000894070
FS( 242 ),5916587.519999999552965,3791411.939999999944121,4311167.759999999776483,14019168.219999998807907
FS( 243 ),5964514.320000000298023,3863932.409999999683350,4270223.939999999478459,14098671.669999999925494
FS( 244 ),5830319.279999999329448,3896279.669999999925494,4137758.639999999664724,13864358.589999999850988
FS( 245 ),5800365.029999999329448,3931235.579999999608845,4166660.160000000149012,13898261.769999999552965
FS( 246 ),5694926.070000000298023,3921322.709999999497086,4167864.389999999664724,13784114.169999998062849
FS( 247 ),5591883.450000001117587,3913496.760000000242144,4208808.210000000894070,13714189.420000001788139
FS( 248 ),5776401.630000000819564,3932800.769999999552965,4243730.880000000819564,13952934.280000001192093
FS( 249 ),5843499.150000000372529,3938018.069999999832362,4309963.529999999329448,14091481.750000000000000
FS( 250 ),5885435.099999999627471,3921844.439999999944121,4383421.560000000521541,14190702.099999999627471
FS( 251 ),5874651.570000000298023,3879062.579999999608845,4394259.630000000819564,14147974.780000001192093
FS( 252 ),5752438.230000000447035,3823237.469999999739230,4290695.849999999627471,13866372.549999998882413
FS( 253 ),5807554.050000000745058,3843584.939999999944121,4289491.619999999180436,13940631.609999999403954
