代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13255693.169999999925494
真實報酬,3255693.169999999925494

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,12664.895263752461688
風險,160685.507442499481840
起點值,0.078817906265035
找到最佳解世代,2032
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](9),BA[2](7),CAT[3](17),DD[7](3),MRK[17](13),MSFT[18](15),UNH[23](6),UTX[24](2),
FS( 12 ),1236456.439999999944121,1324028.599999999860302,1305666.500000000232831,1323606.060000000055879,1268603.439999999944121,1301954.719999999972060,1300653.020000000018626,1306559.360000000102445,10367528.139999998733401
FS( 13 ),1232672.210000000195578,1356107.659999999916181,1319056.550000000279397,1350612.600000000093132,1258207.400000000139698,1332134.300000000046566,1315304.719999999972060,1336486.399999999906868,10500581.840000001713634
FS( 14 ),1260356.840000000083819,1353365.859999999869615,1328986.250000000000000,1342669.500000000000000,1236868.159999999916181,1340156.719999999972060,1309444.040000000037253,1334839.040000000037253,10506686.410000000149012
FS( 15 ),1250995.850000000093132,1353777.129999999888241,1325525.900000000139698,1349023.980000000214204,1294867.119999999878928,1331370.260000000009313,1315932.649999999906868,1339232.000000000000000,10560724.890000000596046
FS( 16 ),1255775.929999999934807,1342535.750000000000000,1319507.900000000139698,1324135.600000000093132,1277905.159999999916181,1322201.780000000027940,1303583.359999999869615,1321385.600000000093132,10467031.080000000074506
FS( 17 ),1257966.800000000046566,1367486.129999999888241,1308224.150000000139698,1323606.060000000055879,1294867.119999999878928,1304628.860000000102445,1305257.839999999850988,1310952.320000000065193,10472989.280000001192093
FS( 18 ),1266531.110000000102445,1370913.379999999888241,1297090.850000000093132,1322811.750000000000000,1290216.259999999776483,1309213.100000000093132,1298978.540000000037253,1304774.720000000204891,10460529.709999999031425
FS( 19 ),1255975.100000000093132,1372421.369999999878928,1296789.950000000186265,1321223.130000000121072,1302800.939999999944121,1337864.600000000093132,1325770.219999999972060,1317541.760000000009313,10530387.070000000298023
FS( 20 ),1265933.600000000093132,1358438.189999999944121,1301303.449999999953434,1317516.350000000093132,1282282.439999999944121,1332516.320000000065193,1325979.530000000027940,1305872.960000000195578,10489842.839999999850988
FS( 21 ),1284854.750000000232831,1378316.239999999990687,1300099.850000000093132,1312220.950000000186265,1287754.040000000037253,1338246.620000000111759,1353399.139999999897555,1317404.479999999981374,10572296.070000002160668
FS( 22 ),1279676.330000000074506,1357478.559999999823049,1290922.400000000139698,1299247.219999999972060,1277631.580000000074506,1333280.360000000102445,1310909.209999999962747,1302852.800000000279397,10451998.460000000894070
FS( 23 ),1282464.710000000195578,1381058.039999999804422,1295887.250000000000000,1294746.130000000121072,1325508.080000000074506,1359639.740000000223517,1314467.479999999981374,1307383.040000000037253,10561154.469999998807907
FS( 24 ),1278481.310000000055879,1365566.869999999878928,1292727.800000000279397,1305336.929999999934807,1352592.500000000000000,1336718.540000000037253,1305257.839999999850988,1294341.440000000176951,10531023.229999998584390
FS( 25 ),1266531.110000000102445,1350212.789999999804422,1270160.300000000279397,1269063.440000000176951,1333168.319999999832362,1328696.120000000111759,1292489.929999999934807,1276906.880000000121072,10387228.890000002458692
FS( 26 ),1247609.960000000195578,1367623.219999999972060,1263841.400000000139698,1277800.850000000093132,1329611.780000000027940,1335572.479999999981374,1296048.199999999953434,1273337.600000000093132,10391445.489999998360872
FS( 27 ),1257170.120000000111759,1405048.789999999804422,1273620.650000000139698,1295275.670000000158325,1318395.000000000000000,1362695.900000000139698,1309653.349999999860302,1297361.600000000093132,10519221.080000000074506
FS( 28 ),1248804.980000000214204,1401621.539999999804422,1260832.400000000139698,1294481.360000000102445,1325781.659999999916181,1355055.500000000000000,1332886.760000000009313,1292419.520000000018626,10511883.720000000670552
FS( 29 ),1245020.750000000000000,1394904.129999999888241,1256619.800000000046566,1282037.170000000158325,1301159.459999999962747,1330988.240000000223517,1338119.510000000009313,1286104.640000000130385,10434953.700000001117587
FS( 30 ),1229684.660000000149012,1382977.299999999813735,1251955.850000000093132,1274094.070000000065193,1292678.479999999981374,1337100.560000000055879,1336026.409999999916181,1272376.640000000130385,10376893.970000000670552
FS( 31 ),1240439.840000000083819,1400524.819999999832362,1280992.700000000186265,1306396.010000000242144,1310461.179999999934807,1326404.000000000000000,1342724.330000000074506,1294478.720000000204891,10502421.600000001490116
FS( 32 ),1223709.560000000055879,1396000.849999999860302,1261885.550000000279397,1282301.940000000176951,1311829.080000000074506,1314179.360000000102445,1335398.479999999981374,1290772.160000000149012,10416076.980000000447035
FS( 33 ),1229087.150000000139698,1412451.649999999906868,1262637.800000000279397,1287332.570000000065193,1307725.379999999888241,1337100.560000000055879,1347329.150000000139698,1303951.040000000037253,10487615.300000000745058
FS( 34 ),1228489.640000000130385,1426846.099999999860302,1272116.150000000139698,1305336.929999999934807,1306357.479999999981374,1336336.520000000018626,1374748.760000000009313,1320287.360000000102445,10570518.939999999478459
FS( 35 ),1203593.390000000130385,1401758.629999999888241,1267602.650000000139698,1285743.950000000186265,1301706.619999999878928,1321437.740000000223517,1365957.739999999990687,1292968.640000000130385,10440769.360000001266599
FS( 36 ),1186066.429999999934807,1365978.139999999897555,1251805.400000000139698,1251588.620000000111759,1266961.959999999962747,1279415.540000000037253,1335398.479999999981374,1267846.399999999906868,10205060.970000000670552
FS( 37 ),1176506.270000000018626,1370639.199999999953434,1250601.800000000279397,1230407.020000000018626,1285838.979999999981374,1271011.100000000093132,1337491.579999999841675,1265512.640000000130385,10188008.589999999850988
FS( 38 ),1145435.750000000000000,1341439.029999999795109,1226529.800000000046566,1219816.219999999972060,1269697.759999999776483,1288202.000000000000000,1353189.830000000074506,1256040.320000000065193,10100350.710000000894070
FS( 39 ),1145634.920000000158325,1352680.409999999916181,1238716.250000000000000,1225376.390000000130385,1264773.319999999832362,1286291.900000000139698,1333933.309999999823049,1260021.440000000176951,10107427.940000001341105
FS( 40 ),1132688.870000000111759,1381195.129999999888241,1235255.900000000139698,1214256.050000000046566,1277358.000000000000000,1312269.260000000009313,1355910.859999999869615,1276495.040000000037253,10185429.109999999403954
FS( 41 ),1120340.330000000074506,1414096.729999999981374,1248194.600000000093132,1219816.219999999972060,1293499.219999999972060,1322583.800000000046566,1383330.469999999972060,1283770.880000000121072,10285632.250000000000000
FS( 42 ),1128307.130000000121072,1404363.339999999850988,1241123.449999999953434,1212932.200000000186265,1270792.080000000074506,1319527.640000000130385,1370562.560000000055879,1275945.920000000158325,10223554.320000000298023
FS( 43 ),1164356.900000000139698,1415330.539999999804422,1244583.800000000046566,1225376.390000000130385,1267235.540000000037253,1312651.280000000027940,1373702.209999999729916,1300656.320000000065193,10303892.980000000447035
FS( 44 ),1190647.340000000083819,1391065.609999999869615,1240973.000000000232831,1223258.230000000214204,1273527.879999999888241,1296606.439999999944121,1366167.049999999813735,1287752.000000000000000,10269997.550000000745058
FS( 45 ),1197219.949999999953434,1410532.389999999897555,1231494.650000000139698,1222728.690000000176951,1273527.879999999888241,1299280.580000000074506,1371818.420000000158325,1300519.040000000037253,10307121.600000001490116
FS( 46 ),1187659.790000000037253,1428491.179999999934807,1235857.700000000186265,1232525.179999999934807,1290216.259999999776483,1306920.979999999981374,1385004.949999999953434,1325229.440000000176951,10391905.479999998584390
FS( 47 ),1180888.010000000009313,1430821.709999999962747,1251805.400000000139698,1247617.070000000065193,1297055.759999999776483,1311505.219999999972060,1414099.040000000037253,1331407.040000000037253,10465199.250000000000000
FS( 48 ),1201800.860000000102445,1435071.500000000000000,1283851.250000000000000,1282831.480000000214204,1302800.939999999944121,1312269.260000000009313,1422680.750000000000000,1345684.160000000149012,10586990.200000001117587
FS( 49 ),1197020.780000000027940,1446312.879999999888241,1278284.600000000093132,1274094.070000000065193,1312102.659999999916181,1325639.960000000195578,1416820.069999999832362,1342526.720000000204891,10592801.740000000223517
FS( 50 ),1215742.760000000009313,1465231.299999999813735,1304462.900000000139698,1289450.730000000214204,1321677.959999999962747,1363459.939999999944121,1430843.839999999850988,1368609.920000000158325,10759479.349999999627471
FS( 51 ),1213551.890000000130385,1396549.209999999962747,1311534.050000000279397,1286538.260000000242144,1327970.300000000046566,1362695.900000000139698,1423308.679999999934807,1370531.840000000083819,10692680.130000000819564
FS( 52 ),1216141.100000000093132,1448506.319999999832362,1314994.400000000139698,1297129.060000000055879,1327423.140000000130385,1381796.900000000139698,1415354.900000000139698,1376160.320000000065193,10777506.140000002458692
FS( 53 ),1224107.900000000139698,1428902.449999999953434,1326579.050000000279397,1280978.090000000083819,1319489.319999999832362,1385617.100000000093132,1400493.889999999897555,1372728.320000000065193,10738896.120000001043081
FS( 54 ),1224307.070000000065193,1436579.489999999990687,1304011.550000000279397,1309573.250000000000000,1316753.520000000018626,1365370.040000000037253,1386260.810000000055879,1384671.680000000167638,10727527.410000000149012
FS( 55 ),1228489.640000000130385,1475513.049999999813735,1289718.800000000046566,1304013.080000000074506,1296782.179999999934807,1353909.439999999944121,1476682.729999999981374,1391261.120000000111759,10816370.039999999105930
FS( 56 ),1209170.150000000139698,1466328.019999999785796,1288665.650000000139698,1307190.320000000065193,1307451.800000000046566,1199573.360000000102445,1495520.629999999888241,1406911.040000000037253,10680810.969999998807907
FS( 57 ),1212954.380000000121072,1464957.119999999878928,1293931.400000000139698,1304277.850000000093132,1305536.739999999990687,1222876.580000000074506,1510800.260000000009313,1401831.680000000167638,10717166.009999999776483
FS( 58 ),1192240.699999999953434,1477706.489999999990687,1286709.800000000046566,1302689.230000000214204,1311281.919999999925494,1215618.199999999953434,1521475.069999999832362,1443152.960000000195578,10750874.370000001043081
FS( 59 ),1253385.890000000130385,1466190.929999999934807,1255416.200000000186265,1296069.980000000214204,1306904.640000000130385,1220966.479999999981374,1518126.109999999869615,1441368.320000000065193,10758428.550000000745058
FS( 60 ),1247609.960000000195578,1462763.679999999934807,1235857.700000000186265,1319369.739999999990687,1317847.840000000083819,1199191.340000000083819,1520009.900000000139698,1438622.720000000204891,10741272.880000000819564
FS( 61 ),1254780.080000000074506,1447683.779999999795109,1234654.100000000093132,1308514.170000000158325,1326602.400000000139698,1207977.800000000046566,1511428.189999999711290,1441093.760000000009313,10732734.279999999329448
FS( 62 ),1274099.570000000065193,1436853.669999999925494,1249097.300000000046566,1319634.510000000242144,1322498.700000000186265,1204921.640000000130385,1523568.170000000158325,1442466.560000000055879,10773140.120000001043081
FS( 63 ),1289834.000000000232831,1449465.949999999953434,1251654.950000000186265,1322017.440000000176951,1314564.879999999888241,1216764.260000000009313,1512684.049999999813735,1449330.560000000055879,10806316.090000001713634
FS( 64 ),1287643.130000000121072,1440829.279999999795109,1247442.350000000093132,1321223.130000000121072,1317847.840000000083819,1216382.239999999990687,1524824.029999999795109,1449330.560000000055879,10805522.560000000521541
FS( 65 ),1299394.159999999916181,1462763.679999999934807,1270461.200000000186265,1334726.399999999906868,1329064.619999999878928,1209887.900000000139698,1531312.639999999897555,1471432.640000000130385,10909043.240000000223517
FS( 66 ),1316124.439999999944121,1479214.479999999981374,1268354.900000000139698,1365704.489999999990687,1327970.300000000046566,1218292.340000000083819,1512474.739999999990687,1479532.160000000149012,10967667.849999999627471
FS( 67 ),1335643.100000000093132,1473730.879999999888241,1257221.600000000093132,1375500.980000000214204,1327696.719999999972060,1211033.959999999962747,1535080.219999999972060,1464019.520000000018626,10979926.980000000447035
FS( 68 ),1323692.899999999906868,1467424.739999999990687,1241725.250000000232831,1359614.780000000027940,1325234.500000000000000,1206449.719999999972060,1532987.119999999878928,1444251.200000000186265,10901380.210000000894070
FS( 69 ),1323095.390000000130385,1458925.159999999916181,1240220.750000000232831,1368352.190000000176951,1328243.879999999888241,1224786.680000000167638,1526289.199999999953434,1455645.440000000176951,10925558.689999999478459
FS( 70 ),1311742.699999999953434,1450973.939999999944121,1263239.600000000093132,1391651.950000000186265,1326055.239999999990687,1256494.340000000083819,1531731.260000000009313,1458802.880000000121072,10990691.910000000149012
FS( 71 ),1293020.720000000204891,1443982.349999999860302,1271514.350000000325963,1434279.920000000158325,1323866.600000000093132,1249235.960000000195578,1526498.510000000009313,1450016.960000000195578,10992415.370000002905726
FS( 72 ),1329867.169999999925494,1429039.539999999804422,1298745.800000000046566,1413098.320000000065193,1326055.239999999990687,1255730.300000000046566,1515195.770000000018626,1448918.720000000204891,11016650.860000001266599
FS( 73 ),1393004.060000000055879,1456320.449999999953434,1302507.050000000046566,1428190.209999999962747,1324960.919999999925494,1231281.020000000018626,1535289.529999999795109,1466216.000000000000000,11137769.239999998360872
FS( 74 ),1418298.649999999906868,1427942.819999999832362,1291223.300000000046566,1423424.350000000093132,1328791.040000000037253,1235865.260000000009313,1517288.869999999878928,1442329.280000000027940,11085163.569999998435378
FS( 75 ),1416705.290000000037253,1408338.949999999953434,1291825.100000000093132,1400918.899999999906868,1312376.239999999990687,1214472.140000000130385,1494474.080000000074506,1413912.320000000065193,10953023.020000001415610
FS( 76 ),1429253.000000000232831,1418483.609999999869615,1281293.600000000093132,1390857.640000000130385,1304989.580000000074506,1214854.160000000149012,1495102.010000000009313,1415147.840000000083819,10949981.440000001341105
FS( 77 ),1444589.090000000083819,1435619.859999999869615,1266850.400000000139698,1381061.149999999906868,1301706.619999999878928,1199191.340000000083819,1500962.689999999711290,1408970.239999999990687,10938951.390000000596046
FS( 78 ),1425667.939999999944121,1434386.049999999813735,1261735.100000000093132,1393240.570000000065193,1301159.459999999962747,1207977.800000000046566,1516660.939999999711290,1405812.800000000279397,10946640.660000000149012
FS( 79 ),1429452.169999999925494,1424515.569999999832362,1247893.700000000186265,1400389.360000000102445,1298423.659999999916181,1207595.780000000027940,1503893.029999999795109,1396203.200000000186265,10908366.469999998807907
FS( 80 ),1431045.530000000027940,1441377.639999999897555,1266399.050000000279397,1402242.750000000000000,1307998.959999999962747,1237393.340000000083819,1506404.750000000000000,1413500.479999999981374,11006362.500000000000000
FS( 81 ),1425468.770000000018626,1446038.699999999953434,1262186.450000000186265,1460756.920000000158325,1305810.319999999832362,1327550.060000000055879,1518335.420000000158325,1411304.000000000000000,11157450.640000000596046
FS( 82 ),1431045.530000000027940,1446724.149999999906868,1257221.600000000093132,1457314.910000000149012,1302800.939999999944121,1304628.860000000102445,1514986.459999999729916,1404440.000000000000000,11119162.449999999254942
FS( 83 ),1390215.679999999934807,1414919.269999999785796,1244282.900000000139698,1416275.560000000055879,1288848.359999999869615,1270629.080000000074506,1496985.799999999813735,1372041.920000000158325,10894198.569999998435378
FS( 84 ),1396788.290000000037253,1415741.809999999823049,1240521.650000000139698,1412039.239999999990687,1288301.200000000186265,1261460.600000000093132,1497404.420000000158325,1372591.040000000037253,10884848.250000000000000
FS( 85 ),1398979.159999999916181,1438498.750000000000000,1241725.250000000232831,1414686.940000000176951,1288574.780000000027940,1281707.659999999916181,1516242.319999999832362,1379180.479999999981374,10959595.340000001713634
FS( 86 ),1386232.280000000027940,1424652.659999999916181,1241875.700000000186265,1410185.850000000093132,1293772.800000000046566,1275977.360000000102445,1501590.619999999878928,1374238.399999999906868,10908525.669999999925494
FS( 87 ),1390215.679999999934807,1439595.469999999972060,1241424.350000000325963,1411774.469999999972060,1291584.159999999916181,1217910.320000000065193,1518754.040000000037253,1409382.080000000074506,10920640.570000000298023
FS( 88 ),1418896.159999999916181,1458239.709999999962747,1256920.700000000186265,1424483.429999999934807,1304442.419999999925494,1191932.959999999962747,1535289.529999999795109,1418991.680000000167638,11009196.589999999850988
FS( 89 ),1409136.830000000074506,1462078.229999999981374,1248044.150000000139698,1448312.730000000214204,1299791.559999999823049,1193461.040000000037253,1549731.920000000158325,1423384.640000000130385,11033941.100000001490116
FS( 90 ),1417501.970000000204891,1454127.009999999776483,1254663.950000000186265,1453872.899999999906868,1299244.400000000139698,1190022.860000000102445,1550150.540000000037253,1417207.040000000037253,11036790.670000001788139
FS( 91 ),1440207.350000000093132,1469481.089999999850988,1287762.950000000186265,1463404.620000000111759,1306083.900000000139698,1209505.880000000121072,1554127.429999999934807,1434367.040000000037253,11164940.260000001639128
FS( 92 ),1407344.300000000046566,1482915.909999999916181,1303108.850000000093132,1507621.209999999962747,1312649.819999999832362,1237393.340000000083819,1562081.209999999729916,1458802.880000000121072,11271917.519999999552965
FS( 93 ),1330863.020000000018626,1497447.449999999953434,1310932.250000000000000,1502590.580000000074506,1317027.100000000093132,1250764.040000000037253,1573593.260000000009313,1480355.840000000083819,11263573.540000000968575
FS( 94 ),1345004.090000000083819,1505261.579999999841675,1306569.200000000186265,1465258.010000000242144,1309093.280000000027940,1248853.939999999944121,1564383.619999999878928,1480355.840000000083819,11224779.560000000521541
FS( 95 ),1322697.050000000046566,1526236.349999999860302,1309126.850000000325963,1503384.890000000130385,1307451.800000000046566,1261842.620000000111759,1558941.560000000055879,1488043.520000000018626,11277724.640000000596046
FS( 96 ),1280672.179999999934807,1585733.409999999916181,1311684.500000000232831,1500737.190000000176951,1318395.000000000000000,1253056.159999999916181,1572337.400000000139698,1506027.200000000186265,11328643.039999999105930
FS( 97 ),1295609.929999999934807,1605474.369999999878928,1310029.550000000046566,1497295.179999999934807,1313470.559999999823049,1258022.420000000158325,1555383.290000000037253,1515499.520000000018626,11350784.819999998435378
FS( 98 ),1322099.540000000037253,1623158.979999999981374,1321614.200000000186265,1540717.459999999962747,1324140.179999999934807,1272921.199999999953434,1528800.920000000158325,1524010.880000000121072,11457463.360000001266599
FS( 99 ),1343809.070000000065193,1631932.739999999990687,1320260.150000000139698,1531185.739999999990687,1320310.059999999823049,1285145.840000000083819,1482752.719999999972060,1537601.600000000093132,11452997.919999999925494
FS( 100 ),1329867.169999999925494,1598894.049999999813735,1275125.150000000139698,1497030.410000000149012,1313470.559999999823049,1252674.140000000130385,1477101.349999999860302,1504379.840000000083819,11248542.669999999925494
FS( 101 ),1395991.610000000102445,1610957.969999999972060,1279337.750000000232831,1479555.590000000083819,1304442.419999999925494,1250764.040000000037253,1503265.099999999860302,1502183.360000000102445,11326497.839999999850988
FS( 102 ),1391609.870000000111759,1631384.379999999888241,1280541.350000000093132,1474789.730000000214204,1300338.719999999972060,1240067.479999999981374,1513730.599999999860302,1510145.600000000093132,11342607.729999998584390
FS( 103 ),1370099.510000000242144,1624666.969999999972060,1271363.900000000139698,1502855.350000000093132,1304168.840000000083819,1241977.580000000074506,1506614.060000000055879,1499986.880000000121072,11321733.090000001713634
FS( 104 ),1383443.899999999906868,1636593.799999999813735,1266850.400000000139698,1507885.980000000214204,1304442.419999999925494,1251910.100000000093132,1510381.639999999897555,1505478.080000000074506,11366986.320000000298023
FS( 105 ),1373485.399999999906868,1627820.039999999804422,1260832.400000000139698,1471347.719999999972060,1307451.800000000046566,1271011.100000000093132,1506823.369999999878928,1501359.680000000167638,11320131.509999997913837
FS( 106 ),1356555.949999999953434,1610820.879999999888241,1254814.400000000139698,1448047.959999999962747,1302527.359999999869615,1271393.120000000111759,1498869.589999999850988,1480218.560000000055879,11223247.820000002160668
FS( 107 ),1388423.149999999906868,1614248.129999999888241,1260230.600000000325963,1444605.950000000186265,1333441.900000000139698,1282853.719999999972060,1519172.659999999916181,1474178.239999999990687,11317154.349999999627471
FS( 108 ),1393004.060000000055879,1615481.939999999944121,1264894.550000000046566,1459168.300000000046566,1323319.439999999944121,1295842.400000000139698,1518963.349999999860302,1441231.040000000037253,11311905.079999998211861
FS( 109 ),1375477.100000000093132,1579838.539999999804422,1263390.050000000046566,1461816.000000000000000,1323045.859999999869615,1293550.280000000027940,1517916.799999999813735,1423521.920000000158325,11238556.549999998882413
FS( 110 ),1374282.080000000074506,1606708.179999999934807,1266850.400000000139698,1507885.980000000214204,1319489.319999999832362,1294314.320000000065193,1527754.369999999878928,1431484.160000000149012,11328768.810000000521541
FS( 111 ),1387825.640000000130385,1599716.589999999850988,1256770.250000000232831,1483791.910000000149012,1310187.600000000093132,1272157.159999999916181,1510590.949999999953434,1428189.440000000176951,11249229.539999999105930
FS( 112 ),1368506.149999999906868,1582580.339999999850988,1246539.650000000139698,1452549.050000000046566,1306357.479999999981374,1261078.580000000074506,1496148.560000000055879,1410754.880000000121072,11124514.690000001341105
FS( 113 ),1384439.750000000232831,1569282.609999999869615,1256619.800000000046566,1467640.940000000176951,1293225.640000000130385,1263370.699999999953434,1494055.459999999729916,1411853.120000000111759,11140488.019999999552965
FS( 114 ),1393203.230000000214204,1630013.479999999981374,1274824.250000000232831,1523242.640000000130385,1299244.400000000139698,1289730.080000000074506,1548476.060000000055879,1454135.360000000102445,11412869.500000000000000
FS( 115 ),1402165.880000000121072,1617401.199999999953434,1288063.850000000093132,1548660.560000000055879,1293772.800000000046566,1303864.820000000065193,1554546.049999999813735,1469098.880000000121072,11477574.040000000968575
FS( 116 ),1411327.699999999953434,1637690.519999999785796,1297542.199999999953434,1539128.840000000083819,1278999.479999999981374,1316089.460000000195578,1563965.000000000000000,1467588.800000000279397,11512332.000000001862645
FS( 117 ),1418896.159999999916181,1620143.000000000000000,1290170.150000000139698,1524566.489999999990687,1274075.040000000037253,1317617.540000000037253,1546173.650000000139698,1452488.000000000000000,11444130.030000001192093
FS( 118 ),1425867.110000000102445,1649754.439999999944121,1297993.550000000046566,1550778.719999999972060,1290489.840000000083819,1323347.840000000083819,1573802.569999999832362,1461136.640000000130385,11573170.710000000894070
FS( 119 ),1435427.270000000018626,1676486.989999999990687,1291674.650000000139698,1560575.209999999962747,1288848.359999999869615,1334044.400000000139698,1493846.150000000139698,1482964.160000000149012,11563867.190000001341105
FS( 120 ),1447974.980000000214204,1679640.059999999823049,1314091.700000000186265,1557662.739999999990687,1275169.359999999869615,1335572.479999999981374,1439216.239999999990687,1479120.320000000065193,11528447.880000000819564
FS( 121 ),1483427.240000000223517,1665245.609999999869615,1319507.900000000139698,1559516.130000000121072,1272433.559999999823049,1336718.540000000037253,1427494.879999999888241,1477472.960000000195578,11541816.820000000298023
FS( 122 ),1479244.669999999925494,1679091.699999999953434,1341624.050000000279397,1566664.920000000158325,1271339.239999999990687,1321055.719999999972060,1441309.339999999850988,1457018.239999999990687,11557347.880000000819564
FS( 123 ),1493584.909999999916181,1768748.560000000055879,1260230.600000000325963,1547336.709999999962747,1273801.459999999962747,1289730.080000000074506,1423517.989999999990687,1460587.520000000018626,11517537.830000000074506
FS( 124 ),1513501.909999999916181,1768200.199999999720603,1271815.250000000232831,1531715.280000000027940,1264499.739999999990687,1288202.000000000000000,1415145.589999999850988,1469785.280000000027940,11522865.249999998137355
FS( 125 ),1496572.460000000195578,1798497.089999999850988,1275426.050000000046566,1490146.390000000130385,1273254.300000000046566,1364988.020000000018626,1415354.900000000139698,1476100.160000000149012,11590339.370000001043081
FS( 126 ),1507725.980000000214204,1780538.299999999813735,1268054.000000000232831,1474789.730000000214204,1240698.280000000027940,1358875.699999999953434,1401121.819999999832362,1455096.320000000065193,11486900.130000000819564
FS( 127 ),1470082.850000000093132,1777522.319999999832362,1264894.550000000046566,1487763.459999999962747,1246990.619999999878928,1356965.600000000093132,1424983.159999999916181,1460999.360000000102445,11490201.919999999925494
FS( 128 ),1493584.909999999916181,1777796.500000000000000,1256168.449999999953434,1480349.899999999906868,1237688.900000000139698,1357729.640000000130385,1423517.989999999990687,1454547.200000000186265,11481383.490000002086163
FS( 129 ),1487211.470000000204891,1789037.879999999888241,1254212.600000000093132,1488293.000000000000000,1233585.200000000186265,1352763.379999999888241,1428750.739999999990687,1458665.600000000093132,11492519.870000001043081
FS( 130 ),1479643.010000000242144,1823721.649999999906868,1257672.950000000186265,1468700.020000000018626,1237415.319999999832362,1357347.620000000111759,1436495.209999999729916,1475962.880000000121072,11536958.660000000149012
FS( 131 ),1498763.330000000074506,1820431.489999999757856,1262186.450000000186265,1448047.959999999962747,1250820.739999999990687,1373010.439999999944121,1443193.129999999888241,1482415.040000000037253,11578868.579999998211861
FS( 132 ),1494979.100000000093132,1831124.509999999776483,1264593.650000000139698,1459962.610000000102445,1240971.859999999869615,1399751.840000000083819,1438379.000000000000000,1478296.640000000130385,11608059.210000000894070
FS( 133 ),1482232.220000000204891,1824544.189999999944121,1267151.300000000046566,1480349.899999999906868,1257386.659999999916181,1458582.920000000158325,1471240.670000000158325,1491887.360000000102445,11733375.219999998807907
FS( 134 ),1458132.649999999906868,1802883.969999999739230,1258575.650000000139698,1458109.219999999972060,1253556.540000000037253,1432605.560000000055879,1460147.239999999990687,1472668.160000000149012,11596678.990000000223517
