代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14205234.469999998807907
真實報酬,4205234.469999998807907

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,14282.714634028621731
風險,414447.719931036408525
起點值,0.034462041765860
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),UNH[23](2),VZ[26](1),
FS( 15 ),3199405.440000000409782,3161489.639999999664724,3182371.680000000167638,9543267.759999999776483
FS( 16 ),3190724.950000000186265,3175809.919999999925494,3128804.760000000242144,9495340.630000000819564
FS( 17 ),3138642.010000000242144,3180216.160000000149012,3119065.320000000298023,9437924.490000000223517
FS( 18 ),3105160.120000000111759,3171403.679999999701977,3065498.399999999906868,9342063.199999999254942
FS( 19 ),3177084.180000000633299,3229786.359999999869615,3139761.629999999888241,9546633.170000001788139
FS( 20 ),3187004.740000000223517,3202247.359999999869615,3132457.050000000279397,9521710.150000000372529
FS( 21 ),3180804.390000000130385,3192333.319999999832362,3097151.580000000074506,9470290.289999999105930
FS( 22 ),3250248.310000000521541,3294778.399999999906868,3139761.629999999888241,9684789.339999999850988
FS( 23 ),3271329.500000000000000,3355364.200000000186265,3145848.780000000260770,9772543.480000000447035
FS( 24 ),3179564.320000000298023,3342145.479999999981374,3097151.580000000074506,9618862.380000000819564
FS( 25 ),3149802.640000000130385,3355364.200000000186265,3082542.420000000391155,9587710.259999999776483
FS( 26 ),3196925.300000000279397,3402731.279999999795109,3150718.500000000000000,9750376.080000000074506
FS( 27 ),3184524.600000000093132,3363075.120000000111759,3161675.370000000111759,9709276.089999999850988
FS( 28 ),3252728.450000000186265,3381801.639999999664724,3226199.160000000149012,9860730.250000000000000
FS( 29 ),3203125.649999999906868,3378496.959999999962747,3250547.760000000242144,9832171.369999999180436
FS( 30 ),3194445.160000000614673,3369684.479999999981374,3259069.770000000018626,9823200.410000000149012
FS( 31 ),3235367.470000000204891,3435778.080000000074506,3313854.120000000111759,9985000.670000001788139
FS( 32 ),3249008.240000000223517,3457809.279999999795109,3321158.700000000186265,10027977.219999998807907
FS( 33 ),3246528.100000000093132,3469926.439999999944121,3311419.260000000242144,10027874.800000000745058
FS( 34 ),3244047.960000000428408,3451199.919999999925494,3315071.550000000279397,10010320.430000001564622
FS( 35 ),3253968.520000000018626,3431371.839999999850988,3307766.970000000204891,9993108.330000000074506
FS( 36 ),3252728.450000000186265,3375192.279999999795109,3307766.970000000204891,9935688.700000001117587
FS( 37 ),3239087.680000000633299,3327825.200000000186265,3338202.720000000204891,9905116.600000001490116
FS( 38 ),3211806.140000000130385,3278255.000000000000000,3296810.100000000093132,9786872.240000000223517
FS( 39 ),3116320.750000000000000,3291473.719999999739230,3249330.330000000074506,9657125.800000000745058
FS( 40 ),3167163.620000000111759,3215466.080000000074506,3267591.780000000260770,9650222.480000000447035
FS( 41 ),3121281.030000000726432,3153778.719999999739230,3257852.340000000316650,9532913.089999999850988
FS( 42 ),3107640.260000000242144,3128442.839999999850988,3189676.260000000242144,9425760.359999999403954
FS( 43 ),3102679.980000000447035,3067857.040000000037253,3201850.560000000055879,9372388.580000000074506
FS( 44 ),3103920.050000000279397,3117427.240000000223517,3263939.490000000223517,9485287.780000001192093
FS( 45 ),3127481.380000000353903,3182419.279999999795109,3239590.890000000130385,9549492.550000000745058
FS( 46 ),3191965.020000000018626,3216567.639999999664724,3228634.020000000018626,9637167.679999999701977
FS( 47 ),3250248.310000000521541,3269442.520000000018626,3260287.200000000186265,9779979.030000001192093
FS( 48 ),3249008.240000000223517,3301387.759999999776483,3244460.609999999869615,9794857.609999999403954
FS( 49 ),3252728.450000000186265,3309098.679999999701977,3224981.729999999981374,9786809.859999999403954
FS( 50 ),3268849.360000000335276,3320114.279999999795109,3273678.930000000167638,9862643.570000000298023
FS( 51 ),3275049.710000000428408,3339942.359999999869615,3267591.780000000260770,9882584.850000001490116
FS( 52 ),3277529.850000000093132,3401629.719999999739230,3262722.060000000055879,9941882.630000000819564
FS( 53 ),3247768.170000000391155,3342145.479999999981374,3249330.330000000074506,9839244.980000000447035
FS( 54 ),3241567.820000000298023,3395020.359999999869615,3252982.620000000111759,9889571.800000000745058
FS( 55 ),3301091.180000000633299,3396121.919999999925494,3246895.470000000204891,9944109.570000000298023
FS( 56 ),3353174.120000000111759,3381801.639999999664724,3228634.020000000018626,9963610.779999999329448
FS( 57 ),3364334.750000000000000,3414848.439999999944121,3287070.660000000149012,10066254.849999999627471
FS( 58 ),3395336.500000000000000,3406035.959999999962747,3411248.520000000018626,10212621.980000000447035
FS( 59 ),3406497.130000000353903,3466621.759999999776483,3442901.700000000186265,10316021.589999999850988
FS( 60 ),3413937.550000000279397,3390614.120000000111759,3480642.030000000260770,10285194.699999999254942
FS( 61 ),3402776.920000000391155,3341043.919999999925494,3519599.790000000037253,10263421.629999998956919
FS( 62 ),3410217.340000000316650,3353161.080000000074506,3515947.500000000000000,10279326.919999999925494
FS( 63 ),3417657.760000000242144,3354262.639999999664724,3537861.240000000223517,10309782.640000000596046
FS( 64 ),3498262.310000000521541,3463317.080000000074506,3598732.740000000223517,10560313.130000000819564
FS( 65 ),3495782.170000000391155,3571269.959999999962747,3596297.879999999888241,10663351.010000001639128
FS( 66 ),3506942.800000000279397,3625246.399999999441206,3579253.859999999869615,10711444.059999998658895
FS( 67 ),3495782.170000000391155,3681425.959999999962747,3597515.310000000055879,10774724.440000001341105
FS( 68 ),3519343.500000000000000,3684730.640000000130385,3597515.310000000055879,10801590.450000001117587
FS( 69 ),3541664.760000000242144,3689136.880000000353903,3635255.640000000130385,10866058.280000001192093
FS( 70 ),3532984.270000000018626,3671511.919999999925494,3654734.520000000018626,10859231.709999999031425
FS( 71 ),3474700.980000000447035,3523902.879999999888241,3598732.740000000223517,10597337.600000001490116
FS( 72 ),3453619.790000000502914,3539324.720000000204891,3691257.420000000391155,10684202.930000001564622
FS( 73 ),3456099.930000000633299,3528309.120000000111759,3655951.950000000186265,10640362.000000000000000
FS( 74 ),3464780.420000000391155,3513988.839999999850988,3647429.940000000409782,10626200.199999999254942
FS( 75 ),3479661.260000000242144,3563559.040000000037253,3672995.970000000204891,10716217.270000001415610
FS( 76 ),3462300.280000000726432,3584488.679999999701977,3670561.109999999869615,10717351.070000000298023
FS( 77 ),3427578.320000000298023,3501871.679999999701977,3606037.320000000298023,10535488.320000000298023
FS( 78 ),3428818.390000000130385,3482043.600000000093132,3575601.570000000298023,10486464.560000000521541
FS( 79 ),3447419.440000000409782,3469926.439999999944121,3580471.290000000037253,10497818.170000001788139
FS( 80 ),3451139.649999999906868,3419254.679999999701977,3587775.870000000111759,10458171.199999999254942
FS( 81 ),3435018.740000000223517,3520598.200000000186265,3610907.040000000037253,10566524.980000000447035
FS( 82 ),3420137.899999999906868,3508481.040000000037253,3591428.160000000149012,10520048.099999999627471
FS( 83 ),3482141.399999999906868,3565762.159999999683350,3632820.780000000260770,10680725.339999999850988
FS( 84 ),3444939.300000000279397,3515090.399999999906868,3584123.580000000074506,10544154.280000001192093
FS( 85 ),3464780.420000000391155,3494160.759999999776483,3595080.450000000186265,10554022.629999998956919
FS( 86 ),3554065.460000000428408,3589996.480000000447035,3683952.840000000316650,10828015.780000001192093
FS( 87 ),3557785.670000000391155,3619738.600000000093132,3665691.390000000130385,10843216.660000000149012
FS( 88 ),3568946.300000000279397,3735402.399999999441206,3676648.260000000242144,10980997.959999999031425
FS( 89 ),3573906.580000000540167,3721082.120000000111759,3679083.120000000111759,10974072.820000000298023
FS( 90 ),3586307.280000000726432,3728793.040000000037253,3708301.440000000409782,11023402.760000001639128
FS( 91 ),3614828.890000000130385,3747519.560000000055879,3754563.780000000260770,11116913.230000000447035
FS( 92 ),3628469.660000000614673,3799292.880000000353903,3752128.920000000391155,11179892.460000000894070
FS( 93 ),3598707.980000000447035,3824628.759999999776483,3761868.359999999869615,11185206.099999999627471
FS( 94 ),3571426.440000000409782,3812511.600000000093132,3763085.790000000037253,11147024.830000001937151
FS( 95 ),3560265.810000000521541,3775058.560000000055879,3797173.830000000074506,11132499.200000001117587
FS( 96 ),3566466.160000000614673,3771753.880000000353903,3825174.720000000204891,11163395.760000001639128
FS( 97 ),3568946.300000000279397,3759636.720000000204891,3856827.899999999906868,11185411.919999999925494
FS( 98 ),3594987.770000000018626,3847761.520000000018626,3906742.530000000726432,11349492.820000000298023
FS( 99 ),3603668.260000000242144,3884112.999999999534339,3934743.420000000391155,11422525.679999999701977
FS( 100 ),3611108.680000000633299,3930378.520000000018626,3943265.430000000167638,11484753.630000000819564
FS( 101 ),3588787.420000000391155,3903941.079999999608845,3916481.970000000204891,11409211.470000000670552
FS( 102 ),3634670.010000000242144,3935886.319999999832362,3973701.180000000167638,11544258.509999999776483
FS( 103 ),3633429.940000000409782,3894027.040000000037253,4000484.640000000130385,11527942.620000001043081
FS( 104 ),3664431.690000000409782,3859878.679999999701977,3983440.620000000111759,11507751.990000000223517
FS( 105 ),3643350.500000000000000,3877503.640000000130385,3976136.039999999571592,11496991.179999999701977
FS( 106 ),3628469.660000000614673,3867589.600000000093132,3967614.030000000726432,11463674.290000000968575
FS( 107 ),3665671.760000000242144,3902839.520000000018626,4004136.930000000167638,11572649.210000000894070
FS( 108 ),3650790.920000000391155,3804800.679999999701977,4021180.950000000186265,11476773.550000000745058
FS( 109 ),3699153.649999999906868,3863183.359999999869615,4086922.170000000391155,11649260.179999999701977
FS( 110 ),3705354.000000000000000,3750824.239999999757856,4047964.410000000149012,11504143.650000000372529
FS( 111 ),3685512.880000000353903,3782769.480000000447035,4009006.649999999906868,11477290.010000001639128
FS( 112 ),3684272.810000000521541,3783871.040000000037253,3996832.350000000093132,11464977.200000001117587
FS( 113 ),3692953.300000000279397,3816917.839999999850988,4021180.950000000186265,11531053.089999999850988
FS( 114 ),3695433.440000000409782,3857675.560000000055879,3961526.879999999888241,11514636.879999998956919
FS( 115 ),3716514.630000000353903,3890722.359999999869615,3921351.690000000409782,11528589.679999999701977
FS( 116 ),3715274.560000000521541,3941394.120000000111759,3949352.580000000074506,11606022.260000001639128
FS( 117 ),3716514.630000000353903,3963425.319999999832362,3948135.149999999906868,11628076.099999999627471
FS( 118 ),3720234.840000000316650,3993167.439999999944121,3967614.030000000726432,11681017.310000000521541
FS( 119 ),3741316.030000000726432,3888519.239999999757856,3915264.539999999571592,11545100.810000000521541
FS( 120 ),3792158.899999999906868,4046042.319999999832362,3973701.180000000167638,11811903.400000000372529
FS( 121 ),3812000.020000000018626,4019604.880000000353903,3959092.020000000484288,11790697.920000001788139
FS( 122 ),3820680.510000000242144,4104424.999999999534339,3906742.530000000726432,11831849.040000000968575
FS( 123 ),3783478.410000000614673,4137471.800000000279397,3938395.710000000428408,11859346.920000001788139
FS( 124 ),3797119.180000000633299,4138573.359999999869615,3956657.160000000149012,11892350.700000001117587
FS( 125 ),3794639.040000000502914,3957917.520000000018626,3957874.589999999850988,11710432.150000000372529
FS( 126 ),3795879.110000000335276,3993167.439999999944121,3945700.289999999571592,11734747.839999999850988
FS( 127 ),3802079.460000000428408,3971136.239999999757856,3954222.299999999813735,11727439.000000000000000
FS( 128 ),3826880.860000000335276,3977745.600000000093132,3944482.859999999869615,11749110.320000000298023
FS( 129 ),3835561.350000000093132,4075784.439999999944121,3993180.059999999590218,11904526.849999999627471
FS( 130 ),3841761.700000000186265,4038331.399999999441206,4016311.230000000447035,11896405.330000000074506
FS( 131 ),3872763.450000000186265,4053753.239999999757856,4080835.020000000484288,12007352.710000000894070
FS( 132 ),3880203.870000000111759,4060362.600000000093132,4069878.149999999906868,12010445.620000001043081
FS( 133 ),3872763.450000000186265,4089003.159999999683350,4038224.970000000204891,11999992.580000000074506
FS( 134 ),3883924.080000000540167,4073581.319999999832362,4018746.089999999850988,11976252.490000000223517
FS( 135 ),3878963.800000000279397,4093409.399999999441206,3999267.210000000428408,11971641.410000000149012
FS( 136 ),3893844.640000000130385,4127557.759999999776483,3972483.750000000465661,11993887.150000000372529
FS( 137 ),3901285.060000000521541,4039432.959999999962747,3963961.740000000223517,11904680.760000001639128
FS( 138 ),3903765.200000000186265,3907245.759999999776483,3989527.770000000484288,11800539.730000000447035
FS( 139 ),3849202.120000000111759,3856573.999999999534339,3918916.830000000074506,11624693.949999999254942
FS( 140 ),3876483.660000000614673,3891823.919999999925494,3937178.280000000726432,11705486.860000001266599
FS( 141 ),3958328.280000000726432,3924870.720000000204891,3974918.609999999869615,11858118.610000001266599
FS( 142 ),3988089.959999999962747,3965628.439999999944121,3967614.030000000726432,11921333.430000001564622
FS( 143 ),3985609.820000000298023,4016300.200000000186265,3956657.160000000149012,11958568.179999999701977
FS( 144 ),3944687.510000000242144,3971136.239999999757856,3943265.430000000167638,11859090.179999999701977
FS( 145 ),4006691.010000000707805,3985456.520000000018626,3938395.710000000428408,11930544.240000002086163
FS( 146 ),3975689.260000000707805,3952409.720000000204891,3921351.690000000409782,11849451.670000001788139
FS( 147 ),3931046.740000000223517,4030620.480000000447035,3883611.359999999869615,11845279.580000000074506
FS( 148 ),3917405.970000000204891,4022909.560000000055879,3897003.089999999850988,11837319.620000001043081
FS( 149 ),4011651.290000000502914,4149588.959999999962747,3938395.710000000428408,12099636.960000000894070
FS( 150 ),4024051.990000000689179,4191448.239999999757856,3985875.480000000447035,12201376.710000000894070
FS( 151 ),3999250.590000000316650,4166112.359999999869615,4005354.359999999869615,12170718.310000000521541
FS( 152 ),3968248.840000000316650,4107729.679999999701977,4004136.930000000167638,12080116.449999999254942
FS( 153 ),3976929.330000000540167,4050448.560000000055879,4011441.510000000707805,12038820.400000002235174
FS( 154 ),3993050.240000000689179,4058159.480000000447035,4015093.799999999813735,12066304.519999999552965
FS( 155 ),4020331.780000000726432,4037229.839999999850988,4085704.740000000223517,12143267.360000001266599
FS( 156 ),4009171.149999999906868,4039432.959999999962747,4144141.379999999888241,12192746.489999998360872
FS( 157 ),4020331.780000000726432,4064768.839999999850988,4152663.390000000130385,12237765.010000001639128
FS( 158 ),3962048.490000000223517,4020706.439999999944121,4220839.470000000670552,12203595.400000000372529
FS( 159 ),4014131.430000000167638,3905042.640000000130385,4215969.750000000000000,12135144.820000000298023
FS( 160 ),4051333.530000000726432,3922667.600000000093132,4231796.339999999850988,12205798.470000000670552
FS( 161 ),4073654.790000000502914,3860980.239999999757856,4217187.180000000633299,12151823.210000000894070
FS( 162 ),4050093.459999999962747,3875300.520000000018626,4229361.480000000447035,12154756.460000000894070
FS( 163 ),4060014.020000000484288,3891823.919999999925494,4253710.080000000074506,12205549.019999999552965
FS( 164 ),4067454.439999999944121,3948003.480000000447035,4282928.400000000372529,12298387.320000000298023
FS( 165 ),4066214.370000000111759,3940292.560000000055879,4314581.580000000074506,12321089.509999999776483
FS( 166 ),4033972.550000000279397,3914956.679999999701977,4321886.160000000149012,12270816.390000000596046
FS( 167 ),4052573.600000000093132,3934784.759999999776483,4336495.320000000298023,12323854.679999999701977
FS( 168 ),4058773.949999999720603,3955714.399999999441206,4331625.599999999627471,12346114.949999999254942
FS( 169 ),4061254.090000000316650,3959019.079999999608845,4329190.740000000223517,12349464.910000000149012
FS( 170 ),4078615.070000000298023,3977745.600000000093132,4355974.200000000186265,12412335.870000001043081
FS( 171 ),4043893.110000000335276,4090104.720000000204891,4435107.150000000372529,12569105.980000000447035
FS( 172 ),3960808.420000000391155,4127557.759999999776483,4523979.540000000037253,12612346.719999998807907
FS( 173 ),3937247.090000000316650,4140776.480000000447035,4586068.470000000670552,12664093.040000000968575
FS( 174 ),3908725.480000000447035,4226698.160000000149012,4410758.549999999813735,12546183.190000001341105
FS( 175 ),3901285.060000000521541,4235510.640000000596046,4374235.650000000372529,12511032.350000001490116
FS( 176 ),3909965.550000000279397,4235510.640000000596046,4373018.220000000670552,12518495.410000002011657
FS( 177 ),3887644.290000000502914,4304908.919999999925494,4304842.139999999664724,12497396.350000001490116
FS( 178 ),3908725.480000000447035,4280674.599999999627471,4318233.870000000111759,12507634.949999999254942
FS( 179 ),3931046.740000000223517,4362190.040000000968575,4358409.059999999590218,12651646.839999999850988
FS( 180 ),3914925.830000000540167,4491072.560000000521541,4317016.440000000409782,12723015.830000001937151
FS( 181 ),3936007.020000000018626,4503189.720000000670552,4183099.140000000130385,12622296.880000000819564
FS( 182 ),3932286.810000000521541,4467939.800000000745058,4212317.459999999962747,12612545.070000000298023
FS( 183 ),3902525.130000000353903,4440400.800000000745058,4213534.889999999664724,12556461.820000000298023
FS( 184 ),3892604.570000000298023,4451416.400000000372529,4254927.510000000707805,12598949.480000000447035
FS( 185 ),3922366.250000000000000,4385322.800000000745058,4290232.980000000447035,12597923.030000001192093
FS( 186 ),3903765.200000000186265,4474549.160000000149012,4357191.629999999888241,12735506.990000000223517
FS( 187 ),3903765.200000000186265,4433791.439999999478459,4431454.860000000335276,12769012.500000000000000
FS( 188 ),3887644.290000000502914,4658509.679999999701977,4442411.730000000447035,12988566.700000001117587
FS( 189 ),3857882.610000000335276,4508697.519999999552965,4337712.750000000000000,12704293.879999998956919
FS( 190 ),3897564.850000000093132,4521916.240000000223517,4336495.320000000298023,12755977.410000000149012
FS( 191 ),3909965.550000000279397,4634275.359999999403954,4415628.270000000484288,12959870.179999999701977
FS( 192 ),3897564.850000000093132,4621056.640000000596046,4402236.540000000037253,12920859.030000001192093
FS( 193 ),3880203.870000000111759,4741126.679999999701977,4429020.000000000000000,13050351.550000000745058
FS( 194 ),3878963.800000000279397,4680540.880000000819564,4420497.990000000223517,12980003.670000001788139
FS( 195 ),3876483.660000000614673,4605634.800000000745058,4385192.520000000484288,12867311.980000000447035
FS( 196 ),3898804.920000000391155,4623259.759999999776483,4424150.280000000260770,12946215.960000000894070
FS( 197 ),3916165.899999999906868,4634275.359999999403954,4465542.900000000372529,13015985.160000000149012
FS( 198 ),3939727.230000000447035,4673931.519999999552965,4433889.720000000670552,13047549.470000000670552
FS( 199 ),3942207.370000000111759,4668423.720000000670552,4430237.430000000633299,13040869.519999999552965
FS( 200 ),3914925.830000000540167,4677236.199999999254942,4370583.360000000335276,12962746.390000000596046
FS( 201 ),3918646.040000000502914,4629869.119999999180436,4438759.440000000409782,12987275.600000001490116
FS( 202 ),3931046.740000000223517,4681642.439999999478459,4403453.970000000670552,13016144.150000000372529
FS( 203 ),4002970.800000000279397,4691556.480000000447035,4427802.570000000298023,13122330.850000001490116
FS( 204 ),4002970.800000000279397,4719095.480000000447035,4458238.320000000298023,13180305.600000001490116
FS( 205 ),3953368.000000000000000,4732314.199999999254942,4382757.660000000149012,13068440.859999999403954
FS( 206 ),3963288.560000000521541,4726806.400000000372529,4359626.490000000223517,13049722.450000001117587
FS( 207 ),3960808.420000000391155,4709181.439999999478459,4331625.599999999627471,13001616.459999999031425
FS( 208 ),3988089.959999999962747,4683845.560000000521541,4379105.370000000111759,13051041.890000000596046
FS( 209 ),3963288.560000000521541,4690454.919999999925494,4494761.220000000670552,13148505.700000001117587
FS( 210 ),4025292.060000000521541,4676134.640000000596046,4385192.520000000484288,13086620.220000002533197
FS( 211 ),3995530.380000000353903,4798407.800000000745058,4424150.280000000260770,13218089.460000000894070
FS( 212 ),4064974.300000000279397,4933899.679999999701977,4426585.139999999664724,13425460.120000001043081
FS( 213 ),4042653.040000000502914,4896446.640000000596046,4392497.099999999627471,13331597.780000001192093
FS( 214 ),4043893.110000000335276,4798407.800000000745058,4383975.089999999850988,13226277.000000000000000
FS( 215 ),4069934.580000000540167,4828149.919999999925494,4441194.299999999813735,13339279.800000000745058
FS( 216 ),4068694.510000000707805,4900852.880000000819564,4461890.610000000335276,13431439.000000000000000
FS( 217 ),4048853.390000000130385,4823743.679999999701977,4431454.860000000335276,13304052.929999999701977
FS( 218 ),4019091.709999999962747,4801712.480000000447035,4364496.209999999962747,13185301.400000002235174
FS( 219 ),3964528.630000000353903,4754345.400000000372529,4282928.400000000372529,13001803.430000001564622
FS( 220 ),3908725.480000000447035,4713587.679999999701977,4245188.070000000298023,12867502.230000000447035
FS( 221 ),3819440.440000000409782,4611142.599999999627471,4175794.559999999590218,12606378.599999997764826
FS( 222 ),3861602.820000000298023,4656306.560000000521541,4301189.849999999627471,12819100.230000000447035
FS( 223 ),3887644.290000000502914,4692658.040000000968575,4363278.780000000260770,12943582.110000003129244
FS( 224 ),3942207.370000000111759,4757650.080000000074506,4438759.440000000409782,13138617.890000000596046
FS( 225 ),3938487.160000000614673,4708079.880000000819564,4498413.510000000707805,13144981.550000000745058
FS( 226 ),3985609.820000000298023,4709181.439999999478459,4502065.799999999813735,13196858.059999998658895
FS( 227 ),4011651.290000000502914,4824845.240000000223517,4526414.400000000372529,13362911.930000001564622
FS( 228 ),4043893.110000000335276,4819337.439999999478459,4539806.129999999888241,13403037.679999999701977
FS( 229 ),4032732.480000000912696,4832556.160000000149012,4595807.910000000149012,13461097.550000000745058
FS( 230 ),4074894.860000000335276,4899751.320000000298023,4661549.129999999888241,13636196.309999998658895
FS( 231 ),4094735.980000000912696,5001094.839999999850988,4682245.440000000409782,13778077.260000001639128
FS( 232 ),4113337.030000000726432,4979063.640000000596046,4691984.879999999888241,13784386.550000000745058
FS( 233 ),4167900.110000000335276,5024227.599999999627471,4683462.870000000111759,13875591.580000001937151
FS( 234 ),4195181.650000000372529,5023126.040000000968575,4700506.889999999664724,13918815.580000001937151
FS( 235 ),4184021.020000000484288,4966946.480000000447035,4672506.000000000000000,13823474.500000000000000
FS( 236 ),4193941.580000000540167,4952626.199999999254942,4607982.209999999962747,13754550.989999998360872
FS( 237 ),4181540.880000000353903,4894243.519999999552965,4597025.339999999850988,13672810.740000000223517
FS( 238 ),4171620.320000000298023,4888735.720000000670552,4592155.620000000111759,13652512.660000000149012
FS( 239 ),4179060.740000000689179,4882126.359999999403954,4607982.209999999962747,13669170.309999998658895
FS( 240 ),4148058.990000000689179,4936102.800000000745058,4582416.180000000633299,13666578.970000002533197
FS( 241 ),4171620.320000000298023,4883227.919999999925494,4588503.330000000074506,13643352.570000000298023
FS( 242 ),4236103.959999999031425,4937204.359999999403954,4590938.190000000409782,13764247.509999997913837
FS( 243 ),4217502.910000000149012,4954829.320000000298023,4607982.209999999962747,13780315.440000001341105
FS( 244 ),4174100.459999999962747,4797306.240000000223517,4542240.990000000223517,13513648.689999999478459
FS( 245 ),4159219.620000000111759,4842470.199999999254942,4533718.980000000447035,13535409.800000000745058
FS( 246 ),4206342.280000001192093,4873313.880000000819564,4600677.629999999888241,13680334.790000002831221
FS( 247 ),4208822.419999999925494,5266570.800000000745058,4493543.790000000037253,13968938.010000001639128
FS( 248 ),4200141.929999999701977,5255555.199999999254942,4503283.230000000447035,13958981.359999999403954
FS( 249 ),4150539.130000000353903,5215899.040000000968575,4581198.750000000000000,13947637.920000001788139
FS( 250 ),4154259.340000000316650,5310633.199999999254942,4656679.410000000149012,14121572.949999999254942
FS( 251 ),4180300.810000000521541,5408672.040000000968575,4659114.270000000484288,14248088.120000001043081
FS( 252 ),4182780.949999999720603,5422992.320000000298023,4599460.200000000186265,14205234.469999998807907
