代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13459441.389999998733401
真實報酬,3459441.389999998733401

夏普值報酬,0.000000000000000
夏普值風險,0.000000000000000
夏普值,0.000000000000000

預期報酬,16524.777072560555098
風險,236090.916287825210020
起點值,0.069993277727021
找到最佳解世代,1805
找到最佳解實驗#,1
找到最佳解次數,40

stock[index](rank)
投資組合檔數,7
BA[2](12),DD[7](13),GS[8](5),HD[9](2),TRV[22](9),UNH[23](20),V[25](1),
FS( 60 ),1494081.250000000000000,1496163.459999999962747,1593967.000000000000000,1615975.750000000000000,1573105.000000000232831,1423334.399999999906868,1647324.039999999804422,10843953.899999998509884
FS( 61 ),1497306.369999999878928,1505619.400000000139698,1581347.500000000000000,1636854.399999999906868,1565148.999999999767169,1424119.890000000130385,1664219.599999999860302,10874619.160000000149012
FS( 62 ),1492065.549999999813735,1461491.679999999934807,1589536.750000000000000,1634590.450000000186265,1568022.000000000000000,1411028.390000000130385,1652214.859999999869615,10808952.679999999701977
FS( 63 ),1492670.259999999776483,1461141.459999999962747,1565103.250000000000000,1615975.750000000000000,1558740.000000000000000,1401864.340000000083819,1640654.739999999990687,10736152.800000000745058
FS( 64 ),1489042.000000000000000,1470947.620000000111759,1572487.000000000000000,1610441.649999999906868,1635427.000000000000000,1409719.240000000223517,1645990.180000000167638,10834057.689999999478459
FS( 65 ),1491259.270000000018626,1478302.240000000223517,1573426.750000000000000,1618491.250000000232831,1616642.000000000232831,1404744.469999999972060,1650436.379999999888241,10833305.359999999403954
FS( 66 ),1504562.889999999897555,1511222.920000000158325,1564969.000000000000000,1621258.300000000046566,1621946.000000000000000,1410504.729999999981374,1651325.619999999878928,10885792.459999999031425
FS( 67 ),1522502.619999999878928,1526632.600000000325963,1570876.000000000000000,1585789.750000000000000,1620841.000000000000000,1418883.290000000037253,1652659.479999999981374,10898187.740000002086163
FS( 68 ),1528348.149999999674037,1548696.459999999962747,1595712.250000000000000,1582016.500000000000000,1622830.000000000232831,1433807.599999999860302,1655327.199999999720603,10966741.159999998286366
FS( 69 ),1521293.199999999953434,1553599.540000000037253,1585375.000000000000000,1583022.699999999953434,1620178.000000000000000,1446637.270000000018626,1643767.079999999841675,10953875.790000000968575
FS( 70 ),1498112.649999999674037,1547645.800000000046566,1590879.250000000000000,1569942.099999999860302,1618410.000000000000000,1423858.060000000055879,1636208.539999999804422,10885059.399999998509884
FS( 71 ),1492065.549999999813735,1566907.900000000139698,1602424.750000000000000,1561137.850000000093132,1621504.000000000000000,1415217.669999999925494,1632206.959999999962747,10891467.679999999701977
FS( 72 ),1504764.459999999962747,1586870.440000000176951,1657870.000000000000000,1592581.600000000093132,1639626.000000000000000,1423334.399999999906868,1657550.300000000046566,11062600.200000001117587
FS( 73 ),1522301.049999999813735,1635551.020000000251457,1715329.000000000000000,1584783.550000000046566,1642720.000000000000000,1438782.370000000111759,1675335.099999999860302,11214805.089999999850988
FS( 74 ),1522099.479999999981374,1617339.580000000074506,1708348.000000000000000,1553842.900000000139698,1622830.000000000232831,1426738.190000000176951,1657994.919999999925494,11109196.070000000298023
FS( 75 ),1536007.810000000055879,1620491.560000000288710,1741507.750000000000000,1558873.899999999906868,1631448.999999999767169,1452135.699999999953434,1694898.379999999888241,11235367.099999997764826
FS( 76 ),1535403.099999999860302,1595625.940000000176951,1724323.750000000000000,1542523.150000000139698,1609348.999999999767169,1440877.010000000009313,1675779.719999999739230,11123884.670000001788139
FS( 77 ),1531371.699999999953434,1605081.880000000121072,1712241.250000000000000,1548811.900000000139698,1599183.000000000000000,1436164.070000000065193,1680670.539999999804422,11113527.339999999850988
FS( 78 ),1532379.549999999813735,1616989.360000000102445,1707139.750000000000000,1537995.250000000000000,1597194.000000000000000,1419668.780000000027940,1664664.219999999739230,11076033.910000000149012
FS( 79 ),1528549.719999999972060,1601929.900000000139698,1700561.500000000000000,1536234.400000000139698,1587248.999999999767169,1425429.040000000037253,1660662.639999999897555,11040619.200000001117587
FS( 80 ),1505570.739999999757856,1577064.280000000260770,1685122.750000000000000,1525669.300000000046566,1574431.000000000000000,1410242.899999999906868,1652214.859999999869615,10930318.829999998211861
FS( 81 ),1519075.929999999934807,1612436.500000000000000,1712509.750000000000000,1555855.300000000046566,1587248.999999999767169,1420192.440000000176951,1685116.739999999990687,11092438.660000000149012
FS( 82 ),1553544.399999999674037,1648509.160000000149012,1767552.250000000000000,1596857.949999999953434,1610233.000000000000000,1428047.340000000083819,1727355.639999999897555,11332102.740000000223517
FS( 83 ),1561607.199999999953434,1653412.240000000223517,1757886.250000000000000,1592330.050000000046566,1622609.000000000000000,1361280.690000000176951,1728689.500000000000000,11277817.929999999701977
FS( 84 ),1566041.739999999757856,1677227.200000000186265,1805813.499999999767169,1589311.449999999953434,1636753.000000000000000,1363898.990000000223517,1742472.719999999739230,11381521.599999997764826
FS( 85 ),1534596.819999999832362,1675476.100000000325963,1802457.249999999767169,1580758.750000000232831,1614653.000000000000000,1363898.990000000223517,1754922.079999999841675,11326765.990000000223517
FS( 86 ),1494282.819999999832362,1650960.700000000186265,1786213.000000000232831,1590317.649999999906868,1617526.000000000000000,1345832.719999999972060,1771373.020000000018626,11256508.910000000149012
FS( 87 ),1547295.729999999981374,1670923.240000000223517,1803262.750000000000000,1589059.900000000139698,1634101.000000000000000,1371230.229999999981374,1798494.840000000083819,11414370.690000001341105
FS( 88 ),1553947.540000000037253,1687733.800000000046566,1844209.000000000000000,1600379.649999999906868,1645372.000000000000000,1390605.649999999906868,1784267.000000000000000,11506517.640000000596046
FS( 89 ),1515044.529999999795109,1688784.459999999962747,1840987.000000000000000,1602392.050000000046566,1654211.999999999767169,1383012.580000000074506,1791380.919999999925494,11475816.540000000968575
FS( 90 ),1543062.759999999776483,1709797.660000000149012,1827562.000000000000000,1596857.949999999953434,1656422.000000000000000,1397151.399999999906868,1785600.859999999869615,11516457.629999998956919
FS( 91 ),1550923.989999999757856,1700341.719999999972060,1820312.500000000000000,1608680.800000000046566,1669903.000000000000000,1403958.979999999981374,1783377.760000000009313,11537501.750000000000000
FS( 92 ),1498515.790000000037253,1678628.080000000074506,1894150.000000000000000,1606416.850000000093132,1669682.000000000000000,1405006.299999999813735,1780710.039999999804422,11533112.059999998658895
FS( 93 ),1517060.229999999981374,1686332.920000000158325,1893075.999999999767169,1636351.300000000046566,1677417.000000000232831,1424381.719999999972060,1777153.079999999841675,11611775.250000001862645
FS( 94 ),1512625.689999999944121,1685632.480000000214204,1939257.999999999767169,1646916.399999999906868,1686478.000000000000000,1428571.000000000000000,1759368.280000000027940,11658852.849999999627471
FS( 95 ),1494887.529999999795109,1693337.320000000065193,1959395.499999999767169,1653959.800000000046566,1722722.000000000000000,1466798.180000000167638,1767816.059999999823049,11758919.389999998733401
FS( 96 ),1497507.939999999944121,1699641.280000000260770,1954159.750000000000000,1671819.849999999860302,1715871.000000000000000,1463918.049999999813735,1767816.059999999823049,11770736.930000001564622
FS( 97 ),1518269.649999999674037,1717152.280000000260770,1946104.750000000000000,1694207.799999999813735,1725816.000000000000000,1472034.780000000027940,1773596.119999999878928,11847184.379999998956919
FS( 98 ),1512424.119999999878928,1724857.120000000111759,1939392.250000000000000,1706030.649999999906868,1731561.999999999767169,1467321.840000000083819,1776708.459999999962747,11858299.440000001341105
FS( 99 ),1491662.409999999916181,1716802.060000000288710,1935230.500000000000000,1699993.449999999953434,1709461.999999999767169,1461299.750000000000000,1738026.520000000018626,11752479.689999999478459
FS( 100 ),1484607.459999999962747,1732211.740000000223517,1974834.250000000000000,1690434.550000000046566,1719628.000000000000000,1473605.760000000009313,1741583.479999999981374,11816908.240000000223517
FS( 101 ),1503555.040000000037253,1726258.000000000000000,1975505.500000000000000,1691440.750000000000000,1714545.000000000000000,1468369.159999999916181,1722909.439999999944121,11802585.889999998733401
FS( 102 ),1489042.000000000000000,1606132.540000000037253,1985037.250000000232831,1683391.150000000139698,1733992.999999999767169,1445589.949999999953434,1755366.699999999720603,11698555.589999997988343
FS( 103 ),1509199.000000000000000,1625394.639999999897555,2012424.250000000000000,1692950.050000000046566,1765596.000000000000000,1460252.430000000167638,1762480.619999999878928,11828299.989999998360872
FS( 104 ),1516052.379999999888241,1602630.340000000083819,1980472.750000000232831,1669304.350000000093132,1723827.000000000000000,1459728.770000000018626,1741138.859999999869615,11693157.449999999254942
FS( 105 ),1529759.139999999897555,1611385.840000000083819,2019807.999999999767169,1670059.000000000000000,1738192.000000000232831,1512618.430000000167638,1773151.500000000000000,11854976.910000000149012
FS( 106 ),1537821.939999999944121,1622592.880000000121072,2028802.750000000000000,1677102.400000000139698,1745042.999999999767169,1502407.060000000055879,1787823.959999999962747,11901596.990000002086163
FS( 107 ),1560800.920000000158325,1606132.540000000037253,2017257.249999999767169,1668046.600000000093132,1748579.000000000000000,1493766.669999999925494,1746029.680000000167638,11840615.660000000149012
FS( 108 ),1543264.330000000074506,1616989.360000000102445,2035246.750000000000000,1685655.100000000093132,1742833.000000000000000,1511832.940000000176951,1754032.840000000083819,11889857.320000000298023
FS( 109 ),1529356.000000000000000,1619791.120000000111759,2043838.750000000232831,1669807.449999999953434,1750567.999999999767169,1495599.479999999981374,1737581.899999999906868,11846545.700000001117587
FS( 110 ),1531774.839999999850988,1633799.920000000158325,2068943.500000000232831,1693453.149999999906868,1765817.000000000232831,1492719.349999999860302,1742917.340000000083819,11929428.099999999627471
FS( 111 ),1507384.869999999878928,1646057.620000000111759,2074447.750000000232831,1696723.300000000046566,1767806.000000000000000,1498479.609999999869615,1720241.719999999739230,11911143.869999997317791
FS( 112 ),1510408.420000000158325,1620491.560000000288710,2093377.000000000000000,1693956.250000000232831,1775541.000000000000000,1493766.669999999925494,1733580.320000000065193,11921124.220000000670552
FS( 113 ),1512424.119999999878928,1604031.219999999972060,2080757.500000000232831,1698484.149999999906868,1776646.000000000000000,1500836.080000000074506,1756255.939999999944121,11929438.009999999776483
FS( 114 ),1504764.459999999962747,1606132.540000000037253,2129893.000000000000000,1699238.800000000046566,1781286.999999999767169,1483555.299999999813735,1751809.739999999990687,11956683.839999997988343
FS( 115 ),1507384.869999999878928,1578114.940000000176951,2083308.250000000000000,1671316.750000000000000,1770458.000000000000000,1445589.949999999953434,1727355.639999999897555,11783531.400000000372529
FS( 116 ),1532177.979999999981374,1538189.860000000102445,2025580.750000000000000,1619497.449999999953434,1776425.000000000000000,1446375.440000000176951,1750031.260000000009313,11688280.739999998360872
FS( 117 ),1545280.029999999795109,1565156.800000000046566,2068675.000000000000000,1649683.449999999953434,1790348.000000000000000,1426214.530000000027940,1772262.260000000009313,11817623.070000000298023
FS( 118 ),1512424.119999999878928,1528033.480000000214204,1982218.000000000000000,1607926.150000000139698,1751452.000000000000000,1395580.419999999925494,1732691.079999999841675,11510328.250000000000000
FS( 119 ),1524921.459999999962747,1540641.400000000139698,1986916.750000000000000,1699490.350000000093132,1768911.000000000232831,1389034.669999999925494,1754477.459999999962747,11664396.089999999850988
FS( 120 ),1559389.929999999934807,1586520.219999999972060,2035918.000000000000000,1712067.850000000093132,1785265.000000000000000,1410504.729999999981374,1777153.079999999841675,11866821.810000000521541
FS( 121 ),1550117.709999999962747,1581967.360000000102445,2010544.749999999767169,1723136.050000000046566,1777309.000000000000000,1399507.870000000111759,1763369.859999999869615,11805955.600000001490116
FS( 122 ),1557777.369999999878928,1586520.219999999972060,2020882.000000000000000,1736468.200000000186265,1783276.000000000000000,1401340.680000000167638,1757145.180000000167638,11843412.649999998509884
FS( 123 ),1553947.540000000037253,1592123.740000000223517,2043033.250000000000000,1768163.500000000232831,1779519.000000000000000,1396104.080000000074506,1773151.500000000000000,11906045.610000001266599
FS( 124 ),1585594.029999999795109,1606132.540000000037253,2053504.750000000000000,1772691.399999999906868,1800292.999999999767169,1400817.020000000018626,1781599.280000000027940,12000635.019999999552965
FS( 125 ),1594059.969999999972060,1631348.380000000121072,2069212.000000000000000,1772942.950000000186265,1791673.999999999767169,1403697.149999999906868,1790491.680000000167638,12053429.129999998956919
FS( 126 ),1633769.259999999776483,1620841.780000000260770,2102640.250000000000000,1767157.300000000046566,1794547.000000000000000,1408671.919999999925494,1784267.000000000000000,12111897.509999999776483
FS( 127 ),1637397.520000000018626,1634500.360000000102445,2053773.249999999767169,1795330.900000000139698,1804492.000000000232831,1408933.750000000000000,1786045.479999999981374,12120476.260000001639128
FS( 128 ),1671865.989999999757856,1645357.179999999934807,2058069.250000000232831,1794073.149999999906868,1806702.000000000000000,1419406.949999999953434,1791825.539999999804422,12187303.059999998658895
FS( 129 ),1696457.529999999795109,1657965.100000000325963,2038603.000000000000000,1779734.800000000046566,1806481.000000000000000,1435640.409999999916181,1776263.840000000083819,12191148.679999999701977
FS( 130 ),1708350.159999999916181,1656214.000000000000000,2039408.500000000000000,1779986.350000000093132,1814879.000000000000000,1426476.359999999869615,1771373.020000000018626,12196690.389999998733401
FS( 131 ),1705729.750000000000000,1679328.520000000251457,2067735.250000000232831,1766905.750000000000000,1820183.000000000000000,1433022.109999999869615,1786045.479999999981374,12258952.859999999403954
FS( 132 ),1742213.920000000158325,1686332.920000000158325,2078743.750000000000000,1736971.300000000046566,1818415.000000000000000,1433022.109999999869615,1762480.619999999878928,12258182.619999999180436
FS( 133 ),1717017.670000000158325,1659365.980000000214204,2039945.499999999767169,1744517.799999999813735,1823940.000000000000000,1440091.520000000018626,1757145.180000000167638,12182026.649999998509884
FS( 134 ),1723669.479999999981374,1655513.560000000288710,1998193.750000000000000,1730431.000000000232831,1838526.000000000000000,1444542.630000000121072,1734024.939999999944121,12124904.359999999403954
FS( 135 ),1720847.500000000000000,1667771.260000000009313,2015512.000000000000000,1732694.949999999953434,1852891.000000000000000,1436949.560000000055879,1770928.399999999906868,12197597.670000001788139
FS( 136 ),1699884.219999999972060,1619791.120000000111759,1951743.250000000000000,1734455.800000000046566,1850902.000000000000000,1441662.500000000000000,1754032.840000000083819,12052474.730000000447035
FS( 137 ),1709761.149999999674037,1634850.580000000074506,1968121.750000000000000,1749800.350000000093132,1849576.000000000000000,1425952.699999999953434,1779376.180000000167638,12117441.709999999031425
FS( 138 ),1710365.859999999869615,1610335.179999999934807,1961543.500000000232831,1747536.399999999906868,1842504.000000000000000,1436425.899999999906868,1822948.939999999944121,12131662.779999999329448
FS( 139 ),1746043.750000000000000,1595976.160000000149012,1967316.250000000000000,1762126.300000000046566,1842283.000000000000000,1457110.469999999972060,1861630.879999999888241,12232489.810000002384186
FS( 140 ),1737577.810000000055879,1585119.340000000083819,1984768.750000000000000,1752064.300000000279397,1842504.000000000000000,1482507.979999999981374,1874969.479999999981374,12259514.660000002011657
FS( 141 ),1730522.859999999869615,1587921.100000000325963,1975505.500000000000000,1755334.450000000186265,1860626.000000000000000,1497955.949999999953434,1887863.459999999962747,12295732.320000000298023
FS( 142 ),1718428.659999999916181,1564456.360000000102445,1960603.750000000000000,1752567.400000000139698,1855322.000000000000000,1544038.030000000027940,1860297.020000000018626,12255716.219999998807907
FS( 143 ),1695046.540000000037253,1543793.380000000121072,1969195.750000000000000,1786526.649999999906868,1865488.000000000000000,1616564.940000000176951,1866966.320000000065193,12343584.580000000074506
FS( 144 ),1700488.929999999934807,1546244.920000000158325,1925296.000000000000000,1769924.350000000093132,1850239.000000000000000,1614732.130000000121072,1831396.719999999739230,12238325.050000000745058
FS( 145 ),1712381.560000000055879,1567608.340000000083819,1919657.500000000232831,1778225.500000000000000,1863941.000000000000000,1624158.010000000009313,1850515.379999999888241,12316490.289999999105930
FS( 146 ),1736973.099999999860302,1540991.620000000111759,1929055.000000000000000,1762377.850000000093132,1865488.000000000000000,1625990.820000000065193,1835842.919999999925494,12296722.310000000521541
FS( 147 ),1748664.159999999916181,1530134.800000000046566,1930800.250000000000000,1791557.649999999906868,1872560.000000000000000,1620492.390000000130385,1848292.280000000027940,12342504.529999999329448
FS( 148 ),1757936.379999999888241,1567958.560000000288710,1967047.750000000232831,1791054.550000000046566,1884494.000000000000000,1628085.459999999962747,1831396.719999999739230,12427976.419999998062849
FS( 149 ),1770232.149999999674037,1587570.880000000121072,2006517.250000000000000,1803380.500000000000000,1874328.000000000000000,1634107.549999999813735,1856295.439999999944121,12532434.769999997690320
FS( 150 ),1784543.619999999878928,1588971.760000000009313,2001281.500000000000000,1808663.050000000279397,1901953.000000000000000,1649031.859999999869615,1863409.359999999869615,12597857.149999998509884
