訓練日期,20091020 - 20100122
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11355882.919999999925494
真實報酬,1355882.919999999925494

夏普值報酬,0.126888292000000
夏普值風險,0.054168361166505
夏普值,2.342479803108036

預期報酬,30496.202807558867789
風險,160651.030958862014813
趨勢值,0.189828864623770
找到最佳解世代,1784
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,4
BA[2](16),MSFT[18](3),UNH[23](1),VZ[26](9),
20091218,2574675.899999999906868,2878267.959999999962747,3037365.160000000149012,2847195.420000000391155,11337504.439999999478459
20091221,2616108.979999999981374,2893436.600000000093132,3098035.420000000391155,2865762.020000000018626,11473343.019999999552965
20091222,2654651.380000000353903,2921877.799999999813735,3112480.720000000204891,2881543.629999999888241,11570553.530000001192093
20091223,2647906.459999999962747,2931358.200000000186265,3045069.320000000298023,2884328.620000000111759,11508662.600000001490116
20091224,2672959.020000000018626,2938942.520000000018626,3050847.439999999944121,2895468.580000000074506,11558217.560000000521541
20091228,2656578.500000000000000,2955059.200000000186265,3022919.860000000335276,2906608.540000000037253,11541166.100000001490116
20091229,2659950.959999999962747,2975916.080000000074506,2970916.780000000260770,2901038.560000000055879,11507822.380000000819564
20091230,2647906.459999999962747,2935150.359999999869615,2986325.100000000093132,2901038.560000000055879,11470420.480000000447035
20091231,2607918.720000000204891,2889644.439999999944121,2935285.040000000037253,2875045.319999999832362,11307893.519999999552965
20100104,2706683.620000000111759,2934202.319999999832362,3036402.140000000130385,2888041.939999999944121,11565330.019999999552965
20100105,2795331.140000000130385,2935150.359999999869615,3031587.040000000037253,2893611.920000000391155,11655680.459999999031425
20100106,2880124.419999999925494,2917137.600000000093132,3061440.660000000149012,2770144.030000000260770,11628846.710000000894070
20100107,2996715.180000000167638,2886800.319999999832362,3178929.100000000093132,2754362.420000000391155,11816807.019999999552965
20100108,2967808.380000000353903,2906709.160000000149012,3149075.480000000447035,2755290.750000000000000,11778883.770000001415610
20100111,2932638.439999999944121,2869735.600000000093132,3170261.920000000391155,2767359.040000000037253,11739995.000000000000000
20100112,2911440.120000000111759,2850774.799999999813735,3086479.179999999701977,2769215.699999999720603,11617909.799999998882413
20100113,2946610.060000000055879,2877319.919999999925494,3133667.160000000149012,2766430.709999999962747,11724027.850000001490116
20100114,2965881.260000000242144,2935150.359999999869615,3208782.720000000204891,2709802.580000000074506,11819616.919999999925494
20100115,2930229.540000000037253,2925669.959999999962747,3250192.580000000074506,2654102.780000000260770,11760194.859999999403954
20100119,2922039.279999999795109,2948422.919999999925494,3383089.340000000316650,2710730.910000000149012,11964282.449999999254942
20100120,2900359.180000000167638,2900072.879999999888241,3327234.179999999701977,2665242.740000000223517,11792908.980000000447035
20100121,2852181.180000000167638,2845086.560000000055879,3187596.280000000260770,2658744.430000000167638,11543608.449999999254942
20100122,2783286.640000000130385,2745542.359999999869615,3193374.399999999906868,2633679.520000000018626,11355882.919999999925494
