訓練日期,20120531 - 20120830
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11253862.750000000000000
真實報酬,1253862.750000000000000

夏普值報酬,0.116686275000000
夏普值風險,0.039499382160084
夏普值,2.954129118452823

預期報酬,21588.730635883202922
風險,88661.938298066088464
趨勢值,0.243494909431211
找到最佳解世代,2357
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,9
AAPL[0](12),CSCO[4](22),HD[9](10),JNJ[12](11),MRK[17](6),PFE[20](4),WBA[27](13),WMT[28](8),XOM[29](3),
20120813,1211679.609999999869615,1179832.410000000149012,1189477.120000000111759,1218426.909999999916181,1313342.439999999944121,1205100.249999999767169,1309518.249999999767169,1239068.980000000214204,1245487.300000000046566,11111934.270000001415610
20120814,1214910.729999999748543,1168265.440000000409782,1232038.030000000027940,1221630.370000000111759,1313046.779999999795109,1218309.549999999813735,1300052.949999999953434,1249366.390000000130385,1246335.100000000093132,11163956.339999999850988
20120815,1213295.169999999925494,1180512.820000000298023,1238568.540000000037253,1216469.239999999990687,1302698.679999999934807,1221357.849999999860302,1294592.199999999953434,1256794.030000000027940,1243509.100000000093132,11167798.629999998956919
20120816,1223930.939999999711290,1294141.290000000270084,1268068.430000000167638,1213799.690000000176951,1299150.760000000009313,1220341.750000000000000,1293136.000000000000000,1217967.730000000214204,1252976.200000000186265,11283513.789999999105930
20120817,1246548.780000000027940,1296862.930000000167638,1277526.409999999916181,1206680.889999999897555,1281411.160000000149012,1208656.599999999860302,1304785.600000000093132,1215266.770000000018626,1249161.100000000093132,11286901.239999998360872
20120820,1279263.869999999878928,1288698.010000000242144,1273923.370000000111759,1204901.190000000176951,1293533.219999999972060,1214753.199999999953434,1311702.550000000046566,1220499.880000000121072,1242802.600000000093132,11330078.890000000596046
20120821,1261761.969999999739230,1303667.030000000260770,1268293.620000000111759,1206324.949999999953434,1269584.760000000009313,1203576.099999999860302,1297868.649999999906868,1205813.410000000149012,1235878.899999999906868,11252770.390000000596046
20120822,1286399.259999999776483,1307749.490000000223517,1275499.699999999953434,1205791.040000000037253,1268697.779999999795109,1204084.149999999906868,1294228.149999999906868,1211552.949999999953434,1239694.000000000232831,11293697.519999999552965
20120823,1274417.189999999711290,1301625.800000000046566,1273472.989999999990687,1205613.069999999832362,1265445.519999999785796,1206116.349999999860302,1298232.699999999720603,1208007.940000000176951,1233759.400000000139698,11266691.959999997168779
20120824,1275628.859999999869615,1306388.670000000158325,1282705.780000000027940,1203121.489999999990687,1274906.639999999897555,1219833.699999999953434,1297868.649999999906868,1217292.489999999990687,1244215.600000000093132,11321962.880000000819564
20120827,1299593.000000000000000,1317275.230000000214204,1276175.270000000018626,1201163.819999999832362,1272837.019999999785796,1213737.099999999860302,1296048.399999999906868,1223876.080000000074506,1239835.300000000046566,11340542.220000000670552
20120828,1297842.810000000055879,1307749.490000000223517,1273022.610000000102445,1201519.760000000242144,1266332.500000000000000,1211704.899999999906868,1288767.399999999906868,1222356.790000000037253,1244922.100000000093132,11314219.360000001266599
20120829,1295284.839999999850988,1306388.670000000158325,1280003.500000000000000,1199028.180000000167638,1273132.679999999934807,1217293.449999999953434,1285126.899999999906868,1228433.949999999953434,1242096.100000000093132,11326789.269999997690320
20120830,1276840.530000000027940,1285976.370000000111759,1275049.320000000065193,1196180.659999999916181,1274906.639999999897555,1211196.849999999860302,1281850.449999999953434,1219655.830000000074506,1232205.100000000093132,11253862.750000000000000
