訓練日期,20090930 - 20091231
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11625223.599999999627471
真實報酬,1625223.599999999627471

夏普值報酬,0.153822360000000
夏普值風險,0.050548795506568
夏普值,3.043046989715392

預期報酬,27802.707731383103237
風險,105681.089794823987177
趨勢值,0.263081198210210
找到最佳解世代,1969
找到最佳解實驗#,2
找到最佳解次數,42

stock[index](rank)
投資組合檔數,5
CVX[5](14),DIS[6](4),MSFT[18](2),V[25](1),VZ[26](20),
20091103,2178042.919999999925494,2011653.279999999795109,2140745.600000000558794,2246526.199999999720603,1920848.479999999981374,10497816.480000000447035
20091104,2166116.599999999627471,2041514.809999999823049,2181958.400000000372529,2266201.999999999534339,1922968.610000000102445,10578760.419999998062849
20091105,2193376.759999999776483,2112162.819999999832362,2213840.000000000000000,2303238.799999999813735,1936396.099999999860302,10759014.479999998584390
20091106,2201611.599999999627471,2080116.299999999813735,2217728.000000000000000,2305553.600000000093132,1953357.139999999897555,10758366.640000000596046
20091109,2205303.079999999608845,2112162.819999999832362,2254275.200000000186265,2348377.399999999906868,1993639.610000000102445,10913758.109999999403954
20091110,2224612.359999999869615,2120902.779999999795109,2255830.400000000372529,2346062.599999999627471,2002826.839999999850988,10950234.980000000447035
20091111,2229439.679999999701977,2133284.389999999664724,2264384.000000000000000,2337960.799999999813735,2005653.679999999934807,10970722.549999998882413
20091112,2198488.039999999571592,2115804.469999999739230,2283046.400000000372529,2312498.000000000000000,1992932.899999999906868,10902769.810000000521541
20091113,2213253.959999999497086,2217042.339999999850988,2304041.599999999627471,2314812.799999999813735,1990812.770000000018626,11039963.469999998807907
20091116,2232279.279999999795109,2235978.919999999925494,2297043.200000000186265,2302081.399999999906868,2004240.260000000009313,11071623.059999998658895
20091117,2237958.479999999981374,2248360.529999999795109,2332812.799999999813735,2331016.399999999906868,2025441.560000000055879,11175589.769999999552965
20091118,2241082.039999999571592,2233793.930000000167638,2341366.400000000372529,2326386.799999999813735,2026148.270000000018626,11168777.439999999478459
20091119,2196216.359999999869615,2200290.750000000000000,2315705.600000000558794,2320599.799999999813735,2016254.330000000074506,11049066.839999999850988
20091120,2180030.639999999664724,2185724.149999999906868,2303264.000000000000000,2314812.799999999813735,2010600.649999999906868,10994432.240000000223517
20091123,2235970.759999999776483,2219955.659999999683350,2328147.200000000186265,2327544.199999999720603,2069964.289999999804422,11181582.109999999403954
20091124,2244205.599999999627471,2201747.409999999683350,2325814.400000000372529,2333331.199999999720603,2106006.500000000000000,11211105.109999999403954
20091125,2261527.159999999683350,2229423.949999999720603,2316483.200000000186265,2366895.799999999813735,2116607.149999999441206,11290937.259999997913837
20091127,2219785.039999999571592,2210487.370000000111759,2272160.000000000000000,2324071.999999999534339,2089752.169999999925494,11116256.580000000074506
20091130,2216093.560000000055879,2201019.079999999608845,2286934.400000000372529,2343747.799999999813735,2078444.810000000055879,11126239.650000000372529
20091201,2245057.479999999981374,2238163.909999999683350,2333590.400000000372529,2400460.399999999441206,2137101.740000000223517,11354373.929999999701977
20091202,2235686.799999999813735,2242533.889999999664724,2315705.600000000558794,2379627.199999999720603,2157596.330000000074506,11331149.820000000298023
20091203,2213821.879999999422580,2209030.709999999497086,2319593.599999999627471,2315970.200000000186265,2159716.459999999962747,11218132.849999997764826
20091204,2216945.439999999478459,2246175.540000000037253,2331257.599999999627471,2322914.599999999627471,2160423.169999999925494,11277716.349999999627471
20091207,2219785.039999999571592,2257828.819999999832362,2316483.200000000186265,2312498.000000000000000,2197172.089999999850988,11303767.149999998509884
20091208,2179746.679999999701977,2234522.259999999776483,2299376.000000000000000,2314812.799999999813735,2206359.320000000298023,11234817.059999998658895
20091209,2188265.479999999981374,2235978.919999999925494,2310262.400000000372529,2365738.399999999906868,2199998.929999999701977,11300244.130000000819564
20091210,2198488.039999999571592,2279678.719999999739230,2322704.000000000000000,2381941.999999999534339,2224027.070000000298023,11406839.830000000074506
20091211,2208142.679999999701977,2308811.919999999925494,2321148.799999999813735,2354164.399999999906868,2228974.040000000037253,11421241.839999999850988
20091214,2193944.679999999701977,2318280.209999999497086,2341366.400000000372529,2452543.399999999906868,2216959.969999999739230,11523094.660000000149012
20091215,2197068.239999999757856,2343771.759999999776483,2334368.000000000000000,2493052.399999999906868,2180917.759999999776483,11549178.160000000149012
20091216,2211834.159999999683350,2361980.009999999776483,2340588.799999999813735,2518515.200000000186265,2161129.879999999888241,11594048.050000000745058
20091217,2180314.599999999627471,2325563.509999999776483,2301708.799999999813735,2518515.200000000186265,2168196.979999999515712,11494299.089999999850988
20091218,2183722.120000000111759,2327020.169999999925494,2360806.400000000372529,2574070.399999999441206,2167490.270000000484288,11613109.359999999403954
20091221,2200759.719999999739230,2359795.019999999552965,2373248.000000000000000,2532403.999999999534339,2181624.469999999739230,11647831.209999997168779
20091222,2200475.759999999776483,2353240.049999999813735,2396576.000000000000000,2497681.999999999534339,2193638.540000000037253,11641612.349999997764826
20091223,2187697.560000000055879,2361980.009999999776483,2404352.000000000000000,2493052.399999999906868,2195758.669999999925494,11642840.640000000596046
20091224,2198772.000000000000000,2351783.389999999664724,2410572.799999999813735,2496524.599999999627471,2204239.190000000409782,11661891.980000000447035
20091228,2208426.639999999664724,2324106.849999999627471,2423792.000000000000000,2510413.399999999906868,2212719.709999999962747,11679458.599999997764826
20091229,2192524.879999999422580,2358338.359999999869615,2440899.200000000186265,2547450.200000000186265,2208479.450000000186265,11747692.089999999850988
20091230,2205019.120000000111759,2351055.060000000055879,2407462.400000000372529,2550922.399999999906868,2208479.450000000186265,11722938.429999999701977
20091231,2186277.759999999776483,2348870.069999999832362,2370137.599999999627471,2531246.600000000093132,2188691.570000000298023,11625223.599999999627471
