訓練日期,20170517 - 20170817
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11174187.380000000819564
真實報酬,1174187.380000000819564

夏普值報酬,0.108718738000000
夏普值風險,0.036396559644546
夏普值,2.987060839314533

預期報酬,20832.906282709653169
風險,52584.101636218169006
趨勢值,0.396182603381411
找到最佳解世代,2285
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AXP[1](1),BA[2](3),JNJ[12](13),JPM[13](8),MCD[15](5),NKE[19](7),PG[21](11),V[25](6),
20170531,1259329.189999999944121,1311870.350000000093132,1265591.439999999944121,1218554.040000000270084,1288245.760000000009313,1278715.889999999897555,1276518.529999999795109,1297268.340000000083819,10196093.539999999105930
20170601,1281260.969999999972060,1309703.139999999897555,1270821.479999999981374,1232052.070000000065193,1301051.260000000009313,1262065.500000000000000,1277098.169999999692664,1299584.080000000074506,10233636.669999999925494
20170602,1284698.039999999804422,1330046.949999999953434,1283649.880000000121072,1225822.210000000195578,1312576.210000000195578,1278474.579999999841675,1283764.029999999795109,1309800.580000000074506,10308832.480000000447035
20170605,1292554.199999999953434,1321098.469999999972060,1286412.920000000158325,1228047.160000000149012,1304466.060000000055879,1279198.510000000009313,1285937.679999999701977,1315249.379999999888241,10312964.379999998956919
20170606,1290590.159999999916181,1305718.270000000018626,1291050.880000000121072,1230568.770000000018626,1291148.340000000083819,1266409.079999999841675,1286807.139999999897555,1304896.660000000149012,10267189.300000000745058
20170607,1306302.479999999981374,1315156.119999999878928,1290261.439999999944121,1244660.120000000111759,1297209.610000000102445,1284507.329999999841675,1286372.409999999683350,1308983.260000000009313,10333452.769999999552965
20170608,1308593.860000000102445,1327949.650000000139698,1288287.840000000083819,1260086.440000000176951,1292855.740000000223517,1283783.399999999906868,1273040.689999999711290,1308983.260000000009313,10343580.880000000819564
20170609,1314485.979999999981374,1328648.750000000000000,1297958.479999999981374,1289900.770000000018626,1293282.590000000083819,1290057.459999999962747,1277532.899999999906868,1288141.600000000093132,10380008.529999999329448
20170612,1312194.600000000093132,1328439.020000000018626,1300820.199999999953434,1290197.430000000167638,1267586.219999999972060,1303812.129999999888241,1278692.179999999701977,1273702.280000000027940,10355444.059999998658895
20170613,1319068.739999999990687,1336059.209999999962747,1302793.800000000046566,1294499.000000000000000,1279111.169999999925494,1310568.810000000055879,1276083.799999999813735,1295225.040000000037253,10413409.570000000298023
20170614,1323160.489999999990687,1345077.600000000093132,1310194.800000000046566,1291829.060000000055879,1286452.990000000223517,1319014.659999999916181,1281590.379999999888241,1298494.319999999832362,10455814.300000000745058
20170615,1320869.110000000102445,1366539.969999999972060,1312859.159999999916181,1284115.899999999906868,1290636.119999999878928,1276544.099999999860302,1295211.919999999692664,1282829.020000000018626,10429605.299999998882413
20170616,1333144.360000000102445,1373461.060000000055879,1325786.239999999990687,1278331.030000000260770,1297636.460000000195578,1233108.300000000046566,1299269.399999999906868,1282829.020000000018626,10423565.869999999180436
20170619,1340182.169999999925494,1391917.300000000046566,1323023.199999999953434,1306365.399999999906868,1307454.010000000009313,1255308.820000000065193,1302167.599999999860302,1291274.660000000149012,10517693.160000000149012
20170620,1350493.380000000121072,1386674.050000000046566,1324503.399999999906868,1298207.250000000000000,1315393.419999999925494,1244208.560000000055879,1298834.669999999692664,1285689.639999999897555,10504004.370000001043081
20170621,1345583.279999999795109,1392546.489999999990687,1331312.319999999832362,1292274.050000000046566,1312490.840000000083819,1269063.489999999990687,1295501.739999999990687,1287869.160000000149012,10526641.369999999180436
20170622,1346237.959999999962747,1394434.060000000055879,1342561.840000000083819,1290790.750000000000000,1321625.430000000167638,1264478.599999999860302,1290140.069999999832362,1279832.180000000167638,10530100.890000000596046
20170623,1345746.949999999953434,1413938.949999999953434,1346311.679999999934807,1288417.469999999972060,1320259.510000000009313,1275337.550000000046566,1295791.559999999823049,1302036.040000000037253,10587839.710000000894070
20170626,1357858.529999999795109,1398209.199999999953434,1345423.560000000055879,1294054.010000000009313,1314454.350000000093132,1285713.879999999888241,1294922.099999999860302,1297132.120000000111759,10587767.750000000000000
20170627,1359822.569999999832362,1390589.010000000009313,1332299.119999999878928,1306068.739999999990687,1312405.469999999972060,1277750.649999999906868,1284053.849999999860302,1292773.080000000074506,10555762.490000000223517
20170628,1374389.199999999953434,1395692.439999999944121,1320556.199999999953434,1332323.149999999906868,1317356.930000000167638,1287644.359999999869615,1280576.010000000009313,1310890.340000000083819,10619428.629999998956919
20170629,1368824.419999999925494,1380591.880000000121072,1308911.959999999729916,1352051.040000000270084,1307368.640000000130385,1283059.469999999972060,1260578.429999999701977,1286234.520000000018626,10547620.359999999403954
20170630,1378808.289999999804422,1382619.270000000018626,1305458.159999999916181,1355759.290000000270084,1307624.750000000000000,1423743.199999999953434,1262896.989999999990687,1277516.439999999944121,10694426.389999998733401
20170703,1392883.909999999916181,1388491.709999999962747,1311477.639999999897555,1375783.840000000083819,1301990.330000000074506,1415297.349999999860302,1271446.679999999701977,1271658.979999999981374,10729030.439999999478459
20170705,1389446.840000000083819,1411002.729999999981374,1318779.959999999729916,1389578.530000000260770,1306856.419999999925494,1388994.560000000055879,1270432.309999999823049,1280649.500000000000000,10755740.850000001490116
20170706,1370624.789999999804422,1408695.699999999953434,1307727.800000000046566,1385128.630000000121072,1307027.160000000149012,1379342.159999999916181,1266085.010000000009313,1270296.780000000027940,10694928.029999999329448
20170707,1380281.319999999832362,1414917.689999999944121,1307925.159999999916181,1392100.139999999897555,1334174.820000000065193,1399129.579999999841675,1270142.489999999990687,1279423.520000000018626,10778094.719999998807907
20170710,1379790.309999999823049,1426033.380000000121072,1298155.840000000083819,1382310.360000000102445,1327772.070000000065193,1417227.829999999841675,1262027.529999999795109,1295361.260000000009313,10788678.580000000074506
20170711,1377498.929999999934807,1442182.590000000083819,1294998.079999999841675,1376970.479999999981374,1322564.500000000000000,1403955.780000000027940,1257390.409999999683350,1299720.300000000046566,10775281.070000000298023
20170712,1388301.149999999906868,1443371.060000000055879,1304866.079999999841675,1372223.920000000158325,1336821.290000000270084,1404921.020000000018626,1260143.699999999720603,1310209.240000000223517,10820857.459999999031425
20170713,1397303.000000000000000,1441902.949999999953434,1301214.920000000158325,1380975.389999999897555,1323674.310000000055879,1398164.339999999850988,1256376.039999999804422,1306939.959999999962747,10806550.910000000149012
20170714,1395829.969999999972060,1457842.429999999934807,1308517.239999999990687,1368367.340000000083819,1325723.190000000176951,1399612.199999999953434,1262172.439999999711290,1320425.740000000223517,10838490.550000000745058
20170717,1394847.949999999953434,1461268.020000000018626,1304076.639999999897555,1355610.960000000195578,1325552.449999999953434,1394544.689999999944121,1268693.389999999897555,1319063.540000000037253,10823657.640000000596046
20170718,1399758.049999999813735,1455954.860000000102445,1326871.719999999972060,1350864.399999999906868,1314454.350000000093132,1391166.349999999860302,1284488.579999999841675,1329280.040000000037253,10852838.349999997764826
20170719,1406468.520000000018626,1474411.100000000093132,1334272.719999999972060,1352792.690000000176951,1313856.760000000009313,1394062.070000000065193,1280286.189999999711290,1338406.780000000027940,10894556.830000000074506
20170720,1396975.659999999916181,1470216.500000000000000,1347693.199999999953434,1352792.690000000176951,1316588.600000000093132,1426156.300000000046566,1283908.939999999711290,1336499.699999999953434,10930831.589999999850988
20170721,1400903.739999999990687,1483219.760000000009313,1335259.520000000018626,1348194.460000000195578,1314112.869999999878928,1446667.649999999906868,1284053.849999999860302,1356796.479999999981374,10969208.330000000074506
20170724,1391247.209999999962747,1483499.400000000139698,1312563.119999999878928,1353979.330000000074506,1296441.280000000027940,1422536.649999999906868,1277822.719999999972060,1367285.420000000158325,10905375.130000000819564
20170725,1397957.679999999934807,1485456.880000000121072,1301412.279999999795109,1376525.489999999990687,1358078.419999999925494,1433154.290000000037253,1291734.079999999841675,1362109.060000000055879,11006428.179999999701977
20170726,1396157.309999999823049,1632197.969999999972060,1292235.039999999804422,1363620.780000000260770,1336223.699999999953434,1408299.359999999869615,1294052.639999999897555,1373823.979999999981374,11096610.780000001192093
20170727,1372425.159999999916181,1684980.020000000018626,1291050.880000000121072,1357984.239999999990687,1339979.979999999981374,1403231.849999999860302,1314050.219999999972060,1356387.819999999832362,11120090.169999999925494
20170728,1387973.809999999823049,1686867.590000000083819,1301116.239999999990687,1353979.330000000074506,1330589.280000000027940,1415779.969999999972060,1307239.449999999720603,1350666.580000000074506,11134212.250000000000000
20170731,1395011.620000000111759,1695186.880000000121072,1309701.399999999906868,1361692.489999999990687,1324528.010000000009313,1424949.750000000000000,1316078.959999999729916,1356251.600000000093132,11183400.709999999031425
20170801,1395175.289999999804422,1674074.060000000055879,1307629.119999999878928,1379937.080000000074506,1315137.310000000055879,1444013.239999999990687,1320136.439999999711290,1374096.420000000158325,11210198.959999999031425
20170802,1396157.309999999823049,1663657.469999999972060,1304175.319999999832362,1381123.719999999972060,1336906.660000000149012,1442806.689999999944121,1319266.979999999981374,1379681.439999999944121,11223775.589999999850988
20170803,1400085.390000000130385,1665754.770000000018626,1315918.239999999990687,1372075.590000000083819,1320942.469999999972060,1451252.540000000037253,1316658.599999999860302,1370282.260000000009313,11212969.859999999403954
20170804,1407123.199999999953434,1661979.630000000121072,1314240.679999999934807,1389281.870000000111759,1313259.169999999925494,1442082.760000000009313,1313905.309999999823049,1374368.860000000102445,11216241.480000000447035
20170807,1405159.159999999916181,1679596.949999999953434,1311082.920000000158325,1394621.750000000000000,1323076.719999999972060,1442806.689999999944121,1325063.379999999888241,1382542.060000000055879,11263949.630000000819564
20170808,1406632.189999999944121,1674493.520000000018626,1305260.800000000046566,1389578.530000000260770,1322649.869999999878928,1434843.459999999962747,1327092.119999999878928,1379681.439999999944121,11240231.929999999701977
20170809,1402540.439999999944121,1638210.229999999981374,1314734.079999999841675,1387353.580000000074506,1322649.869999999878928,1445461.099999999860302,1332019.059999999823049,1375458.620000000111759,11218426.980000000447035
20170810,1384045.729999999981374,1628213.100000000093132,1313352.560000000055879,1367477.360000000102445,1337162.770000000018626,1425432.369999999878928,1329410.679999999701977,1355298.060000000055879,11140392.630000000819564
20170811,1379626.640000000130385,1642195.100000000093132,1313451.239999999990687,1356055.950000000186265,1342967.930000000167638,1423019.270000000018626,1323614.279999999795109,1363471.260000000009313,11144401.669999999925494
20170814,1398939.699999999953434,1658064.670000000158325,1317201.079999999841675,1371927.260000000009313,1342626.449999999953434,1442565.379999999888241,1328106.489999999990687,1387718.420000000158325,11247149.449999999254942
20170815,1420544.140000000130385,1672186.489999999990687,1316214.279999999795109,1375487.180000000167638,1345699.770000000018626,1413125.560000000055879,1336076.539999999804422,1398071.139999999897555,11277405.099999999627471
20170816,1430364.340000000083819,1661140.709999999962747,1324009.999999999767169,1365994.060000000055879,1356627.130000000121072,1412642.939999999944121,1339554.379999999888241,1407470.319999999832362,11297803.879999998956919
20170817,1409087.239999999990687,1647158.709999999962747,1312859.159999999916181,1344634.540000000270084,1348004.760000000009313,1386581.459999999962747,1334192.709999999729916,1391668.800000000046566,11174187.380000000819564
