訓練日期,20161102 - 20170206
訓練天數,65
代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11749195.779999999329448
真實報酬,1749195.779999999329448

夏普值報酬,0.166219578000000
夏普值風險,0.045358828615571
夏普值,3.664547411679369

預期報酬,26102.516125767353515
風險,89563.842820235950057
趨勢值,0.291440332435912
找到最佳解世代,2911
找到最佳解實驗#,1
找到最佳解次數,49

stock[index](rank)
投資組合檔數,3
AAPL[0](19),BA[2](2),DIS[6](1),
20161122,3339605.909999999683350,3541024.140000000130385,3543681.600000000093132,10424312.650000000372529
20161123,3322579.439999999944121,3546234.180000000167638,3563628.450000000651926,10432443.070000000298023
20161125,3339307.200000000186265,3553338.779999999795109,3583937.970000000204891,10476584.950000001117587
20161128,3332735.579999999608845,3546944.640000000130385,3589378.020000000018626,10469059.240000000223517
20161129,3329449.769999999552965,3591229.979999999515712,3614764.920000000391155,10535445.669999999925494
20161130,3301371.029999999795109,3565653.419999999925494,3594818.070000000298023,10461843.519999999552965
20161201,3270603.899999999906868,3608991.479999999515712,3588290.010000000242144,10467886.389999998733401
20161202,3282851.010000000242144,3605676.000000000000000,3572332.530000000260770,10460860.539999999105930
20161205,3259252.919999999925494,3603544.620000000111759,3625282.350000000093132,10488080.890000000596046
20161206,3284344.560000000055879,3605439.180000000167638,3650669.250000000000000,10540453.990000000223517
20161207,3316605.239999999757856,3650434.979999999515712,3698904.359999999869615,10665945.579999998211861
20161208,3349164.629999999888241,3680037.479999999515712,3749315.490000000223517,10778518.599999999627471
20161209,3403828.560000000055879,3706087.680000000167638,3802990.650000000372529,10912907.890000000596046
20161212,3384412.409999999683350,3721954.620000000111759,3773977.050000000279397,10880345.080000000074506
20161213,3440868.599999999627471,3710113.620000000111759,3766360.979999999981374,10917344.199999999254942
20161214,3440868.599999999627471,3658250.040000000037253,3773614.380000000353903,10872734.019999999552965
20161215,3459687.329999999608845,3641672.640000000130385,3785945.160000000149012,10887306.129999998956919
20161216,3464167.979999999981374,3658960.500000000000000,3768537.000000000000000,10891666.480000000447035
20161219,3484181.549999999813735,3698746.260000000242144,3818948.130000000353903,11001876.940000001341105
20161220,3493441.560000000055879,3703719.479999999515712,3824750.850000000093132,11021912.889999998733401
20161221,3496727.370000000111759,3729532.859999999869615,3828377.550000000279397,11054638.780000001192093
20161222,3473726.700000000186265,3729059.220000000204891,3823300.170000000391155,11026087.089999999850988
20161223,3480597.029999999795109,3737347.919999999925494,3813508.080000000540167,11031454.029999999329448
20161227,3502701.569999999832362,3729532.859999999869615,3814233.420000000391155,11046468.849999999627471
20161228,3487766.069999999832362,3696851.699999999720603,3782681.130000000353903,10967299.900000000372529
20161229,3486869.939999999944121,3687142.080000000074506,3792110.550000000279397,10966123.570000000298023
20161230,3459687.329999999608845,3686905.260000000242144,3779779.770000000018626,10926373.359999999403954
20170103,3469544.760000000242144,3717455.040000000037253,3847236.390000000130385,11034237.190000001341105
20170104,3465661.529999999795109,3756530.340000000316650,3896559.510000000242144,11118752.380000000819564
20170105,3483285.419999999925494,3758661.720000000204891,3894383.490000000223517,11136331.630000000819564
20170106,3522117.719999999739230,3767897.699999999720603,3952410.690000000409782,11242427.109999999403954
20170109,3554378.399999999906868,3749425.739999999757856,3929925.150000000372529,11233730.289999999105930
20170110,3557962.919999999925494,3767187.239999999757856,3930650.490000000223517,11255801.650000000372529
20170111,3577080.359999999869615,3775002.300000000279397,3969093.510000000242144,11321177.169999999925494
20170112,3562144.859999999869615,3748715.279999999795109,3899823.540000000502914,11210684.679999999701977
20170113,3555871.950000000186265,3761503.560000000521541,3919045.050000000279397,11236421.560000000521541
20170117,3584548.109999999869615,3734032.439999999478459,3915781.020000000018626,11234362.569999998435378
20170118,3584249.399999999906868,3749425.739999999757856,3922671.750000000000000,11256347.890000000596046
20170119,3577976.489999999757856,3765529.500000000000000,3890756.790000000502914,11234263.780000001192093
20170120,3584548.109999999869615,3778080.959999999962747,3904538.250000000000000,11267168.320000000298023
20170123,3586937.790000000037253,3738058.379999999888241,3884954.070000000298023,11209951.240000000223517
20170124,3583651.979999999981374,3802236.600000000093132,3913242.330000000540167,11299131.910000000149012
20170125,3640705.589999999850988,3963511.020000000484288,3918319.710000000428408,11522537.320000000298023
20170126,3642497.849999999627471,4005191.340000000316650,3919045.050000000279397,11566735.240000000223517
20170127,3642796.560000000055879,3971562.899999999906868,3964016.130000000353903,11578376.589999999850988
20170130,3633237.839999999850988,3921120.239999999757856,4023494.010000000242144,11577853.089999999850988
20170131,3624873.959999999497086,3870203.939999999478459,4012976.580000000540167,11508055.479999998584390
20170201,3845919.359999999869615,3883229.040000000037253,4036550.130000000353903,11765699.530000001192093
20170202,3839347.739999999757856,3842732.819999999832362,4011525.900000000372529,11693607.460000000894070
20170203,3855776.790000000037253,3846048.300000000279397,4000283.130000000353903,11702109.220000000670552
20170206,3891920.699999999720603,3883465.859999999869615,3973808.220000000204891,11749195.779999999329448
