代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14346831.889999998733401
真實報酬,4346831.889999998733401

夏普值報酬,0.425983189000000
夏普值風險,0.099463909014425
夏普值,4.282791549427450

預期報酬,17441.307428970223555
風險,200977.618402266729390
趨勢值,0.086782337096166
找到最佳解世代,2174
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](19),BA[2](1),DD[7](7),MRK[17](13),UNH[23](10),V[25](4),
20130315,1675123.280000000027940,1873209.689999999944121,1776619.060000000055879,1719711.440000000176951,1706577.679999999701977,1665825.540000000037253,10417070.689999997615814
20130318,1720581.159999999916181,1846118.439999999944121,1748208.370000000111759,1701769.600000000093132,1714996.549999999813735,1660782.780000000260770,10392460.900000002235174
20130319,1716088.230000000214204,1853270.530000000027940,1744149.700000000186265,1704499.880000000121072,1720297.319999999832362,1638930.820000000065193,10377240.480000000447035
20130320,1706838.080000000074506,1850236.309999999823049,1757063.649999999906868,1720881.560000000055879,1711254.829999999841675,1673809.909999999916181,10420088.339999999850988
20130321,1709480.980000000214204,1827696.389999999664724,1706514.760000000009313,1708010.239999999990687,1716867.409999999916181,1657841.170000000158325,10326414.949999999254942
20130322,1744102.969999999972060,1838316.159999999683350,1722380.469999999972060,1712300.679999999934807,1698158.809999999823049,1681794.280000000260770,10397057.370000001043081
20130325,1750445.930000000167638,1838966.349999999627471,1696552.569999999832362,1704109.840000000083819,1710631.209999999729916,1722976.820000000065193,10423686.719999998807907
20130326,1741195.779999999795109,1877327.559999999823049,1681424.800000000046566,1731412.640000000130385,1735264.199999999720603,1759536.829999999841675,10526165.809999998658895
20130327,1706838.080000000074506,1868224.899999999906868,1669986.729999999981374,1720101.480000000214204,1765509.769999999785796,1772143.730000000214204,10502808.690000001341105
20130328,1671423.219999999972060,1860639.349999999627471,1672938.490000000223517,1724001.880000000121072,1783906.559999999823049,1784330.400000000139698,10497243.900000000372529
20130401,1619358.090000000083819,1847635.549999999813735,1648217.500000000000000,1729852.480000000214204,1838785.119999999878928,1758276.140000000130385,10442128.880000000819564
20130402,1622793.859999999869615,1822494.869999999878928,1626448.270000000018626,1751694.719999999972060,1925156.489999999990687,1764579.590000000083819,10513171.799999998882413
20130403,1630986.850000000093132,1828346.579999999841675,1629031.060000000055879,1769246.520000000018626,1922973.819999999832362,1730961.189999999944121,10511550.019999999552965
20130404,1614865.160000000149012,1841133.649999999906868,1651538.229999999981374,1767686.360000000102445,1934198.979999999748543,1749031.079999999841675,10558457.460000000894070
20130405,1597950.600000000093132,1867574.709999999962747,1623496.510000000009313,1760275.600000000093132,1936381.649999999906868,1735163.489999999990687,10520846.560000000521541
20130408,1609315.070000000065193,1880145.049999999813735,1612058.439999999944121,1773927.000000000000000,1929833.639999999897555,1746929.930000000167638,10552213.130000000819564
20130409,1612222.260000000009313,1890114.629999999655411,1651907.200000000186265,1775097.120000000111759,1938876.129999999888241,1730961.189999999944121,10599182.529999999329448
20130410,1644994.219999999972060,1903335.159999999683350,1672569.520000000018626,1826972.440000000176951,1946047.759999999776483,1754494.070000000065193,10748417.170000001788139
20130411,1639972.709999999962747,1918722.989999999757856,1674045.399999999906868,1841403.920000000158325,1963820.929999999701977,1761217.750000000000000,10799187.699999999254942
20130412,1622793.859999999869615,1926525.269999999785796,1668141.880000000121072,1837503.520000000018626,1965379.979999999748543,1741466.939999999944121,10761815.449999999254942
20130415,1585264.679999999934807,1880578.509999999776483,1585861.569999999832362,1812150.920000000158325,1920479.339999999850988,1694401.180000000167638,10478740.199999999254942
20130416,1609315.070000000065193,1883179.269999999785796,1590658.179999999934807,1831652.920000000158325,1958520.159999999916181,1730540.959999999962747,10603870.559999998658895
20130417,1520777.919999999925494,1878844.669999999692664,1592134.060000000055879,1823852.120000000111759,1934198.979999999748543,1704486.700000000186265,10454298.449999999254942
20130418,1480341.550000000046566,1866491.059999999823049,1585861.569999999832362,1816051.320000000065193,1861235.439999999711290,1695661.870000000111759,10305646.809999998658895
20130419,1474527.169999999925494,1906369.379999999655411,1605416.979999999981374,1852325.040000000037253,1872148.789999999804422,1722556.590000000083819,10433347.949999999254942
20130422,1505184.810000000055879,1884262.919999999692664,1628293.120000000111759,1869096.760000000242144,1846580.369999999878928,1717934.060000000288710,10451356.039999999105930
20130423,1533463.840000000083819,1911137.439999999944121,1663714.240000000223517,1896789.600000000093132,1825377.289999999804422,1740626.480000000214204,10571112.890000000596046
20130424,1530820.939999999944121,1968570.889999999664724,1690280.080000000074506,1870266.880000000121072,1833172.539999999804422,1755334.530000000260770,10648449.859999999403954
20130425,1541921.120000000111759,1986776.209999999962747,1785105.370000000111759,1846864.480000000214204,1850322.089999999850988,1772984.189999999944121,10783977.459999999031425
20130426,1575221.660000000149012,2012350.349999999627471,1755956.740000000223517,1867146.560000000055879,1854687.429999999701977,1757015.450000000186265,10822382.190000001341105
20130429,1624115.310000000055879,1991761.000000000000000,1779570.819999999832362,1865196.360000000102445,1871213.359999999636784,1764159.359999999869615,10896020.209999999031425
20130430,1671687.510000000009313,1981141.229999999748543,1781784.639999999897555,1833213.080000000074506,1868718.879999999888241,1770042.579999999841675,10906591.919999999925494
20130501,1658737.300000000046566,1976156.439999999944121,1741935.880000000121072,1782117.840000000083819,1862170.869999999878928,1744408.550000000046566,10765530.880000000819564
20130502,1682259.109999999869615,1998479.629999999655411,1740460.000000000000000,1783678.000000000000000,1854687.429999999701977,1842742.370000000111759,10902310.539999999105930
20130503,1698909.380000000121072,2031639.319999999599531,1784367.429999999934807,1781337.760000000242144,1837226.069999999832362,1886446.290000000037253,11019930.250000000000000
20130506,1739610.039999999804422,2041392.169999999692664,1786950.219999999972060,1754425.000000000000000,1877137.750000000000000,1879302.380000000121072,11078821.560000000521541
20130507,1731681.339999999850988,2054395.969999999972060,1814991.939999999944121,1765736.160000000149012,1886492.049999999813735,1888967.670000000158325,11142269.130000000819564
20130508,1751238.800000000046566,2038141.219999999972060,1813516.060000000055879,1754815.040000000037253,1949165.859999999636784,1883504.680000000167638,11190385.660000000149012
20130509,1724545.510000000009313,2050494.829999999841675,1834916.319999999832362,1774317.040000000037253,1933575.359999999636784,1876360.770000000018626,11194213.830000000074506
20130510,1710273.849999999860302,2042475.819999999599531,1810564.300000000046566,1792258.880000000121072,1961638.259999999776483,1878041.689999999944121,11195256.799999998882413
20130513,1716881.099999999860302,2053745.780000000027940,1805029.750000000000000,1800839.760000000242144,1945424.139999999897555,1879722.609999999869615,11201647.140000000596046
20130514,1675916.149999999906868,2083004.329999999841675,1835285.290000000037253,1819561.679999999934807,1924844.679999999701977,1894430.659999999916181,11233046.789999999105930
20130515,1619093.800000000046566,2102726.759999999776483,1857054.520000000018626,1822682.000000000000000,1921102.959999999729916,1909558.939999999944121,11232222.979999998584390
20130516,1640765.580000000074506,2093190.639999999664724,1844509.540000000037253,1808640.560000000055879,1937628.889999999897555,1888967.670000000158325,11213706.880000000819564
20130517,1635744.070000000065193,2143905.459999999962747,1882144.479999999981374,1793819.040000000037253,1959455.589999999850988,1938975.040000000037253,11354047.679999999701977
20130520,1672480.380000000121072,2139570.859999999869615,1871075.380000000121072,1763395.920000000158325,1950724.909999999916181,1907878.020000000018626,11305129.469999998807907
20130521,1660058.750000000000000,2140221.049999999813735,1879930.660000000149012,1846084.399999999906868,1960391.019999999785796,1907457.790000000037253,11394147.669999998062849
20130522,1666401.709999999962747,2122449.189999999944121,1845247.479999999981374,1821901.920000000158325,1941994.229999999748543,1892749.739999999990687,11290748.269999999552965
20130523,1669308.899999999906868,2161894.049999999813735,1844509.540000000037253,1846084.399999999906868,1944488.709999999729916,1871318.010000000009313,11337607.609999999403954
20130524,1680673.370000000111759,2167312.299999999813735,1843402.630000000121072,1839453.719999999972060,1935134.409999999916181,1895691.350000000093132,11361671.779999999329448
20130528,1666666.000000000000000,2169696.329999999608845,1841188.810000000055879,1857395.560000000055879,1975046.089999999850988,1891489.050000000046566,11401485.839999999850988
20130529,1679880.500000000000000,2147589.870000000111759,1836023.229999999981374,1828142.560000000055879,1975357.899999999906868,1871738.239999999990687,11338736.300000000745058
20130530,1704988.050000000046566,2179015.719999999739230,1828643.830000000074506,1835943.360000000102445,2016205.009999999776483,1901994.800000000046566,11466794.769999999552965
20130531,1698116.510000000009313,2146072.759999999776483,1810564.300000000046566,1821511.880000000121072,1952907.579999999841675,1871738.239999999990687,11300915.269999999552965
20130603,1701816.570000000065193,2183350.319999999832362,1804291.810000000055879,1889768.880000000121072,1958208.349999999627471,1893169.969999999972060,11430609.900000000372529
20130604,1696530.770000000018626,2158859.829999999608845,1819050.609999999869615,1928382.840000000083819,1944488.709999999729916,1893169.969999999972060,11440486.729999998584390
20130605,1680673.370000000111759,2134586.069999999832362,1768501.719999999972060,1900690.000000000000000,1925468.299999999813735,1862072.950000000186265,11271996.410000000149012
20130606,1655565.820000000065193,2162110.779999999795109,1780677.729999999981374,1895619.480000000214204,1930769.069999999832362,1884345.140000000130385,11309092.020000001415610
20130607,1668251.739999999990687,2221278.069999999832362,1805029.750000000000000,1879627.840000000083819,1951036.719999999739230,1890648.590000000083819,11415876.709999999031425
20130610,1657151.560000000055879,2215859.819999999832362,1803922.840000000083819,1890158.920000000158325,1985647.629999999888241,1915442.159999999916181,11468186.929999999701977
20130611,1652130.050000000046566,2205240.049999999813735,1786581.250000000000000,1855055.320000000065193,1993442.879999999888241,1887706.980000000214204,11380160.530000001192093
20130612,1631779.719999999972060,2186384.539999999571592,1775512.149999999906868,1842964.080000000074506,1990324.779999999795109,1882243.989999999990687,11309213.259999999776483
20130613,1646051.380000000121072,2214125.979999999515712,1820526.490000000223517,1868316.679999999934807,2000302.699999999953434,1914601.700000000186265,11463928.929999999701977
20130614,1623851.020000000018626,2206973.889999999664724,1786950.219999999972060,1870266.880000000121072,1989389.349999999627471,1900734.109999999869615,11378169.469999998807907
20130617,1630986.850000000093132,2232981.489999999757856,1793960.649999999906868,1864416.280000000027940,2007162.520000000018626,1915862.390000000130385,11445374.180000001564622
20130618,1630193.979999999981374,2255738.139999999664724,1819050.609999999869615,1862466.080000000074506,2048009.630000000121072,1933091.820000000065193,11548554.259999999776483
20130619,1597157.729999999981374,2216076.549999999813735,1791746.830000000074506,1855835.399999999906868,2034913.609999999869615,1918804.000000000000000,11414538.119999999180436
20130620,1573900.209999999962747,2159510.020000000018626,1744149.700000000186265,1806300.320000000065193,1989389.349999999627471,1875100.079999999841675,11148353.679999999701977
20130621,1561214.290000000037253,2166878.839999999850988,1714632.099999999860302,1833213.080000000074506,1992507.449999999720603,1886026.060000000288710,11154475.820000000298023
20130624,1519985.050000000046566,2120715.349999999627471,1699873.300000000046566,1810200.719999999972060,2015893.199999999953434,1872998.930000000167638,11039670.549999998882413
20130625,1520249.340000000083819,2138487.209999999962747,1707621.670000000158325,1803180.000000000000000,1987206.679999999701977,1896111.579999999841675,11052860.479999998584390
20130626,1503070.489999999990687,2183567.049999999813735,1692124.929999999934807,1821121.840000000083819,2019946.729999999748543,1918804.000000000000000,11138639.039999999105930
20130627,1486684.510000000009313,2235582.250000000000000,1699873.300000000046566,1844134.200000000186265,2060793.839999999850988,1936033.430000000167638,11263105.529999999329448
20130628,1497256.109999999869615,2220194.419999999925494,1690280.080000000074506,1811760.880000000121072,2041773.429999999934807,1920064.689999999944121,11181333.609999999403954
20130701,1545092.600000000093132,2237532.819999999832362,1707621.670000000158325,1806690.360000000102445,2046450.579999999608845,1946118.950000000186265,11289510.980000000447035
20130702,1579978.880000000121072,2199171.609999999869615,1704669.910000000149012,1815661.280000000027940,2035225.419999999692664,1946118.950000000186265,11280830.050000000745058
20130703,1588700.449999999953434,2229947.270000000018626,1703931.969999999972060,1815661.280000000027940,2043644.290000000037253,1965029.300000000046566,11346918.560000000521541
20130705,1576014.530000000027940,2258338.899999999906868,1717583.859999999869615,1839453.719999999972060,2063288.319999999832362,2004530.920000000158325,11459214.249999998137355
20130708,1567028.669999999925494,2262023.310000000055879,1738615.149999999906868,1849204.719999999972060,2106629.909999999683350,1976375.510000000009313,11499881.269999999552965
20130709,1594779.120000000111759,2268741.939999999944121,1787688.160000000149012,1857395.560000000055879,2119414.119999999646097,1966710.219999999972060,11594733.120000001043081
20130710,1588436.160000000149012,2286513.799999999813735,1775512.149999999906868,1870656.920000000158325,2110683.439999999944121,1961667.459999999962747,11593473.929999999701977
20130711,1613279.419999999925494,2316422.539999999571592,1796912.410000000149012,1884308.320000000065193,2131574.709999999962747,1995706.090000000083819,11738207.489999998360872
20130712,1610372.229999999981374,2207840.810000000055879,1792853.740000000223517,1893279.239999999990687,2120349.549999999813735,2003690.459999999962747,11628390.030000001192093
20130715,1613808.000000000000000,2289981.479999999515712,1807612.540000000037253,1892499.160000000149012,2108500.770000000018626,1998647.700000000186265,11711053.649999998509884
20130716,1624379.600000000093132,2258989.089999999850988,1785105.370000000111759,1881188.000000000000000,2086362.259999999776483,1989822.870000000111759,11625851.190000001341105
20130717,1624643.889999999897555,2271125.969999999739230,1824954.130000000121072,1877287.600000000093132,2065159.179999999934807,1992344.250000000000000,11655519.019999999552965
20130718,1630193.979999999981374,2332677.289999999571592,1817205.760000000009313,1848814.679999999934807,2199861.099999999627471,2006632.070000000065193,11835388.879999998956919
20130719,1604557.850000000093132,2318156.379999999888241,1821633.399999999906868,1864026.239999999990687,2227924.000000000000000,1995285.859999999869615,11831587.730000000447035
20130722,1609579.359999999869615,2315989.079999999608845,1817574.729999999981374,1861295.959999999962747,2250686.129999999888241,2009153.450000000186265,11864282.710000000894070
20130723,1582093.199999999953434,2336144.969999999739230,1815360.910000000149012,1869486.800000000046566,2266588.439999999944121,1981418.270000000018626,11851096.589999999850988
20130724,1663230.229999999981374,2317939.649999999906868,1806136.660000000149012,1863246.160000000149012,2261599.479999999981374,1962087.689999999944121,11874243.869999999180436
20130725,1655565.820000000065193,2312521.399999999906868,1838606.020000000018626,1878847.760000000242144,2264405.770000000018626,2044452.770000000018626,11994403.539999999105930
20130726,1665080.260000000009313,2288681.099999999627471,1823478.250000000000000,1891329.040000000037253,2251621.559999999590218,2029744.719999999972060,11949938.929999999701977
20130729,1690716.389999999897555,2271559.429999999701977,1838974.990000000223517,1885478.440000000176951,2269706.540000000037253,2016717.590000000083819,11973157.379999998956919
20130730,1711595.300000000046566,2291498.589999999850988,1842295.719999999972060,1874167.280000000027940,2253492.419999999459833,2011254.600000000093132,11984307.909999998286366
20130731,1708688.110000000102445,2277844.599999999627471,1841188.810000000055879,1878847.760000000242144,2271577.399999999441206,1859551.570000000065193,11837702.250000000000000
20130801,1724281.219999999972060,2312521.399999999906868,1860006.279999999795109,1894839.399999999906868,2281243.509999999776483,1882243.989999999990687,11955139.800000000745058
20130802,1746481.580000000074506,2338529.000000000000000,1903175.770000000018626,1893279.239999999990687,2253180.609999999869615,1933091.820000000065193,12067742.019999999552965
20130805,1772382.000000000000000,2329859.799999999813735,1916827.660000000149012,1892889.200000000186265,2286856.089999999850988,1938975.040000000037253,12137793.789999999105930
20130806,1756524.599999999860302,2319890.219999999739230,1894689.459999999962747,1889378.840000000083819,2283737.989999999757856,1921325.380000000121072,12065550.490000000223517
20130807,1755731.730000000214204,2306452.959999999962747,1906865.469999999972060,1893669.280000000027940,2273760.069999999832362,1905776.870000000111759,12042260.379999998956919
20130808,1740667.199999999953434,2293882.620000000111759,1939334.830000000074506,1890548.959999999962747,2281867.129999999888241,1899473.420000000158325,12045778.160000000149012
20130809,1715823.939999999944121,2282829.389999999664724,1998739.000000000000000,1887428.640000000130385,2274071.879999999888241,1888967.670000000158325,12047864.520000001415610
20130812,1764717.589999999850988,2259205.819999999832362,1969221.399999999906868,1890548.959999999962747,2257234.139999999664724,1888547.439999999944121,12029479.349999999627471
20130813,1848497.520000000018626,2302335.089999999850988,1990252.689999999944121,1888988.800000000046566,2287167.899999999441206,1883084.450000000186265,12200330.449999999254942
20130814,1882062.349999999860302,2257471.979999999515712,1983611.229999999981374,1894449.360000000102445,2260352.239999999757856,1873839.390000000130385,12151790.549999998882413
20130815,1879948.029999999795109,2226479.589999999850988,1952248.779999999795109,1871046.959999999962747,2226364.950000000186265,1827193.859999999869615,11983286.169999998062849
20130816,1896598.300000000046566,2242517.609999999869615,1938227.920000000158325,1860515.880000000121072,2227300.379999999888241,1818789.260000000009313,11983953.349999999627471
20130819,1916948.630000000121072,2269608.859999999869615,1924576.029999999795109,1855835.399999999906868,2236031.059999999590218,1838540.070000000065193,12041544.050000000745058
20130820,1891841.080000000074506,2267658.289999999571592,1941548.649999999906868,1855055.320000000065193,2259416.809999999590218,1820049.950000000186265,12035574.099999997764826
20130821,1896862.589999999850988,2252053.729999999515712,1951510.840000000083819,1851154.920000000158325,2240396.399999999441206,1874259.620000000111759,12066242.099999997764826
20130822,1898976.909999999916181,2278711.520000000018626,1954093.630000000121072,1864806.320000000065193,2244138.119999999646097,1879722.609999999869615,12120453.109999999403954
20130823,1891576.789999999804422,2286080.339999999850988,2035636.000000000000000,1861686.000000000000000,2261911.290000000037253,1881823.760000000009313,12218718.179999999701977
20130826,1898976.909999999916181,2287163.989999999757856,2030839.389999999897555,1857395.560000000055879,2256922.329999999608845,1838540.070000000065193,12169842.250000000000000
20130827,1844797.459999999962747,2236882.629999999888241,1973649.040000000037253,1837503.520000000018626,2230106.669999999459833,1829715.239999999990687,11952658.560000000521541
20130828,1853519.029999999795109,2238183.009999999776483,1967745.520000000018626,1836723.440000000176951,2230730.290000000037253,1840641.219999999972060,11967546.509999999776483
20130829,1856426.219999999972060,2274160.189999999944121,1971435.219999999972060,1837113.480000000214204,2258793.189999999944121,1842322.140000000130385,12040254.440000001341105
20130830,1839511.659999999916181,2252270.459999999962747,1965162.729999999981374,1844524.239999999990687,2236966.489999999757856,1832656.850000000093132,11971096.429999999701977
20130903,1844797.459999999962747,2275894.029999999795109,1967376.550000000046566,1841403.920000000158325,2262534.909999999683350,1859971.800000000046566,12051982.669999999925494
20130904,1882855.219999999972060,2305369.310000000055879,1985087.109999999869615,1859735.800000000046566,2287167.899999999441206,1851146.969999999972060,12171366.310000000521541
20130905,1869905.010000000009313,2311437.750000000000000,2018294.410000000149012,1853105.120000000111759,2308682.790000000037253,1851146.969999999972060,12212576.050000000745058
20130906,1881005.189999999944121,2298867.409999999683350,2026042.779999999795109,1852325.040000000037253,2309306.409999999683350,1856189.730000000214204,12223740.559999998658895
20130909,1911134.250000000000000,2323141.169999999925494,2039325.700000000186265,1862076.040000000037253,2315230.799999999813735,1875940.540000000037253,12326852.500000000000000
20130910,1867526.399999999906868,2344380.709999999962747,2100943.689999999478459,1871437.000000000000000,2327079.579999999608845,1939395.270000000018626,12450766.649999998509884
20130911,1766039.039999999804422,2367354.089999999850988,2093933.260000000009313,1877677.640000000130385,2344229.129999999888241,1957465.159999999916181,12406702.320000000298023
20130912,1784803.630000000121072,2379707.699999999720603,2041908.490000000223517,1866366.480000000214204,2330509.489999999757856,1944438.030000000260770,12347737.820000000298023
20130913,1755203.149999999906868,2412867.389999999664724,2095040.170000000158325,1864026.239999999990687,2322402.430000000167638,1985620.570000000065193,12435163.950000001117587
20130916,1699437.959999999962747,2506928.209999999962747,2091350.469999999972060,1879627.840000000083819,2342358.270000000018626,1989822.870000000111759,12509529.620000001043081
20130917,1719259.709999999962747,2538137.329999999608845,2086553.859999999869615,1872607.120000000111759,2317101.659999999683350,2012935.520000000018626,12546599.199999997392297
20130918,1754410.279999999795109,2566095.500000000000000,2147064.939999999478459,1887818.679999999934807,2277501.790000000037253,2034367.250000000000000,12667262.439999997615814
20130919,1783217.889999999897555,2579966.219999999739230,2133782.019999999552965,1882358.120000000111759,2208903.589999999850988,2045713.459999999962747,12633945.300000000745058
20130920,1764717.589999999850988,2527734.289999999571592,2086184.889999999897555,1872607.120000000111759,2200484.719999999739230,2088997.150000000139698,12540729.759999999776483
20130923,1852461.870000000111759,2546806.529999999795109,2061832.870000000111759,1859735.800000000046566,2239460.969999999739230,2061682.200000000186265,12621984.239999998360872
20130924,1846647.490000000223517,2579099.299999999813735,2055191.410000000149012,1853885.200000000186265,2255051.469999999739230,2031425.640000000130385,12621304.510000001639128
20130925,1818104.170000000158325,2568479.529999999795109,2094302.229999999981374,1859345.760000000242144,2244449.930000000167638,2012515.290000000037253,12597200.910000000149012
20130926,1835811.599999999860302,2587335.039999999571592,2101312.660000000149012,1859735.800000000046566,2250062.509999999776483,2033526.790000000037253,12667788.399999998509884
20130927,1822597.099999999860302,2573464.319999999832362,2050394.800000000046566,1864026.239999999990687,2244761.739999999757856,2028063.800000000046566,12583312.000000000000000
20130930,1800132.449999999953434,2546589.799999999813735,2017925.439999999944121,1857005.520000000018626,2232912.959999999962747,2007892.760000000009313,12462462.929999997839332
20131001,1842418.849999999860302,2552008.049999999813735,2013128.830000000074506,1901080.040000000037253,2263158.529999999795109,2030164.950000000186265,12601963.250000000000000
20131002,1848497.520000000018626,2553958.620000000111759,2033422.179999999934807,1886648.560000000055879,2262846.719999999739230,2015456.900000000139698,12600834.500000001862645
20131003,1825240.000000000000000,2497608.819999999832362,2037111.880000000121072,1886258.520000000018626,2261287.669999999459833,1981838.500000000000000,12489349.390000000596046
20131004,1823654.260000000009313,2540087.899999999906868,2101312.660000000149012,1881188.000000000000000,2275942.739999999757856,2001169.079999999841675,12623358.640000000596046
20131007,1841625.980000000214204,2529034.669999999925494,2067736.389999999897555,1867926.640000000130385,2250374.319999999832362,1957465.159999999916181,12514167.160000000149012
20131008,1815989.849999999860302,2501943.419999999925494,2024197.929999999934807,1862466.080000000074506,2228859.430000000167638,1917543.310000000288710,12351004.019999999552965
20131009,1837133.050000000046566,2480920.609999999869615,2045229.219999999972060,1843744.160000000149012,2225741.329999999608845,1931410.900000000139698,12364183.269999999552965
20131010,1848761.810000000055879,2576932.000000000000000,2122712.919999999925494,1852325.040000000037253,2306811.930000000167638,1986040.800000000046566,12693588.500000000000000
20131011,1860654.860000000102445,2556992.839999999850988,2158134.040000000037253,1844524.239999999990687,2315854.419999999459833,2019238.969999999972060,12755403.370000001043081
20131014,1872812.199999999953434,2589068.879999999888241,2144851.120000000111759,1823462.080000000074506,2329885.869999999646097,2032266.100000000093132,12792350.250000000000000
20131015,1882855.219999999972060,2561327.439999999944121,2124557.769999999552965,1816441.360000000102445,2303382.020000000018626,2010414.140000000130385,12698981.950000001117587
20131016,1892105.370000000111759,2608141.120000000111759,2161085.799999999813735,1839843.760000000242144,2344540.939999999944121,2055378.750000000000000,12901099.740000000223517
20131017,1904791.289999999804422,2650403.469999999739230,2174737.689999999478459,1837503.520000000018626,2225429.520000000018626,2083113.930000000167638,12875983.419999998062849
20131018,1921441.560000000055879,2655388.259999999776483,2170679.019999999552965,1818001.520000000018626,2144047.109999999869615,2105806.349999999627471,12815367.819999998435378
20131021,1968485.180000000167638,2632631.609999999869615,2173261.809999999590218,1814101.120000000111759,2126585.750000000000000,2101604.049999999813735,12816673.519999999552965
20131022,1962935.089999999850988,2654521.339999999850988,2183224.000000000000000,1812540.959999999962747,2147165.209999999962747,2101183.820000000298023,12861574.420000001788139
20131023,1981963.969999999972060,2796262.760000000242144,2156289.189999999478459,1816051.320000000065193,2120661.359999999869615,2089417.380000000121072,12960649.980000000447035
20131024,2008392.969999999972060,2795395.839999999385327,2134519.959999999962747,1802789.959999999962747,2108188.959999999962747,2131860.610000000335276,12981152.300000000745058
20131025,1985928.320000000065193,2843293.169999999925494,2076591.670000000158325,1815271.239999999990687,2108500.770000000018626,2133541.530000000260770,12963130.699999999254942
20131028,2000728.560000000055879,2814901.539999999571592,2055191.410000000149012,1768856.480000000214204,2087297.689999999711290,2133541.530000000260770,12860521.210000000894070
20131029,1950777.750000000000000,2810133.479999999515712,2073270.939999999944121,1777827.399999999906868,2122844.029999999795109,2145728.200000000186265,12880585.800000000745058
20131030,1981963.969999999972060,2810566.939999999944121,2062939.779999999795109,1764566.040000000037253,2120661.359999999869615,2141525.900000000372529,12882227.990000000223517
20131031,1973506.689999999944121,2828338.799999999813735,2074008.880000000121072,1758715.440000000176951,2128456.609999999869615,2066304.730000000214204,12829335.150000000372529
20131101,1963463.670000000158325,2883171.489999999757856,2046705.099999999860302,1764176.000000000000000,2139993.579999999608845,2092358.989999999990687,12889872.830000000074506
20131104,1988835.510000000009313,2877969.969999999739230,2017925.439999999944121,1783287.959999999962747,2149971.500000000000000,2063783.350000000093132,12881777.729999998584390
20131105,1983814.000000000000000,2894874.909999999683350,2034529.090000000083819,1769246.520000000018626,2142799.869999999646097,2073448.640000000130385,12898717.029999999329448
20131106,1966899.439999999944121,2884471.870000000111759,2062939.779999999795109,1792648.920000000158325,2191754.040000000037253,2091098.300000000046566,12989816.350000001490116
20131107,1934920.349999999860302,2850228.529999999795109,2031946.300000000046566,1787188.360000000102445,2175228.109999999869615,2060421.510000000009313,12839937.159999998286366
20131108,1965577.990000000223517,2893141.069999999832362,2084340.040000000037253,1825412.280000000027940,2198302.049999999813735,2083113.930000000167638,13049891.359999999403954
20131111,1959763.610000000102445,2872334.989999999757856,2083971.069999999832362,1833213.080000000074506,2198302.049999999813735,2093619.680000000167638,13041208.480000000447035
20131112,1963463.670000000158325,2868000.390000000130385,2066998.450000000186265,1856225.440000000176951,2181152.500000000000000,2083113.930000000167638,13018958.380000000819564
