代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12753829.739999998360872
真實報酬,2753829.739999998360872

夏普值報酬,0.266682974000000
夏普值風險,0.070946211590554
夏普值,3.758945939764671

預期報酬,10778.139750787626326
風險,146627.267081676982343
趨勢值,0.073507062944737
找到最佳解世代,1158
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](2),CVX[5](20),INTC[11](9),MSFT[18](1),UNH[23](3),V[25](11),
20160909,1833610.810000000055879,1651822.989999999757856,1950677.559999999823049,1878548.800000000046566,1691218.639999999897555,1754915.929999999934807,10760798.729999998584390
20160912,1874680.300000000046566,1667807.769999999785796,1985903.799999999813735,1906621.600000000093132,1715391.599999999860302,1790302.209999999962747,10940711.279999997466803
20160913,1919305.590000000083819,1621810.750000000000000,1960034.530000000027940,1889243.200000000186265,1695395.119999999878928,1766999.050000000046566,10852792.240000000223517
20160914,1987221.369999999878928,1605336.639999999897555,1960584.939999999944121,1880219.800000000046566,1692104.559999999823049,1758368.250000000000000,10883839.559999998658895
20160915,2054781.569999999832362,1622952.519999999785796,2012323.480000000214204,1911300.399999999906868,1716404.080000000074506,1769588.290000000037253,11087354.339999999850988
20160916,2043225.219999999972060,1595876.259999999776483,2073418.990000000223517,1913305.600000000093132,1752600.239999999990687,1770882.909999999916181,11149313.220000000670552
20160919,2019401.360000000102445,1599138.459999999962747,2045348.079999999841675,1902611.200000000186265,1742602.000000000000000,1780376.790000000037253,11089481.890000000596046
20160920,2019223.569999999832362,1593592.719999999739230,2044247.260000000009313,1898600.800000000279397,1739944.239999999990687,1779729.480000000214204,11075342.070000000298023
20160921,2018867.989999999990687,1625072.949999999720603,2061309.970000000204891,1930349.800000000046566,1770824.879999999888241,1795696.459999999962747,11202126.050000000745058
20160922,2037891.520000000018626,1630781.799999999813735,2066814.069999999832362,1932355.000000000000000,1785126.159999999916181,1798717.239999999990687,11251689.789999999105930
20160923,2003933.629999999888241,1618385.439999999711290,2046999.309999999823049,1919321.200000000186265,1778418.479999999748543,1781024.100000000093132,11148086.159999998286366
20160926,2006956.060000000055879,1611208.599999999860302,2017277.169999999925494,1901608.600000000093132,1768420.239999999990687,1765272.890000000130385,11070747.560000000521541
20160927,2010689.650000000139698,1614470.799999999813735,2046448.899999999906868,1936699.600000000093132,1781962.159999999916181,1772824.839999999850988,11163099.949999999254942
20160928,2025979.590000000083819,1666176.669999999925494,2060759.559999999823049,1939373.200000000186265,1777152.879999999888241,1790302.209999999962747,11259748.109999999403954
20160929,1994510.760000000242144,1651822.989999999757856,2054154.640000000130385,1918318.600000000093132,1750701.839999999850988,1767646.360000000102445,11137159.189999999478459
20160930,2009978.489999999990687,1678736.139999999897555,2077822.270000000018626,1925002.600000000093132,1771963.919999999925494,1784476.420000000158325,11247983.839999999850988
20161003,2000555.619999999878928,1671069.969999999739230,2072868.579999999841675,1918987.000000000232831,1752853.360000000102445,1787928.739999999990687,11204267.269999999552965
20161004,2009089.540000000037253,1651822.989999999757856,2066263.659999999916181,1912971.400000000139698,1748676.879999999888241,1785123.730000000214204,11173952.199999999254942
20161005,2009978.489999999990687,1667481.549999999813735,2091032.110000000102445,1926339.400000000139698,1741589.519999999785796,1798501.469999999972060,11234926.540000000968575
20161006,2024912.850000000093132,1666666.000000000000000,2095435.390000000130385,1929681.400000000139698,1727288.239999999990687,1798717.239999999990687,11242705.120000001043081
20161007,2027935.280000000027940,1668133.989999999757856,2097086.620000000111759,1931686.600000000093132,1729692.879999999888241,1788360.280000000027940,11242899.650000000372529
20161010,2063315.489999999990687,1696025.799999999813735,2092683.340000000083819,1939707.400000000139698,1747664.400000000139698,1793538.760000000009313,11332939.189999999478459
20161011,2067760.239999999990687,1680693.459999999962747,2051402.590000000083819,1911300.399999999906868,1705519.919999999925494,1770235.600000000093132,11186916.209999999031425
20161012,2086250.400000000139698,1666176.669999999925494,2043696.850000000093132,1908626.800000000046566,1709949.519999999785796,1774766.770000000018626,11189471.009999999776483
20161013,2079849.960000000195578,1643993.709999999962747,2034890.290000000037253,1902277.000000000232831,1698432.559999999823049,1766567.510000000009313,11126015.029999999329448
20161014,2091406.310000000055879,1648723.899999999674037,2061309.970000000204891,1918987.000000000232831,1695015.439999999711290,1779082.170000000158325,11194528.789999999105930
20161017,2089983.989999999990687,1653290.979999999748543,2052503.409999999916181,1912303.000000000000000,1697673.199999999953434,1772609.070000000065193,11178367.650000000372529
20161018,2088561.669999999925494,1660304.709999999962747,2077822.270000000018626,1927007.800000000046566,1814867.759999999776483,1760310.179999999934807,11328878.390000000596046
20161019,2082339.020000000018626,1668133.989999999757856,1954530.429999999934807,1922663.200000000186265,1827270.639999999897555,1786849.890000000130385,11241791.169999999925494
20161020,2081272.280000000027940,1661609.589999999850988,1950127.149999999906868,1913305.600000000093132,1836129.839999999850988,1780161.020000000018626,11222609.479999998584390
20161021,2073093.939999999944121,1652312.319999999832362,1934715.669999999925494,1993847.800000000046566,1839926.639999999897555,1776924.469999999972060,11270824.839999999850988
20161024,2091761.890000000130385,1641873.279999999795109,1940770.179999999934807,2038630.600000000093132,1831320.559999999823049,1794617.610000000102445,11338978.119999999180436
20161025,2102429.290000000037253,1643667.489999999757856,1931963.620000000111759,2038296.400000000139698,1819803.599999999860302,1770019.830000000074506,11306184.230000000447035
20161026,2055137.150000000139698,1650518.109999999636784,1922056.240000000223517,2026265.200000000186265,1800186.799999999813735,1763978.270000000018626,11218145.769999999552965
20161027,2035402.460000000195578,1629803.139999999897555,1916001.730000000214204,2008552.600000000093132,1796516.559999999823049,1767646.360000000102445,11153926.849999999627471
20161028,2021890.419999999925494,1693416.039999999571592,1912148.860000000102445,2000866.000000000000000,1776393.519999999785796,1774119.459999999962747,11178838.300000000745058
20161031,2018690.200000000186265,1708585.269999999785796,1919304.189999999944121,2002537.000000000232831,1788796.400000000139698,1780376.790000000037253,11218293.850000001490116
20161101,1982243.250000000000000,1736803.299999999813735,1900039.840000000083819,1998526.600000000093132,1764750.000000000000000,1761173.260000000009313,11143540.250000000000000
20161102,1984021.150000000139698,1719024.309999999823049,1904443.120000000111759,1986161.200000000186265,1759054.799999999813735,1738733.179999999934807,11091441.759999999776483
20161103,1952730.110000000102445,1719024.309999999823049,1867565.649999999906868,1978808.800000000046566,1744500.400000000139698,1740243.570000000065193,11002876.839999999850988
20161104,1935128.900000000139698,1709074.599999999860302,1849952.530000000027940,1962098.800000000046566,1742981.679999999934807,1733986.239999999990687,10933226.750000000000000
20161107,1963041.929999999934807,1742838.369999999646097,1909396.809999999823049,2019247.000000000232831,1796390.000000000000000,1780376.790000000037253,11211294.899999998509884
20161108,1974598.280000000027940,1750015.209999999962747,1912148.860000000102445,2020918.000000000000000,1808666.320000000065193,1788360.280000000027940,11254710.949999999254942
20161109,1971398.060000000055879,1755724.059999999823049,1912699.270000000018626,2010892.000000000232831,1796010.320000000065193,1796128.000000000000000,11242855.710000000894070
20161110,1916460.950000000186265,1758170.709999999962747,1898939.020000000018626,1961764.600000000093132,1849545.199999999953434,1766567.510000000009313,11151451.989999998360872
20161111,1927839.510000000242144,1739413.059999999823049,1904993.530000000027940,1972459.000000000232831,1853215.439999999711290,1766783.280000000027940,11164707.820000000298023
20161114,1879480.629999999888241,1738597.509999999776483,1897838.199999999953434,1942381.000000000000000,1927379.599999999860302,1691263.780000000027940,11076944.719999998807907
20161115,1904371.229999999981374,1777254.579999999608845,1921505.829999999841675,1967446.000000000000000,1926746.799999999813735,1695363.409999999916181,11192691.849999999627471
20161116,1955574.750000000000000,1767304.869999999646097,1917652.960000000195578,1993513.600000000093132,1917507.919999999925494,1727944.679999999934807,11279502.779999999329448
20161117,1954863.590000000083819,1763553.339999999850988,1927560.340000000083819,2026599.400000000139698,1908269.040000000037253,1749305.909999999916181,11330155.620000001043081
20161118,1956819.280000000027940,1781169.219999999739230,1923707.470000000204891,2016907.600000000093132,1891563.119999999878928,1743911.659999999916181,11314082.349999999627471
20161121,1986510.210000000195578,1797154.000000000000000,1925358.699999999953434,2033951.800000000046566,1903712.879999999888241,1762683.649999999906868,11409375.240000000223517
20161122,1987754.739999999990687,1804330.839999999850988,1952879.199999999953434,2042641.000000000000000,1927126.479999999748543,1724708.130000000121072,11439444.390000000596046
20161123,1977620.710000000195578,1810529.019999999785796,1937467.720000000204891,2018578.600000000093132,1943326.159999999916181,1716940.409999999916181,11404466.620000001043081
20161125,1987576.950000000186265,1810529.019999999785796,1950677.559999999823049,2022923.200000000186265,1934087.280000000027940,1729023.530000000027940,11434821.539999999105930
20161128,1983665.569999999832362,1802373.519999999785796,1954530.429999999934807,2025596.800000000046566,1925228.080000000074506,1706367.679999999934807,11397766.079999998211861
20161129,1981709.879999999888241,1783452.759999999776483,1943522.230000000214204,2041638.400000000139698,1994582.959999999962747,1707878.070000000065193,11452788.300000000745058
20161130,1964997.619999999878928,1819663.179999999934807,1909947.220000000204891,2013899.800000000046566,2003821.839999999850988,1668392.159999999916181,11380725.820000000298023
20161201,1946685.250000000000000,1847881.209999999962747,1858208.679999999934807,1978474.600000000093132,2036980.559999999823049,1627611.630000000121072,11295845.930000001564622
20161202,1953974.640000000130385,1843151.019999999785796,1880225.079999999841675,1980145.600000000093132,2034322.799999999813735,1633868.959999999962747,11325692.100000001490116
20161205,1939929.229999999981374,1847228.769999999785796,1892884.510000000009313,2012563.000000000000000,1995089.199999999953434,1668176.390000000130385,11355875.099999999627471
20161206,1954863.590000000083819,1839236.379999999888241,1911048.040000000037253,2003539.600000000093132,1991165.839999999850988,1663860.989999999990687,11363718.439999999478459
20161207,1974064.910000000149012,1866638.859999999636784,1953980.020000000018626,2050996.000000000000000,2017490.320000000065193,1711330.390000000130385,11574504.500000000000000
20161208,1993444.020000000018626,1878545.889999999897555,1964988.220000000204891,2038964.800000000046566,2016477.839999999850988,1710683.080000000074506,11603107.849999999627471
20161209,2025979.590000000083819,1888984.929999999934807,1968290.679999999934807,2071048.000000000000000,2026602.639999999897555,1707662.300000000046566,11688572.140000000596046
20161212,2014423.239999999990687,1910841.669999999925494,1979849.290000000037253,2077732.000000000232831,2018629.360000000102445,1693853.020000000018626,11695332.580000000074506
20161213,2048025.550000000046566,1915245.639999999897555,2025533.319999999832362,2104802.200000000186265,2031918.159999999916181,1708956.920000000158325,11834485.789999999105930
20161214,2048025.550000000046566,1891431.579999999608845,2011773.069999999832362,2094776.200000000186265,2023312.080000000074506,1707446.530000000027940,11776769.009999999776483
20161215,2059226.319999999832362,1909210.569999999832362,2024982.909999999916181,2091434.199999999953434,2032930.639999999897555,1715430.020000000018626,11833218.660000000149012
20161216,2061893.169999999925494,1926010.899999999674037,1998563.230000000214204,2082076.600000000093132,2074948.559999999823049,1690616.469999999972060,11834112.930000001564622
20161219,2073805.100000000093132,1918997.169999999925494,2030487.010000000009313,2126191.000000000000000,2044574.159999999916181,1685222.219999999972060,11879280.660000000149012
20161220,2079316.590000000083819,1923890.469999999739230,2048100.130000000121072,2123517.399999999906868,2045206.959999999962747,1690832.239999999990687,11910867.790000000968575
20161221,2081272.280000000027940,1923238.029999999795109,2035440.699999999953434,2123517.399999999906868,2041916.400000000139698,1686085.300000000046566,11891474.110000001266599
20161222,2067582.450000000186265,1937265.489999999757856,2032688.649999999906868,2123851.600000000093132,2045080.400000000139698,1680906.820000000065193,11887379.410000000149012
20161223,2071671.619999999878928,1931556.639999999897555,2034890.290000000037253,2113491.400000000372529,2063431.599999999860302,1686301.070000000065193,11901346.620000001043081
20161227,2084828.080000000074506,1928294.439999999711290,2040394.390000000130385,2114828.200000000186265,2058495.759999999776483,1690616.469999999972060,11917461.340000001713634
20161228,2075938.580000000074506,1923238.029999999795109,2016176.350000000093132,2105136.400000000372529,2043308.559999999823049,1689537.619999999878928,11853339.539999999105930
20161229,2075405.210000000195578,1921770.039999999571592,2017827.579999999841675,2102128.600000000093132,2038246.159999999916181,1690184.929999999934807,11845566.519999999552965
20161230,2059226.319999999832362,1919812.719999999739230,1996361.590000000083819,2076729.400000000139698,2025590.159999999916181,1683496.059999999823049,11761220.250000000000000
20170103,2065093.390000000130385,1922259.369999999646097,2014525.120000000111759,2091434.199999999953434,2043435.119999999878928,1715430.020000000018626,11852181.219999998807907
20170104,2062782.119999999878928,1921770.039999999571592,2004067.329999999841675,2082076.600000000093132,2049256.879999999888241,1729455.070000000065193,11849412.039999999105930
20170105,2073271.729999999981374,1913451.429999999934807,2000764.870000000111759,2082076.600000000093132,2052674.000000000000000,1749737.450000000186265,11871980.080000001937151
20170106,2096384.429999999934807,1905785.259999999776483,2007920.199999999953434,2100123.400000000372529,2055584.879999999888241,1773903.689999999944121,11939705.859999999403954
20170109,2115585.750000000000000,1889474.259999999776483,2015075.530000000027940,2093439.400000000139698,2049763.119999999878928,1763978.270000000018626,11927320.330000000074506
20170110,2117719.229999999981374,1875120.579999999608845,2011222.659999999916181,2092771.000000000000000,2045080.400000000139698,1754484.390000000130385,11896402.259999999776483
20170111,2129097.790000000037253,1890942.250000000000000,2033789.470000000204891,2111820.399999999906868,2049003.759999999776483,1765057.119999999878928,11979714.789999999105930
20170112,2120208.290000000037253,1894693.779999999795109,2020579.630000000121072,2092436.800000000046566,2054952.080000000074506,1755779.010000000009313,11938653.589999999850988
20170113,2116474.700000000186265,1898282.199999999720603,2024982.909999999916181,2095444.600000000093132,2047864.719999999972060,1751463.610000000102445,11934516.740000000223517
