代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13246447.609999997541308
真實報酬,3246447.609999997541308

夏普值報酬,0.315944761000000
夏普值風險,0.077680464877707
夏普值,4.067235713604357

預期報酬,11800.266177763620362
風險,249613.817872401705245
趨勢值,0.047274090346215
找到最佳解世代,1525
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,8
AAPL[0](9),CAT[3](8),DIS[6](1),DD[7](6),INTC[11](2),MRK[17](4),NKE[19](21),UNH[23](7),
20140113,1204211.150000000139698,1328159.750000000000000,1298375.599999999860302,1340550.070000000065193,1337037.120000000111759,1332529.649999999906868,1187453.780000000027940,1240937.179999999934807,10269254.299999998882413
20140114,1228285.700000000186265,1338059.000000000000000,1319285.199999999953434,1364816.590000000083819,1389993.440000000176951,1329519.449999999953434,1187453.780000000027940,1242279.819999999832362,10399692.980000000447035
20140115,1252832.300000000279397,1365392.750000000000000,1316272.800000000046566,1377623.920000000158325,1398382.560000000288710,1317478.650000000139698,1191560.350000000093132,1256041.879999999888241,10475585.210000000894070
20140116,1245908.900000000139698,1359482.750000000000000,1315032.399999999906868,1378747.370000000111759,1391566.400000000139698,1316976.949999999953434,1181451.869999999878928,1221133.239999999990687,10410299.880000000819564
20140117,1215383.000000000000000,1351061.000000000000000,1310956.800000000046566,1378297.989999999990687,1355388.320000000298023,1303180.199999999953434,1159339.570000000065193,1217105.319999999832362,10290712.200000001117587
20140121,1234265.000000000000000,1338650.000000000000000,1314855.199999999953434,1469746.820000000065193,1341756.000000000000000,1300170.000000000000000,1165025.590000000083819,1227846.439999999944121,10392315.050000000745058
20140122,1239772.250000000232831,1324466.000000000000000,1334524.399999999906868,1461657.979999999981374,1327075.040000000037253,1288129.199999999953434,1160919.020000000018626,1231874.360000000102445,10368418.250000000000000
20140123,1250157.350000000093132,1307327.000000000000000,1325310.000000000000000,1431100.139999999897555,1317637.280000000027940,1294400.449999999953434,1148915.199999999953434,1228517.760000000009313,10303365.179999999701977
20140124,1227498.950000000186265,1273196.750000000000000,1288629.599999999860302,1389083.110000000102445,1300859.040000000037253,1303932.749999999767169,1131857.139999999897555,1201664.959999999729916,10116722.299999998882413
20140127,1237412.000000000000000,1348844.750000000000000,1280301.199999999953434,1379196.750000000000000,1296140.160000000149012,1317729.500000000000000,1135647.820000000065193,1202504.110000000102445,10197776.289999999105930
20140128,1138596.200000000186265,1366279.250000000000000,1291464.799999999813735,1377848.610000000102445,1305577.919999999925494,1326258.399999999906868,1148283.420000000158325,1203511.089999999850988,10157819.689999999478459
20140129,1125693.500000000232831,1338945.500000000000000,1263998.799999999813735,1431324.830000000074506,1294042.880000000121072,1309702.300000000046566,1133752.479999999981374,1195958.739999999990687,10093419.029999999329448
20140130,1123490.600000000093132,1377065.000000000000000,1297489.599999999860302,1449974.100000000093132,1297188.800000000046566,1342312.799999999813735,1167868.600000000093132,1221804.559999999823049,10277194.060000000521541
20140131,1125221.450000000186265,1387555.250000000000000,1286680.399999999906868,1456265.420000000158325,1286702.400000000139698,1328766.899999999906868,1150494.650000000139698,1213077.399999999906868,10234763.870000001043081
20140203,1127424.350000000093132,1365540.500000000000000,1240253.999999999767169,1429976.689999999944121,1255767.520000000018626,1306441.250000000000000,1119537.429999999934807,1187231.579999999841675,10032173.319999998435378
20140204,1143631.400000000139698,1366722.500000000000000,1259037.199999999953434,1438739.600000000093132,1248951.360000000102445,1342312.799999999813735,1113851.409999999916181,1183371.489999999990687,10096617.760000001639128
20140205,1152285.650000000139698,1358744.000000000000000,1271618.400000000139698,1435144.560000000055879,1233221.760000000009313,1342814.500000000000000,1115114.969999999972060,1188574.219999999739230,10097518.060000002384186
20140206,1152128.300000000046566,1386373.250000000000000,1338954.399999999906868,1458737.010000000009313,1257864.800000000046566,1348834.900000000139698,1129645.909999999916181,1189413.369999999878928,10261951.939999999478459
20140207,1168178.000000000000000,1401739.250000000000000,1340903.600000000093132,1459186.389999999897555,1269399.840000000083819,1373919.900000000139698,1148283.420000000158325,1197637.039999999804422,10359247.439999999478459
20140210,1189105.550000000046566,1396272.500000000000000,1365534.399999999906868,1466825.850000000093132,1273594.400000000139698,1376930.099999999860302,1147967.530000000027940,1170448.579999999841675,10386678.910000000149012
20140211,1204840.550000000046566,1403069.000000000000000,1378470.000000000000000,1498731.830000000074506,1283032.160000000149012,1397248.949999999953434,1168500.380000000121072,1185217.619999999878928,10519110.490000000223517
20140212,1204683.200000000186265,1420946.750000000000000,1380596.399999999906868,1483902.290000000270084,1287226.720000000204891,1379689.449999999953434,1170711.610000000102445,1178840.079999999841675,10506596.500000001862645
20140213,1223879.900000000139698,1420060.250000000000000,1380419.199999999953434,1481655.389999999897555,1295091.520000000018626,1382197.949999999953434,1182715.429999999934807,1195119.589999999850988,10561139.230000000447035
20140214,1222778.449999999953434,1426561.250000000000000,1403986.800000000046566,1494687.409999999916181,1298237.440000000176951,1390726.849999999860302,1185558.439999999944121,1233888.319999999832362,10656424.960000000894070
20140218,1227341.600000000093132,1426709.000000000000000,1410188.799999999813735,1496934.310000000055879,1298237.440000000176951,1396998.099999999860302,1187769.670000000158325,1239091.049999999813735,10683269.969999998807907
20140219,1207987.550000000046566,1421537.750000000000000,1397607.600000000093132,1485924.500000000000000,1284605.120000000111759,1380692.849999999860302,1181767.760000000009313,1234391.809999999823049,10594514.940000001341105
20140220,1193983.399999999906868,1432028.000000000000000,1403278.000000000000000,1508393.500000000000000,1297188.800000000046566,1400008.300000000046566,1193771.580000000074506,1233217.000000000000000,10661868.580000000074506
20140221,1180766.000000000232831,1440597.500000000000000,1419934.799999999813735,1502776.250000000000000,1280410.560000000288710,1405527.000000000000000,1207986.630000000121072,1238755.389999999897555,10676754.130000000819564
20140224,1185801.200000000186265,1437938.000000000000000,1430566.800000000046566,1502326.870000000111759,1291421.280000000027940,1409289.750000000000000,1229467.150000000139698,1275677.989999999990687,10762489.040000000968575
20140225,1173527.900000000139698,1424492.750000000000000,1421352.399999999906868,1511089.780000000027940,1290896.960000000195578,1402516.799999999813735,1233889.610000000102445,1264097.719999999739230,10721863.919999998062849
20140226,1162985.449999999953434,1436165.000000000000000,1419048.799999999813735,1530413.120000000111759,1300334.720000000204891,1411547.400000000139698,1238627.959999999962747,1276517.139999999897555,10775639.589999999850988
20140227,1186115.899999999906868,1428777.500000000000000,1426136.800000000046566,1552208.050000000046566,1298237.440000000176951,1421330.549999999813735,1232310.159999999916181,1275845.819999999832362,10820962.220000000670552
20140228,1182968.900000000139698,1432766.750000000000000,1431984.399999999906868,1558724.060000000055879,1298237.440000000176951,1429608.600000000093132,1236732.619999999878928,1296824.569999999832362,10867847.339999999850988
20140303,1186273.250000000000000,1423015.250000000000000,1408062.399999999906868,1549961.150000000139698,1284605.120000000111759,1415310.149999999906868,1222517.570000000065193,1293971.459999999729916,10783716.349999999627471
20140304,1194140.750000000000000,1433505.500000000000000,1447932.399999999906868,1582765.889999999897555,1290372.640000000130385,1431364.550000000046566,1241786.860000000102445,1311257.949999999953434,10933126.539999999105930
20140305,1196658.350000000093132,1423901.750000000000000,1465120.800000000046566,1597146.050000000046566,1284605.120000000111759,1426849.250000000000000,1222833.459999999962747,1308908.329999999841675,10926023.110000001266599
20140306,1193039.300000000046566,1442075.000000000000000,1476816.000000000000000,1592876.939999999944121,1291421.280000000027940,1436381.549999999813735,1235469.060000000055879,1303034.280000000027940,10971113.410000000149012
20140307,1192409.900000000139698,1433948.750000000000000,1456792.399999999906868,1584338.720000000204891,1291945.600000000093132,1441649.399999999906868,1255054.239999999990687,1299006.360000000102445,10955145.370000001043081
20140310,1193511.350000000093132,1429516.250000000000000,1452539.599999999860302,1594449.769999999785796,1302432.000000000000000,1437886.649999999906868,1247472.880000000121072,1307062.199999999953434,10964870.699999999254942
20140311,1204997.900000000139698,1430846.000000000000000,1436237.199999999953434,1576249.880000000121072,1296664.480000000214204,1422083.099999999860302,1244629.869999999878928,1305383.899999999906868,10917092.330000000074506
20140312,1206256.699999999953434,1430550.500000000000000,1442084.799999999813735,1568835.109999999869615,1298237.440000000176951,1425093.300000000046566,1247472.880000000121072,1302362.959999999729916,10920893.689999999478459
20140313,1192881.950000000186265,1412672.750000000000000,1416390.800000000046566,1559622.820000000065193,1288275.360000000102445,1399506.599999999860302,1240523.300000000046566,1292460.989999999990687,10802334.570000000298023
20140314,1179507.199999999953434,1409422.250000000000000,1418871.599999999860302,1556701.850000000093132,1284605.120000000111759,1397248.949999999953434,1237048.510000000009313,1270475.260000000009313,10753880.740000000223517
20140317,1184070.350000000093132,1413559.250000000000000,1442262.000000000000000,1567936.350000000093132,1295091.520000000018626,1411296.549999999813735,1247472.880000000121072,1288265.239999999990687,10849954.140000000596046
20140318,1194455.449999999953434,1424492.750000000000000,1452893.999999999767169,1589281.900000000139698,1301383.360000000102445,1413805.050000000046566,1257897.250000000000000,1309076.159999999916181,10943285.920000001788139
20140319,1194140.750000000000000,1419026.000000000000000,1426845.599999999860302,1587484.380000000121072,1311869.760000000009313,1404523.600000000093132,1250315.889999999897555,1341970.839999999850988,10936176.820000000298023
20140320,1188476.150000000139698,1421537.750000000000000,1431984.399999999906868,1607706.479999999981374,1333366.880000000121072,1394489.600000000093132,1252211.229999999981374,1368320.149999999906868,10998092.640000000596046
20140321,1197759.800000000279397,1438972.250000000000000,1423833.199999999953434,1606583.030000000027940,1319734.560000000288710,1371160.549999999813735,1187769.670000000158325,1365131.379999999888241,10910944.440000001341105
20140324,1212078.650000000139698,1430993.750000000000000,1408593.999999999767169,1605010.200000000186265,1317112.960000000195578,1349085.750000000000000,1182399.540000000037253,1364124.399999999906868,10869399.250000001862645
20140325,1225138.700000000186265,1456702.250000000000000,1409657.199999999953434,1620513.810000000055879,1334939.840000000083819,1384455.599999999860302,1163446.139999999897555,1361103.459999999729916,10955957.000000000000000
20140326,1213337.450000000186265,1445030.000000000000000,1393177.600000000093132,1581642.439999999944121,1330745.280000000027940,1405276.150000000139698,1156496.560000000055879,1368487.979999999981374,10894193.460000000894070
20140327,1208144.900000000139698,1454633.750000000000000,1390696.800000000046566,1535580.989999999990687,1327075.040000000037253,1398001.499999999767169,1158076.010000000009313,1359760.819999999832362,10831969.810000000521541
20140328,1206728.750000000000000,1468522.250000000000000,1399733.999999999767169,1542321.689999999944121,1343328.960000000195578,1404272.749999999767169,1161550.800000000046566,1369830.619999999878928,10896289.819999998435378
20140331,1206571.400000000139698,1468226.750000000000000,1418871.599999999860302,1554904.330000000074506,1353291.040000000037253,1424089.900000000139698,1166605.040000000037253,1376040.329999999841675,10968600.389999998733401
20140401,1217585.899999999906868,1474727.750000000000000,1445451.599999999860302,1590630.040000000270084,1362728.800000000046566,1414055.899999999906868,1175134.070000000065193,1373522.879999999888241,11053836.940000001341105
20140402,1219631.450000000186265,1516393.250000000000000,1447223.600000000093132,1596696.670000000158325,1357485.600000000093132,1416313.550000000046566,1177345.300000000046566,1369662.789999999804422,11100752.210000000894070
20140403,1211134.550000000046566,1515211.250000000000000,1447578.000000000000000,1585911.550000000046566,1384750.240000000223517,1410042.300000000046566,1168500.380000000121072,1380403.909999999916181,11103532.180000001564622
20140404,1195399.550000000046566,1509596.750000000000000,1425250.800000000046566,1558049.989999999990687,1371642.240000000223517,1407784.649999999906868,1150494.650000000139698,1368320.149999999906868,10986538.780000001192093
20140407,1176674.900000000139698,1493935.250000000000000,1402214.799999999813735,1533783.470000000204891,1388944.800000000046566,1384455.599999999860302,1118905.650000000139698,1360767.799999999813735,10859682.269999999552965
20140408,1176674.900000000139698,1512847.250000000000000,1410011.599999999860302,1538277.269999999785796,1410966.240000000223517,1380692.849999999860302,1151758.209999999962747,1353718.939999999944121,10934947.259999999776483
20140409,1192095.200000000186265,1521712.250000000000000,1425959.599999999860302,1567037.589999999850988,1414636.480000000214204,1432367.949999999953434,1161866.689999999944121,1365970.530000000027940,11081646.289999999105930
20140410,1176674.900000000139698,1510926.500000000000000,1373508.400000000139698,1526368.700000000186265,1385798.880000000121072,1401011.699999999953434,1144492.739999999990687,1342474.329999999841675,10861256.150000000372529
20140411,1168020.650000000139698,1498958.750000000000000,1364648.400000000139698,1502326.870000000111759,1372690.880000000121072,1402767.649999999906868,1125539.340000000083819,1325020.010000000009313,10759972.550000000745058
20140414,1172741.150000000139698,1518609.500000000000000,1375457.600000000093132,1519852.689999999944121,1392615.040000000037253,1393987.899999999906868,1143229.179999999934807,1328880.100000000093132,10845373.160000000149012
20140415,1164244.250000000000000,1514472.500000000000000,1376166.399999999906868,1522099.589999999850988,1403625.760000000009313,1406028.699999999953434,1141649.729999999981374,1334418.489999999990687,10862705.419999999925494
20140416,1166604.500000000000000,1520825.750000000000000,1399025.199999999953434,1551983.359999999869615,1412014.880000000121072,1411296.549999999813735,1154601.219999999972060,1312264.929999999934807,10928616.390000000596046
20140417,1179979.250000000000000,1519348.250000000000000,1417453.999999999767169,1558948.750000000000000,1417782.400000000139698,1416564.399999999906868,1169448.050000000046566,1271817.899999999906868,10951343.000000001862645
20140421,1193983.399999999906868,1516541.000000000000000,1401860.399999999906868,1559847.510000000009313,1413063.520000000018626,1436130.699999999953434,1167236.820000000065193,1257888.010000000009313,10946551.359999999403954
20140422,1195242.199999999953434,1532054.750000000000000,1407885.199999999953434,1566138.830000000074506,1407296.000000000000000,1449174.900000000139698,1174186.400000000139698,1271482.239999999990687,11003460.520000001415610
20140423,1179507.199999999953434,1527474.500000000000000,1409125.599999999860302,1579844.920000000158325,1402577.120000000111759,1442401.949999999953434,1170395.719999999972060,1264265.549999999813735,10975592.559999998658895
20140424,1276277.450000000186265,1555547.000000000000000,1410366.000000000000000,1575575.810000000055879,1402577.120000000111759,1443154.500000000000000,1159339.570000000065193,1285412.129999999888241,11108249.579999998211861
20140425,1285718.449999999953434,1546829.750000000000000,1386266.800000000046566,1551983.359999999869615,1376885.440000000176951,1435879.850000000093132,1148283.420000000158325,1269803.939999999944121,11001651.009999999776483
20140428,1335441.050000000279397,1540476.500000000000000,1378292.800000000046566,1513336.679999999934807,1380555.679999999934807,1421832.250000000000000,1132173.030000000027940,1271146.579999999841675,10973254.570000000298023
20140429,1331507.300000000279397,1555842.500000000000000,1393532.000000000000000,1558274.679999999934807,1388420.480000000214204,1473005.649999999906868,1144808.630000000121072,1262083.760000000009313,11107475.000000001862645
20140430,1326472.100000000093132,1557320.000000000000000,1405936.000000000000000,1596696.670000000158325,1399431.200000000186265,1468992.050000000046566,1152389.989999999990687,1259398.479999999981374,11166636.490000000223517
20140501,1329619.100000000093132,1552444.250000000000000,1409834.399999999906868,1558724.060000000055879,1386847.520000000018626,1495582.149999999906868,1151758.209999999962747,1257888.010000000009313,11142697.700000001117587
20140502,1331979.350000000093132,1551557.750000000000000,1423124.399999999906868,1558049.989999999990687,1384750.240000000223517,1460463.149999999906868,1152705.880000000121072,1259230.649999999906868,11121861.410000002011657
20140505,1350861.350000000093132,1544318.000000000000000,1439249.599999999860302,1579395.540000000270084,1372166.560000000288710,1470748.000000000000000,1157760.119999999878928,1262587.250000000000000,11177086.419999999925494
20140506,1336227.800000000046566,1534714.250000000000000,1435882.800000000046566,1571531.389999999897555,1373739.520000000018626,1432618.800000000046566,1141333.840000000083819,1263090.739999999990687,11089139.140000000596046
20140507,1331507.300000000279397,1545795.500000000000000,1422770.000000000000000,1584563.409999999916181,1382652.960000000195578,1400760.850000000093132,1140070.280000000027940,1307565.689999999944121,11115685.990000000223517
20140508,1321751.600000000093132,1550523.500000000000000,1445983.199999999953434,1574677.050000000046566,1381080.000000000000000,1375425.000000000000000,1153969.439999999944121,1290447.030000000027940,11093856.819999998435378
20140509,1316244.350000000093132,1552296.500000000000000,1452185.199999999953434,1576699.260000000009313,1378982.720000000204891,1384957.300000000046566,1160287.239999999990687,1291454.010000000009313,11113106.580000000074506
20140512,1332608.750000000000000,1569140.000000000000000,1460513.600000000093132,1603886.750000000000000,1382652.960000000195578,1386964.099999999860302,1178924.750000000000000,1304712.579999999841675,11219403.490000000223517
20140513,1334654.300000000046566,1583176.250000000000000,1454488.799999999813735,1601639.850000000093132,1386847.520000000018626,1398503.199999999953434,1178292.969999999972060,1309747.479999999981374,11247350.369999999180436
20140514,1334969.000000000232831,1574015.750000000000000,1433933.600000000093132,1606358.339999999850988,1380555.679999999934807,1414055.899999999906868,1162182.580000000074506,1295146.270000000018626,11201217.119999999180436
20140515,1323639.800000000279397,1551262.250000000000000,1420289.199999999953434,1555578.400000000139698,1363777.440000000176951,1402015.099999999860302,1152074.100000000093132,1283566.000000000000000,11052202.290000000968575
20140516,1343151.200000000186265,1566628.250000000000000,1424542.000000000000000,1567262.280000000027940,1353815.360000000102445,1401513.399999999906868,1167868.600000000093132,1286419.110000000102445,11111200.199999999254942
20140519,1359043.550000000279397,1557172.250000000000000,1436237.199999999953434,1578721.470000000204891,1365350.400000000139698,1413554.199999999953434,1176397.630000000121072,1295649.760000000009313,11182126.460000000894070
20140520,1359358.250000000000000,1500584.000000000000000,1436946.000000000000000,1591528.800000000046566,1365350.400000000139698,1404774.449999999953434,1157128.340000000083819,1286586.939999999944121,11102257.179999999701977
20140521,1362977.300000000279397,1520087.000000000000000,1456438.000000000000000,1598044.810000000055879,1373739.520000000018626,1419323.750000000000000,1171975.170000000158325,1304376.919999999925494,11206962.470000000670552
20140522,1365022.850000000093132,1523042.000000000000000,1459273.199999999953434,1592876.939999999944121,1371117.919999999925494,1417066.100000000093132,1182715.429999999934807,1314782.379999999888241,11225896.820000000298023
20140523,1380443.150000000139698,1537078.250000000000000,1476461.599999999860302,1621637.260000000009313,1378458.400000000139698,1425093.300000000046566,1197878.150000000139698,1321999.069999999832362,11339049.180000001564622
20140527,1406405.899999999906868,1531907.000000000000000,1483903.999999999767169,1629726.100000000093132,1400479.840000000083819,1422083.099999999860302,1210197.860000000102445,1327705.289999999804422,11412409.089999997988343
20140528,1402629.500000000000000,1520530.250000000000000,1481423.199999999953434,1656688.900000000139698,1409393.280000000027940,1414808.449999999953434,1204827.729999999981374,1318810.299999999813735,11409111.609999999403954
20140529,1428277.550000000046566,1530725.000000000000000,1489042.800000000046566,1678933.209999999962747,1413587.840000000083819,1447418.949999999953434,1206407.179999999934807,1332068.869999999878928,11526461.399999998509884
20140530,1422927.650000000139698,1510483.250000000000000,1488688.400000000139698,1667698.709999999962747,1432463.360000000102445,1451432.550000000046566,1214936.209999999962747,1336432.449999999953434,11525062.580000001937151
20140602,1413171.950000000186265,1533089.000000000000000,1493295.599999999860302,1680281.350000000093132,1429317.440000000176951,1453188.500000000000000,1211777.310000000055879,1333747.169999999925494,11547868.320000000298023
20140603,1433155.400000000139698,1543874.750000000000000,1486384.799999999813735,1683427.010000000009313,1450290.240000000223517,1452686.799999999813735,1193455.689999999944121,1340628.199999999953434,11583902.889999998733401
20140604,1449519.800000000279397,1541215.250000000000000,1492763.999999999767169,1679382.589999999850988,1447144.320000000298023,1453188.500000000000000,1202616.500000000000000,1351201.489999999990687,11617032.450000001117587
20140605,1455184.400000000139698,1580369.000000000000000,1502332.800000000046566,1683876.389999999897555,1450290.240000000223517,1457452.949999999953434,1198509.929999999934807,1339285.559999999823049,11667301.269999999552965
20140606,1451093.300000000046566,1598394.500000000000000,1499320.399999999906868,1700054.070000000065193,1477030.560000000288710,1451181.699999999953434,1204195.949999999953434,1341467.350000000093132,11722737.829999998211861
20140609,1474381.100000000093132,1606816.250000000000000,1514736.800000000046566,1695560.269999999785796,1463398.240000000223517,1453439.349999999860302,1211145.530000000027940,1338614.239999999990687,11758091.779999999329448
20140610,1483035.350000000093132,1615090.250000000000000,1501801.199999999953434,1700728.139999999897555,1480700.800000000046566,1467236.100000000093132,1205459.510000000009313,1339453.389999999897555,11793504.740000000223517
20140611,1476898.700000000186265,1605929.750000000000000,1494004.399999999906868,1691515.850000000093132,1464446.880000000121072,1475263.300000000046566,1186822.000000000000000,1345495.270000000018626,11740376.149999998509884
20140612,1452194.750000000232831,1575788.750000000000000,1467247.199999999953434,1663878.979999999981374,1466019.840000000083819,1462469.949999999953434,1181135.979999999981374,1333243.679999999934807,11601979.129999998956919
20140613,1436302.400000000139698,1577561.750000000000000,1467247.199999999953434,1676686.310000000055879,1566164.960000000195578,1460964.850000000093132,1178608.860000000102445,1328880.100000000093132,11692416.429999999701977
20140616,1450778.600000000093132,1578152.750000000000000,1476107.199999999953434,1673540.650000000139698,1573505.440000000176951,1456700.399999999906868,1177661.189999999944121,1309076.159999999916181,11695522.390000000596046
20140617,1448890.400000000139698,1576084.250000000000000,1473626.399999999906868,1663878.979999999981374,1570359.520000000018626,1456449.550000000046566,1186190.219999999972060,1311929.270000000018626,11687408.590000001713634
20140618,1450463.900000000139698,1588052.000000000000000,1481068.799999999813735,1680506.040000000270084,1569310.880000000121072,1465229.299999999813735,1203564.170000000158325,1329383.589999999850988,11767578.679999999701977
20140619,1445428.700000000186265,1584653.750000000000000,1484435.599999999860302,1666125.880000000121072,1577700.000000000000000,1462469.949999999953434,1194719.250000000000000,1351201.489999999990687,11766734.619999999180436
20140620,1430480.449999999953434,1616124.500000000000000,1467601.599999999860302,1678933.209999999962747,1583467.520000000018626,1478022.649999999906868,1186190.219999999972060,1366306.189999999944121,11807126.339999999850988
20140623,1429221.650000000139698,1607259.500000000000000,1466538.400000000139698,1692414.609999999869615,1585040.480000000214204,1467486.949999999953434,1191876.239999999990687,1367648.829999999841675,11807486.660000000149012
