代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14220444.180000001564622
真實報酬,4220444.180000001564622

夏普值報酬,0.413344418000000
夏普值風險,0.099782473565462
夏普值,4.142455114913825

預期報酬,16743.999829690037586
風險,173535.811670882045291
趨勢值,0.096487287946339
找到最佳解世代,2703
找到最佳解實驗#,2
找到最佳解次數,11

stock[index](rank)
投資組合檔數,7
BA[2](7),CSCO[4](21),DD[7](11),MMM[16](1),NKE[19](2),PFE[20](17),UNH[23](10),
20121217,1435686.840000000083819,1519225.000000000000000,1505664.600000000093132,1461241.559999999823049,1436191.599999999860302,1447983.979999999981374,1427783.049999999813735,10233779.629999998956919
20121218,1452418.679999999934807,1539622.149999999906868,1551854.300000000046566,1474121.299999999813735,1449674.199999999953434,1463971.140000000130385,1443279.399999999906868,10374944.169999999925494
20121219,1452226.360000000102445,1531312.199999999953434,1534574.699999999953434,1461084.489999999757856,1433260.599999999860302,1447413.010000000242144,1431197.500000000000000,10291071.859999999403954
20121220,1465496.440000000176951,1529045.849999999860302,1537565.400000000139698,1478519.259999999776483,1450846.599999999860302,1451980.770000000018626,1456674.549999999813735,10370131.870000001043081
20121221,1464919.479999999981374,1507893.250000000000000,1513972.100000000093132,1462341.049999999813735,1540535.199999999953434,1431996.820000000065193,1445380.599999999860302,10367041.500000000000000
20121224,1461073.080000000074506,1498072.399999999906868,1522944.199999999953434,1463754.679999999934807,1547569.599999999860302,1431996.820000000065193,1440652.899999999906868,10366066.679999999701977
20121226,1462034.679999999934807,1504871.450000000186265,1534242.400000000139698,1461869.839999999850988,1504777.000000000000000,1441132.339999999850988,1424105.949999999953434,10333036.660000000149012
20121227,1458380.600000000093132,1484474.300000000046566,1519953.500000000000000,1455115.829999999841675,1517087.199999999720603,1435422.640000000130385,1429884.249999999767169,10300321.320000000298023
20121228,1436456.119999999878928,1469365.300000000046566,1496360.200000000186265,1441607.809999999823049,1494811.599999999860302,1421148.390000000130385,1414650.549999999813735,10174402.969999998807907
20121231,1449341.560000000055879,1484474.300000000046566,1529922.500000000000000,1458414.299999999813735,1512397.599999999860302,1431996.820000000065193,1424631.250000000000000,10291181.330000000074506
20130102,1482228.279999999795109,1536600.350000000093132,1564149.400000000139698,1488728.809999999823049,1519432.000000000000000,1479387.330000000074506,1432510.750000000000000,10503039.919999999925494
20130103,1489921.080000000074506,1544910.300000000046566,1568801.600000000093132,1487001.039999999804422,1535259.399999999906868,1475961.510000000242144,1365535.000000000000000,10467392.929999999701977
20130104,1494152.119999999878928,1547176.650000000139698,1591398.000000000000000,1497995.939999999944121,1549914.399999999906868,1482242.180000000167638,1368161.500000000000000,10531043.789999999105930
20130107,1464150.199999999953434,1532823.100000000093132,1589736.500000000232831,1499880.779999999795109,1552259.199999999953434,1483384.120000000111759,1368161.500000000000000,10490398.400000000372529
20130108,1425686.199999999953434,1534334.000000000000000,1566475.500000000000000,1500037.849999999860302,1535845.599999999860302,1485668.000000000000000,1350038.649999999906868,10398088.799999998882413
20130109,1476266.360000000102445,1533578.550000000046566,1585416.600000000093132,1514331.219999999739230,1537604.199999999953434,1511361.649999999906868,1375515.699999999953434,10534077.279999999329448
20130110,1482612.920000000158325,1544154.850000000093132,1601367.000000000000000,1521870.579999999841675,1540535.199999999953434,1527919.780000000260770,1394951.799999999813735,10613415.130000002682209
20130111,1445495.159999999916181,1547176.650000000139698,1602363.899999999906868,1512289.309999999823049,1556362.599999999860302,1514216.500000000000000,1387334.949999999953434,10565242.069999998435378
20130114,1472227.639999999897555,1584193.699999999953434,1622301.900000000139698,1524854.909999999916181,1559293.599999999860302,1526777.839999999850988,1401518.049999999813735,10691170.640000000596046
20130115,1479728.119999999878928,1584949.150000000139698,1613329.800000000046566,1528153.379999999888241,1572189.999999999767169,1519926.200000000186265,1408346.949999999953434,10706626.599999999627471
20130116,1429724.920000000158325,1588726.400000000139698,1592727.199999999953434,1533022.549999999813735,1575121.000000000000000,1519355.229999999981374,1409397.549999999813735,10648077.850000001490116
20130117,1447418.360000000102445,1582682.800000000046566,1600037.800000000046566,1540561.909999999916181,1567500.399999999674037,1531916.570000000065193,1428833.649999999906868,10698954.490000000223517
20130118,1443187.320000000065193,1587970.949999999953434,1599373.200000000186265,1550928.529999999795109,1562224.599999999860302,1515358.439999999944121,1433036.050000000046566,10692082.089999999850988
20130122,1426263.159999999916181,1576639.200000000186265,1606683.800000000046566,1560195.659999999916181,1567500.399999999674037,1523352.020000000018626,1471382.949999999953434,10732020.189999999478459
20130123,1428763.320000000065193,1557752.950000000186265,1612665.200000000186265,1562708.779999999795109,1556362.599999999860302,1521639.109999999869615,1468493.799999999813735,10708388.759999997913837
20130124,1448572.279999999795109,1587970.949999999953434,1629280.200000000186265,1565536.039999999804422,1578638.199999999953434,1533058.510000000242144,1476635.949999999953434,10819695.129999998956919
20130125,1442995.000000000000000,1597791.800000000046566,1636590.800000000046566,1579986.479999999981374,1628465.199999999953434,1541623.060000000055879,1471908.250000000000000,10899363.589999999850988
20130128,1423186.040000000037253,1590992.750000000000000,1628947.900000000139698,1580928.899999999906868,1597396.599999999860302,1532487.540000000037253,1465867.300000000046566,10819810.030000001192093
20130129,1416454.840000000083819,1569840.150000000139698,1643569.100000000093132,1599149.019999999785796,1580396.799999999813735,1581590.959999999962747,1478211.849999999860302,10869215.719999998807907
20130130,1434532.920000000158325,1554731.149999999906868,1637920.000000000000000,1583284.949999999720603,1571603.799999999813735,1570742.530000000260770,1472958.849999999860302,10825777.199999999254942
20130131,1420685.880000000121072,1553975.699999999953434,1523941.100000000093132,1579358.199999999720603,1584500.199999999953434,1557610.220000000204891,1450108.299999999813735,10670182.599999997764826
20130201,1439917.880000000121072,1573617.399999999906868,1542217.599999999860302,1595222.269999999785796,1573948.599999999860302,1577594.169999999925494,1464816.699999999953434,10767337.619999997317791
20130204,1446456.760000000009313,1572861.949999999953434,1520618.100000000093132,1582813.739999999757856,1572776.199999999720603,1551329.550000000046566,1464291.399999999906868,10711150.700000001117587
20130205,1459534.520000000018626,1592503.649999999906868,1528925.600000000093132,1594122.779999999795109,1579810.599999999860302,1570742.530000000260770,1517346.699999999953434,10842989.379999998956919
20130206,1467227.320000000065193,1600813.600000000093132,1539559.199999999953434,1612971.179999999934807,1587431.199999999720603,1559894.100000000093132,1507103.349999999860302,10875002.949999999254942
20130207,1489151.800000000279397,1594014.550000000046566,1523941.100000000093132,1605588.889999999897555,1602672.399999999906868,1539339.180000000167638,1498435.899999999906868,10853146.820000000298023
20130208,1472419.960000000195578,1598547.250000000000000,1534242.400000000139698,1612499.969999999739230,1600327.599999999860302,1534771.419999999925494,1516558.750000000000000,10869370.349999999627471
20130211,1459149.880000000121072,1606857.199999999953434,1536900.800000000046566,1611871.689999999944121,1618499.799999999813735,1549616.640000000130385,1500274.449999999953434,10883173.459999999031425
20130212,1461457.719999999972060,1584193.699999999953434,1550192.800000000046566,1625065.569999999832362,1614982.599999999860302,1541052.089999999850988,1497385.299999999813735,10874332.779999997466803
20130213,1438187.000000000000000,1597036.350000000093132,1561823.300000000046566,1615641.369999999878928,1599155.199999999953434,1541623.060000000055879,1503163.599999999860302,10856632.880000000819564
20130214,1441071.800000000279397,1585704.599999999860302,1537565.400000000139698,1614384.809999999823049,1600913.799999999813735,1545048.879999999888241,1498435.899999999906868,10823128.189999999478459
20130215,1442995.000000000000000,1585704.599999999860302,1521947.300000000046566,1621452.959999999962747,1610879.199999999953434,1558181.189999999944121,1505527.449999999953434,10846690.699999999254942
20130219,1435686.840000000083819,1621210.750000000000000,1523941.100000000093132,1636374.609999999869615,1596810.399999999674037,1582161.930000000167638,1488192.549999999813735,10884381.179999999701977
20130220,1438187.000000000000000,1594770.000000000000000,1497357.100000000093132,1620196.399999999906868,1583327.800000000046566,1574168.350000000093132,1450108.299999999813735,10758117.949999999254942
20130221,1461842.360000000102445,1568329.250000000232831,1459474.900000000139698,1613442.389999999897555,1598568.999999999767169,1565032.830000000074506,1450896.250000000000000,10717589.980000000447035
20130222,1474343.159999999916181,1578905.550000000046566,1485062.000000000000000,1626322.129999999888241,1596810.399999999674037,1563319.919999999925494,1430672.199999999953434,10755438.359999999403954
20130225,1442995.000000000000000,1560774.750000000000000,1449838.200000000186265,1598206.599999999860302,1583913.999999999767169,1532487.540000000037253,1399942.149999999906868,10568161.240000000223517
20130226,1454918.840000000083819,1556997.500000000000000,1461801.000000000000000,1607002.519999999785796,1590948.399999999906868,1543335.970000000204891,1393375.899999999906868,10608383.130000000819564
20130227,1487805.560000000055879,1578150.100000000093132,1505332.300000000046566,1626793.339999999850988,1592707.000000000000000,1565032.830000000074506,1414913.199999999953434,10770737.329999998211861
20130228,1478958.840000000083819,1575883.750000000000000,1501012.400000000139698,1633547.349999999860302,1596224.199999999953434,1562748.950000000186265,1403881.899999999906868,10752260.390000000596046
20130301,1486267.000000000000000,1573617.399999999906868,1505332.300000000046566,1629934.739999999757856,1606775.799999999813735,1563890.890000000130385,1405720.449999999953434,10771541.579999998211861
20130304,1482612.920000000158325,1566818.349999999860302,1510649.100000000093132,1622238.309999999823049,1604431.000000000000000,1581019.990000000223517,1400467.449999999953434,10768240.119999999180436
20130305,1512807.159999999916181,1603079.949999999953434,1523941.100000000093132,1640615.500000000000000,1609120.599999999860302,1602716.850000000093132,1405195.149999999906868,10897479.310000000521541
20130306,1520884.600000000093132,1640852.449999999953434,1547866.699999999953434,1643913.969999999739230,1620844.599999999860302,1605571.700000000186265,1408084.299999999813735,10988021.320000000298023
20130307,1558771.639999999897555,1646896.050000000046566,1537897.700000000186265,1642029.129999999888241,1618499.799999999813735,1614136.250000000000000,1413074.649999999906868,11031308.220000000670552
20130308,1562233.400000000139698,1649162.399999999906868,1550857.400000000139698,1660406.319999999832362,1603258.599999999860302,1609568.490000000223517,1413337.300000000046566,11048826.910000000149012
20130311,1595120.119999999878928,1652939.649999999906868,1561158.699999999953434,1661977.019999999785796,1598568.999999999767169,1612994.310000000055879,1423843.299999999813735,11106605.099999997764826
20130312,1618583.159999999916181,1639341.550000000046566,1573121.500000000232831,1651296.259999999776483,1568086.599999999860302,1595294.240000000223517,1440127.599999999860302,11085853.909999998286366
20130313,1629930.040000000037253,1630276.149999999906868,1571460.000000000000000,1650667.979999999981374,1607948.199999999953434,1599862.000000000000000,1430934.849999999860302,11121082.220000000670552
20130314,1627429.880000000121072,1631031.600000000093132,1593391.800000000046566,1665275.489999999757856,1603258.599999999860302,1605000.729999999981374,1437501.099999999860302,11162892.199999999254942
20130315,1662239.800000000279397,1656716.900000000139698,1600037.800000000046566,1671244.149999999906868,1605603.399999999906868,1599862.000000000000000,1437501.099999999860302,11233208.150000000372529
20130318,1638199.800000000279397,1637075.200000000186265,1574450.700000000186265,1655694.219999999739230,1587431.199999999720603,1601003.939999999944121,1444592.649999999906868,11138450.710000000894070
20130319,1644546.360000000102445,1625743.449999999953434,1570795.400000000139698,1652081.609999999869615,1578052.000000000000000,1598149.089999999850988,1449057.699999999953434,11118428.609999999403954
20130320,1641853.880000000121072,1637075.200000000186265,1582425.899999999906868,1659620.969999999739230,1607362.000000000000000,1615278.189999999944121,1441440.849999999860302,11185059.990000000223517
20130321,1621852.600000000093132,1574372.850000000093132,1536900.800000000046566,1648311.929999999934807,1571017.599999999860302,1605000.729999999981374,1446168.550000000046566,11003628.060000000521541
20130322,1631276.279999999795109,1567573.800000000046566,1551189.699999999953434,1671558.289999999804422,1745118.999999999767169,1620416.919999999925494,1430409.549999999813735,11217546.539999999105930
20130325,1631853.239999999990687,1575128.300000000046566,1527928.699999999953434,1651924.539999999804422,1745705.199999999953434,1607855.580000000074506,1440915.549999999813735,11181314.109999999403954
20130326,1665893.880000000121072,1575128.300000000046566,1514304.400000000139698,1666060.839999999850988,1743360.399999999674037,1632978.260000000242144,1461664.899999999906868,11259393.980000000447035
20130327,1657816.440000000176951,1573617.399999999906868,1504003.100000000093132,1653809.379999999888241,1713464.199999999953434,1635262.140000000130385,1487141.949999999953434,11225117.609999999403954
20130328,1651085.239999999990687,1578905.550000000046566,1506661.500000000232831,1669830.519999999785796,1729877.800000000046566,1647823.479999999981374,1502638.299999999813735,11286825.390000000596046
20130401,1639546.040000000037253,1573617.399999999906868,1484397.400000000139698,1659463.899999999906868,1707602.199999999720603,1646681.540000000037253,1548864.699999999953434,11260176.179999999701977
20130402,1617236.920000000158325,1603079.949999999953434,1464791.699999999953434,1673128.989999999757856,1726360.599999999860302,1668949.370000000111759,1621618.750000000000000,11375169.280000001192093
20130403,1622429.560000000055879,1601569.050000000046566,1467117.800000000046566,1659935.109999999869615,1726946.799999999813735,1657529.970000000204891,1619780.199999999953434,11355311.489999998360872
20130404,1633776.440000000176951,1589481.850000000093132,1487388.100000000093132,1662134.089999999850988,1739257.000000000000000,1664952.580000000074506,1629235.599999999860302,11406228.660000000149012
20130405,1657239.479999999981374,1556997.500000000000000,1462133.300000000046566,1661505.809999999823049,1728705.399999999674037,1661526.760000000242144,1631074.149999999906868,11359185.400000000372529
20130408,1668394.040000000037253,1553975.699999999953434,1451832.000000000000000,1661034.599999999860302,1757429.199999999953434,1664952.580000000074506,1625558.500000000000000,11383179.620000001043081
20130409,1677240.760000000009313,1584193.699999999953434,1487720.400000000139698,1664176.000000000000000,1755670.599999999860302,1662097.729999999981374,1633175.349999999860302,11464277.539999999105930
20130410,1688972.279999999795109,1621966.199999999953434,1506329.199999999953434,1691506.179999999934807,1767394.599999999860302,1708346.300000000046566,1639216.299999999813735,11623734.059999998658895
20130411,1702627.000000000000000,1638586.100000000093132,1507658.399999999906868,1700302.099999999860302,1793773.599999999860302,1749456.140000000130385,1654187.349999999860302,11746593.689999999478459
20130412,1709550.520000000018626,1627254.350000000093132,1502341.600000000093132,1691349.109999999869615,1775601.399999999906868,1751169.050000000046566,1655500.599999999860302,11712769.630000000819564
20130415,1668778.679999999934807,1590237.300000000046566,1428238.699999999953434,1661191.669999999925494,1749222.399999999906868,1738607.709999999962747,1617679.000000000000000,11453958.460000000894070
20130416,1671086.520000000018626,1598547.250000000000000,1432558.600000000093132,1667317.399999999906868,1773256.599999999860302,1766585.240000000223517,1649722.300000000046566,11559076.910000000149012
20130417,1667240.119999999878928,1558508.399999999906868,1433887.800000000046566,1656793.709999999962747,1784980.599999999860302,1762588.450000000186265,1629235.599999999860302,11493237.679999997839332
20130418,1656277.880000000121072,1554731.149999999906868,1428238.699999999953434,1648940.209999999962747,1763877.399999999906868,1746601.290000000037253,1567775.499999999767169,11366445.129999998956919
20130419,1691664.760000000009313,1545665.750000000000000,1445850.600000000093132,1660406.319999999832362,1785566.799999999813735,1773436.879999999888241,1576968.250000000000000,11479562.359999999403954
20130422,1672048.119999999878928,1555486.600000000093132,1466453.200000000186265,1661819.949999999720603,1798463.199999999953434,1766014.270000000018626,1555430.949999999953434,11475719.289999999105930
20130423,1695895.800000000279397,1579661.000000000000000,1498354.000000000232831,1686794.079999999841675,1807842.399999999906868,1774578.820000000065193,1537570.750000000000000,11580699.850000001490116
20130424,1746860.600000000093132,1540377.600000000093132,1522279.600000000093132,1694333.439999999944121,1803738.999999999767169,1747172.260000000242144,1544137.000000000000000,11598902.500000000000000
20130425,1763015.479999999981374,1559263.850000000093132,1607680.700000000186265,1647369.509999999776483,1819566.399999999906868,1727759.280000000260770,1558582.750000000000000,11683240.969999998807907
20130426,1785709.239999999990687,1561530.200000000186265,1581429.000000000232831,1630248.879999999888241,1814290.599999999860302,1718052.790000000037253,1562259.849999999860302,11653523.560000000521541
20130429,1767438.840000000083819,1584949.150000000139698,1602696.199999999953434,1630877.159999999916181,1835979.999999999767169,1737465.770000000018626,1576180.299999999813735,11735590.419999998062849
20130430,1758015.159999999916181,1580416.450000000186265,1604690.000000000000000,1644699.319999999832362,1864117.599999999860302,1659813.850000000093132,1574079.099999999860302,11685834.479999998584390
20130501,1753591.800000000279397,1539622.149999999906868,1568801.600000000093132,1642186.199999999720603,1857083.199999999953434,1650107.359999999869615,1568563.449999999953434,11579958.759999999776483
20130502,1773400.760000000009313,1566062.900000000139698,1567472.400000000139698,1665589.629999999888241,1855910.799999999813735,1671233.250000000000000,1562259.849999999860302,11661932.589999999850988
20130503,1802825.719999999972060,1573617.399999999906868,1607016.100000000093132,1693705.159999999916181,1892255.199999999953434,1653533.180000000167638,1547551.449999999953434,11770507.209999999031425
20130506,1811480.119999999878928,1572106.500000000000000,1609342.199999999953434,1693862.229999999981374,1874669.199999999953434,1639829.899999999906868,1581170.649999999906868,11782463.800000000745058
20130507,1823019.320000000065193,1539622.149999999906868,1634597.000000000000000,1696532.419999999925494,1873496.799999999813735,1657529.970000000204891,1589050.149999999906868,11813850.810000000521541
20130508,1808595.320000000065193,1565307.449999999953434,1633267.800000000046566,1699516.750000000000000,1872910.599999999860302,1640400.870000000111759,1641842.799999999813735,11861844.589999999850988
20130509,1819557.560000000055879,1573617.399999999906868,1652541.199999999953434,1726532.789999999804422,1868221.000000000000000,1632978.260000000242144,1628710.299999999813735,11902161.509999997913837
20130510,1812441.719999999972060,1594014.550000000046566,1630609.400000000139698,1735328.709999999962747,1898117.199999999953434,1639829.899999999906868,1652348.799999999813735,11962693.280000001192093
20130513,1822442.360000000102445,1606857.199999999953434,1625624.900000000139698,1735642.849999999860302,1895186.199999999720603,1676942.950000000186265,1638691.000000000000000,12001390.460000000894070
20130514,1848405.560000000055879,1606857.199999999953434,1652873.500000000000000,1737056.479999999981374,1932116.799999999813735,1678655.859999999869615,1621356.099999999860302,12077324.499999998137355
20130515,1865906.679999999934807,1602324.500000000000000,1672479.199999999953434,1751349.849999999860302,1929772.000000000000000,1687791.379999999888241,1618204.299999999813735,12127830.910000000149012
20130516,1857444.600000000093132,1804785.100000000093132,1661181.000000000000000,1744595.839999999850988,1888737.999999999767169,1670091.310000000055879,1632124.750000000000000,12258963.599999999627471
20130517,1902447.479999999981374,1831225.849999999860302,1695075.600000000093132,1749622.079999999841675,1914530.799999999580905,1653533.180000000167638,1650510.250000000000000,12396948.239999998360872
20130520,1898601.080000000074506,1809317.800000000046566,1685106.600000000093132,1754805.389999999897555,1915117.000000000000000,1638687.959999999962747,1643156.050000000046566,12344794.880000002682209
20130521,1899178.040000000037253,1813850.500000000232831,1693081.800000000046566,1759360.419999999925494,1912185.999999999767169,1643255.720000000204891,1651298.199999999953434,12372213.679999999701977
20130522,1883407.800000000279397,1763235.350000000093132,1661845.600000000093132,1740197.879999999888241,1889324.199999999720603,1672946.160000000149012,1635801.849999999860302,12246761.839999999850988
20130523,1918410.040000000037253,1776078.000000000232831,1661181.000000000000000,1734229.219999999739230,1856497.000000000000000,1662097.729999999981374,1637903.049999999813735,12246399.039999999105930
20130524,1923218.040000000037253,1777588.900000000139698,1660184.100000000093132,1732030.239999999757856,1840669.599999999860302,1658100.939999999944121,1630023.550000000046566,12221818.370000001043081
20130528,1925333.560000000055879,1804785.100000000093132,1658190.300000000046566,1752763.479999999981374,1854738.399999999906868,1656388.030000000260770,1663642.750000000000000,12315844.620000001043081
20130529,1905716.920000000158325,1822160.450000000186265,1653538.100000000093132,1745538.259999999776483,1844772.999999999767169,1614707.220000000204891,1663905.399999999906868,12250342.350000001490116
20130530,1933603.320000000065193,1841046.700000000186265,1646892.100000000093132,1750093.289999999804422,1829531.799999999813735,1612994.310000000055879,1698312.549999999813735,12312477.070000000298023
20130531,1904370.679999999934807,1822160.450000000186265,1630609.400000000139698,1732030.239999999757856,1807256.199999999720603,1554755.370000000111759,1644994.599999999860302,12096179.939999999478459
20130603,1937449.719999999972060,1841802.149999999906868,1624960.300000000046566,1737370.619999999878928,1847703.999999999767169,1584445.810000000055879,1649459.649999999906868,12223195.250000000000000
20130604,1915717.560000000055879,1840291.250000000000000,1638252.300000000046566,1728103.489999999757856,1840083.399999999906868,1579307.080000000074506,1637903.049999999813735,12179661.129999998956919
20130605,1894177.719999999972060,1837269.449999999953434,1592727.199999999953434,1705642.479999999981374,1810187.199999999720603,1569029.620000000111759,1621881.399999999906868,12030918.069999998435378
20130606,1918602.360000000102445,1854644.800000000046566,1603693.100000000093132,1706899.039999999804422,1821911.199999999720603,1605000.729999999981374,1626346.449999999953434,12137100.679999999701977
20130607,1971105.719999999972060,1850112.099999999860302,1625624.900000000139698,1745224.119999999878928,1839497.199999999720603,1613565.280000000260770,1643418.699999999953434,12288551.019999999552965
20130610,1966297.719999999972060,1840291.250000000000000,1624628.000000000000000,1740512.019999999785796,1847703.999999999767169,1619845.950000000186265,1672572.849999999860302,12311854.789999997243285
20130611,1956874.040000000037253,1818383.199999999953434,1609009.900000000139698,1731244.889999999897555,1821911.199999999720603,1622700.800000000046566,1679139.099999999860302,12239266.130000000819564
20130612,1940142.199999999953434,1812339.599999999860302,1599040.899999999906868,1712553.559999999823049,1800221.799999999813735,1623271.770000000018626,1676512.599999999860302,12164085.429999997839332
20130613,1964759.159999999916181,1839535.800000000046566,1639581.500000000232831,1746637.750000000000000,1810187.199999999720603,1660384.820000000065193,1684917.400000000139698,12346006.630000000819564
20130614,1958412.600000000093132,1819894.100000000093132,1609342.199999999953434,1743967.559999999823049,1814290.599999999860302,1660955.790000000037253,1675724.649999999906868,12282590.500000001862645
20130617,1981491.000000000000000,1865976.550000000046566,1615655.899999999906868,1757789.719999999739230,1815462.999999999767169,1664952.580000000074506,1690695.699999999953434,12392027.449999997392297
20130618,2001684.600000000093132,1875041.949999999953434,1638252.300000000046566,1774439.139999999897555,1821911.199999999720603,1678655.859999999869615,1725102.850000000093132,12515090.899999998509884
20130619,1966490.040000000037253,1864465.650000000139698,1613662.100000000093132,1752449.339999999850988,1810187.199999999720603,1661526.760000000242144,1714071.550000000046566,12382855.640000000596046
20130620,1916294.520000000018626,1846334.850000000093132,1570795.400000000139698,1708626.809999999823049,1781463.399999999906868,1635262.140000000130385,1675724.649999999906868,12134504.770000001415610
20130621,1922833.400000000139698,1849356.650000000139698,1544211.399999999906868,1721349.479999999981374,1775601.399999999906868,1624984.680000000167638,1678351.149999999906868,12116691.160000000149012
20130624,1881869.239999999990687,1817627.750000000000000,1530919.400000000139698,1688521.849999999860302,1757429.199999999953434,1582161.930000000167638,1698049.900000000139698,11956582.269999999552965
20130625,1897639.479999999981374,1813850.500000000232831,1537897.700000000186265,1700145.029999999795109,1770325.599999999860302,1598149.089999999850988,1673886.099999999860302,11991896.500000000000000
20130626,1937642.040000000037253,1842557.600000000093132,1523941.100000000093132,1722763.109999999869615,1813118.199999999953434,1604429.760000000242144,1701464.349999999860302,12145919.159999998286366
20130627,1983798.840000000083819,1860688.399999999906868,1530919.400000000139698,1731559.029999999795109,1826600.799999999813735,1608997.520000000018626,1735871.500000000000000,12278438.489999998360872
20130628,1970144.119999999878928,1838780.350000000093132,1522279.600000000093132,1717579.799999999813735,1866462.399999999906868,1599291.030000000260770,1719849.850000000093132,12234390.150000000372529
20130701,1985529.719999999972060,1838780.350000000093132,1537897.700000000186265,1716951.519999999785796,1827187.000000000000000,1586158.720000000204891,1723789.599999999860302,12216297.609999999403954
20130702,1951489.080000000074506,1837269.449999999953434,1535239.300000000046566,1707841.459999999962747,1835393.799999999813735,1581590.959999999962747,1714334.199999999720603,12163161.250000000000000
20130703,1978798.520000000018626,1857666.600000000093132,1534574.699999999953434,1719150.500000000000000,1842428.199999999953434,1578736.109999999869615,1721425.750000000000000,12232783.379999998956919
20130705,2003992.440000000176951,1856155.699999999953434,1546869.800000000046566,1751978.129999999888241,1865289.999999999767169,1597007.149999999906868,1737972.699999999953434,12359268.919999999925494
20130708,2007261.880000000121072,1860688.399999999906868,1565810.899999999906868,1761245.259999999776483,1867634.799999999813735,1606142.669999999925494,1774481.050000000046566,12443267.959999999031425
20130709,2013223.800000000279397,1900727.250000000000000,1610006.800000000046566,1780407.799999999813735,1874082.999999999767169,1618704.010000000242144,1785249.699999999953434,12582405.359999999403954
20130710,2028994.040000000037253,1919613.500000000000000,1599040.899999999906868,1781664.359999999869615,1864117.599999999860302,1623842.740000000223517,1777895.499999999767169,12595171.639999998733401
20130711,2055534.199999999953434,1954364.200000000186265,1618314.300000000046566,1798942.059999999823049,1867634.799999999813735,1642684.750000000000000,1795493.049999999813735,12732970.359999999403954
20130712,1959181.880000000121072,1959652.350000000093132,1614659.000000000232831,1808523.329999999841675,1866462.399999999906868,1644968.629999999888241,1786037.649999999906868,12639488.240000000223517
20130715,2032071.159999999916181,1958896.900000000139698,1627951.000000000000000,1803968.299999999813735,1857083.199999999953434,1643826.689999999944121,1776056.949999999953434,12699857.199999999254942
20130716,2004569.400000000139698,1942277.000000000000000,1607680.700000000186265,1795957.729999999981374,1837738.599999999860302,1637546.020000000018626,1757408.799999999813735,12583181.250000000000000
20130717,2015339.320000000065193,1943032.449999999953434,1643569.100000000093132,1800669.829999999841675,1856497.000000000000000,1637546.020000000018626,1739548.600000000093132,12636205.319999998435378
20130718,2069958.199999999953434,1953608.750000000000000,1636590.800000000046566,1813863.709999999962747,1855910.799999999813735,1626697.589999999850988,1853013.399999999906868,12809646.250000000000000
