代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13208556.470000002533197
真實報酬,3208556.470000002533197

夏普值報酬,0.312155647000000
夏普值風險,0.071490664929806
夏普值,4.366383321605640

預期報酬,12334.162262423758875
風險,219568.244044104067143
趨勢值,0.056174618128960
找到最佳解世代,2161
找到最佳解實驗#,1
找到最佳解次數,32

stock[index](rank)
投資組合檔數,6
INTC[11](9),JPM[13](3),MRK[17](7),MSFT[18](5),PG[21](18),UNH[23](2),
20160315,1782695.500000000000000,1752514.700000000186265,1740022.530000000027940,1755434.760000000009313,1687839.159999999916181,1747125.750000000000000,10465636.400000000372529
20160316,1784948.500000000000000,1744225.860000000102445,1724089.889999999897555,1780329.320000000065193,1688461.899999999906868,1747825.400000000372529,10469884.870000001043081
20160317,1801282.750000000000000,1739193.350000000093132,1710480.760000000009313,1790483.679999999934807,1717730.679999999934807,1742647.990000000223517,10501823.210000000894070
20160318,1840710.250000000000000,1790406.540000000037253,1734379.719999999972060,1752159.160000000149012,1726033.880000000121072,1773292.660000000149012,10616986.210000000894070
20160321,1821559.750000000232831,1789814.480000000214204,1752635.869999999878928,1764278.879999999888241,1729562.739999999757856,1773572.520000000018626,10631428.240000000223517
20160322,1820433.250000000000000,1783301.820000000065193,1760270.260000000009313,1771157.639999999897555,1717523.099999999860302,1791483.560000000288710,10644173.630000000819564
20160323,1802409.250000000000000,1774420.919999999925494,1761929.909999999916181,1767882.040000000037253,1719183.739999999757856,1816251.170000000158325,10642081.029999999329448
20160324,1795650.250000000000000,1760803.540000000037253,1761597.979999999981374,1775743.479999999981374,1720636.800000000046566,1799459.570000000298023,10613895.620000001043081
20160328,1796776.750000000000000,1758435.300000000046566,1753631.659999999916181,1753796.959999999962747,1715032.140000000130385,1804077.260000000009313,10581754.070000000298023
20160329,1823812.750000000232831,1747482.190000000176951,1769896.229999999981374,1792121.479999999981374,1718768.579999999841675,1816810.890000000363216,10668896.120000001043081
20160330,1842400.000000000000000,1767612.230000000214204,1766576.929999999934807,1803258.519999999785796,1716277.620000000111759,1814711.940000000176951,10710841.240000000223517
20160331,1822123.000000000000000,1753106.760000000009313,1756287.099999999860302,1809154.599999999860302,1708597.159999999916181,1803797.400000000372529,10653070.019999999552965
20160401,1827755.500000000232831,1772348.709999999962747,1782509.570000000065193,1820291.639999999897555,1733921.919999999925494,1818070.260000000009313,10754901.599999999627471
20160404,1802409.250000000000000,1752514.700000000186265,1805744.669999999925494,1815705.800000000046566,1727279.359999999869615,1812053.270000000251457,10715711.049999998882413
20160405,1796776.750000000000000,1727648.180000000167638,1800433.790000000037253,1787208.080000000074506,1726241.459999999962747,1777770.420000000158325,10616082.680000001564622
20160406,1806915.250000000000000,1740969.530000000260770,1846572.060000000055879,1805551.439999999944121,1739734.159999999916181,1791623.490000000223517,10731369.929999999701977
20160407,1777063.000000000000000,1696861.060000000055879,1839601.530000000027940,1783932.479999999981374,1727902.099999999860302,1775391.610000000335276,10600755.780000001192093
20160408,1781569.000000000000000,1709294.320000000065193,1837609.949999999953434,1782622.239999999990687,1727071.780000000027940,1758739.940000000176951,10596911.230000000447035
20160411,1783822.000000000000000,1722911.700000000186265,1827320.119999999878928,1779019.080000000074506,1717315.520000000018626,1767835.390000000130385,10598227.810000000521541
20160412,1794523.750000000000000,1754882.940000000176951,1836946.090000000083819,1790156.119999999878928,1719391.319999999832362,1774412.100000000093132,10670316.320000000298023
20160413,1809731.500000000232831,1829186.469999999972060,1857525.750000000000000,1813085.320000000065193,1711710.859999999869615,1787845.380000000353903,10809089.280000001192093
20160414,1791144.250000000000000,1852868.870000000111759,1873790.320000000065193,1813412.879999999888241,1702369.760000000009313,1790923.840000000316650,10824513.919999999925494
20160415,1771993.750000000000000,1831554.709999999962747,1863500.489999999990687,1822912.119999999878928,1708389.579999999841675,1781828.390000000130385,10780183.040000000968575
20160418,1782695.500000000000000,1843395.910000000149012,1875781.899999999906868,1849444.479999999981374,1719391.319999999832362,1788545.030000000260770,10859258.140000000596046
20160419,1779879.250000000000000,1874479.060000000055879,1887399.449999999953434,1847151.560000000055879,1728732.419999999925494,1826186.200000000186265,10943831.940000001341105
20160420,1802409.250000000000000,1901713.819999999832362,1878105.409999999916181,1820946.760000000009313,1692821.079999999841675,1874182.190000000176951,10970182.509999997913837
20160421,1800719.500000000000000,1882767.900000000139698,1878769.270000000018626,1827170.399999999906868,1677252.579999999841675,1860608.980000000214204,10927292.630000000819564
20160422,1782132.250000000000000,1893721.010000000009313,1883416.290000000037253,1696146.399999999906868,1680366.280000000027940,1876980.790000000037253,10812767.019999999552965
20160425,1768051.000000000000000,1882767.900000000139698,1866155.929999999934807,1706955.879999999888241,1689914.959999999962747,1872083.240000000223517,10785932.910000000149012
20160426,1768614.250000000000000,1892536.890000000130385,1860181.189999999944121,1685009.359999999869615,1651305.079999999841675,1878520.020000000251457,10736170.789999999105930
20160427,1788328.000000000000000,1897865.430000000167638,1869143.300000000046566,1668631.359999999869615,1658362.800000000046566,1858370.100000000325963,10740704.990000000223517
20160428,1752280.000000000000000,1882767.900000000139698,1850223.290000000037253,1634565.119999999878928,1655664.260000000009313,1848155.210000000195578,10623659.780000001192093
20160429,1705530.250000000000000,1870926.700000000186265,1820349.590000000083819,1633582.439999999944121,1663137.140000000130385,1842697.940000000176951,10536228.060000000521541
20160502,1724117.500000000000000,1888392.469999999972060,1835618.369999999878928,1657821.879999999888241,1680781.439999999944121,1848575.000000000000000,10635310.660000000149012
20160503,1710036.250000000000000,1851980.780000000260770,1828315.909999999916181,1630634.399999999906868,1683479.979999999748543,1853612.480000000214204,10558063.800000000745058
20160504,1681310.500000000000000,1851980.780000000260770,1819353.800000000046566,1633582.439999999944121,1693858.979999999748543,1847595.490000000223517,10527685.990000000223517
20160505,1684126.750000000000000,1812904.820000000065193,1795454.840000000083819,1635875.359999999869615,1687631.579999999841675,1851513.530000000260770,10467510.879999998956919
20160506,1692012.250000000000000,1823561.900000000139698,1779190.270000000018626,1650615.560000000055879,1704860.719999999739230,1847735.420000000158325,10497980.119999999180436
20160509,1678494.250000000000000,1812016.730000000214204,1795786.770000000018626,1640133.639999999897555,1704653.140000000130385,1856551.010000000009313,10487639.539999999105930
20160510,1697644.750000000000000,1836587.219999999972060,1815038.709999999962747,1671251.840000000083819,1712126.020000000018626,1869144.710000000195578,10601797.250000000000000
20160511,1693138.750000000000000,1829778.530000000260770,1802757.300000000046566,1672234.519999999785796,1705275.880000000121072,1828844.870000000111759,10532033.850000001490116
20160512,1676241.250000000000000,1828594.410000000149012,1796450.629999999888241,1687302.279999999795109,1710672.959999999962747,1815551.520000000251457,10514817.050000000745058
20160513,1684690.000000000000000,1811720.700000000186265,1788484.310000000055879,1673217.199999999953434,1686178.520000000018626,1805196.700000000186265,10449491.429999999701977
20160516,1711726.000000000000000,1825338.080000000074506,1814042.919999999925494,1697784.199999999953434,1694481.719999999739230,1828145.219999999972060,10571522.140000000596046
20160517,1688632.750000000000000,1825338.080000000074506,1803089.229999999981374,1654546.279999999795109,1673516.140000000130385,1813032.780000000260770,10458159.260000001639128
20160518,1689196.000000000000000,1895793.220000000204891,1814706.780000000027940,1664373.080000000074506,1657532.479999999748543,1826326.130000000121072,10547931.690000001341105
20160519,1668919.000000000000000,1876551.270000000018626,1811719.409999999916181,1648322.639999999897555,1664590.199999999953434,1819189.700000000186265,10489296.219999998807907
20160520,1698208.000000000000000,1880103.630000000121072,1829311.699999999953434,1658149.439999999944121,1661061.339999999850988,1832343.120000000111759,10559181.230000000447035
20160523,1702714.000000000000000,1878623.480000000214204,1823005.030000000027940,1638823.399999999906868,1664797.780000000027940,1825066.760000000009313,10533034.449999999254942
20160524,1749463.750000000000000,1910594.720000000204891,1845576.270000000018626,1689922.760000000009313,1680781.439999999944121,1855431.570000000298023,10731774.509999999776483
20160525,1768051.000000000000000,1939605.659999999916181,1877773.479999999981374,1707283.439999999944121,1691368.020000000018626,1867045.760000000009313,10851131.359999999403954
20160526,1773683.500000000000000,1925100.190000000176951,1871798.739999999990687,1699749.560000000055879,1685970.939999999944121,1860888.840000000083819,10817195.769999999552965
20160527,1778189.500000000000000,1936941.390000000363216,1874786.109999999869615,1713834.639999999897555,1690330.120000000111759,1875161.700000000186265,10869247.460000000894070
20160531,1779316.000000000000000,1932204.909999999916181,1867483.649999999906868,1736108.719999999972060,1682234.500000000000000,1870544.010000000009313,10867895.790000000968575
20160601,1783258.750000000000000,1944638.169999999925494,1869807.159999999916181,1731195.320000000065193,1697803.000000000000000,1882577.990000000223517,10909284.390000000596046
20160602,1788891.250000000000000,1948190.530000000260770,1886071.729999999981374,1719075.599999999860302,1701124.280000000027940,1903707.420000000158325,10947064.809999998658895
20160603,1781005.750000000000000,1913555.020000000018626,1880096.989999999990687,1696473.959999999962747,1711918.439999999944121,1914901.820000000298023,10897955.980000000447035
20160606,1784385.250000000000000,1932500.940000000176951,1897689.280000000027940,1707611.000000000000000,1718145.839999999850988,1933232.650000000372529,10973568.960000000894070
20160607,1795650.250000000000000,1925988.280000000260770,1892046.469999999972060,1706628.320000000065193,1708804.739999999757856,1916301.120000000111759,10945423.179999999701977
20160608,1796213.500000000000000,1931612.850000000093132,1912626.129999999888241,1704662.959999999962747,1715654.880000000121072,1964716.900000000372529,11025491.220000000670552
20160609,1799029.750000000000000,1916811.350000000093132,1898021.209999999962747,1690905.439999999944121,1726449.040000000037253,1968634.940000000176951,10999855.729999998584390
20160610,1804662.250000000000000,1889872.620000000111759,1885739.800000000046566,1686319.599999999860302,1727071.780000000027940,1948485.020000000251457,10942155.069999998435378
20160613,1811984.500000000000000,1872998.910000000149012,1862504.699999999953434,1642426.560000000055879,1713994.239999999757856,1932393.070000000298023,10836305.980000000447035
20160614,1810294.750000000000000,1837771.340000000083819,1867151.719999999972060,1632272.199999999953434,1730185.479999999748543,1929314.610000000335276,10806994.100000001490116
20160615,1780442.500000000000000,1834515.010000000009313,1861840.840000000083819,1627686.359999999869615,1721882.280000000027940,1920778.880000000121072,10747149.869999999180436
20160616,1784948.500000000000000,1841915.760000000009313,1908642.969999999972060,1650615.560000000055879,1731430.959999999962747,1940369.080000000074506,10857926.830000000074506
20160617,1788891.250000000000000,1843691.940000000176951,1855202.239999999990687,1642099.000000000000000,1725618.719999999739230,1926795.870000000111759,10782303.019999999552965
20160620,1811984.500000000000000,1846356.209999999962747,1863500.489999999990687,1640133.639999999897555,1723750.500000000000000,1938410.060000000288710,10824139.400000000372529
20160621,1820433.250000000000000,1863525.950000000186265,1867151.719999999972060,1676820.359999999869615,1731430.959999999962747,1933792.370000000111759,10893158.609999999403954
20160622,1818743.500000000000000,1856421.230000000214204,1893374.189999999944121,1670269.160000000149012,1734752.239999999757856,1929734.400000000372529,10903298.720000000670552
20160623,1858171.000000000000000,1896089.250000000000000,1914617.709999999962747,1700404.679999999934807,1748037.359999999869615,1947785.370000000111759,11065109.370000001043081
20160624,1777063.000000000000000,1764355.900000000139698,1854870.310000000055879,1632272.199999999953434,1707559.260000000009313,1921198.670000000158325,10657323.340000001713634
20160627,1730313.250000000000000,1705445.930000000167638,1835950.300000000046566,1586413.800000000046566,1686178.520000000018626,1918679.930000000400469,10462985.730000000447035
20160628,1756786.000000000000000,1761987.660000000149012,1844912.409999999916181,1619497.359999999869615,1711710.859999999869615,1941068.730000000214204,10635967.019999999552965
20160629,1798466.500000000000000,1811720.700000000186265,1893706.119999999878928,1655528.959999999962747,1741809.959999999962747,1966396.060000000288710,10867632.300000000745058
20160630,1847469.249999999767169,1839547.520000000018626,1912294.199999999953434,1676165.239999999990687,1757586.040000000037253,1975911.300000000046566,11008977.550000000745058
20160701,1844653.000000000000000,1813496.880000000121072,1923247.889999999897555,1675837.679999999934807,1759869.419999999925494,1971153.680000000400469,10988262.549999998882413
20160705,1840710.250000000000000,1762875.750000000000000,1925239.469999999972060,1676165.239999999990687,1773569.699999999953434,1980948.780000000260770,10959513.190000001341105
20160706,1857044.500000000000000,1781821.669999999925494,1963743.349999999860302,1683044.000000000000000,1765058.919999999925494,1992423.040000000037253,11043139.480000000447035
20160707,1869999.250000000232831,1781821.669999999925494,1951130.010000000009313,1683044.000000000000000,1760907.319999999832362,1970314.100000000325963,11017220.349999999627471
20160708,1915059.250000000000000,1830370.590000000083819,1970050.020000000018626,1713179.519999999785796,1780419.839999999850988,1976890.810000000288710,11185974.029999999329448
20160711,1936462.750000000232831,1843395.910000000149012,1969718.090000000083819,1722678.760000000009313,1780004.679999999934807,1963597.460000000195578,11215861.650000000372529
20160712,1968004.749999999767169,1870926.700000000186265,1978348.270000000018626,1742987.479999999981374,1780004.679999999934807,1957160.680000000400469,11297436.560000000521541
20160713,1971947.500000000000000,1869742.580000000074506,1976688.619999999878928,1752814.279999999795109,1782910.800000000046566,1979829.340000000083819,11333937.120000001043081
20160714,1982649.250000000232831,1898161.460000000195578,1980007.919999999925494,1760348.160000000149012,1782495.640000000130385,1970873.820000000298023,11374540.250000001862645
20160715,1975327.000000000000000,1899937.640000000363216,1979344.060000000055879,1759037.920000000158325,1785401.760000000009313,1977730.390000000363216,11376782.770000001415610
20160718,1974200.499999999767169,1893424.980000000214204,1959096.330000000074506,1767554.479999999981374,1783741.120000000111759,1969614.450000000186265,11347635.859999999403954
20160719,1979833.000000000000000,1890464.680000000167638,1947146.849999999860302,1739056.760000000009313,1788723.040000000037253,1995361.570000000298023,11340589.900000000372529
20160720,2010248.499999999767169,1892536.890000000130385,1951461.939999999944121,1831428.679999999934807,1771078.739999999757856,2001378.560000000288710,11458137.310000000521541
20160721,1930267.000000000232831,1885432.169999999925494,1951461.939999999944121,1827825.519999999785796,1769833.260000000009313,1999279.610000000335276,11364103.500000000000000
20160722,1952233.749999999767169,1895793.220000000204891,1952457.729999999981374,1853047.639999999897555,1779381.939999999944121,2010753.870000000111759,11443672.149999998509884
20160725,1953923.499999999767169,1890760.709999999962747,1943827.550000000046566,1858288.599999999860302,1781042.579999999841675,1983327.590000000083819,11411174.529999999329448
20160726,1976453.500000000232831,1898457.489999999990687,1937188.949999999953434,1859271.279999999795109,1770040.839999999850988,1982907.800000000046566,11424323.860000001266599
20160727,1961809.000000000000000,1904378.090000000083819,1945155.270000000018626,1840600.359999999869615,1753226.859999999869615,1982627.940000000176951,11387801.519999997690320
20160728,1958429.500000000232831,1897569.399999999906868,1939512.459999999962747,1841255.479999999981374,1760492.159999999916181,1997740.380000000121072,11395003.380000000819564
20160729,1963498.750000000000000,1893721.010000000009313,1947146.849999999860302,1856650.800000000046566,1776683.399999999906868,2003897.300000000046566,11441602.109999999403954
20160801,1962935.500000000000000,1888688.500000000000000,1947146.849999999860302,1853375.199999999953434,1793704.959999999962747,2008235.130000000121072,11454090.140000000596046
20160802,1946601.250000000232831,1884248.050000000046566,1936193.159999999916181,1853375.199999999953434,1800970.260000000009313,2003477.510000000009313,11424869.429999999701977
20160803,1929140.500000000000000,1914147.080000000074506,1913621.919999999925494,1866150.040000000037253,1784571.439999999944121,1999419.540000000037253,11407054.519999999552965
20160804,1947727.750000000000000,1911186.780000000260770,1919928.590000000083819,1879907.560000000055879,1786232.079999999841675,1997040.730000000214204,11442027.490000000223517
20160805,1970257.749999999767169,1962696.000000000000000,2119750.450000000186265,1898578.479999999981374,1780627.419999999925494,2000958.770000000251457,11732872.869999999180436
20160808,1973637.250000000000000,1956775.399999999906868,2086557.449999999953434,1901854.080000000074506,1780212.260000000009313,1988924.790000000037253,11687965.230000000447035
20160809,1966878.250000000000000,1949966.710000000195578,2074276.040000000037253,1906439.920000000158325,1784986.599999999860302,1984586.960000000195578,11667138.480000000447035
20160810,1944911.500000000000000,1932500.940000000176951,2079254.989999999990687,1900543.840000000083819,1791629.159999999916181,1989764.370000000111759,11638608.800000000745058
20160811,1953360.250000000000000,1937829.479999999981374,2112116.060000000521541,1909715.519999999785796,1800347.520000000018626,1995921.290000000037253,11709294.120000001043081
20160812,1947164.500000000000000,1933685.059999999823049,2102822.020000000484288,1897923.359999999869615,1806782.500000000000000,1999419.540000000037253,11687800.980000000447035
20160815,1966314.999999999767169,1945526.260000000009313,2101826.230000000447035,1903819.439999999944121,1806367.339999999850988,1981788.360000000335276,11705646.629999998956919
20160816,1983212.500000000000000,1945230.229999999981374,2092532.189999999944121,1881545.359999999869615,1797233.819999999832362,1974232.140000000363216,11673990.240000000223517
20160817,1972510.750000000232831,1950558.770000000018626,2100830.439999999478459,1885476.080000000074506,1805121.859999999869615,1983047.730000000214204,11697549.630000000819564
20160818,1969694.500000000000000,1952334.950000000186265,2112116.060000000521541,1886786.320000000065193,1815085.699999999953434,1989484.510000000009313,11725506.040000000968575
20160819,1984902.250000000000000,1949670.680000000167638,2103153.950000000186265,1887441.439999999944121,1812387.159999999916181,1987665.420000000158325,11725224.900000000372529
20160822,1991661.250000000000000,1947894.500000000000000,2109460.620000000111759,1889079.239999999990687,1802838.479999999748543,1988365.070000000298023,11729303.160000000149012
20160823,1993914.250000000000000,1947006.409999999916181,2110456.410000000149012,1896285.560000000055879,1814255.380000000121072,1987245.630000000121072,11749167.640000002458692
20160824,1979833.000000000000000,1952334.950000000186265,2082242.359999999869615,1898250.920000000158325,1812387.159999999916181,1957300.610000000335276,11682353.000000000000000
20160825,1976453.500000000232831,1955887.309999999823049,2068633.229999999981374,1905457.239999999990687,1824634.380000000121072,1921338.600000000325963,11652408.259999999776483
20160826,1986028.750000000000000,1960327.760000000009313,2086225.520000000018626,1900871.399999999906868,1817991.819999999832362,1911823.360000000335276,11663272.609999999403954
20160829,2002362.999999999767169,1981937.950000000186265,2091536.399999999906868,1903164.320000000065193,1832937.579999999841675,1920918.810000000288710,11732862.060000000521541
20160830,2010811.750000000232831,1998219.600000000093132,2081578.500000000000000,1896285.560000000055879,1817161.500000000000000,1915321.610000000335276,11719382.519999999552965
20160831,2021513.500000000000000,1998219.600000000093132,2084233.939999999944121,1882200.479999999981374,1812387.159999999916181,1903847.350000000325963,11702406.029999999329448
20160901,2028835.750000000232831,1989634.729999999981374,2087885.169999999925494,1886458.760000000009313,1833145.159999999916181,1899509.520000000251457,11725473.089999999850988
20160902,2032215.250000000000000,1997923.569999999832362,2090540.609999999869615,1889079.239999999990687,1830861.780000000027940,1911683.430000000400469,11752307.879999998956919
20160906,2059814.500000000000000,1996443.419999999925494,2099170.790000000037253,1887113.879999999888241,1839995.300000000046566,1902727.910000000149012,11785269.800000000745058
20160907,2053618.750000000000000,1988154.580000000074506,2086889.379999999888241,1888751.679999999934807,1825672.280000000027940,1889014.770000000251457,11732105.439999999478459
20160908,2052492.249999999767169,1990818.850000000093132,2099170.790000000037253,1881217.800000000046566,1822143.419999999925494,1895311.620000000111759,11741158.730000000447035
20160909,1996167.249999999767169,1973057.050000000279397,2074276.040000000037253,1841255.479999999981374,1790176.099999999860302,1869844.360000000335276,11544780.280000001192093
20160912,2032215.250000000000000,1985194.280000000260770,2097511.139999999664724,1868770.519999999785796,1831899.679999999934807,1896570.990000000223517,11712165.859999999403954
20160913,2005742.500000000000000,1969504.690000000176951,2051704.800000000046566,1851737.399999999906868,1806990.079999999841675,1874462.050000000046566,11560145.520000001415610
20160914,2006305.749999999767169,1965656.300000000279397,2036436.020000000018626,1842893.279999999795109,1806159.760000000009313,1870823.870000000111759,11528278.980000000447035
20160915,2059251.250000000232831,1972761.020000000018626,2070624.810000000055879,1873356.359999999869615,1827955.659999999916181,1897690.430000000400469,11701643.529999999329448
20160916,2121772.000000000000000,1948486.559999999823049,2067305.510000000009313,1875321.719999999972060,1827748.079999999841675,1937710.410000000149012,11778348.279999999329448
20160919,2093046.249999999767169,1959439.669999999925494,2035772.159999999916181,1864839.800000000046566,1834390.640000000130385,1926655.940000000176951,11714148.459999999031425
20160920,2091919.750000000000000,1967432.479999999981374,2056019.889999999897555,1860909.080000000074506,1838749.819999999832362,1923717.410000000149012,11738752.429999999701977
20160921,2109380.500000000000000,1978681.620000000111759,2081246.570000000065193,1892027.279999999795109,1822558.579999999841675,1957860.330000000074506,11841758.880000000819564
20160922,2115013.000000000000000,1994963.270000000018626,2091868.330000000074506,1893992.639999999897555,1847260.599999999860302,1973672.420000000158325,11916774.259999999776483
20160923,2094735.999999999767169,1990818.850000000093132,2089876.750000000000000,1881217.800000000046566,1821728.260000000009313,1966256.130000000121072,11844637.790000000968575
20160926,2064320.500000000000000,1947302.440000000176951,2062990.419999999925494,1863857.119999999878928,1823596.479999999748543,1955201.660000000149012,11717272.620000001043081
20160927,2094172.750000000000000,1964472.180000000167638,2076931.479999999981374,1898250.920000000158325,1834183.059999999823049,1970174.170000000158325,11838188.560000000521541
20160928,2108817.250000000000000,1974833.229999999981374,2101162.370000000111759,1900871.399999999906868,1857016.859999999869615,1964856.830000000074506,11907561.939999999478459
20160929,2102058.250000000000000,1943454.050000000279397,2055024.099999999860302,1880235.119999999878928,1831484.520000000018626,1935611.460000000195578,11747871.500000001862645
20160930,2126278.000000000000000,1971280.870000000111759,2071620.599999999860302,1886786.320000000065193,1863036.679999999934807,1959119.700000000186265,11878126.170000001788139
20161003,2121208.750000000000000,1968912.630000000353903,2075271.830000000074506,1880890.239999999990687,1840410.459999999962747,1937990.270000000251457,11824688.179999999701977
20161004,2114449.750000000000000,1971576.899999999906868,2073280.250000000000000,1874994.160000000149012,1833975.479999999748543,1933372.580000000074506,11801653.120000001043081
20161005,2139796.000000000000000,2003844.169999999925494,2084565.869999999878928,1888096.560000000055879,1844354.479999999748543,1925536.500000000000000,11886197.580000000074506
20161006,2144302.000000000000000,2009172.710000000195578,2079918.849999999860302,1891372.160000000149012,1852034.939999999944121,1909724.410000000149012,11886529.070000000298023
20161007,2145991.750000000000000,2016277.430000000167638,2083570.080000000074506,1893337.519999999785796,1868226.179999999934807,1912383.080000000074506,11919790.039999999105930
20161010,2141485.750000000000000,2031967.020000000018626,2121078.169999999925494,1901198.959999999962747,1848713.659999999916181,1932253.140000000363216,11976700.699999999254942
20161011,2099242.000000000000000,2022198.030000000260770,2055687.959999999962747,1873356.359999999869615,1837919.500000000000000,1885656.450000000186265,11774064.300000000745058
20161012,2091356.500000000232831,2016869.489999999990687,2046725.849999999860302,1870735.879999999888241,1838542.239999999757856,1890554.000000000000000,11754787.959999999031425
20161013,2082344.500000000000000,2005324.319999999832362,2074939.899999999906868,1864512.239999999990687,1831692.099999999860302,1877820.370000000111759,11736637.429999999701977
20161014,2109380.500000000000000,1998811.659999999916181,2062658.489999999990687,1880890.239999999990687,1835636.120000000111759,1874042.260000000009313,11761423.270000001415610
20161017,2100368.500000000000000,1988450.610000000102445,2042078.830000000074506,1874339.040000000037253,1823181.319999999832362,1876980.790000000037253,11705403.089999999850988
20161018,2126278.000000000000000,2004140.200000000186265,2060998.840000000083819,1888751.679999999934807,1815293.280000000027940,2006555.969999999972060,11902021.970000000670552
20161019,2000110.000000000000000,2023382.149999999906868,2053696.379999999888241,1884493.399999999906868,1775645.500000000000000,2020269.110000000335276,11757600.539999999105930
20161020,1995604.000000000000000,2020717.880000000353903,2055356.030000000027940,1875321.719999999972060,1762983.120000000111759,2030064.210000000195578,11740050.960000000894070
20161021,1979833.000000000000000,2027526.569999999832362,2031457.070000000065193,1954263.679999999934807,1750528.319999999832362,2034262.110000000335276,11777874.750000000000000
20161024,1986028.750000000000000,2038775.710000000195578,2016520.219999999972060,1998156.719999999972060,1745753.979999999748543,2024746.870000000111759,11809986.250000000000000
20161025,1977016.750000000000000,2036703.500000000000000,2056351.820000000065193,1997829.160000000149012,1805329.439999999944121,2012013.240000000223517,11885247.910000000149012
20161026,1966878.250000000000000,2046472.489999999990687,2020503.379999999888241,1986037.000000000000000,1814255.380000000121072,1990324.090000000083819,11824474.589999999850988
20161027,1960682.500000000232831,2049432.790000000270084,2034444.439999999944121,1968676.320000000065193,1797233.819999999832362,1986266.120000000111759,11796739.990000002086163
20161028,1956739.750000000000000,2045880.430000000167638,1953121.590000000083819,1961142.439999999944121,1802630.899999999906868,1964017.250000000000000,11683536.360000001266599
20161031,1964061.999999999767169,2050320.880000000353903,1949138.429999999934807,1962780.239999999990687,1801800.579999999841675,1977730.390000000363216,11705836.519999999552965
20161101,1944348.250000000232831,2041736.010000000009313,1968390.369999999878928,1958849.519999999785796,1802838.479999999748543,1951143.690000000176951,11667310.319999998435378
20161102,1948854.250000000000000,2033151.140000000363216,1953121.590000000083819,1946729.800000000046566,1800555.099999999860302,1944846.840000000083819,11627262.720000000670552
20161103,1911116.500000000000000,2024270.239999999990687,1939512.459999999962747,1939523.479999999981374,1797648.979999999748543,1928754.890000000363216,11540830.550000000745058
20161104,1893092.500000000000000,2005916.380000000353903,1952457.729999999981374,1923145.479999999981374,1766096.819999999832362,1927075.730000000214204,11467788.640000000596046
20161107,1953923.499999999767169,2068674.739999999990687,1993285.119999999878928,1979158.239999999990687,1796818.659999999916181,1986126.190000000176951,11777990.449999999254942
20161108,1956739.750000000000000,2073115.190000000176951,2008553.899999999906868,1980796.040000000037253,1815500.859999999869615,1999699.400000000372529,11834409.140000000596046
20161109,1957303.000000000000000,2168436.850000000093132,2130372.209999999962747,1970969.239999999990687,1783741.120000000111759,1985706.400000000372529,11996532.820000002160668
20161110,1943221.750000000000000,2269087.050000000279397,2156262.750000000000000,1922817.920000000158325,1722089.859999999869615,2044896.790000000037253,12058380.120000001043081
