代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13203155.710000000894070
真實報酬,3203155.710000000894070

夏普值報酬,0.311615571000000
夏普值風險,0.082994642961800
夏普值,3.754646804654950

預期報酬,13218.870890265425260
風險,163953.735239559930051
趨勢值,0.080625615945564
找到最佳解世代,2031
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,5
BA[2](7),DD[7](4),MRK[17](16),MSFT[18](14),UNH[23](6),
20130528,2190347.299999999813735,2066679.760000000009313,2026382.859999999869615,2116010.240000000223517,2113798.520000000018626,10513218.679999999701977
20130529,2168030.719999999739230,2060881.520000000018626,1994468.109999999869615,2107551.160000000149012,2114132.240000000223517,10445063.750000000000000
20130530,2199755.270000000484288,2052598.320000000298023,2002978.709999999962747,2116614.459999999962747,2157849.560000000055879,10529796.320000000298023
20130531,2166499.190000000409782,2032304.480000000214204,1987234.100000000093132,2108759.599999999627471,2090104.400000000139698,10384901.770000001415610
20130603,2204131.070000000298023,2025263.760000000009313,2061701.850000000093132,2150450.779999999795109,2095777.639999999897555,10537325.099999999627471
20130604,2179407.799999999813735,2041830.159999999916181,2103829.319999999832362,2114197.580000000074506,2081093.959999999962747,10520358.820000000298023
20130605,2154903.320000000298023,1985090.239999999990687,2073616.689999999944121,2101508.959999999962747,2060737.040000000037253,10375856.250000000000000
20130606,2182689.650000000372529,1998757.520000000018626,2068084.800000000046566,2112384.919999999925494,2066410.280000000027940,10428327.169999999925494
20130607,2242419.320000000298023,2026092.080000000074506,2050638.069999999832362,2155284.540000000037253,2088102.080000000074506,10562536.090000001713634
20130610,2236949.570000000298023,2024849.600000000093132,2062127.380000000121072,2143200.139999999664724,2125145.000000000000000,10592271.689999999478459
20130611,2226228.860000000335276,2005384.080000000074506,2023829.680000000167638,2105134.279999999795109,2133488.000000000000000,10494064.900000000372529
20130612,2207194.129999999888241,1992959.280000000027940,2010638.250000000000000,2114801.799999999813735,2130150.799999999813735,10455744.259999999776483
20130613,2235199.250000000000000,2043486.800000000279397,2038297.699999999953434,2097883.639999999664724,2140829.840000000316650,10555697.230000000447035
20130614,2227979.179999999701977,2005798.239999999990687,2040425.350000000093132,2078548.599999999627471,2129149.640000000130385,10481901.009999999776483
20130617,2254233.980000000447035,2013667.280000000027940,2034042.399999999906868,2114801.799999999813735,2148171.680000000167638,10564917.140000000596046
20130618,2277206.929999999701977,2041830.159999999916181,2031914.750000000000000,2113593.359999999403954,2191889.000000000465661,10656434.199999999254942
20130619,2237168.360000000335276,2011182.320000000298023,2024680.739999999990687,2090028.780000000027940,2177872.760000000242144,10540932.960000000894070
20130620,2180064.169999999925494,1957755.680000000167638,1970638.430000000167638,2023564.579999999841675,2129149.640000000130385,10261172.500000000000000
20130621,2187503.030000000260770,1924622.880000000121072,2000000.000000000000000,2010271.739999999990687,2132486.839999999850988,10254884.490000000223517
20130624,2140900.759999999776483,1908056.480000000214204,1974893.729999999748543,2037461.639999999664724,2157515.840000000316650,10218828.449999999254942
20130625,2158841.540000000037253,1916753.840000000083819,1967234.189999999944121,2034440.539999999804422,2126813.600000000093132,10204083.710000000894070
20130626,2204349.860000000335276,1899359.120000000111759,1986808.569999999832362,2075527.500000000000000,2161854.200000000186265,10327899.250000000000000
20130627,2256859.459999999962747,1908056.480000000214204,2011914.840000000083819,2091841.439999999711290,2205571.520000000018626,10474243.740000000223517
20130628,2241325.370000000111759,1897288.320000000298023,1976595.850000000093132,2087007.679999999701977,2185214.600000000093132,10387431.820000000298023
20130701,2258828.570000000298023,1916753.840000000083819,1971063.959999999962747,2076131.719999999739230,2190220.399999999906868,10412998.490000000223517
20130702,2220102.740000000223517,1913440.560000000288710,1980851.149999999906868,2050754.479999999748543,2178206.479999999981374,10343355.410000000149012
20130703,2251170.919999999925494,1912612.239999999990687,1980851.149999999906868,2054984.019999999785796,2187216.920000000391155,10386835.250000000000000
20130705,2279832.410000000149012,1927936.159999999916181,2006808.479999999748543,2067068.419999999925494,2208241.280000000260770,10489886.750000000000000
20130708,2283551.839999999850988,1951543.280000000027940,2017446.729999999748543,2074319.059999999823049,2254628.360000000335276,10581489.269999999552965
20130709,2290334.330000000074506,2006626.560000000288710,2026382.859999999869615,2075527.500000000000000,2268310.879999999888241,10667182.129999998956919
20130710,2308275.110000000335276,1992959.280000000027940,2040850.880000000121072,2096675.199999999953434,2258966.719999999739230,10697727.190000001341105
20130711,2338468.129999999888241,2016980.560000000288710,2055744.430000000167638,2156492.979999999515712,2281325.959999999962747,10849012.060000002384186
20130712,2228854.339999999850988,2012424.800000000279397,2065531.619999999878928,2155284.540000000037253,2269312.040000000037253,10731407.339999999850988
20130715,2311775.750000000000000,2028991.200000000186265,2064680.560000000055879,2185495.540000000037253,2256630.680000000167638,10847573.730000000447035
20130716,2280488.780000000260770,2003727.440000000176951,2052340.189999999944121,2191537.740000000223517,2232936.560000000055879,10761030.710000000894070
20130717,2292741.020000000484288,2048456.720000000204891,2048084.890000000130385,2159514.080000000074506,2210243.600000000093132,10759040.310000000521541
20130718,2354877.379999999888241,2039759.360000000102445,2017021.199999999953434,2141387.479999999515712,2354410.640000000130385,10907456.060000000521541
20130719,2340218.450000000186265,2044729.280000000027940,2033616.869999999878928,1897282.599999999627471,2384445.439999999944121,10700292.640000000596046
20130722,2338030.549999999813735,2040173.520000000018626,2030638.159999999916181,1934140.019999999785796,2408807.000000000465661,10751789.250000000000000
20130723,2358378.020000000484288,2037688.560000000288710,2039574.290000000037253,1922659.839999999850988,2425826.719999999739230,10784127.429999999701977
20130724,2339999.660000000149012,2027334.560000000288710,2032765.810000000055879,1931118.919999999925494,2420487.200000000186265,10751706.150000002235174
20130725,2334529.910000000149012,2063780.640000000130385,2049787.010000000009313,1896678.379999999888241,2423490.680000000167638,10768266.620000001043081
20130726,2310463.009999999776483,2046800.080000000074506,2063403.969999999972060,1910575.439999999944121,2409808.159999999683350,10741050.660000000149012
20130729,2293178.600000000558794,2064194.800000000279397,2057021.020000000251457,1905741.679999999701977,2429163.920000000391155,10749300.020000001415610
20130730,2313307.280000000260770,2067922.239999999990687,2044680.649999999906868,1924472.500000000000000,2411810.479999999981374,10762193.150000000372529
20130731,2299523.509999999776483,2066679.760000000009313,2049787.010000000009313,1923868.279999999795109,2431166.239999999757856,10771024.799999998882413
20130801,2334529.910000000149012,2087801.919999999925494,2067233.739999999990687,1913596.539999999804422,2441511.560000000055879,10844673.669999999925494
20130802,2360784.709999999962747,2136258.639999999664724,2065531.619999999878928,1926889.379999999888241,2411476.760000000242144,10900941.109999999403954
20130805,2352033.110000000335276,2151582.560000000521541,2065106.090000000083819,1915409.199999999720603,2447518.520000000018626,10931649.480000000447035
20130806,2341968.770000000484288,2126732.959999999962747,2061276.319999999832362,1908158.559999999823049,2444181.319999999832362,10882317.930000001564622
20130807,2328403.790000000037253,2140400.240000000223517,2065957.149999999906868,1937161.119999999878928,2433502.280000000260770,10905424.579999998211861
20130808,2315713.969999999739230,2176846.320000000298023,2062552.909999999916181,1987311.379999999888241,2442179.000000000465661,10984603.580000000074506
20130809,2304555.679999999701977,2243526.080000000074506,2059148.669999999925494,1975831.199999999953434,2433836.000000000465661,11016897.629999998956919
20130812,2280707.570000000298023,2210393.280000000260770,2062552.909999999916181,1986102.939999999711290,2415815.120000000111759,10955571.820000000298023
20130813,2324246.780000000260770,2234000.400000000372529,2060850.790000000037253,1947432.859999999636784,2447852.239999999757856,11014383.070000000298023
20130814,2278957.250000000000000,2226545.520000000484288,2066808.209999999962747,1954683.500000000000000,2419152.319999999832362,10946146.800000000745058
20130815,2247670.280000000260770,2191341.919999999925494,2041276.409999999916181,1920847.179999999701977,2382776.840000000316650,10783912.629999998956919
20130816,2263860.740000000223517,2175603.839999999850988,2029787.100000000093132,1921451.399999999906868,2383778.000000000465661,10774481.080000000074506
20130819,2291209.490000000223517,2160279.919999999925494,2024680.739999999990687,1896678.379999999888241,2393122.159999999683350,10765970.689999999478459
20130820,2289240.379999999888241,2179331.280000000260770,2023829.680000000167638,1910575.439999999944121,2418151.159999999683350,10821127.939999999478459
20130821,2273487.500000000000000,2190513.600000000558794,2019574.380000000121072,1909971.219999999739230,2397794.239999999757856,10791340.939999999478459
20130822,2300398.669999999925494,2193412.719999999739230,2034467.930000000167638,1957100.379999999888241,2401798.879999999888241,10887178.579999998211861
20130823,2307837.530000000260770,2284942.080000000074506,2031063.689999999944121,2099696.299999999813735,2420820.920000000391155,11144360.520000001415610
20130826,2308931.480000000447035,2279558.000000000000000,2026382.859999999869615,2063443.099999999627471,2415481.399999999906868,11093796.839999999850988
20130827,2258172.200000000186265,2215363.200000000186265,2004680.830000000074506,2009667.519999999785796,2386781.479999999981374,10874665.230000000447035
20130828,2259484.940000000409782,2208736.639999999664724,2003829.770000000251457,1995166.239999999990687,2387448.920000000391155,10854666.509999999776483
20130829,2295804.080000000074506,2212878.240000000223517,2004255.300000000046566,2027189.899999999674037,2417483.719999999739230,10957611.239999998360872
20130830,2273706.290000000037253,2205837.520000000484288,2012340.369999999878928,2018126.599999999627471,2394123.319999999832362,10904134.100000001490116
20130903,2297554.400000000372529,2208322.480000000447035,2008936.130000000121072,1926285.159999999683350,2421488.360000000335276,10862586.530000001192093
20130904,2327309.839999999850988,2228202.160000000149012,2028936.040000000037253,1885198.199999999720603,2447852.239999999757856,10917498.480000000447035
20130905,2333435.959999999962747,2265476.560000000521541,2021702.030000000027940,1887615.079999999608845,2470878.920000000391155,10979108.550000000745058
20130906,2320746.139999999664724,2274173.919999999925494,2020850.969999999972060,1882177.099999999627471,2471546.360000000335276,10969494.489999998360872
20130909,2345250.620000000111759,2289083.680000000633299,2031489.219999999972060,1912992.319999999832362,2477887.040000000037253,11056702.879999998956919
20130910,2366692.040000000037253,2358248.400000000372529,2041701.939999999944121,1957100.379999999888241,2490568.399999999906868,11214311.160000002011657
20130911,2389883.780000000260770,2350379.360000000335276,2048510.419999999925494,1978248.079999999841675,2508923.000000000465661,11275944.640000000596046
20130912,2402354.809999999590218,2291982.799999999813735,2036170.050000000046566,1975226.979999999748543,2494239.319999999832362,11199973.959999999031425
20130913,2435829.679999999701977,2351621.839999999850988,2033616.869999999878928,1995770.459999999962747,2485562.600000000093132,11302401.449999999254942
20130916,2530784.540000000037253,2347480.240000000223517,2050638.069999999832362,1981873.399999999674037,2506920.680000000167638,11417696.929999999701977
20130917,2562290.299999999813735,2342096.160000000149012,2042978.530000000027940,1989728.259999999776483,2479889.360000000335276,11416982.609999999403954
20130918,2590514.209999999962747,2410018.400000000372529,2059574.199999999953434,2013292.839999999850988,2437506.920000000391155,11510906.570000000298023
20130919,2604516.770000000484288,2395108.639999999664724,2053616.780000000027940,2032627.879999999888241,2364088.520000000018626,11449958.589999999850988
20130920,2551788.379999999888241,2341682.000000000000000,2042978.530000000027940,1981269.179999999701977,2355078.079999999608845,11272796.169999999925494
20130923,2571041.900000000372529,2314347.440000000409782,2028936.040000000037253,1978248.079999999841675,2396793.079999999608845,11289366.540000000968575
20130924,2603641.610000000335276,2306892.560000000521541,2022553.090000000083819,1961329.919999999925494,2413479.079999999608845,11307896.259999999776483
20130925,2592920.900000000372529,2350793.520000000484288,2028510.510000000009313,1964351.019999999785796,2402132.600000000093132,11338708.550000000745058
20130926,2611955.629999999888241,2358662.560000000521541,2028936.040000000037253,1980060.739999999990687,2408139.560000000055879,11387754.530000001192093
20130927,2597953.070000000298023,2301508.480000000447035,2033616.869999999878928,2010271.739999999990687,2402466.319999999832362,11345816.480000000447035
20130930,2570823.110000000335276,2265062.400000000372529,2025957.330000000074506,2010875.959999999962747,2389784.959999999962747,11262503.760000001639128
20131001,2576292.860000000335276,2259678.320000000298023,2074042.219999999972060,2029002.559999999823049,2422155.799999999813735,11361171.760000001639128
20131002,2578261.969999999739230,2282457.120000000111759,2058297.609999999869615,2049546.039999999804422,2421822.079999999608845,11390384.819999998435378
20131003,2521376.570000000298023,2286598.719999999739230,2057872.080000000074506,2045920.719999999739230,2420153.479999999981374,11331921.570000000298023
20131004,2564259.410000000149012,2358662.560000000521541,2052340.189999999944121,2047129.159999999916181,2435838.319999999832362,11458229.640000000596046
20131007,2553101.120000000111759,2320974.000000000000000,2037872.169999999925494,2012084.399999999674037,2408473.280000000260770,11332504.969999998807907
20131008,2525752.370000000111759,2272103.120000000111759,2031914.750000000000000,1994562.019999999785796,2385446.600000000093132,11209778.859999999403954
20131009,2504529.740000000223517,2295710.240000000223517,2011489.310000000055879,1998187.339999999850988,2382109.399999999906868,11192026.030000001192093
20131010,2601453.709999999962747,2382683.839999999850988,2020850.969999999972060,2039878.519999999785796,2468876.600000000093132,11513743.639999998733401
20131011,2581325.030000000260770,2422443.200000000186265,2012340.369999999878928,2062234.659999999916181,2478554.479999999981374,11556897.740000000223517
20131014,2613705.950000000186265,2407533.440000000409782,1989361.750000000000000,2081569.699999999953434,2493571.879999999888241,11585742.719999998807907
20131015,2585700.830000000074506,2384754.639999999664724,1981702.209999999962747,2083986.579999999841675,2465205.680000000167638,11501349.939999999478459
20131016,2632959.469999999739230,2425756.480000000447035,2007234.010000000009313,2093049.879999999888241,2509256.719999999739230,11668256.559999998658895
20131017,2675623.520000000484288,2441080.400000000372529,2004680.830000000074506,2109968.040000000037253,2381775.680000000167638,11613128.470000000670552
20131018,2680655.690000000409782,2436524.639999999664724,1983404.330000000074506,2112384.919999999925494,2294674.760000000242144,11507644.339999999850988
20131021,2657682.740000000223517,2439423.759999999776483,1979149.030000000027940,2114197.580000000074506,2275986.439999999944121,11466439.549999998882413
20131022,2679780.530000000260770,2450606.080000000074506,1977446.909999999916181,2089424.559999999823049,2298011.959999999962747,11495270.039999999105930
20131023,2822869.190000000409782,2420372.400000000372529,1981276.680000000167638,2039878.519999999785796,2269645.760000000242144,11534042.550000000745058
20131024,2821994.030000000260770,2395936.959999999962747,1966808.659999999916181,2037461.639999999664724,2256296.959999999962747,11478498.250000000000000
20131025,2870346.620000000111759,2330913.839999999850988,1980425.619999999878928,2158909.859999999403954,2256630.680000000167638,11597226.619999999180436
20131028,2841685.129999999888241,2306892.560000000521541,1929787.550000000046566,2149242.339999999850988,2233937.719999999739230,11461545.300000000745058
20131029,2836871.750000000000000,2327186.400000000372529,1939574.739999999990687,2146221.240000000223517,2271981.799999999813735,11521835.929999999701977
20131030,2837309.330000000074506,2315589.919999999925494,1925106.719999999972060,2147429.679999999701977,2269645.760000000242144,11495081.409999998286366
20131031,2855250.110000000335276,2328014.719999999739230,1918723.770000000251457,2139574.819999999832362,2277988.760000000242144,11519552.179999999701977
20131101,2910603.980000000447035,2297366.879999999888241,1924681.189999999944121,2146825.459999999962747,2290336.399999999906868,11569813.910000002011657
20131104,2905353.019999999552965,2265062.400000000372529,1945532.159999999916181,2171598.479999999515712,2301015.439999999944121,11588561.499999998137355
20131105,2922418.639999999664724,2283699.600000000558794,1930213.080000000074506,2213893.879999999888241,2293339.879999999888241,11643565.079999998211861
20131106,2911916.719999999739230,2315589.919999999925494,1955744.880000000121072,2306943.759999999776483,2345733.920000000391155,11835929.199999999254942
20131107,2877347.899999999441206,2280800.480000000447035,1949787.459999999962747,2265856.799999999813735,2328046.760000000242144,11701839.400000000372529
20131108,2920668.320000000298023,2339611.200000000186265,1991489.399999999906868,2282774.959999999962747,2352742.040000000037253,11887285.919999998062849
20131111,2899664.480000000447035,2339197.040000000037253,2000000.000000000000000,2271294.779999999795109,2352742.040000000037253,11862898.339999999850988
20131112,2895288.680000000633299,2320145.680000000633299,2025106.270000000251457,2257397.719999999739230,2334387.439999999944121,11832325.790000000968575
20131113,2913667.040000000037253,2335469.600000000558794,2014468.020000000251457,2305735.319999999832362,2369761.760000000242144,11939101.740000000223517
20131114,2955674.719999999739230,2365289.120000000111759,2034893.459999999962747,2297276.240000000223517,2384111.719999999739230,12037245.259999997913837
20131115,2977334.930000000633299,2372744.000000000000000,2045531.709999999962747,2286400.279999999795109,2398461.680000000167638,12080472.599999999627471
20131118,3027219.050000000745058,2351621.839999999850988,2042978.530000000027940,2247730.200000000186265,2392121.000000000465661,12061670.620000001043081
20131119,2997026.030000000260770,2341682.000000000000000,2045531.709999999962747,2219936.080000000074506,2389784.959999999962747,11993960.780000001192093
20131120,2897914.160000000149012,2315589.919999999925494,2048084.890000000130385,2240479.559999999590218,2402132.600000000093132,11904201.130000000819564
20131121,2908416.080000000074506,2337540.400000000372529,2068935.859999999869615,2259814.599999999627471,2433168.560000000055879,12007875.500000000000000
20131122,2974928.240000000223517,2339197.040000000037253,2082552.819999999832362,2270086.339999999850988,2460867.319999999832362,12127631.759999999776483
20131125,2909947.610000000335276,2300680.160000000149012,2113190.979999999981374,2274315.879999999888241,2471880.079999999608845,12070014.709999999031425
20131126,2948892.230000000447035,2287841.200000000186265,2109786.739999999757856,2256793.500000000000000,2486897.479999999981374,12090211.150000000372529
20131127,2947579.490000000223517,2306064.240000000223517,2120424.989999999757856,2271899.000000000000000,2481557.959999999962747,12127525.679999999701977
20131129,2937296.360000000335276,2303993.440000000409782,2120424.989999999757856,2303922.660000000149012,2485562.600000000093132,12151200.050000000745058
20131202,2935327.250000000000000,2358248.400000000372529,2135318.540000000037253,2323257.700000000186265,2474883.560000000055879,12227035.450000001117587
20131203,2888068.610000000335276,2283699.600000000558794,2117446.279999999795109,2314798.620000000111759,2460533.600000000093132,12064546.709999999031425
20131204,2877129.110000000335276,2293639.440000000409782,2098297.430000000167638,2352864.479999999515712,2457863.840000000316650,12079794.300000000745058
20131205,2904040.280000000260770,2277073.040000000037253,2077020.930000000167638,2296067.799999999813735,2427829.040000000037253,11982031.089999999850988
20131206,2957643.830000000074506,2316004.080000000074506,2101701.669999999925494,2317819.719999999739230,2452858.040000000037253,12146027.339999999850988
20131209,2946704.330000000074506,2406290.959999999962747,2108935.680000000167638,2338967.419999999925494,2460199.879999999888241,12261098.269999999552965
20131210,2925262.910000000149012,2464273.360000000335276,2103403.790000000037253,2302714.219999999739230,2471212.640000000130385,12266866.920000001788139
20131211,2900320.850000000558794,2421200.719999999739230,2082978.350000000093132,2272503.219999999739230,2407472.120000000111759,12084475.260000001639128
20131212,2909072.450000000186265,2404220.160000000149012,2056169.959999999962747,2248938.639999999664724,2369761.760000000242144,11988162.970000000670552
20131213,2928107.180000000633299,2448949.440000000409782,2058723.140000000130385,2216914.979999999515712,2352074.600000000093132,12004769.340000001713634
20131216,2947579.490000000223517,2453505.200000000186265,2046382.770000000251457,2228395.160000000149012,2371430.360000000335276,12047292.980000000447035
20131217,2972959.129999999888241,2489122.959999999962747,2038297.699999999953434,2206643.240000000223517,2360417.600000000093132,12067440.630000000819564
20131218,2964426.320000000298023,2566156.719999999739230,2080850.699999999953434,2210268.559999999590218,2415481.399999999906868,12237183.700000001117587
20131219,2957425.040000000037253,2589349.680000000633299,2076169.869999999878928,2190329.299999999813735,2415815.120000000111759,12229089.010000001639128
20131220,2990243.540000000037253,2582308.959999999962747,2098722.959999999962747,2223561.399999999441206,2447852.239999999757856,12342689.099999999627471
20131223,2984336.209999999962747,2588107.200000000186265,2100425.080000000074506,2212685.439999999478459,2481224.239999999757856,12366778.169999999925494
20131224,2993744.180000000633299,2619997.520000000484288,2102552.729999999981374,2240479.559999999590218,2473882.399999999906868,12430656.390000002458692
20131226,3025249.940000000409782,2645675.440000000409782,2115744.160000000149012,2262231.479999999515712,2497910.239999999757856,12546811.259999999776483
20131227,2995275.709999999962747,2630351.520000000484288,2118722.870000000111759,2253168.179999999701977,2492570.719999999739230,12490089.000000000000000
20131230,2973834.290000000037253,2630351.520000000484288,2125105.819999999832362,2253168.179999999701977,2495574.200000000186265,12478034.010000001639128
20131231,2986305.320000000298023,2618755.040000000037253,2129786.649999999906868,2260418.819999999832362,2512927.640000000130385,12508193.470000000670552
20140102,2990243.540000000037253,2587278.879999999888241,2105956.970000000204891,2245313.319999999832362,2488566.079999999608845,12417358.790000000968575
20140103,3011028.589999999850988,2575682.400000000372529,2116169.689999999944121,2230207.819999999832362,2506253.239999999757856,12439341.740000000223517
20140106,3028313.000000000000000,2571126.639999999664724,2116595.220000000204891,2183078.660000000149012,2477553.319999999832362,12376666.839999999850988
20140107,3074258.899999999441206,2542549.600000000558794,2132339.830000000074506,2199996.819999999832362,2553307.760000000242144,12502452.910000000149012
20140108,3081041.389999999664724,2545448.719999999739230,2118722.870000000111759,2160722.519999999552965,2523606.680000000167638,12429542.179999999701977
20140109,3109702.879999999888241,2512730.080000000074506,2107233.560000000055879,2146825.459999999962747,2538957.799999999813735,12415449.780000001192093
20140110,3104670.709999999962747,2518942.480000000447035,2122552.640000000130385,2177640.679999999701977,2492904.439999999944121,12416710.949999999254942
20140113,3078415.910000000149012,2470899.919999999925494,2260424.359999999869615,2113593.359999999403954,2467541.719999999739230,12390875.269999999552965
20140114,3063319.399999999441206,2515629.200000000186265,2255318.000000000000000,2161930.959999999962747,2470211.479999999981374,12466409.039999999105930
20140115,3076665.589999999850988,2539236.320000000298023,2234892.560000000055879,2221144.519999999552965,2497576.520000000018626,12569515.509999999776483
20140116,3067695.200000000186265,2541307.120000000111759,2234041.500000000000000,2228999.379999999888241,2428162.760000000242144,12500205.959999999031425
20140117,3073164.950000000186265,2540478.799999999813735,2210637.350000000093132,2198184.160000000149012,2420153.479999999981374,12442618.740000000223517
20140121,3099638.540000000037253,2709041.919999999925494,2205530.989999999757856,2185495.540000000037253,2441511.560000000055879,12641218.549999998882413
20140122,3158711.839999999850988,2694132.160000000149012,2185105.550000000279397,2170994.259999999776483,2449520.840000000316650,12658464.650000000372529
20140123,3091762.100000000558794,2637806.400000000372529,2195743.800000000279397,2178849.120000000111759,2442846.439999999944121,12547007.860000001266599
20140124,2989805.959999999962747,2560358.480000000447035,2211913.939999999944121,2224165.620000000111759,2389451.239999999757856,12375695.240000000223517
20140127,3005340.050000000745058,2542135.440000000409782,2235318.089999999850988,2177036.459999999962747,2391119.840000000316650,12350949.880000000819564
20140128,2999432.719999999739230,2539650.480000000447035,2249786.109999999869615,2191537.740000000223517,2393122.159999999683350,12373529.210000000894070
20140129,2839497.230000000447035,2638220.560000000521541,2221701.129999999888241,2215102.319999999832362,2378104.760000000242144,12292626.000000000000000
20140130,2768390.480000000447035,2672595.839999999850988,2277020.029999999795109,2227186.719999999739230,2429497.640000000130385,12374690.710000000894070
20140131,2740604.150000000372529,2684192.320000000298023,2254041.410000000149012,2286400.279999999795109,2412144.200000000186265,12377382.359999999403954
20140203,2692907.929999999701977,2635735.600000000558794,2216169.239999999757856,2204226.359999999403954,2360751.319999999832362,12109790.449999999254942
20140204,2670153.770000000484288,2651887.839999999850988,2277020.029999999795109,2196371.500000000000000,2353075.760000000242144,12148508.900000000372529
20140205,2656151.209999999962747,2645261.280000000260770,2277871.089999999850988,2164347.839999999850988,2363421.079999999608845,12107052.500000000000000
20140206,2683937.540000000037253,2688748.080000000074506,2288083.810000000055879,2186099.759999999776483,2365089.680000000167638,12211958.869999999180436
20140207,2779111.190000000409782,2689576.400000000372529,2330636.810000000055879,2209060.120000000111759,2381441.959999999962747,12389826.480000000447035
20140210,2782174.250000000000000,2703657.839999999850988,2335743.169999999925494,2223561.399999999441206,2327379.319999999832362,12372515.980000000447035
20140211,2847811.250000000000000,2762468.560000000521541,2370211.100000000093132,2245917.540000000037253,2356746.680000000167638,12583155.129999998956919
20140212,2803396.879999999888241,2735134.000000000000000,2340424.000000000000000,2264044.139999999664724,2344065.319999999832362,12487064.339999999850988
20140213,2833371.110000000335276,2730992.400000000372529,2344679.300000000279397,2272503.219999999739230,2376436.159999999683350,12557982.190000001341105
20140214,2847811.250000000000000,2755013.679999999701977,2359147.319999999832362,2273107.439999999478459,2453525.479999999981374,12688605.169999999925494
20140218,2858094.379999999888241,2759155.280000000260770,2369785.569999999832362,2261023.040000000037253,2463870.799999999813735,12711929.070000000298023
20140219,2809085.419999999925494,2738861.439999999478459,2342126.120000000111759,2266461.019999999552965,2454526.640000000130385,12611060.640000000596046
20140220,2834683.850000000558794,2780277.439999999478459,2374891.930000000167638,2280962.299999999813735,2452190.600000000093132,12723006.119999999180436
20140221,2806678.730000000447035,2769923.439999999478459,2384253.589999999850988,2294859.359999999403954,2463203.360000000335276,12718918.480000000447035
20140224,2835340.219999999739230,2769095.120000000111759,2390636.540000000037253,2277336.979999999515712,2536621.760000000242144,12809030.619999999180436
20140225,2773860.230000000447035,2785247.360000000335276,2379147.229999999981374,2268273.679999999701977,2513595.079999999608845,12720123.580000000074506
20140226,2770140.799999999813735,2820865.120000000111759,2394466.310000000055879,2264044.139999999664724,2538290.360000000335276,12787806.730000000447035
