代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14254872.250000000000000
真實報酬,4254872.250000000000000

夏普值報酬,0.416787225000000
夏普值風險,0.100961827979925
夏普值,4.128166390597360

預期報酬,16764.339254203248856
風險,349357.730203908053227
趨勢值,0.047986169489991
找到最佳解世代,1889
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
AAPL[0](1),MCD[15](3),VZ[26](5),
20100729,4204583.319999999366701,3622026.649999999906868,3558840.239999999757856,11385451.209999999031425
20100730,4190898.759999999776483,3640298.400000000372529,3581021.279999999795109,11412219.439999999478459
20100802,4266163.839999999850988,3667445.000000000000000,3642635.279999999795109,11576245.119999999180436
20100803,4267304.219999999739230,3677886.000000000000000,3640170.720000000204891,11585361.939999999478459
20100804,4284409.919999999925494,3690415.199999999720603,3622918.799999999813735,11597744.919999998062849
20100805,4263883.080000000074506,3677886.000000000000000,3641403.000000000000000,11583173.080000000074506
20100806,4237654.339999999850988,3745230.449999999720603,3641403.000000000000000,11624288.789999999105930
20100809,4263883.080000000074506,3806832.350000000093132,3679603.680000000167638,11750320.109999999403954
20100810,4226250.540000000037253,3802655.950000000186265,3699320.160000000149012,11728227.650000000372529
20100811,4075720.379999999888241,3736355.599999999627471,3642635.279999999795109,11454712.259999999776483
20100812,4101949.119999999646097,3761936.050000000279397,3736288.560000000055879,11600174.730000000447035
20100813,4058614.680000000167638,3753061.200000000186265,3700552.440000000409782,11512229.320000000298023
20100816,4034666.700000000186265,3747840.700000000186265,3691926.479999999981374,11474434.880000000819564
20100817,4105370.259999999776483,3822493.850000000093132,3717804.360000000335276,11645669.469999998807907
20100818,4122475.959999999497086,3824060.000000000000000,3715339.799999999813735,11661876.759999997913837
20100819,4071158.859999999869615,3809442.600000000093132,3650028.960000000428408,11530631.419999999925494
20100820,4066597.339999999385327,3815185.149999999906868,3619221.960000000428408,11501005.449999999254942
20100823,4003876.439999999944121,3828758.450000000186265,3624151.080000000074506,11456786.970000000670552
20100824,3909224.899999999906868,3796391.350000000093132,3631544.759999999776483,11337162.009999999776483
20100825,3957120.859999999869615,3820927.699999999720603,3654958.080000000074506,11433007.640000000596046
20100826,3914926.799999999813735,3819361.549999999813735,3635241.600000000093132,11369530.949999999254942
20100827,3936594.020000000018626,3862691.699999999720603,3677139.120000000111759,11476425.839999999850988
20100830,3950278.579999999608845,3797435.449999999720603,3627847.920000000391155,11375562.949999999254942
20100831,3960541.999999999534339,3814141.050000000279397,3638938.440000000409782,11413622.490000000223517
20100901,4078001.139999999664724,3891404.450000000186265,3728894.880000000353903,11698301.470000000670552
20100902,4107651.020000000018626,3916462.849999999627471,3710410.680000000167638,11734525.549999998882413
20100903,4215987.120000000111759,3920117.200000000186265,3721501.200000000186265,11857606.519999999552965
20100907,4200021.799999999813735,3957182.750000000000000,3723965.759999999776483,11881171.309999998658895
20100908,4283269.540000000037253,3971800.149999999906868,3753540.479999999981374,12008611.169999999925494
20100909,4285550.299999999813735,3882529.600000000093132,3800367.120000000111759,11968448.019999999552965
20100910,4291252.200000000186265,3915940.800000000279397,3797902.560000000055879,12005096.560000000521541
20100913,4350551.959999999962747,3892970.599999999627471,3807760.799999999813735,12051284.359999999403954
20100914,4366517.279999999329448,3860081.449999999720603,3808993.080000000074506,12035592.809999998658895
20100915,4401869.059999999590218,3900279.299999999813735,3843496.920000000391155,12145646.279999999329448
20100916,4505643.639999999664724,3904977.750000000000000,3871839.360000000335276,12282461.750000000000000
20100917,4486257.179999999701977,3879919.349999999627471,3903878.640000000130385,12270056.169999999925494
20100920,4613979.740000000223517,3921161.299999999813735,3954402.120000000577420,12489544.160000000149012
20100921,4623102.779999999329448,3942043.300000000279397,3982744.560000000055879,12547891.640000000596046
20100922,4688104.439999999478459,3922205.399999999906868,3991370.520000000018626,12601681.359999999403954
20100923,4706350.520000000484288,3896624.950000000186265,3964260.360000000335276,12567236.830000001937151
20100924,4762229.139999999664724,3920639.249999999534339,4022177.520000000018626,12705046.909999998286366
20100927,4742842.679999999701977,3902889.550000000279397,4049287.680000000167638,12695020.910000000149012
20100928,4673279.499999999068677,3896102.899999999906868,4032035.759999999776483,12601419.159999998286366
20100929,4681262.159999999217689,3886706.000000000000000,4024642.079999999608845,12592611.240000000223517
20100930,4623102.779999999329448,3889838.300000000279397,4016016.120000000577420,12528958.200000001117587
20101001,4602575.939999999478459,3911242.350000000093132,4052984.520000000018626,12566803.809999998658895
20101004,4539855.040000000037253,3912808.500000000000000,4070236.440000000409782,12522900.980000000447035
20101005,4707490.899999999441206,3958226.849999999627471,4136779.560000000055879,12802498.310000000521541
20101006,4696087.099999999627471,3936300.750000000465661,4097346.600000000093132,12729735.449999999254942
20101007,4712052.419999999925494,3960315.049999999813735,4057913.640000000130385,12730282.109999999403954
20101008,4790738.639999999664724,3972844.249999999534339,4045590.839999999850988,12809174.729999998584390
20101011,4811265.479999999515712,3946219.700000000186265,4070236.440000000409782,12827722.620000001043081
20101012,4863722.959999999962747,3945697.649999999906868,4009854.720000000204891,12819276.330000000074506
20101013,4889951.700000000186265,3954572.500000000000000,3969189.479999999981374,12813714.679999999701977
20101014,4925303.479999999515712,4021916.950000000186265,3997531.919999999925494,12944753.349999999627471
20101015,5127150.740000000223517,4044887.150000000372529,3996299.640000000130385,13168338.530000001192093
20101018,5180748.599999999627471,4036534.349999999627471,4016016.120000000577420,13233300.070000000298023
20101019,5041622.240000000223517,4019306.699999999720603,3963028.079999999608845,13023958.019999999552965
20101020,5058727.939999999478459,4041232.799999999813735,4022177.520000000018626,13122139.259999997913837
20101021,5042762.620000000111759,4095003.949999999720603,4007390.160000000614673,13145157.730000000447035
20101022,5008551.219999999739230,4100746.500000000000000,3954402.120000000577420,13063700.839999999850988
20101025,5031358.819999999366701,4108577.250000000000000,3986441.400000000372529,13126378.470000000670552
20101026,5018814.639999999664724,4111709.550000000279397,4004925.600000000093132,13135450.789999999105930
20101027,5015393.499999999068677,4044887.150000000372529,4006157.879999999888241,13066439.529999997466803
20101028,4973199.439999999478459,4044887.150000000372529,3993835.079999999608845,13011922.669999999925494
20101029,4903636.259999999776483,4060026.599999999627471,4002461.039999999571592,12966124.899999998509884
20101101,4954953.360000000335276,4065769.149999999906868,3992602.799999999813735,13013326.309999998658895
20101102,5039341.479999999515712,4092915.750000000465661,4041893.999999999534339,13174152.230000000447035
20101103,5096360.479999999515712,4098136.250000000000000,4065307.320000000298023,13259805.050000000745058
20101104,5185310.120000000111759,4133635.650000000372529,4130618.160000000614673,13449564.929999999701977
20101105,5165923.659999999217689,4139900.250000000000000,4119527.640000000130385,13425352.550000000745058
20101108,5191012.020000000484288,4140422.300000000279397,4087488.360000000335276,13418923.679999999701977
20101109,5148817.959999999962747,4129459.249999999534339,4067771.879999999888241,13346050.089999999850988
20101110,5180748.599999999627471,4150341.250000000000000,4048055.400000000372529,13379146.250000000000000
20101111,5159081.379999999888241,4160782.250000000000000,4020945.240000000223517,13340809.869999999180436
20101112,5017674.259999999776483,4116407.999999999534339,4012319.280000000260770,13146402.539999999105930
20101115,5001708.939999999478459,4127893.099999999627471,4038197.160000000614673,13167800.199999999254942
20101116,4912759.299999999813735,4041754.850000000093132,3966724.919999999925494,12921240.070000000298023
20101117,4895653.599999999627471,4091349.600000000093132,3985209.120000000577420,12972213.320000000298023
20101118,5024516.540000000037253,4125282.849999999627471,4023409.799999999813735,13173210.190000001341105
20101119,4997147.419999999925494,4157649.950000000186265,4016016.120000000577420,13170814.490000002086163
20101122,5105483.520000000484288,4151385.349999999627471,4004925.600000000093132,13261795.470000000670552
20101123,5029078.059999999590218,4124760.800000000279397,3991370.520000000018626,13145210.379999998956919
20101124,5128291.120000000111759,4149297.150000000372529,3986441.400000000372529,13264030.669999999925494
20101126,5131712.259999999776483,4100224.450000000186265,3969189.479999999981374,13201127.190000001341105
20101129,5162502.520000000484288,4085607.050000000279397,3930988.799999999813735,13179099.370000001043081
20101130,5068991.360000000335276,4087695.250000000000000,3944543.879999999888241,13101231.489999998360872
20101201,5154519.860000000335276,4139378.200000000186265,3986441.400000000372529,13280340.460000000894070
20101202,5183029.360000000335276,4144076.649999999906868,4034500.320000000298023,13361607.330000000074506
20101203,5171625.559999999590218,4163914.550000000279397,4054216.799999999813735,13389757.910000000149012
20101206,5216100.379999999888241,4154517.649999999906868,4052984.520000000018626,13423603.549999998882413
20101207,5184169.740000000223517,4194193.450000000186265,4060378.200000000651926,13438742.390000002458692
20101208,5229784.939999999478459,4110665.449999999720603,4064075.039999999571592,13404526.429999997839332
20101209,5209258.099999999627471,4051673.799999999813735,4135547.280000000260770,13396480.179999999701977
20101210,5221802.279999999329448,4049063.550000000279397,4194696.720000000670552,13465563.550000000745058
20101213,5240048.360000000335276,4025571.299999999813735,4203322.679999999701977,13468943.339999999850988
20101214,5218381.139999999664724,4025571.299999999813735,4272330.359999999403954,13516283.799999998882413
20101215,5219521.520000000484288,4018784.650000000372529,4267401.240000000223517,13505708.410000002011657
20101216,5233206.080000000074506,4004689.299999999813735,4283420.879999998956919,13521317.259999997913837
20101217,5222942.659999999217689,4009909.800000000279397,4268633.519999999552965,13501486.979999998584390
20101220,5249171.399999999441206,4015652.350000000093132,4280956.320000000298023,13545781.070000000298023
20101221,5281102.040000000037253,4012520.049999999813735,4305601.919999999925494,13599225.009999999776483
20101222,5297067.360000000335276,4020350.800000000279397,4335176.640000000596046,13652595.800000000745058
20101223,5271978.999999999068677,4017740.549999999813735,4367215.919999999925494,13656936.469999998807907
20101227,5289084.700000000186265,3990071.900000000372529,4374609.599999999627471,13653767.200000001117587
20101228,5302769.259999999776483,3990071.900000000372529,4389396.959999999031425,13682239.119999999180436
20101229,5299348.120000000111759,4019306.699999999720603,4384467.839999999850988,13703123.660000000149012
20101230,5273119.379999999888241,4007299.550000000279397,4382003.280000001192093,13662423.210000000894070
20101231,5254873.299999999813735,4007299.550000000279397,4409113.439999999478459,13671287.289999999105930
20110103,5368911.299999999813735,3998946.749999999534339,4489211.640000000596046,13857070.689999999478459
20110104,5397420.799999999813735,3879397.300000000279397,4579168.080000000074506,13855987.179999999701977
20110105,5440755.240000000223517,3897669.049999999813735,4642014.359999999403954,13980439.649999998509884
20110106,5437334.099999999627471,3874176.799999999813735,4464566.039999999105930,13776077.939999997615814
20110107,5476107.020000000484288,3882529.600000000093132,4427597.640000000596046,13786235.260000001639128
20110110,5578741.219999999739230,3840243.550000000279397,4426365.359999999403954,13845351.129999998956919
20110111,5566197.040000000037253,3857993.250000000465661,4357357.679999999701977,13781548.970000000670552
20110112,5610671.860000000335276,3842331.749999999534339,4370912.759999999776483,13823917.369999999180436
20110113,5631198.700000000186265,3793781.100000000093132,4411578.000000000000000,13836558.800000000745058
20110114,5676813.899999999441206,3866346.050000000279397,4369680.480000000447035,13912841.429999999701977
20110118,5549091.339999999850988,3898713.150000000372529,4234129.679999999701977,13681935.169999999925494
20110119,5520581.839999999850988,3933690.499999999534339,4263704.400000000372529,13717977.740000000223517
20110120,5420228.399999999441206,3923771.549999999813735,4264936.679999999701977,13608937.629999998956919
20110121,5322155.719999999739230,3915940.800000000279397,4306834.200000001117587,13544931.720000000670552
20110124,5497774.240000000223517,3935256.649999999906868,4342570.320000000298023,13775602.210000000894070
20110125,5561635.520000000484288,3940477.150000000372529,4410345.720000000670552,13912459.390000002458692
20110126,5601548.819999999366701,3924293.600000000093132,4485514.800000000745058,14011358.220000000670552
20110127,5591285.399999999441206,3881485.499999999534339,4496605.320000000298023,13969377.219999998807907
20110128,5474966.639999999664724,3825626.149999999906868,4390629.240000000223517,13691223.029999999329448
20110131,5527424.120000000111759,3845986.100000000093132,4389396.959999999031425,13762808.179999999701977
20110201,5620935.279999999329448,3835545.100000000093132,4469495.160000000149012,13925976.539999999105930
20110202,5609531.479999999515712,3844419.950000000186265,4455940.080000000074506,13909892.509999999776483
20110203,5594706.540000000037253,3854338.899999999906868,4483050.240000000223517,13932096.679999999701977
20110204,5644883.259999999776483,3865824.000000000000000,4474424.280000001192093,13985132.540000000968575
20110207,5732692.520000000484288,3834501.000000000000000,4438688.160000000149012,14005882.679999999701977
20110208,5786290.379999999888241,3934212.549999999813735,4478121.120000001043081,14198625.050000000745058
20110209,5835326.719999999739230,3963969.400000000372529,4520018.640000000596046,14319315.760000001639128
20110210,5776026.959999999962747,3955094.550000000279397,4487979.359999999403954,14219101.869999999180436
20110211,5813659.499999999068677,3974932.450000000186265,4484282.519999999552965,14272875.469999998807907
20110214,5851292.040000000037253,3980152.949999999720603,4423900.800000000745058,14255346.790000000968575
20110215,5862695.839999999850988,3975454.500000000465661,4492908.480000000447035,14331059.820000000298023
20110216,5916293.700000000186265,3968667.849999999627471,4457172.359999999403954,14342134.910000000149012
20110217,5837607.479999999515712,3966579.650000000372529,4481817.959999999031425,14286006.089999997988343
20110218,5711025.299999999813735,3974410.399999999906868,4512624.959999999031425,14198061.659999998286366
20110222,5516020.319999999366701,3951962.250000000000000,4436223.599999999627471,13904207.169999999925494
20110223,5582162.360000000335276,3925337.699999999720603,4412810.280000001192093,13920311.340000001713634
20110224,5585583.499999999068677,3926381.799999999813735,4384467.839999999850988,13896434.139999998733401
20110225,5672252.379999999888241,3886183.949999999720603,4432526.759999999776483,13990964.089999999850988
20110228,5754359.740000000223517,3950918.150000000372529,4549593.359999999403954,14254872.250000000000000
