代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14281036.480000000447035
真實報酬,4281036.480000000447035

夏普值報酬,0.419403648000000
夏普值風險,0.116552085940429
夏普值,3.598422495967708

預期報酬,14701.671696388277269
風險,393056.180975379189476
趨勢值,0.037403486849910
找到最佳解世代,2070
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
KO[14](3),UNH[23](2),VZ[26](1),
20100622,3270981.500000000000000,3369624.419999999925494,3351837.750000000465661,9992444.669999999925494
20100623,3257264.170000000391155,3322335.600000000093132,3382679.000000000465661,9962279.770000001415610
20100624,3229829.509999999776483,3272847.300000000279397,3340734.899999999906868,9843412.710000000894070
20100625,3133808.199999999720603,3286044.180000000167638,3292622.550000000279397,9712475.929999999701977
20100628,3184936.430000000167638,3210162.120000000111759,3311127.300000000279397,9706226.850000001490116
20100629,3138796.320000000298023,3148576.680000000167638,3301258.100000000558794,9588632.100000001490116
20100630,3125078.989999999757856,3123282.659999999683350,3232173.700000000186265,9480536.349999999627471
20100701,3120090.870000000111759,3062796.960000000428408,3244510.200000000186265,9427399.030000001192093
20100702,3121337.900000000372529,3112285.260000000242144,3307426.350000000093132,9541050.509999999776483
20100706,3145031.469999999739230,3177169.919999999925494,3282753.350000000093132,9604955.740000000223517
20100707,3209877.029999999795109,3211261.859999999869615,3271650.500000000000000,9692790.390000000596046
20100708,3268487.439999999944121,3264049.379999999888241,3303725.400000000372529,9836263.220000000670552
20100709,3267240.410000000149012,3295941.839999999850988,3287687.950000000186265,9850871.199999999254942
20100712,3270981.500000000000000,3303640.020000000018626,3267949.549999999813735,9842572.070000000298023
20100713,3287192.890000000130385,3314637.419999999925494,3317295.550000000279397,9919126.860000001266599
20100714,3293428.040000000037253,3334432.740000000223517,3311127.300000000279397,9938989.080000000074506
20100715,3295922.100000000093132,3396018.180000000167638,3306192.700000000186265,9998133.980000000447035
20100716,3265993.380000000353903,3336632.220000000204891,3292622.550000000279397,9895249.150000000372529
20100719,3259758.229999999981374,3389419.740000000223517,3296323.500000000000000,9945502.470000000670552
20100720,3319615.670000000391155,3390519.479999999981374,3290155.250000000465661,10000291.400000000372529
20100721,3371990.930000000167638,3376222.859999999869615,3271650.500000000000000,10019865.289999999105930
20100722,3383214.199999999720603,3409215.060000000055879,3330865.700000000186265,10123295.960000000894070
20100723,3414389.949999999720603,3400417.140000000130385,3456698.000000000000000,10271506.089999999850988
20100726,3425613.219999999739230,3460902.839999999850988,3488772.900000000372529,10375289.960000000894070
20100727,3433095.400000000372529,3385020.780000000260770,3527016.050000000279397,10345133.230000000447035
20100728,3421872.130000000353903,3335532.479999999981374,3566492.850000000093132,10323898.460000000894070
20100729,3429354.310000000055879,3347629.620000000111759,3562791.899999999906868,10339776.830000000074506
20100730,3436836.489999999757856,3348729.359999999869615,3584997.600000000093132,10370564.449999999254942
20100802,3517893.439999999944121,3457603.620000000111759,3646680.100000000093132,10622178.160000000149012
20100803,3515399.380000000353903,3565378.140000000130385,3644212.800000000279397,10724991.320000000298023
20100804,3526622.650000000372529,3619265.399999999906868,3626941.700000000186265,10772830.750000000000000
20100805,3515399.380000000353903,3675352.140000000130385,3645446.450000000186265,10836198.970000000670552
20100806,3539092.949999999720603,3678651.360000000335276,3645446.450000000186265,10863191.760000001639128
20100809,3561539.489999999757856,3683050.320000000298023,3683689.600000000093132,10928280.410000000149012
20100810,3552810.279999999795109,3665454.479999999981374,3703428.000000000000000,10921693.759999999776483
20100811,3494199.870000000111759,3518089.319999999832362,3646680.100000000093132,10658970.289999999105930
20100812,3473000.360000000335276,3533485.680000000167638,3740437.500000000000000,10746924.540000000968575
20100813,3475494.420000000391155,3522488.280000000260770,3704661.650000000372529,10702645.350000001490116
20100816,3484223.630000000353903,3508191.659999999683350,3696026.100000000093132,10688442.390000000596046
20100817,3499187.989999999757856,3557679.960000000428408,3721932.750000000465661,10778801.700000001117587
20100818,3481729.570000000298023,3578575.020000000018626,3719465.450000000186265,10779771.039999999105930
20100819,3446812.729999999981374,3496094.520000000018626,3654082.000000000465661,10596990.250000000000000
20100820,3448059.759999999776483,3476299.200000000186265,3623240.750000000465661,10547600.710000000894070
20100823,3466765.209999999962747,3464202.060000000055879,3628175.350000000093132,10559143.619999999180436
20100824,3470506.299999999813735,3413614.020000000018626,3635577.250000000000000,10519698.570000000298023
20100825,3454294.910000000149012,3514790.100000000093132,3659016.600000000093132,10628102.609999999403954
20100826,3439330.549999999813735,3502692.960000000428408,3639278.200000000186265,10581302.710000000894070
20100827,3501682.049999999813735,3559879.439999999944121,3681222.300000000279397,10742784.790000000968575
20100830,3464271.150000000372529,3509291.399999999906868,3631876.300000000279397,10605439.850000001490116
20100831,3484223.630000000353903,3488396.339999999850988,3642979.150000000372529,10615600.120000001043081
20100901,3574009.790000000037253,3584073.720000000204891,3733035.600000000558794,10891120.109999999403954
20100902,3577750.880000000353903,3613766.700000000186265,3714530.850000000093132,10906049.429999999701977
20100903,3588974.150000000372529,3729239.399999999906868,3725633.700000000186265,11043848.250000000000000
20100907,3593962.270000000018626,3714942.780000000260770,3728101.000000000000000,11037007.050000000745058
20100908,3606432.570000000298023,3722640.960000000428408,3757708.600000000093132,11086783.130000000819564
20100909,3635114.259999999776483,3741336.540000000502914,3804587.300000000279397,11181039.100000001490116
20100910,3648831.590000000316650,3793024.320000000298023,3802120.000000000000000,11243976.910000000149012
20100913,3618902.870000000111759,3818318.339999999850988,3811989.200000000186265,11249211.410000000149012
20100914,3591468.209999999962747,3806221.200000000186265,3813222.850000000093132,11210913.259999999776483
20100915,3580244.939999999944121,3768830.040000000502914,3847765.050000000279397,11196841.030000001192093
20100916,3586480.090000000316650,3765530.820000000298023,3876139.000000000465661,11228150.910000000149012
20100917,3588974.150000000372529,3753433.680000000167638,3908213.900000000372529,11250622.730000000447035
20100920,3615161.779999999795109,3841412.879999999888241,3958793.550000000745058,11415369.210000000894070
20100921,3623890.989999999757856,3877704.299999999813735,3987167.500000000000000,11488763.789999999105930
20100922,3631373.170000000391155,3923893.379999999888241,3995803.050000000279397,11551070.600000001490116
20100923,3608926.630000000353903,3897499.619999999646097,3968662.750000000465661,11475090.000000000000000
20100924,3655066.739999999757856,3929392.079999999608845,4026644.300000000279397,11611104.119999999180436
20100927,3653819.709999999962747,3887601.960000000428408,4053784.600000000093132,11595207.269999999552965
20100928,3684995.459999999962747,3853510.020000000018626,4036513.500000000000000,11575019.980000000447035
20100929,3663795.949999999720603,3871105.860000000335276,4029111.599999999627471,11564014.410000000149012
20100930,3648831.590000000316650,3861208.200000000186265,4020476.050000000745058,11530516.840000001713634
20101001,3686242.489999999757856,3896399.879999999888241,4057485.550000000279397,11640128.919999999925494
20101004,3671278.130000000353903,3798523.020000000018626,4074756.650000000372529,11544558.800000000745058
20101005,3719912.299999999813735,3856809.240000000223517,4141373.750000000000000,11718096.289999999105930
20101006,3726147.449999999720603,3744635.759999999776483,4101896.950000000186265,11572681.160000000149012
20101007,3706194.969999999739230,3776528.220000000204891,4062420.150000000372529,11545144.339999999850988
20101008,3704947.939999999944121,3777627.960000000428408,4050083.649999999906868,11532660.550000000745058
20101011,3713677.150000000372529,3810620.159999999683350,4074756.650000000372529,11599054.960000000894070
20101012,3716171.209999999962747,3851310.540000000502914,4014307.800000000279397,11581790.550000000745058
20101013,3737370.719999999739230,3884302.740000000223517,3973597.350000000093132,11595271.810000000521541
20101014,3736123.689999999944121,3934890.780000000260770,4001971.299999999813735,11672986.769999999552965
20101015,3737370.719999999739230,3956885.579999999608845,4000737.650000000372529,11694994.949999999254942
20101018,3741111.810000000055879,3986578.560000000055879,4020476.050000000745058,11748167.420000001788139
20101019,3762311.320000000298023,3882103.259999999776483,3967429.099999999627471,11611844.679999999701977
20101020,3813439.549999999813735,4039366.079999999608845,4026644.300000000279397,11879450.929999999701977
20101021,3833392.029999999795109,4012972.320000000298023,4011840.500000000465661,11858205.849999999627471
20101022,3842121.239999999757856,4097652.299999999813735,3958793.550000000745058,11898568.089999999850988
20101025,3804710.340000000316650,4130644.500000000465661,3990868.450000000186265,11926224.290000000968575
20101026,3818427.670000000391155,4131744.240000000223517,4009373.200000000186265,11959546.109999999403954
20101027,3815933.610000000335276,3951386.879999999888241,4010606.850000000093132,11777928.339999999850988
20101028,3817180.640000000130385,3986578.560000000055879,3998270.349999999627471,11802030.550000000745058
20101029,3823415.790000000037253,3964583.759999999776483,4006905.899999999906868,11794906.449999999254942
20101101,3848356.390000000130385,3971182.200000000186265,3997036.700000000186265,11816576.289999999105930
20101102,3857085.600000000093132,4069059.060000000055879,4046382.699999999720603,11972528.359999999403954
20101103,3863320.750000000000000,4031667.899999999906868,4069822.050000000279397,11964811.700000001117587
20101104,3894496.500000000000000,4047064.259999999776483,4135205.500000000465661,12076767.259999999776483
20101105,3901978.680000000167638,4053662.700000000186265,4124102.650000000372529,12079745.030000001192093
20101108,3894496.500000000000000,4082255.939999999944121,4092027.750000000465661,12068781.189999999478459
20101109,3905719.770000000018626,4066859.579999999608845,4072289.350000000093132,12044869.699999999254942
20101110,3900731.650000000372529,4086654.899999999906868,4052550.950000000186265,12039938.500000000000000
20101111,3915696.009999999776483,4120746.839999999850988,4025410.650000000372529,12061854.500000000000000
20101112,3923178.189999999944121,4032767.640000000130385,4016775.100000000558794,11972721.929999999701977
20101115,3925672.250000000000000,3900798.839999999850988,4042681.750000000465661,11869153.839999999850988
20101116,3870802.930000000167638,3850210.799999999813735,3971130.049999999813735,11692144.780000001192093
20101117,3898237.590000000316650,3885402.479999999981374,3989634.800000000745058,11773275.870000001043081
20101118,3980541.570000000298023,3918394.680000000167638,4027877.950000000186265,11926815.199999999254942
20101119,4010470.289999999571592,3959085.060000000055879,4020476.050000000745058,11990032.400000000372529
20101122,4007976.229999999981374,4009673.100000000093132,4009373.200000000186265,12027023.530000001192093
20101123,3966824.239999999757856,3964583.759999999776483,3995803.050000000279397,11927212.050000000745058
20101124,4029175.740000000223517,3978880.379999999888241,3990868.450000000186265,11998925.570000000298023
20101126,3997999.990000000223517,3945888.180000000167638,3973597.350000000093132,11917486.519999999552965
20101129,3953106.910000000149012,4023969.720000000204891,3935354.200000000186265,11912431.830000001937151
20101130,3939389.580000000074506,4016271.540000000502914,3948924.350000000093132,11904586.470000000670552
20101201,4034163.860000000335276,4142741.640000000130385,3990868.450000000186265,12167774.949999999254942
20101202,4046634.160000000614673,4184531.759999999776483,4038980.800000000279397,12270147.720000000670552
20101203,4021693.560000000055879,4159237.740000000223517,4058719.200000000186265,12239651.500000000000000
20101206,3990517.810000000055879,4100951.520000000018626,4057485.550000000279397,12148955.880000000819564
20101207,3999247.020000000018626,4043765.040000000502914,4064887.450000000651926,12107900.510000001639128
20101208,4015458.410000000614673,4051463.220000000204891,4068588.399999999906868,12135511.030000001192093
20101209,4042893.070000000298023,4030568.159999999683350,4140140.100000000558794,12213602.330000001937151
20101210,4031669.799999999813735,4032767.640000000130385,4199355.299999999813735,12263793.739999998360872
20101213,4042893.070000000298023,4058061.659999999683350,4207990.850000000558794,12308946.580000001937151
20101214,3984282.660000000149012,4014072.060000000055879,4277075.250000000000000,12275430.970000000670552
20101215,4036657.919999999925494,3898599.360000000335276,4272140.650000000372529,12207398.929999999701977
20101216,4074068.820000000298023,3916195.200000000186265,4288178.099999999627471,12278443.120000001043081
20101217,4096515.360000000335276,3854609.759999999776483,4273374.299999999813735,12224500.419999999925494
20101220,4072821.789999999571592,3868906.379999999888241,4285710.800000000745058,12227439.970000000670552
20101221,4082798.030000000260770,3885402.479999999981374,4310383.799999999813735,12278585.309999998658895
20101222,4090280.209999999497086,3941489.220000000204891,4339991.400000000372529,12371761.830000000074506
20101223,4089033.180000000167638,3933791.040000000502914,4372066.299999999813735,12394891.519999999552965
20101227,4056610.400000000372529,3908497.020000000018626,4379468.200000000186265,12344576.620000001043081
20101228,4075315.850000000093132,3928292.339999999850988,4394272.000000000000000,12397881.189999999478459
20101229,4081550.999999999534339,3949187.399999999906868,4389337.400000000372529,12420076.800000000745058
20101230,4084045.060000000055879,3952486.619999999646097,4386870.100000000558794,12423402.780000001192093
20101231,4101503.479999999981374,3971182.200000000186265,4414010.400000000372529,12486697.080000000074506
20110103,4066586.640000000130385,4083355.680000000167638,4494197.650000000372529,12644140.970000000670552
20110104,3983035.630000000353903,4120746.839999999850988,4584254.099999999627471,12688037.570000000298023
20110105,3959342.060000000055879,4133943.720000000204891,4647170.250000000000000,12740457.030000001192093
20110106,3930660.370000000111759,4219723.439999999478459,4469524.649999999441206,12619909.459999999031425
20110107,3923178.189999999944121,4228521.360000001266599,4432515.150000000372529,12584215.700000001117587
20110110,3931907.400000000372529,4228521.360000001266599,4431281.500000000000000,12591711.260000001639128
20110111,3909460.860000000335276,4297804.980000000447035,4362197.100000000558794,12569463.940000001341105
20110112,3930660.370000000111759,4273610.699999999254942,4375767.250000000000000,12580039.320000000298023
20110113,3953106.910000000149012,4354991.460000000894070,4416477.700000000186265,12724577.070000000298023
20110114,3936895.520000000018626,4483661.040000000968575,4374533.600000000558794,12795091.160000000149012
20110118,3958095.029999999795109,4495758.179999999701977,4238832.100000000558794,12692686.309999998658895
20110119,3954353.939999999944121,4460566.500000000000000,4268439.700000000186265,12683361.140000000596046
20110120,3924425.219999999739230,4433073.000000000000000,4269673.350000000558794,12627172.570000000298023
20110121,3914448.979999999981374,4444070.400000000372529,4311617.450000000186265,12670137.830000001937151
20110124,3944377.699999999720603,4378086.000000000000000,4347393.300000000745058,12669858.000000000000000
20110125,3925672.250000000000000,4467164.939999999478459,4415244.049999999813735,12808082.239999998360872
20110126,3925672.250000000000000,4426474.560000000521541,4490496.700000000186265,12842644.510000001639128
20110127,3909460.860000000335276,4650821.519999999552965,4501599.550000000745058,13061882.929999999701977
20110128,3879532.140000000130385,4501256.880000000819564,4395505.650000000372529,12776295.670000001788139
20110131,3919437.100000000093132,4514453.759999999776483,4394272.000000000000000,12828163.859999999403954
20110201,3931907.400000000372529,4626627.240000000223517,4474459.250000000931323,13032994.890000000596046
20110202,3919437.100000000093132,4613430.360000001266599,4460889.099999999627471,12993757.560000000521541
20110203,3901978.680000000167638,4733302.019999999552965,4488029.400000000372529,13123311.099999999627471
20110204,3900731.650000000372529,4672816.320000000298023,4479393.850000000558794,13052942.820000000298023
20110207,3898237.590000000316650,4598034.000000000000000,4443618.000000000931323,12939890.589999999850988
20110208,3920684.130000000353903,4615629.839999999850988,4483094.800000000745058,13019409.770000001415610
20110209,3938142.549999999813735,4626627.240000000223517,4525038.900000000372529,13089809.689999999478459
20110210,3961836.120000000111759,4666217.880000000819564,4492964.000000000000000,13121019.000000000000000
20110211,3964330.180000000167638,4660719.179999999701977,4489263.049999999813735,13114313.410000000149012
20110214,3936895.520000000018626,4669517.099999999627471,4428814.200000000186265,13035227.820000000298023
20110215,3940636.610000000335276,4622228.279999999329448,4497898.600000000558794,13060764.490000002086163
20110216,3953106.910000000149012,4673916.060000000521541,4462122.750000000000000,13089146.720000000670552
20110217,4025434.650000000372529,4683813.720000000670552,4486795.750000000000000,13196045.120000001043081
20110218,4025434.650000000372529,4711307.220000000670552,4517637.000000000000000,13254379.870000001043081
20110222,3975553.449999999720603,4724504.099999999627471,4441150.700000000186265,13141209.250000000000000
20110223,3985529.689999999944121,4719005.400000000372529,4417711.350000000558794,13122247.440000001341105
20110224,3983035.630000000353903,4701409.560000000521541,4389337.400000000372529,13073783.590000001713634
20110225,4010470.289999999571592,4676115.540000000968575,4437449.750000000000000,13124036.580000000074506
20110228,3985529.689999999944121,4682713.980000000447035,4554646.500000000000000,13222891.169999999925494
20110301,4047881.189999999944121,4668417.360000001266599,4443618.000000000931323,13159917.550000000745058
20110302,4017952.469999999739230,4790488.500000000000000,4483094.800000000745058,13291536.769999999552965
20110303,4087786.150000000372529,4925756.519999999552965,4485562.100000000558794,13499105.769999999552965
20110304,4065339.610000000335276,4888365.360000001266599,4451019.900000000372529,13404725.870000002905726
20110307,4066586.640000000130385,4790488.500000000000000,4442384.349999999627471,13299460.490000000223517
20110308,4092774.270000000018626,4820181.480000000447035,4500365.899999999441206,13413322.649999998509884
20110309,4091527.240000000223517,4892764.320000000298023,4521337.950000000186265,13505630.510000001639128
20110310,4071574.759999999776483,4815782.519999999552965,4490496.700000000186265,13377854.980000000447035
20110311,4041646.039999999571592,4793787.720000000670552,4422645.950000000186265,13258080.710000000894070
20110314,3986776.719999999739230,4746498.900000000372529,4339991.400000000372529,13073268.020000001415610
20110315,3930660.370000000111759,4705808.519999999552965,4301748.250000000000000,12938218.140000000596046
20110316,3840874.209999999962747,4603532.699999999254942,4231430.200000000186265,12675838.109999999403954
20110317,3883273.229999999981374,4648622.040000000968575,4358496.150000000372529,12890392.420000001788139
20110318,3909460.860000000335276,4684913.460000000894070,4421412.300000000745058,13015787.620000001043081
20110321,3964330.180000000167638,4749798.119999999180436,4497898.600000000558794,13212027.899999998509884
20110322,3960589.090000000316650,4700309.820000000298023,4558347.450000000186265,13219247.359999999403954
20110323,4007976.229999999981374,4701409.560000000521541,4562048.399999999441206,13271435.190000001341105
20110324,4034163.860000000335276,4816882.259999999776483,4586721.400000000372529,13437768.520000001415610
20110325,4066586.640000000130385,4811383.560000000521541,4600291.549999999813735,13478262.750000000000000
20110328,4055363.370000000577420,4824580.439999999478459,4657039.450000000186265,13536984.260000001639128
20110329,4097762.390000000130385,4891664.580000000074506,4723656.549999999813735,13713084.519999999552965
20110330,4117714.870000000577420,4992840.660000000149012,4744628.600000000558794,13855185.130000002682209
20110331,4136420.320000000298023,4970845.860000001266599,4754497.799999999813735,13861764.980000000447035
20110401,4191289.640000000130385,5015935.199999999254942,4745862.250000000000000,13953088.089999999850988
20110404,4218724.300000000745058,5014835.460000000894070,4763133.350000000558794,13996694.110000003129244
20110405,4207501.030000001192093,4958748.720000000670552,4734759.400000000372529,13901010.150000002235174
20110406,4217477.269999999552965,4944452.099999999627471,4669375.950000000186265,13831306.320000000298023
20110407,4205006.970000000670552,4886165.880000000819564,4658273.099999999627471,13749446.950000001117587
20110408,4195030.730000000447035,4880667.179999999701977,4653338.500000000000000,13729037.410000000149012
20110411,4202512.910000000149012,4874068.740000000223517,4669375.950000000186265,13745958.600000001490116
20110412,4171337.160000000614673,4927956.000000000000000,4643469.299999999813735,13742763.460000000894070
20110413,4195030.730000000447035,4875168.480000000447035,4649637.549999999813735,13719837.760000001639128
20110414,4259876.289999999105930,4929055.740000000223517,4652104.850000000558794,13841037.879999998956919
20110415,4241170.839999999850988,4946651.580000000074506,4669375.950000000186265,13857199.370000001043081
20110418,4197524.789999999105930,4789388.759999999776483,4602758.850000000558794,13589673.399999998509884
20110419,4182560.430000000167638,4834478.099999999627471,4594123.300000000745058,13611162.830000000074506
20110420,4229947.570000000298023,4865270.820000000298023,4661974.049999999813735,13757193.440000001341105
20110421,4232441.629999998956919,5257878.000000000000000,4553412.849999999627471,14043733.479999998584390
20110425,4223712.419999999925494,5246880.599999999627471,4563282.050000000745058,14033876.070000000298023
20110426,4173831.219999999739230,5207289.960000000894070,4642235.650000000372529,14023357.830000000074506
20110427,4177572.310000000055879,5301867.599999999627471,4718721.950000000186265,14198162.859999999403954
20110428,4203759.939999999478459,5399744.460000000894070,4721189.250000000931323,14324694.650000002235174
20110429,4206254.000000000000000,5414041.080000000074506,4660740.400000000372529,14281036.480000000447035
