代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12954980.409999998286366
真實報酬,2954980.409999998286366

夏普值報酬,0.286798041000000
夏普值風險,0.074137594481357
夏普值,3.868456253623406

預期報酬,11580.793216390960879
風險,205141.238849717337871
趨勢值,0.056452779954570
找到最佳解世代,3314
找到最佳解實驗#,2
找到最佳解次數,30

stock[index](rank)
投資組合檔數,6
CAT[3](1),JPM[13](13),MRK[17](5),PG[21](19),UNH[23](2),V[25](15),
20160216,1746196.659999999916181,1634453.350000000093132,1637392.119999999878928,1662177.560000000055879,1666521.280000000027940,1590818.140000000130385,9937563.109999999403954
20160217,1801091.560000000055879,1646217.969999999972060,1664363.559999999823049,1682171.520000000251457,1712108.079999999841675,1611625.960000000195578,10117582.650000000372529
20160218,1770564.640000000130385,1619327.410000000149012,1655153.799999999813735,1672582.580000000307336,1699806.880000000121072,1593950.500000000000000,10011389.810000000521541
20160219,1751820.040000000037253,1619607.520000000018626,1648575.399999999674037,1668706.200000000186265,1703135.440000000176951,1600438.960000000195578,9992287.560000000521541
20160222,1802430.460000000195578,1640615.770000000018626,1669955.199999999953434,1675642.880000000121072,1755089.919999999925494,1634671.180000000167638,10178409.410000000149012
20160223,1761460.120000000111759,1571988.819999999832362,1662390.039999999804422,1669114.240000000223517,1753353.280000000027940,1614310.840000000316650,10032621.339999999850988
20160224,1764137.919999999925494,1572549.040000000037253,1663047.879999999888241,1664013.740000000223517,1739604.880000000121072,1607598.640000000130385,10010956.100000001490116
20160225,1779936.939999999944121,1596918.609999999869615,1677520.359999999869615,1679927.300000000279397,1754076.880000000121072,1639369.720000000204891,10127753.810000002384186
20160226,1790648.140000000130385,1611764.439999999944121,1665679.239999999990687,1654628.820000000065193,1755958.239999999990687,1627287.760000000242144,10105970.640000000596046
20160229,1812873.880000000121072,1577030.799999999813735,1651535.679999999934807,1638103.200000000186265,1723685.679999999934807,1619680.600000000325963,10022913.839999999850988
20160301,1850095.300000000046566,1658262.700000000186265,1702189.359999999869615,1657281.080000000307336,1760878.719999999972060,1670022.100000000325963,10298733.259999999776483
20160302,1857860.919999999925494,1673948.859999999869615,1719293.199999999953434,1684211.719999999972060,1755089.919999999925494,1662414.940000000176951,10352823.559999998658895
20160303,1921324.780000000027940,1679551.060000000055879,1713701.559999999823049,1690128.300000000279397,1763049.519999999785796,1653689.080000000074506,10421448.299999998882413
20160304,1950512.800000000046566,1682072.049999999813735,1713043.719999999739230,1703389.600000000093132,1762760.079999999841675,1653465.340000000316650,10465247.589999999850988
20160307,2002194.339999999850988,1678990.839999999850988,1731463.239999999990687,1695432.820000000065193,1762181.199999999953434,1609612.300000000279397,10479878.740000000223517
20160308,1920789.220000000204891,1646498.080000000074506,1725213.760000000009313,1694616.740000000223517,1760734.000000000000000,1580078.620000000344589,10327934.420000001788139
20160309,1924538.140000000130385,1656021.819999999832362,1722253.479999999748543,1692576.540000000037253,1752629.679999999934807,1581421.060000000288710,10329444.720000000670552
20160310,1910881.360000000102445,1641736.209999999962747,1744620.039999999804422,1678703.180000000167638,1766956.959999999962747,1571129.020000000251457,10314030.769999999552965
20160311,1949441.679999999934807,1662184.239999999990687,1749882.760000000009313,1667890.120000000111759,1810517.679999999934807,1602676.360000000102445,10442596.839999999850988
20160314,1947567.220000000204891,1656021.819999999832362,1745935.719999999739230,1656056.960000000195578,1812254.320000000065193,1599544.000000000000000,10417384.039999999105930
20160315,1939801.599999999860302,1658262.700000000186265,1724227.000000000000000,1658913.240000000223517,1806899.679999999934807,1608941.080000000074506,10397049.300000000745058
20160316,1990679.800000000046566,1650419.620000000111759,1708438.839999999850988,1659525.300000000279397,1807623.280000000027940,1619233.120000000344589,10435923.960000000894070
20160317,2032453.480000000214204,1645657.750000000000000,1694953.119999999878928,1688292.120000000111759,1802268.639999999897555,1636461.100000000325963,10500090.210000000894070
20160318,2020938.939999999944121,1694116.780000000027940,1718635.359999999869615,1696452.920000000158325,1833962.320000000065193,1650780.460000000195578,10614890.780000001192093
20160321,2032185.699999999953434,1693556.560000000055879,1736725.959999999729916,1699921.260000000009313,1834251.760000000009313,1650556.720000000204891,10647201.960000000894070
20160322,2023081.179999999934807,1687394.140000000130385,1744291.119999999878928,1688088.100000000093132,1852775.920000000158325,1632433.780000000027940,10628068.240000000223517
20160323,1973006.320000000298023,1678990.839999999850988,1745935.719999999739230,1689720.260000000009313,1878391.359999999869615,1653689.080000000074506,10619737.580000000074506
20160324,2016118.900000000139698,1666105.780000000027940,1745606.799999999813735,1691148.400000000139698,1861024.959999999962747,1658835.100000000325963,10638843.939999999478459
20160328,2016922.239999999757856,1663864.899999999906868,1737712.719999999739230,1685639.860000000102445,1865800.719999999739230,1657492.660000000149012,10627437.099999999627471
20160329,2035399.060000000055879,1653500.830000000074506,1753829.799999999813735,1689312.219999999972060,1878970.240000000223517,1686578.860000000102445,10697595.009999997913837
20160330,2048788.060000000055879,1672548.310000000055879,1750540.599999999860302,1686863.980000000214204,1876799.440000000176951,1717902.460000000195578,10753446.850000001490116
20160331,2049591.400000000139698,1658822.919999999925494,1740344.079999999841675,1679315.240000000223517,1865511.280000000027940,1711190.260000000242144,10704779.179999999701977
20160401,2056285.900000000139698,1677030.069999999832362,1766328.760000000009313,1704205.680000000167638,1880272.719999999739230,1736025.400000000372529,10820152.529999999329448
20160404,2027633.439999999944121,1658262.700000000186265,1789353.159999999916181,1697677.040000000037253,1874049.760000000009313,1741395.160000000149012,10788375.259999999776483
20160405,2014780.000000000000000,1634733.459999999962747,1784090.439999999944121,1696656.939999999944121,1838593.360000000102445,1722153.520000000251457,10691011.719999998807907
20160406,2014244.439999999944121,1647338.410000000149012,1829810.320000000065193,1709918.240000000223517,1852920.639999999897555,1749897.280000000027940,10804133.330000000074506
20160407,1986127.540000000037253,1605602.020000000018626,1822903.000000000000000,1698289.100000000093132,1836133.120000000111759,1735801.660000000149012,10684860.440000001341105
20160408,1990947.579999999841675,1617366.640000000130385,1820929.479999999748543,1697473.020000000251457,1818911.440000000176951,1745869.960000000195578,10691502.120000001043081
20160411,1998445.419999999925494,1630251.700000000186265,1810732.959999999729916,1687884.080000000307336,1828318.239999999990687,1741171.420000000158325,10696807.820000000298023
20160412,2037809.079999999841675,1660503.580000000074506,1820271.639999999897555,1689924.280000000027940,1835120.079999999841675,1756833.220000000204891,10800465.880000000819564
20160413,2118946.419999999925494,1730811.189999999944121,1840664.679999999934807,1682375.540000000037253,1849013.199999999953434,1783458.280000000027940,11005273.309999998658895
20160414,2116804.179999999701977,1753219.989999999990687,1856781.760000000009313,1673194.640000000130385,1852197.040000000037253,1797330.160000000149012,11049531.769999999552965
20160415,2120017.540000000037253,1733052.069999999832362,1846585.239999999990687,1679111.219999999972060,1842790.239999999990687,1791736.660000000149012,11013296.969999998807907
20160418,2122159.780000000260770,1744256.469999999972060,1858755.279999999795109,1689924.280000000027940,1849736.800000000046566,1822389.040000000270084,11087225.650000000372529
20160419,2152686.700000000186265,1773668.020000000018626,1870267.479999999748543,1699105.180000000167638,1888666.479999999981374,1806727.240000000223517,11191125.100000001490116
20160420,2135281.000000000000000,1799438.139999999897555,1861057.719999999739230,1663809.719999999972060,1938305.440000000176951,1815676.840000000316650,11213572.859999999403954
20160421,2106360.759999999776483,1781511.100000000093132,1861715.559999999823049,1648508.219999999972060,1924267.600000000093132,1807622.200000000419095,11129989.440000001341105
20160422,2097256.240000000223517,1791875.169999999925494,1866320.439999999944121,1651568.520000000251457,1941199.839999999850988,1770033.880000000121072,11118258.090000001713634
20160425,2056285.900000000139698,1781511.100000000093132,1849216.599999999860302,1660953.439999999944121,1936134.639999999897555,1748331.100000000325963,11032436.779999999329448
20160426,2079314.980000000214204,1790754.729999999981374,1843296.039999999804422,1623005.719999999972060,1942791.760000000009313,1757056.960000000195578,11036224.190000001341105
20160427,2106896.320000000298023,1795796.709999999962747,1852176.879999999888241,1629942.400000000139698,1921952.080000000074506,1762202.980000000447035,11068971.370000001043081
20160428,2081992.780000000027940,1781511.100000000093132,1833428.439999999944121,1627290.140000000130385,1911387.519999999785796,1738039.060000000288710,10973653.040000000968575
20160429,2081189.439999999944121,1770306.700000000186265,1803825.639999999897555,1634634.860000000102445,1905743.440000000176951,1728194.500000000000000,10923898.580000000074506
20160502,2084402.800000000046566,1786833.189999999944121,1818955.959999999729916,1651976.560000000055879,1911821.679999999934807,1755490.780000000027940,11009484.969999998807907
20160503,2044771.360000000102445,1752379.660000000149012,1811719.719999999739230,1654628.820000000065193,1917031.600000000093132,1727075.800000000279397,10907610.960000000894070
20160504,1988002.000000000000000,1752379.660000000149012,1802838.879999999888241,1664829.820000000065193,1910808.639999999897555,1727075.800000000279397,10845938.800000000745058
20160505,1949173.900000000139698,1715405.140000000130385,1779156.639999999897555,1658709.219999999972060,1914860.800000000046566,1730879.380000000121072,10748189.080000000074506
20160506,1964437.360000000102445,1725489.100000000093132,1763039.559999999823049,1675642.880000000121072,1910953.359999999869615,1738934.020000000251457,10778500.279999999329448
20160509,1895350.120000000111759,1714564.810000000055879,1779485.559999999823049,1675438.860000000102445,1920070.719999999739230,1750121.020000000251457,10735035.089999999850988
20160510,1941676.060000000055879,1737813.939999999944121,1798562.919999999925494,1682783.580000000307336,1933095.519999999785796,1772047.540000000270084,10865983.560000000521541
20160511,1939533.820000000298023,1731371.410000000149012,1786392.879999999888241,1676050.920000000158325,1891416.159999999916181,1729536.940000000176951,10754306.129999998956919
20160512,1919985.880000000121072,1730250.969999999972060,1780143.399999999674037,1681355.439999999944121,1877667.760000000009313,1742737.600000000325963,10732145.049999998882413
20160513,1876337.739999999757856,1714284.700000000186265,1772249.320000000065193,1657281.080000000307336,1866958.479999999981374,1719021.160000000149012,10606136.480000000447035
20160516,1893207.880000000121072,1727169.760000000009313,1797576.159999999916181,1665441.880000000121072,1890692.559999999823049,1740723.940000000176951,10714816.179999999701977
20160517,1902580.179999999934807,1727169.760000000009313,1786721.799999999813735,1644835.860000000102445,1875062.800000000046566,1718126.200000000419095,10654500.600000001490116
20160518,1890262.300000000046566,1793835.940000000176951,1798234.000000000000000,1629126.320000000065193,1888811.199999999953434,1732445.560000000288710,10732719.320000000298023
20160519,1859199.820000000298023,1775628.790000000037253,1795273.719999999739230,1636063.000000000000000,1881430.479999999981374,1720139.860000000102445,10667739.669999999925494
20160520,1870982.140000000130385,1778990.109999999869615,1812706.479999999748543,1632594.659999999916181,1895034.159999999916181,1737815.320000000298023,10728126.869999999180436
20160523,1885174.480000000214204,1777589.560000000055879,1806457.000000000000000,1636267.020000000251457,1887508.719999999739230,1727523.280000000027940,10720524.060000000521541
20160524,1903651.300000000046566,1807841.440000000176951,1828823.559999999823049,1651976.560000000055879,1918912.959999999962747,1776074.860000000102445,10887284.679999999701977
20160525,1943282.739999999757856,1835292.219999999972060,1860728.799999999813735,1662381.580000000307336,1930924.719999999739230,1768915.180000000167638,11001529.239999998360872
20160526,1930161.520000000018626,1821566.830000000074506,1854808.239999999990687,1657077.060000000055879,1924557.039999999804422,1767572.740000000223517,10955747.429999999701977
20160527,1926948.159999999916181,1832771.230000000214204,1857768.519999999785796,1661361.480000000214204,1939318.479999999981374,1782339.580000000074506,11000511.450000001117587
20160531,1941676.060000000055879,1828289.469999999972060,1850532.279999999795109,1653404.700000000186265,1934542.719999999739230,1766230.300000000279397,10974679.530000001192093
20160601,1935249.339999999850988,1840054.089999999850988,1852834.719999999739230,1668706.200000000186265,1946988.639999999897555,1772495.020000000251457,11016332.009999999776483
20160602,1971399.640000000130385,1843415.410000000149012,1868951.799999999813735,1671970.520000000251457,1968841.359999999869615,1788828.040000000270084,11113410.770000001415610
20160603,2009424.400000000139698,1810642.540000000037253,1863031.239999999990687,1682579.560000000055879,1980418.959999999962747,1788604.300000000279397,11134705.000000000000000
20160606,2046378.040000000037253,1828569.580000000074506,1880464.000000000000000,1688700.159999999916181,1999377.280000000027940,1802028.700000000419095,11245521.760000001639128
20160607,2056821.460000000195578,1822407.160000000149012,1874872.359999999869615,1679519.260000000009313,1981866.159999999916181,1803371.140000000130385,11218861.540000000968575
20160608,2091632.860000000102445,1827729.250000000000000,1895265.399999999674037,1686251.920000000158325,2031939.280000000027940,1826863.840000000316650,11359686.549999998882413
20160609,2066193.760000000009313,1813723.750000000000000,1880792.919999999925494,1696860.960000000195578,2035991.440000000176951,1818137.980000000447035,11311704.810000000521541
20160610,2035934.620000000111759,1788233.739999999990687,1868622.879999999888241,1697473.020000000251457,2015151.760000000009313,1793974.060000000288710,11199394.080000001937151
20160613,2014512.220000000204891,1772267.469999999972060,1845598.479999999748543,1684619.760000000009313,1998508.959999999962747,1754148.340000000316650,11069659.230000000447035
20160614,2004604.360000000102445,1738934.379999999888241,1850203.359999999869615,1700533.320000000065193,1995325.120000000111759,1757951.920000000158325,11047556.459999999031425
20160615,2010227.739999999757856,1735853.169999999925494,1844940.639999999897555,1692372.520000000251457,1986497.199999999953434,1749002.320000000298023,11018897.589999999850988
20160616,2008085.500000000000000,1742855.919999999925494,1891318.359999999869615,1701757.439999999944121,2006758.000000000000000,1753029.640000000130385,11103808.859999999403954
20160617,2033256.820000000298023,1744536.580000000074506,1838362.239999999990687,1696044.880000000121072,1992720.159999999916181,1722601.000000000000000,11027525.679999999701977
20160620,2046645.820000000298023,1747057.569999999832362,1846585.239999999990687,1694208.700000000186265,2004731.920000000158325,1730431.900000000372529,11069665.150000000372529
20160621,2048252.500000000000000,1763303.950000000186265,1850203.359999999869615,1701757.439999999944121,1999956.159999999916181,1730208.160000000149012,11093685.570000000298023
20160622,2046645.820000000298023,1756581.310000000055879,1876188.039999999804422,1705021.760000000009313,1995759.280000000027940,1712308.960000000195578,11092509.169999999925494
20160623,2094578.439999999944121,1794116.049999999813735,1897238.919999999925494,1718079.040000000037253,2014428.159999999916181,1750344.760000000242144,11268789.369999999180436
20160624,1955600.620000000111759,1669467.100000000093132,1838033.320000000065193,1678295.140000000130385,1986931.359999999869615,1679195.440000000176951,10807526.979999998584390
20160627,1911416.919999999925494,1613725.209999999962747,1819284.879999999888241,1657281.080000000307336,1984326.400000000139698,1640935.900000000372529,10626974.390000000596046
20160628,1941943.839999999850988,1667226.219999999972060,1828165.719999999739230,1682375.540000000037253,2007481.600000000093132,1681656.580000000074506,10808853.500000000000000
20160629,1987734.220000000204891,1714284.700000000186265,1876516.959999999729916,1711958.439999999944121,2033675.920000000158325,1717007.500000000000000,11041181.740000000223517
20160630,2030043.460000000195578,1740615.040000000037253,1894936.479999999748543,1727463.960000000195578,2043516.879999999888241,1659506.320000000298023,11096086.140000000596046
20160701,2047181.380000000121072,1715965.359999999869615,1905790.839999999850988,1729708.180000000167638,2038596.400000000139698,1666442.260000000242144,11103688.419999999925494
20160705,1991750.919999999925494,1668066.549999999813735,1907764.359999999869615,1743173.500000000000000,2048726.800000000046566,1670693.320000000298023,11030179.450000001117587
20160706,2003801.020000000018626,1685993.589999999850988,1945919.079999999841675,1734808.680000000167638,2060593.839999999850988,1657045.180000000167638,11088165.389999998733401
20160707,2009692.179999999934807,1685993.589999999850988,1933420.119999999878928,1730728.280000000027940,2037728.080000000074506,1657045.180000000167638,11054611.429999999701977
20160708,2071817.140000000130385,1731931.629999999888241,1952168.559999999823049,1749906.159999999916181,2044529.920000000158325,1709847.820000000298023,11260205.230000000447035
20160711,2083331.679999999934807,1744256.469999999972060,1951839.639999999897555,1749498.120000000111759,2030781.519999999785796,1712085.220000000204891,11271796.650000000372529
20160712,2136887.679999999701977,1770306.700000000186265,1960391.559999999823049,1749498.120000000111759,2024124.400000000139698,1733564.260000000242144,11374776.719999998807907
20160713,2133942.099999999627471,1769186.260000000009313,1958746.959999999729916,1752354.400000000139698,2047569.039999999804422,1733116.780000000027940,11394919.539999999105930
20160714,2143849.959999999962747,1796076.820000000065193,1962036.159999999916181,1751946.360000000102445,2038306.959999999962747,1748331.100000000325963,11440551.360000001266599
20160715,2160987.879999999888241,1797757.480000000214204,1961378.320000000065193,1754802.640000000130385,2045398.240000000223517,1751910.940000000176951,11472239.500000000000000
20160718,2137423.240000000223517,1791595.060000000055879,1941314.199999999953434,1753170.480000000214204,2037004.479999999981374,1752134.680000000167638,11412646.140000000596046
20160719,2135281.000000000000000,1788793.959999999962747,1929473.079999999841675,1758066.960000000195578,2063632.959999999962747,1761308.020000000251457,11436559.980000000447035
20160720,2133942.099999999627471,1790754.729999999981374,1933749.039999999804422,1740725.260000000009313,2069855.920000000158325,1775627.380000000121072,11444658.429999999701977
20160721,2142511.060000000521541,1784032.089999999850988,1933749.039999999804422,1739501.140000000130385,2067685.120000000111759,1762874.200000000419095,11430356.650000000372529
20160722,2125640.919999999925494,1793835.940000000176951,1934735.799999999813735,1748886.060000000055879,2079552.159999999916181,1787933.080000000074506,11470587.960000000894070
20160725,2107164.099999999627471,1789074.069999999832362,1926183.879999999888241,1750518.219999999972060,2051187.039999999804422,1766230.300000000279397,11390361.609999999403954
20160726,2215882.780000000260770,1796356.929999999934807,1919605.479999999748543,1739705.159999999916181,2050752.879999999888241,1756162.000000000000000,11478469.230000000447035
20160727,2252033.080000000074506,1801959.129999999888241,1927499.559999999823049,1723179.540000000037253,2050463.440000000176951,1757056.960000000195578,11512195.710000000894070
20160728,2220435.040000000037253,1795516.599999999860302,1921907.919999999925494,1730320.240000000223517,2066093.199999999953434,1771823.800000000279397,11506100.800000000745058
20160729,2216150.560000000521541,1791875.169999999925494,1929473.079999999841675,1746233.800000000279397,2072460.879999999888241,1746317.440000000176951,11502514.930000001564622
20160801,2194460.379999999888241,1787113.299999999813735,1929473.079999999841675,1762963.439999999944121,2076947.199999999953434,1751015.980000000447035,11501977.379999998956919
20160802,2175448.000000000000000,1782911.649999999906868,1918618.719999999739230,1770104.140000000130385,2072026.719999999739230,1751463.460000000195578,11470576.690000001341105
20160803,2196602.620000000111759,1811202.760000000009313,1896252.159999999916181,1753986.560000000055879,2067829.839999999850988,1761084.280000000027940,11486962.219999998807907
20160804,2189640.339999999850988,1808401.660000000149012,1902501.639999999897555,1755618.719999999972060,2065369.600000000093132,1778312.260000000242144,11499848.219999998807907
20160805,2210794.959999999962747,1857140.799999999813735,2100511.479999999981374,1750110.180000000167638,2069421.760000000009313,1793079.100000000325963,11781062.279999999329448
20160808,2234359.599999999627471,1851538.599999999860302,2067619.479999999748543,1749702.140000000130385,2056975.839999999850988,1788828.040000000270084,11749027.699999999254942
20160809,2218025.019999999552965,1845096.070000000065193,2055449.439999999944121,1754394.600000000093132,2052489.519999999785796,1791289.180000000167638,11716747.829999998211861
20160810,2213204.980000000447035,1828569.580000000074506,2060383.239999999990687,1760923.240000000223517,2057844.159999999916181,1782787.060000000288710,11703716.260000001639128
20160811,2229004.000000000000000,1833611.559999999823049,2092946.320000000065193,1769492.080000000307336,2064211.839999999850988,1792631.620000000344589,11781901.420000001788139
20160812,2222577.280000000260770,1829690.019999999785796,2083736.559999999823049,1775816.700000000186265,2067829.839999999850988,1790394.220000000204891,11770048.619999999180436
20160815,2253371.980000000447035,1840894.419999999925494,2082749.799999999813735,1775408.659999999916181,2049595.120000000111759,1810307.080000000074506,11812331.060000000521541
20160816,2257120.900000000372529,1840614.309999999823049,2073540.039999999804422,1766431.780000000027940,2041780.240000000223517,1808069.680000000167638,11787560.949999999254942
20160817,2260334.259999999776483,1845656.290000000037253,2081763.039999999804422,1774184.540000000037253,2050897.600000000093132,1808740.900000000372529,11821580.630000000819564
20160818,2232752.919999999925494,1847336.950000000186265,2092946.320000000065193,1783977.500000000000000,2057554.719999999739230,1795987.720000000204891,11810560.130000000819564
20160819,2245070.799999999813735,1844815.959999999962747,2084065.479999999748543,1781325.240000000223517,2055673.359999999869615,1800462.520000000251457,11811417.359999999403954
20160822,2238376.299999999813735,1843135.299999999813735,2090314.959999999729916,1771940.320000000065193,2056396.959999999962747,1813663.180000000167638,11813831.019999999552965
20160823,2249623.060000000521541,1842294.969999999972060,2091301.719999999739230,1783161.420000000158325,2055239.199999999953434,1807845.940000000176951,11829470.309999998658895
20160824,2226593.980000000447035,1847336.950000000186265,2063343.519999999785796,1781325.240000000223517,2024269.120000000111759,1796435.200000000419095,11739308.010000001639128
20160825,2218292.799999999813735,1850698.269999999785796,2049857.799999999813735,1793362.420000000158325,1987076.080000000074506,1797106.420000000158325,11696397.789999999105930
20160826,2213472.759999999776483,1854899.919999999925494,2067290.559999999823049,1786833.780000000027940,1977235.120000000111759,1802699.920000000158325,11702436.060000000521541
20160829,2225255.080000000074506,1875347.950000000186265,2072553.279999999795109,1801523.219999999972060,1986641.920000000158325,1809412.120000000344589,11770737.570000002160668
20160830,2208652.719999999739230,1890754.000000000000000,2062685.679999999934807,1786017.700000000186265,1980853.120000000111759,1816124.320000000298023,11745091.539999999105930
20160831,2194460.379999999888241,1890754.000000000000000,2065317.039999999804422,1781325.240000000223517,1968986.080000000074506,1810083.340000000316650,11710930.080000000074506
20160901,2181071.379999999888241,1882630.809999999823049,2068935.159999999916181,1801727.240000000223517,1964499.760000000009313,1819032.940000000176951,11717901.289999999105930
20160902,2187498.099999999627471,1890473.889999999897555,2071566.519999999785796,1799483.020000000251457,1977090.400000000139698,1834694.740000000223517,11760810.669999999925494
20160906,2197941.519999999552965,1889073.339999999850988,2080118.439999999944121,1808459.900000000139698,1967828.320000000065193,1846552.960000000195578,11789978.480000000447035
20160907,2241857.440000000409782,1881230.260000000009313,2067948.399999999674037,1794382.520000000251457,1953645.760000000009313,1862438.500000000000000,11801506.880000000819564
20160908,2237037.400000000372529,1883751.250000000000000,2080118.439999999944121,1790914.180000000167638,1960158.159999999916181,1856397.520000000251457,11808380.949999999254942
20160909,2163397.900000000372529,1866944.650000000139698,2055449.439999999944121,1759495.100000000093132,1933819.120000000111759,1819704.160000000149012,11598814.370000001043081
20160912,2193657.040000000037253,1878429.160000000149012,2078473.839999999850988,1800503.120000000111759,1961460.639999999897555,1856397.520000000251457,11768925.320000000298023
20160913,2148402.219999999739230,1863583.330000000074506,2033082.879999999888241,1776020.719999999972060,1938594.879999999888241,1832233.600000000325963,11591921.629999998956919
20160914,2169556.839999999850988,1859941.900000000139698,2017952.559999999823049,1775204.640000000130385,1934832.159999999916181,1823284.000000000000000,11580776.099999999627471
20160915,2196602.620000000111759,1866664.540000000037253,2051831.320000000065193,1796626.740000000223517,1962618.400000000139698,1834918.480000000447035,11709266.100000001490116
20160916,2197138.179999999701977,1843695.519999999785796,2048542.119999999878928,1796422.719999999972060,2004008.320000000065193,1836260.920000000158325,11726071.779999999329448
20160919,2192585.919999999925494,1854059.589999999850988,2017294.719999999739230,1802951.360000000102445,1992575.440000000176951,1846105.480000000447035,11705576.509999999776483
20160920,2187765.879999999888241,1861622.559999999823049,2037358.839999999850988,1807235.780000000027940,1989536.320000000065193,1845434.260000000242144,11728957.639999998733401
20160921,2235162.940000000409782,1872266.739999999990687,2062356.760000000009313,1791322.219999999972060,2024848.000000000000000,1861991.020000000251457,11847951.679999999701977
20160922,2235966.280000000260770,1887672.790000000037253,2072882.199999999953434,1815600.600000000093132,2041201.359999999869615,1865123.380000000121072,11918450.610000001266599
20160923,2207581.599999999627471,1883751.250000000000000,2070908.679999999934807,1790506.140000000130385,2033531.199999999953434,1846776.700000000419095,11833059.570000000298023
20160926,2205707.140000000596046,1842575.080000000074506,2044266.159999999916181,1792342.320000000065193,2022098.320000000065193,1830443.680000000167638,11737436.700000001117587
20160927,2219363.919999999925494,1858821.459999999962747,2058080.799999999813735,1802747.340000000083819,2037583.359999999869615,1838274.580000000074506,11814875.459999999031425
20160928,2318710.299999999813735,1868625.309999999823049,2082091.959999999729916,1825189.540000000037253,2032084.000000000000000,1856397.520000000251457,11983102.629999998956919
20160929,2342274.940000000409782,1838933.650000000139698,2036372.079999999841675,1800095.080000000307336,2001837.519999999785796,1832904.820000000298023,11852422.090000001713634
20160930,2377086.339999999850988,1865263.989999999990687,2052818.079999999841675,1831106.120000000111759,2026150.479999999981374,1850356.540000000270084,12002785.550000000745058
20161003,2363965.120000000111759,1863023.110000000102445,2056436.199999999953434,1808867.939999999944121,2004297.760000000009313,1853936.380000000121072,11950530.510000001639128
20161004,2343346.060000000521541,1865544.099999999860302,2054462.679999999934807,1802543.320000000065193,1999522.000000000000000,1851027.760000000242144,11916449.919999999925494
20161005,2394492.040000000037253,1896076.089999999850988,2065645.959999999729916,1812744.320000000065193,1991417.679999999934807,1864899.640000000130385,12025279.730000000447035
20161006,2391010.900000000372529,1901118.070000000065193,2061041.079999999841675,1820293.060000000055879,1975064.320000000065193,1865123.380000000121072,12013654.810000002384186
20161007,2369052.940000000409782,1907840.709999999962747,2064659.199999999953434,1836206.620000000111759,1977814.000000000000000,1854383.860000000102445,12009961.330000000074506
20161010,2362358.440000000409782,1922686.540000000037253,2101827.159999999683350,1817028.740000000223517,1998364.240000000223517,1859753.620000000344589,12062022.740000002086163
20161011,2342274.940000000409782,1913442.910000000149012,2037029.919999999925494,1806419.700000000186265,1950172.479999999981374,1835589.700000000419095,11884933.650000002235174
20161012,2345220.519999999552965,1908400.929999999934807,2028149.079999999841675,1807031.760000000009313,1955237.679999999934807,1840288.240000000223517,11884332.209999999031425
20161013,2328885.940000000409782,1897476.639999999897555,2056107.279999999795109,1800299.100000000093132,1942068.159999999916181,1831786.120000000344589,11856627.240000000223517
