代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12911282.759999999776483
真實報酬,2911282.759999999776483

夏普值報酬,0.282428276000000
夏普值風險,0.084734763709975
夏普值,3.333086252139405

預期報酬,11866.505667844416166
風險,468057.591642914281692
趨勢值,0.025352661466706
找到最佳解世代,2044
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
MCD[15](3),MSFT[18](1),NKE[19](2),
20150423,3318281.040000000037253,3553039.400000000372529,3359244.600000000093132,10230566.040000000968575
20150424,3377804.699999999720603,3924408.799999999813735,3353929.399999999441206,10656143.899999998509884
20150427,3299124.000000000000000,3937525.600000000093132,3353264.999999999534339,10589915.599999999627471
20150428,3312465.509999999776483,4030163.000000000000000,3317387.399999999906868,10660016.910000000149012
20150429,3318965.219999999739230,4021965.000000000465661,3328017.799999999813735,10668949.019999999552965
20150430,3302886.989999999757856,3987533.400000000372529,3283503.000000000000000,10573924.390000000596046
20150501,3345648.239999999757856,3989173.000000000000000,3347949.799999999813735,10682772.039999999105930
20150504,3288519.209999999962747,3954741.400000000372529,3349943.000000000000000,10593204.609999999403954
20150505,3288519.209999999962747,3902274.200000000186265,3335990.599999999627471,10526785.009999999776483
20150506,3297413.550000000279397,3794060.600000000093132,3329346.599999999627471,10420821.750000000000000
20150507,3310755.060000000055879,3828492.200000000651926,3370539.399999999441206,10509787.660000000149012
20150508,3360358.110000000335276,3914571.200000000186265,3403094.999999999534339,10678025.310000000521541
20150511,3335727.630000000353903,3883418.799999999813735,3415054.199999999720603,10634201.629999998956919
20150512,3350779.590000000316650,3881779.200000000186265,3401101.799999999348074,10633661.589999999850988
20150513,3330254.189999999944121,3904733.600000000558794,3393793.399999999441206,10628782.190000001341105
20150514,3342569.429999999701977,3994091.800000000279397,3436314.999999999534339,10772977.230000000447035
20150515,3353858.400000000372529,3959660.199999999720603,3487473.799999999813735,10800993.399999998509884
20150518,3353174.219999999739230,3935886.000000000000000,3480165.399999999906868,10769226.619999999180436
20150519,3444170.160000000149012,3900634.600000000093132,3476178.999999999534339,10820984.759999999776483
20150520,3424671.029999999795109,3900634.600000000093132,3475514.600000000093132,10800821.230000000447035
20150521,3396277.560000000055879,3887517.800000000279397,3468206.199999999720603,10752002.560000000521541
20150522,3386356.949999999720603,3844888.200000000186265,3469534.999999999534339,10700781.150000000372529
20150526,3368226.179999999701977,3819474.400000000372529,3435650.599999999627471,10623352.179999999701977
20150527,3375067.979999999981374,3903094.000000000000000,3416383.000000000000000,10694545.980000000447035
20150528,3300492.360000000335276,3889977.200000000651926,3398444.199999999720603,10588914.759999999776483
20150529,3281677.410000000149012,3841609.000000000000000,3377847.799999999813735,10501135.210000000894070
20150601,3291598.020000000018626,3871941.600000000093132,3380505.399999999906868,10544046.019999999552965
20150602,3293992.650000000372529,3846527.800000000279397,3392464.600000000093132,10532986.050000000745058
20150603,3301860.719999999739230,3840789.200000000186265,3405752.599999999627471,10548403.519999999552965
20150604,3294676.830000000074506,3800619.000000000000000,3387149.399999999441206,10482446.230000000447035
20150605,3268335.900000000372529,3782583.400000000372529,3389807.000000000000000,10440727.300000000745058
20150608,3260809.919999999925494,3748971.600000000093132,3369874.999999999534339,10379657.519999999552965
20150609,3240626.610000000335276,3742413.200000000186265,3367217.399999999906868,10350258.210000000894070
20150610,3260125.739999999757856,3821114.000000000000000,3432993.000000000000000,10514233.740000000223517
20150611,3270046.350000000093132,3807177.399999999906868,3450931.799999999348074,10528156.549999998882413
20150612,3251915.580000000074506,3768646.800000000279397,3447609.799999999813735,10468173.179999999701977
20150615,3225916.739999999757856,3728476.600000000093132,3433657.399999999906868,10388051.740000000223517
20150616,3237205.709999999962747,3757169.600000000093132,3473521.399999999906868,10467897.710000000894070
20150617,3257389.020000000018626,3768646.800000000279397,3480165.399999999906868,10506202.220000000670552
20150618,3289887.570000000298023,3830131.800000000279397,3521358.199999999720603,10641378.570000000298023
20150619,3286808.759999999776483,3779304.200000000186265,3539297.000000000000000,10605410.960000000894070
20150622,3313833.870000000111759,3789961.600000000093132,3547934.199999999720603,10651730.669999999925494
20150623,3324438.660000000149012,3763728.000000000000000,3561222.199999999720603,10649389.859999999403954
20150624,3305965.800000000279397,3741593.400000000372529,3528666.599999999627471,10576226.800000000745058
20150625,3276888.150000000372529,3742413.200000000186265,3495446.599999999627471,10514748.949999999254942
20150626,3328201.650000000372529,3710441.000000000000000,3644936.599999999627471,10683580.250000000000000
20150629,3264915.000000000000000,3637478.799999999813735,3577167.799999999813735,10479562.599999999627471
20150630,3252257.669999999925494,3619443.200000000186265,3588462.599999999627471,10460164.469999998807907
20150701,3275861.880000000353903,3644037.200000000651926,3635634.999999999534339,10555535.080000000074506
20150702,3289887.570000000298023,3639938.200000000186265,3650251.799999999348074,10580078.570000000298023
20150706,3272098.890000000130385,3639118.400000000372529,3648923.000000000000000,10560141.290000000968575
20150707,3307334.160000000149012,3631740.199999999720603,3697424.199999999720603,10636499.559999998658895
20150708,3278598.600000000093132,3626821.400000000372529,3630319.799999999813735,10535740.800000000745058
20150709,3300834.449999999720603,3649775.800000000279397,3635634.999999999534339,10586246.250000000000000
20150710,3340516.890000000130385,3657154.000000000000000,3671512.599999999627471,10669184.490000000223517
20150713,3367199.910000000149012,3733395.399999999906868,3734630.599999999627471,10835226.910000000149012
20150714,3379173.060000000055879,3739953.799999999813735,3731973.000000000000000,10851100.859999999403954
20150715,3389093.669999999925494,3751431.000000000000000,3717356.199999999720603,10857881.869999999180436
20150716,3347700.779999999795109,3825213.000000000000000,3731973.000000000000000,10904887.779999999329448
20150717,3335385.540000000037253,3821933.799999999813735,3747254.199999999720603,10904574.539999999105930
20150720,3335043.449999999720603,3846527.800000000279397,3758548.999999999534339,10940121.250000000000000
20150721,3329227.919999999925494,3876040.600000000093132,3753898.199999999720603,10959167.719999998807907
20150722,3338122.259999999776483,3733395.399999999906868,3790440.199999999720603,10861958.859999999403954
20150723,3321359.850000000093132,3780124.000000000000000,3787118.199999999720603,10888603.049999998882413
20150724,3287492.939999999944121,3766187.399999999906868,3753898.199999999720603,10807579.539999999105930
20150727,3285440.400000000372529,3717819.200000000186265,3712040.999999999534339,10715301.599999999627471
20150728,3329570.009999999776483,3716999.400000000372529,3769843.799999999813735,10816414.210000000894070
20150729,3359673.929999999701977,3794880.399999999906868,3817680.599999999627471,10972235.929999999701977
20150730,3392514.570000000298023,3843248.600000000558794,3821002.599999999627471,11056766.769999999552965
20150731,3416118.779999999795109,3828492.200000000651926,3827646.599999999627471,11072258.580000000074506
20150803,3401066.820000000298023,3837510.000000000465661,3815023.000000000000000,11053600.820000000298023
20150804,3391488.300000000279397,3897355.399999999906868,3846249.799999999813735,11135094.500000000000000
20150805,3414066.239999999757856,3900634.600000000093132,3878805.399999999906868,11193507.240000000223517
20150806,3398672.189999999944121,3821933.799999999813735,3824324.600000000093132,11044931.589999999850988
20150807,3383962.320000000298023,3831771.400000000372529,3804392.599999999627471,11020127.320000000298023
20150810,3400040.550000000279397,3880139.600000000093132,3832297.399999999906868,11112478.550000000745058
20150811,3380199.330000000074506,3804718.000000000000000,3802399.399999999441206,10987317.730000000447035
20150812,3362068.560000000055879,3831771.400000000372529,3755891.399999999906868,10949732.360000001266599
20150813,3399356.370000000111759,3830951.600000000093132,3773830.199999999720603,11004139.169999999925494
20150814,3395935.469999999739230,3853086.200000000186265,3799077.399999999906868,11048100.070000000298023
20150817,3443485.979999999981374,3879319.800000000279397,3819673.799999999813735,11142480.580000000074506
20150818,3446906.880000000353903,3875220.800000000279397,3814358.599999999627471,11136487.280000001192093
20150819,3458537.939999999944121,3821114.000000000000000,3819009.399999999441206,11098662.339999999850988
20150820,3412697.880000000353903,3743233.000000000000000,3730644.199999999720603,10886576.080000000074506
20150821,3322728.209999999962747,3530904.800000000279397,3550591.799999999348074,10404225.809999998658895
20150824,3176997.870000000111759,3416952.600000000093132,3450931.799999999348074,10044883.269999999552965
20150825,3120210.929999999701977,3317756.800000000279397,3439637.000000000000000,9877605.730000000447035
20150826,3254994.390000000130385,3501392.000000000465661,3613045.399999999906868,10369432.790000000968575
20150827,3329570.009999999776483,3598948.200000000186265,3741274.600000000093132,10669793.810000000521541
20150828,3292624.290000000037253,3601407.600000000093132,3737288.199999999720603,10631321.089999999850988
20150831,3250547.219999999739230,3567795.800000000279397,3712705.399999999906868,10531049.419999999925494
20150901,3197523.270000000018626,3428429.800000000279397,3609058.999999999534339,10235013.070000000298023
20150902,3285440.400000000372529,3554679.000000000000000,3677492.199999999720603,10517612.599999999627471
20150903,3284414.130000000353903,3566156.200000000186265,3682807.399999999906868,10533378.730000000447035
20150904,3244731.689999999944121,3493194.000000000000000,3644272.199999999720603,10382198.889999998733401
20150908,3310755.060000000055879,3598128.400000000372529,3712705.399999999906868,10621589.860000001266599
20150909,3264572.910000000149012,3530904.800000000279397,3649587.399999999906868,10445066.110000001266599
20150910,3258415.290000000037253,3548940.399999999906868,3666861.799999999348074,10474218.489999998360872
20150911,3332306.729999999981374,3564516.600000000093132,3714698.599999999627471,10611522.929999999701977
20150914,3317254.770000000018626,3528445.399999999906868,3717356.199999999720603,10563057.369999999180436
20150915,3358989.750000000000000,3605506.600000000093132,3781803.000000000000000,10746300.349999999627471
20150916,3376094.250000000000000,3631740.199999999720603,3839605.799999999813735,10847441.250000000000000
20150917,3347016.600000000093132,3627641.200000000186265,3829639.799999999813735,10804298.600000001490116
20150918,3319991.489999999757856,3564516.600000000093132,3822331.399999999906868,10706840.490000000223517
20150921,3349069.140000000130385,3616164.000000000000000,3872161.399999999906868,10837395.540000000968575
20150922,3325122.840000000316650,3598948.200000000186265,3852893.799999999813735,10776965.839999999850988
20150923,3331280.459999999962747,3596488.799999999813735,3834954.999999999534339,10762725.259999999776483
20150924,3328201.650000000372529,3599768.000000000000000,3813694.199999999720603,10741664.849999999627471
20150925,3338464.350000000093132,3602227.399999999906868,4152538.199999999720603,11093230.949999999254942
20150928,3282703.679999999701977,3548940.399999999906868,4057528.999999999534339,10889174.080000000074506
20150929,3334701.360000000335276,3561237.399999999906868,3975807.799999999813735,10871747.559999998658895
20150930,3370620.810000000055879,3628461.000000000000000,4085433.799999999813735,11084516.609999999403954
20151001,3379173.060000000055879,3657154.000000000000000,4114003.000000000000000,11150331.060000000521541
20151002,3413724.150000000372529,3735854.800000000279397,4159846.599999999627471,11309426.550000000745058
20151005,3460932.570000000298023,3822753.600000000558794,4128619.799999999813735,11412306.970000000670552
20151006,3485905.140000000130385,3832591.200000000186265,4092742.199999999720603,11411239.539999999105930
20151007,3481457.969999999739230,3836690.199999999720603,4056200.199999999720603,11374349.369999999180436
20151008,3521824.590000000316650,3889977.200000000651926,4149880.599999999627471,11561683.390000000596046
20151009,3515324.880000000353903,3862104.000000000000000,4150544.999999999534339,11527974.880000000819564
20151012,3531745.199999999720603,3853086.200000000186265,4200375.000000000000000,11585207.400000000372529
20151013,3536534.459999999962747,3844068.400000000372529,4179778.599999999627471,11560382.460000000894070
20151014,3517377.419999999925494,3826852.600000000093132,4180443.000000000000000,11524674.019999999552965
20151015,3546112.979999999981374,3853906.000000000000000,4278774.199999999254942,11678794.179999999701977
20151016,3585795.419999999925494,3894896.000000000000000,4334583.799999998882413,11815276.219999998807907
20151019,3574506.449999999720603,3903913.799999999813735,4425606.599999999627471,11904027.849999999627471
20151020,3552270.600000000093132,3916210.800000000279397,4397701.799999998882413,11866184.199999999254942
20151021,3507798.900000000372529,3869482.200000000651926,4401023.799999998882413,11778305.900000000372529
20151022,3792759.870000000111759,3937525.600000000093132,4399030.599999999627471,12129317.070000000298023
20151023,3851599.350000000093132,4334308.799999999813735,4336577.000000000000000,12522486.150000000372529
20151026,3837573.660000000149012,4447441.200000000186265,4364481.799999998882413,12649497.660000000149012
20151027,3819100.800000000279397,4401532.400000000372529,4345878.599999999627471,12566512.800000000745058
20151028,3863572.500000000000000,4425306.599999999627471,4361824.199999999254942,12650704.299999998882413
20151029,3852625.620000000111759,4374479.000000000000000,4355844.599999999627471,12582950.219999998807907
20151030,3839968.290000000037253,4315453.400000000372529,4353187.000000000000000,12508609.690000001341105
20151102,3835179.029999999795109,4364641.400000000372529,4358502.199999999254942,12558323.629999998956919
20151103,3834152.759999999776483,4439243.200000000186265,4365146.199999999254942,12638543.160000000149012
20151104,3845099.640000000130385,4459738.200000000186265,4330597.400000000372529,12635436.240000000223517
20151105,3860493.689999999944121,4458098.600000000558794,4380427.400000000372529,12699020.690000001341105
20151106,3876229.830000000074506,4502367.800000000745058,4377769.799999998882413,12756368.429999999701977
20151109,3863230.410000000149012,4440063.000000000000000,4334583.799999998882413,12637878.209999999031425
20151110,3873151.020000000018626,4386776.000000000000000,4318638.199999999254942,12578566.219999998807907
20151111,3894702.689999999944121,4398253.200000000186265,4232930.599999999627471,12525887.490000000223517
20151112,3835179.029999999795109,4371199.799999999813735,4185093.799999999813735,12391473.629999998956919
20151113,3761971.770000000018626,4331849.400000000372529,4048227.399999999906868,12142049.570000000298023
20151116,3799259.580000000074506,4408090.800000000745058,4101379.399999999441206,12308730.780000001192093
20151117,3795154.500000000000000,4342506.799999999813735,4072145.799999999813735,12209808.099999999627471
20151118,3849546.810000000055879,4414649.200000000186265,4178449.799999999813735,12442646.809999998658895
20151119,3875887.739999999757856,4422027.400000000372529,4178449.799999999813735,12476365.940000001341105
20151120,3896755.229999999981374,4442522.400000000372529,4407003.400000000372529,12746282.030000001192093
20151123,3915912.270000000018626,4442522.400000000372529,4400359.400000000372529,12758795.070000000298023
20151124,3909412.560000000055879,4447441.200000000186265,4402352.599999999627471,12759207.359999999403954
20151125,3913517.640000000130385,4401532.400000000372529,4456169.000000000000000,12771220.040000000968575
20151127,3907702.110000000335276,4421207.600000000558794,4462813.000000000000000,12791723.710000000894070
20151130,3905307.479999999981374,4455639.200000000186265,4394379.799999998882413,12755327.479999998584390
20151201,3915228.090000000316650,4526961.799999999813735,4428928.599999999627471,12871119.490000000223517
20151202,3890255.520000000018626,4526142.000000000000000,4407003.400000000372529,12823401.919999999925494
20151203,3878966.550000000279397,4443342.200000000186265,4289404.599999999627471,12611714.349999999627471
20151204,3975093.840000000316650,4583528.000000000000000,4396373.000000000000000,12954995.839999999850988
20151207,3982619.820000000298023,4575330.000000000000000,4371790.199999999254942,12929741.019999999552965
20151208,3986382.810000000055879,4573690.400000000372529,4375112.199999999254942,12935186.410000000149012
20151209,3988093.259999999776483,4507286.599999999627471,4280103.000000000000000,12775483.859999999403954
20151210,4009302.840000000316650,4531060.800000000745058,4273459.000000000000000,12813823.640000000596046
20151211,3970988.759999999776483,4431865.000000000000000,4195724.199999999254942,12598578.959999999031425
20151214,3977146.380000000353903,4520403.400000000372529,4247547.400000000372529,12745098.180000001564622
20151215,4000066.410000000149012,4525322.200000000186265,4272794.599999999627471,12798184.209999999031425
20151216,4031196.600000000093132,4601563.600000000558794,4349865.000000000000000,12982626.200000001117587
20151217,4019565.540000000037253,4566312.200000000186265,4325946.599999999627471,12911825.339999999850988
20151218,3990829.979999999981374,4437603.600000000558794,4269472.599999999627471,12697907.179999999701977
20151221,4026065.250000000000000,4494989.599999999627471,4311994.199999999254942,12833050.049999998882413
20151222,4027091.520000000018626,4537619.200000000186265,4380427.400000000372529,12945139.120000001043081
20151223,4064037.239999999757856,4576149.799999999813735,4276116.599999999627471,12916304.639999998733401
20151224,4056169.169999999925494,4563852.800000000745058,4197717.400000000372529,12817740.370000001043081
20151228,4062326.790000000037253,4586807.200000000186265,4239574.599999999627471,12888709.589999999850988
20151229,4107482.669999999925494,4635995.200000000186265,4269472.599999999627471,13012951.470000000670552
20151230,4085588.910000000149012,4616320.000000000000000,4202368.199999999254942,12904278.109999999403954
20151231,4041459.300000000279397,4548276.599999999627471,4152538.199999999720603,12742275.099999999627471
20160104,4022302.259999999776483,4492530.200000000186265,4087427.000000000000000,12602260.460000000894070
20160105,4077720.840000000316650,4513025.200000000186265,4144565.399999999906868,12735312.440000001341105
20160106,4050353.640000000130385,4431045.200000000186265,4085433.799999999813735,12566833.640000000596046
20160107,3956620.979999999981374,4276922.800000000745058,3976472.199999999720603,12210016.980000000447035
20160108,3950463.360000000335276,4290039.599999999627471,3911360.999999999534339,12151864.959999999031425
20160111,3991856.250000000000000,4287580.200000000186265,3956540.199999999720603,12235977.650000000372529
20160112,4017513.000000000000000,4326930.600000000558794,3982451.799999999348074,12326896.400000000372529
20160113,3938148.120000000111759,4233473.400000000372529,3905381.399999999906868,12077003.919999999925494
20160114,3989461.620000000111759,4353984.000000000000000,3887442.599999999627471,12230889.219999998807907
20160115,3940200.660000000149012,4180186.400000000372529,3824324.600000000093132,11944712.660000000149012
20160119,4019565.540000000037253,4144935.000000000465661,3874818.999999999534339,12039320.540000000968575
20160120,3960726.060000000055879,4163790.399999999906868,3922655.799999999813735,12047173.259999999776483
20160121,4031196.600000000093132,4138376.600000000093132,4023644.600000000093132,12193218.800000000745058
20160122,4050353.640000000130385,4286760.400000000372529,4044905.399999999906868,12382020.440000001341105
20160125,4077720.840000000316650,4245770.400000000372529,4032946.199999999720603,12356438.439999999478459
20160126,4119797.910000000149012,4276922.800000000745058,4060186.599999999627471,12456908.310000000521541
20160127,4134849.870000000111759,4199041.799999999813735,3958533.399999999441206,12292426.070000000298023
20160128,4186505.459999999962747,4267905.000000000000000,4066166.199999999720603,12520577.660000000149012
20160129,4234398.060000000521541,4516304.400000000372529,4119982.599999999627471,12870686.060000000521541
20160201,4262791.530000000260770,4485152.000000000000000,4196388.599999999627471,12944333.130000000819564
20160202,4240213.589999999850988,4344966.200000000186265,4155860.199999999720603,12741040.989999998360872
20160203,4155375.270000000018626,4276103.000000000000000,4151873.799999999813735,12583353.070000000298023
20160204,4127665.979999999981374,4262986.200000000186265,3997733.000000000000000,12388386.179999999701977
20160205,3947726.640000000130385,4112143.000000000000000,3798413.000000000000000,11858283.640000000596046
20160208,3969962.489999999757856,4050658.000000000000000,3656895.799999999813735,11677517.289999999105930
20160209,4002803.130000000353903,4040000.600000000093132,3699417.399999999906868,11742222.130000000819564
20160210,4020933.900000000372529,4075252.000000000465661,3814358.599999999627471,11910545.500000000000000
20160211,3993224.610000000335276,4073612.399999999906868,3720678.199999999720603,11787516.209999999031425
20160212,4034275.410000000149012,4140016.200000000186265,3748583.000000000000000,11922875.609999999403954
20160216,4077036.660000000149012,4188384.400000000372529,3839605.799999999813735,12105027.859999999403954
20160217,4058563.800000000279397,4297417.800000000745058,3864853.000000000000000,12220835.600000001490116
20160218,4008276.570000000298023,4278562.400000000372529,3893422.199999999720603,12180262.169999999925494
20160219,3986382.810000000055879,4248229.799999999813735,3940594.600000000093132,12175208.209999999031425
20160222,4025381.070000000298023,4316273.200000000186265,3997733.000000000000000,12339388.269999999552965
20160223,3999040.140000000130385,4195762.600000000558794,4000390.599999999627471,12195194.339999999850988
20160224,4004513.580000000074506,4210519.000000000000000,4013014.199999999720603,12228047.779999999329448
20160225,4049327.370000000111759,4271184.200000000186265,4144565.399999999906868,12465077.970000000670552
20160226,4004513.580000000074506,4205600.200000000186265,4159182.199999999720603,12369296.980000000447035
20160229,4008960.750000000000000,4171168.600000000558794,4092077.799999999813735,12272208.150000000372529
20160301,4065747.689999999944121,4310534.599999999627471,4180443.000000000000000,12556726.289999999105930
20160302,4053090.360000000335276,4340867.200000000186265,4133934.999999999534339,12527893.560000000521541
20160303,3991856.250000000000000,4291679.200000000186265,4084104.999999999534339,12367641.449999999254942
20160304,4008618.660000000149012,4265445.600000000558794,4070152.599999999627471,12344217.859999999403954
20160307,4007592.390000000130385,4183465.600000000093132,3936608.199999999720603,12127667.189999999478459
20160308,4051037.820000000298023,4234293.200000000186265,3973814.600000000093132,12259146.620000001043081
20160309,4092772.800000000279397,4331849.400000000372529,3875483.399999999441206,12300106.600000001490116
20160310,4104403.860000000335276,4267085.200000000186265,3912025.399999999906868,12283515.460000000894070
20160311,4158111.989999999757856,4350704.799999999813735,3991753.399999999441206,12500571.189999997615814
20160314,4204294.140000000596046,4358902.800000000745058,4040254.600000000093132,12603452.540000000968575
20160315,4222424.910000000149012,4393334.400000000372529,4079454.199999999720603,12695214.509999999776483
20160316,4225503.719999999739230,4455639.200000000186265,4110016.599999999627471,12791160.519999999552965
20160317,4213188.479999999515712,4481053.000000000000000,4197717.400000000372529,12891959.880000000819564
20160318,4244660.759999999776483,4385136.400000000372529,4185093.799999999813735,12814891.960000000894070
20160321,4235424.330000000074506,4415469.000000000000000,4300035.000000000000000,12950929.330000000074506
20160322,4235766.419999999925494,4432684.799999999813735,4311994.199999999254942,12980446.419999998062849
20160323,4248423.750000000000000,4424486.799999999813735,4148551.799999999348074,12821463.349999999627471
20160324,4217635.650000000372529,4444162.000000000000000,4096064.199999999720603,12757862.849999999627471
20160328,4213530.570000000298023,4389235.400000000372529,4075467.799999999813735,12678234.769999999552965
20160329,4240897.769999999552965,4485152.000000000000000,4085433.799999999813735,12811484.570000000298023
20160330,4304526.509999999776483,4513025.200000000186265,4121975.799999999813735,12939528.510000001639128
20160331,4299395.160000000149012,4527781.599999999627471,4084104.999999999534339,12911282.759999999776483
