代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14550208.190000001341105
真實報酬,4550208.190000001341105

夏普值報酬,0.446320819000000
夏普值風險,0.123082692095956
夏普值,3.626186683112581

預期報酬,19202.940443483486888
風險,324587.613117253116798
趨勢值,0.059161039015209
找到最佳解世代,1778
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,4
BA[2](2),INTC[11](10),MCD[15](12),V[25](1),
20170615,2643635.500000000000000,2441908.960000000428408,2700813.839999999385327,2580847.700000000186265,10367206.000000000000000
20170616,2657025.250000000000000,2434993.360000000335276,2715463.959999999962747,2580847.700000000186265,10388330.269999999552965
20170619,2692731.250000000000000,2455740.160000000149012,2736009.859999999403954,2597839.420000000391155,10482320.689999999478459
20170620,2682587.500000000000000,2410788.760000000242144,2752625.239999999292195,2586602.959999999962747,10432604.459999999031425
20170621,2693948.500000000000000,2391425.080000000074506,2746550.799999999348074,2590987.920000000391155,10422912.299999998882413
20170622,2697600.250000000000000,2376210.760000000242144,2765667.419999999925494,2574818.380000000353903,10414296.810000000521541
20170623,2735335.000000000000000,2364454.239999999757856,2762808.859999999403954,2619490.160000000149012,10482088.259999999776483
20170626,2704903.750000000000000,2356155.520000000018626,2750659.979999999981374,2609624.000000000000000,10421343.250000000000000
20170627,2690161.500000000000000,2327110.000000000000000,2746372.139999999664724,2600854.080000000540167,10364497.720000000670552
20170628,2700034.750000000000000,2365145.800000000279397,2756734.419999999925494,2637304.060000000055879,10459219.030000001192093
20170629,2670820.750000000000000,2319502.839999999850988,2735831.199999999720603,2587699.200000000186265,10313853.989999998360872
20170630,2674743.000000000000000,2333334.040000000037253,2736367.179999999701977,2570159.360000000335276,10314603.580000000074506
20170703,2686104.000000000000000,2313970.360000000335276,2724575.619999999646097,2558374.779999999795109,10283024.759999999776483
20170705,2729654.500000000000000,2374827.640000000130385,2734759.239999999292195,2576462.740000000223517,10415704.120000001043081
20170706,2725191.250000000000000,2325726.880000000353903,2735116.559999999590218,2555634.180000000167638,10341668.870000001043081
20170707,2737228.500000000000000,2343015.880000000353903,2791930.439999999944121,2573996.200000000186265,10446171.019999999552965
20170710,2758733.250000000000000,2327110.000000000000000,2778530.939999999944121,2606061.220000000204891,10470435.410000000149012
20170711,2789976.000000000000000,2345782.120000000111759,2767632.679999999701977,2614831.140000000130385,10518221.939999999478459
20170712,2792275.250000000000000,2368603.600000000093132,2797468.899999999906868,2635933.760000000242144,10594281.509999999776483
20170713,2789435.000000000000000,2367912.040000000037253,2769955.259999999310821,2629356.320000000298023,10556658.619999999180436
20170714,2820272.000000000000000,2398340.680000000167638,2774243.099999999627471,2656488.260000000242144,10649344.039999999105930
20170717,2826899.250000000000000,2383817.919999999925494,2773885.779999999329448,2653747.660000000149012,10638350.609999999403954
20170718,2816620.250000000000000,2387967.280000000260770,2750659.979999999981374,2674302.160000000149012,10629549.669999999925494
20170719,2852326.250000000000000,2390041.960000000428408,2749409.359999999403954,2692664.180000000167638,10684441.750000000000000
20170720,2844211.250000000000000,2403181.600000000093132,2755126.479999999981374,2688827.340000000316650,10691346.669999999925494
20170721,2869367.750000000000000,2401798.479999999981374,2749945.339999999385327,2729662.279999999795109,10750773.849999999627471
20170724,2869908.750000000000000,2385892.600000000093132,2712962.719999999739230,2750764.900000000372529,10719528.969999998807907
20170725,2873695.750000000000000,2397649.120000000111759,2841955.239999999292195,2740350.620000000111759,10853650.730000000447035
20170726,3157585.500000000000000,2403181.600000000093132,2796218.279999999329448,2763919.779999999795109,11120905.159999998286366
20170727,3259699.250000000000000,2418395.919999999925494,2804079.319999999366701,2728840.100000000093132,11211014.589999997988343
20170728,3263351.000000000000000,2441908.960000000428408,2784426.719999999739230,2717329.580000000540167,11207016.259999999776483
20170731,3279445.750000000000000,2452973.919999999925494,2771741.859999999403954,2728566.040000000037253,11232727.570000000298023
20170801,3238600.250000000000000,2513831.200000000186265,2752089.259999999310821,2764467.900000000372529,11268988.609999999403954
20170802,3218448.000000000000000,2533886.439999999944121,2797647.559999999590218,2775704.360000000335276,11325686.359999999403954
20170803,3222505.500000000000000,2523513.040000000037253,2764238.139999999664724,2756794.220000000204891,11267050.900000000372529
20170804,3215202.000000000000000,2510373.399999999906868,2748158.739999999292195,2765016.020000000018626,11238750.160000000149012
20170807,3249285.000000000000000,2519363.680000000167638,2768704.639999999664724,2781459.620000000111759,11318812.940000001341105
20170808,3239411.750000000000000,2517980.560000000055879,2767811.339999999385327,2775704.360000000335276,11300908.010000001639128
20170809,3169217.000000000000000,2530428.640000000130385,2767811.339999999385327,2767208.500000000000000,11234665.480000000447035
20170810,3149876.250000000000000,2499308.439999999944121,2798183.539999999571592,2726647.620000000111759,11174015.849999997764826
20170811,3176926.250000000000000,2480636.319999999832362,2810332.419999999925494,2743091.220000000204891,11210986.210000000894070
20170814,3207628.000000000000000,2513139.640000000130385,2809617.779999999329448,2791873.900000000372529,11322259.320000000298023
20170815,3234948.500000000000000,2489626.600000000093132,2816049.539999999571592,2812702.459999999962747,11353327.099999997764826
20170816,3213579.000000000000000,2476486.960000000428408,2838918.019999999552965,2831612.600000000093132,11360596.580000000074506
20170817,3186529.000000000000000,2432227.120000000111759,2820873.359999999403954,2799821.640000000130385,11239451.120000001043081
20170818,3188963.500000000000000,2421162.160000000149012,2818550.779999999329448,2809413.740000000223517,11238090.179999999701977
20170821,3187746.250000000000000,2414938.120000000111759,2829270.379999999888241,2828872.000000000000000,11260826.750000000000000
20170822,3242793.000000000000000,2396266.000000000000000,2852138.859999999403954,2852167.100000000093132,11343364.959999999031425
20170823,3220341.500000000000000,2396957.560000000055879,2837310.079999999608845,2827775.760000000242144,11282384.900000000372529
20170824,3229132.750000000000000,2400415.360000000335276,2830163.679999999701977,2828872.000000000000000,11288583.789999999105930
20170825,3190586.500000000000000,2397649.120000000111759,2837488.739999999292195,2832434.779999999795109,11258159.139999998733401
20170828,3208033.750000000000000,2396266.000000000000000,2852674.839999999385327,2844219.360000000335276,11301193.949999999254942
20170829,3252801.500000000000000,2401798.479999999981374,2847493.699999999720603,2843945.300000000279397,11346038.980000000447035
20170830,3252395.750000000000000,2412863.439999999944121,2850173.599999999627471,2842849.060000000055879,11358281.849999999627471
20170831,3241575.750000000000000,2425311.520000000018626,2858034.639999999664724,2837093.800000000279397,11362015.710000000894070
20170901,3250637.500000000000000,2426694.640000000130385,2855176.079999999608845,2847508.080000000540167,11380016.300000000745058
20170905,3205599.250000000000000,2421853.720000000204891,2842491.219999999739230,2823116.740000000223517,11293060.930000001564622
20170906,3173409.750000000000000,2473029.160000000149012,2826769.139999999664724,2827775.760000000242144,11300983.810000000521541
20170907,3196267.000000000000000,2457814.839999999850988,2856784.019999999552965,2865596.040000000037253,11376461.899999998509884
20170908,3229673.750000000000000,2433610.239999999757856,2853389.479999999981374,2862033.260000000242144,11378706.730000000447035
20170911,3254154.000000000000000,2473720.720000000204891,2885905.599999999627471,2909171.580000000540167,11522951.900000000372529
20170912,3254018.750000000000000,2495850.640000000130385,2793002.399999999906868,2910815.939999999944121,11453687.730000000447035
20170913,3272277.500000000000000,2512448.080000000074506,2804972.619999999646097,2900401.660000000149012,11490099.859999999403954
20170914,3316910.000000000000000,2522821.479999999981374,2804972.619999999646097,2907253.160000000149012,11551957.259999999776483
20170915,3367899.250000000000000,2558782.600000000093132,2803543.339999999385327,2885876.479999999981374,11616101.669999999925494
20170918,3423081.250000000000000,2558782.600000000093132,2799255.500000000000000,2872995.660000000149012,11654115.009999999776483
20170919,3414695.750000000000000,2574688.479999999981374,2812655.000000000000000,2888891.140000000130385,11690930.370000001043081
20170920,3455270.750000000000000,2563623.520000000018626,2856426.699999999720603,2888891.140000000130385,11764212.109999999403954
20170921,3463115.250000000465661,2572613.800000000279397,2841240.599999999627471,2886150.540000000037253,11763120.190000001341105
20170922,3468660.500000000000000,2571230.680000000167638,2839096.679999999701977,2893002.040000000037253,11771989.899999998509884
20170925,3439852.250000000000000,2569847.560000000055879,2791751.779999999329448,2823390.800000000279397,11624842.390000000596046
20170926,3431466.750000000000000,2591285.919999999925494,2739761.719999999739230,2821198.320000000298023,11583712.710000000894070
20170927,3452836.250000000000000,2596126.839999999850988,2752267.919999999925494,2847234.020000000018626,11648465.029999999329448
20170928,3439176.000000000000000,2616182.080000000074506,2813726.959999999962747,2866144.160000000149012,11735229.199999999254942
20170929,3438364.500000000000000,2633471.080000000074506,2799255.500000000000000,2866144.160000000149012,11737235.240000000223517
20171002,3462439.000000000000000,2699860.839999999850988,2804257.979999999981374,2889713.320000000298023,11856271.140000000596046
20171003,3455270.750000000000000,2723373.880000000353903,2802471.379999999888241,2893824.220000000204891,11874940.230000002309680
20171004,3459328.250000000000000,2720607.640000000130385,2808724.479999999981374,2886150.540000000037253,11874810.910000000149012
20171005,3501661.500000000000000,2733747.280000000260770,2837131.419999999925494,2911638.120000000111759,11984178.320000000298023
20171006,3497468.750000000000000,2740662.880000000353903,2851424.219999999739230,2925067.060000000055879,12014622.910000002011657
20171009,3494899.000000000000000,2756568.760000000242144,2860714.539999999571592,2932740.740000000223517,12044923.039999999105930
20171010,3529252.500000000000000,2742046.000000000000000,2868932.899999999906868,2940962.540000000037253,12081193.940000001341105
20171011,3536150.250000000000000,2717841.399999999906868,2914848.519999999552965,2971931.320000000298023,12140771.490000000223517
20171012,3542507.000000000465661,2710234.239999999757856,2928426.679999999701977,2962887.340000000316650,12144055.259999999776483
20171013,3526682.750000000000000,2743429.120000000111759,2954511.039999999571592,2977960.640000000130385,12202583.550000000745058
20171016,3513293.000000000000000,2749653.160000000149012,2948079.279999999329448,2968094.479999999981374,12179119.919999999925494
20171017,3498009.750000000000000,2751727.839999999850988,2955047.019999999552965,2947265.920000000391155,12152050.529999999329448
20171018,3517215.250000000465661,2783539.600000000093132,2961657.439999999944121,2954391.479999999981374,12216803.770000001415610
20171019,3503690.250000000465661,2772474.640000000130385,2974699.619999999646097,2933014.800000000279397,12183879.310000000521541
20171020,3580918.000000000000000,2795987.680000000167638,2971126.419999999925494,2947539.979999999981374,12295572.080000000074506
20171023,3548052.250000000000000,2823650.080000000074506,2918243.059999999590218,2946991.860000000335276,12236937.250000000000000
20171024,3597824.250000000000000,2831948.800000000279397,2927890.699999999720603,2971109.140000000130385,12328772.890000000596046
20171025,3495304.750000000000000,2820192.280000000260770,2922530.899999999906868,3000707.620000000111759,12238735.550000000745058
20171026,3506800.999999999534339,2859611.200000000186265,2930213.279999999329448,3009203.479999999981374,12305828.959999999031425
20171027,3468795.749999999534339,3070537.000000000000000,2954868.359999999403954,3006736.939999999944121,12500938.049999998882413
20171030,3506530.500000000000000,3068462.319999999832362,2969875.799999999348074,3015780.920000000391155,12560649.539999999105930
20171031,3489353.750000000465661,3145917.040000000037253,2982024.679999999701977,3014136.560000000055879,12631432.030000001192093
20171101,3496386.750000000000000,3230287.360000000335276,2972377.039999999571592,3044009.100000000093132,12743060.250000000000000
20171102,3552245.000000000000000,3257258.200000000186265,3003285.219999999739230,3041542.560000000055879,12854330.980000000447035
20171103,3540343.000000000000000,3204699.640000000130385,3013111.519999999552965,3051956.840000000316650,12810111.000000000000000
20171106,3571721.000000000000000,3229595.800000000279397,3038481.239999999292195,3067304.200000000186265,12907102.239999998360872
20171107,3599582.500000000000000,3235128.280000000260770,3050987.439999999944121,3071963.220000000204891,12957661.440000001341105
20171108,3592008.500000000000000,3229595.800000000279397,3039017.219999999739230,3082377.500000000000000,12942999.019999999552965
20171109,3553191.750000000000000,3201933.399999999906868,2983632.619999999646097,3073333.520000000018626,12812091.289999999105930
20171110,3528170.500000000465661,3152141.080000000074506,2958441.559999999590218,3066207.959999999962747,12704961.100000001490116
20171113,3549404.750000000000000,3163897.600000000093132,2990243.039999999571592,3053053.080000000540167,12756598.469999998807907
20171114,3540478.250000000000000,3171504.760000000242144,3003463.879999999888241,3068948.560000000055879,12784395.450000001117587
20171115,3555355.750000000000000,3143842.360000000335276,2989349.739999999292195,3021536.180000000167638,12710084.029999999329448
20171116,3566716.750000000000000,3156982.000000000000000,3003106.559999999590218,3042638.800000000279397,12769444.109999999403954
20171117,3547240.750000000000000,3086442.880000000353903,2978630.139999999664724,3009751.600000000093132,12622065.369999999180436
20171120,3579295.000000000000000,3085751.319999999832362,2982382.000000000000000,3013314.380000000353903,12660742.700000001117587
20171121,3611214.000000000000000,3107881.239999999757856,3006858.419999999925494,3054423.380000000353903,12780377.040000000968575
20171122,3586327.999999999534339,3087826.000000000000000,3020257.919999999925494,3037157.600000000093132,12731569.519999999552965
20171124,3596201.250000000000000,3094741.600000000093132,3021329.879999999888241,3068674.500000000000000,12780947.230000000447035
20171127,3592143.750000000000000,3076761.040000000037253,3018649.979999999981374,3079910.959999999962747,12767465.730000000447035
20171128,3624739.000000000000000,3093358.479999999981374,3061171.059999999590218,3106768.840000000316650,12886037.379999998956919
20171129,3642456.750000000000000,3039416.800000000279397,3044913.000000000000000,3010847.840000000316650,12737634.390000000596046
20171130,3743894.250000000000000,3100965.640000000130385,3072426.639999999664724,3085666.220000000204891,13002952.750000001862645
20171201,3670588.750000000000000,3089900.680000000167638,3088506.039999999571592,3034691.060000000055879,12883686.529999999329448
20171204,3759718.500000000465661,3076761.040000000037253,3048843.519999999552965,2944251.260000000242144,12829574.320000000298023
20171205,3726852.750000000465661,3004147.239999999757856,3090649.959999999962747,2975768.160000000149012,12797418.109999999403954
20171206,3763775.999999999534339,3004838.800000000279397,3099404.299999999348074,3007559.120000000111759,12875578.219999998807907
20171207,3813818.500000000465661,2979251.080000000074506,3089220.679999999701977,3053053.080000000540167,12935343.339999999850988
20171208,3866971.749999999534339,2997923.200000000186265,3093508.519999999552965,3085940.279999999795109,13044343.749999998137355
20171211,3829913.250000000465661,3019361.560000000055879,3095295.119999999646097,3079636.900000000372529,13024206.830000000074506
20171212,3921612.750000000000000,2996540.080000000074506,3077071.799999999348074,3109509.439999999944121,13104734.069999998435378
20171213,3947310.249999999534339,2997231.640000000130385,3100654.919999999925494,3105398.540000000037253,13150595.349999997764826
20171214,3974901.250000000000000,2991699.160000000149012,3093329.859999999403954,3094710.200000000186265,13154640.469999998807907
20171215,3975712.750000000000000,3081601.960000000428408,3109766.579999999608845,3119375.600000000093132,13286456.890000000596046
20171218,4005467.750000000000000,3199167.160000000149012,3112267.819999999366701,3111975.979999999981374,13428878.710000000894070
20171219,4020480.500000000000000,3253108.839999999850988,3097796.359999999403954,3073333.520000000018626,13444719.219999998807907
20171220,4029271.749999999534339,3289069.960000000428408,3075999.839999999385327,3072785.400000000372529,13467126.949999999254942
20171221,3990454.999999999534339,3233745.160000000149012,3070282.719999999739230,3080733.140000000130385,13375216.019999999552965
20171222,3991401.750000000465661,3229595.800000000279397,3062600.339999999385327,3088406.820000000298023,13372004.710000000894070
20171226,3994918.250000000000000,3186719.080000000074506,3060277.759999999310821,3096628.620000000111759,13338543.710000000894070
20171227,3998434.750000000000000,3188793.760000000242144,3084932.839999999385327,3124856.800000000279397,13397018.150000000372529
20171228,4008308.000000000465661,3196400.919999999925494,3092615.219999999739230,3133900.779999999795109,13431224.919999999925494
20171229,3988832.000000000465661,3192251.560000000055879,3075106.539999999571592,3124856.800000000279397,13381046.900000000372529
20180102,4014935.249999999534339,3239969.200000000186265,3094759.139999999664724,3138285.740000000223517,13487949.330000000074506
20180103,4027919.250000000000000,3130011.160000000149012,3081716.959999999962747,3169528.580000000540167,13409175.950000001117587
20180104,4012636.000000000000000,3072611.680000000167638,3103334.819999999366701,3181313.160000000149012,13369895.660000000149012
20180105,4177235.249999999534339,3094050.040000000037253,3109587.919999999925494,3257501.840000000316650,13638375.049999998882413
20180108,4194953.000000000000000,3094050.040000000037253,3107444.000000000000000,3270656.720000000204891,13667103.759999999776483
20180109,4306940.000000000000000,3016595.319999999832362,3100476.259999999310821,3264353.340000000316650,13688364.919999999925494
20180110,4331690.750000000000000,2939140.600000000093132,3099940.279999999329448,3260790.560000000055879,13631562.189999999478459
20180111,4437997.250000000000000,3002072.560000000055879,3097796.359999999403954,3284359.720000000204891,13822225.890000000596046
20180112,4547414.500000000000000,2990316.040000000037253,3101012.239999999292195,3291211.220000000204891,13929954.000000000000000
20180116,4533213.250000000000000,2983400.439999999944121,3102977.500000000000000,3299433.020000000018626,13919024.209999999031425
20180117,4747584.500000000000000,3069845.439999999944121,3126203.299999999348074,3343008.560000000055879,14286641.799999998882413
20180118,4600838.250000000000000,3076069.479999999981374,3118878.239999999292195,3373977.340000000316650,14169763.309999998658895
20180119,4567972.500000000000000,3099582.520000000018626,3146570.539999999571592,3362740.880000000353903,14176866.439999999478459
20180122,4571624.250000000000000,3163897.600000000093132,3148178.479999999981374,3407412.660000000149012,14291112.990000000223517
20180123,4539029.000000000000000,3185335.960000000428408,3158898.079999999608845,3416182.580000000540167,14299445.620000001043081
20180124,4526856.500000000000000,3147300.160000000149012,3146570.539999999571592,3413441.979999999981374,14234169.179999999701977
20180125,4640737.000000000000000,3132777.399999999906868,3138352.179999999701977,3431804.000000000000000,14343670.580000000074506
20180126,4642224.750000000000000,3463343.080000000074506,3186590.379999999888241,3461950.600000000093132,14754108.810000000521541
20180129,4609764.750000000000000,3456427.479999999981374,3176049.439999999944121,3421389.720000000204891,14663631.390000000596046
20180130,4567702.000000000000000,3374131.839999999850988,3081538.299999999348074,3386035.979999999981374,14409408.119999999180436
20180131,4793028.500000000000000,3329180.439999999944121,3057597.859999999403954,3404672.060000000055879,14584478.859999999403954
20180201,4827787.750000000000000,3295294.000000000000000,3071176.019999999552965,3445507.000000000000000,14639764.769999999552965
20180202,4719182.000000000000000,3191560.000000000000000,3026153.699999999720603,3313684.140000000130385,14250579.839999999850988
20180205,4448276.250000000000000,3078835.720000000204891,2927354.719999999739230,3186520.300000000279397,13640986.990000002086163
20180206,4610982.000000000000000,3105806.560000000055879,2951116.500000000000000,3287922.500000000000000,13955827.560000000521541
20180207,4708497.250000000000000,3125861.800000000279397,2960585.479999999981374,3279152.580000000540167,14074097.110000001266599
20180208,4458825.750000000000000,2956429.600000000093132,2840168.639999999664724,3120471.840000000316650,13375895.829999998211861
20180209,4501700.000000000000000,3039416.800000000279397,2872863.419999999925494,3187890.600000000093132,13601870.820000000298023
20180212,4650069.250000000000000,3100274.080000000074506,2928248.019999999552965,3246813.500000000000000,13925404.849999999627471
20180213,4641413.250000000000000,3074686.360000000335276,2901449.019999999552965,3243524.779999999795109,13861073.409999998286366
20180214,4664270.500000000000000,3138309.880000000353903,2858391.959999999962747,3311491.660000000149012,13972464.000000000000000
20180215,4821295.750000000000000,3175654.120000000111759,2872506.099999999627471,3351230.360000000335276,14220686.329999998211861
20180216,4802090.250000000000000,3150757.960000000428408,2819086.759999999310821,3339445.779999999795109,14111380.750000000000000
20180220,4779233.000000000000000,3203316.520000000018626,2807831.179999999701977,3343830.740000000223517,14134211.439999999478459
20180221,4765978.500000000000000,3177037.239999999757856,2834272.859999999403954,3300529.260000000242144,14077817.859999999403954
20180222,4813992.250000000000000,3167355.399999999906868,2870362.179999999701977,3299158.959999999962747,14150868.789999999105930
20180223,4824000.750000000000000,3300826.479999999981374,2913240.579999999608845,3369044.260000000242144,14407112.070000000298023
20180226,4916241.250000000000000,3396261.760000000242144,2922530.899999999906868,3414538.220000000204891,14649572.130000000819564
20180227,4931930.250000000000000,3451586.560000000055879,2870362.179999999701977,3381102.900000000372529,14634981.890000000596046
20180228,4899064.500000000000000,3408709.839999999850988,2818193.459999999962747,3369318.320000000298023,14495286.120000001043081
20180301,4729731.500000000000000,3308433.640000000130385,2781746.819999999366701,3299707.080000000540167,14119619.040000000968575
20180302,4661836.000000000000000,3387271.479999999981374,2649002.439999999944121,3309847.300000000279397,14007957.220000000670552
20180305,4771118.000000000000000,3440521.600000000093132,2698312.599999999627471,3340267.959999999962747,14250220.160000000149012
20180306,4719317.250000000000000,3506911.360000000335276,2701349.819999999366701,3317795.040000000037253,14245373.469999998807907
20180307,4693890.250000000000000,3549096.520000000018626,2722431.699999999720603,3339445.779999999795109,14304864.249999998137355
20180308,4716747.500000000000000,3508986.040000000037253,2759235.659999999683350,3349586.000000000000000,14334555.199999999254942
20180309,4795057.250000000000000,3609262.239999999757856,2809260.459999999962747,3412345.740000000223517,14625925.689999999478459
20180312,4655344.000000000000000,3562927.720000000204891,2818193.459999999962747,3404946.120000000111759,14441411.300000000745058
20180313,4580686.000000000000000,3580908.280000000260770,2826769.139999999664724,3376443.880000000353903,14364807.300000000745058
20180314,4466940.750000000000000,3586440.760000000242144,2827126.459999999962747,3359452.160000000149012,14239960.129999998956919
20180315,4463153.750000000000000,3518667.880000000353903,2887334.879999999888241,3382199.140000000130385,14251355.650000002235174
20180316,4469781.000000000000000,3538723.120000000111759,2900734.379999999888241,3412893.860000000335276,14322132.359999999403954
20180319,4487228.250000000000000,3515210.080000000074506,2840883.279999999329448,3376717.939999999944121,14220039.549999998882413
20180320,4566620.000000000000000,3565002.399999999906868,2847493.699999999720603,3423308.140000000130385,14402424.240000000223517
20180321,4559451.750000000000000,3565693.960000000428408,2834630.179999999701977,3376992.000000000000000,14336767.890000000596046
20180322,4322899.500000000000000,3515210.080000000074506,2805687.259999999310821,3288470.620000000111759,13932267.460000000894070
20180323,4341699.250000000000000,3413550.760000000242144,2768883.299999999348074,3206526.680000000167638,13730659.989999998360872
20180326,4449493.500000000000000,3629317.479999999981374,2823017.279999999329448,3306284.520000000018626,14208112.779999999329448
20180327,4343322.250000000000000,3540106.239999999757856,2813548.299999999348074,3217489.080000000540167,13914465.869999999180436
20180328,4328444.750000000000000,3430148.200000000186265,2830163.679999999701977,3206252.620000000111759,13795009.250000000000000
20180329,4434751.250000000000000,3601655.080000000074506,2793895.699999999720603,3278330.400000000372529,14108632.429999999701977
20180402,4361175.250000000000000,3383122.120000000111759,2817836.139999999664724,3244621.020000000018626,13806754.529999999329448
20180403,4474514.750000000000000,3440521.600000000093132,2865717.019999999552965,3266819.880000000353903,14047573.250000000000000
20180404,4428800.250000000000000,3457119.040000000037253,2889478.799999999348074,3283537.540000000037253,14058935.629999998956919
20180405,4549984.250000000000000,3484089.880000000353903,2929141.319999999366701,3321357.820000000298023,14284573.269999999552965
20180406,4410947.250000000000000,3374131.839999999850988,2880903.119999999646097,3225710.880000000353903,13891693.089999999850988
20180409,4361716.250000000000000,3426690.399999999906868,2880545.799999999348074,3255583.420000000391155,13924535.869999999180436
20180410,4528750.000000000000000,3545638.720000000204891,2908059.439999999944121,3308477.000000000000000,14290925.160000000149012
20180411,4427718.250000000000000,3533882.200000000186265,2918243.059999999590218,3282715.360000000335276,14162558.870000001043081
20180412,4564591.250000000000000,3645914.919999999925494,2887513.539999999571592,3318069.100000000093132,14416088.809999998658895
20180413,4453686.250000000000000,3586440.760000000242144,2889478.799999999348074,3309299.180000000167638,14238904.989999998360872
20180416,4487363.500000000000000,3623785.000000000000000,2887692.199999999720603,3340267.959999999962747,14339108.660000000149012
20180417,4554312.250000000000000,3702622.839999999850988,2904128.919999999925494,3392887.479999999981374,14553951.490000000223517
20180418,4612199.250000000000000,3707463.760000000242144,2890908.079999999608845,3392887.479999999981374,14603458.570000000298023
20180419,4607330.250000000000000,3611336.919999999925494,2850173.599999999627471,3397272.439999999944121,14466113.209999999031425
20180420,4580686.000000000000000,3563619.280000000260770,2836595.439999999944121,3403849.880000000353903,14384750.600000001490116
20180423,4582985.250000000000000,3533882.200000000186265,2840525.959999999962747,3410975.439999999944121,14368368.849999999627471
