代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,11410792.120000001043081
真實報酬,1410792.120000001043081

夏普值報酬,0.132379212000000
夏普值風險,0.046471946788330
夏普值,2.848583309904342

預期報酬,6919.341018797534161
風險,167622.231196422595531
趨勢值,0.041279375470723
找到最佳解世代,1962
找到最佳解實驗#,1
找到最佳解次數,45

stock[index](rank)
投資組合檔數,3
PG[21](1),V[25](17),WMT[28](2),
20160311,3567685.170000000391155,3077685.299999999813735,3911596.620000000111759,10556968.089999999850988
20160314,3542373.390000000596046,3071670.060000000055879,3922661.079999999608845,10536705.530000001192093
20160315,3548483.130000000353903,3089715.780000000260770,3965171.899999999906868,10603371.810000000521541
20160316,3549792.360000000335276,3109480.140000000596046,3959348.499999999534339,10618622.000000000000000
20160317,3611326.170000000391155,3142563.960000000428408,3927902.140000000130385,10681793.270000001415610
20160318,3628782.570000000763685,3170062.200000000186265,3898785.140000000130385,10697630.910000002011657
20160321,3636201.540000000037253,3169632.540000000037253,3958183.819999999832362,10764018.900000000372529
20160322,3610889.760000000242144,3134830.080000000074506,3952360.419999999925494,10698081.259999999776483
20160323,3614381.040000000037253,3175647.780000000260770,3928484.479999999515712,10718514.300000000745058
20160324,3617435.910000000614673,3185529.960000000428408,3959930.839999999850988,10762897.710000000894070
20160328,3605652.840000000782311,3182952.000000000000000,3966918.919999999925494,10755524.760000001639128
20160329,3613508.220000000204891,3238807.799999999813735,3961677.859999999869615,10813994.879999998956919
20160330,3608271.300000000745058,3298960.200000000186265,4006518.039999999571592,10913750.540000000968575
20160331,3592124.130000000353903,3286070.400000000372529,3988465.499999999534339,10866661.030000001192093
20160401,3645366.150000000372529,3333762.660000000149012,4021658.879999999888241,11000788.690000001341105
20160404,3631401.030000000260770,3344074.500000000000000,4023988.239999999292195,10999464.769999999552965
20160405,3629218.980000000447035,3307123.740000000223517,3997200.600000000093132,10933544.320000000298023
20160406,3657585.630000000353903,3360401.580000000074506,4020494.200000000186265,11038482.410000000149012
20160407,3632710.260000000242144,3333333.000000000000000,3972742.319999999832362,10938786.580000000074506
20160408,3630964.620000000577420,3352667.700000000186265,3963424.879999999888241,10947058.199999999254942
20160411,3610453.350000000558794,3343644.839999999850988,3924990.440000000409782,10879089.630000000819564
20160412,3614817.450000000186265,3373721.040000000037253,4006518.039999999571592,10995057.529999999329448
20160413,3598670.280000000260770,3424850.580000000074506,4026899.940000000409782,11050421.800000000745058
20160414,3579031.830000000540167,3451489.500000000000000,4006518.039999999571592,11037040.369999999180436
20160415,3591687.720000000204891,3440748.000000000000000,4021658.879999999888241,11054095.600000001490116
20160418,3614817.450000000186265,3499611.420000000391155,4068246.079999999608845,11182675.950000001117587
20160419,3634455.900000000372529,3469535.220000000204891,4063005.019999999552965,11166997.140000000596046
20160420,3558956.970000000204891,3486721.620000000577420,4030393.979999999515712,11076073.570000000298023
20160421,3526226.220000000204891,3471253.860000000335276,3987300.819999999832362,10984781.900000000372529
20160422,3532772.370000000577420,3399070.979999999981374,4001859.319999999832362,10933703.669999999925494
20160425,3552847.230000000447035,3357393.960000000428408,4045534.819999999832362,10955777.010000001639128
20160426,3471674.970000000204891,3374150.700000000186265,4035635.039999999571592,10881461.709999999031425
20160427,3486512.910000000614673,3384032.880000000353903,4042623.120000000111759,10913169.910000000149012
20160428,3480839.580000000540167,3337629.600000000558794,4012923.779999999795109,10831393.960000000894070
20160429,3496550.340000000782311,3318724.560000000055879,3894126.419999999925494,10709402.320000000298023
20160502,3533645.190000000409782,3371143.080000000074506,3936054.899999999906868,10840844.169999999925494
20160503,3539318.520000000018626,3316576.260000000242144,3901696.839999999850988,10757592.620000001043081
20160504,3561139.020000000018626,3316576.260000000242144,3912761.299999999813735,10790477.580000000074506
20160505,3548046.720000000204891,3323880.479999999981374,3913925.979999999515712,10785854.179999999701977
20160506,3584268.750000000000000,3339348.240000000223517,3974489.339999999850988,10898107.330000000074506
20160509,3583832.340000000782311,3360831.240000000223517,4015253.140000000130385,10959917.720000000670552
20160510,3599543.100000000558794,3402937.920000000391155,4005935.700000000186265,11008417.720000002533197
20160511,3585141.570000000763685,3321302.520000000018626,3867338.779999999795109,10773783.870000001043081
20160512,3596488.230000000447035,3346652.460000000428408,3892961.739999999292195,10836103.429999999701977
20160513,3544991.850000000558794,3301108.500000000000000,3781734.799999999813735,10627836.150000000372529
20160516,3562448.250000000000000,3342785.520000000018626,3844627.519999999552965,10749862.289999999105930
20160517,3518370.840000000782311,3299389.860000000335276,3791052.239999999292195,10608813.940000001341105
20160518,3484767.270000000018626,3326888.100000000558794,3677495.939999999944121,10489152.310000000521541
20160519,3499605.210000000428408,3303256.799999999813735,4029811.640000000130385,10832674.650000000372529
20160520,3492186.240000000223517,3337199.940000000409782,4068246.079999999608845,10897633.259999999776483
20160523,3500041.620000000577420,3317435.580000000074506,4047281.839999999850988,10864760.040000000968575
20160524,3533645.190000000409782,3410671.799999999813735,4090374.999999999534339,11034692.990000000223517
20160525,3555902.100000000558794,3396922.680000000167638,4104351.160000000149012,11057176.940000001341105
20160526,3544555.440000000409782,3394344.720000000204891,4125897.739999999292195,11064798.899999998509884
20160527,3553720.050000000745058,3422702.280000000260770,4120074.339999999850988,11096497.670000001788139
20160531,3536700.060000000521541,3391766.760000000242144,4121821.359999999869615,11050289.179999999701977
20160601,3569430.810000000521541,3403797.240000000223517,4105515.839999999850988,11078744.890000000596046
20160602,3576413.370000000577420,3435162.420000000391155,4131721.140000000130385,11143297.930000001564622
20160603,3599106.690000000409782,3434732.760000000242144,4127062.419999999925494,11160902.870000001043081
20160606,3612198.990000000223517,3460512.360000000335276,4137544.539999999571592,11210256.890000000596046
20160607,3592560.540000000037253,3463090.319999999832362,4136379.859999999869615,11192031.719999998807907
20160608,3606962.070000000763685,3508204.620000000577420,4150938.359999999869615,11266106.050000000745058
20160609,3629655.390000000596046,3491447.880000000353903,4139873.899999999906868,11260978.170000001788139
20160610,3630964.620000000577420,3445044.600000000558794,4142785.600000000093132,11218795.820000000298023
20160613,3603470.790000000037253,3368565.120000000577420,4107262.859999999869615,11079299.769999999552965
20160614,3637510.770000000018626,3375869.339999999850988,4131721.140000000130385,11145102.250000000000000
20160615,3620054.370000000577420,3358682.940000000409782,4141620.919999999925494,11120359.230000000447035
20160616,3640129.230000000447035,3366416.819999999832362,4152103.039999999571592,11158650.089999999850988
20160617,3627909.750000000000000,3307983.060000000055879,4131721.140000000130385,11067614.950000001117587
20160620,3623982.060000000521541,3323021.160000000149012,4140456.239999999292195,11087460.460000000894070
20160621,3640129.230000000447035,3322591.500000000000000,4161420.479999999515712,11124142.210000000894070
20160622,3647111.790000000037253,3288218.700000000186265,4178308.339999999850988,11113639.830000000074506
20160623,3675042.030000000260770,3361260.900000000372529,4198690.239999999292195,11234994.169999999925494
20160624,3589942.080000000540167,3224629.020000000018626,4190537.479999999515712,11005109.580000000074506
20160627,3544991.850000000558794,3151157.160000000149012,4163749.839999999850988,10859899.850000001490116
20160628,3598670.280000000260770,3229355.280000000260770,4164332.180000000167638,10992358.740000000223517
20160629,3661949.730000000447035,3297241.560000000055879,4219654.479999999515712,11178846.769999999552965
20160630,3695116.890000000596046,3186818.940000000409782,4252265.519999999552965,11134202.350000001490116
20160701,3699917.400000000372529,3200138.400000000372529,4240036.379999999888241,11140093.179999999701977
20160705,3728720.460000000428408,3208301.940000000409782,4259253.599999999627471,11196277.000000000000000
20160706,3710827.650000000372529,3182092.680000000167638,4298852.719999999739230,11191774.050000000745058
20160707,3702099.450000000186265,3182092.680000000167638,4281964.860000000335276,11166157.990000002086163
20160708,3743121.990000000223517,3283492.440000000409782,4300017.400000000372529,11326632.830000001937151
20160711,3742249.170000000391155,3287789.040000000037253,4312828.879999999888241,11342868.089999999850988
20160712,3742249.170000000391155,3329036.400000000372529,4266824.019999999552965,11338110.589999999850988
20160713,3748358.910000000614673,3328177.080000000074506,4287205.919999999925494,11363742.910000000149012
20160714,3747486.090000000782311,3357393.960000000428408,4291864.639999999664724,11396745.690000001341105
20160715,3753595.830000000540167,3364268.520000000018626,4290117.620000000111759,11407982.970000000670552
20160718,3750104.550000000745058,3364698.180000000167638,4300017.400000000372529,11414821.130000000819564
20160719,3760578.390000000596046,3382314.240000000223517,4289535.279999999329448,11432428.910000000149012
20160720,3723483.540000000037253,3409812.479999999981374,4297105.700000000186265,11430402.719999998807907
20160721,3720865.080000000540167,3385321.860000000335276,4281382.519999999552965,11387570.460000000894070
20160722,3740939.940000000409782,3433443.780000000260770,4283129.540000000037253,11457514.260000001639128
20160725,3744431.220000000204891,3391766.760000000242144,4294776.339999999850988,11430975.320000000298023
20160726,3721301.490000000223517,3372432.060000000055879,4293611.660000000149012,11387346.210000000894070
20160727,3685952.280000000260770,3374150.700000000186265,4269735.719999999739230,11329839.699999999254942
20160728,3701226.630000000353903,3402508.260000000242144,4265077.000000000000000,11368812.890000000596046
20160729,3735266.610000000335276,3353527.020000000018626,4249353.819999999366701,11338148.449999999254942
20160801,3771052.230000000447035,3362549.880000000353903,4296523.360000000335276,11430126.470000002533197
20160802,3786326.580000000540167,3363409.200000000186265,4258671.259999999776483,11408408.040000000968575
20160803,3751850.190000000409782,3381884.580000000074506,4247606.799999999813735,11381342.570000000298023
20160804,3755341.470000000204891,3414968.400000000372529,4268571.040000000037253,11438881.910000000149012
20160805,3743558.400000000372529,3443325.960000000428408,4295358.679999999701977,11482244.040000000968575
20160808,3742685.580000000540167,3435162.420000000391155,4270900.400000000372529,11448749.400000002235174
20160809,3752723.010000000242144,3439888.680000000167638,4282547.200000000186265,11475159.890000000596046
20160810,3766688.130000000353903,3423561.600000000558794,4306423.139999999664724,11496673.870000001043081
20160811,3785017.350000000558794,3442466.640000000596046,4297688.040000000037253,11525173.030000001192093
20160812,3798546.060000000521541,3438170.040000000037253,4302929.099999999627471,11539646.199999999254942
20160815,3797673.240000000223517,3476409.780000000260770,4269735.719999999739230,11543819.740000000223517
20160816,3778471.200000000186265,3472113.180000000167638,4244695.099999999627471,11495280.480000000447035
20160817,3795054.780000000260770,3473402.160000000149012,4247024.459999999962747,11515482.400000000372529
20160818,3816002.460000000428408,3448911.540000000037253,4326805.040000000037253,11591720.039999999105930
20160819,3810329.130000000353903,3457504.740000000223517,4240036.379999999888241,11507871.250000000000000
20160822,3790254.270000000018626,3482854.680000000167638,4233630.639999999664724,11506740.589999999850988
20160823,3814256.820000000763685,3471683.520000000018626,4191119.819999999832362,11477061.160000000149012
20160824,3810329.130000000353903,3449770.860000000335276,4206260.660000000149012,11466361.650000000372529
20160825,3836077.320000000763685,3451059.839999999850988,4147444.319999999832362,11434582.480000000447035
20160826,3822112.200000000186265,3461801.339999999850988,4142785.600000000093132,11426700.140000000596046
20160829,3853533.720000000204891,3474691.140000000596046,4157926.440000000409782,11486152.300000000745058
20160830,3820366.560000000521541,3487580.940000000409782,4152685.379999999888241,11460633.880000000819564
20160831,3810329.130000000353903,3475980.120000000577420,4160255.799999999813735,11446566.050000000745058
20160901,3853970.130000000353903,3493166.520000000018626,4241783.400000000372529,11588921.050000000745058
20160902,3849169.620000000577420,3523242.720000000204891,4221983.839999999850988,11594397.179999999701977
20160906,3868371.660000000614673,3546014.700000000186265,4251100.839999999850988,11665488.200000001117587
20160907,3838259.370000000577420,3576520.560000000055879,4196360.879999999888241,11611141.810000000521541
20160908,3830840.400000000372529,3564919.740000000223517,4182967.059999999590218,11578728.199999999254942
20160909,3763633.260000000242144,3494455.500000000000000,4093869.039999999571592,11351958.799999998882413
20160912,3851351.670000000391155,3564919.740000000223517,4189372.799999999813735,11605645.210000000894070
20160913,3798982.470000000204891,3518516.460000000428408,4161420.479999999515712,11478920.410000000149012
20160914,3797236.830000000540167,3501330.060000000055879,4164914.519999999552965,11463482.410000000149012
20160915,3843059.880000000353903,3523672.380000000353903,4216160.440000000409782,11582893.700000001117587
20160916,3842623.470000000204891,3526250.339999999850988,4243530.419999999925494,11612405.230000000447035
20160919,3856588.590000000782311,3545155.380000000353903,4198107.900000000372529,11599852.870000001043081
20160920,3865753.200000000186265,3543866.400000000372529,4191119.819999999832362,11600740.419999999925494
20160921,3831713.220000000204891,3575661.240000000223517,4203931.299999999813735,11611306.760000001639128
20160922,3883646.010000000242144,3581676.479999999981374,4208590.019999999552965,11673913.509999999776483
20160923,3829967.580000000540167,3546444.360000000335276,4213248.739999999292195,11589661.679999999701977
20160926,3833895.270000000018626,3515079.180000000167638,4170737.919999999925494,11519713.370000001043081
20160927,3856152.180000000167638,3530117.280000000260770,4212084.059999999590218,11598354.519999999552965
20160928,3904157.280000000260770,3564919.740000000223517,4180637.700000000186265,11649715.720000000670552
20160929,3850478.850000000558794,3519805.440000000409782,4118909.660000000149012,11489194.950000001117587
20160930,3916813.170000000391155,3553318.920000000391155,4199854.919999999925494,11669988.010000001639128
20161003,3869244.480000000447035,3560193.479999999981374,4193449.180000000167638,11622888.140000000596046
20161004,3855715.770000000018626,3554607.900000000372529,4178308.339999999850988,11588633.009999999776483
20161005,3877536.270000000018626,3581246.819999999832362,4173649.620000000111759,11632433.710000000894070
20161006,3893683.440000000409782,3581676.479999999981374,4039129.079999999608845,11514490.000000000000000
20161007,3927723.420000000391155,3561052.799999999813735,4000694.640000000130385,11489471.860000001266599
20161010,3886700.880000000353903,3571364.640000000596046,3958766.160000000149012,11416832.680000001564622
20161011,3864007.560000000521541,3524961.360000000335276,3924408.100000000093132,11313378.020000001415610
20161012,3865316.790000000037253,3533984.220000000204891,3928484.479999999515712,11327786.489999998360872
20161013,3850915.260000000242144,3517657.140000000596046,3973324.660000000149012,11341898.060000000521541
20161014,3859207.050000000745058,3542577.420000000391155,3986136.140000000130385,11387921.610000001266599
20161017,3833022.450000000186265,3529687.620000000577420,3972742.319999999832362,11335453.390000000596046
20161018,3816438.870000000577420,3505197.000000000000000,4010594.419999999925494,11332231.290000000968575
20161019,3733084.560000000521541,3558045.180000000167638,4011759.100000000093132,11302889.839999999850988
20161020,3706463.550000000745058,3544725.720000000204891,4002441.660000000149012,11253631.930000001564622
20161021,3680278.950000000186265,3538280.819999999832362,3979730.399999999906868,11198291.169999999925494
20161024,3670241.520000000018626,3573512.940000000409782,4029229.299999999813735,11272984.760000001639128
20161025,3795491.190000000409782,3524531.700000000186265,4039129.079999999608845,11359152.970000000670552
20161026,3814256.820000000763685,3512501.220000000204891,4052522.899999999906868,11379281.940000001341105
20161027,3778471.200000000186265,3519805.440000000409782,4066499.059999999590218,11364776.699999999254942
20161028,3789817.860000000335276,3532695.240000000223517,4075816.499999999534339,11398330.599999999627471
20161031,3788072.220000000204891,3545155.380000000353903,4077563.519999999552965,11410792.120000001043081
