代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12793534.559999998658895
真實報酬,2793534.559999998658895

夏普值報酬,0.270653456000000
夏普值風險,0.083234890639611
夏普值,3.251682724878818

預期報酬,11659.730385874927379
風險,278628.099379668477923
趨勢值,0.041846929336395
找到最佳解世代,2097
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,3
NKE[19](6),PG[21](1),V[25](2),
20190628,3725146.589999999850988,3867305.659999999683350,4082273.479999999981374,11674726.730000000447035
20190701,3789931.169999999459833,3896931.619999999180436,4091447.060000000055879,11778310.849999999627471
20190702,3769963.319999999366701,3931847.929999999701977,4122966.540000000037253,11824778.789999999105930
20190703,3824985.839999999850988,4023547.329999999608845,4160366.520000000018626,12008900.689999999478459
20190705,3852497.099999999627471,3990747.159999999683350,4155426.899999999906868,11998672.160000000149012
20190708,3926156.279999999795109,4022489.259999999310821,4144371.560000000055879,12093018.099999999627471
20190709,3906632.160000000149012,3982282.599999999627471,4180595.439999999478459,12069511.199999999254942
20190710,3880008.359999999869615,4011908.559999999590218,4217760.200000000186265,12109678.120000001043081
20190711,3917725.410000000149012,4034128.029999999329448,4251396.660000000149012,12203251.099999999627471
20190712,3954555.000000000000000,4055642.119999999180436,4241752.640000000596046,12251950.759999999776483
20190715,3970529.279999999795109,4072923.929999999701977,4247397.919999999925494,12290852.129999998956919
20190716,3931481.039999999571592,4087384.219999999739230,4217760.200000000186265,12236626.460000000894070
20190717,3882670.739999999757856,4089147.669999999459833,4213996.679999999701977,12185816.089999999850988
20190718,3880008.359999999869615,4071513.169999999459833,4246457.040000000037253,12197979.570000000298023
20190719,3840516.389999999664724,4056347.500000000000000,4216113.660000000149012,12112978.550000000745058
20190722,3814780.049999999813735,4066575.509999999310821,4247397.919999999925494,12128754.479999998584390
20190723,3847172.339999999850988,4015435.459999999497086,4255160.179999999701977,12117768.979999998584390
20190724,3847172.339999999850988,3971349.209999999497086,4312318.640000000596046,12130841.189999999478459
20190725,3872908.679999999701977,3977344.939999999478459,4271390.360000000335276,12121644.980000000447035
20190726,3884445.660000000149012,4046472.179999999701977,4320786.559999999590218,12251705.399999998509884
20190729,3887995.500000000000000,4091263.809999999590218,4309496.000000000000000,12288756.309999998658895
20190730,3869358.839999999850988,4246800.099999999627471,4269979.040000000037253,12386138.980000000447035
20190731,3817442.429999999701977,4163212.569999999832362,4186946.379999999888241,12167602.379999998956919
20190801,3688317.000000000000000,4117010.179999999701977,4214467.119999999180436,12019795.299999998882413
20190802,3600458.459999999962747,4106782.169999999459833,4173303.619999999646097,11880545.249999998137355
20190805,3504169.049999999813735,3988278.329999999608845,3971955.300000000279397,11464403.679999999701977
20190806,3607558.139999999664724,4030601.129999999422580,4057104.939999999478459,11695265.209999999031425
20190807,3606670.679999999701977,4074334.689999999478459,4123907.419999999925494,11804913.789999999105930
20190808,3682992.239999999757856,4142051.169999999459833,4231638.179999999701977,12056682.589999999850988
20190809,3637731.779999999795109,4118773.629999999422580,4211644.480000000447035,11968150.890000000596046
20190812,3623088.689999999944121,4092321.879999999422580,4147899.859999999869615,11863311.429999999701977
20190813,3697191.599999999627471,4135350.059999999590218,4147899.859999999869615,11980442.519999999552965
20190814,3595577.429999999701977,4083857.319999999832362,4081332.599999999627471,11760768.349999999627471
20190815,3528130.470000000204891,4140287.719999999739230,4146253.320000000298023,11814672.509999999776483
20190816,3562297.679999999701977,4203419.229999999515712,4192356.439999999478459,11958074.349999997764826
20190819,3600014.729999999515712,4240804.369999999180436,4227874.660000000149012,12068694.759999997913837
20190820,3573390.929999999701977,4193543.909999999683350,4216113.660000000149012,11983049.500000000000000
20190821,3671455.259999999310821,4204124.609999999403954,4256101.059999999590218,12131681.929999999701977
20190822,3696747.869999999646097,4211883.790000000037253,4236107.360000000335276,12144740.019999999552965
20190823,3569397.359999999869615,4137818.889999999199063,4121790.439999999478459,11829007.689999997615814
20190826,3649712.489999999757856,4208356.889999999664724,4177302.359999999869615,12035372.739999998360872
20190827,3639950.429999999701977,4251737.759999999776483,4195884.740000000223517,12087573.929999999701977
20190828,3704291.279999999795109,4281716.410000000149012,4202706.119999999180436,12188714.809999998658895
20190829,3788599.979999999515712,4273957.229999999515712,4261511.119999999180436,12324069.329999998211861
20190830,3749551.739999999757856,4240451.679999999701977,4253278.419999999925494,12243282.839999999850988
20190903,3757095.149999999906868,4280305.649999999441206,4215172.779999999329448,12252574.579999998211861
20190904,3831641.789999999571592,4345553.299999999813735,4275624.320000000298023,12452820.410000000149012
20190905,3923493.899999999906868,4329682.250000000000000,4345249.439999999478459,12598426.589999999850988
20190906,3935474.609999999869615,4333561.839999999850988,4369006.660000000149012,12638044.109999999403954
20190909,3934587.149999999906868,4308873.540000000037253,4270449.480000000447035,12513911.169999999925494
20190910,3852940.829999999608845,4228107.529999999329448,4148135.079999999608845,12229184.439999999478459
20190911,3849390.989999999757856,4277131.439999999478459,4115909.939999999478459,12242433.369999999180436
20190912,3890214.149999999906868,4330034.939999999478459,4186475.939999999478459,12406726.029999999329448
20190913,3874683.599999999627471,4307110.089999999850988,4169775.320000000298023,12351570.009999999776483
20190916,3872464.949999999720603,4223522.559999999590218,4142489.800000000279397,12238478.310000000521541
20190917,3886664.310000000055879,4273251.849999999627471,4150487.279999999795109,12310404.439999999478459
20190918,3908407.079999999608845,4282069.099999999627471,4123201.759999999776483,12313678.939999999478459
20190919,3891545.339999999850988,4299350.910000000149012,4138961.500000000000000,12329858.750000000000000
20190920,3846284.879999999888241,4311342.369999999180436,4094269.699999999720603,12251897.949999999254942
20190923,3891101.609999999869615,4345905.989999999292195,4114263.399999999906868,12351272.000000000000000
20190924,3868471.379999999888241,4359660.899999999441206,4104148.939999999478459,12332282.219999998807907
20190925,4029545.369999999646097,4338852.189999999478459,4122966.540000000037253,12491365.099999997764826
20190926,4089892.649999999906868,4384349.199999999254942,4131669.680000000167638,12605912.529999999329448
20190927,4096104.869999999646097,4393519.139999999664724,4092858.379999999888241,12582483.390000000596046
20190930,4167545.399999999906868,4386818.029999999329448,4046049.599999999627471,12600414.029999999329448
20191001,4094773.679999999701977,4368125.459999999031425,4099679.759999999776483,12562579.899999998509884
20191002,4059719.009999999310821,4270430.329999999143183,3994771.640000000130385,12324921.979999998584390
20191003,4092111.299999999813735,4293707.869999999180436,4066278.520000000018626,12452098.689999999478459
20191004,4129828.349999999627471,4373415.809999999590218,4139431.939999999478459,12642677.099999999627471
20191007,4134265.649999999906868,4332503.769999999552965,4114028.180000000167638,12580798.599999999627471
20191008,4071255.989999999757856,4265139.979999999515712,4055693.619999999646097,12392090.589999997988343
20191009,4105423.199999999720603,4302172.429999999701977,4113557.739999999757856,12521154.369999999180436
20191010,4126722.239999999757856,4300761.669999999925494,4113557.739999999757856,12541042.650000000372529
20191011,4165770.479999999515712,4270783.019999999552965,4164835.699999999720603,12601390.199999999254942
20191014,4210143.480000000447035,4234103.259999999776483,4171892.300000000279397,12616140.040000000968575
20191015,4206149.910000000149012,4133586.609999999869615,4204587.879999999888241,12544325.399999998509884
20191016,4210143.480000000447035,4145225.379999999422580,4183888.520000000018626,12539258.379999998956919
20191017,4240317.119999999180436,4113483.279999999329448,4185535.060000000055879,12539336.459999999031425
20191018,4264278.539999999105930,4143109.239999999757856,4133081.000000000000000,12540469.779999999329448
20191021,4269603.299999998882413,4199892.329999999143183,4150016.839999999850988,12619513.469999998807907
20191022,4242092.039999999105930,4309226.229999999515712,4018999.300000000279397,12570318.570000000298023
20191023,4096548.599999999627471,4338146.809999999590218,4029819.419999999925494,12464515.830000000074506
20191024,4060162.739999999757856,4401278.319999999366701,4143665.899999999906868,12605107.959999999031425
20191025,4034426.399999999906868,4346964.059999999590218,4183418.079999999608845,12564809.539999999105930
20191028,4031320.289999999571592,4355075.929999999701977,4230226.860000000335276,12616624.079999998211861
20191029,3961654.679999999701977,4359308.209999999031425,4178243.239999999757856,12499207.129999998956919
20191030,4002034.109999999869615,4406568.669999999925494,4216348.879999999888241,12624952.660000000149012
20191031,3973635.389999999664724,4391403.000000000000000,4207175.299999999813735,12572214.689999999478459
20191101,3957217.379999999888241,4368830.839999999850988,4255865.839999999850988,12581915.059999998658895
20191104,3987391.019999999552965,4199539.639999999664724,4209292.279999999329448,12396223.939999997615814
20191105,3988278.479999999515712,4193543.909999999683350,4148605.520000000018626,12330428.909999998286366
20191106,3970529.279999999795109,4243625.889999999664724,4158014.320000000298023,12372170.490000000223517
20191107,4011352.439999999944121,4243625.889999999664724,4197060.839999999850988,12452040.169999999925494
20191108,3985172.369999999646097,4221759.109999999403954,4209762.719999999739230,12416695.199999999254942
20191111,3995821.889999999664724,4208709.579999999143183,4223170.259999999776483,12427702.729999998584390
20191112,3971416.739999999757856,4206593.439999999478459,4227874.660000000149012,12405885.839999999850988
20191113,4050844.410000000149012,4255264.660000000149012,4220112.399999999441206,12526222.469999998807907
20191114,4049956.949999999720603,4249974.309999999590218,4228109.879999999888241,12528042.140000000596046
20191115,4128497.160000000149012,4251385.069999999366701,4228580.320000000298023,12608463.550000000745058
20191118,4179082.379999999888241,4298998.219999999739230,4225992.899999999441206,12704074.500000000000000
20191119,4153789.769999999552965,4282421.790000000037253,4299146.320000000298023,12735358.879999998956919
20191120,4128940.889999999664724,4313105.819999999366701,4273036.899999999441206,12715084.609999999403954
20191121,4089448.919999999459833,4244331.269999999552965,4231402.959999999962747,12565184.149999998509884
20191122,4141809.060000000055879,4242567.819999999366701,4221523.719999999739230,12605901.599999997764826
20191125,4122284.939999999944121,4250327.000000000000000,4256806.719999999739230,12629419.660000000149012
20191126,4141365.329999999608845,4312047.750000000000000,4293971.480000000447035,12747385.560000000521541
20191127,4177307.459999999962747,4294413.250000000000000,4336781.519999999552965,12808503.230000000447035
20191129,4148465.009999999310821,4304993.949999999254942,4340074.599999999627471,12793534.559999998658895
