代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,13066227.640000000596046
真實報酬,3066227.640000000596046

夏普值報酬,0.297922764000000
夏普值風險,0.071525195507012
夏普值,4.165284161590177

預期報酬,11651.159266488131834
風險,203220.444411408825545
趨勢值,0.057332613853068
找到最佳解世代,2105
找到最佳解實驗#,1
找到最佳解次數,50

stock[index](rank)
投資組合檔數,6
AAPL[0](7),DIS[6](1),KO[14](20),MRK[17](4),MSFT[18](2),UNH[23](3),
20131231,1788979.600000000093132,1856433.380000000121072,1739953.060000000055879,1850002.479999999748543,1760800.000000000000000,1838554.639999999897555,10834727.160000000149012
20140102,1763757.999999999767169,1853274.639999999897555,1712575.709999999729916,1829303.199999999953434,1749033.250000000000000,1820730.959999999729916,10728679.759999999776483
20140103,1724921.199999999953434,1849386.959999999962747,1704151.909999999916181,1838174.319999999832362,1737266.500000000000000,1833671.439999999711290,10687576.330000000074506
20140106,1734295.599999999860302,1842340.539999999804422,1696149.300000000046566,1838543.949999999953434,1700554.240000000456348,1812673.679999999701977,10624561.310000000521541
20140107,1722019.600000000093132,1854975.500000000000000,1701203.579999999841675,1852220.259999999776483,1713733.000000000000000,1868098.000000000000000,10712253.939999999478459
20140108,1732956.399999999906868,1827761.739999999990687,1682250.029999999795109,1840392.099999999860302,1683139.450000000186265,1846367.760000000009313,10612871.479999998584390
20140109,1710859.600000000093132,1819986.380000000121072,1673405.039999999804422,1830412.089999999850988,1672314.040000000270084,1857599.119999999878928,10564580.269999999552965
20140110,1699253.199999999720603,1831892.399999999906868,1690252.640000000130385,1843718.770000000018626,1696318.210000000195578,1823905.039999999804422,10585344.259999999776483
20140113,1708181.199999999953434,1780380.639999999897555,1664981.239999999990687,1963478.889999999664724,1646427.190000000176951,1805348.879999999888241,10568802.039999999105930
20140114,1742330.799999999813735,1809052.280000000027940,1671720.279999999795109,1959043.329999999841675,1684080.790000000270084,1807302.159999999683350,10673533.640000000596046
20140115,1777150.000000000000000,1804921.619999999878928,1674668.609999999869615,1941301.089999999850988,1730206.450000000186265,1827323.280000000027940,10755575.049999998882413
20140116,1767329.199999999953434,1803220.759999999776483,1672562.659999999916181,1940561.829999999841675,1736325.160000000381842,1776538.000000000000000,10696541.610000001266599
20140117,1724028.399999999674037,1797632.219999999972060,1654451.489999999990687,1920232.179999999934807,1712320.990000000456348,1770678.159999999683350,10579347.439999999478459
20140121,1750812.399999999906868,1802977.780000000027940,1681407.649999999906868,1915796.619999999878928,1702436.920000000391155,1786304.399999999674037,10639739.770000001415610
20140122,1758624.399999999906868,1829948.560000000055879,1680565.269999999785796,1898054.379999999888241,1691140.840000000316650,1792164.239999999990687,10650501.689999999478459
20140123,1773355.599999999860302,1817313.600000000093132,1652766.729999999981374,1907295.129999999888241,1697259.550000000279397,1787281.039999999804422,10635275.649999998509884
20140124,1741214.800000000046566,1767016.739999999990687,1635919.130000000121072,1921341.069999999832362,1732559.800000000279397,1748215.439999999711290,10546270.980000000447035
20140127,1755276.399999999906868,1755596.679999999934807,1631286.039999999804422,1941670.719999999972060,1695847.540000000270084,1749436.239999999990687,10529117.620000001043081
20140128,1615106.799999999813735,1770904.419999999925494,1637182.699999999720603,1954238.139999999664724,1707143.620000000344589,1750901.199999999720603,10435480.879999998956919
20140129,1596804.399999999906868,1733242.519999999785796,1596327.269999999785796,1929842.559999999823049,1725499.750000000000000,1739914.000000000000000,10321634.500000000000000
20140130,1593679.600000000093132,1779165.739999999990687,1607699.399999999906868,1977894.459999999729916,1734913.150000000139698,1777514.639999999897555,10470870.990000000223517
20140131,1596134.800000000046566,1764343.959999999962747,1592957.750000000000000,1957934.439999999711290,1781038.810000000521541,1764818.319999999832362,10457232.080000000074506
20140203,1599259.600000000093132,1700683.199999999720603,1566843.969999999972060,1925037.369999999878928,1717027.690000000176951,1727217.679999999701977,10236073.509999999776483
20140204,1622249.199999999953434,1726439.079999999841675,1578637.289999999804422,1977894.459999999729916,1710908.980000000214204,1721602.000000000000000,10337735.009999999776483
20140205,1634525.199999999953434,1743690.660000000149012,1584112.760000000009313,1978633.719999999972060,1685963.470000000204891,1729170.959999999729916,10356100.769999999552965
20140206,1634301.999999999767169,1836023.060000000055879,1601802.739999999990687,1987504.839999999850988,1702907.590000000316650,1730391.760000000009313,10492935.990000000223517
20140207,1657068.399999999674037,1838695.840000000083819,1598433.219999999972060,2024467.839999999850988,1720793.050000000279397,1742355.599999999860302,10581817.949999999254942
20140210,1686753.999999999767169,1872470.060000000055879,1624547.000000000000000,2028903.399999999906868,1732089.130000000121072,1702801.679999999701977,10647569.269999999552965
20140211,1709073.999999999767169,1890207.600000000093132,1627495.329999999841675,2058843.429999999934807,1749503.920000000391155,1724287.760000000009313,10759416.039999999105930
20140212,1708850.799999999813735,1893123.359999999869615,1622019.859999999869615,2032969.329999999841675,1763624.020000000251457,1715009.679999999701977,10735601.049999998882413
20140213,1736081.199999999953434,1892880.380000000121072,1627916.519999999785796,2036665.629999999888241,1770213.400000000139698,1738693.199999999720603,10802454.329999998211861
20140214,1734518.799999999813735,1925196.719999999972060,1639709.839999999850988,2049233.049999999813735,1770684.070000000065193,1795094.159999999683350,10914440.639999998733401
20140218,1740991.599999999860302,1933701.019999999785796,1578216.099999999860302,2058473.799999999813735,1761270.670000000391155,1802663.119999999878928,10875320.309999998658895
20140219,1713537.999999999767169,1916449.439999999944121,1562632.070000000065193,2034447.849999999860302,1765506.700000000186265,1795826.639999999897555,10788404.699999999254942
20140220,1693673.199999999720603,1924224.799999999813735,1571055.869999999878928,2062909.359999999869615,1776802.780000000260770,1794117.520000000018626,10822787.529999997466803
20140221,1674924.399999999906868,1947064.919999999925494,1566001.589999999850988,2071041.219999999972060,1787628.190000000176951,1802174.799999999813735,10848839.120000001043081
20140224,1682066.799999999813735,1961643.719999999972060,1579479.669999999925494,2076585.669999999925494,1773978.760000000242144,1855890.000000000000000,10929648.619999999180436
20140225,1664657.199999999720603,1949008.759999999776483,1590851.800000000046566,2066605.659999999683350,1766918.710000000195578,1839042.959999999729916,10877089.089999999850988
20140226,1649702.799999999813735,1945850.019999999785796,1595063.699999999720603,2079912.339999999850988,1763624.020000000251457,1857110.799999999813735,10891267.679999999701977
20140227,1682513.199999999720603,1955569.219999999972060,1603487.500000000000000,2094327.909999999683350,1781980.150000000139698,1856134.159999999683350,10974016.140000000596046
20140228,1678049.199999999953434,1963587.560000000055879,1608962.969999999972060,2106525.700000000186265,1803160.300000000279397,1886654.159999999683350,11046943.890000000596046
20140303,1682736.399999999906868,1930785.259999999776483,1605593.449999999720603,2085456.789999999804422,1778214.790000000270084,1882503.439999999711290,10965294.129999998956919
20140304,1693896.399999999906868,1985455.759999999776483,1613596.060000000055879,2109113.110000000335276,1807867.000000000000000,1907651.919999999692664,11117584.250000000000000
20140305,1697467.599999999860302,2009024.820000000065193,1615280.820000000065193,2102459.769999999552965,1793746.900000000139698,1904233.679999999701977,11122217.589999999850988
20140306,1692333.999999999767169,2025061.500000000000000,1620335.099999999860302,2116505.709999999962747,1795629.580000000307336,1895688.079999999841675,11145557.970000000670552
20140307,1691441.199999999953434,1997604.759999999776483,1623704.619999999878928,2124267.939999999478459,1783862.830000000307336,1889828.239999999990687,11110713.589999999850988
20140310,1693003.599999999627471,1991773.239999999990687,1627916.519999999785796,2118723.490000000223517,1780097.470000000204891,1901547.919999999692664,11113066.240000000223517
20140311,1709297.199999999720603,1969419.079999999841675,1634234.369999999878928,2095436.799999999813735,1789510.870000000344589,1899106.319999999832362,11097008.640000000596046
20140312,1711082.799999999813735,1977437.419999999925494,1620335.099999999860302,2099872.360000000335276,1801277.620000000344589,1894711.439999999711290,11104720.740000000223517
20140313,1692110.799999999813735,1942205.320000000065193,1599275.599999999860302,2062170.099999999860302,1783392.160000000381842,1880306.000000000000000,10959463.980000000447035
20140314,1673138.799999999813735,1945607.039999999804422,1607699.399999999906868,2058843.429999999934807,1774449.430000000400469,1848321.039999999804422,10908063.139999998733401
20140317,1679611.599999999860302,1977680.399999999906868,1611911.300000000046566,2079542.709999999729916,1790922.880000000121072,1874202.000000000000000,11013874.890000000596046
20140318,1694342.799999999813735,1992259.199999999720603,1617386.769999999785796,2083239.009999999776483,1861523.380000000121072,1904477.839999999850988,11153233.000000000000000
20140319,1693896.399999999906868,1956541.139999999897555,1606435.829999999841675,2069562.699999999953434,1848344.620000000344589,1952333.199999999720603,11127117.890000000596046
20140320,1685861.199999999953434,1963587.560000000055879,1619492.719999999972060,2054777.500000000000000,1898235.640000000130385,1990666.319999999832362,11212624.939999999478459
20140321,1699030.000000000000000,1952410.479999999748543,1619071.529999999795109,2020401.909999999683350,1890234.250000000000000,1986027.280000000027940,11167179.449999999254942
20140324,1719341.199999999953434,1931514.199999999720603,1617386.769999999785796,1987874.469999999972060,1906237.030000000260770,1984562.319999999832362,11146919.989999998360872
20140325,1737866.799999999813735,1932972.079999999841675,1626652.949999999720603,2039992.299999999813735,1898706.310000000521541,1980167.439999999711290,11216361.880000000819564
20140326,1721126.799999999813735,1910374.939999999944121,1626231.760000000009313,2070671.589999999850988,1872819.460000000195578,1990910.479999999981374,11192139.030000001192093
20140327,1713761.199999999953434,1906973.219999999972060,1635076.750000000000000,2059952.319999999832362,1852580.650000000139698,1978214.159999999683350,11146562.300000000745058
20140328,1711752.399999999906868,1919365.199999999720603,1640552.219999999972060,2069193.069999999832362,1896823.630000000121072,1992863.760000000009313,11230554.279999999329448
20140331,1711529.199999999953434,1945607.039999999804422,1628337.709999999729916,2098393.839999999850988,1929299.860000000335276,2001897.679999999701977,11315069.329999998211861
20140401,1727153.199999999720603,1982054.039999999804422,1617807.959999999729916,2083608.639999999664724,1949538.670000000391155,1998235.280000000027940,11358401.789999999105930
20140402,1730054.800000000046566,1984483.840000000083819,1614438.439999999944121,2086935.309999999823049,1946243.980000000214204,1992619.599999999860302,11354779.969999998807907
20140403,1718001.999999999767169,1984969.799999999813735,1603487.500000000000000,2077694.559999999823049,1930241.200000000186265,2008245.839999999850988,11322644.899999998509884
20140404,1695681.999999999767169,1954354.320000000065193,1609805.349999999860302,2074367.889999999664724,1876584.820000000065193,1990666.319999999832362,11201464.699999999254942
20140407,1669121.199999999953434,1922766.919999999925494,1626652.949999999720603,2039992.299999999813735,1873290.130000000121072,1979679.119999999878928,11111506.619999999180436
20140408,1669121.199999999953434,1933458.039999999804422,1638446.269999999785796,2034447.849999999860302,1874231.470000000204891,1969424.399999999674037,11119133.230000000447035
20140409,1690994.800000000046566,1955326.239999999990687,1642236.979999999981374,2110591.629999999888241,1904825.020000000251457,1987248.079999999841675,11291226.750000000000000
20140410,1669121.199999999953434,1883404.160000000149012,1638025.079999999841675,2064387.879999999888241,1852580.650000000139698,1953065.679999999701977,11060588.650000000372529
20140411,1656845.199999999953434,1871255.160000000149012,1627074.140000000130385,2066975.289999999804422,1845520.600000000325963,1927673.039999999804422,10995347.429999999701977
20140414,1663541.199999999953434,1886076.939999999944121,1631286.039999999804422,2054038.239999999757856,1844108.590000000316650,1933288.719999999972060,11012343.730000000447035
20140415,1651488.399999999674037,1887048.859999999869615,1692358.589999999850988,2071780.479999999748543,1870936.780000000260770,1941346.000000000000000,11114963.109999999403954
20140416,1654836.399999999906868,1918393.280000000027940,1709627.380000000121072,2079542.709999999729916,1901530.330000000307336,1909116.879999999888241,11173050.980000000447035
20140417,1673808.399999999674037,1943663.199999999720603,1715102.849999999860302,2087304.939999999711290,1883174.200000000186265,1850274.319999999832362,11153331.910000000149012
20140421,1693673.199999999720603,1922280.959999999962747,1716366.419999999925494,2116136.080000000074506,1879879.510000000242144,1830009.039999999804422,11158349.209999999031425
20140422,1695458.799999999813735,1930542.280000000027940,1714681.659999999916181,2135356.839999999850988,1882232.860000000335276,1849786.000000000000000,11208062.440000001341105
20140423,1673138.799999999813735,1932243.139999999897555,1715524.039999999804422,2125376.830000000074506,1868112.760000000242144,1839287.119999999878928,11153686.689999999478459
20140424,1810406.799999999813735,1933944.000000000000000,1714260.469999999972060,2126485.719999999739230,1876114.150000000139698,1870051.280000000027940,11331266.419999998062849
20140425,1823798.799999999813735,1900898.719999999972060,1727317.359999999869615,2115766.450000000186265,1878467.500000000000000,1847344.399999999674037,11293597.229999998584390
20140428,1894330.000000000000000,1889964.619999999878928,1728159.739999999990687,2095067.169999999925494,1923651.820000000065193,1849297.679999999701977,11380475.029999999329448
20140429,1888750.000000000000000,1910860.899999999906868,1708785.000000000000000,2170471.689999999478459,1906707.700000000186265,1836113.039999999804422,11421692.329999998211861
20140430,1881607.599999999860302,1927869.500000000000000,1718051.179999999934807,2164557.610000000335276,1901530.330000000307336,1832206.479999999981374,11425826.700000001117587
20140501,1886071.599999999860302,1933215.060000000055879,1717629.989999999990687,2203738.389999999664724,1882703.530000000260770,1830009.039999999804422,11453371.609999999403954
20140502,1889419.600000000093132,1951438.560000000055879,1724790.219999999972060,2151990.189999999478459,1868112.760000000242144,1831962.319999999832362,11417717.650000000372529
20140505,1916203.599999999627471,1973549.739999999990687,1716787.609999999869615,2167145.019999999552965,1855875.340000000316650,1836845.520000000018626,11466410.829999998211861
20140506,1895446.000000000000000,1968933.119999999878928,1705415.479999999981374,2110961.259999999776483,1838460.550000000279397,1837578.000000000000000,11356798.410000000149012
20140507,1888750.000000000000000,1950952.600000000093132,1723105.459999999729916,2064018.250000000000000,1855404.670000000391155,1902280.399999999674037,11384515.380000000819564
20140508,1874911.599999999860302,1982782.979999999748543,1715524.039999999804422,2026685.619999999878928,1865759.410000000381842,1877376.079999999841675,11343043.730000000447035
20140509,1867099.600000000093132,1991287.280000000027940,1721420.699999999720603,2040731.559999999823049,1861052.710000000195578,1878841.039999999804422,11360436.889999998733401
20140512,1890312.399999999906868,2002707.340000000083819,1719314.750000000000000,2043688.599999999860302,1881291.520000000251457,1898129.679999999701977,11435448.289999999105930
20140513,1893213.999999999767169,1994446.019999999785796,1731529.260000000009313,2060691.579999999841675,1902471.670000000391155,1905454.479999999981374,11487811.009999999776483
20140514,1893660.399999999906868,1966260.340000000083819,1722263.079999999841675,2083608.639999999664724,1893999.610000000335276,1884212.559999999823049,11444008.630000000819564
20140515,1877590.000000000000000,1947550.880000000121072,1706679.050000000046566,2065866.399999999906868,1863876.730000000214204,1867365.520000000018626,11328932.580000000074506
20140516,1905266.799999999813735,1953382.399999999906868,1722263.079999999841675,2065127.139999999664724,1874702.140000000130385,1871516.239999999990687,11392261.799999998882413
20140519,1927810.000000000000000,1969419.079999999841675,1714681.659999999916181,2082869.379999999888241,1870936.780000000260770,1884945.039999999804422,11450665.939999999478459
20140520,1928256.399999999906868,1970391.000000000000000,1709206.189999999944121,2069932.329999999841675,1867642.090000000316650,1871760.399999999674037,11417192.410000000149012
20140521,1933390.000000000000000,1997118.799999999813735,1721420.699999999720603,2091370.869999999878928,1899176.980000000214204,1897641.359999999869615,11540122.709999999031425
20140522,1936291.599999999860302,2001006.479999999748543,1709206.189999999944121,2088044.199999999953434,1887410.230000000214204,1912779.280000000027940,11534741.979999998584390
20140523,1958165.199999999953434,2024575.539999999804422,1709206.189999999944121,2099872.360000000335276,1888351.570000000065193,1923278.159999999683350,11603453.019999999552965
20140527,1994993.199999999720603,2034780.699999999720603,1717208.800000000046566,2095436.799999999813735,1891646.260000000242144,1931579.599999999860302,11665649.359999999403954
20140528,1989636.399999999906868,2031378.979999999748543,1709206.189999999944121,2084717.529999999795109,1883174.200000000186265,1918639.119999999878928,11616756.419999999925494
20140529,2026017.999999999767169,2041827.119999999878928,1712575.709999999729916,2132769.429999999701977,1898706.310000000521541,1937927.760000000009313,11749828.330000000074506
20140530,2018429.199999999953434,2041341.160000000149012,1723105.459999999729916,2138683.509999999776483,1926946.510000000242144,1944275.919999999692664,11792785.759999999776483
20140602,2004590.799999999813735,2047658.639999999897555,1720999.510000000009313,2141270.919999999925494,1919886.460000000195578,1940369.359999999869615,11774779.689999999478459
20140603,2032937.199999999720603,2038182.419999999925494,1721841.890000000130385,2140531.660000000149012,1896352.960000000195578,1950379.919999999692664,11780230.050000000745058
20140604,2056150.000000000000000,2046929.699999999720603,1718051.179999999934807,2141270.919999999925494,1897764.970000000204891,1965762.000000000000000,11825932.769999999552965
20140605,2064185.199999999953434,2060050.619999999878928,1722263.079999999841675,2147554.629999999888241,1939654.600000000325963,1948426.639999999897555,11882138.769999999552965
20140606,2058381.999999999767169,2055919.959999999962747,1726474.979999999981374,2138313.879999999888241,1952362.690000000176951,1951600.719999999972060,11883058.230000000447035
20140609,2091415.599999999860302,2077059.219999999972060,1723105.459999999729916,2141640.549999999813735,1942478.620000000344589,1947450.000000000000000,11923153.449999999254942
20140610,2103691.599999999627471,2059321.679999999934807,1729844.500000000000000,2161970.200000000186265,1934947.900000000139698,1948670.799999999813735,11938450.679999999701977
20140611,2094986.799999999813735,2048630.560000000055879,1720999.510000000009313,2173798.360000000335276,1923181.150000000139698,1957460.559999999823049,11919060.940000001341105
20140612,2059944.399999999906868,2011940.579999999841675,1702467.149999999906868,2154947.229999999515712,1910002.390000000130385,1939636.879999999888241,11778942.629999998956919
20140613,2037401.199999999953434,2011940.579999999841675,1700361.199999999720603,2152729.450000000186265,1940595.940000000176951,1933288.719999999972060,11776321.089999999850988
20140616,2057935.599999999860302,2024089.579999999841675,1712575.709999999729916,2146445.740000000223517,1953304.030000000260770,1904477.839999999850988,11798832.500000000000000
20140617,2055257.199999999720603,2020687.859999999869615,1723526.649999999906868,2146076.110000000335276,1961776.090000000316650,1908628.559999999823049,11815956.470000000670552
20140618,2057489.199999999953434,2030893.019999999785796,1750482.810000000055879,2159013.160000000149012,1960364.080000000307336,1934021.199999999720603,11892267.469999998807907
20140619,2050346.799999999813735,2035509.639999999897555,1760170.179999999934807,2154947.229999999515712,1953774.700000000186265,1965762.000000000000000,11920514.549999998882413
20140620,2029142.799999999813735,2012426.539999999804422,1755958.279999999795109,2177864.290000000037253,1961776.090000000316650,1987736.399999999674037,11924908.400000000372529
20140623,2027357.199999999720603,2010968.660000000149012,1757643.039999999804422,2162339.830000000074506,1976366.860000000335276,1989689.679999999701977,11924369.269999999552965
20140624,2015081.199999999953434,2009024.820000000065193,1762697.320000000065193,2140901.290000000037253,1965070.780000000260770,1995793.679999999701977,11888573.089999999850988
20140625,2016866.799999999813735,2038668.380000000121072,1767330.409999999916181,2175646.509999999776483,1978249.540000000270084,2010443.280000000027940,11987208.919999999925494
20140626,2028919.600000000093132,2052032.280000000027940,1770278.739999999990687,2163448.719999999739230,1963658.770000000251457,2009222.479999999981374,11987564.589999999850988
20140627,2053025.199999999953434,2072685.579999999841675,1777017.779999999795109,2126485.719999999739230,1988604.280000000260770,2002141.839999999850988,12019964.399999998509884
20140630,2074229.199999999953434,2083376.699999999720603,1784178.010000000009313,2138313.879999999888241,1962717.430000000400469,1996037.839999999850988,12038857.059999998658895
20140701,2087397.999999999767169,2101114.240000000223517,1781229.679999999934807,2162709.459999999962747,1970718.820000000065193,1999456.079999999841675,12102630.279999999329448
20140702,2086505.199999999953434,2100385.299999999813735,1781229.679999999934807,2182669.479999999515712,1972130.830000000307336,2014105.679999999701977,12137030.169999999925494
20140703,2098781.200000000186265,2110104.500000000000000,1778702.539999999804422,2188213.929999999701977,1967424.130000000121072,2035103.439999999711290,12178333.740000000223517
20140707,2142082.000000000000000,2104030.000000000000000,1774911.829999999841675,2163079.089999999850988,1976366.860000000335276,2007513.359999999869615,12167987.140000000596046
20140708,2128243.599999999627471,2086292.459999999962747,1766488.029999999795109,2150142.040000000037253,1966482.790000000270084,2000432.719999999972060,12098085.640000000596046
20140709,2129136.399999999441206,2119337.740000000223517,1766909.219999999972060,2164187.979999999515712,1961305.420000000391155,2020209.679999999701977,12161090.439999999478459
20140710,2121324.400000000372529,2110590.459999999962747,1779966.109999999869615,2165296.870000000111759,1962246.760000000242144,2004095.119999999878928,12143523.720000000670552
20140711,2125342.000000000000000,2111319.400000000372529,1767751.599999999860302,2160122.049999999813735,1981073.560000000521541,2023383.760000000009313,12168996.369999999180436
20140714,2152795.599999999627471,2108160.660000000149012,1785020.390000000130385,2150511.669999999925494,1983426.910000000381842,2057566.159999999683350,12237485.390000000596046
20140715,2127574.000000000000000,2093338.880000000121072,1773227.070000000065193,2140531.660000000149012,1998017.680000000400469,2048532.239999999990687,12181225.530000001192093
20140716,2115521.200000000186265,2073900.479999999748543,1774069.449999999720603,2149402.779999999329448,2074736.890000000130385,2045114.000000000000000,12232748.799999998882413
20140717,2077800.399999999906868,2066125.119999999878928,1769857.550000000046566,2129073.129999999888241,2095917.040000000270084,2078075.599999999860302,12216852.839999999850988
20140718,2107709.200000000186265,2085077.560000000055879,1787126.339999999850988,2156425.750000000000000,2103447.760000000242144,2088086.159999999683350,12327876.769999999552965
20140721,2096772.399999999906868,2083376.699999999720603,1785862.769999999785796,2143858.330000000074506,2110507.810000000521541,2076854.799999999813735,12297236.809999998658895
