代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,14307613.669999998062849
真實報酬,4307613.669999998062849

夏普值報酬,0.422061367000000
夏普值風險,0.097375664286333
夏普值,4.334361876689512

預期報酬,16188.339694519134355
風險,110929.610077541015926
趨勢值,0.145933440883848
找到最佳解世代,1684
找到最佳解實驗#,1
找到最佳解次數,39

stock[index](rank)
投資組合檔數,9
AAPL[0](7),AXP[1](6),BA[2](5),HD[9](10),KO[14](19),MCD[15](1),MMM[16](4),UNH[23](2),V[25](11),
20170112,1166989.059999999823049,1286085.879999999888241,1234834.859999999869615,1230035.359999999869615,1073113.750000000000000,1205172.100000000093132,1192703.939999999944121,1276427.830000000074506,1095759.760000000009313,10761123.539999999105930
20170113,1164934.000000000000000,1281736.600000000093132,1239047.399999999906868,1229762.179999999934807,1071279.400000000139698,1199250.100000000093132,1192367.889999999897555,1272025.669999999925494,1093066.559999999823049,10743470.799999998882413
20170117,1174328.559999999823049,1281402.039999999804422,1229998.239999999757856,1237866.520000000018626,1080189.099999999860302,1211587.600000000093132,1191494.159999999916181,1263064.129999999888241,1094278.500000000000000,10764209.849999997764826
20170118,1174230.699999999720603,1296289.959999999962747,1235068.889999999664724,1239960.899999999906868,1082023.449999999953434,1211192.800000000046566,1199760.989999999990687,1240110.010000000009313,1098722.279999999795109,10777360.979999998584390
20170119,1172175.639999999897555,1282907.560000000055879,1240373.569999999832362,1232949.279999999795109,1078092.699999999953434,1205961.700000000186265,1201037.979999999981374,1247656.569999999832362,1100607.520000000018626,10761763.519999999552965
20170120,1174328.559999999823049,1274710.840000000083819,1244508.099999999860302,1234861.539999999804422,1082809.600000000093132,1206751.300000000046566,1199760.989999999990687,1247342.129999999888241,1102088.779999999795109,10767162.839999997988343
20170123,1175111.439999999711290,1270863.399999999906868,1231324.409999999916181,1257353.359999999869615,1085692.149999999906868,1198065.699999999953434,1199895.409999999916181,1250565.139999999897555,1106263.239999999990687,10775135.250000000000000
20170124,1174034.979999999748543,1295286.280000000027940,1252465.119999999878928,1257262.300000000046566,1098008.500000000000000,1194808.600000000093132,1182824.069999999832362,1261256.099999999860302,1120806.520000000018626,10836753.469999998807907
20170125,1192726.239999999757856,1286253.159999999916181,1305589.929999999934807,1251980.819999999832362,1103773.599999999860302,1202112.400000000139698,1187932.029999999795109,1267623.510000000009313,1129828.739999999990687,10927821.429999997839332
20170126,1193313.399999999906868,1286922.280000000027940,1319319.689999999944121,1260904.699999999953434,1095650.050000000046566,1203000.699999999953434,1188536.919999999925494,1279493.619999999878928,1120941.179999999701977,10948083.539999997243285
20170127,1193411.259999999776483,1285584.039999999804422,1308242.269999999785796,1259720.920000000158325,1086216.250000000000000,1212673.300000000046566,1192972.779999999795109,1281380.260000000009313,1128078.159999999683350,10948280.239999998360872
20170130,1190279.739999999757856,1292777.080000000074506,1291626.139999999664724,1260995.760000000009313,1084381.900000000139698,1214252.500000000000000,1179127.519999999785796,1274305.359999999869615,1127135.539999999804422,10914882.539999999105930
20170131,1187539.659999999683350,1277721.879999999888241,1274853.989999999757856,1252891.420000000158325,1089360.850000000093132,1209811.000000000000000,1175094.919999999925494,1274383.969999999739230,1113804.199999999720603,10855462.889999996870756
20170201,1259956.059999999823049,1284078.520000000018626,1279144.539999999804422,1251616.579999999841675,1081237.300000000046566,1208330.500000000000000,1177447.269999999785796,1279179.179999999934807,1110168.379999999888241,10931159.329999998211861
20170202,1257803.139999999897555,1279896.520000000018626,1265804.829999999841675,1247154.639999999897555,1084906.000000000000000,1216226.500000000000000,1170793.479999999981374,1263850.229999999748543,1108283.139999999897555,10894719.480000000447035
20170203,1263185.439999999944121,1305490.360000000102445,1266896.969999999972060,1256533.819999999832362,1088574.699999999953434,1226293.900000000139698,1176573.539999999804422,1272575.939999999944121,1159184.619999999878928,11015310.289999999105930
20170206,1275026.499999999767169,1301810.199999999953434,1279222.549999999813735,1242965.880000000121072,1089098.800000000046566,1228366.600000000093132,1176976.799999999813735,1261884.979999999748543,1155818.119999999878928,11011171.429999997839332
20170207,1287161.139999999897555,1300137.399999999906868,1298881.069999999832362,1244422.840000000083819,1098008.500000000000000,1229748.400000000139698,1181412.659999999916181,1262042.199999999953434,1155144.819999999832362,11056960.029999999329448
20170208,1292151.999999999767169,1301475.639999999897555,1277896.379999999888241,1255623.219999999972060,1101153.100000000093132,1230538.000000000000000,1190217.169999999925494,1260312.779999999795109,1145853.279999999795109,11055222.569999998435378
20170209,1295870.679999999701977,1307832.280000000027940,1281562.849999999860302,1263181.199999999953434,1080975.250000000000000,1228662.700000000186265,1197677.479999999981374,1261334.709999999962747,1152451.619999999878928,11069549.769999997690320
20170210,1292934.879999999888241,1312850.680000000167638,1296774.799999999813735,1273562.039999999804422,1063417.899999999906868,1241888.500000000000000,1203188.699999999953434,1263771.619999999878928,1156760.739999999990687,11105150.859999997541308
20170213,1304384.499999999767169,1320043.719999999972060,1310816.599999999860302,1273744.159999999916181,1064466.099999999860302,1239124.900000000139698,1216765.120000000111759,1273519.260000000009313,1164032.379999999888241,11166897.739999998360872
20170214,1321314.280000000027940,1328407.719999999972060,1314483.069999999832362,1287312.100000000093132,1062107.650000000139698,1241789.800000000046566,1220663.299999999813735,1282480.799999999813735,1169553.439999999711290,11228113.159999998286366
20170215,1326109.419999999692664,1331586.039999999804422,1320723.869999999878928,1294870.079999999841675,1059749.199999999953434,1248402.700000000186265,1221335.399999999906868,1291599.559999999823049,1178844.979999999981374,11273222.250000000000000
20170216,1324543.659999999683350,1330080.520000000018626,1332503.379999999888241,1288951.179999999934807,1079665.000000000000000,1250574.100000000093132,1232828.309999999823049,1286568.520000000018626,1177094.399999999906868,11302810.070000000298023
20170217,1328164.479999999748543,1333426.119999999878928,1347325.279999999795109,1302245.939999999944121,1080451.149999999906868,1261431.100000000093132,1229736.649999999906868,1239166.689999999944121,1177767.699999999720603,11299716.109999997541308
20170221,1337754.759999999776483,1337775.399999999906868,1369558.129999999888241,1320640.060000000055879,1086478.300000000046566,1263799.899999999906868,1232559.469999999972060,1262356.639999999897555,1183962.059999999823049,11394885.720000000670552
20170222,1341767.020000000018626,1335935.320000000065193,1367997.929999999934807,1322734.439999999944121,1090147.000000000000000,1261924.600000000093132,1250504.539999999804422,1262356.639999999897555,1182346.139999999897555,11415714.629999998956919
20170223,1336091.139999999897555,1339113.639999999897555,1379699.429999999934807,1317817.199999999953434,1091719.299999999813735,1266070.000000000232831,1258233.689999999944121,1278314.469999999739230,1187463.219999999972060,11454523.090000001713634
20170224,1337363.319999999832362,1334262.520000000018626,1384224.009999999776483,1329108.639999999897555,1094863.900000000139698,1269820.600000000093132,1259712.309999999823049,1281930.529999999795109,1190829.719999999972060,11482116.550000000745058
20170227,1340005.539999999804422,1341121.000000000000000,1399748.000000000000000,1323189.739999999990687,1091981.350000000093132,1253436.400000000139698,1256351.809999999823049,1300168.049999999813735,1185039.339999999850988,11491042.230000000447035
20170228,1340592.699999999953434,1339280.919999999925494,1405988.799999999813735,1319638.399999999906868,1099580.800000000046566,1259950.600000000093132,1252588.049999999813735,1300168.049999999813735,1184231.379999999888241,11502020.699999999254942
20170301,1367993.499999999767169,1370395.000000000000000,1434696.479999999748543,1335756.020000000018626,1104821.799999999813735,1273768.600000000093132,1276178.760000000009313,1320292.209999999962747,1198370.679999999701977,11682274.050000000745058
20170302,1359871.119999999878928,1339950.039999999804422,1427519.559999999823049,1347320.639999999897555,1112945.349999999860302,1265675.199999999953434,1276380.389999999897555,1315339.779999999795109,1192176.319999999832362,11637179.399999998509884
20170303,1367895.639999999897555,1336269.879999999888241,1421200.750000000000000,1346045.800000000046566,1113207.399999999906868,1262418.100000000093132,1272482.209999999962747,1322336.069999999832362,1195677.479999999981374,11637534.329999998211861
20170306,1363589.799999999813735,1329913.239999999990687,1411449.500000000000000,1339853.719999999972060,1105345.899999999906868,1263701.200000000186265,1269726.600000000093132,1326266.569999999832362,1197697.379999999888241,11607544.910000000149012
20170307,1365351.280000000027940,1331251.479999999981374,1419952.589999999850988,1329746.060000000055879,1100366.949999999953434,1264096.000000000000000,1271003.590000000083819,1323122.169999999925494,1199313.299999999813735,11604204.420000001788139
20170308,1360262.559999999823049,1322218.360000000102445,1417768.309999999823049,1337941.459999999729916,1100366.949999999953434,1264293.400000000139698,1273826.409999999916181,1320056.379999999888241,1197966.699999999720603,11594701.529999997466803
20170309,1357131.039999999804422,1326567.639999999897555,1408641.139999999664724,1335209.659999999916181,1101415.150000000139698,1264786.899999999906868,1276447.600000000093132,1320842.479999999748543,1199986.599999999860302,11591029.209999999031425
20170310,1361632.599999999627471,1327905.879999999888241,1394053.269999999785796,1337304.039999999804422,1108228.449999999953434,1263207.700000000186265,1285252.110000000102445,1336328.649999999906868,1208335.520000000018626,11622249.219999998807907
20170313,1362219.759999999776483,1325062.119999999878928,1396783.619999999878928,1342585.520000000018626,1101415.150000000139698,1259555.800000000046566,1287335.620000000111759,1338136.679999999934807,1213452.599999999860302,11626547.869999999180436
20170314,1360164.699999999953434,1333091.560000000055879,1394287.299999999813735,1340126.899999999906868,1099842.849999999860302,1261431.100000000093132,1279337.630000000121072,1329096.529999999795109,1205911.639999999897555,11603291.209999999031425
20170315,1374550.119999999878928,1325396.680000000167638,1394131.279999999795109,1347320.639999999897555,1103773.599999999860302,1262220.699999999953434,1285184.899999999906868,1350478.449999999953434,1210894.059999999823049,11653951.429999999701977
20170316,1376800.899999999906868,1334429.799999999813735,1390074.759999999776483,1354423.319999999832362,1107180.250000000000000,1263207.700000000186265,1279203.209999999962747,1346705.169999999925494,1212509.979999999981374,11664536.089999999850988
20170317,1369950.699999999953434,1325731.239999999990687,1404974.669999999692664,1362345.539999999804422,1101415.150000000139698,1269721.899999999906868,1292981.260000000009313,1334127.569999999832362,1215203.179999999701977,11676452.209999999031425
20170320,1384336.119999999878928,1319040.039999999804422,1399435.959999999729916,1345954.739999999990687,1105345.899999999906868,1271103.700000000186265,1297349.909999999916181,1320763.869999999878928,1200929.219999999972060,11644260.459999999031425
20170321,1368482.799999999813735,1296959.080000000074506,1372678.529999999795109,1335118.600000000093132,1113731.500000000000000,1268537.500000000232831,1291435.429999999934807,1318405.569999999832362,1185847.299999999813735,11551197.309999998658895
20170322,1383944.679999999701977,1299301.000000000000000,1380635.549999999813735,1341948.100000000093132,1110586.900000000139698,1274262.100000000093132,1292040.319999999832362,1313138.699999999953434,1192041.659999999683350,11587900.009999999776483
20170323,1379051.679999999701977,1302144.760000000009313,1382819.829999999841675,1347684.880000000121072,1105083.850000000093132,1273275.100000000093132,1291502.639999999897555,1299460.559999999823049,1196620.099999999860302,11577644.400000000372529
20170324,1376311.599999999627471,1308166.840000000083819,1371586.389999999664724,1345135.199999999953434,1103773.599999999860302,1276630.900000000139698,1287268.409999999916181,1297180.869999999878928,1201063.879999999888241,11567118.689999997615814
20170327,1378660.239999999757856,1298130.039999999804422,1373770.669999999692664,1337486.159999999916181,1109014.600000000093132,1278111.400000000139698,1280009.729999999981374,1294036.469999999739230,1197832.039999999804422,11547052.349999997764826
20170328,1407235.359999999869615,1315527.159999999916181,1383599.929999999934807,1340491.139999999897555,1111897.149999999906868,1277716.600000000093132,1283773.489999999990687,1299932.219999999739230,1200121.260000000009313,11620295.309999996796250
20170329,1410366.879999999888241,1309003.239999999990687,1385706.199999999720603,1339034.179999999934807,1111635.100000000093132,1271695.900000000139698,1281689.979999999981374,1284917.709999999962747,1200929.219999999972060,11594979.410000002011657
20170330,1408507.539999999804422,1325062.119999999878928,1388436.549999999813735,1338214.639999999897555,1116352.000000000000000,1276433.500000000000000,1285722.580000000074506,1297102.260000000009313,1198640.000000000000000,11634472.189999999478459
20170331,1405865.319999999832362,1323389.320000000065193,1379699.429999999934807,1337121.920000000158325,1112159.199999999953434,1279295.800000000279397,1286058.630000000121072,1289398.479999999748543,1196754.760000000009313,11609743.860000001266599
20170403,1406256.759999999776483,1314690.760000000009313,1378061.219999999972060,1335209.659999999916181,1111373.049999999813735,1279295.800000000279397,1281958.819999999832362,1301818.859999999869615,1203353.099999999860302,11612019.029999999329448
20170404,1416727.780000000027940,1309170.520000000018626,1394053.269999999785796,1332659.979999999981374,1118448.399999999906868,1276137.399999999906868,1278396.689999999944121,1296945.039999999804422,1195542.819999999832362,11618082.899999998509884
20170405,1409388.280000000027940,1300806.520000000018626,1381415.649999999906868,1335391.779999999795109,1115565.850000000093132,1287191.800000000046566,1278732.739999999990687,1300089.439999999944121,1198909.319999999832362,11607492.379999998956919
20170406,1405865.319999999832362,1303483.000000000000000,1383677.939999999944121,1340855.380000000121072,1118186.350000000093132,1284625.600000000093132,1276380.389999999897555,1299853.609999999869615,1199717.279999999795109,11612645.869999999180436
20170407,1402733.799999999813735,1300973.799999999813735,1395223.419999999692664,1339853.719999999972060,1116614.050000000046566,1282750.300000000279397,1277052.489999999990687,1305199.089999999850988,1195004.179999999701977,11615405.849999999627471
20170410,1401070.179999999701977,1296289.959999999962747,1385160.129999999888241,1349688.199999999953434,1118710.449999999953434,1282947.699999999953434,1275170.610000000102445,1300954.149999999906868,1196620.099999999860302,11606612.480000000447035
20170411,1385999.739999999757856,1292442.520000000018626,1393039.139999999664724,1349597.139999999897555,1117924.299999999813735,1294989.100000000093132,1277590.169999999925494,1303705.500000000000000,1196485.439999999711290,11611774.049999998882413
20170412,1387663.359999999869615,1282740.280000000027940,1373380.619999999878928,1334481.179999999934807,1125261.699999999953434,1295581.300000000046566,1275103.399999999906868,1301583.029999999795109,1194196.219999999972060,11569992.089999999850988
20170413,1380323.859999999869615,1268019.639999999897555,1370026.189999999944121,1328744.399999999906868,1121330.949999999953434,1290646.300000000046566,1268046.350000000093132,1296866.429999999934807,1196754.760000000009313,11520759.879999998956919
20170417,1387956.939999999944121,1282573.000000000000000,1396549.589999999850988,1341492.800000000046566,1128668.350000000093132,1296469.600000000093132,1279539.260000000009313,1314317.849999999860302,1209412.799999999813735,11636981.189999997615814
20170418,1381791.759999999776483,1267852.360000000102445,1387422.419999999692664,1345590.499999999767169,1139412.399999999906868,1305846.100000000093132,1278598.319999999832362,1325401.859999999869615,1208335.520000000018626,11640252.239999998360872
20170419,1376703.039999999804422,1263837.639999999897555,1391712.969999999972060,1340673.260000000009313,1132861.149999999906868,1309201.899999999906868,1275977.130000000121072,1330590.119999999878928,1208604.839999999850988,11630163.049999998882413
20170420,1393926.399999999906868,1338611.799999999813735,1398733.869999999878928,1354332.260000000009313,1129192.450000000186265,1315420.000000000232831,1284916.059999999823049,1348591.809999999823049,1227457.239999999990687,11791182.890000000596046
20170421,1392262.780000000027940,1331418.760000000009313,1407158.949999999720603,1365987.939999999944121,1128668.350000000093132,1316801.800000000046566,1287201.199999999953434,1345604.629999999888241,1227457.239999999990687,11802562.650000000372529
20170424,1405669.599999999627471,1345804.840000000083819,1420264.629999999888241,1383198.279999999795109,1134171.400000000139698,1324895.199999999953434,1305549.529999999795109,1354802.000000000000000,1236883.439999999711290,11911239.919999999925494
20170425,1414379.139999999897555,1348815.879999999888241,1431576.079999999841675,1393579.119999999878928,1129716.550000000046566,1398624.100000000093132,1311598.429999999934807,1368244.309999999823049,1240384.599999999860302,12036919.209999999031425
20170426,1406061.039999999804422,1346975.799999999813735,1417534.279999999795109,1404415.260000000009313,1133123.199999999953434,1390135.900000000139698,1310724.699999999953434,1370917.049999999813735,1236479.459999999729916,12016367.689999999478459
20170427,1407137.499999999767169,1343797.479999999981374,1429313.789999999804422,1421716.659999999916181,1127096.050000000046566,1390432.000000000232831,1318185.010000000009313,1372882.299999999813735,1233516.939999999711290,12044078.729999998584390
20170428,1405767.459999999962747,1325731.239999999990687,1441873.399999999906868,1421534.539999999804422,1130764.750000000000000,1381154.200000000186265,1316303.130000000121072,1374847.549999999813735,1228399.859999999869615,12026377.129999998956919
20170501,1434440.439999999944121,1325396.680000000167638,1422838.959999999729916,1404324.199999999953434,1132599.099999999860302,1393195.600000000093132,1309447.709999999962747,1372567.859999999869615,1228938.500000000000000,12023750.050000000745058
20170502,1443541.419999999692664,1330582.360000000102445,1431030.009999999776483,1411062.639999999897555,1137053.949999999953434,1393985.199999999953434,1321007.830000000074506,1369030.409999999683350,1246174.979999999981374,12083469.800000000745058
20170503,1439137.719999999739230,1318705.479999999981374,1430639.959999999729916,1411517.939999999944121,1135219.600000000093132,1407704.500000000232831,1328400.929999999934807,1356452.809999999823049,1244828.379999999888241,12072608.320000000298023
