代數,10000
粒子數,10
旋轉角度,0.0004
實驗次數,50

初始資金,10000000.000000000000000
最後資金,12733995.580000000074506
真實報酬,2733995.580000000074506

夏普值報酬,0.264699558000000
夏普值風險,0.078033106209115
夏普值,3.392144320010184

預期報酬,12546.864274158479020
風險,265376.242707473284099
趨勢值,0.047279530926169
找到最佳解世代,1859
找到最佳解實驗#,1
找到最佳解次數,24

stock[index](rank)
投資組合檔數,7
AAPL[0](8),BA[2](6),INTC[11](16),MRK[17](7),MSFT[18](1),NKE[19](4),PFE[20](11),
20171129,1432289.439999999944121,1491249.840000000083819,1380208.840000000083819,1435572.369999999878928,1431318.840000000083819,1568072.860000000102445,1475428.900000000139698,10214144.089999999850988
20171130,1452318.309999999823049,1532777.340000000083819,1408158.400000000139698,1433238.580000000074506,1445573.260000000009313,1569631.540000000037253,1477466.199999999953434,10319166.629999998956919
20171201,1445557.510000000009313,1502766.800000000046566,1403133.760000000009313,1448797.179999999934807,1447118.919999999925494,1555603.420000000158325,1481133.340000000083819,10284113.929999999701977
20171204,1434993.760000000009313,1539255.630000000121072,1397167.000000000000000,1457873.030000000027940,1392505.599999999860302,1561318.580000000074506,1469317.000000000000000,10252433.600000001490116
20171205,1433641.599999999860302,1525800.720000000204891,1364192.800000000046566,1446204.080000000074506,1401264.340000000083819,1569631.540000000037253,1451796.220000000204891,10192534.300000000745058
20171206,1428317.469999999972060,1540916.729999999981374,1364506.840000000083819,1409382.060000000055879,1421701.399999999906868,1551446.939999999944121,1448944.000000000000000,10165218.439999999478459
20171207,1430937.279999999795109,1561403.630000000121072,1352887.359999999869615,1420273.080000000074506,1416720.939999999944121,1574307.580000000074506,1446499.239999999990687,10203032.109999999403954
20171208,1431359.830000000074506,1583164.039999999804422,1361366.440000000176951,1441017.879999999888241,1445401.519999999785796,1592492.179999999934807,1456278.280000000027940,10311083.169999999925494
20171211,1459248.129999999888241,1567992.660000000149012,1371101.679999999934807,1460984.750000000000000,1463777.699999999953434,1608338.760000000009313,1475428.900000000139698,10406875.580000000074506
20171212,1451050.659999999916181,1605533.520000000018626,1360738.359999999869615,1479914.379999999888241,1469788.599999999860302,1615093.040000000037253,1490504.919999999925494,10472626.479999998584390
20171213,1455867.729999999981374,1616053.819999999832362,1361052.400000000139698,1475765.419999999925494,1465838.579999999841675,1670426.179999999934807,1492949.679999999934807,10537956.810000000521541
20171214,1455445.179999999934807,1627349.300000000046566,1358540.080000000074506,1452427.520000000018626,1454503.739999999990687,1676401.120000000111759,1485615.400000000139698,10510285.340000001713634
20171215,1470234.429999999934807,1627681.520000000018626,1399365.280000000027940,1458391.649999999906868,1491599.579999999841675,1683155.400000000139698,1515767.440000000176951,10646198.300000000745058
20171218,1490939.379999999888241,1639862.919999999925494,1452752.080000000074506,1457873.030000000027940,1483527.799999999813735,1683674.960000000195578,1512915.220000000204891,10721548.390000000596046
20171219,1475051.500000000000000,1646008.989999999990687,1477247.199999999953434,1458132.339999999850988,1474082.099999999860302,1668867.500000000000000,1505173.479999999981374,10704566.109999999403954
20171220,1473445.809999999823049,1649608.039999999804422,1493577.280000000027940,1455020.619999999878928,1468758.159999999916181,1651981.800000000046566,1485615.400000000139698,10678010.110000001266599
20171221,1479023.469999999972060,1633716.849999999860302,1468454.080000000074506,1467726.810000000055879,1468414.679999999934807,1682635.839999999850988,1476651.280000000027940,10676626.009999999776483
20171222,1479023.469999999972060,1634104.440000000176951,1466569.840000000083819,1461503.369999999878928,1468586.419999999925494,1644188.399999999906868,1472576.679999999934807,10626555.619999999180436
20171226,1441501.029999999795109,1635544.060000000055879,1447099.359999999869615,1460984.750000000000000,1466697.280000000027940,1653540.479999999981374,1475428.900000000139698,10580798.859999999403954
20171227,1441754.559999999823049,1636983.679999999934807,1448041.479999999981374,1460984.750000000000000,1472021.219999999739230,1635355.880000000121072,1480318.419999999925494,10575462.990000000223517
20171228,1445811.040000000037253,1641025.690000000176951,1451495.919999999925494,1467726.810000000055879,1472192.959999999962747,1635355.880000000121072,1481948.259999999776483,10595559.560000000521541
20171229,1430176.689999999944121,1633052.410000000149012,1449611.679999999934807,1459169.580000000074506,1469101.640000000130385,1624964.679999999934807,1475836.359999999869615,10541916.039999999105930
20180102,1455783.219999999972060,1643738.819999999832362,1471280.440000000176951,1457873.030000000027940,1476142.979999999981374,1649384.000000000000000,1484800.479999999981374,10639005.970000000670552
20180103,1455529.689999999944121,1649054.340000000083819,1421348.080000000074506,1455798.550000000046566,1483012.579999999841675,1649124.219999999972060,1495801.900000000139698,10609672.360000001266599
20180104,1462290.489999999990687,1642797.530000000027940,1395282.760000000009313,1479395.759999999776483,1496064.819999999832362,1648085.099999999860302,1499061.579999999841675,10622981.039999999105930
20180105,1478938.959999999962747,1710182.819999999832362,1405018.000000000000000,1477839.899999999906868,1514612.739999999990687,1662113.219999999972060,1501913.800000000046566,10750622.440000001341105
20180108,1473445.809999999823049,1717436.289999999804422,1405018.000000000000000,1469282.669999999925494,1516158.399999999906868,1676920.679999999934807,1485207.940000000176951,10743472.789999999105930
20180109,1473276.790000000037253,1763282.650000000139698,1369845.520000000018626,1472913.009999999776483,1515127.959999999962747,1664970.800000000046566,1483578.099999999860302,10742997.830000000074506
20180110,1472938.750000000000000,1773415.359999999869615,1334673.040000000037253,1485878.509999999776483,1508258.359999999869615,1668347.939999999944121,1486022.859999999869615,10729537.819999998435378
20180111,1481305.239999999990687,1816936.179999999934807,1363250.679999999934807,1493657.810000000055879,1512723.599999999860302,1670166.400000000139698,1489690.000000000000000,10827732.910000000149012
20180112,1496601.550000000046566,1861730.509999999776483,1357912.000000000000000,1521144.669999999925494,1538828.079999999841675,1680038.040000000037253,1488875.079999999841675,10945132.929999999701977
20180116,1488995.649999999906868,1855916.660000000149012,1354771.600000000093132,1609569.379999999888241,1517360.579999999841675,1647565.540000000037253,1491319.840000000083819,10965502.250000000000000
20180117,1513588.059999999823049,1943678.109999999869615,1394026.600000000093132,1608532.139999999897555,1548102.040000000037253,1657696.960000000195578,1514952.520000000018626,11180579.429999999701977
20180118,1514940.219999999972060,1883601.660000000149012,1396852.959999999962747,1585194.239999999990687,1547415.079999999841675,1665490.360000000102445,1507210.780000000027940,11100708.299999998882413
20180119,1508179.419999999925494,1870146.750000000000000,1407530.320000000065193,1589083.889999999897555,1545697.679999999934807,1746022.159999999916181,1505173.479999999981374,11171836.699999999254942
20180122,1495840.959999999962747,1871641.739999999990687,1436736.040000000037253,1588305.959999999962747,1573347.819999999832362,1724720.199999999953434,1504766.020000000018626,11195361.739999998360872
20180123,1496179.000000000000000,1858297.569999999832362,1446471.280000000027940,1599974.910000000149012,1578328.280000000027940,1744203.699999999953434,1500283.959999999962747,11223741.699999999254942
20180124,1472347.179999999934807,1853314.270000000018626,1429199.080000000074506,1586490.790000000037253,1576954.359999999869615,1766544.780000000027940,1504766.020000000018626,11189619.479999998584390
20180125,1446064.570000000065193,1899935.810000000055879,1422604.239999999990687,1589602.509999999776483,1585713.099999999860302,1759011.159999999916181,1516989.819999999832362,11219924.209999999031425
20180126,1449444.969999999972060,1900544.880000000121072,1572715.359999999869615,1608791.449999999953434,1615424.119999999878928,1767583.900000000139698,1589517.699999999953434,11504025.379999998956919
20180129,1419443.919999999925494,1887256.079999999841675,1569574.959999999962747,1598159.739999999990687,1613019.760000000009313,1755634.020000000018626,1589925.160000000149012,11433016.640000000596046
20180130,1411077.429999999934807,1870036.009999999776483,1532204.199999999953434,1572747.359999999869615,1592754.439999999944121,1749139.520000000018626,1540215.039999999804422,11268176.999999998137355
20180131,1414964.890000000130385,1962282.429999999934807,1511791.600000000093132,1536443.959999999962747,1631739.419999999925494,1772259.939999999944121,1509248.079999999841675,11338733.320000000298023
20180201,1417922.739999999990687,1976512.520000000018626,1496403.639999999897555,1552261.869999999878928,1618858.919999999925494,1757452.480000000214204,1500691.419999999925494,11320106.589999999850988
20180202,1356399.459999999962747,1932050.410000000149012,1449297.639999999897555,1518551.570000000065193,1576267.399999999906868,1746281.939999999944121,1491727.300000000046566,11070578.720000000670552
20180205,1322510.949999999953434,1821144.300000000046566,1398109.120000000111759,1462540.609999999869615,1511349.679999999934807,1672764.199999999953434,1412680.060000000055879,10601101.919999999925494
20180206,1377780.489999999990687,1887754.410000000149012,1410356.679999999934807,1438165.469999999972060,1568539.099999999860302,1694325.939999999944121,1437535.120000000111759,10814460.210000000894070
20180207,1348286.500000000000000,1927676.179999999934807,1419463.840000000083819,1449056.489999999990687,1538999.819999999832362,1704976.919999999925494,1425311.319999999832362,10813774.070000000298023
20180208,1311186.610000000102445,1825463.160000000149012,1342524.040000000037253,1419235.839999999850988,1459999.419999999925494,1623406.000000000000000,1370304.220000000204891,10352122.290000000968575
20180209,1321834.869999999878928,1843015.449999999953434,1380208.840000000083819,1422866.179999999934807,1514441.000000000000000,1701340.000000000000000,1391899.599999999860302,10575608.939999999478459
20180212,1375076.169999999925494,1903756.340000000083819,1407844.359999999869615,1437387.540000000037253,1530756.299999999813735,1714069.220000000204891,1412272.599999999860302,10781165.529999999329448
20180213,1388851.300000000046566,1900212.660000000149012,1396224.880000000121072,1423644.109999999869615,1542778.099999999860302,1711211.640000000130385,1423681.479999999981374,10786607.169999999925494
20180214,1414457.830000000074506,1909570.190000000176951,1425116.560000000055879,1423644.109999999869615,1559608.619999999878928,1765505.659999999916181,1433867.979999999981374,10931773.949999999254942
20180215,1461952.449999999953434,1973854.759999999776483,1442074.720000000204891,1451908.899999999906868,1591380.519999999785796,1774078.400000000139698,1455055.900000000139698,11150308.650000000372529
20180216,1457219.890000000130385,1965992.220000000204891,1430769.280000000027940,1459688.199999999953434,1580045.679999999934807,1774338.179999999934807,1477466.199999999953434,11145522.650000000372529
20180220,1452318.309999999823049,1956634.690000000176951,1454636.320000000065193,1425718.589999999850988,1592410.959999999962747,1753296.000000000000000,1467279.699999999953434,11102297.570000000298023
20180221,1445726.529999999795109,1951208.429999999934807,1442702.800000000046566,1414568.259999999776483,1571286.939999999944121,1741865.679999999934807,1457093.199999999953434,11024454.839999997988343
20180222,1457811.459999999962747,1970864.780000000027940,1438306.239999999990687,1415086.879999999888241,1575408.699999999953434,1743943.919999999925494,1456278.280000000027940,11057703.259999999776483
20180223,1483164.459999999962747,1974962.160000000149012,1498915.959999999962747,1422866.179999999934807,1615424.119999999878928,1770701.260000000009313,1477466.199999999953434,11243503.339999999850988
20180226,1512489.429999999934807,2012724.500000000000000,1542253.479999999981374,1453724.070000000065193,1638780.760000000009313,1809408.480000000214204,1511285.380000000121072,11480669.100000001490116
20180227,1507587.849999999860302,2019147.419999999925494,1567376.679999999934807,1418976.530000000027940,1617828.479999999981374,1767324.120000000111759,1499469.039999999804422,11397713.119999997317791
20180228,1505306.080000000074506,2005692.509999999776483,1547906.199999999953434,1406011.030000000027940,1610443.659999999916181,1741346.120000000111759,1479503.500000000000000,11296212.100000001490116
20180301,1478938.959999999962747,1936369.270000000018626,1502370.400000000139698,1392526.910000000149012,1594643.579999999841675,1722901.739999999757856,1451796.220000000204891,11079550.080000000074506
20180302,1489164.669999999925494,1908573.530000000027940,1538170.959999999962747,1409641.369999999878928,1598078.379999999888241,1711731.199999999953434,1464834.940000000176951,11120198.049999998882413
20180305,1494319.779999999795109,1953312.489999999990687,1562352.040000000037253,1410678.609999999869615,1608211.040000000037253,1689909.679999999934807,1471761.759999999776483,11190548.400000000372529
20180306,1493052.129999999888241,1932105.780000000027940,1592499.880000000121072,1408085.509999999776483,1602715.359999999869615,1694845.500000000000000,1461982.720000000204891,11185289.880000000819564
20180307,1479192.489999999990687,1921696.220000000204891,1611656.320000000065193,1412493.780000000027940,1611989.319999999832362,1667049.040000000037253,1464020.020000000018626,11168100.190000001341105
20180308,1495333.899999999906868,1931053.750000000000000,1593442.000000000000000,1420013.770000000018626,1621778.500000000000000,1691468.360000000102445,1487245.239999999990687,11240338.519999999552965
20180309,1521024.939999999944121,1963112.979999999981374,1638977.800000000046566,1429867.550000000046566,1658015.640000000130385,1722382.179999999934807,1498246.660000000149012,11431630.750000000000000
20180312,1535729.679999999934807,1905915.770000000018626,1617937.120000000111759,1435572.369999999878928,1661965.659999999916181,1735890.739999999757856,1491727.300000000046566,11384741.640000000596046
20180313,1520940.429999999934807,1875351.530000000027940,1626102.160000000149012,1435831.679999999934807,1621435.019999999785796,1719005.040000000037253,1497431.739999999990687,11296100.599999999627471
20180314,1508010.399999999906868,1828785.359999999869615,1628614.479999999981374,1421051.009999999776483,1611817.579999999841675,1719784.380000000121072,1481133.340000000083819,11199199.550000000745058
20180315,1509785.110000000102445,1827235.000000000000000,1597838.560000000055879,1432719.959999999962747,1617485.000000000000000,1724720.199999999953434,1490504.919999999925494,11200291.750000000000000
20180316,1504460.979999999981374,1829948.130000000121072,1606945.720000000204891,1443610.979999999981374,1624698.079999999841675,1712250.760000000009313,1498654.120000000111759,11220571.769999999552965
20180319,1481474.260000000009313,1837090.859999999869615,1596268.359999999869615,1416642.739999999990687,1595330.540000000037253,1707055.159999999916181,1480318.419999999925494,11114183.339999999850988
20180320,1480967.199999999953434,1869593.050000000046566,1618879.239999999990687,1416902.050000000046566,1599452.299999999813735,1735371.179999999934807,1480318.419999999925494,11201486.439999999478459
20180321,1447416.729999999981374,1866658.440000000176951,1619193.280000000027940,1418198.599999999860302,1588289.199999999953434,1723681.079999999841675,1477873.660000000149012,11141313.990000000223517
20180322,1426965.309999999823049,1769816.310000000055879,1596268.359999999869615,1403417.929999999934807,1542091.140000000130385,1673543.540000000037253,1450573.840000000083819,10862679.429999999701977
20180323,1393921.899999999906868,1777512.739999999990687,1550104.479999999981374,1385006.919999999925494,1497267.000000000000000,1678998.919999999925494,1405345.780000000027940,10688160.739999998360872
20180326,1460093.229999999981374,1821642.630000000121072,1648084.959999999962747,1401343.449999999953434,1610615.399999999906868,1711990.980000000214204,1427756.079999999841675,11081529.730000000447035
20180327,1422655.300000000046566,1778177.179999999934807,1607573.800000000046566,1393823.459999999962747,1536595.459999999962747,1719005.040000000037253,1426533.699999999953434,10884366.939999999478459
20180328,1406936.439999999944121,1772086.479999999981374,1557641.440000000176951,1428571.000000000000000,1535221.540000000037253,1700041.099999999860302,1438350.039999999804422,10838851.039999999105930
20180329,1417922.739999999990687,1815607.300000000046566,1635523.359999999869615,1412493.780000000027940,1567508.659999999916181,1726019.099999999860302,1446091.780000000027940,11021169.720000000670552
20180402,1408626.640000000130385,1785486.020000000018626,1536286.720000000204891,1381376.580000000074506,1520280.159999999916181,1665750.140000000130385,1428163.539999999804422,10725972.800000000745058
20180403,1423077.849999999860302,1831886.079999999841675,1562352.040000000037253,1402640.000000000000000,1540717.219999999739230,1732773.380000000121072,1453833.520000000018626,10947283.089999999850988
20180404,1450290.070000000065193,1813171.020000000018626,1569889.000000000000000,1414308.949999999953434,1585713.099999999860302,1777455.540000000037253,1472169.220000000204891,11082999.900000000372529
20180405,1460346.760000000009313,1862782.539999999804422,1582136.560000000055879,1414049.639999999897555,1586571.799999999813735,1807849.800000000046566,1455870.819999999832362,11169610.919999999925494
20180406,1422993.339999999850988,1805862.179999999934807,1532204.199999999953434,1383710.369999999878928,1549647.699999999953434,1754854.679999999934807,1433053.060000000055879,10882328.530000001192093
20180409,1437106.510000000009313,1785707.500000000000000,1556071.239999999990687,1456317.169999999925494,1558921.659999999916181,1745242.820000000298023,1444869.400000000139698,10984239.300000000745058
20180410,1464149.709999999962747,1854089.449999999953434,1610086.120000000111759,1464874.399999999906868,1595158.799999999813735,1740566.780000000027940,1464834.940000000176951,11193763.199999999254942
20180411,1457304.399999999906868,1812728.060000000055879,1604747.440000000176951,1457354.410000000149012,1577641.319999999832362,1736150.520000000018626,1458315.579999999841675,11104244.730000000447035
20180412,1471671.099999999860302,1868762.500000000000000,1655621.919999999925494,1471357.149999999906868,1607180.599999999860302,1760569.839999999850988,1479910.959999999962747,11315077.070000000298023
20180413,1476657.189999999944121,1823359.099999999860302,1628614.479999999981374,1482507.479999999981374,1598593.599999999860302,1747061.280000000027940,1479910.959999999962747,11236707.089999999850988
20180416,1485868.779999999795109,1837146.229999999981374,1645572.639999999897555,1520885.359999999869615,1617313.260000000009313,1742125.460000000195578,1488467.620000000111759,11337382.350000001490116
20180417,1506320.199999999953434,1864554.380000000121072,1681373.199999999953434,1536962.580000000074506,1649943.859999999869615,1753815.560000000055879,1480318.419999999925494,11473291.200000001117587
20180418,1502939.800000000046566,1888252.739999999990687,1683571.479999999981374,1527886.729999999981374,1656298.239999999990687,1719784.380000000121072,1486837.780000000027940,11465574.150000000372529
20180419,1460346.760000000009313,1886259.419999999925494,1639919.919999999925494,1520626.050000000046566,1650630.819999999832362,1707574.720000000204891,1488467.620000000111759,11353828.309999998658895
20180420,1400513.679999999934807,1875351.530000000027940,1618251.160000000149012,1525552.939999999944121,1631567.679999999934807,1716926.800000000046566,1492542.220000000204891,11260709.010000001639128
20180423,1396457.199999999953434,1876292.819999999832362,1604747.440000000176951,1562374.959999999962747,1637578.579999999841675,1737449.419999999925494,1499469.039999999804422,11314372.459999999031425
20180424,1377019.899999999906868,1822140.959999999962747,1615738.840000000083819,1558226.000000000000000,1599280.560000000055879,1739787.439999999944121,1510063.000000000000000,11222259.699999999254942
20180425,1383020.110000000102445,1898551.560000000055879,1613540.560000000055879,1546297.739999999990687,1585369.619999999878928,1731994.040000000037253,1494579.520000000018626,11253356.150000000372529
20180426,1387837.179999999934807,1898163.970000000204891,1665985.239999999990687,1540592.919999999925494,1618858.919999999925494,1767843.679999999934807,1501506.340000000083819,11380791.250000000000000
20180427,1371780.279999999795109,1887588.300000000046566,1655935.959999999962747,1542148.780000000027940,1645650.359999999869615,1807070.460000000195578,1507618.239999999990687,11417795.380000000819564
20180430,1396626.219999999972060,1847057.459999999962747,1621077.520000000018626,1526590.179999999934807,1606150.159999999916181,1776676.199999999953434,1491727.300000000046566,11265908.039999999105930
20180501,1429078.059999999823049,1824798.720000000204891,1674778.359999999869615,1503511.589999999850988,1631567.679999999934807,1769142.579999999841675,1442424.639999999897555,11275304.630000000819564
20180502,1492207.029999999795109,1795175.770000000018626,1642746.280000000027940,1485878.509999999776483,1605978.419999999925494,1773299.060000000055879,1421644.179999999934807,11216932.250000000000000
20180503,1494911.349999999860302,1831166.270000000018626,1641804.160000000149012,1491842.639999999897555,1615595.859999999869615,1737968.980000000214204,1416347.199999999953434,11229639.459999999031425
20180504,1553561.290000000037253,1851874.650000000139698,1657506.160000000149012,1497547.459999999962747,1634315.519999999785796,1769142.579999999841675,1419606.880000000121072,11383557.540000000968575
20180507,1564801.119999999878928,1885096.650000000139698,1674778.359999999869615,1487952.989999999990687,1652519.959999999962747,1801355.300000000046566,1423274.020000000018626,11489781.400000000372529
20180508,1572322.510000000009313,1873690.429999999934807,1684199.560000000055879,1471875.770000000018626,1645478.619999999878928,1778494.659999999916181,1425311.319999999832362,11451375.869999999180436
20180509,1583393.320000000065193,1907632.239999999990687,1706496.400000000139698,1502733.660000000149012,1664885.239999999990687,1765245.880000000121072,1433053.060000000055879,11563442.800000000745058
20180510,1606042.000000000000000,1905251.329999999841675,1726594.959999999962747,1505586.070000000065193,1681544.019999999785796,1764466.540000000037253,1427756.079999999841675,11617244.000000001862645
20180511,1593788.050000000046566,1896336.759999999776483,1716859.720000000204891,1547853.599999999860302,1677937.479999999981374,1777715.320000000298023,1446499.239999999990687,11656993.169999999925494
20180514,1590069.610000000102445,1908130.569999999832362,1724082.639999999897555,1547594.290000000037253,1683604.899999999906868,1788366.300000000046566,1461167.800000000046566,11703019.110000001266599
20180515,1575618.399999999906868,1894454.179999999934807,1693306.720000000204891,1535147.410000000149012,1671411.359999999869615,1805511.780000000027940,1454240.979999999981374,11629693.830000000074506
20180516,1590323.140000000130385,1888086.630000000121072,1715917.600000000093132,1549409.459999999962747,1668491.780000000027940,1853311.300000000046566,1453833.520000000018626,11719376.430000001564622
20180517,1580266.449999999953434,1905638.919999999925494,1721256.280000000027940,1531776.379999999888241,1651833.000000000000000,1842920.099999999860302,1455055.900000000139698,11688750.030000001192093
20180518,1574519.770000000018626,1944896.250000000000000,1721256.280000000027940,1533591.550000000046566,1654924.319999999832362,1852791.739999999757856,1452203.679999999934807,11734186.589999999850988
20180521,1585675.089999999850988,2015160.780000000027940,1705868.320000000065193,1518810.879999999888241,1676220.079999999841675,1854350.419999999925494,1458723.039999999804422,11814811.609999999403954
20180522,1581703.119999999878928,1965881.479999999981374,1709950.840000000083819,1515699.160000000149012,1674502.679999999934807,1852531.960000000195578,1455463.359999999869615,11755735.599999999627471
20180523,1591844.320000000065193,1989081.509999999776483,1733817.880000000121072,1534369.479999999981374,1694424.519999999785796,1853311.300000000046566,1465649.859999999869615,11862501.869999999180436
20180524,1590069.610000000102445,1987918.739999999990687,1719372.040000000037253,1533332.239999999990687,1688413.619999999878928,1875132.820000000298023,1462390.179999999934807,11856632.250000000000000
20180525,1593703.540000000037253,1993954.069999999832362,1741040.800000000046566,1532295.000000000000000,1689272.319999999832362,1876951.280000000027940,1453833.520000000018626,11881053.529999999329448
20180529,1587956.860000000102445,1951817.500000000000000,1737272.320000000065193,1514402.609999999869615,1683261.419999999925494,1842400.540000000037253,1454648.440000000176951,11771762.689999999478459
20180530,1584576.459999999962747,1983433.770000000018626,1748577.760000000009313,1548631.530000000027940,1699404.979999999981374,1876431.720000000204891,1468909.539999999804422,11909968.759999999776483
20180531,1579252.330000000074506,1950045.660000000149012,1733503.840000000083819,1543704.639999999897555,1697515.840000000083819,1865261.179999999934807,1464020.020000000018626,11833306.509999999776483
20180601,1607732.199999999953434,1975294.380000000121072,1792543.359999999869615,1570413.570000000065193,1731005.140000000130385,1890200.060000000055879,1477058.739999999990687,12044250.450000001117587
20180604,1621169.290000000037253,1997497.750000000000000,1784692.359999999869615,1608272.830000000074506,1746118.260000000009313,1917996.520000000018626,1485207.940000000176951,12160957.949999999254942
20180605,1633676.770000000018626,1994009.440000000176951,1775271.160000000149012,1591936.300000000046566,1755048.739999999990687,1923711.679999999934807,1484800.479999999981374,12158457.570000000298023
20180606,1639338.939999999944121,2057463.459999999962747,1790973.160000000149012,1605939.040000000037253,1760200.939999999944121,1941896.280000000027940,1482355.720000000204891,12278170.540000000968575
20180607,1634944.419999999925494,2040686.349999999860302,1754858.560000000055879,1607494.899999999906868,1732550.799999999813735,1942156.060000000055879,1486837.780000000027940,12199531.870000001043081
20180608,1620070.659999999916181,2046057.239999999990687,1728793.239999999990687,1622794.189999999944121,1745431.299999999813735,1945792.980000000214204,1494172.060000000055879,12203114.669999999925494
20180611,1616098.689999999944121,2054030.520000000018626,1712149.120000000111759,1616311.439999999944121,1735470.379999999888241,1937739.800000000046566,1479096.039999999804422,12150898.989999998360872
20180612,1624972.239999999990687,2052258.679999999934807,1721570.320000000065193,1619163.849999999860302,1739935.619999999878928,1929946.400000000139698,1479096.039999999804422,12166946.149999998509884
20180613,1611619.659999999916181,2014773.190000000176951,1728165.160000000149012,1623053.500000000000000,1732035.579999999841675,1925270.360000000102445,1475836.359999999869615,12110756.809999998658895
20180614,1612464.760000000009313,2006855.280000000027940,1744181.199999999953434,1596344.570000000065193,1741824.760000000009313,1940597.380000000121072,1473391.599999999860302,12115662.550000000745058
20180615,1595900.800000000046566,1981717.300000000046566,1730677.479999999981374,1608532.139999999897555,1719670.299999999813735,1970212.300000000046566,1481540.800000000046566,12088254.120000001043081
20180618,1595055.699999999953434,1964331.120000000111759,1671323.919999999925494,1581563.899999999906868,1732207.319999999832362,1964237.360000000102445,1473391.599999999860302,11982113.919999999925494
